emsId,genres,title,audience,critics,Date of Movie Release,Scraped Audience,Scraped Critics
89d8ded2-81a5-3d70-9548-46765c0e6236,"Sci-Fi, Action, Adventure, Drama, Fantasy",Rebel Moon: Part Two - The Scargiver,51,14,2024-04-19,TRUE,TRUE
9dd324dd-e3f1-4b87-830c-a48c0bd0841e,"Action, Drama, Mystery & Thriller",Road House,53,60,2024-03-21,TRUE,TRUE
280b29ad-c173-45da-9639-7db84ef77eaa,"Drama, Adventure",Arthur the King,97,69,2024-03-15,TRUE,TRUE
3b372c0c-6b36-4da3-ad24-3b798112f334,"Fantasy, Adventure, Action",Damsel,60,56,2024-03-08,TRUE,TRUE
a0fbfc3b-8712-3c3e-b5c1-9f2ebe5b5a14,"Kids & Family, Comedy, Adventure, Animation, Action",Kung Fu Panda 4,86,72,2024-03-08,TRUE,TRUE
cecd223d-a20d-3268-bbef-9a4c847c673d,"Sci-Fi, Adventure, Action, Fantasy, Drama",Dune: Part Two,95,93,2024-03-01,TRUE,TRUE
9fd91bc6-d8ba-3550-8a6a-3f4b13b79e5b,"Kids & Family, Comedy, Adventure, Animation",Megamind vs. the Doom Syndicate,s,9,2024-03-01,TRUE,TRUE
ea4a5261-34cd-4abb-81b1-49381b056547,Drama,Ordinary Angels,99,84,2024-02-23,TRUE,TRUE
d5b0d230-1a2a-3a2f-9e46-b2e062d162b4,"Sci-Fi, Adventure, Drama",Spaceman,65,50,2024-02-22,TRUE,TRUE
5d722cc7-8338-360c-93da-b71dac142fb5,"Biography, Drama, Music",Bob Marley: One Love,92,43,2024-02-14,TRUE,TRUE
9daad3be-9340-4e97-a2e4-6fc4d1aa0ea3,"Action, Adventure, Comedy, Drama, Mystery & Thriller",Argylle,72,33,2024-02-02,TRUE,TRUE
5fc1be00-2af0-3cc2-8df0-c42117063cee,"Action, Mystery & Thriller",The Beekeeper,92,71,2024-01-12,TRUE,TRUE
972bffa4-cb57-3fd0-9b29-4f694277b2b4,"History, Drama, Biography, Sports",The Boys in the Boat,97,58,2023-12-25,TRUE,TRUE
83f24236-db29-3bcd-8001-658fd8e463fc,"Musical, Drama",The Color Purple,95,81,2023-12-25,TRUE,TRUE
0b0585a0-d887-33ff-baba-0c39ef39a38c,"Romance, Comedy",Anyone But You,87,56,2023-12-22,TRUE,TRUE
7fe58e79-97ca-3890-aced-4c7d5da87ab1,"Action, Adventure, Fantasy",Aquaman and the Lost Kingdom,81,34,2023-12-22,TRUE,TRUE
ed3f9fd3-986f-3fd5-b51b-0ecfe4b97894,"Kids & Family, Comedy, Adventure, Animation",Migration,88,72,2023-12-22,TRUE,TRUE
0ac1266f-1215-4026-a216-e5522149c4bb,"Sci-Fi, Action, Adventure, Drama, Fantasy",Rebel Moon: Part One - A Child of Fire,57,21,2023-12-15,TRUE,TRUE
