Dates,Scores,Reviews
"Jul 11, 2022",negative," A cheap sexual fantasy designed for mass consumption, Fifty Shades of Grey approaches the otherwise risqué subject of BDSM and neuters it. Rather than fully explore the dark realms of sadism or even adequately investigate an unhealthy abusive relationship, this adaptation retreads clichés in a format best suited for the dullest of mainstream viewers. Having not read E.L. James’ first (or second, or third) book in her trilogy, my view on the phenomenon and controversy may be limited. But after enduring the film, I can write that any fuss made about the exploitative nature of director Sam Taylor-Johnson’s adaptation hasn’t considered what a tedious, completely dismissible film lies before us. Here’s a film that is offensive only in how inoffensive it proves to be. It transforms what should be a complicated, lurid relationship between a dominant and submissive into a laughable formula about an innocent girl and her mysterious man. She’s an awkward bookworm; he’s a wealthy control freak. Mix these stereotypes together with a bondage fetish, and you get something akin to Pride and Prejudice with kink—except neither romantic nor erotic nor even boundary-pushing. With much lower-lip-biting to cornball effect, Dakota Johnson plays the mousy Anastasia Steele (the resident Elizabeth Bennet), a virginal college student (fond of classical romances by Jane Austen no less). When she interviews Christian Grey (Jamie Dornan) for her college newspaper, she’s immediately taken by his steely, intimidating presence. Erudite and formal, the young billionaire runs an ambiguous communications company (where he only hires women who look like Robert Palmer dancers) and avows that he “exercises control in all things.” In addition to a few other warning signs, Christian grows fascinated with Ana and begins borderline stalking her. And perhaps because she’s inexperienced in such things, she’s charmed by his creepy attention. Then comes the moment when any sane person would walk away from his courtship: He asks her to sign a non-disclosure agreement before he touches her. Along with allusions to his “singular” sexual proclivities, the fact that he wants her to sign a contract, and she actually considers it, is part of what makes this an absurd fantasy. It turns out Christian likes to tie women up in his “playroom” and punish them. Though, he claims to enjoy such acts only if his submissives are getting as much pleasure from the experience as he does. Nothing about the seemingly smart, certainly reserved Ana and her very normal life suggests that she would be game for a little S&M. So why, when all of the signs point to Christian having major issues, does she stick around? That question is never adequately answered in the film and remains glaring. And because of that, Fifty Shades of Grey is nothing more than surfaces (color-timed in muted, grayscale shades), polished up with just the right amount of not-too-out-there erotica that won’t offend mainstream crowds. Audiences witness hands tied, blindfolds on, feather tickling, light spanks, and whipping. Nothing too scandalous. Indeed, bondage has never been so boring or felt so commoditized. Each of these acts is filmed like a music video and set to pop music by, more often than not, Beyoncé (she contributes two titles to the soundtrack). There’s one sequence where each thrust is timed with a beat, and each beat coincides with a cut from one shot to another. And the nudity in these scenes is almost exclusively one-sided, with Johnson baring far more, and more consistently, than her male costar. But ultimately, these scenes are no more erotic than watching monkeys mounting one another at the zoo. None of this would matter if interesting characters inhabited Fifty Shades of Grey, but there are none to be found. Questions about Ana’s motivations bother us until we remember she’s very inexperienced in relationships. To be sure, any self-respecting woman would have run far, far away from Christian at the first mention of an NDA, not to mention Christian’s later dom-sub contract. So what does she see in him? Christian is bland, robotic, but good-looking enough, I suppose. Without an interesting dimension beneath his exterior layer, the Irish actor plays him un-emotive from behind a rigid American accent. He’s broody and, as Ana observes on multiple occasions, unable to articulate his feelings. When she asks why he must punish her to achieve pleasure, he responds, “This is how I am.” How does such a poor communicator preside over a billion-dollar company? But because she’s naïve, she overlooks his utterly deficient personality in favor of his fancy cars, posh apartments, helicopter rides, and glider flights. Or maybe she just enjoys how he showers her with gifts: a first-edition copy of Tess of the D’Urbervilles, a new laptop, and an Audi. By the time Ana confesses her love for Christian, we cannot help but wonder what she’s fallen in love with—there’s nothing there. Many have questioned the sexual politics and implications of the book and film. The material brings into question female submissiveness as it relates to gender roles throughout history. And you could argue that it perpetuates violent relationships against women (although she leaves him in the end, quite abruptly, suggesting that such relationships are not condoned by the filmmaker/author). However, debating these serious topics in relation to this material gives it too much credit. There’s nothing the least bit insightful or insulting about this product. It has been tailored for the lowest common denominator demographic, many of whom filled the theater during my screening. The largely middle-aged crowd of women whispered and giggled; their low hum of chatter barely subsided for the film’s 125-minute runtime. They were no more affected or offended by what was happening onscreen than they were during Twilight, seven years ago. Had Fifty Shades of Grey been NC-17 rated and really pushed the limits of mainstream sexuality in film, it’s doubtful that it would have been received with such widespread commercial enthusiasm. If there’s a dangerous sociological consequence to the film, it resides in how topics that should be significant are presented in such a fluffy way that, when left to its target audience, they can be damaging if only for the ignorance with which it’s received. But Fifty Shades of Grey manages to be a non-issue and quite often boring, which is surprising, given the swell of passionate negative reception and controversy about the book in some circles. Outspoken feminists, authors, and news outlets grant the material far too much credit by suggesting it has any significant meaning (beyond supplying sexually bored readers and viewers with a look at fringe sexuality through a clichéd lens). To expend any energy getting mad about its possible but mostly nonexistent subtexts is a waste of time. For BDSM-brand controversy, seek out Tie Me Up! Tie Me Down! (1990), Bitter Moon (1992), The Piano Teacher (2001), Secretary (2002), or even Nymphomaniac (2014)—each of these films respects its audiences enough to at least attempt to provoke the viewer. Watching these other films, you might find yourself offended or pushed to the limit, even unable to watch. Others might find themselves turned on. For me, Fifty Shades of Grey accomplishes almost no reaction whatsoever, except for being so bland and programmed that it’s laughably dismissible. And where BDSM in cinema is involved, the film isn’t doing its job if it isn’t somehow stimulating."
"Feb 2, 2021",negative," Remember when Valentine’s Day was about fancy chocolates, dozens of long stemmed roses and Cupid targeting lover’s hearts with his trusty bow and arrow? With the release of the soft-core-porn soon-to-be-blockbuster, “Fifty Shades of Grey,” this year Cupid’s arrow isn’t aimed at the heart. Based on the erotic thriller by E. L. James, the movie stars Irish actor Jamie Dornan as handsome C.E.O. and slap-and-tickle enthusiast Christian Grey and Dakota Johnson, the daughter of Don Johnson and Melanie Griffith, as Ana Steele, a literature student sent to interview Grey, only to find herself under the spell of the businessman’s exotic proclivities. According to the young, impressionable woman he is “polite, smart and really intimidating.” Showered with gifts like a first edition of “Tess of the D’Urbervilles,” she submits to his charms—he’s wealthy, good looking—allowing him to go all a-type on her, in and out of the bedroom. “I exercise control on all things Miss Steele,” he says, a character trait he expresses through BDSM (bondage, discipline, sadism and masochism). “I don’t do romance. My tastes are very singular.” I’ll cut to the chase. There are sex scenes, there is nudity and yes, Virginia, there are whips and chains but don’t expect the smutty stuff from the books. Director Sam Taylor-Johnson has whipped the material into mainstream theatre shape, shaving the rough edges off the novel’s explicit kinky sex scenes. The randy pair spend more time talking about their sexual liaisons than actually getting horizontal… or suspended… or anything else. They blabber and negotiate—“I’m not going to touch you,” he says. “Not till I have your written consent.”—yammering on about submission, domination and safe words till even the Marquis de Sade would nod off from boredom. But for all the talk, we never learn anything about why Grey is disposed to liberally mixing his pleasure with pain. “It’s the way I am,” he says. He doesn’t go to dinner or movies; he simply wants her to earn his devotion by being his submissive. This is communicated simply, with a combination of “sweet” talk –“If you were mine you wouldn’t be able to sit down for a week.”—and predatory behaviour that, if not for his billions, would land him in jail for stalking or worse. The psychological introspection on display here makes Dr. Phil seem like Friedrich Nietzsche. Of the two leads Dakota Johnson seems ripped from the pages of the book. Her gamine innocence and girlish giggle convey the emotional rawness necessary for the character to work. She is naked, emotionally and physically—unlike her co-star who, for all we know, is as anatomically correct as a Ken doll—with a propensity for drunk dialling and permanently dewy look about her that betrays the confusion and attraction Ana feels toward Grey. Dornan has the thankless role. His grim-faced Christian Grey is an unemotional cipher, a bubbling cauldron of unexplored trauma and Dornan plays him straight faced which much have been tough while delivering unintentionally hilarious lines—call it a domination comedy or dom com—like, “Roll your eyes at me again and I will take you across my knee.” His delivery is just as sexy as that time your cranky old grandfather said it to you when you were ten. His burning passion is conveyed by his intense gaze, which often looks clinical, as if he’s examining her naked body for irregular moles. “Fifty Shades of Grey” feels like an elegantly made—the cinematography and score are top notch—night time soap opera. It’s a cliff-hanger—expect the inevitable sequel to pick up EXACTLY where this film leaves off—and the kind of R-rated movie that feels more like a cold shower than a hot romance. Richard Crouse shares a toast with celebrity guests and entertainment pundits every week on CTV’s exciting talk show POP LIFE.Saturdays at 8:30 on CTV NewsChannel, midnight on CTV."
"Dec 4, 2020",negative," frumpily dressed Anastasia Steele (Dakota Johnson), compensating with a 4.0 GPA and English Literature romanticism, heads to Seattle’s Grey House to conduct an interview with wealthy telecommunications magnate Christian Grey (Jamie Dornan). She’s substituting for her sick roommate Kate (Eloise Mumford), who has prepared a series of hopelessly dull questions that become just the start of Anastasia’s unpreparedness, clumsiness, and flustered attitude. Nevertheless, the cool, collected, intense Grey is fascinated by the young woman, just as she exhibits an immediate infatuation herself. The following day, Christian surprises Anastasia at her hardware store clerk job, setting in motion a collection of flirtations and interactions that lead to repeated visits to his luxurious apartment. It’s there that she reveals her inexperience with men and he alludes to his own dark secrets – namely, whips and chains. Though one of the spelled-out rules of dominance/submission is consensual participation, “Fifty Shades of Grey” instantly breaks its own rules, with Christian attempting to coerce Anastasia into a role she’s not comfortable with – and vice versa, as she hopes to taper off his extreme sexual preferences for the more standard wooing habits of a dinner and a movie. Oddly, their lack of chemistry seems fitting in a romance between a carnal novice and an emotionally damaged robot. With all the advertising and hype, it’s difficult to remain completely oblivious to the main attraction of “Fifty Shades of Grey,” which is the sadomasochistic dalliances and insinuated supercharged eroticism (and what turns out to be a lot of graphic nudity). Bondage is certainly not something regularly explored in mainstream cinema. Here, the dialogue makes frequent, foreshadowing hints at Grey’s unusual predilections, inspiring decent laughs for those aware of the subject matter. “You’re the complete serial killer,” jokes Anastasia, as Grey purchases cable ties, masking tape, and rope – in fact, tools for his singular playroom. Were it not for the publicity surrounding the picture, the first act could have established a typical teen romantic comedy. Unfortunately, the coquetries start to resemble Bella and Edward banter, which is not surprising considering the project’s origination as “Twilight” fan fiction. The similarities stop there, however, as the fantastical romance (something of an edgier “Pretty Woman”) morphs away from commonplace “Cinderella” reveries and into “The Story of O” or the many “Emmanuelle” movies and their copyright-circumventing Laura Gemser derivatives (using the name “Emanuelle,” sans an “m”). “I don’t do romance,” insists Grey, even though he’s prone to rescuing Steele from her own drunkenness or taking her on thrill-seeking dates. Later, the mention of genital clamps and anal fisting also drives a wedge between the juvenile origins. In a particularly cheap premise, the leading man is a billionaire, capable of offering helicopter rides, fancy cars, and opulent dwellings. This clouds Steele’s motives, as audiences can never be sure of the degree that endless riches influence her choices; the temptation for promiscuity transitions to one of financial possibilities. Grey also has plenty of time off to have sex all weekend long. For equilibrium, bits of unaffecting humanism are thrown in (such as a prying mother and stock siblings), along with a brief history of the cause of Grey’s sexual deviance, glimpsing the marginally interesting psychological metamorphoses and manifestations of abuse (the whys of BDSM are likely the most engrossing aspects of the behavior). The notion of freedom from responsibility and making decisions is comparably piquing, but the pain-as-pleasure idea is hard to swallow, outside of the cinematic realm of “Hellraiser’s” Cenobites. At least, the film goes out of the way to show the use of condoms. But regardless of the themes or the boilerplate that replaces original character designs, the most unforgivable aspect is the ending; since this is the first part of a trilogy, “Fifty Shades of Grey” isn’t even a marginally complete story. This entire first chapter is just the introduction – resulting in something grossly less than a competent movie. Designed by Mike Massie | © 2006-2024 Gone With The Twins | All movie related images © their respective owners. Articles on this site may not be distributed or reproduced without written consent."
"Sep 7, 2020",negative," If you would weave together a pinch of the softcore stylings of Red Shoe Diaries, a dab of the hyper-stylized Playboy videos, and ever so slight hints of the naughtiness meets psychosocial intrigue of Secretary or maybe 9 1/2  Weeks, then you may very well have an idea of what to expect from Fifty Shades of Grey, the adaptation of British author E.L. James's bestselling novel of the same name. Already having garnered its fair share of controversy, thus adding fuel to its inevitable box-office fire, Fifty Shades of Grey centers around Anastasia Steele (Dakota Johnson, 21 Jump Street and Need for Speed), a sheltered English Lit major on the verge of college graduation when she meets attractive young billionaire Christian Grey (Jamie Dornan, television's The Fall and Once Upon a Time), whose attraction to Anastasia is surpassed only by his need to control absolutely everything about absolutely every human relationship he's in. In case you're still wondering, this means that Christian is a ""dominant,"" a BDSM term indicating a role of control within a sexual scene or lifestyle. This also means that Christian is not seeking from Anastasia a traditional dating relationship, after all he doesn't do romance, but is instead seeking for her to be his ""submissive,"" a role in which she would essentially surrender herself to his wants and needs without question. There are some, particularly those within the faith community, who are already protesting Fifty Shades of Grey loudly. The protests grew even louder after the film's hyper-stylized trailer played during this year's Super Bowl and triggered accusations that the film promotes sexual violence, domestic violence, and the glorification of violence against women. Alternately, there are some who defend the film just as loudly by stressing the mutual consent within the relationship and, quite simply, the fact that BDSM is both widely popular and widely misunderstood. There are also those who consider the film as a true depiction of BDSM or even rape fantasy, the latter being an admittedly darker yet existing sexual practice amongst more experienced and extreme practitioners of BDSM. The simple truth, at least in my estimation, is that the notion of being ""swept away"" remains an intense fantasy. In Fifty Shades of Grey, being swept away by this attractive, dominating, and filthy rich man is completely enveloping because it touches on the desire to be protected, controlled, safe, and financially secure.  The books also, at their very essence, tap into that very basic idea that true love heals everything. The curious thing, at least to those whose minds work critically, is that practically anyone would openly tell you that Fifty Shades of Grey and its companion books are horribly written. This isn't meant as a slight to James, who has clearly written works of great popularity and cultural relevance, but merely as an observation that a book that started out as Twilight fan fiction doesn't have a particularly brilliant story and does, in fact, contain some of most incredibly insipid dialogue one could possibly imagine. Now then, I'm not completely convinced that you're here to actually read a review of Fifty Shades of Grey, mostly because I'm not 100% convinced that fans of Fifty Shades of Grey can actually read. However, I suppose my film criticism code of ethics demands that I at least attempt to express the experience to be had while watching Fifty Shades of Grey.  To her credit, E.L. James did not write a book that glorifies violence against women or rape or domestic violence. There is a difference between these things and BDSM, though certainly there would be those practitioners capable of drawing a line between the two. Definitely existing within the world of erotica and fantasy, James's novels more fully explore the myriad of issues present within the complex relationship that exists between Anastasia and Christian. Christian is, in his own words, ""50 shades of f***ed up"" and incapable of anything resembling a mutually satisfying relationship. Within the relatively short span of a two hour film, it is impossible to fully explore what created Christian and, as a result, we are left to watch a man whose behaviors border on sociopathic, easily cross the line of stalking, are unfathomably controlling and exhibit more than subtle hints of domestic violence. Do I believe this is the filmmaker's intent or the film's meaning? Nope. That doesn't matter. The simple truth is that Jamie Dornan's performance is so incredibly weak that without a full context his Christian Grey comes off as sociopathic rather than seductive, controlling rather than dominant, and frightening rather than fantasy-making. There was never a moment in Fifty Shades of Grey when I bought into this ""relationship"" nor did I ever buy into Dornan's Grey as a man capable of creating a business empire or commanding anyone's attention let alone their bodies. In fact, I'd dare say that for someone supposed to be a dominant that Dornan's Grey is almost painfully submissive. Johnson, on the other hand, fares modestly better as Anastasia, oozing vulnerability and yet believably portraying a more confident and, I'll say disciplined, young woman than is ever brought to life in the book. Johnson, the daughter of Melanie Griffith and Don Johnson, gives the film nice moments of lightness and even humor, a welcome touch given that it becomes apparent early on that the hints of darkness will never become more than hints. The biggest problem here, however, is that Johnson's character shifts so quickly and plays off Dornan's so badly that Anastasia ends up looking and feeling like a woman with a raging personality disorder whose back-and-forth histrionics are more erratic than empowering. There's a surprising lack of sex in Fifty Shades of Grey, the film's sensuality defined by a handful of scenes that are vividly brought to life by Seamus McGarvey's lensing but that are surprisingly devoid of the book's more intense scenes. We get a few nude shots of Anastasia, not surprisingly, coupled with a couple butt shots of Christian, a handful of full body scenes from behind, and one hint of pube. In other words, it's fairly typical Hollywood sex with the modest addition of some whips, straps, etc. The scene that may very well be the sexiest is actually devoid of sex, a wonderful back-and-forth experience involving Christian, Anastasia, and a conference table. The truth is that if Fifty Shades of Grey wanted to really work, then Taylor-Johnson and crew needed to commit to a darker, edgier, and more compelling film. Dornan, whom I can't stress enough is miscast here, desperately needed to tap into Grey's darkness or he needed to pull a Charlie Hunnam and just back out of the project. At several points, I found myself picturing the suave and sophisticated sociopathic behavior of Christian Bale's Patrick Bateman, a characters whose sociopathic nature certainly dominated yet a character who had that edginess that Christian Grey so desperately needs here. The film's portray of dominance and submission is flaccid at best, with Dornan's Grey being an ineffectual dominant whose techniques reveal vast inexperience despite his claim of the number of women who have been in what he calls his ""play room."" The ""contract"" has several major practical flaws and far too often chooses faux style over substance. It also doesn't help that the chemistry between Dornan and Johnson is woefully lacking, making their flirtations unconvincing and their dominance and submission border on downright creepy and disturbing. The two actors, whom reports have said didn't actually get along during film, simply aren't strong enough yet within their craft to overcome a lack of chemistry and this lacking creates an unbelievable relationship made more unbelievable given the extraordinary circumstances. The great thing about a film like 50 Shades of Grey, which seems destined to take the box-office crown this opening weekend, is that you, as the moviegoer, should be pretty clear on whether it's a film for you. There's no disguising what it is and what to expect. With the folks at Universal Pictures trying to sell the film as a Valentine's Day Weekend spicy alternative, Fifty Shades of Grey won't likely fulfill any of your deepest and darkest fantasies but it may actually remind you how good you already have it."
"Jul 16, 2020",negative," Now I don’t claim to know anything about BDSM, but from what I can gather, people choose to participate through a mutual understanding and respect. The submissive is getting just as much out of it as the dominant. What disturbs me about Anastasia and Christian is that consent is never reached. Throughout, Anastasia contemplates, recoils, and flat out turns down Christian’s advances about the contract. While looking up the word “submissive” online, Anastasia is repulsed by the pictures she sees. Yet Christian still ends up persuading her to go through with it. There’s something just wrong about that. What I’m guessing is meant to be a woman’s sexual blossoming comes off more as a twisted character’s obsession to control someone physically and emotionally. E.L. James (novel), Kelly Marcel (screenplay), and Sam Taylor-Johnson (director) have crafted a disturbing story under the guise of romantic fantasy. Christian Grey is a mysterious playboy that every girl wants to be with, but in reality hides demons that make him a sociopath. After their first encounter, Anastasia is smitten beyond belief, but there’s no basis for that reaction. Jamie Dornan inhabits Christian as a steely-eyed, montone, no nonsense character. For someone who’s supposed to be sexually irresistible, Christian simply doesn’t sizzle. His mannerisms push us away instead of pull us in, and it only gets worse once his real desires come to the forefront. For a role that’s supposed to smolder like a young Marlon Brando, Christian Grey has more similarity with Patrick Bateman in American Psycho (2000). Dakota Johnson does her best with Anastasia. She’s effective at being the comedic klutz: tripping over things, never grasping the double entendres, etc. She gets a few good one-liners in, whether we’re supposed to laugh with or at her. But Anastasia’s motivations toward Christian do not make sense. What is it about him that attracts her? It clearly isn’t his charming personality. Is it his wealth? When he brings her into his “playroom,” why doesn’t she run away in terror? Every time she bites her lip, I wondered what the hell she was so fascinated with. If she can’t handle looking at pictures online, what makes her think she can handle it in real life? Since this is a fantasy, Anastasia has the mindset of being that “one special person” who can change Christian. Even when he tells her how many women he’s had in the same arrangement (because a person like him would keep count), she still continues along. This is a strange dynamic where Anastasia – under the false belief that she has ability to influence – allows herself to be tied up, beaten, and controlled by Christian in an effort to make him fall in love with her. Oh, how romantic! The sex, which I’m sure everybody will be eager to see, is dreadfully not sexy. Oddly – given that the author, screenwriter, director, and the main protagonist are all female – it’s Anastasia who bares it all. Not much is seen of Mr. Grey, except for the rare bum shot. While there’s a good amount of sexual encounters, they’re all photographed and edited the same way: with soft lighting and quick dissolves showing a body part here and there. There’s nothing all that sensational, graphic, or titillating. It’s about even to anything you’d see on Red Shoe Diaries or late night Cinemax. If you have an interest in watching other people getting it on, there are other, cheaper ways to do it besides this. This film unnerved me, and not in a good way. Seeing a girl getting tied up, whipped, and sexually humiliated is not my thing. And this is set to be a box office hit! Christian’s pursuit of Anastasia is downright creepy. This is not the same as say, Hitchcock’s Vertigo (1958) where the relationship is meant to be disturbing. There’s an ambivalence here that feels irresponsible, it doesn’t take a stand as to how Christian and Anastasia are meant to be perceived. The things he does tells us: no matter what a girl says or how unsure she is, as long as you take her on a helicopter ride you’ll be allowed to do anything you want with her. If you admit you had a bad childhood, that’ll give you the keys to the goods. Gimme a break. And she wants him because…why again? If anything, Fifty Shades of Grey can function as a barometer for society’s weird fascination of all things kinky. At my screening, it was packed to the brim, with people taking selfies to mark the occasion. Afterwards, some waited in line to grab a poster. What is it about this story that struck such a chord with popular culture? Is it because it started out as Twilight fan fiction and is enjoying the remnants of that success? Is it the result of the massive ad campaign? Or do people just want to see trashy things on screen? Because in terms of story and character, this film is in desperate need of a safe word."
"Apr 10, 2020",positive,"Overlong, too clinical in design, and based on lowest common denominator entertainment (or so I'm told), Fifty Shades of Grey still manages to be engaging, funny, and unexpectedly human."
"Nov 26, 2019",positive,"Given that this is her second film, [Sam] Taylor-Johnson directs the film with taste and care by focusing on the interactions between Ana and Christian rather than the sexual side of the story and the film looks stunning."
"Nov 12, 2019",negative," First of all, I know I'm not the target audience for this movie. Having said that, I gave Fifty Shades of Grey, like all movies I watch, a fair chance with an open mind.  The first half hour was the only portion of Fifty Shades of Grey with any sort of character. Anastasia Steele (Dakota Johnson) is a humble, shy girl finishing up college who does pretty much nothing to prompt the interest, let alone garner lust from an eccentric billionaire who always gets his way. However, Christian Grey (Jamie Dornan) takes a sudden interest in her when she steps in for her ill roommate and embarks on a 10-minute interview with the head of 'Grey Enterprises'- whatever that might actually be. Once they get past the introduction, the film dives into exactly what you would expect based on everything you've either read or heard about from the novels. It completely loses any heart it had. For the next hour and a half, Christian and Anastasia play a manipulative game of nationwide hide and seek that includes lots and lots of sex. The entire bout feels completely meaningless because the characters hadn't been developed at all. The movie takes many liberties by assuming you know what happened in the book and leaves itself open for audience to point out plot holes. Why does Anastasia Steele have a thing for Christian Grey in the first place? Your answer is probably as good as mine, I have no idea. It seems like no reason other than the fact that he has a ridiculous amount of money. Outside of that, he borders being an abusive stalker with a personality (or lack there of) that no one would fall for but a gold digger, which Ana didn't really strike me as. I wonder what the trailer would have looked like if characters from the book weren't so commonly well-known. The movie relied way too heavily on prior knowledge of Christian Grey and his unique tastes in the bedroom which weren't unfathomable for a mature audience. Take any Nicholas Sparks movie, remove some plot and pull out any character development and replace those elements with as many sex scenes as you can before getting an NC-17 rating, and you have Fifty Shades."
"Sep 19, 2019",negative," Playful marketing provocations, heralded by the succinct tagline “Curious?” standing out beneath black and white production stills, somehow manages to be the most titillating aspect of the highly anticipated film adaptation of E.L. James’ erotic novel Fifty Shades of Grey, which, like many of its romantically inclined counterparts, only proves that watching people fuck or fall in love is generally only interesting to those involved directly. That’s, of course, discounting voyeurs and James’ core audience of straight-laced, sexually repressed hausfraus who have never taken an opportunity to explore base tendencies. It is their embrace that has resulted in this pop culture fixation. In a superficial sense, it’s enthralling to see that a studio production so clearly addresses notions of sexual pleasure, but fears of censorship have reigned in director Sam Taylor-Johnson’s visual freedom, and considering the subject matter, this is shockingly conservative (not unlike, say, that Rihanna music video for her ‘S&M’ track that clearly has no idea what more alternative sexual tendencies look like). What’s more curious is how the film has been mostly positively received, with those who haven’t read the source material already having a garbled, telephone game grasp of expectation. Though we’re all familiar with its basic premise, this is the first chapter in the sexually charged saga of one Anastasia Steele (Dakota Johnson), a collegiate Lit studies major, who meets billionaire playboy Christian Grey (Jamie Dornan) by chance. He’s attracted to her and draws her into his palatial Seattle home, where he draws up a contract that specifically outlines what the nature of their relationship will entail. The virginal Anastasia has a limited amount of time to research Grey’s specific sexual preferences and decide if she’s able to handle his potentially pleasurable lucrative offer. Grey belongs to the lowest common denominator of pop culture phenomenology, with James’ texts receiving a similar critical reception as that of Stephenie Meyer. Much like Twilight will forever tarnish the resume of director Catherine Hardwicke, Grey lands with the same thud on another promising female director’s filmography. While Sam Taylor-Johnson’s marriage to younger actor Aaron Taylor-Johnson snagged more headlines than their work together on her 2009 film Nowhere Boy, it’s a far cry from the banality presented here, though there was no chance she’d be able to mutate Grey into her own vision. The end product takes itself so insanely serious that frequent audience titters cascading throughout its screening had nothing to do with discomfort toward potentially awkward material. Oh, the line from which the title is birthed is a stumpy bit of comedy, too. As the titular billionaire, Dornan seems entirely too slight, his dialogue a series of forced utterances spoken with the prowess of a soap opera star. As Anastasia, Johnson, daughter of Don Johnson and Melanie Griffith (though thankfully she’s sans that peculiar kitten lilt owned by Griffith and grandmother Tippi Hedren), fares a bit better, and when she’s not sharing screen time with Dornan, she’s actually an engaging, intelligent presence. But once in the midst of her tryst with Grey, Johnson’s Anastasia becomes an irritating composite of girlish silliness, as if the script can’t find a way to avoid treating her demeaningly. Johnson plays her with a believable balance of naivety, at least as concerns a young person’s introduction to the torrid and tawdry practices of the sexually experienced, but the film becomes a maelstrom of repetitive silliness. Her dalliance with a man obviously looking for something different than what she has to offer marks her as another throwaway stereotype. The scandalous S&M subject matter is treated without due deference, and you’ll cringe every time the words ‘dominant’ and ‘submissive’ are used, as it seems no one involved in the making of this had any way to make this sound less contrived. But it begins with lofty allusions to classic literature, and Grey’s red playroom even recalls a place of punishment for Jane Eyre. Not only is Bronte mentioned, but Anastasia is aligned with her favorite literary heroine, Tess of the D’Urbervilles from Thomas Hardy’s famed novel. The reference is troubling for those familiar with the text, which concerns a beautiful young ingénue caught romantically between two men, ending disastrously. Professional, award winning actresses appear as their respective mothers, including Marcia Gay Harden and Jennifer Ehle, supposedly on hand simply to validate the film’s existence. Harden’s introduction is exquisitely laughable, arriving without warning at her son’s immaculate home, only to leave moments later with the same awkwardness one sees a matriarchal figure treated in something like Tommy Wisseau’s The Room. Elsewhere, budgetary constraints also seem to plague the exterior shots of Grey, with Seattle and Portland existing basically in skyline. For anyone who isn’t the target audience, i.e., privileged (largely white, middle-aged) heterosexual women, Fifty Shades of Grey plays like Alternative Pleasure Practices 101. At the film’s dramatic crux, when Anastasia dares Christian to release his worst punishment, the result is a mere whimper of a sequence. Yes, it’s great to see sexually acknowledged adult subject matter on the big screen, but Grey, to use a demeaning term, is what rough trade would refer to as a cock tease, with the powers that be inexcusably pussyfooting by depending solely on the specter of titillation. If Lars Von Trier’s Nymphomaniac is equally shackled to contrivance due to centuries of puritanical methods of sexual representation, at least he wasn’t afraid to get his hands (and other parts) dirty. Over a decade ago, we had the playful and laudable Secretary (2002), which understood that a degree of silliness goes a long way towards making an impact with taboo, sexual subject matter. Funny that no one seemed to understand in the making of Grey that watching two vaguely defined characters engage in ceaseless rounds of conservatively filmed grimaces and stifled moans (that lip biting bit is eye roll worthy) gets tiresome quickly. Decades earlier, Japanese auteur Nagisa Oshima gave us In the Realm of the Senses (1976), which is still effectively shocking. Perhaps those that gobbled up E.L. James’ prose wouldn’t mind reading a few subtitles and seek that out instead. Los Angeles based Nicholas Bell is IONCINEMA.com's Chief Film Critic and covers film festivals such as Sundance, Berlin, Cannes and TIFF. He is part of the critic groups on Rotten Tomatoes, The Los Angeles Film Critics Association (LAFCA), the Online Film Critics Society (OFCS) and GALECA. His top 3 for 2021: France (Bruno Dumont), Passing (Rebecca Hall) and Nightmare Alley (Guillermo Del Toro). He was a jury member at the 2019 Cleveland International Film Festival."
"Aug 2, 2019",negative," The marketing campaign for the highly anticipated film version of E.L. James’s erotic romance says simply, “Curious?”…Unfortunately the only curiosity that should drag most discerning film lovers into the theater is seeing how the filmmakers removed so much of the original steam and made it so pervasively boring. Regardless of whether the book was “literature” or smut, well written or not, there is no question millions around the world embraced the trilogy passionately. What in the books captured the imaginations of so many, who were formerly ignorant of the ins and outs of the world of BDSM and dominant/submissive sexual relationships, was the fact that sexually can take many forms while still allowing for deepening love and commitment. This is a powerful message and arguably freed fans to express themselves sexually in new ways without self judgment. All this is lost in the film. The story of Anastasia Steele and Christian Grey, how they meet and change each other, their sexual exploration, and their conflicts, is made not only vanilla, but has no fire. Dakota Johnson as Anastasia lacks the star power to explain Christian’s fascination. Lip biting is not an acting style. Jamie Dornan, a perfectly fine actor in TV’s The Fall, is slumming here, but he also does us no favors by mistaking inscrutability for smolder. Female director Sam Taylor-Johnson inexplicably chooses very traditional camera angles. Due, one assumes, to MPAA requirements for ratings, as usual we see more breast than at a La Leche League convention, but only the occasional male bum cheek. There is little more critical than to say a third of the film had people laughing at dialogue, and the other two thirds wiggling in their seats, not from discomfort or innervation, but from boredom."
