Dates,Scores,Reviews
"Apr 14, 2024",negative,"The thing that's definitely true of Madame Web is that it was absolutely butchered, just hacked apart by a screaming maniac with a cleaver, in post-production."
"Apr 8, 2024",negative," Sony’s Spider-Man Universe, a web-slinging franchise already tainted by misfires, has (hopefully) hit rock bottom with its time-jumping thriller Madame Web. You can see the yucky studio fingerprints all over this overproduced origin story, from choppy-as-hell pacing to the insistence on hitting certain formulaic MCU-type beats. Initial trailers tease eerie premonition horrors à la Final Destination that are barely in the final product, which has more in common with the first Dr. Strange (not even the spooky Multiverse of Madness sequel). If Madame Web were Final Destination: Superhero Edition, this would probably be a much more enthusiastic review — but it’s not. Madame Web is instead a flat-as-hell found family remix and awful bad superhero introduction that’ll test your SSU patience in record time. Dakota Johnson projects ambivalence and boredom as Cassandra “Cassie” Webb, who we meet as an emotionless thirty-something loner working as a paramedic in New York City. We already know she’s the daughter of deceased researcher Constance Webb (Kerry Bishé), betrayed by her expedition partner in Peru’s Amazonian rainforest while researching spiders. Cassie isn’t aware of the powers bestowed upon her during birth by a lifesaving arachnid bite, nor that Bruce Wayne wannabe Ezekiel Sims (Tahar Rahim) left her mother with a fatal gunshot wound. Cassie just wants to avoid death and watch American Idol like the average American during the early 2000s, not visualize the brutal killing of innocent girls who she then has to babysit thanks to the emergence of “time web” abilities that have her mind in a paradoxical blender. At its core, Madame Web is a comic book adaptation that fights against being a superhero movie. It’s written into Cassie’s personality — she doesn’t ask for the burden of playing foster parent to her eventual minions. Cassie is a complicated protagonist written to conceal any excitement or ownership of her superpowers, which lands like a thud throughout Johnson’s performance. She's as cardboard-flavored as the refrigerator drawing Cassie heartlessly declines from a grateful child. It’s hard to blame an actress when the material is so humdrum and uninspired, but still, what Johnson translates to the screen is like administered anesthesia. Cassie Webb is forgettably played in monotone, whether fighting Evil Spider-Man, learning Las Arañas lore, or floating through time-web-space like Johnson is trying to locate a reality before she signed on to Madame Web. Enter Cassie’s someday Spider-Women trio — who we only see as Spider-Women for, like, a collective two minutes (if even). Sydney Sweeney as good-girl-in-glasses Julia Cornwall, Isabela Merced as the fiery independent Anya Corazon, and Celeste O'Connor as rich-kid rebel Mattie Franklin. They are your prototype “found family” who dance on New Jersey diner tables to impress boys and make ill-advised choices because, if not, Ezekiel can’t locate his future murderers. It’s a numbing cycle of Cassie giving clear instructions for survival, Mattie disregarding the rules, and Ezekiel finding their location that falls into the same recycled staleness cemented by Cassie’s anchoring presence (or lack thereof). At least Johnson’s young castmates are allowed a tad more personality (which the film desperately needs). O'Connor’s brattiness as a skateboarding Spider-Punk in training or Merced’s stern insistence to obey orders allows for real character development — Sweeny less so, more of an American Girl doll for O’Connor’s troublemaker to corrupt. The film’s avalanche of problems ripples from here. Heralded Morbius writers Matt Sazama and Burk Sharpless claimed scripting duties after Kerem Sanga took a crack. Claire Parker also notches a screenplay credit, as does director S. J. Clarkson, so we can assume revision rounds took place — to highlight how many hands were in the cookie jar. Four talents trying to homogenize their styles into one voice. You’re right to assume the blending process is a failure. Madame Web feels like a Frankenstein of spare Spider-Parts dissected and rebuilt by the studio machine. No role represents this sentiment more than antagonist Ezekiel Sims, who might be one of the worst supervillains in any comic book adaptation (SSU, MCU, DCU, the lot). Tahar Rahim’s performance is a blank stare and inconsistent accents; a millionaire (?), billionaire (?), who goes from shooting Constance Webb point blank and stealing her magic spider for personal use to living in New York City’s finest penthouse thirty years later, complete with his own NSA-stolen surveillance technology and tech wiz sidekick Amaria (Zosia Mamet deserves better). Sims isn’t the lead or focus of Madame Web, that’s Cassie Webb, but the screenplay so ineptly builds his nonexistent mythology no further than “bad guy in dark Spider-Man suit.” Not to mention his ADR work, in particular, is egregiously noticeable and quite horrendous for a Hollywood film with substantial budgeting and resources. Sims is a Mad Libs evildoer with an important arc about not obsessing over your future lest you doom your present, but producers clearly don’t care about the final cut version of Sims, which makes it hard for us to care in return. Madame Web plays as insincere, forces characters through obvious motions, and commits the ultimate sin for any superhero origin — is always looking toward future installments. I haven’t mentioned director S. J. Clarkson all that much because the film lacks identity, and I hope that’s a byproduct of wretched studio tampering. Sony’s inability to reconcile with the SSU's past and not let the future weigh down its present anxieties is in parallel with Cassie’s arc — and they can’t even tell that substory right. Madame Web is essentially promotional material for identities and superheroes you were sold this time around, with no real guarantee that any of these Spider-Women will appear down the road given the current SSU's disastrous status."
"Apr 4, 2024",negative," Late last year, May December sparked a spirited online debate about the definition of stylistic camp. While Susan Sontag purists were quick to insist that the outrageous tone of the film is to be strictly defined as comedy, many others were happy to shrug off this traditional definition and evolve the scope of camp into something weaponizable. And then we have Madame Web — one of the worst films in recent memory, which doesn't spin its camp with any sense of understanding or autonomy. It's an outrageous, sometimes entertaining mess that will hopefully supply audiences with enough disastrous creative choices and laughable nonsense to make its two-hour runtime somewhat ironically enjoyable. In Madame Web, a young New York City paramedic named Cassandra Web (played by a half-awake Dakota Johnson) has her dormant clairvoyant and precognitive mutant abilities ignited after an almost-fatal accident. Now able to see glimpses into the near future, Cassandra discovers that she can make drastic changes to help and ultimately save those around her. This gift was passed on to her from her long-dead mother, who had been studying spiders in the Amazon right before she died. When another mutant (Tahar Rahim) hunts down three seemingly average teenage girls on the subway, Cassandra uses her newfound abilities to save their lives, and the four young women find themselves on the run from a deadly, ruthless foe.  The story is impossibly bloated, with a meaningless plot — a fate foreshadowed by the ""Amazon spider"" dialogue made viral by the film's outrageous, campy trailer. None of it makes sense, and the characters often look at each other like they are unsure of whose line is coming next or which ping-pong ball they need to be running from. It's all just one long and ongoing disaster that's occasionally fun to watch but has too much filler to avoid a painfully boring third act.  Part of what confused me most about this confounding cinematic experience was the quality of its performances. Dakota Johnson has been on a tear lately with her press tour for the film. From eating up journalists who clumsily pestered her about the meme-ification of the film’s trailer to a comedic earthquake survival, Johnson is always a fun personality to witness in real-time. Her nonchalant eccentricity even translates onto the screen here — but instead of laughing with the movie, her performance seems to be constantly self-aware of the mess surrounding her. I can't speak to her internal monologue, but I couldn't help but feel like Johnson as Cassie was in as much awe of the film's spectacular ongoing failure as the rest of us. Then we have the unfortunate misuse of the film's young leads. Rising superstars Sydney Sweeney, Celeste O'Connor and Isabela Merced play three teenage girls who will one day become mutant heroes but currently require protection from Cassandra. With these three performances, the film goes into truly unforgivable territory. We get short visions of what their future superhero alter-egos look like, and it’s fairly glorious. But these are clearly promises of a cinematic tomorrow we will undoubtedly never see, as the quality of Madame Web is so wretched that any continuation feels all but dead on arrival. The wasted potential of a film led by these Spider-Women, instead of a cardboard cutout of Madame Web, was a grotesque tease.  While there are more than a handful of moments so terrible that they were an ironic joy to witness, the film is so long and confusing that its ironic value is slaughtered by its third act. Campy, yes — but also terrible."
"Mar 26, 2024",negative," 
Yasser Medina es un crítico de cine dominicano, especializado en la historia del cine y el análisis cinematográfico. Actualmente escribe en el periódico dominicano Acento (2022-presente). También es el primer crítico en República Dominicana aprobado por Rotten Tomatoes."
"Mar 21, 2024",negative,"""Madame Web is a frustrating example of a film that could work if they took better care of the story and didn't try and judo it straight into franchise fuel."""
"Mar 18, 2024",negative," The Gist: THE PERUVIAN AMAZON, 1973: Madame Web’s mom (Kerry Bishe) finally, finally finds the spider she’s been searching for – a spider that has some truly amazing peptides, the type of venom-derived peptides that, the script tells us, can supercharge cellular structure. Let’s hear it for peptides that supercharge cellular structure! Hooray for the peptides. She’s also pregnant, but that doesn’t stop Ezekiel Sims (Tahar Rahim) from shooting her and stealing the spider and leaving her for dead so some Peruvian spider-people known as Las Aranas can rescue her and take her to a magic cave for a magic bath so she can be bitten by one of the special spiders in the hopes that those peptides can save her. It doesn’t work and she dies but the baby doesn’t. Don’t you HATE it when that HAPPENS? Now we jump to 2003, where we meet that baby of destiny, all growed up: Cassandra Webb (Johnson), surely voted Best Bangs on an NYC EMT several years running. She’s a lonely sort with a cat, and to show us that she’s a lonely sort, she talks to the cat a lot and sadly thumbs through old photos of her mom. Her best bud-slash-ambulance partner is a guy named – hold onto yer hats true believers! – Ben Parker (Adam Scott), which has implications, my friends, major effing implications. One day, as she attends – put your hats back on so you can hold onto them again – Mary Parker’s (Emma Roberts) baby shower – who could possibly be in her tum-tum? – and drinks an ice-cold can of Pepsi-Cola, she and Ben are summoned to a rescue scene that goes sideways and nearly ends her. While she’s dead for a few minutes, she finds herself in an ugly and shitty special effect, and after Ben resuscitates her, she immediately says “I just wanna go home and watch Idol,” because it’s 2003, yo.  The ugly shitty special effect wasn’t nothing, of course. Cassie starts seeing glimpses into the future via confusing flash-forwards. This doesn’t happen all the time, only when very important things are going to happen, so yes, that means it happens precisely when the plot needs it. At this point the plot reintroduces us to Ezekiel as he beds a pretty lady, has a nightmare and engages in the worst pillow talk ever: “It’s not a dream. I’m gonna be murdered one day,” he says. His visions are clear: Three Spider-Women will take him out, so he goes about trying to find those women and take them out first, using computer composites and advanced surveillance tech that’s so complex and impossible, the movie doesn’t explain it, because it’d be way too difficult to do so convincingly. So we just move on. Who are those Spider-Women, you ask? Well, they’re not Spider-Women yet, just average teenagers: Julia Cornwall (Sydney Sweeney), Anya Corazon (Isabela Merced) and Mattie Franklin (Celeste O’Connor). One day all three of these young women who don’t know each other end up on the same train as Cassie, who envisumalizes what’s about to happen, somehow convinces them that her envisumalization isn’t the ravings of a lunatic, and saves them from an attack by Ezekiel, who wears a black Spider-Mannish costume. Destiny, it seems, is really stinking afoot here. And destiny will lead our heroines to a thoroughly inscrutable finish at an Itchy and Scratchy fireworks factory topped by a giant Pepsi-Cola sign, as it damn well should, since being a shameless advertisement is the only thing this movie successfully achieves.  What Movies Will It Remind You Of?: Deep breath: You’ve got Green Lantern, Elektra, Fantastic Four (2015), Fantastic Four (2005), Suicide Squad (2016)… time hasn’t vindicated any of these losers. Time to add a new one to this hall-of-shame list.  Performance Worth Watching: Johnson’s really it’s-a-living her way through this thing. She’s been through it before, in the 50 Shadeses, so by now she should be a pro at gutting it out. As an unapologetic DK fanboy, I just want to send her flowers and a nice card after this one. I can’t help but contemplate critic Gene Siskel’s famous criteria for judging a film: “Is the movie more interesting than the same actors having lunch?” In this case, I’d specifically amend that to put Johnson and Sweeney across from each other in a cozy diner booth having a sad-eyes staring contest over a slice of pie – first one to cry loses. That would be way more watchable than Madame Web.  Memorable Dialogue: My fave doozy in a script full of ’em: “There’s not enough frictional force in the bare human foot to overcome gravity and keep him stuck to the wall, much less the ceiling!” says Anya Corazon, like anyone would breathlessly blurt as they’re trying to escape being killed by a spider-madman. Our Take: A few sudden bursts of unintentional hilarity don’t save Madame Web from being unwatchable – unwatchable like a fox. The screenplay is a series of exponentially escalating incomprehensible storytelling decisions resulting in a bona-fide NONSENSE FUGUE. There’s a scene in which Cassie tells her teenage proteges, “Don’t do anything dumb,” immediately followed by a reiteration: “Seriously, don’t do dumb things.” Has she read this screenplay? It consists entirely of dumb things! They have no choice! One wonders if Johnson read it either, before hopefully being paid very well for this. (Note: She surely did read it. In a recent interview she essentially said this was one of those movies that looked like one thing when she signed on and became something entirely different after. She knew it was a disaster. She knew The Discourse was coming. Here’s another fistful of daisies, Dakota.) Our Call: I wanted to like this movie. Scratch that – I wanted to like disliking this movie. Just back the FTD delivery truck into Dakota’s driveway and SKIP IT."
"Mar 18, 2024",neutral,"There’s something almost cosmically funny about the fact that every ill-conceived boardroom mandate and desperate spider-milking mistake backfires in the most spectacular way imaginable.
"
"Mar 15, 2024",negative," Early on in Madame Web — the latest superhero film to be based on a Spider-Man-adjacent comic series — Dakota Johnson’s Cassie Web rejects a thank-you gift from the child of a woman whose life she just saved. From this, you can probably surmise that firstly, she’s awkward around kids, and secondly, she will eventually end up having to protect some kids. Like many heavily telegraphed moments in this film, you won’t need psychic powers to figure that one out — even if Cassie herself does, in fact, shortly develop such powers. But if you did have psychic powers, you might have wanted to use them to gently warn the cast away from this film, which manages to be both over-written and underwritten at the same time. Most of the actors here are wonderfully talented, but there’s only so much they can do with the material. A Prophet’s Tahar Rahim, so often a blistering presence, is left to thankless grumpy villain duties here; Adam Scott, fresh off his unimprovable turn in Severance, takes on a curious incarnation of Spidey’s Uncle Ben; Sydney Sweeney, Isabela Merced and Celeste O’Connor, as Spider-Women, have very little to do here. There is, perhaps, a bit less digital mulch sloshing around in Madame Web than in some recent superhero films. This is the result of a smaller and more self-contained story, involving the kind of nifty time-loop dilemmas familiar from small-screen sci-fi. But where the dialogue needed wit and spark, it has the kind of will-this-do one-liners (“Hope the spiders were worth it, Mom!”) and tired backstories you get when the characters are too flat to flesh out with rounded personalities. (Some unconvincing ADR smacks of a last-minute attempt to fix things in the edit.) Like the last remnants of a lost civilisation poking through the wreckage of a post-apocalyptic wasteland, hints of classical storytelling survive. The fateful legacy of a birthright inherited from a dead parent gives Cassie’s arc a Freudian motif, while the villain attempting to wipe out the next generation due to a premonition that they will cause his own downfall is a more interesting and personal motivation — at least on the page — than another bad guy wanting to destroy the universe. And instead of Chekhov’s gun, we get a new twist on an old favourite in the form of ‘Chekhov’s CPR’. It’s not enough to offset the creeping sense that, when it comes to the franchise sometimes known as the Sony Pictures Universe of Marvel Characters (SPUMC), the word ‘Marvel’ is synonymous less with a sense of awe than with a shrug."
"Mar 15, 2024",negative," We're starting off 2024 really weak or really strong, depending on your perspective. This week it's MADAME WEB and all the lunacy it provided. Let's talk about WHY it flopped, WHO is to blame, and PEPSI, of course."
"Mar 11, 2024",negative," Geraldine Viswanathan as Marian and Margaret Qualley as Jamie in a scene from ""Drive-Away Dolls."" (Photo credit: Wilson Webb / Working Title / Focus Features.) As film bros and Joe Moviegoer alike await the release of “Dune: Part Two” with bated breath, they have largely given the cold shoulder to a spattering of other movies trying in vain to find audiences in the first two months of 2024. They run the gamut from acclaimed Oscar rejects (Ava DuVernay's gripping “Origin”) to costly debacles plagued by bad press and a cloud of let's-not-even-hate-watch contempt (more on that below). The Jason Statham-fronted thriller “The Beekeeper” (better than it looks) and “Bob Marley: One Love,” a new biopic about the reggae icon (unseen by me as of this writing), stand out as rare profitable exceptions in what is otherwise a concerning no-man's-land. Two February releases tell genre-driven tales that put women in the driver's seat of narratives all too often spearheaded by male protagonists. One is a buddy road movie with two lesbian friends seizing the spotlight. The other is the latest attempt by Sony to kickstart its own coterie of Marvel , away from the greedy Mouse, an origin story with shades of Bryan Singer's “X-Men” movies. Did either of them deserve their grim box office fate? Let's find out. “Drive-Away Dolls”: Jamie and Marian need a change, so they hit the road. Naughty, raunchy and kooky shenanigans ensue. That, in a nutshell, sums up the story of two sapphic besties dealing with the violent patriarchy (cops and criminals alike), horny athletes, an abrasive ex-girlfriend and a crooked politician with a hilarious secret. But it doesn't reflect the easygoing retro vibe that makes this live-action cartoon go down like honey. Our protagonists, living in Philly circa 1999, are polar opposites that somehow complement each other. Jamie (Margaret Qualley) lets her libido make her decisions, and her latest conquest is too much for her girlfriend Sukie (Beanie Feldstein), a police officer with a chip on her shoulder, to take. Straitlaced, tightly wound Marian (“Blockers'” Geraldine Viswanathan), is tired of her annoying (straight male) co-workers at her office job and dissatisfied with life in general, so she decides to rent a car using a drive-away service in order to visit her aunt in Tallahassee. The freshly dumped Jamie abruptly inserts herself into her solo trip. C.J. Wilson as Flint, Colman Domingo as The Chief and Joey Slotnick as Arliss in a scene from ""Drive-Away Dolls."" (Photo credit: Wilson Webb / Working Title / Focus Features.) Away they go, unaware that the rather inept owner of the rental service (the ubiquitous Bill Camp) has given them the boxy Dodge Aries meant for a couple of goons (Joey Slotnick and C.J. Wilson) tasked with transporting a briefcase filled with unspecified contraband, also to Florida's capital. It's a case of mistaken identities that plays more like screwball comedy fodder than blood-soaked mayhem, through there's some of that, too.  Jamie, her confident swagger bolstered by a heavy Texas drawl, favors frequent detours to explore lesbian bar culture along the way, against the wishes of Marian, who'd much rather curl up with a Henry James novel than socialize. Once they realize they're carrying stolen goods, the two team up to deal with their ballooning underworld dilemma, as a suave gangster played by current Oscar nominee Colman Domingo deals with the incompetence of his jaw-droppingly stoopid henchmen. “Drive-Away Dolls” mixes two popular nineties subgenres that used to move B-movies off video store shelves: the down-and-dirty crime thriller and the exuberant queer indie. It's in this dual playpen that writer-director Ethan Coen and co-screenwriter Tricia Cooke, his partner in art and in life, jump in with gusto, wielding a budget and even a handful of A-listers that the movies that inspired them could only dream of. Cooke, who identifies as queer, infuses her more grounded (and yes, very queer) sensibility into Coen's goofy, occasionally gruesome sense of humor. Like the mismatched duo piloting this wild ride, the blend should not work yet somehow does. The results suggest what the Wachowskis' “Bound” would have been like as a farce. Geraldine Viswanathan as Marian and Margaret Qualley as Jamie in a scene from ""Drive-Away Dolls."" (Photo credit: Wilson Webb / Working Title / Focus Features.) Coen, directing his first feature without filmmaking partner and sibling Joel, is not afraid to dip his toe in over-the-top gore that recalls Sam Raimi in the eighties and, to a lesser extent, the Coens' own debut feature “Blood Simple.” But there's a distinct laid-back appeal here. It's in the film's playful, gleefully racy sex scenes with undeniable shades of Russ Meyer; it's in the lava-lamp imagery of the segueways between some scenes; and it's in the twinkle in the eye of a front desk employee at a Tallahassee hotel who appears to have walked in from an early Alexander Payne movie. They indicate this isn't your typical B-movie homage. Amidst the broad odd-couple hijinks, a tender depiction of Jamie and Marian's friendship blooms. When it comes to the young women's personal lives, they begin to stealthily influence each other's behavior, navigating their deepening bond with a nuance and sensitivity that anchors the clever genre-hopping and even injects a political subtext without interrupting the bawdy fun. The fact that Coen and Cooke milk considerable mileage from Linda Ronstadt's “Blue Bayou” cover should tell you all you need to know. Well, that and the film's original title, which had another word for “Dolls” that's either pejorative or empowering depending on who you ask. (Yes, it's exactly the “d” word you're thinking of, and no, the contents of that mysterious briefcase are decidedly not what you're thinking of.) “Drive-Away Dolls” wallows in the muck yet always feels wholesome despite its “hard R” trappings. Matt Damon and Pedro Pascal pop in, and while it's fun to see the stars in lighthearted cameos, the movie doesn't need their wattage. Coen and Cooke elevate the scuzzy appeal of their disreputable building blocks while still paying tribute to grindhouse fare of past generations, clocking in at just 84 minutes. They've made a romp that's tough on the outside but squishy in the middle. This is primo trash and proud of it, not only great fun, but a great hangout flick and a winning buddy picture. It promises a rowdy time and delivers the goods before it slams on the brakes. “Madame Web”: Do you know what movie was in dire need of some of “Drive-Away Dolls'” lively energy and generosity of spirit? This somnanbulant excuse for a comic book adventure. Should I rip the Band-Aid? I'm going to rip off the Band-Aid. The story of how a sullen, disenchanted New York City paramedic discovers she can foresee future events is a washout, a non-starter, aggressively boring when it's not being conspicuously awful. The social media dust storm that this misbegotten dumpster fire kicked up has begun to settle, but I fear its ripple effects will be felt for a long time to come. At the center of this funnel cloud of good intentions and poor execution is a phoned-in performance by Dakota Johnson playing the aforementioned first responder, Cassandra Webb. (See? Studying Greek mythology was good for something, after all.) Cassie's mother was researching spiders in the Peruvian Amazon before she was double-crossed by her handsome, power-hungry research partner, Ezekiel Sims (“A Prophet's” Tahar Rahim, picking up a paycheck), circa 1973. Mommie Dearest kicks the bucket moments after childbirth in a scene that feels ripped off from “Avatar.” Flash forward 30 years, and Cassie has a near-death experience of her own while responding to a crash. She gradually realizes that she can see things before they happen. A neat concept, and if someone with the panache of, say, Sam Raimi was the filmmaker calling the shots, we'd have a real humdinger that would keep audiences on their toes. Sadly, we have to settle for S.J. Clarkson in the director's chair, and the TV vet gives Cassie's visions the most earthbound treatment imaginable, leeching the thrill of disorientation that would have given these scenes their kick. Isabela Merced as Anya Corazon, Dakota Johnson as Cassandra Webb, Sydney Sweeney as Julia Cornwall and Celeste O'Connor as Mattie Franklin in a scene from ""Madame Web."" (Photo courtesy of Marvel / Sony Pictures.) Cassie discovers she's fated to cross paths with and protect three teenage girls: shy and awkward Julia Cornwall (the radiant Sydney Sweeney), the standoffish Anya Corazon (Isabela Merced) and skateboarding trust fund baby Mattie Franklin (Celeste O'Connor). Protect from who, you ask? You already know the answer: Ezekiel, older but still rather hunky, and yet the sex appeal still yields a charisma void. He's convinced the Indigenous people of the Amazon cursed him with knowledge of how he's going to die: at the hands of this teen trio with abandonment issues, at some unspecified future date. (It goes without saying that Sweeney, Merced and O'Connor are all in their twenties and as convincing as you'd expect playing teens, which is not very.) But revealing this information early in the game saps the life force out of “Madame Web.” The rest of the movie unfolds as one narrow escape after another, with perfunctory action scenes that fail to quicken the pulse, schintzy CGI and automated dialogue replacement, or ADR, so poorly synchronized you'd swear these actors have all been dubbed by other people. Only composer Johan Söderqvist appears to have understood the assignment, using Herrmannesque strings to generate an aura of a falsely accused person on the run from baddies and the law. (Think “North by Northwest,” but with bad visual effects and dialogue in the place of actual tension.) If the storyline gives you déjà vu, that's because “Madame Web” was released a few months after “The Marvels,” which brings together three superheroes from the Marvel Cinematic Universe: Captain Marvel (Brie Larson), Ms. Marvel (Iman Vellani) and Monica Rambeau (Teyonah Parris). “Web” actually plays like a morose mirror image of “The Marvels,” but even though both productions were plagued with reported behind-the-scenes drama, “Marvels” director Nia DaCosta imbued her adventure with fleet-footed pacing, a colorful palette and a refreshingly featherweight tone. By contrast, Clarkson has crafted the movie that “The Marvels” and, while we're at it, the underappreciated “Wonder Woman 1984” were accused of being. Celeste O'Connor as Mattie Franklin, Dakota Johnson as Cassandra Webb, Isabela Merced as Anya Corazon and Sydney Sweeney as Julia Cornwall in a scene from ""Madame Web."" (Photo courtesy of Marvel / Sony Pictures.) “Madame Web” lumbers from setpiece to setpiece, with a perpetually irritated Johnson acting as she'd rather be anywhere but here. She's an undefatigable guardian who approaches death-defying situations with the energy of a janitor tasked with cleaning up a big mess. (“Really? Another spill to mop up?”) In the face of danger, you get the feeling she's about to ask for the manager but keeps getting interrupted. This underachiever should have been titled “Super Karen.” Johnson, the daughter of Melanie Griffith and Don Johnson, has gotten a bad rap due to the “Fifty Shades” trilogy (I was underwhelmed by the first one but rather enjoyed Parts 2 and 3; shhh, don't tell anyone). It needs to be pointed out that she's been good in a number of films, including Luca Guadagnino's “A Bigger Splash” and “Suspiria,” as well as the indie sleeper ""The Peanut Butter Falcon."" Here, alas, she's checked out from the get-go, and even though Clarkson keeps “Madame Web” just under the two-hour mark, you feel like you've been robbed of more time than that. Much like its vexed vortex of a protagonist, you come away feeling like you've had to pay to babysit a bunch of ungrateful and unruly brats. This sorry Spidey off-shoot has already pegged as an expensive flop, and you can't blame the mall crowds for staying away. It drives you up the wall, and not in a nifty, gravity-defying way. “Drive-Away Dolls” and Madame Web” are now playing in wide release across South Florida, including Regal South Beach, AMC Aventura, AMC Sunset Place, CMX Brickell City Centre and the Silverspot Cinema in downtown Miami. THEATER: The actor nominated for a Tony Award for his portrayal as Mrs. Doubtfire in the Broadway musical comes to Fort Lauderdale in the national tour. Michelle F. Solomon has the review."
