Dates,Scores,Reviews
"Jun 16, 2021",positive,It's actually a little bit more soulful than it lets on.
"Apr 29, 2021",negative," In the genre of ‘teenagers saving the world in post-apocalyptic wastelands’ ‘Mortal Engines’ is a very odd entry. Its conceit, taken from a successful young-adult novel series from the early 2000s, makes very little sense. After the world was destroyed in a brief, brutal nuclear war, society has rebuilt itself…on wheels. Entire cities have been lifted, somehow, on to massive chassis and hurtle around the scrubby land looking for stuff. How? Not even a suggestion of an explanation. Why? It’s never really clear, beyond it being a good excuse for some whizzy CG. And the CG in this film is very whizzy. Weta Digital have done a fantastic job making this odd world look real. You will believe a teeming metropolis can chase a Bavarian village across the desert. Visually it’s often wondrous. Behind the visuals, though, the machinery is awfully creaky. The Lord of the Rings team of Fran Walsh, Philippa Boyens and Peter Jackson wrote the adaptation. ‘Lord of the Rings’ showed they are brilliant at wrangling rambling story and massive worlds into understandable narrative. That skill has deserted them here. Every plot turn in ‘Mortal Engines’ raises more questions and provides very few answers. Its core character is Hester (Hera Hilmar), a loner assassin fixated on killing Thaddeus Valentine (Hugo Weaving), who was responsible for the death of her mother. Valentine is a very powerful and well-respected man in London, the largest and apparently most vindictive of the wheeled cities, whose inhabitants don’t know he’s building something sinister in St Paul’s Cathedral. When Hester tries to kill Valentine she’s stopped by Tom (Robert Sheehan), a young man who archives old relics like toasters and televisions. The pair wind up stranded in the wilderness, forging an unlikely alliance as they try to get back to London for very different reasons. While it’s at heart a simple revenge story, the mechanics are often deeply confusing and drearily humorous (only Sheehan raises any kind of adventurous energy). Valentine does all his scheming in secret, so people won’t realise he’s evil. But the residents of London are shown to be so bloodthirsty, shouting and cheering whenever they destroy a smaller city and not remotely objecting when he reveals his grand plan, that he may as well have been above board the whole time. Hester’s backstory is baffling, involving a mother who was, we’re told, vital to those resisting the wheeled cities but also in a relationship with Valentine, neither of which is clearly explained. There’s a zombie assassin that relentlessly tracks Hester, killing hundreds, because…he likes her? The plot is a distant secondary consideration to action set-pieces. There are so many gaps in the storytelling and so much reliance on chance and characters guessing things that it’s never even remotely absorbing or satisfying. It’s a beautifully designed world but no real life exists within it."
"Jan 29, 2021",negative," If a bad film is lucky, it will manage a handful of mediocre reviews, a decent return at the box office and a steadfast retirement into Netflix’s catalog. The problem “Mortal Engines” will face is not that it is “bad” per se. It’s simply not very good, and the parts that aren’t terrible are because you are hopefully seeing it in IMAX, if not on a regular theater screen, and the visuals are enough to keep you mildly entertained. Co-written and produced by Peter Jackson of “Lord of the Rings” fame, “Mortal Engines” is a lifeless fantasy epic that is mildly enjoyable at times, but suffers from several grave afflictions that ultimately incur steep viewing consequences. Based on the 2001 series by Philip Reeve, the film is a sweeping, steampunk look at our post-apocalyptic world after a “Sixty Minute War” ravages the earth, forcing the major cities to find a set of wheels – yes, cities become Monster Truck-type monstrosities – and scour the wastelands for resources, undergoing what is coined “Municipal Darwinism”. London is the principal “Traction City”, dominating and ultimately “devouring” smaller traction cities in order to utilize their resources. Following a high-thrills chase sequence that opens the film, London is undergoing one such feast when a local historian Tom Natsworthy (Robert Sheehan) meets Thaddeus Valentine (Hugo Weaving), a local celebrity who was once a historian as well. Small talk is cut short by a mysterious woman named Hester Shaw (Hera Hilmar) who inexplicably attacks Valentine and narrowly escapes by ejecting herself off the moving city. Despite his well-meaning intentions, Tom pursues the shadowy girl and inadvertently lifts back the veil on a decades-old secret that makes him a liability and therefore, disposable. Stranded in the harsh tundra, Tom and Hester must work together to reach civilization and stop Valentine’s maniacal plan before the earth is hit with another geo-catastrophic event. Frequently oscillating in tone and aesthetic between Jim Henson (minus the puppets) and other extreme fantasy world-building films like “John Carter” and “Stardust”, “Mortal Engines” is certainly not hard to look at. Director Christian Rivers, a former storyboard artist and visual effects teammate for most of Peter Jackson’s biggest hits, understands what we want to see and, more importantly, how to translate that onto the screen. The colors pop. The world around us swirls. Shot on detailed sets, the beauty is surely in the details. Hundreds of perfectly dressed extras flock through several scenes large-scale scenes including the aforementioned chase sequence. The set of London is surprisingly charming and intimate, and it gives us the sense that we really aren’t in Kansas anymore. Not Kansas in the 21st century, at least. The inventive machines of the future pique our interest, but therein also lies one issue the film struggles to address: the mechanics of the beastly cities are never fully explained or shown in enough detail. It, therefore, doesn’t seem plausible that cities could be made mobile. The plot is immediately built on a shifty, uncertain premise, and we, as the audience, don’t feel secure in the world we are entering. World building in a fantasy film is essential to its success. How can you allow yourself to dream if you know that you’re asleep? And the characters. They can’t seem to escape the caricature natures written into the script. Hester is a one-note, manic, alt-Disney princess who hides behind a scarf because of a measly scar on her face. Tom is a wide-eyed ingénue with only good intentions and very little self-awareness; he is also supposed to be the love interest, but there isn’t much chemistry flickering between the leads. Valentine is the fiendish villain with a sparkle of menace in his eye and an evil plot that actually, maybe wasn’t thought through all the way. Sure, the sets are cool. The story rolls hard and fast, racing towards a final battle that you see coming from across the flatlands, but in the end, it feels like a long road trip to nowhere with people you don’t particularly like."
"Jul 14, 2020",negative,"Once we dive into the players and the events that have shaped them, Mortal Engines is undeniably derivative of countless Hero's Journey-based stories and hopelessly lacking in creative energy."
"Jul 13, 2020",negative," Dystopian YA novel adaptations seem to be a trend that will not go away, The Hunger Games set a precedent that most fail to live up to and as each year passes the imagination disintegrates into dust. The latest that falls into that category comes from the Lord of the Ring’s Peter Jackson and first time director Christian Rivers who produce a derivative paint by numbers affair with a transparent twist. Set approximately 3000 years from now, the world has been scorched of cities as we know them in a 60-minute war. The Mad Max type landscape is roamed by cities on tractor like bases, some are tiny and insignificant whiles others are tremendously large, bellowing and boisterous monstrosities that swallow the smaller ones whole for fuel and ancient parts.  ‘London’ is one in particular, with landmarks such as St Paul’s Cathedral dome and Trafalgar Square lions scattered around its compound. This is the big daddy of Cities and no one in their right mind would come against it. The well respected Thaddeus Valentine (Hugo Weaving) is at the helm of this city, on the surface he appears to be an honourable man but as Hester Shaw (Hera Hilmar) boards the city and subsequently attacks him it’s obvious he isn’t as snow white as he would like to portray. No sooner is Hester on board; she quickly gets kicked off with Museum apprentice Tom (Robert Sheehan) and we are soon on a quest to get back to ‘London’ so Hester can finish the job before weapons of the past can be rebuilt to destroy the world as they know it. The major problem here is the fact we have all seen this before, there is nothing original or imaginative to set this out and in parts can be seen as a homage to the likes of Star Wars. Throw in Hester’s backstory and a resistance group lead by Anna Fang (Jihae) and we have that age-old dystopian battle to save the world and save the oppressed. The beat of the plot steam punk’s its way to its predictable ending (which you’ll easily call from the very first scene) with visually exciting tenacity. The attention to detail to the dark and grimy depths of the core of ‘London’s inner sanctum are beyond doubt an impressive feat but at times it confuses itself. Does it want to be serious or funny? Neither hit with any real connection, the jokes fall flat and even the funniest moment when the Minions are referred to as American Deities’ raises a few titters isn’t quite factually correct. The performances are bog standard, Hilmar gives as good as she gets as an ass-kicking and determined heroine but Sheehan doesn’t really have much to work with. Thrown in as a side-kick that could be a love interest, he really doesn’t have much to do but follow Hilmar’s Hester around like an annoying little puppy. These Engines have had a false start and broken the fan belt, thank god they are mortal because this one dies a very slow death."
"May 20, 2020",negative,A missed opportunity.
"May 20, 2020",negative,It wasn't fun or good or interesting.
"Apr 4, 2020",negative," About ten minutes into Mortal Engines, I became convinced I would never find out what a mortal engine actually is. Is it the giant behemoth city that is London on wheels? Or maybe it’s the centipede like vehicle that rambles across the wasteland with ease? Or, could it be the steampunk planes that defy gravity? Or, possibly it’s robot Dad who has green eyes that pierce through the night? If there’s one thing for sure, there won’t be a second Mortal Engines film to give an explanation. Maybe that’s what a mortal engine is? The behemoth that is Hollywood endlessly creating bloated CGI-filled flicks that cost more than a small country makes in a year, all the while they’re destined to fail at the box office. Eventually, once the template of The Producers has failed one too many times, these mammoth production houses have no choice but to dissolve into nothing, leaving a field of producers standing alone scratching their heads with no idea how this ever could have happened.  Sure, this film does contain the best post credits scene of all time (as in, the film simply cuts to a black screen, oh? That wasn’t a post credits scene and instead was just the sweet mercy grip that this whole thing was finally over? Well then…), but even though there are apparently three more books in the series,there is simply no way that there will ever be a continuation of this series. Apparently the books are popular young adult fare, which given the content, I can easily believe that.  Now, damning this film with the faintest of praise for a brief moment, I will say that Mortal Engines is one of those eighties films (like The Goonies) that you fell in love with as a kid, and then you rewatch it as an adult and realise it was all bunkum trash. It’s a childish kind of good, but I fear that kids nowadays are a little bit wiser than we were in the eighties and wouldn’t stand for such mediocre material. Well, even though Conan O’Brien once said, ‘don’t be cynical’, it’s bloody well hard not to approach this tepid affair with a heavy dose of cynicism. There’s so little to hold onto with this film.  Plot? Oh, yeah, you probably want to know about the plot.Well, there’s a girl with a scarf over her face because she’s got a scar. Fear not BFI, she’s the hero of the piece so, y’know, positive representation and all that. Her name is Hester Shaw (Hera Hilmar). If you forget this, the film will remind you every thirty seconds as supporting characters are endlessly shouting out her name, HESTER SHAW!, even though as a ‘main character’ she’s surprisingly devoid of any kind of agency.  Instead, the guy driving the plot is Han Solo Mark 9, this time played by Robert Sheehan. Sheehan has been in films before, I know this because I quite liked him in Three Summers, but his casting here feels like it happened simply because he was in a film called The Mortal Instruments: City of Bones. Good on you Rob. Alas, there’s little to suggest that he’s going to go on to do bigger, brighter, better things in this flick.  Hugo Weaving appears because New Zealand isn’t very far from Australia and Peter Jackson has his phone number on speed dial. He’s Hugo Weaving. The biggest crime of Weaving’s casting is that the film never allows him to chew on the dialogue it throws at him. Heck, when Weaving’s villain calls someone a dinosaur, and then remarks that he’s ‘the meteor’, the film presents this solid line with all the impact of a wet paper towel. Soppy and annoying.  Then, there’s Stephen Lang as CGI robot Dad, Shrike. He’s a robot. And he’s Hester Shaw’s surrogate Dad. For reasons, he is real mad at her and now stalks the world searching for her. The character design is admittedly quite impressive, but it’s impossible to shake the feeling that Shrike walked out of a Pirates of the Caribbean film into this one by mistake. No doubt the character has some kind of emotional resonance in the books, but here it’s just another subplot that makes no sense and goes nowhere. Which is the best way to explain Mortal Engines. It’s nonsensical pap that would have been better serviced under the title Steampunk and the World of Tomorrow. It wants to make some kind of fun at the way we’re obsessed with technology, but in a film fuelled by said technology, well, it carries no weight. And, on top of this, for a film that’s released by Universal, it’s exceptionally poor of them to include a joke about how Minions are deities that we are obsessed with. Ho ho, funny stuff there guys.  Look, there’s no reason to see Mortal Engines. It’s not ‘so bad it’s good’. There’s no one set piece that is overly impressive – unless, that is, you’re easily impressed by CGI noise, then by all means, giants cities on wheels eating smaller cities might be interesting enough. The endless swooping camera movements, the overly dramatic music, the inconsequential characters, and the nonsensical plot leave you with an empty feeling. This is the sort of film that has people commenting about they could never ever spill a secret they’re sworn to keep, and then in the same breath tell that secret to a stranger. It’s the sort of film that has flashbacks to something that happened five minutes ago. It’s a film that should have you asking, how the heck did this get made?  Andrew is passionate about Australian cinema, Australian politics, Australian culture, and Australia in general. Found regularly talking online about Sweet Country, and reminding people to watch Young Adult. Excerpts and links may be used, provided that full and clear credit is given to The Curb with appropriate and specific direction to the original content. The Curb explicitly prohibits the use of published content for the development of any software program, including, but not limited to, training a machine learning or artificial intelligence system."
"Feb 14, 2020",negative,It borrows from many stories but doesn't have enough of its own to offer.
"Feb 1, 2020",negative,"Which such promise and thrill at the start, the film caves under its own weight. Hoping that the filmmakers would go bold or go home on this, they've gone, nowhere."
