Dates,Scores,Reviews
"Feb 15, 2024",positive," 15 years since David Nicholl’s book became a mega hit, and 13 years since the less great film version, we’re now treated to televisual epic of an adaptation. In a move closer to the book, each episode focuses on one of the chapters – one day in the lives of Emma (Ambika Mod) and Dexter (Leo Woodall) over the course of two decades. A bittersweet exploration of love, loss and longing.  The story of a community of women in 1980s post-punk London who met doing art, music, politics and sex, and how they went on to change their world by becoming artists, performers, musicians and activists. So bloody badass.  There’s nothing to be gained from be clanging in on the current state of MCU, enough – more qualified – voices have done that. All I will say is that The Marvels deserved more love than it got and is one of the more accessible, you don’t *need* to have watched all/any of the other films to enjoy this science fiction romp following three super women (Brie Larson, Teyonah Parris and Iman Vellani) as they team up to save the universe.  While caring for her brother along with her audacious mother (Laura Linney), a teenager (Nico Parker) strikes up a friendship with an eccentric activist (Woody Harrelson) who is protesting one of the most landmark medical cases of all time. A really charming coming-of-age story made all the more heart-rendering considering this is writer-director Laura Chinn‘s fictional account of her life in the early 2000s as a Florida teen with a severely ill older brother. Arriving to Prime Video with a Rotten Tomatoes rating of 74% freshness, an infuriatingly and unjustly infrequent high score for a 21st Century romcom, should suggest to you that this is one to check out asap. When Ana (Camila Mendes) is upgraded to first class on a work trip, she meets handsome Will (Archie Renaux), who mistakes her for her boss (Marisa Tomei). The white lie that sets off a glamorous chain of events, romance, and opportunity, until her fib threatens to surface."
"Feb 14, 2024",positive,Lone Scherfig navigates the ebb and flow of Dexter and Emma’s relationship with a sure hand. 
"Oct 27, 2020",negative,"Unfortunately the end result is a half-baked, virtually humourless, romantic muddle that doesn't do the much-loved book justice."
"Sep 18, 2020",negative,"Anne Hathaway is uneven, overwrought, and frequently butchers the British accent as Emma."
"Jan 28, 2019",negative," July 15, 1988.  After a meet cute on the night of their college graduation, Emma and Dexter begin a lifelong friendship, spanning over two decades and different countries. Emma (Anne Hathaway) is a middle-class bookish with a more realistic and at times pessimistic outlook on life.  Dexter (Jim Sturgess) is a charmer from a wealthy family who could be anything he wants to be.  Every July 15 we’re shown snapshots of their lives – aspiration, career, love, loss, divorce, death – together and apart. Hathaway fits the role of Emma, although it takes getting used to her British accent.  While we get to see Dexter’s side with his family, we do not get the same benefit with Emma.  With booze and drugs and women, the character of Dexter isn’t likeable; it is to Sturgess’ fine performance and boyish charm that he’s very much tolerable. While Emma’s fashion sense and inner confidence blossom, it’s actually Dexter that we see the evolution the most. The weary, older Dexter in the later part of 2000s is a world apart from the fresh-faced, eager Dex when he first appears. There are adorable and tear-jerker moments for sure.  The first July 15 carries great promise of what’s to come.  Although when part of the ending reveals the last half of their first day together, it’s hard to believe that they would decide to remain just friends.  The flirtatious French jaunt earlier in the years is fun and the later reunion an emotional one. Based on a novel written by David Nicholls, the story does not translate well onto the screen.  As the years progress, we see changes in Emma and Dexter and their surroundings, but it feels like the scenes are merely events moving along through the motion. In attempt to fit in as many years as possible, the result is almost like being read narratives about what they do.  Instead of delving deeper into certain segments of their lives, investing in the characters and connecting more with their relationships in the process, the film inexplicably leaves pivotal milestones offscreen. The execution makes it nearly devoid of what makes a story interesting; the build-up, character and relationship development, and payoff.  The last third act leading to the ending is very anti-climatic.  And the ending appears to be out of nowhere, aiming for a shock value.  It’s a shame for a story that has so much potentials to be a classic like “The Notebook.” Nathalia Aryani is a Rotten Tomatoes-approved film critic (rottentomatoes.com/critic/nathalia-aryani).  She has a movie blog, The MovieMaven (sdmoviemaven.blogspot.com).  Twitter: @the_moviemaven. She can be reached at [email protected]. Currently you have JavaScript disabled. In order to post comments, please make sure JavaScript and Cookies are enabled, and reload the page. Click here for instructions on how to enable JavaScript in your browser."
"Jan 8, 2019",neutral," It’s a common cliche of both romantic comedies and romantic dramas: The one you’re meant to be with might be the friend you’ve taken for granted all along. Unfortunately, that’s not the only well-worn trope used in “One Day,” though it is indeed a rare film: one made by a talented director and clever writer with two beguiling actors that isn’t particularly engaging. Emma (Anne Hathaway) and Dexter (Jim Sturgess) spend their first day together on July 15, 1988. The two Brits graduated the day before from the University of Edinburgh, and after an evening of drinking with friends, go home together. A clumsy attempt at going to bed follows and the pair decide to be just friends. But relations between a man and a woman are rarely that uncomplicated — especially when one begins the friendship with feelings for the other.
  It’s easy to see why Emma falls in love. Dexter — and the man who plays him — is incredibly charming at first, with an easy confidence that still allows him to poke fun at his privilege. But it doesn’t last. As Dexter succumbs to the drugs and girls that come with fame, he gets more and more obnoxious. By the time it appears that these two might finally get together — after a marriage, a childbirth, and a divorce — you can’t possibly understand why she’d still want to.
  It’s not the fault of Sturgess or Hathaway, who are as appealing as ever. We’re meant to see Emma and Dexter as opposites who attract, yet we learn nothing about Emma’s family or formative years. We just know, from the odd joke, that her people don’t have as much money as Dexter’s. These characters lack depth, which makes it hard to credit their transformation.
  Screenwriter David Nicholls, adapting his own novel, also wrote the likable comedy “Starter for Ten.” Director Lone Scherfig made the intelligent drama “An Education.” Let’s hope “One Day” is just a single aberration in two capable careers.
"
"Nov 15, 2018",positive," Film critics can be such heartless bastards at times. I’ve read many assassinations of One Day (2011) in the last 24-hours, and although I expected lots of whining and over-intellectualised prose, I was hoping Lone Scherfig’s follow up to An Education (2009) would have gained more favourable reviews.I have one simple rule when it comes to critiquing other people’s work: if you make me cry, then you have achieved something remarkable. Laughs are ten-a-penny and thought-provocation is no great shakes, but if you can stir-up someone’s emotions and get the tears flowing freely then your creation is worth a damn. For the last 20-minutes of One Day, I was a weeping wreck. Some reviewers have expressed anger and claimed they felt manipulated into caring about the protagonists, but I find that perspective ridiculous. All good cinema manipulates the emotions and it’s snobbish and pompous to slate a film  just because it’s not a masterpiece of acting and direction. Based on David Nicholls’ bestseller, One Day is the tale of Emma (Anne Hathaway) and Dexter (Jim Sturgess), two students that spend the night together after their college graduation and become friends. Each year, on the same date for the next twenty years, we revisit Dexter and Emma to see where they are in their respective lives. Sometimes they are together on that day and sometimes they are not. Cue lots of heartache, broken relationships, life lessons and longing looks. Essentially, One Day is your standard Hollywood romance for the thirty-something generation. The soundtrack of the film is the soundtrack of my youth, with everything from Primal Scream, Tears for Fears and Tricky making a welcome appearance. Anne Hathaway’s accent is somewhere between Jane Horrocks and the resident of an obscure Irish village, but she’s pretty, solid and once again stakes her claim to being one of the most endearing and watchable actresses around. Jim Sturgess has never really impressed for me, but he does show glimpses that he is capable of more, though many will find his character to be a little too odious to care about. Give the man a chance and I’m sure he will win you round. The pacing of One Day is sadly not what it could be. Some years get more screentime than others, and those that dealt with Dexter’s fame and substance issues could have been fleshed out. As for the couple’s chemistry, I found the relationship to be totally believable, but I can appreciate that there are those who won’t buy it. I recognised my own experiences and romantic history on screen and I have no doubt that is why I became so emotionally invested; but for me, that is another sign of greatness. Lone Scherfig is doing little more than using the characters as a mirror to the audience. If you’ve ever been in love, then your mind will drift to that person which creates a powerful cocktail of real and on-screen sentiment. All great love stories have that power. The likes of Ghost (1990) and The Notebook (2004) will never be at the top of any ‘greatest films of all time’ list, but they will be watched and re-watched for decades to come because people like to be reminded that romance isn’t yet dead. One Day will be playing in living rooms to the sound of sniffles and crumpled chocolate wrappers for many years to come and that, for me, is worth applauding."
"Jan 30, 2018",positive,
"Feb 28, 2013",positive," For everyone who’s grown tired of the summer onslaught of superheroes, save-the-world plots and explosions, Hollywood finally offers some decent counter-programming in the form of the brainy romance One Day. Based on the novel of the same name by British writer David Nicholls and adapted by the author, the film introduces us to two people in their early 20s who are about to spend July 15, 1988 – the night and day after their university graduation – together. Bookish Emma (Anne Hathaway) possesses a caustic wit that masks a deep insecurity as well as a schoolgirl crush on rich boy Dexter (Jim Sturgess), who radiates self-confidence and the surety that he’s going places in life because no one’s ever told him no. She wants to be a writer, and he wants to be famous. The two forge a connection despite their many differences and thus begins a close and often times combative friendship that flirts with true love. From there on, the movie looks in on Emma and Dexter on every subsequent July 15, from 1989 through to the present day, taking us through 20 years of July 15ths – St. Swithin’s Day in England- offering a series of snapshot portraits of two often separate lives, from young adulthood to early middle age. We see Emma grow in confidence, just as Dex’s self-esteem takes a hit with the failing health of his mother (the radiant Patricia Clarkson) and his fading television career. From year to year, we also get to observe how their life and relationship choices, both sensible and foolish, leave lasting impressions on each of them and inform their bond with one another, as July 15 becomes the most important day in both their lives. Danish-born director Lone Scherfig has tread these waters before, namely with her spot-on portrayal of keening adolescent love in 2009’s Oscar-nominated An Education. With One Day, she continues her track record of sure and insightful direction by including accent notes in the story that quietly release the pent-up power of a relationship that grows and strengthens over time without relying on typical Hollywood histrionics or rain-soaked declarations of love. This is a movie about a life that happens while you’re busy making other plans and even despite the star-crossed lovers undertones; the central relationship feels surprisingly real. Hathaway and Sturgess have an undeniably lovely chemistry both as friends and lovers, and despite the fact that Hathaway’s accent takes a tour across the British Isles, they both do well with the material, infusing their realistically flawed characters with charm and relatability. The supporting cast is also a treat to watch: Clarkson plays Dex’s doting mother with grace and humour, while Romola Garai (Atonement) and Rafe Spall (Shaun of the Dead) take on the thankless roles of the significant others that are not meant to be and elevate the limited screen time they’re given. On the downside, some may find the rapid passage of time and frequent scene changes jarring and too quick to really settle in with the characters on a truly deep level. Checking in with Emma and Dex just once a year could have easily been a momentum killer and yes, occasionally certain scenes will leave you wanting a just little bit more. Ultimately though, the gimmick works because the actors sell it. They will you to believe in them and in Emma and Dex’s troubled yet transformative relationship.  It’s a simple story that feels like a sweeping romance and that’s enough to make One Day well worth two hours at the cinema this weekend."
"Jan 14, 2013",neutral," Not a lot of love affairs, real or cinematic, can have it said of them that they end better than they begin.  But “One Day” ends with a heartfelt flourish that was sorely missing from its first 90 minutes. This episodic romance works in fits and starts, and captures a bittersweet faux British turn by Anne Hathaway, plainly mismatched in being paired with real-life Brit Jim Sturgess. The conceit in novelist-screenwriter David Nicholls’ tale — two friends drunkenly tumble into bed on the night of their graduation from college. But nothing happens — so they say. He’s game, then she’s game, then he isn’t. So they talk, instead. Since they are both Brits, they note the date — July 15,  Saint  Swithun’s Day.  The book and film catch up with them over the years as they catch up with each other on Saint Swithun’s Day. Emma (Hathaway) settles into a waitress job at a Mexican restaurant, resisting the overtures of the clumsy would-be-comic Ian (Rafe Spall). Dex (Sturgess) takes on the guise of the “one that got away” and who keeps getting away. He travels. He lands TV host jobs. And over the course of the next 18 years, they do-si-do around the idea that they should be together. He flails about through fame, then infamy, shallow affairs and addictions, and she “settles” — letting her low self-esteem hem her into a life of quiet doe-eyed desperation. The banter is pleasant enough, but there’s a funereal air hanging over the would-be affair. Her routine settles in — “Head home, cup’o tea, weep.” He’s meant to build her up, save her. “You can’t throw away your life just because you think it’s funny.” But there’s just no magic in any of this. For a movie seemingly designed to have this wistful, romantic arc to it, “One Day” never quite reaches that opening “meet cute” moment. She reads the popular novels of the day (“Unbearable Lightness of Being” at one point), and he pleads with her to “be spontaneous,” never once suggesting that he’s the sort of chap she’d want to be spontaneous with. Hathaway is an old hand at British accents and is convincingly demure, uptight and English. Patricia Clarkson, playing Dex’s mom, doesn’t have to play the first two and fails at the third — a rare off-key off-accent performance for her. It’s a frustrating film, never light enough on its feet to be cute, never heartfelt enough to achieve “You had me at ‘Hello.’” Lone Scherfig (“An Education”) can’t find the pulse of this story, the romance. It’s a British adult version of “Flipped” in which the guy doesn’t seem self-aware enough to realize in any decent interval of time how special the girl is and how he should stop letting her down. Dex and Emma have their ups and downs, but it’s never obvious why she carries a torch for this guy after she’s aged out of her girlish “He’s so handsome” attraction. That results in a romance that is wistful, half-hearted and melancholy, a love affair without the spark that ignites such love affairs. And if we can’t root for the couple, what is the point of the couple?"
