Dates,Scores,Reviews
"Mar 13, 2023",positive," Growing up is messy and alienating. The confusing process of finding your own identity and the best crowd can be overwhelming at any age, but especially in a moment when self-esteem is so precarious, and the biggest concern you have is to be liked by others. In addition, today’s environment is not a friendly one. The Internet, social media, and the expectations of society make it too hard to grow up unscathed. This reflection is at the center of Cuties. The movie portrays the complicated path of maturity and finding yourself. Nevertheless, unsatisfied with this scenario, director Maïmouna Doucouré focuses this coming of age story in a Black Senegalese girl trying to adapt in a foreign country and a liberal society, completely different from her conservative background. Cuties follows the story of Amy (Fathia Youssouf, with a wide-eyed face and a nervous smile), an 11-year-old girl that must deal with too much at once. She has arrived in Paris with her mother and two baby brothers, and her father will join them soon after. Her position as the oldest sister means that she must take care of her siblings – including an adorable Demba Diaw – while embracing her community’s old traditions. In addition, her relationship with her mother is complicated, who is struggling with her own grief after discovering that her polygamous husband will arrive in France with a new wife. Once Amy arrives in her new school, her sight is caught by a group of young girls that seem to own the place. The typical mean girls that destabilize your whole world and make you want to be part of theirs, even if their attitudes and actions go against your own. In this aspect, Amy’s new conundrum is too real and identifiable. Every girl has been there. These girls are confident, extroverts, and dressed in too provocative attires for 11-year-olds. They also have a dancing group called Cuties, copying their moves from mature, and yet accessible, music videos. Amy will do everything in her power to be part of this gang, even when they treat her wrongly and call her names. In a matter of days, Amy changes her appearance, adopts new attitudes towards her family, and starts making questionable decisions. Soon enough, she is an entirely different person, even going further than her new friends had ever gone before and adopting attitudes that are too complex and sexual for her to even understand. It is easy to understand that this movie reflects the complications of growing up in a lonesome way. These girls are lost and afraid, with no figure guiding them through these confusing times. The feeling of aloneness is at the heart of the movie. “Cuties” has inadvertently become the target of conservative critics in an overwhelming discrediting campaign. What would have been a success story of a French-Senegalese director selling her first movie to Netflix, after positive reactions in Sundance, became a nightmarish experience because of a careless marketing strategy by the streaming giant, which was obscenely exploited by conservative trolls. However, reducing this movie only to its evident critique of the over-sexualization of girls would be too easy and narrow-minded. As a matter of fact, Amy’s thoughts regarding her father’s decisions, combined with her apprehension towards the changes in her household and body, are the most interesting things of the movie. Her rebelliousness even feels revolutionary. The movie does not shy away from uncomfortable topics that are present in real life, and that shape our process of maturity and attainment of self-esteem. Cuties reflects the real-life emotional abuse that young girls suffer through examples of slut and fat-shaming, over-sexualization of girls, the inappropriate content in the media, and how easy it is for children to get access to it. Although hard to watch at times – precisely when the director makes it evident that the girls are acting foolishly – the movie accurately portrays the complications and conflicts of growing up. Now regardless of its quality, it seems that Cuties has been judged and condemned. This is the real tragedy considering that the movie is directly criticizing the things that it is being attacked for. Furthermore, many of the themes and emotions that are part of our protagonist’s story are recognizable, more so if the audiences are formed by (Black) women and foreigners trying to adapt to a new social paradigm. As such, it is impossible not to feel protective of the movie. Sometimes uncomfortable and others too radical, Cuties is an eye-opener with an inspired ending, despite the troublesome scenes we witnessed seconds earlier. People should be concerned, not at the movie itself, but at the realities that it clearly reflects."
"May 30, 2022",negative," 
Yasser Medina es un crítico de cine dominicano, especializado en la historia del cine y el análisis cinematográfico. Actualmente escribe en el periódico dominicano Acento (2022-presente). También es el primer crítico en República Dominicana aprobado por Rotten Tomatoes."
"May 10, 2021",positive," Cuties has already been condemned by hundreds of thousands of people who will never even watch it. When it premiered at the Sundance Film Festival in January, this deliberately discomfiting, French coming-of-age drama won largely (though not unequivocally) positive reviews. It only became a cause célèbre a few weeks ago, when Netflix shared a promotional poster showing four pre-teen girls – each around 11 years old – imitating very adult poses familiar from countless recent music videos. More than 300,000 people signed a petition accusing the film of sexualising “an 11-year-old for the viewing pleasure of paedophiles”, prompting Netflix to apologise for the artwork which was “inappropriate” and “not representative” of the film. Director Maïmouna Doucouré has since received death threats, and said last week that Netflix’s co-CEO Ted Sarandos called her personally to apologise. That apology was definitely warranted because Doucouré is clearly trying to hold up a mirror here; her film is a powerful exploration of the way young girls are subconsciously encouraged to perform for the male gaze. She lifts the lid through the heartbreaking growing pains of 11-year-old Amy (Fathia Youssouf), a young girl living in a humble Paris apartment with her mother Mariam (Maïmouna Gueye) and two younger siblings. Amy’s father is still in Senegal, where the family hail from, but will soon be joining them in Paris with his second wife in tow. Mariam is devastated to have to share her husband, but is urged by her stoic, old-school aunt (Mbissine Therese Diop) to put on a brave face in front of the community. The aunt also wields a significant influence on Amy, telling her a “grandiose wedding” to a suitable man should be her ultimate goal in life. Doucouré, who is also of Senegalese heritage, neatly illustrates how Amy finds herself caught between the traditional values of her Muslim family and the image-conscious Western ideals of her peers. In an early scene, we see her trying to straighten her natural Afro hair with a regular household iron after she sees stylish classmate Angelica (Médina El Aidi-Azouni) doing the same thing. Desperate to fit in, Amy begins to dress like a teenager instead of a child and joins Angelica in an all-girl dance troupe called “the Cuties”. Copying the provocative, twerk-heavy routines they see in contemporary music videos, the Cuties are determined to qualify for a big dance contest in central Paris. Their practice sessions and performances are difficult to watch – if they weren’t, Doucouré’s film wouldn’t be such a damning indictment of the premature sexualisation of young girls. Elsewhere, though, the director’s lack of subtlety can slightly undercut her message. One scene features a vague and lazy suggestion that Kim Kardashian might be partly to blame for the Cuties’ misguided aspirations, and Doucouré relies on a few contrived plot developments to bring her film to its ripe climax. Still, there’s no denying she makes her overall point effectively: this is a vivid and very alarming portrait of a young girl struggling to live up to two competing forms of deeply ingrained patriarchy."
"Mar 31, 2021",positive," Film critics William Bibbiani and Witney Seibold review three new Netflix releases - CUTIES, THE SOCIAL DILEMMA and #ALIVE - and the new HBO Max comedy UNPREGNANT! Also this week on THE CRITICALLY ACCLAIMED STREAMING CLUB, Bibbs and Witney revisit one of Don Bluth's classic animated films, ALL DOGS GO TO HEAVEN! Subscribe on Patreon at www.patreon.com/criticallyacclaimednetwork for exclusive content and exciting rewards, like bonus episodes, commentary tracks and much, much more! And visit our TeePublic page to buy shirts, mugs and other exciting merchandise!  Follow us on Twitter at @CriticAcclaim, join the official Fan Club on Facebook, follow Bibbs at @WilliamBibbiani and follow Witney at @WitneySeibold, and head on over to www.criticallyacclaimed.net for all their podcasts, reviews and more! Email us at letters@criticallyacclaimed.net and follow your hosts on Twitter at @WilliamBibbiani and @WitneySeibold! And subscribe to the Critically Acclaimed Patreon for more, exclusive podcasts!"
"Mar 19, 2021",positive," Maïmouna Doucouré's first feature, drawing on her own experiences as a child, Cuties caused tremendous controversy when it first reached screens. It has since won a César for its star Fathia Youssouf, who was named Best Newcomer. There's no doubt that the subject matter is difficult, dealing with issues around preteen sexuality, but the very fact that we struggle to have necessary conversations around this topic is one of the concerns it addresses, and any danger that it might titillate some adult viewers has to be considered in light of that fact that similar material is available in considerable quantities online - usually without any such challenging demand for empathy with the youngsters it depicts. Youssouf stars as Amy, an 11-year-old girl from a Senegalese community whose strict religious upbringing clashes with the values of mainstream French society. Like any kid that age, she's trying to find her niche in the world and establish ways of expressing herself. Kids at school mock her plain clothing whilst cooing over the Cuties (Mignonnes in the original French, a term which doesn't carry quite the same history of association with pornography), a group of girls into fashion and dance, so naturally she wants to be like them. She's not cool enough, however, so she follows them around, eventually earning a place as a videographer for their routines and subsequently replacing one of their number after a falling-out. Her relationship with the group is troubled and inconsistent, as is often case with female friendships at that age. It is also intense. The idea that they might win a competition together becomes all-consuming. Amy needs a distraction from hr home life, where her mother is struggling to cope with her father's plans to take a second wife. Her grandmother is trying to force her into a traditional role and punishing her for the smallest infractions, but she can see quite clearly that there's no guarantee of such a role making her happy. Other members of the community are more sympathetic but nobody really has time to give her the attention she needs, and the message handed down from female elders is that girls should be kept away from sin by sheltering them from all discussion, all concept of sexual expression or desire. Caught between two differently confusing worlds, Amy pursues her own desires aggressively as if trying to force the mixed messages she receives into some form that makes sense. At no point does she or any of the other girls evince desire for another person. The flirtatious moves they make and they way they dress are a form of play, a means of exploring their potential as they begin to grow up. Only Amy herself shows any awareness of how older men might perceive them, dancing in front of different men on two occasions in an attempt to take control of difficult situations. The film does not depict any abuse of the girls, though - through the reactions of one of these men and, later, of men in a crowd watching the troupe perform at an events - it clearly signals the danger they face. There's a blackly comic aspect to the latter scene, with the girls completely unaware of how horrified most of the people in their audience are. With all this in mind, this could actually be quite a useful film for parents to watch with daughters of a similar age so that they can highlight the dangers which kids all too often fail to recognise without such prompting. There is a call here to recognise uncomfortable realities and to make girls part of the conversation around their own safety rather than simply trying to separate them from the world or deny the fact that they are growing up. With the exception of one of the girls' crush on a boy at school, they live their lives quite separately from their male counterparts. They expect similar freedoms and are all too easily turned into scapegoats for a cultural problem, blamed for causing discomfort when all of the actual danger stems from the behaviour of adults. Doucouré has stressed that the young actresses approached their scenes very much as play and were not somehow sexually corrupted by the dance routines, which simply didn't have the same associations for them as they might for adults. These seems consistent with the naturalness of the performances throughout. Youssouf shines but she is far from the only talent on display here. The complex interactions between the girls are beautifully captured with a recognition of how cruel they can be which is usually missing from such depictions. We see their youth not just in their naivety about sexual matters but also in  their self-centredness and short-sightedness about life in general, made manifest in a (on-sexual) shocking incident near the end in which Amy briefly fears she may have gone too far. We see them very much as people, complicated and difficult, without the soulless innocence that adults find it convenient to imagine. A potent coming of age story with particular relevance to minority ethnic experiences, Cuties is a fresh look at girlhood which deserves to be commended for its bravery. If, for some, it's difficult to watch, it's worth reflecting that it's often difficult to be a girl that age. Doucouré has captured something raw, presenting a reality which ought not to be ignored."
"Jan 9, 2021",positive," In March of 2020, the pandemic lowered the boom on the movie industry, scuttling the release schedule for the remainder of the year with only a few studio movies released. With a few exceptions, the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry. In March of 2020, the pandemic lowered the boom on the movie industry, scuttling the release schedule for the remainder of the year with only a few studio movies released. With a few exceptions, the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry. In March of 2020, the pandemic lowered the boom on the movie industry, scuttling the release schedule for the remainder of the year with only a few studio movies released. With a few exceptions, the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry. But to paraphrase Jeff Goldblum in Jurassic Park, movies … um, find a way. In 2020, this was mostly due to streaming services, although Christopher Nolan did manage to get a theatrical release for his temporal extravaganza Tenet (earning US$362 million worldwide). It turned out some of the movies released on studio streaming services weren’t worthy of the theatre anyway (Artemis Fowl, Wonder Woman 1984). Still, where there’s a will — or a Netflix account — there’s a way. With that, Free Press movie writers Alison Gillmor, Randall King and Jill Wilson offer up a few of the best of a bad year. In this quiet, unhurried drama, set in a 19th-century fur trading post in the Pacific Northwest, indie director Kelly Reichardt patiently dismantles the ideology of the Hollywood western. A gentle Jewish cook (John Magaro), an enterprising Chinese traveller (Orion Lee) and that titular bovine come together for a minimalist, humanist story that touches on labour and capital, history and national myth, all the while remaining a lovely, low-key buddy picture. From Danish Dogme director Thomas Vinterberg, this deliriously drunken but ultimately sobering comedy-drama tracks a group of middle-aged friends, teachers at a Copenhagen high school, who decide to maintain a consistent blood alcohol level of .05 per cent — in the interests of science, of course. Anchored by the monumentally craggy face of Mads Mikkelsen, this day-drinking comic premise becomes a serious Nordic examination — look out for those Kierkegaard references! — of midlife melancholy, fallibility, friendship and the need for joy. Both passionate and delicate, Celine Sciamma’s breath-stoppingly beautiful period film, set in 18th-century Brittany, centres on a painter (Noemie Merlant) who’s come to make a marriage portrait and her reluctant subject (Adele Haenel). As the two women fall in love, the film becomes a rapturous exploration of the female gaze — behind the camera, on the screen and in the audience. Former Winnipegger Matthew Rankin’s surreal, stylized anti-biopic — named Best Canadian Feature Film at last year’s TIFF — is a fabulist take on our country’s 10th prime minister, William Lyon Mackenzie King (Dan Bierne). With hallucinatory visuals and deadpan comic timing, Rankin turns history into a fevered Freudian national dream. This made-in-Brazil gem jumps through a few genre possibilities — science fiction, social drama, star-crossed romance — before landing on a large-scale action movie about what happens when foreign hunters come to a Brazilian backwater with evil intent. Written and directed by Juliano Dornelles and Kleber Mendonça Filho, it’s simply a ridiculously entertaining film and its appeal lies in the richness of the village setting. Aaron Sorkin’s dramatization of the titular trial/circus draws a straight line between current events — police brutality, racism, judicial/political corruption — with the 1969 story of how Richard Nixon’s attorney general decided to railroad seven political radicals with charges of conspiracy in vengeful response to the riots at the Democratic National Convention in Chicago in 1968. The defendants are hardly a united front, with two in particular — Yippies Jerry Rubin (Jeremy Strong) and Abbie Hoffman (Sacha Baron Cohen) — treating the trial as political theatre. They set the stage for Sorkin’s urgent message about seeking unity in these divisive times. A few locally shot films were released in 2020, many in the horror genre, including the backwoods horror movie Hunter Hunter, the urban horror anthology Tales from the Hood 3, and the studio-produced reboot The Grudge, not to mention the Percy Schmeiser biopic Percy (starring Christopher Walken). The best of the local films however was Sean Garrity’s I Propose, mainly because of Garrity’s insistence on giving a fresh take to that most exhausted of genres: the romantic comedy. Putting together a very contemporary relationship movie, Garrity ups the ante by putting the cinematically-neglected Filipino-Canadian community into the mix via heroine Iris DelaCruz (Hera Nalam), who finds herself smitten with troubled Mennonite lad Simon (Kristian Jordan). Nalam is the main reason to see the film. No manic pixie dream girl, she keeps Iris’s emotions grounded, making her entirely relatable, especially in her battles with her disapproving mom. But Nalam has big-time, big-screen charm. (Tonight only, the film will screen free of charge for Manitoba audiences commencing at 6:30 p.m. by logging onto januarysecond.com. Sponsored by SafeAtHomeMB.ca, the screening is part of an effort to keep Manitobans at home during the COVID-19 crisis.) Much as we may love Martin Scorsese, you have to appreciate Italian-made films about the Mafia such as the 2008 film Gomorrah, or Marco Bellocchio’s The Traitor. These films brings an immediacy to the Mob movie, a sense that the Mob is a clear and present danger to those it touches, the innocent and the corrupt. The Traitor is the true story of mobster-turned-informer Tommaso Buscetta (Pierfrancesco Favino), once a soldier for the Sicilian Mob. Brutally convinced to testify against his former confederates, he engages with anti-Mafia judge Giovanni Falcone (Fausto Russo Alesi) and ultimately spills on just about everyone, as we come to understand what drove the fatal wedge between him and his fellow mobsters in the first place. Bellocchio uses the facts of the case to gleefully puncture the myth of Mafiosi dignity. As Buscetta, Favino is a terrific presence, charismatic as past Italian tough guys such as Lino Ventura. If we can thank pearl-clutching reactionaries for anything, it’s for bringing this beautifully wrought coming-of-age film to wider attention. The provocative Netflix PR for Mignonnes (the French title) ignited a firestorm of controversy — including claims of child pornography — over a thoughtful foreign-language art film that would otherwise have been on few viewers’ radar. Starring the wonderfully expressive Fathia Youssouf Abdillahi as a Somali-French preteen who struggles to reconcile her Muslim upbringing with the broad sexuality she sees among her peers and via social media, Cuties is a powerful statement about letting kids be kids. It might be cheating to lump all five of Steve McQueen’s full-length films into one year-end choice, but the thematically linked works, which are oddly designated as a miniseries on Prime Video, really are of a piece, as the British director (Hunger, 12 Years a Slave) explores the world of West Indian immigrants in London from the late ‘60s to the ‘80s. One of the standouts of the quintet is Lovers Rock, an outlier in that it isn’t based on a true story. Instead, it lovingly documents a house party, luxuriating in the details of food, music and romance of a specifically Black experience with a tremendous sense of joy."
"Nov 22, 2020",positive," The tricky line between marketing and exploitation caused a ruckus in the case of Cuties, a wild feature debut from French-Senegalese Maïmouna Doucouré. It won the directing award at Sundance before being snapped up by Netflix. Then a poster happened to it. This was an image cribbed from the film’s most openly provocative sequence – the finale – which, out of context, made everyone see red. It showed four pre-teen girls striking “sexy” poses on a dance stage, wearing shiny crop tops, knee pads and booty shorts. Netflix soon apologised for the poster, and switched to a different image of this quartet pouting to camera, but the damage was done. Doucouré received death threats on social media, and a petition to have the film banned has amassed over 340,000 signatures on change.org. Sight unseen – one can only presume – the originator of the latter Mary-Whitehouse-esque screed calls the film “disgusting”, “dangerous” and made “for the viewing pleasure of paedophiles”. The Turkish broadcasting watchdog RTÜK seems to have agreed, ordering the film’s removal from Netflix in that country. But enough of the moral panic. No one involved in demonising this film has paused at any stage – or watched it – to consider that its very subject is the disturbing, premature sexualisation of young girls in French society. Doucouré is hardly sly with her theme: by the end, she goes all out to make us squirm.  Eleven-year-old Amy (Fathia Youssouf), a Senegalese Muslim, has recently moved to a Parisian housing estate with her mother (superb Maïmouna Gueye) and two younger brothers. Her father, who we never see, is about to take a second wife, and preparations for the dreaded wedding are underway. At school, a troupe of wannabe dancers called the “mignonnes” (“cuties”) catch Amy’s attention, but she feels too square and shy to fit in – at least until she pilfers a mobile phone from her uncle, and begins using it to take selfies, beautify herself and get tips from hip-hop twerking videos. Doucouré is blatantly pushing buttons here – never more so than in the ever-more-eye-widening dance sequences, where Amy quickly graduates from the rookie in this crew to the one schooling them in risqué, finger-biting choreography. If the pageant finale of Little Miss Sunshine often springs to mind, she functions in the story as Alan Arkin to her own Abigail Breslin.  The other girls want to pass as 14 to attract boyfriends, and with Amy’s phone, they have worrying access to everything the internet can show. Their licentiousness starts to float free of strict plausibility. Amy borrows skimpy T-shirts from her brother, swipes cash and takes them all on shopping sprees. Their make-up budget starts to look enormous. Essentially, they’re aping the gang from Céline Sciamma’s Girlhood, who were 16 going on 25. In letting this play out, Doucouré is underlining an obvious fantasy of pre-pubescence: to fast-forward towards being treated as desirable. The film is more an experiment in chutzpah than a slice of social realism. As the girls mess about recklessly and rehearse their moves, their lack of any supervision is odd, if semi-explained by the distracted chaos of Amy’s household. But they also know how their immaturity gives them a treacherous power, as we see when a security guard tries to hustle them out for trespassing and they brand him as a child molester. These certainly aren’t your neighbourhood’s average polite children. They’re twerking terrors of the pavement. Following some well-received shorts, Doucouré made this from a very personal place. The keenest parts explore the push/pull of her Muslim upbringing. Amy is acting out because of her father’s betrayal, and unwilling to follow her mother – who’s secretly devastated – down the path of demure submission to the patriarchy. Her rebellion is defiantly flaunting herself, and thanks to some brazen invites from the film’s camerawork, the routines she masterminds tend to make the male gaze curl up in horror.  This is powder-keg provocation in an age so terrified of child sexuality. Thanks to the furore, it has blown up just as much in Doucouré’s face. But the film’s first hour is top-notch for a debut. The child performances are electric. The range of emotion she gets from Youssouf – not just the jaw-dropping cosmetic transformations – mark her out as a magician with actors. Gang leader Angelica – quite the failure for nominative determinism, there – is played with almost Larry Clark-esque attitude by Médina El Aidi-Azouni, another brilliant find. How Doucouré achieved her joyous last shot, I don’t quite know. Imperfect as it is, this film deserves to launch a career, not end one."
"Oct 23, 2020",positive," Here, director Maïmouna Doucouré beautifully captures the mercurial, cruel, and confusing terrain of 11-year-old girl groups. Determined to show her mettle, Amy teaches herself how to dance by mimicking the sexuality adult women display in provocative music videos, and then piques the girls' interest by teaching them to twerk and pout. One of the more effective ways to raise awareness about a problematic cultural norm like pornification is to baldly show it, and this is the tactic Doucouré takes in many cringe-inducing scenes of Amy and the girls practicing for and performing in a dance competition. They wear booty shorts and crop tops, twerk, finger their lips, and mimic provocative dance moves popularized in videos like the recently released single by Cardi B., ""WAP."" This is the material that critics of ""Cuties"" denounce, many of whom revile the film without actually having watched it. It is, after all, an easy sell: few want to find themselves on the side of arguing for the sexualization of girls. I encourage readers to reject the false dichotomy of pornification v. purity, and see them as one and the same. Pornification makes compulsory sexual self-display while purity culture over-values virginity and counsels ""modesty"" in girls' and women's dress to protect men from sexual ""sin."" We can instead carve a new path like Amy does in ""Cuties."" The story ends with Amy choosing not to attend her father's wedding (with her mother's permission) and walking out of the dance competition in the middle of their oversexualized routine. In the final scene, we see Amy dressed in jeans, joining in a game of jump rope. We need more feminist stories like ""Cuties"" that illuminate the constraints girls and women face and help us chart a path to full gender equality.  Bernadette Barton is Professor of Sociology and Gender Studies at Morehead State University, and author of the book ""The Pornification of America: How Raunch Culture Is Ruining Our Society"" and ""Stripped: More Stories From Exotic Dancers."" Copyright © 2024 Salon.com, LLC. Reproduction of material from any Salon pages without written permission is strictly prohibited. SALON ® is registered in the U.S. Patent and Trademark Office as a trademark of Salon.com, LLC. Associated Press articles: Copyright © 2016 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."
"Oct 20, 2020",positive," A principios de este mes se estrenaba en Netflix la película 'Guapis', dos semanas después de que la plataforma lanzase como avanzadilla un cartel hecho expresamente para promocionarla en redes. En aquel póster se veía a las protagonistas, un grupo de niñas de 11 años, con poca ropa y poses sugerentes, algo muy diferente al cartel original de la cinta de Maïmouna Doucouré. Y como siempre pasa en Twitter, la polémica no tardó en estallar: que si boicot a Netflix, que si apología de la pedofilia o que si la historia hipersexualiza a niñas. Tal fue el revuelo, que la propia plataforma se vio obligada a pedir disculpas y cambiar tanto el cartel como la sinopsis. Pero amigos, las redes son como son, y 'Guapis' ('Mignonnes en su versión original y 'Cuties' en inglés) ya estaba en el punto de mira de mucha gente varios días antes incluso de que pudiésemos verla. Con este precedente, no es de extrañar que la cinta francesa, que fue premiada a la mejor dirección en el pasado Festival de Sundance y tuvo una **mención especial en la Berninale, se colocase en lo más visto y se haya mantenido en el podio durante tantos días. La película cuenta la historia de Amy, maravillosamente interpretada por la joven Fathia Youssouf, una niña franco-senegalesa y musulmana que, para escapar de la extrema situación familiar que vive (su padre va a casarse con una segunda mujer, su madre se ve obligada a aceptarlo y van a vivir todos juntos), comienza a fijarse en unas compañeras de clase que se van a presentar a un concurso de baile. El resto de niñas visten ropa más atrevida que ella, se exponen en redes sociales y parecen tener la aceptación popular que Amy también busca.  La ópera prima de Maïmouna Doucouré (antes de esta cinta, solo había dirigido un cortometraje) es todo lo contrario al sensacionalismo que nos quisieron vender antes de su estreno. Y la propia directora se ha encargado de aclararlo. Lo ha hecho en el festival de Toronto, afirmando que decidió hacer este filme para mandar un claro mensaje: proteger a los niños. 'Guapis' puede entenderse como una historia de superación, de cómo una niña de solo 11 años intenta dejar de lado los complicados convencionalismos de su familia, centrando su atención en otras cosas. En este caso, en el baile, en la ropa, en el maquillaje y en ese primer vistazo al mundo adulto que ni ella misma entiende cómo funciona. Es una historia preciosa que, al contrario de lo que aquella primera tormenta de tuits ofendidos afirmaba, pone en el punto de mira con muy buen ojo crítico esa sexualización infantil de la que se dijo que presumía. La película plantea varios temas complicados, y los plantea bien. Es una cinta capaz de criticar la represión a las mujeres que hay en muchas religiones y, a la vez, la hipersexualización a la que están sometidas las niñas en la pre-adolescencia, tengan la creencia que tengan. La historia trata a su protagonista con empatía, intentando hacernos entender que Amy es solo una niña buscando su lugar en el mundo mientras el suelo se desmorona bajo sus pies.  En definitiva, 'Guapis' es todo lo contrario a esa primera idea que la plataforma de Reed Hastings vendió el pasado agosto. Es, de hecho, una de las mejores películas que se han estrenado en Netflix durante estos meses."
"Oct 10, 2020",positive,"Cuties is serious and raises useful questions. If it makes you uncomfortable, it's supposed to."
