Dates,Scores,Reviews
"Mar 28, 2024",positive,"Works on its own, and as a chapter in a larger movie universe that pays off quite well."
"Mar 28, 2024",positive," The MonsterVerse has turned into one of the more consistently enjoyable franchises in all of movies, as Godzilla, King Kong and all of the fellow monsters rampage against each other for global supremacy.  Well, y’know, there are also lots of human subplots, but we’re never really there for the people on the ground. No, we’re there to see a clash of the titans for the ages, and the four films we’ve gotten so far have all been decently fun at worst and stunning spectacles at best.  Ahead of this week’s latest installment Godzilla x Kong: The New Empire, let’s rank the movies in the MonsterVerse and see how these movies stack up against each other in the grand scheme of the kaiju universe.  A riff on 1970s Vietnam films, Kong: Skull Island gave the Monsterverse’s proper introduction to King Kong and sent its human subjects on a terror ride through the jungles of a mysterious island with lots of monsters to battle. The monster action was actually pretty thrilling, but the film doesn’t do some of its main characters a lot of favors with the script. However, John C. Reilly nearly steals the whole movie as a stranded World War II soldier who helps the main cast navigate the terrain.  Godzilla and Kong finally got a chance to battle each other in 2021’s Godzilla vs. Kong, a psychedelic brouhaha for the ages across cosmic landscapes and unsuspecting cities. Sure, the human elements can detract from the mayhem, but the kaiju battles are so inspired and genuinely eye-popping that it’s hard to complain. This one might be the most pure fun of all four.  While the film just could not live up to that absolutely sensational first trailer, it’s still a very compelling monster film with some of the better human characters in the series. Godzilla taking on so many notable villains from the Toho history of the character was so cool in a modern landscape, and finally getting Mothra in the series to help the big lizard out was an added treat. The scope and melodramatics of this one meshed really well with the unfiltered desire to let these beasts go at it.  Gareth Edwards is one of the best filmmakers of his generation to understand scale, and his Godzilla film is one of the better monster films of the last decade. It feels like something bigger than you, one that pits pitiful humans against dueling forces of nature beyond comprehension. Bryan Cranston delivers the best human performance in any of these films by a mile, and Edwards’ big battle scenes feel ripped out of an apocalyptic nightmare. It’s a stunner in every sense of the word. "
"Mar 23, 2024",neutral," It’s too bad that Godzilla: King of the Monsters features far sludgier CGI than the two previous MonsterVerse installments—2014’s Godzilla and Kong: Skull Island—because the muddy imagery fails to capture the grandeur of the movie’s ambitious lineup of classic creatures: Mothra, Rodan, and King Ghidorah. Bathed in murky blues and bleary rain, none of them register with the awesomeness they deserve, to say nothing of the title “hero,” this time defending his turf against the new titans. The human story—involving a tug of war between two divorced scientists (Vera Farmiga and Kyle Chandler) over their teen daughter (Millie Bobby Brown)—is uninvolving to say the least, though I did appreciate how the various expeditions they’re on treat Godzilla and company like specimens: analyzing acoustics, measuring vitals, tracking locations. There are moments when Godzilla: King of the Monsters resembles a fantasy version of a National Geographic documentary—except those tend to deliver far more stunning visuals without any special effects whatsoever."
"Jul 24, 2023",neutral," Synopsis: The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species - thought to be mere myths - rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance. King of the Monsters is the sequel to 2014’s Godzilla, and the third movie in Legendary’s MonsterVerse, which also includes Kong: Skull Island. In 2021, Godzilla vs. Kong is scheduled to be released. As some of you might know, Godzilla: King of the Monsters is one of my Most Anticipated Movies of 2019. Not because I expected it to be a beautifully written, heartfelt story with fully-developed characters who I would immensely care about. I was incredibly excited because it’s freaking Godzilla and from the few images that I had seen, it looked absolutely stunning. I didn’t need an Oscar-worthy screenplay or amazing performances. I just wanted a decent and logical (this last word is important) narrative with reasonable characters, and tons of monsters fighting to the death against each other. So, my expectations were neither complex nor as high as some other people might have. Unfortunately, I left the theater extremely disappointed. I can’t deny the impeccable VFX and the infinite amount of wallpaper-worthy images spread across the entire film. Some scenes are filled with jaw-dropping cinematography, astonishingly gorgeous monsters, and the fights feel so real that the sound design alone takes you to the edge of your seat. However, when the two pillars of any movie (story and characters) are so far away from even remotely working, there are no technically perfect aspects that can save the film from a disaster. I wrote this exact last sentence a few weeks ago regarding Game Of Thrones, and I will stand by it. I’m always the first guy to praise exceptional filmmaking skills, but if I have to choose between a technically seamless movie, and a film with a fantastic story and fully-developed characters, I have no doubts that the latter is the indisputably right choice. Ultimately, that’s the huge problem here. The screenplay is loaded with some of the laziest exposition scenes I’ve seen in the last few years. Characters continuously have some sort of presentation to explain something in a completely unpredictable conversation randomly. Generally, a movie like this always has some kind of cliche secondary characters who are either a nerdy scientist, a comic-relief guy, a duo of bantering personalities, or a military general who always wants to attack something, even though everyone knows it’s not the most intelligent decision. King of the Monsters has all of these types and more! More?! Seriously, Michael Dougherty and Zach Shields overstuff the narrative with so many unnecessary, useless, stereotypical characters who stretch the overall runtime and extend the periods between the massive fights, turning them into minutes of complete boredom. I yawned during a Godzilla blockbuster. Yawned. How sad is that?! I really enjoyed Gareth Edwards 2014’s Godzilla. At the time, the most common complaint was that there wasn’t enough Godzilla in it. Most of the characters were well-written, despite that some could have been more fleshed out. King of the Monsters is (kind of) the other way around: there are dozens of monsters and bone-crushing, titanic fights, but they literally forgot to write a captivating story with compelling characters. In the first installment, even though I also wanted more Godzilla, when he actually shows up, I was so freaking excited! Since I had to wait for the third act to watch the Titans fight, the build-up that was generated and its payoff actually made the time spent with the human characters worthy. This sequel was doomed from the moment the characters were written. There are a lot of fight sequences, and I wrote above that unnecessary characters extend the periods between these scenes. The dilemma is that those periods need to exist, making the whole thing look like a double-edged sword that the director is trying to avoid. On one hand, you can’t have an action set piece after another action set piece consecutively, otherwise, these will lose impact over time and become monotonous, so you need to spend time with the horribly-written human characters. On the other hand, you can’t have dumb characters with unclear motivations on-screen for long periods, otherwise, the audience will fall asleep of tediousness or get annoyed, so you have to insert a massive fight sequence again, hence making the audience gradually lose interest in those scenes. King of the Monsters continuously repeats this cycle of going from one situation to the other. No one wants to have back-to-back fights because they’ll lose the impactful energy, but no one wants to waste their precious time listening to exposition-heavy PowerPoint presentations from characters no one is going to remember their name. I can’t even remember the main characters’ names, and I watched the movie yesterday! I can’t blame the cast, everyone gives good performances. Millie Bobby Brown (Madison Russell) continues her path to become one of Hollywood’s biggest stars (in less than 10 years, she’ll have an Oscar in her hands, I guarantee you that). Kyle Chandler (Mark Russell) does more than what was expected of him with such a lousy script, and Ken Watanabe (Dr. Ishiro Serizawa) is the only one who delivered a solid performance AND had a suitable character (fruit of the previous film). Vera Farmiga (Dr. Emma Russell) is connected to the worst character of the movie (atrociously irrational decisions made by Emma), and everyone else is pretty much one of the vast cliche secondary characters."
"Mar 8, 2023",neutral," Synopsis: The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. If you’re a fan of the Japanese Godzilla movies from 50s, 60s, 70s and beyond, then Godzilla: King of the Monsters is the film for you! If you want Oscar-worthy acting and a complex story, then you may want to skip this one. I love monster movies and have been obsessing over this trailer since the first teaser was released. While this film is far from perfect, it definitely delivered the titan-fighting action that was missing from the 2014 Godzilla movie. Godzilla: King of the Monsters has a plot (contrary to popular belief); it focuses on Russell family (Vera Farmiga, Kyle Chandler, Millie Bobby Brown) and the monster tracking secret organization Monarch. Giant monsters, dubbed titans, each with their own cool nickname pulled from legends or history, are waking up and wreaking havoc. Monarch scientist and Godzilla fanboy Dr. Serizawa (Ken Watanabe) is convinced Godzilla will come to the rescue and restore balance. If you have not seen Kong: Skull Island or the first Godzilla, I recommend seeing at least Kong for a better explanation of Monarch, their mission and history (but they are not necessary viewing to understand this film). There are a few returning characters from the first Godzilla movie and many things mentioned from both Godzilla and Kong: Skull Island. My favorite thing about this film was the plethora of titans they introduced and the way they set the stage for future “MonsterVerse” movies. There were also so many nods to the classic movies- it was obvious the people that made this movie were fans of the old ones. Other than the ridiculous amount of monster fighting action, there’s also a ton of cool planes and other gadgets thanks to the extended look at Monarch operations we get in this film. I loved the scale they set, how massive this operation has become, and how hugely impactful Godzilla and the other monsters are. Something cool I noticed in this film is that it’s filled with women in powerful places (military command, running senate hearings, pilots, scientists) and they don’t make a big deal about it or make it a gimmick. It was nice to see it as “just a normal thing” instead of a selling point of the movie. Ken Watanabe is fabulous, as always, and one of the better acted characters in the film. Millie Bobby Brown also does a decent job in her first big screen appearance. Another positive is the designs of the titans themselves. I loved that Ghidorah, Rodan, Mothra, and others were easily identifiable and basically just big budget versions of their former selves. Now on to my list of things I didn’t like… The acting was kind of cringe-worthy (except Millie Bobby Brown she’s perfect), but the thing that really bothered me about it was every line of dialogue sounded like a quip or cheesy one-liner. Especially Kyle Chandler (the dad) and Bradley Whitford (Monarch’s nerd character). Much of the CG was good, there were moments where it looked like they forgot to finish it, but I was too distracted by the big monsters fighting to care. The thing I didn’t like was Ghidorah and Rodan’s eyes, they were too human or something, and it was weird on close up shots. I also felt like this movie fell into the category of “Fantastic Trailer / Okay Movie”, which was disappointing. The trailer with Somewhere Over the Rainbow playing in the background is one of my favorite trailers of all time, so I had high expectations and unfortunately, they weren’t entirely met. The biggest issue I had with this film was the sound mixing and score. I don’t know if I’ve just been spoiled by epic action movies with equally epic scores lately, but Godzilla: King of the Monsters was severely lacking in that department. There were so many perfect moments that just screamed for a big musical moment, like Godzilla getting back up after getting beat up, and we got nothing. Even when the score was doing something interesting, we could barely hear it over the guns and monster noises. It was such a letdown. To wrap up, Godzilla: King of the Monsters delivered the epic monster action it promised in the trailers. It was a big budget homage to the classic Japanese films many of us grew up watching. I am really torn on how to rate this film; I feel like it needs two grades- one for “Monster Movie Quality” and another for “General Film Quality”. Though it has many flaws, I think Godzilla: King of the Monsters is a solid B+ / A monster movie. I highly recommend it to any Godzilla fan, and suggest seeing it on the biggest screen possible. As for my actual, general film grade, I’m going to have to deduct some points for the score, sound, and script issues. That being said, I can’t wait to see what’s next for the “MonsterVerse” and Godzilla vs. Kong (2020). if you do see this film the credits are filled with interesting tidbits and there is a post credits scene at the very end, so stick around for that."
"Aug 21, 2022",positive," In 2014 director Gareth Edwards brought Godzilla back to the big screen. His monster reboot was the 30th film in the near 70-year-old Godzilla franchise and the first film in Warner Brothers’ interconnected MonsterVerse. I loved the movie and its slow-burning, old-school, creature-feature vibe. Relatively new director Michael Dougherty (“Krampus”) takes the reins of the sequel “Godzilla: King of the Monsters” and delivers a movie quite different from its predecessor. The slow-burn is gone and the large-scaled Kaiju action is front and center. And where the Edwards’ film could also be sold as a stand-alone movie, this one feels very much a part of something bigger and broader. I wouldn’t call this a spoiler but the last film ended with Godzilla sinking back into the ocean after leveling San Francisco in a fight with an earth-threatening monster. Jump ahead five years. Paleobiologists Mark Russell (Kyle Chandler) and his wife Emma (Vera Farmiga) lost their young son during the destruction of San Francisco. They have since divorced under the stress of loss leaving their 12-year-old daughter Madison (Millie Bobby Brown) caught in the middle. While Mark has been off the radar Emma has been working with the super-secret shadow organization called Monarch. They’ve been monitoring not just the movements of Godzilla but the locations of numerous other monsters (called Titans) scattered across the globe in various forms of hibernation. Even more, Emma has constructed a device called ORCA that emits a sonar pulse which can either calm or rile the Titans. This catches the attention of a devious eco-terrorist group, Mark is drawn into the chaos, and a lot of big monsters rise up. The human dynamic is interesting in a variety of ways. The Russell family drama is easily the most intimate, but it’s the broader human story that’s most compelling. As Dougherty himself describes it to Entertainment Weekly, “The world is reacting to Godzilla in the same way we would react to any other terrifying incident, in that we are overreacting.” We see mankind responding to the monsters impulsively – out of fear and uncertainty. And the question becomes how far can humanity’s intelligence and ingenuity take them in the face of such mighty threats? All of this is explored through a fine ensemble – Ken Watanabe, Sally Hawkins, Charles Dance, Thomas Middleditch, Bradley Whitford, David Strathairn, Zhang Ziyi, among others. They all fall in nicely with a script that hearkens back (in a measured way) to the classic Toho Studio films. We get countless reaction shots, stunned utterances, and quick quips. Some may not like what they’re going for, but I got a kick out of it. And I appreciate how the film steers clear of drawn out exposition and loads of scientific mumbo-jumbo. A handful of characters do get pushed to the side but that’s okay because they do exactly what they need to do – service the story and keep it moving towards what we really are there to see – the monsters! And the Titans really are the showcases. In addition to Godzilla we get classic Toho creations Mothra, Rodan, and King Ghidorah. The creature designs are stunning and their epic-scaled clashes are breathtaking spectacles. The special effects, Lawrence Sher’s crafty cinematography, and top-notch sound design makes for some truly satisfying and immersive Kaiju mayhem. I can already hear the pushback from those wanting more human drama in a movie about massive earth-moving monsters. I actually like the way they unpack the human story amid a breathless array of action. And I appreciate how they add layers of intriguing mythology without drowning us in babble. And I can also hear those wanting more of Godzilla on the screen. There are indeed huge segments where we don’t see him. But I was fine with it because his presence never leaves our mind. While things were playing out in front of me, I kept thinking “but Godzilla”. So it makes sense to me that many have dismissed “Godzilla: King of the Monsters” the way they have. But at the same time it saddens me. Michael Dougherty has delivered a Godzilla movie that is unquestionably action-heavy, probably too much for those with no affection for the classic creature-features. But while the film is tipping its hat to its roots, it’s also subtly holding a mirror to modern society. I feel many have missed that element which is unfortunate. But when that human detail is combined with some of the best big monster action ever put on screen, all I can say is ‘Long Live the King’. It’s a ton of fun. Unfortunately it didn’t get the best reception (which I obviously disagree with), but hopefully it’ll do good enough to keep the series going.  Can’t wait to read your take on it. I’m with you, the mediocre reception has really surprised me. It was a great time at the theater and exactly what I like about big summer movies. I also love how it doesn’t shy away from its roots. I was really surprised that this movie was given such a rough ride really . For me it was amazing epic monster bash . The human element was there enough to connect all the dots and the fight scenes were off the wall good. The kid in me that relished seeing all theses iconic giants brought to life and although there was much going on, I never thought it lost its narrative nor the human element .  Plus I liked the fact that didn’t over use Godzilla  it made his appearance more epic .After re-watching the first one before seeing this one , I also have come to enjoy that one even more .I always liked it but have rethought a few of my concerns with it after recent viewings .  I was a a bit disappointed in hows this one has been received . Perhaps it was too long after last one but since they are knee deep in Godzilla vs Kong , we are assured of at least one more . Solid 9 out of 10 from me and one hearty roar for the king of monsters . YES! You absolutely nail it. I’m really wondering what people’s expectations were for this. I found there to be more story depth and satisfying mythology building than I ever expected. And then the monster action. The film packs some truly epic sequences that my son and I absolutely loved. I can’t wait to see it again. Hate to be a naysayer, but I could not stand this movie. For me, the problem was a huge technical one, I couldn’t see it. It was all too dark and creatures were far too obscured. I just couldn’t make heads or tails of what was on the screen. You say the creature designs are stunning, but I simply couldn’t tell. This made it way too frustrating for me to enjoy. My full review should be up tomorrow, but that’s the gist of it. Oh bummer. Hate to hear that. If that were the case for me I would certainly feel the same way. For me it was often breathtaking. Thankfully the screen I saw it on was great which definitely provided a better visual experience. I might check it out on TV though I missed the last film version though I really want to see the rest of the entire Japanese series. The first movie really got this particular version off on the right foot. It was too slow for some but I thought the slow-boil was just right for that film. This movie is probably too action-packed for some. Me, I loved the big action and it felt in line with the story this one was telling. Hope to see it again before it leaves theaters. Love your positive take on a movie that’s just gotten SLAMMED. Ugh. Mind you I still haven’t seen it but you’ve reconfirmed that this will be a great time for me. I am literally baffled by the bad press. I don’t know, maybe ‘dismissive’ is a better word. I found it to be an absolute blast, full of old-school (and nostalgic) monster action. I think it dodges so many of the potholes that can often make a movie like this a real drag. For me it almost felt yanked out of a time capsule but with a stunning new coat of visual effects paint. I was lukewarm on 2014’s Godzilla, but everyone I’ve talked to about King of the Monsters say this one straight up rocked! Admittedly, there are few movies I’m excited for post-Endgame (LOVED Endgame, but it’s a lot of movie and a lot of hype to come down from). This one, however, seems right up my alley. I really enjoyed Godzilla (2014) but King of the Monsters is a much different movie. The monster action is simply fantastic and I would definitely recommend seeing it on the big screen. It was even more fun watching it with my son. Hope you get a chance to check it out. Haha…I know same here. I saw it in theaters on its opening night with the D-Box seating (the seat moves and vibrates), which was awesome, especially with the movie’s action scenes. Yeah, pity.  I enjoyed the higher stakes, action & premise – and the discovery of Atlantis!  (Even if they had to destroy it to save the world.)"
"Mar 2, 2022",negative," Sometimes when watching an action-packed finale in a Hollywood spectacle, the oversaturation of CGI causes your eyes to glass over and your mind to numb into a sleepy state. Somehow, the filmmakers have spent hundreds of millions on special effects, animating impossible creatures, superhero battles, alien invasions, and untold destruction, but none of it has the necessary emotion and energy to counteract our visual exhaustion or keep our attention. Certain blockbusters have this quality, where the third act descends into digital white noise, and the viewer cannot help but lose interest entirely. Competent Hollywood filmmakers know how to use CGI to enhance the material and impress their audience, whereas others resolve to throw endless computerized stimuli at the screen in the final battle and hope for the best. For that reason, Godzilla: King of the Monsters is exceptional; it’s an entire movie that functions as a relentless CGI assault on the viewer’s eyeballs, sustaining a heightened level of fireworks that would usually be reserved for the denouement. It carries on like this for the more-than-two-hour duration, and although initially diverting, it gradually wears the viewer down into a trancelike state of disinterest. Call it digital blindness, in the same way that snow blindness results from severe overexposure.  Godzilla: King of the Monsters is director Michael Dougherty’s bigger, louder, and more tiresome sequel to the 2014 reboot Godzilla, a movie that served its purpose blandly enough to earn some admiration for its technical competence and impressive cast (even though Juliette Binoche and Bryan Cranston played characters who died too soon). However, after a recent rewatch, my already lukewarm feelings about Godzilla have cooled. Not that it matters; most of the characters from the first movie have not returned for the follow-up—save for Sally Hawkins, in a thankless and throwaway appearance, and Ken Watanabe, who is forced to deliver fortune cookie jokes. The sequel also boasts a roster of recognizable names and faces, not that any of them have anything interesting to do. Each actor has been typecast in a familiar way, making it easy on screenwriters Dougherty and Zach Shields, who concentrate less on the human fodder than the enormous zoological specimens on display.  The action starts when, in the destruction caused by Godzilla in 2014, parents Vera Farmiga and Kyle Chandler lose a child, leaving their marriage in shambles and their teenage daughter (Millie Bobby Brown) in the middle. Five years later, Farmiga’s character, Dr. Emma Russell, works with Monarch, the secret agency that monitors humongous animals like Godzilla, known as Titans. Secretly, Dr. Russell also works with an eco-terrorist, played by the ever-villainous Charles Dance, and they plan to awaken the hibernating Titans to wipe out most of humanity and bring about ecological balance. It’s a standard “the Earth is dying, and humanity is the disease” argument popular among Hollywood villains these days (see Kingsman: The Secret Service, Inferno, or Avengers: Infinity War). Meantime, Monarch and the U.S. military try to stop Russell’s plan: Hawkins, Watanabe, Zhang Ziyi, and Bradley Whitford are the scientists; David Strathairn and O’Shea Jackson Jr. represent the soldiers; Chandler is the concerned Titan-whisperer who just wants his daughter back; and Thomas Middleditch provides the comic relief.  Dougherty approaches digital blindness in the opener with Mothra (a ten-story moth that spits sticky webbing), and he continues punishing us with CGI for the duration. Every major sequence—from the first appearance of Godzilla to the Antarctic emergence of the movie’s main baddie, Ghidorah, a three-headed dragon from space—takes place in some manner of visually muddy, inclement weather conditions. Battles between the Titans, such as the first clash between Godzilla and Ghidorah amid an oppressive snowstorm, are a struggle to watch because they’re so murky and obscured. These colossal monsters tangle underwater, in a hurricane, in a burning city, in the rain, or atop an exploded volcano. Along with the shaky camerawork, it’s almost as though the filmmakers don’t want us to make out what’s happening. Moreover, in each location, the image looks as though it’s been run through color filters (mostly blue, gray, or orange), giving everything a digital flatness and hued sameness that is monotonous to behold for any length of time. And while the global plot leaps around several locations the world over, somehow, as the grand finale unfolds, it does so underwhelmingly on the ruins of Fenway Park. Godzilla: King of the Monsters also desperately wants to establish an expansive franchise, wherein 2014’s Godzilla takes place in the same cinematic universe as 2017’s Kong: Skull Island—all to create enthusiasm for the upcoming sequel Godzilla vs. Kong in 2020. Conspicuous references to “Kong” and “Skull Island” are meant to titillate fans and build anticipation for the inevitable meeting between the giant iguana-god and the gargantuan ape. But since Godzilla fights several Titans throughout this large-scale sequel, the notion of Godzilla coming to blows with just King Kong seems rather underwhelming. In any case, Godzilla: King of the Monsters has done an effective job of making larger-than-life creatures completely inert, and any popcorn-munching fun that might’ve come from such a show has been reduced to a dismissive shrug. The viewer watches in a perpetual state of numbness, consuming but not processing, oblivious to any attempt at story or theme because the movie’s primary concern is delivering a sensory explosion—but we experience only the drowsy effects of digital blindness."
"Sep 29, 2021",negative,"Strong action, weak dialogue unfortunately."
"Mar 6, 2021",negative," Directed by Michael Dougherty, Godzilla: King of the Monsters follows an assortment of one-dimensional characters, including Millie Bobby Brown’s Madison, Kyle Chandler’s Mark, and Vera Farmiga’s Emma, as they race to prevent a series of building-sized monsters from destroying the planet. Filmmaker Dougherty, working from a script written with Zach Shields, delivers a predominantly tedious disaster that strikes all the wrong notes right from the get-go, as the movie boasts (or suffers from) an exceedingly, distractingly slick sensibility that’s reflected in its myriad of less-than-substantive elements – with this especially true of the picture’s uniformly underwhelming and incoherent action sequences. (Such moments, rendered entirely with computers, are about as convincing and compelling as a third-rate video game cutscene.) And although the movie is fleetingly tolerable when focused on the exploits of its impressively eclectic human cast, which includes David Strathairn, Bradley Whitford, Sally Hawkins, and Charles Dance, Godzilla: King of the Monsters is increasingly dominated by dimly-lit set-pieces that, perhaps inevitably, pave the way for an interminable second half that’s capped off with an astonishingly tedious final battle – with the end result a very expensive-looking flop that seems unlikely to please even the most indiscriminate of viewers."
"Feb 18, 2021",negative,"  Godzilla is one of those movie creatures who will never truly die. First dreamed up in Japan in 1954 at the height of the Atomic Age, the nuclear-powered monster has unleashed destruction in more than 30 Japanese productions and three American productions, including the new Godzilla: King of the Monsters.  Taking place five years after the events in 2014’s Godzilla, the basic gist of the film is that a group named Monarch is tasked with studying and keeping at bay the group of 17 monsters that have been found around the globe. A rival group believes the monsters should be released, letting “nature” take its course however it may. I’ll give you one guess as to which group wins that battle.  As a result, monsters like the three-headed dragon King Ghidorah, giant moth Mothra, and pterodactyl-esque Rodan proceed to wreak havoc as only giant monsters can. It’s up to the movie’s plucky group of humans to bring an end to the havoc, and this time they’ll need the help of Godzilla in order to do so.  No one goes into a Godzilla movie expecting high art, but it’s still stunning how incoherent the movie truly is. The plot, such as it is, devolves into a rambling mess almost from minute one. That leaves the epic clashes between the monsters to carry the day, but even those are just a mish-mash of special effects where it’s next to impossible to tell what’s going on until the battle is over.  One of the only things keeping the film afloat is the general watchability of its laundry list of movie stars. The cast, which has five Oscar nominations among them, includes Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe, Ziyi Zhang, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O’Shea Jackson, Jr., Anthony Ramos, and David Straithairn. All of them deserve better than the material they’re performing, but each of them also elevates it in one way or another.  Points do go to the filmmakers, led by writer/director Michael Dougherty and co-writer Zach Shields, for keeping the visible human death toll to a minimum. Action films too often wantonly destroy cities with seemingly no regard for the thousands of deaths that destruction would cause. In this film, two of the biggest scenes take place in Antarctica and in the middle of the ocean, taking humans mostly out of the equation.  Fun could also be had in watching the film by playing a “spot the reference” game. Only four monsters are truly showcased, but Godzilla superfans will no doubt relish either the appearances or allusions to other monsters from the franchise’s history. There are also a handful of references to Skull Island, which harkens back to 2017’s Kong: Skull Island and also hints at what’s to come in the already-forthcoming sequel, 2020’s Godzilla vs. Kong.  It’s difficult to know what could make Godzilla: King of the Monsters a truly enjoyable film, but a start would be to focus on what everyone wants to see — the monsters — and leave the tricky plot mechanics for pretty much any other movie. If you go by the movies, life in small towns can either be quaint and neighborly, or drudgery where even the smallest change to the daily routine can be cause for excitement. The latter is certainly the case in LaRoy, Texas, where a case of mistaken identity leads to the small Texas town having more crime than it’s seen in its entire existence. Ray (John Magaro) is a sad-sack character seen as a pushover by the most important people in his life: His former beauty queen wife, Stacy-Lynn (Megan Stevenson), and his brother Junior (Matthew Del Negro), who manages the hardware store where they both work. Early in the film, Ray is shown evidence that Stacy-Lynn might be cheating on him by wannabe private detective Skip (Steve Zahn), bringing even more misery into his life. While sitting in a parking lot, lamenting his horrible life, one night, Ray is approached by a man with an envelope full of money and a request to kill a man. Although initially taken aback, Ray decides to take the job if only to bring something different and exciting into his life. The real hitman (Dylan Baker) doesn’t take kindly to someone stealing work from him, and Ray soon finds himself in several situations that upend his world completely. Written and directed by Shane Atkinson, the film is a lightweight but still enjoyable take on a Fargo-esque story. The fact that Ray has three separate elements with which to deal – his cheating wife, the seemingly ever-present Skip, and his inadvertent entry into the world of crime – gives Atkinson different avenues into which to channel the story, which keeps the film from becoming repetitive. He also upends expectations at multiple points in the film, from the excellent opening scene to the climactic sequence. While some of the characters adhere to storytelling conventions, several take detours that keep the film from relying too much on Texas stereotypes. Ray especially keeps viewers on their toes, as just when it seems he’s becoming predictable, he makes an unanticipated choice. The film does get bogged down a bit in the middle section after an initial jolt of energy that comes with the set-up of the story. Stacy-Lynn and Junior are both mostly one-note characters whose importance to the plot doesn’t help them much. The real hitman, after making a great first impression, recedes into the background too often. The few times he does pop up make you wish his role called for him to be in more scenes. Magaro is good casting for this role, as – much like he did in Past Lives – he plays the well-meaning guy who is overshadowed by others in a way that makes you root for him and hate him at the same time. Zahn has the type of face that allows him to easily play the comic relief, but he’s also good in more earnest moments. Baker makes the most of his relatively limited screentime; if only had had more. LaRoy, Texas doesn’t do enough to be a completely absorbing crime thriller, but with a few good performances and a story that’s familiar but still surprising, it has more highs than lows. With a deadly crime spree the most interesting thing to happen in this small town, it might be worth visiting again. LaRoy, Texas is now playing at Galaxy Grandscape in The Colony; it is also available on demand at home. It will screen as part of the USA Film Festival on April 19."
