Dates,Scores,Reviews
"Apr 12, 2024",neutral," As if Godzilla and Kong weren’t enough, director Adam Wingard unleashes a host of others in “Godzilla x Kong: The New Empire” and lets the skyscrapers fall where they may. Kong, you may remember, is dwelling in Hollow Earth; Godzilla is napping at the Colosseum. As long as they’re in separate corners, everything is OK. Godzilla, however, gets up from his nap, stomps around Europe (making even more ruins in Italy and France) and senses there’s a Kong-frontation just waiting to happen. Kong, meanwhile, has an infected tooth and needs help. We know this because Dr. Ilene Andrews (Rebecca Hall) has a daughter (Kaylee Hottle) who can communicate with him via sign language. To set things straight, Andrews assembles a crew (including a conspiracy theorist and a gonzo veterinarian) and zips to Hollow Earth. Sure enough, Kong has a bad bite and another set of monster adversaries. When a battle hurts his arm, the vet (played by Dan Stevens) cooks up a Kong-sized Infinity Gauntlet glove (trademark pending) and gets the big ape moving. All sorts of creatures (prehistoric and otherwise) start checking in. The goal is to settle them and get to Godzilla. But who first? And when? All of the creatures (including one you’ve heard plenty about but didn’t realize was so literal) cause trouble, sending all parts of the world into turmoil. After they do their urgent care bit, the humans are fairly expendable. Still, they stick around to see what happens and give the girl plenty to translate. While Godzilla makes his way to Kong we start calculating the insurance loss. In addition to ruining ruins in Europe, he levels pyramids in Egypt. Kong isn’t as destructive (he just hangs from buildings) but he does have some nasty adversaries. If it’s Wingard’s goal to spin them off into other features, we’re in trouble. There are so many villains in “Godzilla x Kong” it’s impossible for anyone to divide and conquer. Interestingly, the effects in this film aren’t as good as the ones in the low-budget “Godzilla Minus One.” The monsters look a bit halting. When in doubt, Wingard and company turn up the light. Movie critic Bruce Miller says ""Snack Shack"" is Profane, constantly in motion and very retro. It’s the vacation you didn’t think you needed but sure were glad you took."
"Apr 12, 2024",negative," I can’t say I’ve ever had to review a film and I didn’t know how to pronounce its title. I’m of course talking about the sequel to 2021’s Godzilla Vs Kong, which is confusingly titled Godzilla X Kong: The New Empire.  Are we saying Godzilla EX Kong? Godzilla TIMES Kong? Godzilla AND Kong? Just Godzilla Kong? Or are we just awkwardly trying to avoid saying the name of the film, vaguely speaking of the new Godzilla film and waiting for someone else to make a mistake with the title?  Thankfully, the film itself is much more straightforward than its title. Adam Wingard has returned to helm the sequel to his box office success Godzilla Vs Kong, which saw the titular monsters make peace with each other and team up against an unlikely threat at the end.  We return to Hollow Earth – that’s the subterranean ecosystem that’s underneath our surface – where Kong rules. However, a new threat rises from an even deeper level of the Earth’s core and this time, Kong isn’t strong enough to defeat it on his own.  Enter Godzilla, who’s been peacefully snoozing in the ruins of the Colosseum and who only awakens to fight more Titans as they threaten humanity. Can Kong and Godzilla put their differences aside once more to defeat this new threat?  Without giving anything away, Godzilla X Kong: The New Empire would make a strangely good double-bill with Ghostbusters: Frozen Empire, both being about empires and icy threats.  Mileage will inevitably vary when it comes to Godzilla X Kong. Your opinion on the film probably depends on what you’re expecting from a film about two ginormous CGI creatures wreaking havoc while puny humans run around like headless chickens, delivering exposition where needed.  Once again, the humans are the weakest part of the film. There’s admirable effort from writers Terry Rossio, Simon Barrett and Jeremy Slater to improve the mandatory human subplots by having Jia, the last member of the Iwi tribe and Irene Andrews’ adopted daughter question her place in the world. But let’s be real, we’re not paying to watch the humans grapple with their identities or family ties. We pay to watch Kong and Godzilla wreak havoc.  There is some mayhem in Godzilla X Kong, but not nearly enough. The very beginning, in which Kong is established as an unstoppable force and the true king of Hollow Earth, suggests that we may be in for a satisfyingly gloopy, gooey film in which many a monster is ripped in half. This promise is never fulfilled; Godzilla X Kong disappointingly proves to be a one-trick pony (albeit a very big pony).  If the film was released a year ago, I may have enjoyed it a whole lot more. The final nail in Godzilla X Kong’s coffin is the fact that we’ve had an incredible Godzilla film just a few months ago. Godzilla Minus One proved that you can make a great kaiju movie with a balanced human element and great (not to mention Oscar-winning) visual effects. If anything, Godzilla X Kong seems to lean more heavily towards the emotive Kong, and perhaps it would have worked better as a sequel to Kong: Skull Island.  It’s not all bad, though. The CGI is surprisingly good, and Dan Stevens, playing the world’s weirdest vet and occasional ape dentist, is having the time of his life. Brian Tyree Henry, reprising his role as conspiracy theorist Bernie Hayes, also adds a lot of levity in a film that seems to think it’s funnier than it really is. With Godzilla X Kong, Wingard is aiming for a lighter, more entertaining film than its predecessor, but the film is ultimately brought down by cringey dialogue and unnecessary human baggage.  Warner Bros is said to be examining its 2024 slate - which includes Beetlejuice 2 - and considering delays as the actors' strike continues. 
 A ray of hope appeared yesterday that perhaps the actors' strike might be coming to an end sooner rather than later. After a contentious couple of weeks in which negotiations broke down [...] 
David Zaslav won't be deleting films at Paramount Pictures as well as Warner Bros after all, it seems.
It seems increasingly likely that Paramount Pictures will have a new owner within the next year or two. Chairperson Shari Redstone, who effectively decides the company’s fate, is all but certain to be selling her interests. But who’s [...] 
Mission: Impossible star Tom Cruise joins forces with Warner Bros in a partnership that will see him develop big budget films for the studio.
Tom Cruise already has projects underway with Paramount and Universal, but you can now add Warner Bros to the list of studios that have cemented a working relationship with the Top [...] Warner Bros has released the first trailer for The Penguin, The Batman spin-off series set to premiere later this year. We just don’t know when.  To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site and show (non-) personalized ads. Not consenting or withdrawing consent, may adversely affect certain features and functions. Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen."
"Apr 12, 2024",positive,"This is a massive Saturday morning cartoon, featuring big monster battles, exciting team-ups, and plenty of epic moments. That being said, the plot lacks cohesion, and most of the main human subplot is messy. "
"Apr 11, 2024",positive," On this episode, Kevin Lee from AwardsWatch joins JD and Brendan to discuss the latest in the MonsterVerse franchise with Godzilla x Kong: The New Empire! All of these films are varying forms of diverting thrill while being narratively very messy, and this one doesn’t do much to sway away from that formula. However, we do have a lot of fun talking about what makes it different, even if much of it is the same."
"Apr 11, 2024",positive,"While the story hides the crux of the plot for more than half the story, there’s still enough carnage to maintain excitement even if we don’t know the point."
"Apr 10, 2024",negative," Last time we encountered King Kong and Godzilla (or Hollywood's lesser version of him, anyway), in the self-explanatory Godzilla vs Kong, they ended up putting aside their differences to defeat Mechagodzilla in a brawl that laid waste to half of Hong Kong. In Godzilla x Kong: The New Empire — which somehow skips over ""Godzilla 4 Kong: The Honeymoon Years"" — their relationship has evolved into a precarious détente. The great ape has made a home for himself monkeying around in Hollow Earth, the mythical fantasy world beneath the planet's crust, while the radioactive reptile remains on the surface, helping ward off beastly threats to an otherwise ungrateful humanity. (To be fair, he is accidentally stomping their major tourist destinations.) As always, poor Godzilla is just misunderstood. When he curls up like a kitten for a nap in the Colosseum after a hard day's fight, he has our hearts in his clammy little claws. The same can't be said for the movie's returning human characters, who are once again tasked with delivering thankless exposition and feeble stabs at comedy. Rebecca Hall is back, sporting a chic new 'do and grim new expression as Kong expert Dr Ilene Andrews, as is Kaylee Hottle as the doctor's adopted daughter Jia, a hearing-impaired Skull Island native with a psychic connection to the big gorilla. Also collecting another pay cheque is Brian Tyree Henry, who's saddled with the movie's most impossible task: making a podcaster funny. Responding to a distress signal from deep within Hollow Earth, the team are joined by Dan Stevens's Trapper, a monster vet in a douchey Hawaiian shirt who the movie introduces like he's the second coming of Snake Plissken. Back beneath the earth's crust, Kong clashes with a hostile army of apes led by the villainous Skar King, an aggrieved simian with questionable grooming habits, a whip made of dinosaur bones, and an ancient vendetta against Godzilla. He also keeps a pet radioactive kaiju — that'd be Shimu, if you're playing titan bingo — chained up and ready to rumble. Kong won't be alone for long. Godzilla has soon picked up the scent of a skirmish, and the intrepid humans discover an ancient civilisation of old-timey tribal tropes — led by Fala Chen's Iwi Queen — who worship the series' most iconic diva, Mothra. (Alas, nobody shouts ""Mothra is mothering!"", which seems like a missed opportunity.) Godzilla vs Kong was something of a surprise smash during a respite from lockdown in 2021, when the prospect of seeing epic monsters square off on the big screen seemed like the perfect balm after months of house arrest. But the sequel arrives after years of the usual mirthless Hollywood spectacles, which promise mindless fun but lack the imagination to fire up the senses. (It doesn't help that the great, Oscar-winning Godzilla Minus One, while obviously very different in tone, is so fresh in our memories.) Directed, like its predecessor, by American genre filmmaker Adam Wingard (You're Next; The Guest), Godzilla x Kong is a blur of noise and colour that does have its moments of charm. Kong's grunting and growling smackdown with the Skar King, set against a smouldering subterranean landscape, feels like a wrestling match waged between ancient gods. And his table manners, or lack thereof — snacking on a serpent's neck as though it were a sushi roll — continue to be a nice running gag. As in the previous movie, the netherworld of Hollow Earth casts a shimmering, multi-coloured spell, giving the impression of being trapped inside a magic crystal or a stoner's panel van, circa 1977. Less impressive is Wingard's reliance on an aesthetic schtick that felt played out five years ago: oodles of lazy neon, a synth score, and the sort of FM radio needle drops that even the Guardians of the Galaxy or Thor might think twice about using (nobody needs to be exposed to KISS in 2024). Godzilla x Kong shouts fun — splashes it across the screen with every tool in its digital paintbox. Still, for a movie that features Kong and Godzilla going up against a super-ape riding a radioactive dinosaur, it's surprisingly dull; devoid of much in the way of wonder, soul, or the genuinely strange. By the time the monster tag teams are soaring toward each other in embarrassing slow motion, even two giants of the cinema have been reduced to something as common — as lacking in invention — as Marvel superhero spectacle. With all respect to the talented visual effects team, who are only operating according to their brief, I spent most of the movie wondering how easy it may soon be to re-create all this generic commotion in Open AI generative video, with a few text prompts and a general knowledge of monster lore. At what point will it merely be easier, and cheaper, for studios to farm out this kind of product to anonymous AI servers — or even let audiences create their own versions? When big-screen spectacle becomes lacklustre, can viewers be blamed for not knowing the difference between AI and the real deal? Godzilla x Kong isn't exactly the death knell of the blockbuster — and it's unfair to ask that a simple story of friendship between a nuclear lizard and a 50-foot ape bear the brunt of cinema's woes. But it might be a sign that Hollywood needs to watch out, lest it become the next extinct species. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced."
"Apr 10, 2024",negative," Godzilla X Kong: The New Empire is the fifth film in Warner Bros’ MonsterVerse, the inexplicably popular franchise involving cinema’s two biggest beasts. This latest episode has already been a hit, but like it’s predecessors it’s mostly forgettable.  Returning to Hollow Earth, the underground dimension from the last film, Kong and Godzilla must team up to stop a new tribe of giant apes and a titan from wreaking havoc on the surface world.  That’s about as much plot as the script allows, spending the first act shovelling exposition until they are allowed to give the screen over to a colourful monster mash. The action is entertaining, and the effects are impressive, but that’s all the film has to offer. The beleaguered human cast are wasted looking up at their CGI castmates, with Rebecca Hall’s titan expert explaining every step, while a returning Brian Tyree Henry cracks jokes along with newbie Dan Stevens.  In some ways, would be ridiculous to expect anything more. The American takes on Godzilla have always traded on action over subtext, and previous film Godzilla Vs Kong was a crowd pleaser that overcame a shallow plot with huge beasts tearing it up in a neon city. There’s nothing wrong with mindless spectacle, but after five movies it’s beginning to repeat itself. Director Adam Wingard, who broke through with 2014 thriller The Guest, delivers a trailer friendly product that makes a lot of noise but leaves no impression.  It doesn’t help that Godzilla X Kong arrives just a few months after Godzilla Minus One, the latest Japanese Godzilla that reminded audiences of just how powerful these movies can be. By comparison, these low IQ American cousins offer little more than Hollywood spectacle. "
"Apr 10, 2024",negative," There will be many comparisons in the next day or three between Godzilla Minus One, Takashi Yamazaki’s shockingly beautiful and elegiac epic about a giant lizard triggering nationwide trauma for a country in ruins, and Godzilla x Kong: The New Empire, the newest monster smash up between the Big G and the Ape from Skull Island. But right at the top, every reader should recognize this is a fruitless exercise; a contrast as meaningful as pondering the differences between a genuine Oscar winner and a Saturday morning cartoon. For make no mistake, Godzilla x Kong is a cartoon. I’m told the film technically qualifies as live action, too, because Rebecca Hall, Brian Tyree Henry, and Dan Stevens appear in front of some blue screens (and presumably to pick up hefty paychecks for their troubles). But I still don’t entirely believe it. Flesh and blood actors might float by to spout exposition, but the space they occupy is as real as Bob Hoskins’ foray into Toontown, and a fraction as interesting. Of course the cartoon label could apply to almost every MonsterVerse film we’ve had to date, yet The New Empire holds the unenviable distinction of being the first where for large swaths of the running time, the monsters are as dull as the humans they step over. Chief among those time-filling ants is Rebecca Hall’s Dr. Irene Andrews, who returns from 2021’s equally dumb but much more kinetic Godzilla vs. Kong. If you don’t recall, she is the Kong expert who has also become the adoptive mother of Jia (Kaylee Hottle), the tween girl who is the lone survivor of the Iwi Tribe from the now desolated Skull Island. And because Jia is starting to have nightmarish visions, our double-credentialed and world renowned Monarch scientist is turning for help to… a conspiracy theory podcaster? Yeah, even the movie doesn’t really know how to explain it, but it at least gets Brian Tyree Henry back for another go-round, which is never a bad thing. Together, Irene and Henry’s Bernie convince Monarch to send a team of scientists down into the Hollow Earth where Kong lives as king. Alas, though, it’s a lonely rule since his only friends wear lab coats. The heroes also take along a veterinarian (Dan Stevens) so the proper banter quota can be met. Yet as they look down there for answers to Jia’s visions—and around the same time that Kong discovers a new race of giant apes living beneath the surface of the Earth—Godzilla is forced to shoehorn his sizable frame into the movie by causing a ruckus topside. First he inexplicably starts curling up like a kitten inside the Roman Colosseum, and then he wakes up cranky and in need of a nuclear power plant pick-me-up. It seems the Big G also senses something bad is coming and wants to get juiced for the rumble. The MonsterVerse movies have always been a mixed bag. While the aforementioned Saturday morning cartoon aesthetic has frequently tickled this reviewer’s nostalgia buttons, it is impossible to ignore the intentional simplicity (to use a diplomatic term) in movies like Kong: Skull Island or Godzilla: King of the Monsters. When director Adam Wingard took over the reins in 2021’s Godzilla vs. Kong, he removed all pretense. The human characters’ scenes were cut to the bone and relied on stereotypes of stereotypes. But the monsters? They rarely appeared giddier, with Wingard replicating the crash-your-action-figures-together glee of late Shōwa era Kaiju movies from the Toho Studios of the 1970s—only with a 21st century Hollywood budget. Watching Godzilla and King Kong throw fisticuffs at each other about every 30 minutes was a 12-year-old’s dream, but now with the flair of a visual stylist who bathed the spectacle in chic neon pinks or yellows, and clean shots that took advantage of zero gravity environments in the Hollow Earth. Godzilla x Kong: The New Empire attempts to replicate all those flourishes and tricks, right down to Godzilla even providing the hot neon pink in rustic settings like the Pyramids of Giza (his fins get a Barbieland glow up). The problem, however, is that we have to wait a long time for that Godzilla and Kong action. Despite the film being a fleet 115 minutes, Godzilla x Kong drags where Godzilla vs. Kong skipped into its happy haymakers. The earlier film was a glorified fight night spectacle which saw the title characters get into a donnybrook at least once per act. By contrast, Godzilla x Kong keeps them apart and instead focuses far too much on limp comedy beats delivered by actors working from the worst script in the MonsterVerse saga (which is saying something), and Kong also befriending a proverbial Son of Kong as he battles another giant ape called “the Scar King.” While we appreciate the allusions to both the mostly forgotten Merian C. Cooper 1933 quickie sequel to King Kong, as well as Toho’s own Son of Godzilla (1967), the tsunami’s worth of CGI in Godzilla x Kong lacks the charm of Willis O’Brien’s 1930s stop-motion or the goofiness of a kid in a rubber suit. When used right, digital effects can awe and overwhelm, but they rarely ever endear or beguile. And all the money spent on Godzilla x Kong’s Hollow Earth giant apes sequences prove as inert and lifeless as the drama between Hall and Stevens doing their damndest with nothing. One of the only thrilling sequences in Godzilla x Kong is the Row by the Nile where Godzilla, Kong, and a mysterious third party we cannot spoil get in a tussle with the Great Pyramid of Khufu as their squared circle. It’s daffy, devastating to world history, and a return to the jejune appeal of Godzilla vs. Kong and many Toho classics. It is also literally Godzilla vs. Kong Redux. Similarly, there is then an immediate follow-up final Battle Royale at the Center of the Earth with more creatures duking it out than a Super Smash Bros. online free for all. After 90 minutes of being lulled into a stupor, the climax makes for an extremely expensive alarm buzzer. For those looking purely for that monster mash high, this over-caffeinated climax might scratch an itch, but when you need just as much caffeine to stay awake up until that point, it feels like the fight is already lost. Whether it’s Godzilla, Kong, the Scar King, or Mystery Monster X, there are no winners here—and certainly not in the audience."
"Apr 9, 2024",negative,"The script, there is a plot but it's preposterous tosh and it makes no sense, and it doesn't even try to make sense... Stuff. Stuff. Stuff. ROAR. "
"Apr 9, 2024",positive," In honor of Godzilla x Kong: The New Empire, the two titans of RIOTUS are teaming together like the big fellas at the center of the movie for a joint-review of the new MonsterVerse entry. Julian Lytle: After a banner 70th anniversary year for the King of Monsters Godzilla, with the Apple TV+ series Monarch and then the Academy award-winning Godzilla: Minus One, it’s a great time to be into Godzilla. We’re also at the ten-year mark for the Legendary MonsterVerse films. With Adam Wingard returning after the successful Godzilla vs. Kong, we now have them in a team-up movie. I guess the most surprising thing about going to see Godzilla x Kong: The New Empire is, did you really expect the MonsterVerse to make it this far and do you feel like this is a good entry into this franchise? William Goodman: It’s kind of funny to me that the DCEU and the MonsterVerse launched within a year of one another, yet the latter is a far more successful and coherent extended universe. Sometimes, it pays to keep it simple. This new installment is a good entry into the kaiju genre, mostly because Wingard has a good sense of what people want to see: giant monsters fighting one another. That’s not to say there aren’t things to quibble about in terms of pacing or structure, but Godzilla Minus One and these MonsterVerse films are not. I think it’s wonderful that this film can exist alongside that one and that you can have a bit of a choice of your own adventure when it comes to tales of the King of the Monsters. Should we explain the plot of this one a little bit? JL: So after the events of Godzilla vs. Kong, we have a split in how the territory of the world is split up by the two. Godzilla runs the surface (OR ELSE!), and Kong is now exploring the Hollow Earth set up in the last film as he tries to look for other Giant Apes. Something is causing trouble, leading to more Titan attacks that Godzilla must deal with, as well as some weird readings Monarch is noticing along with Jia (Kaylee Hottle), the Iwe tribe girl who was introduced in the last movie as Kong’s friend. Her adopted mother, Dr. Ilene Andrews (Rebecca Hall), and Monarch Scientist in charge of Kong decided to go down to Hollow Earth, bringing back Titan conspiracy theorist podcaster Bernie Hayes (Brian Tyree Henry) from the last movie as well. This leads to three different journeys to dealing with a new secret threat from the past of the planet, the Titans, and Godzilla’s place in all of it. For me, all of this was pretty easy to follow, but I do know that for many, the plot lines about the human characters are a drag. Do you feel that the plot of Jia and Ilene (and, in turn, all of Monarch) hurts or helps the film? WG: I do think the weakest portion of the MonsterVerse movies are the human characters. Wingard hit on something in the last film, though: Rebecca Hall. I think Hall is one of our most underappreciated performers, and she always brings believability to reach role she takes while also elevating the material accordingly. She’s saddled with whole scenes that are nothing but expository dialogue and makes them feel effortless, while also selling the paternal relationship with Jia.  The human element gets a boost this time around, though, thanks to Trapper (Dan Stevens, reuniting with Wingard from The Guest, a wall-to-wall banger). Stevens is having an absolute blast here playing — and I shit you not — Kong’s veterinarian. He’s introduced by flying in on a giant orbital platform to yank a rotten tooth from the ape.  While I still think the human characters often feel like set dressing or a secondary thought, Wingard is doing his best to provide them with as much engaging material as possible. It also helps that Stevens, Hall, Henry, and Hottle are the only human leads; streamlining the cast down from the last film does give these plots a bit more weight that other MonsterVerse films haven’t quite had.  While it is all easy to follow, it is all a little nonsensical at times. I did feel the setup to get Kong and Godzilla was a little more forced this time around. What about you? How do you feel the big guns fare this time? JL: While I’m a big supporter of the human parts of these movies because of my lifelong fandom of Godzilla films and seeing them all multiple times, it’s how they handle the Titans, which, while I enjoy, is showing cracks in the MonsterVerse overall narrative. These folks want to make another Kong movie, but Kong, or as he continues in this film from the last – Kong McClane will never be as big of a draw as Godzilla. Kong has the heroic journey and arc, and for most of it, you can see the influence of the modern Planet of the Apes film on this version of Kong. His life in the Hollow Earth is explored from his making of traps to deal with threats, his daily life of taking showers and even having to go to the dentist.  Kong’s journey with Jia’s story as a companion piece to push along the story is a lot of fun to watch. Yet then we get to Godzilla, who’s used like how Batman and Wolverine were in the 90s crossover superhero comics. He’s seasoning at best. Godzilla knows everything, and he knows what’s going on even as others don’t, and it doesn’t change how he operates in the world. His little segments are more or less getting his power up to destroy the final threat that actually to Godzilla isn’t a threat at all. It’s Tuesday, a late-day meeting at work; it’s just an annoyance. Yet Godzilla looked amazing in this movie. After the film, we chatted briefly about the effects and animation of this movie and just how consistent they are with this franchise. What stood out to you on how it looks cinematically? WG: Wingard’s style is pretty dynamic by nature, so the camera is fluid with its movements. Our screening was in IMAX, and the film definitely takes advantage of the format in a satisfying way. I think some of the visual effects lose their luster when rendered against the human characters but Kong and Godzilla look the best they ever have. Shoutout to the motion capture performers behind them, especially Kong, who do such an incredible job of making each monster feel life-like. Your point about Kong McClane is so fitting; he’s a grizzled old vet at this point, and the performance conveys that accordingly.  The film is also awash in plenty of vibrant hues, from Hollow Earth’s interiors to Godzilla’s magenta glow once he goes Super Syain Rose. We rightfully knock some modern-day blockbusters for looking bland or boring, but that’s hardly the case here.  Any other closing thoughts here? I think we’re big fans of how fun this feels, even with some issues with the plot. I’m a big fan of the genre for its simplicity; what you want is what you get, and New Empire absolutely delivers in this regard.  JL: Godzilla x Kong: The New Empire is a movie made for me. It was enjoyable and worked well as a big-scale movie theater experience. It works on cartoon-style levels of power-ups and mech armor and tag team battles all over the world. Yet I feel it’s great that we have these different choices and styles for tokusatsu filmmaking. You can have a deeply emotional real-world event-responding film like Minus One, and you can have the Showa and Millennium eras influenced Godzilla movie that also does right by the history of King Kong. I hope others just give themselves a chance to enjoy themselves and accept it for what it’s trying to be. We have cool air vehicles and a giant orangutan doing ape capoeira while using a whip made from a spine. It feels like Godzilla fights something new every 20 minutes. We are living in good toku times William, and I’m just basking in it."
