Dates,Scores,Reviews
"Jan 17, 2024",negative," Some messages on not settling when searching for true love, even if said true love happens to be the Grim Reaper. Reflections on mortality, on trying to live a good and honest life. Bill refuses to sell his media company to a greedy corporation, even if it would make him even richer, as he extols the virtues of honest and straightforward news reporting. There's a subplot concerning an elderly Jamaican woman dying in a hospital who recognizes Joe Black as the Grim Reaper, leading to discussions in which he breaks into a terrible Jamaican accent. No racial or ethnic diversity otherwise. Parents need to know that Meet Joe Black is a 1998 romantic fantasy movie in which Brad Pitt plays Death. A man is struck and killed by a bus and a car while standing in the middle of an intersection in New York City. Some language, including ""f--k,"" ""s--t,"" ""a--hole,"" ""ass,"" ""son of a bitch,"" ""goddamn,"" ""damn,"" and ""hell."" A sex scene contains no nudity. Some talk about sex. Cocktail and wine drinking. There's a subplot concerning an elderly Jamaican woman dying in a hospital who recognizes Joe Black as the Grim Reaper, leading to discussions in which he breaks into a terrible Jamaican accent. To stay in the loop on more movies like this, you can sign up for weekly Family Movie Night emails. In MEET JOE BLACK, Bill Parrish (Anthony Hopkins) is a successful media mogul who is about to celebrate his 65th birthday in grand style. Meanwhile, his daughter Susan (Claire Forlani) is a med student who has seemingly met Mr. Right (Brad Pitt) in a coffee shop while on her way to work, but after they part ways, it seems that they will never see each other again. Little does Susan know that the man she just met is about to be hit and killed while standing in an intersection, but that night, he appears as a dinner guest of her father's. This guest had first appeared to Bill as a voice in his head, but it doesn't take long for Bill to realize that this voice and this man is none other than Death, who has taken on the body of the man who was struck and killed in traffic, and Death has come to take Bill away. Meanwhile, Susan thinks it's the guy she met at the coffee shop, and Death decides that he wants to go by Joe Black and hang around for a while and learn about life from Bill, love from Susan, and the joys of eating peanut butter from a spoon from Bill's hired help. As Bill's time for departure looms ever closer, he must fend off a hostile takeover of his company from Susan's former fiancé, as Joe/Death begins to feel an increasing attraction to Susan. A gimmicky premise is made even worse by iffy acting, hilariously bad dialogue, and a slow pace. Not even the acting chops of Anthony Hopkins can rescue Meet Joe Black, a movie that lumbers along back and forth between some sort of romantic dramedy and reflections on Life and Death and What Does It All Mean, Anyway? Brad Pitt's performance is a real head-scratcher. Why is Death such a spaced-out, wide-eyed goof who develops a fondness for peanut butter? And there were many layers of bad decisions that led to Pitt engaging in a cringe-y ""Irie, mon"" accent when Death meets a dying elderly Jamaican woman in the hospital where his love interest works. It's three hours long, at least one hour too long for this kind of schlock. Families can talk about how Death is portrayed in Meet Joe Black. How is it considered to be ironic to have an actor like Brad Pitt playing this role? Common Sense Media's unbiased ratings are created by expert reviewers and aren't influenced by the product's creators or by any of our funders, affiliates, or partners. Common Sense is the nation's leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information, education, and independent voice they need to thrive in the 21st century."
"Mar 28, 2023",positive,[A] glossy but overlong update of Mitchell Leisen’s 1934 comedy Death Takes a Holiday. 
"Dec 20, 2022",positive," Nothing like a movie with a good lore behind it. Like the stories behind the story of The Room, I finally succumbed to watching Meet Joe Black — director Martin Brest’s 3 hour drama-fantasy-romance from 1998. Browsing through Twitter, I came across the absolutely bizarre car accident scene with a 30-something Brad Bitt and Claire Forlani. Rather than lean on CGI, crew molded a dummy from Pitt’s body that in one take,  actually crashed through the windshield inches from a stunt driver’s head.  Like a lunar eclipse, the wild scene makes the rounds every now and then to be discovered by a new generation. From those images, you can’t help but be seduced into watching the whole marathon melodrama. The film itself was a flop, with a $90 million production budget that grossed only $44 million in the states. But thanks to Brad Pitt ping-ponging off two cars on a Manhattan street, Meet Joe Black has become something of a cult classic in recent years. It currently has a 7.2 rating on IMDB. The film plods along from the very first shots inside media mogul Bill Parrish’s (Anthony Hopkins) Gilded Age-seeming bedroom. Is he Rockefeller? Charles Foster Kane? On the cusp of a milestone birthday, Bill is slowly dying. But it’s not enough to show him waking up in the dead of night clasping his heart once. We come back to it a second time, and then a third, and a fourth, as he lies wide awake. He’s sick, by golly, and this is the note the film must strike! Bill is a wealthy man but also a decent family man. He has two daughters, Allison (Marcia Gay Harden), who often manages her father’s affairs in the hopes that she will be loved in the same way her younger sister Susan (Claire Forlani) is. Bill and Susan fly into Manhattan together where she works as a doctor. In another plodding scene, Bill gives a monologue about how Susan shouldn’t settle for a guy who only kind of makes her excited. That poor middling guy just so happens to be a Parrish Communications board member, Drew (Jake Weber), who comes to regular family dinner to be with Susan and also wants more power within the company.  Before work, Susan hangs out in a cafe where she meets a man (Brad Pitt) new to the big city who immediately sweeps her off her feet.  So much so that when they part ways, they still keep looking back, always missing each others’ glance. The moment is mined for every morsel of drama even though we’re at a point in the story when we’re not much invested in characters we barely know. It’s a “bad” choice cinematically, you could say. But then there’s the twist of seemingly killing off prime Brad Pitt 20 minutes into movie in almost comedic fashion only for him to be resurrected as Death/Joe Black.  But rather than a spoof of your typical predictable rom com, I’d argue that Meet Joe Black considers itself a more refined version of the romantic genre. I haven’t watched a movie with subtitles all the way through in a long time. But when Death arrives at the Parrish mansion and starts haunting Bill in his library, I could barely make out most of those lines. The basic premise is that Death is here to take sickly Bill but for some reason wants to experience life on Earth for a little. So as long as a well-connected Bill can show him around, the billionaire will be granted a few more days on Earth. Soon, Death, or Joe Black, as he’s called, is following Bill around to family dinners and company boardrooms alike. Susan recognizes his image, but also feels that something is off with this guy. After all, instead of eating a 5 course meal like a normal creature, he prefers even finer dining — a jar of peanut butter and a spoon. Eventually, Susan starts to take a liking to Joe, and in a wild scene, takes his virginity by the pool: “That was like making love with someone making love for the first time,” she swoons. But just like the car accident scene, it’s not anyone who is being portrayed as a neophyte, but Brad Pitt. Another viral moment involves a subplot at Susan’s hospital with an elderly Jamaican woman. She rolls into the hospital with her daughter and immediately is chilled by Joe. To the world’s surprise, Pitt puts on his best Jamaican Patois accent and starts to develop a friendship with this woman, eventually ending her suffering. It is here where the film’s thematic messages shine brightest, though I can’t help but wonder if this entire scenario is yet another Magical Negro trope, with a twist. As a titan of industry, Bill is also trying to get his affairs in order and protect his company and legacy from being swallowed up by a conglomerate. Here, Bill is hoping to avoid another kind of death. And in the final hour, Joe tries to figure out a way to be with Susan while Bill, resigned to his death, wants to protect his daughters and his legacy.  This movie should probably be funnier than it is, but for some reason has a habit of taking itself far too seriously in spots — leading to a lot of unintended comedy, a la that Tommy Wiseau masterpiece. Still, the story of social media rediscovery starts to make you wonder if the very way viewers first come across a film influences our perception and experience of it. Or if a conventional movie trailer still sells a movie better than a patchwork collection of clips on Twitter or TikTok curated by popular demand. Fittingly, a film once left dead in the streets lives on. "
"Oct 26, 2020",positive," Why you can trust GamesRadar+ 


Our experts review games, movies and tech over countless hours, so you can choose the best for you. Find out more about our reviews policy. Director Martin Brest took his inspiration for Meet Joe Black from the 1934 film Death Takes A Holiday. That was a comedy, but Brest needed a story that touched on something deeper. Hence, what was originally touted as a rom-com unfolds as a much more sincere drama. Before its release, Meet Joe Black had already been condemned as the most expensive romance ever made (costing over $100 million) and that's for a movie with few special effects. Death may well be a very ordinary character with no obvious special powers. But Parrish, on the other hand, is a millionaire with a millionaire's lifestyle, wardrobe and lavish birthday party to attend. Every detail of his life is perfectly realised on screen (specially designed furniture, ornaments, clothes, etc), and to create a millionaire's lifestyle you evidently have to spend a millionaire's budget. The money, however, isn't the issue: no one minds how much is spent if the end product is fantastic. The issue here is the running time. Meet Joe Black is not bad: it's superbly acted by the three leads, while the relationship between Anthony Hopkins (struggling to deal with the knowledge of his death) and Claire Forlani (who gradually begins to suspect the stranger's motive), is particularly well handled. It looks sumptuous too, bathed in autumn colours as light and life creep into Death's existence. And, to top it off, this morbid love story also has a compelling central storyline, as well as a subplot about the fate of Parrish's media empire. But what it has more than anything else is a bum-numbing three-hour running time. With its epic nature, Titanic got away with it. Meet Joe Black does not. At the beginning, Parrish delivers a long speech about the nature of life and love. His distracted daughter looks at him and says: ""Give it to me again, but the short version."" Someone should have said that to Brest. He could have cut a few speeches. He could have lost a very uncomfortable sex scene between Joe Black and Susan (would they make Death- babies?) He should certainly have sliced out some uneven playing from the support, who seem to think they're in a different kind of movie to the central protagonists. These elements wouldn't have been missed. We could also have gone without Pitt's astonishing Jamaican accent, used for dramatic effect when a Caribbean woman recognises Joe Black for what he is. Not to mention the very unconvincing explanation of how, although he's in one place, he can still kill people all over the world. The audience would have survived. The best bits of Meet Joe Black are contained in the first half-hour and the last, and are worthwhile. The beginning is intriguing, the end tearful, especially as Susan wordlessly begins to realise the fate of her father. To those who have lost a relative recently, these scenes in particular are teary and painful. But they would have had so much more impact without a thumb-twiddling, seat-shifting middle-section. Not bad, just not as good as it could have been had the editor been allowed to hack an hour or so off the running time. Thankfully, however, the classy performances from Pitt, Forlani and Hopkins make Meet Joe Black worthwhile. But only just. The Total Film team are made up of the finest minds in all of film journalism. They are: Editor Jane Crowther, Deputy Editor Matt Maytum, Reviews Ed Matthew Leyland, News Editor Jordan Farley, and Online Editor Emily Murray. Expect exclusive news, reviews, features, and more from the team behind the smarter movie magazine. "
"Oct 26, 2020",positive," A businessman is visited by an otherworldly presence who has the nerve to fall in love with his daughter in this savory, extralong feature (1998), whose obvious plotlines unfold with an almost painful slowness that somehow makes them deeper. The potentially doomed romance between Susan (Claire Forlani) and Joe (Brad Pitt, achieving the unimaginable with a convincing portrayal of a sexually naive character) is set in a deliberately ironic materialist’s dreamscape—the estate of Susan’s fabulously wealthy father (Anthony Hopkins), who learns to appreciate what’s truly important even as he decides which theatrically decadent dessert to serve at what may be his last birthday party. Martin Brest directed a screenplay by Ron Osborn, Jeff Reno, Kevin Wade, and Bo Goldman inspired by the 1934 movie Death Takes a Holiday."
"Oct 26, 2020",negative," To call the three-hour-long “Meet Joe Black” leaden would do an injustice to lead. To call it phlegmatic is to dishonor phlegm. To describe it as turgid does a disservice to honest turges everywhere. Only the hardest-core Brad Pitt fans will want to brave this static, deflated entry into the Screen Angels Sweepstakes. If they insist on disregarding the best advice — Don’t go! — then they should at least heed the following: Bring adequate lumbar support and gallons of coffee, not to mention a box of Kleenex. Because rest assured, tears will be jerked. “Meet Joe Black,” which is loosely suggested by the play “Death Takes a Holiday” (later turned into the 1934 movie starring Fredric March), revolves not around Pitt’s character but a business tycoon named Bill Parrish (Anthony Hopkins). Parrish spills more money in a day than most people will earn in a lifetime, but he’s just not happy. About to turn 65, he’s nagged by a mysterious pain in his left arm, the onset of which is accompanied by a mysterious voice. Heart attack? Stroke? Worse? Bill doesn’t know, because he doesn’t bother to see a doctor to find out. Which is strange, because one of this daughters, the beautiful Susan (Claire Forlani), is a medical resident who’s constantly hanging around his Manhattan penthouse, taking dips in the pool and wafting around the art-strewn corridors (she isn’t exactly the hardest-working doctor in show business). After endless scenes of helicopter rides and dinners and people talking to each other, the mysterious voice finally makes its identity known and its presence seen. Enter the aggressively blonded Pitt as Death, who arrives not to speed things up but to take a break from all that reaping. A deal is made: As long as Bill can keep him entertained, Death will spare his life, an arrangement that could add entire weeks to the older man’s life. He installs himself at Bill’s side, living at the penthouse, going to the office, sitting in on board meetings and, oh yes, falling in love with the comely Susan, who is a tad confused by this handsome stranger’s behavior. (You can imagine the Cosmo quiz: Your boyfriend is moody and disappears for unexplained periods of time. He’s A) on crack. B) married. C) The angel of death!) Brad Pitt, who really should listen when his mother tells him to get that hair out of his eyes, may well be a very fine actor. But not in “Meet Joe Black,” in which the shaggy heartthrob seems to have researched his role — an odd semaphore of stilted speech, robotic movement and bobbing head — by observing street mimes and dashboard dolls. Still, Pitt cannot be faulted for “Meet Joe Black.” This interminable exercise in non-cinema should be laid at the door of director Martin Brest, who has inexplicably orchestrated the movie as a series of long, dull scenes. We get lots of board meetings and corporate back-stabbing and literate speeches (the words “suborn,” “imprimatur,” “machinations” and “Machiavellian” popped up in a single scene). Indeed, the most visceral moment of “Meet Joe Black” is the shocking sight of a much-loved character being hit by a car and tossed into the air, a scene that should be approached by Pitt’s younger fans with extreme caution. Only an actor of Hopkins’ caliber could wrest a modicum of human feeling from the blurry character he’s been handed, and against all odds he does, lending “Meet Joe Black” an acuity and verve that the movie doesn’t deserve. (Marcia Gay Harden, as his other daughter, has some touching moments, too.)"
"Oct 26, 2020",negative,"I've never encountered such dramatic flatulence, never heard so many pregnant silences that don't deliver, never watched so many close-ups that graze on actors' faces until every last trace of expression has been devoured."
"Oct 26, 2020",negative,Martin Brest's weepie is nicely played but overlong - especially considering the original zipped by in under 80 minutes.
"Oct 26, 2020",negative," 
When the true identity of Peter Cushing is revealed in Dr Terror's House of Horrors, this ordinary-looking passenger in the corner seat of a train compartment is suddenly transformed into the Grim Reaper of popular imagination. The one truly memorable personification of death in a modern setting is the alluring Princess, played by Maria Casares, in Cocteau's Orpheé.
So the opulent Meet Joe Black, in which Brad Pitt impersonates Death, is something of a rarity. It's very loosely based on an Italian play of the Twenties that became a Hollywood film in 1934 as Death Takes a Holiday. In that film, Fredric March as Death disguises himself as a Russian aristocrat and spends three days experiencing life on an Italian nobleman's estate and finding out why he incites such fear. During his absence from duty no one in the world dies. The movie lasted a mere 78 minutes, less than half the length of the remake, which might well have been called Death Takes a Lengthy Sabbatical. 
In Meet Joe Black, the emphasis shifts from the guest to the host, from Death to the multi-millionaire business tycoon Bill Parrish (Anthony Hopkins), who, on the eve of his sixty-fifth birthday, has intimations of mortality in the form of internal voices and severe chest pains.
On the way from his Hudson River mansion to his Manhattan office by helicopter, the widowed Bill warns his beloved daughter Susan (Claire Forlani) that she should only marry his right-hand man Drew (Jake Weber) if she really loves him. That morning in a coffee shop near the hospital where she is a doctor, Susan falls in love at first sight with a handsome young man played by Brad Pitt. He's killed in an accident shortly after they part and his body is taken over by Death, who thereupon moves into the Parrish household under the name Joe Black. Joe gives Bill a reprieve until the mammoth sixty-fifth birthday bash his other daughter (Marcia Gay Harden) is organising, but he prevents anyone knowing his true identity.
Films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order. Kurosawa's Living is the classic instance. But, astonishingly for a rich man involved in the media, Bill has conducted himself impeccably. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
So the opulent Meet Joe Black, in which Brad Pitt impersonates Death, is something of a rarity. It's very loosely based on an Italian play of the Twenties that became a Hollywood film in 1934 as Death Takes a Holiday. In that film, Fredric March as Death disguises himself as a Russian aristocrat and spends three days experiencing life on an Italian nobleman's estate and finding out why he incites such fear. During his absence from duty no one in the world dies. The movie lasted a mere 78 minutes, less than half the length of the remake, which might well have been called Death Takes a Lengthy Sabbatical. 
In Meet Joe Black, the emphasis shifts from the guest to the host, from Death to the multi-millionaire business tycoon Bill Parrish (Anthony Hopkins), who, on the eve of his sixty-fifth birthday, has intimations of mortality in the form of internal voices and severe chest pains.
On the way from his Hudson River mansion to his Manhattan office by helicopter, the widowed Bill warns his beloved daughter Susan (Claire Forlani) that she should only marry his right-hand man Drew (Jake Weber) if she really loves him. That morning in a coffee shop near the hospital where she is a doctor, Susan falls in love at first sight with a handsome young man played by Brad Pitt. He's killed in an accident shortly after they part and his body is taken over by Death, who thereupon moves into the Parrish household under the name Joe Black. Joe gives Bill a reprieve until the mammoth sixty-fifth birthday bash his other daughter (Marcia Gay Harden) is organising, but he prevents anyone knowing his true identity.
Films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order. Kurosawa's Living is the classic instance. But, astonishingly for a rich man involved in the media, Bill has conducted himself impeccably. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
In Meet Joe Black, the emphasis shifts from the guest to the host, from Death to the multi-millionaire business tycoon Bill Parrish (Anthony Hopkins), who, on the eve of his sixty-fifth birthday, has intimations of mortality in the form of internal voices and severe chest pains.
On the way from his Hudson River mansion to his Manhattan office by helicopter, the widowed Bill warns his beloved daughter Susan (Claire Forlani) that she should only marry his right-hand man Drew (Jake Weber) if she really loves him. That morning in a coffee shop near the hospital where she is a doctor, Susan falls in love at first sight with a handsome young man played by Brad Pitt. He's killed in an accident shortly after they part and his body is taken over by Death, who thereupon moves into the Parrish household under the name Joe Black. Joe gives Bill a reprieve until the mammoth sixty-fifth birthday bash his other daughter (Marcia Gay Harden) is organising, but he prevents anyone knowing his true identity.
Films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order. Kurosawa's Living is the classic instance. But, astonishingly for a rich man involved in the media, Bill has conducted himself impeccably. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
On the way from his Hudson River mansion to his Manhattan office by helicopter, the widowed Bill warns his beloved daughter Susan (Claire Forlani) that she should only marry his right-hand man Drew (Jake Weber) if she really loves him. That morning in a coffee shop near the hospital where she is a doctor, Susan falls in love at first sight with a handsome young man played by Brad Pitt. He's killed in an accident shortly after they part and his body is taken over by Death, who thereupon moves into the Parrish household under the name Joe Black. Joe gives Bill a reprieve until the mammoth sixty-fifth birthday bash his other daughter (Marcia Gay Harden) is organising, but he prevents anyone knowing his true identity.
Films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order. Kurosawa's Living is the classic instance. But, astonishingly for a rich man involved in the media, Bill has conducted himself impeccably. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
Films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order. Kurosawa's Living is the classic instance. But, astonishingly for a rich man involved in the media, Bill has conducted himself impeccably. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. There is not a stain on his private or professional life. In fact, his only remaining task is to preserve the integrity of the communications empire he's created by preventing the duplicitous Drew from merging it with the corporation of an unprincipled rival. Death, in fact, could hardly have found someone better prepared to go into that good night. He thus has more quality time to spend with Susan, who loves him not as Death but as a mysterious stranger.
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
In The Seventh Seal, the Knight holds Death off by beating him at chess. Anthony Hopkins gains his victory over Brad Pitt by sheer screen presence. This isn't entirely Pitt's fault because the movie's four screenwriters clearly don't know what to make of Death and haven't agreed on what precisely he is or what he's been doing with his time.
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
From his appearance and behaviour, he's a narcissist, fascinated by his own experiences but little interested in others, apart from Susan and Bill. He's never heard of peanut butter or cookies, yet he can get around Manhattan without a map. He can pass himself off as an Internal Revenue investigator, but has never heard the saying 'Nothing is certain except death and taxes'. He knows he isn't gay, but has to be taught the fundamentals of sex, which suggests he wasn't on duty when Nelson Rockefeller or John Garfield died.
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
None of this would matter if the director, Martin Brest, hadn't provided so many longueurs in which we might contemplate the film's hollowness and contradictions. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. One tedious, sentimental, drawn out scene gives way to another and death does seem to be having dominion over us. The flaccid climactic birthday party, for instance, is nearly as long as the ball sequence in Visconti's The Leopard and is the sort of thing that gives hubris a bad name.
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death. 
The result is that a potentially charming fantasy becomes a grave, funereal work, though I suppose that 'grave' and 'funereal' are the qualities traditionally associated with death."
"Oct 26, 2020",negative,"Pitt, who is not asked to do much more here than behave alternately like a robot, a bashful boy and a moron, fulfills his modest tasks with aplomb. When he has to act, though, he fares less well."
