Dates,Scores,Reviews
"Jul 24, 2023",neutral," Synopsis: Journalist Eddie Brock (Tom Hardy) is trying to take down Carlton Drake (Riz Ahmed), the notorious and brilliant founder of the Life Foundation. While investigating one of Drake's experiments, Eddie's body merges with the alien Venom - leaving him with superhuman strength and power. Twisted, dark and fueled by rage, Venom tries to control the new and dangerous abilities that Eddie finds so intoxicating. Unfortunately, in today's world, a film isn't good or bad because it's truly good or bad. There must be an excuse for each of these cases, especially if we're discussing a big franchise-related flick. Being Venom a superhero movie, obviously, there's no ""middle ground"". Either you love it or hate it. Usually, if you think it's just ""okay,"" you're the anomaly. This time that didn't bother me as much as the next thing... Since every fanboy must defend their favorite studio, the reasons for Venom's poor reviews were apparently due to Lady Gaga fans blindly trashing this film since A Star Is Born also premieres this week. It's not even a DC x Marvel dispute! Fans' reluctance in accepting that a movie from their favorite cinematic universe can be disappointing reaches unbelievable levels. Even more when it is, in fact, a complete boredom of a story, with a generic plot, paper-thin characters who only serve as plot devices, and extremely terrible editing (Maryann Brandon, Alan Baumgarten). There is some good stuff to write about, so I'll start with the absolute standout: Tom Hardy (Dunkirk). When you have such a remarkable actor saying ""they cut off my favorite scenes"", you can't possibly have high expectations for the respective film. Hardy fantastically incorporates the character of Eddie Brock, delivering tons of scenes where the actor simply shines. His versatile ability to interpret such an expressive character makes Hardy himself the best thing about Venom. The interactions between Eddie and the symbiote are the most fascinating aspect of the movie. From the funny banter to the unusual method of character development, their relationship is, by far, the strongest in the entire film, which ends up becoming a negative point as well.  Unfortunately, the screenplay written by Jeff Pinkner (The Dark Tower), Scott Rosenberg (Jumanji: Welcome to the Jungle), and Kelly Marcel (Fifty Shades of Grey) is packed with numerous useless subplots and secondary characters who don't add anything to the main narrative or the protagonist's arc. The first half of the movie has no Venom whatsoever, which wouldn't be an issue if the story and characters were compelling. While Eddie has indeed an engaging personality, literally every other character in the film is either a cliche stereotype or an on-the-nose plot device.  Michelle Williams (The Greatest Showman) blandly portrays Eddie's lover Anne, someone I don't even have words to describe based on her development. Riz Ahmed (Rogue One), an actor I adore, tries his best as Carlton Drake, a forgettable villain who holds the generic villain hunger for power. Finally, there are a bunch of scientists who only serve as exposition devices to explicitly explain to the audience everything that's happening. Dealing with these characters becomes astonishingly dull and tiresome. Most of the comedic scenes don't really work without Venom's voice to provide a different take on them, so Hardy finds himself carrying the whole thing by himself. However, the worst aspect of the movie is undoubtedly the editing. It doesn't matter if it's an action scene or a simple dialogue in a diner, the editing is a total mess. Exceptionally frustrating, to be honest. Ruben Fleischer (Zombieland) is a talented filmmaker, but I can't defend cutting a simple dialogue on every single line while weirdly switching the positions of each actor. Despite a couple of riveting action sequences, the vast majority is filled with quick cuts and blurred camera movement due to an abusive employment of shaky-cam (Matthew Libatique). The final battle is extraordinarily underwhelming since it's impossible to understand most of what's happening. When an occasional fight between Venom and some random bad guys is better than the supposed climax of the film, you know something's not right. The PG-13 rating clearly affected the movie. Some scenes were cut because there was no way of toning them down, and the lack of blood or heavy language is definitely a setback. The score is actually pretty great (Ludwig Göransson), and it helps revitalize some slow moments. Tonally, the film is well-balanced overall, even if Fleischer irregularly loses control here and there. I don't consider it one of the worst movies of the year, but I won't ever feel the need for a rewatch unless a sequel is made. Venom is yet another missed opportunity to deliver a great movie about the symbiote anti-hero. This time, the character of Eddie Brock is beautifully handled, with Tom Hardy offering an impressive performance. The actor carries the entire film, which finds its entertainment peak in the interactions between Eddie and Venom. Unfortunately, the movie is drastically brought down by a generic narrative with an incredibly dull first half, an unnecessary focus on uninteresting subplots, and a disappointing amount of paper-thin characters. The shockingly terrible editing basically ruins any sort of excitement that could be found during the action sequences. The production issues condemned this film to be a letdown. Let's just hope the next one isn't worse."
"Jan 19, 2023",positive," Find more battle simulation entertainment with the other shows on the DynaMic Podcast Network! Whether it's video game brawls on Konsole Kombat, action-movie mayhem on Max Destruction, or anime showdowns on Senjōh World, there's a show to settle fandom debates once and for all! Listen to the DynaMic Podcast Network at http://dynamicpodcasts.com Join our community at https://patreon.com/dynamicduel • 0:00:00 - Introduction • 0:03:52 - No-Prize Time • 0:05:37 - Fantastic Four Casts Julia Garner as the Silver Surfer •... Join our patreon: https://www.patreon.com/dynamicduel **SPOILER REVIEW** • 0:00:00 - Introduction • 0:02:07 - No-Prize Time • 0:07:29 - Julius Onah to direct Captain America 4 • 0:09:36 - Question of the Week • 0:10:10 - Thor: Love and..."
"Nov 16, 2022",negative,"Ironically, the film lacks a bit of bite... "
"Aug 21, 2022",neutral," “Venom” had two encouraging things going for it since its initial announcement. First it stars Tom Hardy, an actor I’ve really liked since his 2001 debut in Ridley Scott’s “Black Hawk Down”. Second, it features a truly great Marvel comic book villain (and eventual antihero) with a compelling backstory and formidable superpowers. Those are two big steps in the right direction. Does Sony Pictures make the most of Hardy and the titular title character? It seems critics would say no as most have panned the film. Moviegoers seem to have had a different reaction, not being nearly as harsh and having helped the film rake in $205 million globally on its opening weekend. Let’s say I fall somewhere in the middle. Versions of “Venom” have been in the works since 1997, but this particular iteration had its own set of challenges. Fans of the character will immediately notice how far the movie strays from his comic book origins. The filmmakers aren’t entirely to blame. Sony’s deal with Marvel Studios to allow Spider-Man into their carefully guarded MCU handcuffed the writers forcing them to create a webslinger-free origin. Interestingly they did shelf the idea of an R-rating leaving the door open for a potential crossover. Hardy plays Eddie Brock, a Bay Area investigative reporter with a knack for uncovering deep-seated corruption. He sets his sights on the Life Foundation and its CEO Carlton Drake (Riz Ahmed). Turns out Drake has discovered and captured samples of splotchy alien lifeforms he calls symbiotes. Eddie gets a whiff of potential human testing and confronts Drake during an on-air interview. It goes bad for Eddie who loses his job and even his fiancé (Michelle Williams) who works as a Life Foundation attorney. Six months pass and a down-on-his-luck Eddie is contacted by a Life Foundation scientist begging him to blow the lid off Drake’s experiments. While secretly infiltrating the labs Eddie is exposed to the symbiote which instantly gives him superpowers and a gruesome appetite for violence and human heads. Check that, it isn’t Eddie who has those appetites. They belong to his new parasitic alter-ego Venom. From there the movie becomes a weird blend of horror and humor set within the framework of a superhero movie. I kind of like what it’s going for even if its tone can be wildly uneven. Eddie’s back-and-forths with the menacing Venom voice in his head can be amusing. There is also the intriguing duality of two distinct characters warring within one man. The film flirts with the idea more than exploring it which seems like a missed opportunity. This is also where the action amps up but not in a particularly thrilling or impressive way. Most of it is encapsulated in the trailer – a big chase sequence in downtown San Francisco and several fight scenes featuring a reluctant Eddie and the more violent Venom’s stretchy tentacles. It all culminates in a CGI-soaked finale that doesn’t do the movie any favors. Tom Hardy does his best to bring energy and nuance to his character. It’s a good performance with several interesting layers. Director Ruben Fleischer clearly wanted to make an atypical superhero movie with a distinct edge to it. I applaud that aim and see glimpses of what he’s going for. But ultimately it’s the script and some pretty uninspired action that left me feeling a bit deflated. Sadly a good Tom Hardy, Fleisher’s edgy ambition, or even a killer end credits scene can’t quite keep “Venom” from disappointing. Ahmed really is getting some great roles. I loved him in Nightcrawler. Films in production for such a long time do tend to get negative reviews. AhmedIs a really good actor but did you feel he was a bit shortchanged here? That is the thought that kept ringing in my head for the entire movie. As for the movie, I really felt going in that the changes that have been made over the years sounded like good ones. And I truly believe there are ingredients here for a much better movie. I feel the same. I’ll eventually get my thoughts up. Kinda excited for the 2nd, but they may really be handcuffing themselves with a refusal to consider a R rating. You may be right, but I don’t really think an R-rating is essential. This one felt darker and edgier to me. I felt it really came down to the script and some pretty mediocre special effects. True that. Maybe an R isn’t needed, and I’m far from one of those ratings hounds. But, Im intrigued to see how they do the sequel with one of the more violent characters in Marvel’s lore.  If it wasn’t for Tom Hardy’s performance and the character of Venom, the film would have been just another generic origin story with a generic villain.  We’ve had way too many of those.  The problem here is Sony.  They’ve never been able to really get their Marvel movies right in any fashion.  Even Sam Raimi’s Spider-Man movies weren’t that great.  The only reason Spider-Man Homecoming was any good, was because Marvel had a direct hand in it, more so than Sony.  I did enjoy Venom, but it feels like there was a lot of stuff cut out, that needed to be in there, so I’m hoping for an extended cut on Blu-Ray. It’s funny, I was t nearly as high on “Homecoming” as most were. Don’t remember the exact score I gave it but there were several things about it that pushed me away. I will say that I liked Raimi’s “Spider-Man” and loved “Spider-Man 2”. The third movie though..ugh. I love Tom Hardy but I think I’ll wait for it on TV.  I just hope it’s not as bad as… The Amazing Spider-Man 2. I don’t think it’s a bad movie.  It’s just not the movie it could have been.  It’s definitely worth watching at least.  If you can catch it on 5 Dollar Tuesday at your local theater, then do so, but don’t expect anything revolutionary. It’s not terrible. You’re right. For me it’s a case of a movie trying new things but falling short in some pretty key areas. I felt it ended up being a very okay movie. Good move. Just wait for it on DVD. It’s definitely not as bad as “Amazing 2”. In fact I almost gave this 3 stars. Just too many disappointing elements though. It does get credit for trying new things. “Amazing 2” was just plain bad! Which is why I’m curious if there’s going to be an extended cut of the movie for home video.  I want to see what was cut out, and see if it would’ve improved anything.  It might not, but it would still be interesting to see.  For me, Venom wasn’t the disaster that The Predator was. Great review Keith! I went into this one expecting the worst so I was quite pleasantly surprised. It definitely has it’s faults but all in all I’m quite looking forward to a sequel. Thanks. I felt it was better than the drumming it took by critics. Still I felt it left so much potential on the table. I do think there is enough there for a good sequel. I’d sure watch it. I was disappointed here the best thing about this move was the after credits scene. Hardy was great but your right the writing and direction made this film hard to watch. Nice write up! I’m among the vocal bunch who never wanted this film in the first place. Whether that makes me a monster or not, I cannot judge, but the fact this film succeeded in the face of such opposition is, frankly, surprising. One wonders whether its mediocrity will generate interest in a sequel, and although I suspect the law of diminishing returns won’t work in Sony’s favour, there’s an argument to be had that the box-office return is enough to warrant such an investment. What I’m keen to examine is whether or not this was just a fluke, or whether there are enough people keen to see a Villainverse (so to speak) from this studio without the core heroes they sprang from. I’m still in denial about that, but if it works, I’ll shut up and enjoy. I don’t think the idea of movies centered around villains is a bad idea.  The problem is that in order for them to work properly, you need strong writing in terms of script and character development.  You also need to have film-makers and a movie studio that truly understand the character they’re making the movie for.  Venom didn’t really have any of that.  The only real reason that a lot of people enjoyed certain parts of the movie were because of Tom Hardy’s performance, but even one person’s performance cannot carry a movie that is hindered by sub-standard writing.  I’ll be honest:  I’m very curious to see if they can correct the mistakes made in the first movie with a sequel.  You never know.  Some sequels have ended up being much better than the original film. I really wanted this to be good and there are some promising things here. I feel if they could get a better script things could work. We shall see. I think Sony had a choice – either copy marvel or jump on the Deadpool bandwagon  but by choosing to satisfy both, it somehow completely misses the mark!  That’s an interesting way of looking at it and it makes sense. They do seem to be straddling that line which ultimately hurts the movie. It would have been better for Sony to jump on the Deadpool bandwagon.  The film would still have been successful and not divided the audience as much.  Deadpool and Logan proved that there IS a market for hard R-rated Marvel movies.  That being said, considering the weak script that the movie had, I seriously doubt that an R-rating would have helped.  Venom reminds me a lot of Alien Vs. Predator.  An enjoyable romp that ultimately didn’t live up to the hype and was sabotaged by a studio that was trying to appeal to everyone.  But by doing that, it ultimately ended up pissing everyone off.  I keep seeing it happen and nobody seems to learn from it. 100% agree the R-rating not curing the film’s script woes. I don’t mind the ratings but I’m not a fan of writing towards an R-rating. That said this did looked like an example of a movie that would have benefitted by having more of an edge.  Certainly agree here – Hardys performance would have been far more enjoyable if it hadn’t been for the fact that everyone else in the film were going in the completely opposite direction! Better than some of Sony’s other Spider-Man related movies. Granted that Hardy saved it from being below average. The sequel could be cool if it has a stronger script and better action. I hate to bring up the rating again, but while the first movie managed to get away with a PG-13 rating, the sequel must be rated R.  If they plan on bringing Carnage into the fray, then you can’t have it PG-13.  If you’ve read the comics, Carnage and Kasidy are two of the most violent villains in comic book history.  If you really want Carnage, you need to be able to let him off the leash.  You can’t do that with a PG-13 rating.  Again, writing is very important, but they have to take the character and violence of Carnage into consideration.  If they screw up Carnage, you can kiss any more Venom movies goodbye."
"Apr 6, 2022",negative," So basically Sony went a bit mad, and the first result was the 2018 comic book adaptation Venom. It has taken me a long time to watch it; so long, in fact, that its sequel has already come and gone. I am, in addition to being a film enthusiast, a big comic book fan. It’s been mostly wonderful watching Marvel Studios and Warner Bros bring a host of childhood favourites into live-action cinema. Of course, before setting up their own production studio, Marvel Comics bought its way out of bankruptcy by farming its suite of characters out to the highest Hollywood bidder. 20th Century Fox scored the rights to the X-Men and the Fantastic Four. New Line Cinema made good bank on second-stringer Blade. Universal Pictures grabbed the Incredible Hulk and Sub-Mariner – although they never did wind up making anything out of the latter. Sony, through their subsidiary Columbia Pictures, bought the film rights to Spider-Man – one of the most popular superheroes there is – and as long as they continue making films with the character they never have to give it back. This worked well at first, with Sam Raimi directing three immensely successful films starring Tobey Maguire in the lead. Then, feeling that the third film didn’t wow audiences the way they wanted it to, Sony rebooted the franchise with Andrew Garfield in the lead. At the same time Marvel Studios surprised everybody with their box office-smashing interconnected universe of superhero movies. Rather than make a third film with Garfield, Sony elected to reboot Spider-Man a second time – only this time the films would be produced by Marvel Studios on Sony’s behalf, and the character was allowed to also appear in Marvel’s own Avengers pictures. It was a canny method to cash in on Marvel’s success. Clearly at least one executive at Sony felt particularly canny, because of course the rights to Spider-Man also came with the rights to all manner of supporting and subsidiary characters. If Spider-Man allowed Sony to profit from Marvel’s achievements, then surely Sony could exploit those extra characters for a shared universe of their own? Of course in practice this is a terrible idea. Why make a film about a Spider-Man villain if they have no Spider-Man to fight? It is a bit like watching a princess without a ball to go to, or a ping pong match with only one player. Sony are fixated on the idea of a shared Spider-villain universe, and have already produced two Venoms and a Morbius towards that goal. Kraven the Hunter is already in production. Madame Web shoots soon. Thus far I see no indication that this continuing franchise is sustainable. Venom made a lot of money; it is clear Morbius will not. I am generally not one to place a bet, but if you are I suggest Kraven is much more likely to be a Morbius than a Venom, commercially speaking. In Venom, investigative journalist Eddie Brock (Tom Hardy) is infected with an oily black alien symbiote, and uses his newfound powers to strike back against a diabolical genius billionaire who is murdering people for scientific research purposes. It would be the best superhero released in 1998, were it not released in 2018: two decades out of date in terms of script, plot, character, tone, and content. It is a bizarrely old-fashioned film. Tom Hardy is actually rather enjoyable as Brock, and manages to lift the first half of the movie into something broadly entertaining. It is in the second half that the film wobbles, and then flounders. A need to actually drive a plot results in some terribly underwhelming choices and action sequences, culminating in my least favourite Hollywood tradition: the climax where two visual effects punch each other. Decent supporting actors like Michelle Williams and Riz Ahmed get very little to do, and seem to run through the motions. Both are definitely worthy of much better fare than this, as is Hardy to be honest – but he at least likely scored a bigger pay cheque. Ruben Fleischer directs this first instalment, although sadly brings little of the humour that made his Zombieland films so delightful. There’s a line in the opening scene of Aaron Sorkin’s failed TV drama Studio 60 on the Sunset Strip that has always resonated with me. I goes like this: ‘there’s always been a struggle between art and commerce. And now I’m telling you art is getting its ass kicked.’ All Hollywood blockbusters are commercial exercises, but the best ones – even the mediocre ones – make room for the art. Venom feels like 100 per cent commerce. It is there to create a shared universe via blunt force. It is there to make a lot of money, and it did – grossing more than $800 million in cinemas alone. There is no room for art though, not in Sony’s live-action Spider-Verse. Venom blandly wants you to shut up and consume. It really is worth pondering whether or not you should. I’m also not a fan of CGI pixel stoushes as the climactic boss battle of a superhero movie, particularly when they’re filmed at night to make the SFX easier to render."
"Mar 11, 2022",negative," Tom Hardy stars as Spider-Man’s professional-rival-turned-archnemesis in Venom, an anti-superhero movie that neither features New York’s friendly neighborhood arachnid-person nor exists in the same cinematic universe as Tom Holland’s current iteration for the Marvel Cinematic Universe. Topher Grace appeared as Venom, however briefly and frustratingly, in Sam Raimi’s second sequel to the Tobey Maguire-starring Spider-Man series, and fans have been clamoring for a proper deployment of the character ever since. Hardy gives a spirited, always-watchable, occasionally mumbling performance as Eddie Brock, the reporter who becomes the host to a brain-eating alien organism. The actor’s commitment to his Jekyll and Hyde routine is admirable, if comically absurd, as opposed to the terrifying quality usually associated with the character. But not even Hardy’s presence can distract from the script’s tired use of wisecracks, bombastic action sequences, and a complete disregard for the characteristics that made Venom a memorable character in the comics. A stand-alone feature about Venom is a desperate move on Sony’s part. Although they own the rights to Marvel’s web-slinging hero, their last three attempts to make a Spidey movie that connected with audiences—Spider-Man 3 (2007), The Amazing Spider-Man (2012), The Amazing Spider-Man 2 (2014)—failed, quite miserably, despite making hundreds of millions at the box-office. Seemingly incapable of making a movie that pleases comic book fans, or anyone else, Sony has since loaned Spider-Man out to the MCU, along with a select few of his associated villains. Meantime, they’ve made a desperate attempt to produce a number of spin-off movies. In a cart-before-the-horse move reminiscent of Universal’s Dark Universe that began and ended with The Mummy (2017), the studio has given a lofty name to their planned movie continuum: the Sony Universe of Marvel Characters. Venom is the first of them, and it plays as though some Sony executive who’s been locked in his office since 2003 finally emerged and dictated the movie’s banal, kitschy tone and cheap-looking CGI. The result looks and feels like it’s from the same era as The Punisher (2004) and Fantastic Four (2005). The traditionally New York-centric Eddie Brock arc has been resituated to San Francisco, a move explained in a throwaway line about Brock’s renegade brand of investigative journalism getting him ostracized from the East Coast. (But really, it’s a choice meant to rationalize why Spider-Man isn’t swooping in and saving the day.) Now with some celebrity from his news show, “The Eddie Brock Report,” Brock lives a comfortable life with his fiancée, Anne Weying (Michelle Williams), a high-powered attorney. When Brock is tasked with interviewing tech mogul Carlton Drake (Riz Ahmed) as part of a puff piece, he can’t resist asking the tough questions about Drake’s shady deals and rumors of human experimentation. As a result, the vindictive Drake arranges it so that Brock loses his job. Anne leaves him too, as her firm represents Drake, and they fired her over Brock’s confrontation. And so, Brock hits rock bottom. Nevermind that in the comics he was an unhinged lowlife and bully. Here, he’s a strangely incongruous mixture of activism and motorcycle-riding rebel that feels like an excuse by the many-credited writers to make him a hero. At the same time, a space shuttle owned by Drake crash lands on Earth carrying several alien symbiotes—goopy slime creatures that need a host to survive. Drake hopes to achieve human-symbiote integration to allow people to explore space, and in his dastardly Elon Musk way, he’s willing to sacrifice a few homeless test subjects to achieve his vision. Meanwhile, a whistleblower (Jenny Slate) approaches Brock to expose Drake’s plan, and the down-on-his-luck reporter’s snooping exposes him to Venom—a black symbiote that speaks to Brock in a monstrous voice and grants him, among other advantages, super strength and a greasy organic suit with stretchy tendrils. Drake orders a group of mercenaries to capture Brock/Venom, and a series of chases, goon-bashing, and infrequent head-eating ensues. It’s all delivered with a light PG-13 quality that robs the Venom character of its potential for an alternative kind of superhero movie that splices together science-fiction and horror. Director Ruben Fleischer (Zombieland) concentrates on comic book action first, characters second. Eventually, Drake finds himself bonded with a symbiote of his own, a baddie named Riot who intends to bring millions of symbiotes to our planet. The battles between Venom and Riot look like two CGI blobs of Gack! smashed against each other in an indecipherable mess. The climactic showdown has a mind-numbing quality that causes the viewer’s eyes to gloss over from an overdose of computer-generated nonsense. Unfortunately, the scenes with Brock as a human aren’t much better, regardless of how much effort Hardy puts into every gesture or exaggerated vocal inflection. Moreover, the character itself is poorly articulated. Although Venom should be augmenting and twisting Brock’s inner darkness, the writers of Venom suggest that Brock’s goodness turns Venom into a hero. It’s a dull trajectory for the character and a particularly gutless approach by the studio commanding this intellectual property. Worse, it’s all capped by a lousy Eminem song over the end credits, featuring the cornball lyric, “Venom… They ain’t gonna know what hit ’em.” Venom spends most of its runtime with Hardy, giving little screentime or development to the characters played by Williams, Ahmed, or Slate. Not even Brock or Venom have more than two dimensions, aside from both being losers of their respective species, who then become heroes as a result of their newfound partnership. Given its disregard for the integrity and nature of the comic book property, one has to question why this movie exists. Those unfamiliar with Venom probably won’t care about the movie anyway, while casual Spider-Man fans, the target audience, are bound to feel disappointed by its treatment—doubly so after Sony messed up Venom once before. Who was Sony trying to appease, besides their investors? Because Venom looks and feels like a slapdash attempt to exploit the rights to a Sony property in the wake of the MCU, the movie apparently exists as a commercial enterprise and not much more. At least MCU titles mask their commercialism in their devotion to characters and telling a good story. By contrast, Venom seems like a knock-off, or perhaps a throwback to the early-2000s era of superhero movies that is best left forgotten."
"Feb 11, 2022",negative," By the time Eddie Brock (Tom Hardy) and his snarky symbiote Venom (also Tom Hardy) intertwine, director Ruben Fleischer’s excursion into the Spider-Man villain (er, antihero in this edition) finally starts to link with what it’s capable of. The latest in “well, we want in on the Marvel money, too” studio excursions, Venom, a film about the big-teethed, gooey black space alien shapeshifter with a taste for tater tots and people, crawls around in confusion for about an hour before it really starts to figure out what it wants to be. As many have noted, the film straps its audience back into a pre-Marvel Cinematic Universe mode where heroes and villains fought through angst, pulp, Danny Elfman scores, lager-than-life performances and alt-rock soundtracks to entertain audiences. The pinnacle example would be Sam Raimi’s first two Spider-Man movies, art-pop masterpieces of dazzling style and emotion. Venom feels like a dorky, fast food spinoff of the Raimi films, with mounds of Barry Sonnenfeld’s first Men in Black movie thrown in for good measure. How dated does this movie play? It should’ve ended in a Sum 41 theme song. Hardy, one of or most prolific, gifted actors working, only gets so much to do before he nearly gets too much to do as the titular character. For about 30-45 minutes, he’s walking around with a weird TMZ reporter accent until a jaunt into sketchy Life Foundation (run by a sorely misused Riz Ahmed) to do some investigative reporting gets him in contact with the Venom Symbiote (which apparently is not a real word; go figure). The stretch where everything is established just struggles to take root. You’re practically begging an already-rushed into to go even faster to get to the reason we’re here. From here on, the film gets weird, and chunky, and shamefully fun. Hardy goes into overdrive to play the body humor of being infected with a talking parasite that can transform him into a man-munching alien monster at the drop of a hat. It’s grand comedy to watch him power through Venom’s bizarre instincts (one moment sees a ghoulish Hardy hop into a lobster tank at a fancy restaurant and eat one live in front of flummoxed patrons). Venom’s not really a bad Symbiote (trust us, those come later as the film’s obvious plot churns on), and his and Brock’s back-and-forth can be quite charming, in a fresh burger from McDonald’s sort of way. Their banter is corny and contrived, but Hardy’s skittish overacting and the creepy Venom CGI combine for one of 2018’s oddest cinema pleasures. Everything outside of our antihero lacks bite. Ahmed’s Carlton Drake (a tech guru and business maven who tests the Symbiotes that come to Earth on unwitting humans) needed more pop to sizzle; as he is, he’s just a monologue in a suit-and-tie. Michelle Williams also gets the shaft as Brock’s ex-fiancé who he wrongs earlier in the film. She’s too talented an actress to make this role completely a stock role, but the script tries its darndest. Fleischer (of Zombieland fame) uses need blue-tinted lighting in select action scenes, though only an assault in the lobby of a building really meets the typical bar for a superhero brouhaha. Everything else is just kind of static. That’s where Venom lives and dies; in the margin between how goofy and trashy fun it is and how boring its structure stands. It’s too endearing to write off just as it’s too basic to really make a mark. It’s a film you’ll connect with just as you’ll withdraw from it. For a movie that was seemingly shot for a certain rating and edited down to meet another, that’s not a bad spot to be in."
"Oct 6, 2021",positive,It's really silly... it's still a lot of fun.
"Oct 2, 2021",positive,This is the one with the most teeth and most tater tots.
"Sep 1, 2021",neutral," This week on the Podcast we discuss: First Impressions of Her Smell & Cold War, as well as the Feature Films: A Room with a View, Colette, Crazy Heart, A Star Is Born 2018, Hold the Dark, Venom, A Prayer Before Dawn, and wrap up the Limited Series Maniac, followed by Consensus Ratings and What’s on Tap for next week. A Room with a View, Colette, Crazy Heart, A Star Is Born (2018), and A Prayer Before Dawn are all available to rent from multiple sources. Wow, fantastic weblog layout! How long have you ever been blogging for?
you made blogging glance easy. The overall glance of your web site
is great, as smartly as the content material! Hello! I’ve been following your website for a while now and finally got the
bravery to go ahead and give you a shout out from  Kingwood Tx!
Just wanted to mention keep up the excellent work!"
