Dates,Scores,Reviews
"Apr 11, 2024",positive," Making a big studio film is always a risk, and intentionally splitting the central narrative across two or more movies amplifies that risk in every possible way. Sometimes it pays off as with the Star Wars franchise’s nearly half-century run, and sometimes it shits the bed — studios spent $400 million making three Divergent films only to cancel the fourth one leaving the whole series without an ending. Dune hit theaters and HBO Max in 2021 with the sequel’s production dependent on its success, and happily, that success came both on the big screen and small. Nearly three years later, that sequel has arrived, and Dune: Part Two is a magnificent follow-up that blows open the action, themes, and relationships of the first in fantastically thrilling ways. Dune ends with the annihilation of the House Atreides empire leaving only Paul (Timothée Chalamet) and his mother, Lady Jessica (Rebecca Ferguson), alive. The pair are taken in by cautious members of the Fremen as Paul proclaims his intentions to help the people secure freedom from oppression, and the new film picks up mere hours later. Fremen leader Stilgar (Javier Bardem) believes Paul to be the much prophesied messiah come to save the Fremen people, others suspect he may be a spy, and desert warrior (and frequent guest in Paul’s dreams) Chani (Zendaya) finds her own convictions about the whole thing conflicting with intense romantic feelings. Meanwhile [space wipe!], elsewhere in the universe, Baron Harkonnen (Stellan Skarsgård) is growing tired of losing very profitable spice harvests to Fremen raids on Arrakis. He dispatches his sadistic nephew Feyd-Rautha (Austin Butler) to squash the rebellion and kill the mysterious Muad’Dib (it’s Paul!) leading the charge. Seems like a simple enough clash between good and evil, but what if Paul’s own visions of a Holy War — with him at the helm — takes priority? There’s a lot going on in Dune: Part Two, far more than a review’s plot synopsis can handle, and all of it sings with drama, tension, thrills, and incredibly rich character beats. Director Denis Villeneuve shows once again that science fiction is his home as he builds on the first film’s setup to deliver a true epic. Enormous set-pieces, visually stunning effects, costume design as eclectic as it is mad, and exciting action share the screen with charisma, torrents of emotion (courtesy of a terrific Zendaya), and a shifting darkness worthy of an Empire Strikes Back comparison. Zendaya’s Chani was present in the first film, but she appeared mostly as a silent vision before finally arriving late in the third act, but she’s every bit the heart and soul of Dune: Part Two. You immediately buy into the fierceness with which she fights and stands for her people, and while there’s the tease of YA romance early on she quickly finds her footing as an independent voice leery of Paul’s status as savior to the Fremen. Her love is tangible, but it’s at odds with legitimate concern leading to an emotionally torn performance. Chalamet shines too and hasn’t felt this all-in and tangible since Call Me By Your Name (2017), and Ferguson doubles down as a human monster prone to twisted, heinous, and devious moves in the shadows. Other returning performers including Josh Brolin, Dave Bautista, Charlotte Rampling, and Bardem all do good work, but newcomers quickly make their mark. Christopher Walken plays the emperor of the known universe, Florence Pugh is his daughter, and Léa Seydoux joins Lady Jessica as another member of the secretive and powerful Bene Gesserit. It’s Butler who steals his every scene, though, as a brutally intense Harkonnen with his own cruel plans for the future. While the bulk of the film’s hefty (but never really felt) running time unfolds on the golden, red sands of Arrakis, Villeneuve wisely shifts our attention elsewhere at times. The script, co-written by Villeneuve and Jon Spaihts, uses that time to introduce new characters and story threads while cinematographer Greig Fraser and production designer Patrice Vermette take the opportunity to cut loose on the visual front. Scenes on the Harkonnen home planet feel almost monochrome in the starkness and their milky, alien-like skin, and it works to maximize the oppressive nature of their rule. It’s tempting to read some connection to today’s very specific, real world conflicts into the film’s depiction of the Fremen and their oppressors, but that would be a mistake. The tragedy and oppression have very real counterparts, but the same could be said of the 80s when David Lynch’s adaptation was released, of the 60s when Herbert’s novels first hit shelves, and nearly any other time in human history. It’s just what we do as a species, every time, all the time, and Herbert’s fiction just added sand worms. All fictions borrow liberally from reality, and to get hung up on correlation is to derail the experience that is Villeneuve’s Dune: Part Two. The film can be enjoyed merely as a big, surface-level thrill ride delivering memorable sequences like Paul’s first attempts at riding a giant sand worm and characters worth rooting for or despising. The textures and themes are there, though, for viewers who like their blockbuster entertainment woven through dense world-building, critical commentaries on theocracies, colonization, and the ease with which people succumb to religious delusion. Come for the spectacle, stay for the heart and heroism, the delicious villainy, and the emotionally epic finale. No matter your tastes, Dune: Part Two has you covered."
"Apr 7, 2024",positive," Full disclosure: I am a Dune neophyte. However, I resolved before diving into Denis Villeneuve’s newest release, Dune: Part Two, to finally remedy that. This week, I’ve been basking in Dune through all its cinematic forms. 1984, 2021… there’s so much to see and even more to try and understand. Dune: Part Two hits theaters this week, facing massive expectations. Critics are calling it one of the greatest sci-fi films of all time. Does the film live up to the cosmic hype? Or are there “spicy” takes in its future?  Dune: Part Two jumps back into the continuing story of Paul Atreides (Timothée Chalamet) as he lands on Arrakis. He resolves to settle in with the local population, rain vengeance down on those who wronged his family… and then there’s that whole thing about being the “Chosen One.” The film features a super-sized, all-star cast, including Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh and Dave Bautista. Denis Villeneuve directs Dune: Part Two from a script he co-wrote with Jon Spaihts. The film comes from Frank Herbert‘s novel.  After what can only be described as a spicy Dune week, kids, yours truly was prepared to come in with some skepticism. How can anything live up to the personality and Lynchian wackiness of Dune 1984? Well, it turns out…. Denis Villeneuve can.  Sometimes, we have to admit when we’re wrong. The proverbial hat must be eaten. The hype is, in fact, real, and at this point, Denis Villeneuve is just showing off. This film is a giant, Hans Zimmer-scored cinematic work of art. The creative team does not put a foot wrong in telling this super-sized and ambitious story. And even more impressive, they not only push but also shove the creative standard forward. Few franchises show the flawless visual mastery on display here. Villeneuve depicts a world that feels real. The graphics and the effects never falter. The characters move freely through the climate, never limited by technology. This world is vivid, beautiful and fully realized in a way we don’t often see.  Meanwhile, the movie pulls together a packed cast of not only seasoned veterans but also some of the industry’s best young talent. There isn’t a bad performance in the bunch. Of course, we’d be shirking our responsibilities if we didn’t give special mention to Timothée Chalamet as Paul. The young actor has been lighting up the screen since his mainstream debut in 2017’s Call Me By Your Name. This time out, however, he’s broken fully from the juvenile roles that have previously been his bread and butter. Chalamet is fully immersed in Paul’s dynamic and complicated intricacies. There’s a heartbreaking emotion here and a power and authority he hasn’t often worked with in previous roles. At the same time, actor and director are fully united in the exploration of Paul’s ambiguity. This is seen most strikingly in the third act. One particular wordless scene shows this in terrifying clarity as Chalamet not only dominates the frame but shows everything he can do with a single look. So much is said without leaning on a single line of dialogue. This silent power is, in truth, a commonality in Dune: Part Two. As a filmmaker, Villeneuve is very much a practitioner of “show, don’t tell.” This script is scant and leans heavily into these vivid worlds or equally striking performances to convey its message. In the wrong hands, this dense, quiet beast of a movie could prove an insurmountable hurdle. The film is pushing two hours and 40 minutes, after all. Yet, while this movie can’t be called “a breeze,” it never feels long, and it never drags. Dune: Part Two is all-consuming.  This is one of those works where seeing this on as big a screen as possible is necessary. Dune: Part Two loudly proclaims this in its marketing. Unfortunately, they’re right. This is a movie made for an IMAX screen. It’s a big, brash IMAX film. When you factor in the Hans Zimmer score? Kids, I could feel my bones vibrating. That’s power.  When all is said and done, this can only be described as an unapologetic rave. This Dune neophyte came into Dune: Part Two and was thrown for a loop in the best possible way. Director Denis Villeneuve jumps into what could easily be a by-the-books franchise sequel and creates a cinematic feast for the senses. Dune fans, sci-fi fans and cinephiles alike should certainly have this one on their lists.  A film nerd from my earliest years watching Abbott and Costello, that eventually translated to a Master’s Degree in Film History. I spend my time working on my fiction projects in all their forms, as well as covering film and television."
"Apr 2, 2024",positive,"Dune: Part Two is a must-watch epic sci-fi, visually stunning, adventure that could already be considered the best movie of the year."
"Apr 1, 2024",positive," By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. Our newsletter hand-delivers the best bits to your inbox. Sign up to unlock our digital magazines and also receive the latest news, events, offers and partner promotions. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. Beyond its breathtaking battles and galactic machinations, all soundtracked by a Hans Zimmer score in which the German composer seems to have set all the nobs turned to ‘loudest possible’, what’s most impressive about this seriously-impressive blockbuster sequel takes place beneath the surface. And it’s not the colossal sandworms. No, it’s the subtle character shifts that make Dune: Part Two cerebral as well as cacophonous. The plates are always moving in Frank Herbert’s seminal sci-fi novels: today’s heroes are tomorrow’s pile of corpses. Denis Villeneuve, a writer-director who’s been keen to get his teeth into the tough stuff since his early work like Polytechnique (2009) and Incendies (2010), gets all this. And his screenplay, again co-written with Prometheus’s Jon Spaihts, gives us a hero’s journey with real devil in it. As a sequel, it works for the same reasons that make The Empire Strikes Back so many people’s favourite Star Wars film: there’s a darkness, a bleakness, that makes the fist-pumping moments feel all-the-more earned. There’s a sense, too, that the good guys may not win out. If they’re even good.  It opens with just that stark vision of piled corpses. The vanquished Atreides clan lies smoldering on the inhospitable landscape of Arrakis, while the treacherous Harkonnen, spearheaded by Dave Bautista’s thuggish ‘Beast’, set about harvesting the place for its spice reserves. Only Timothée Chalamet’s Paul Atreides and his mystical Bene Gesserit mum, Jessica (Rebecca Ferguson, a standout), have escaped the carnage and begun the dangerous business of assimilating with the desert Freman people. On the checklist: guerilla warfare, sandworm wrangling, and something worryingly referred to as ‘holy poison’. Villeneuve’s films can be self-serious, but Javier Bardem punctures the solemnity as Freman leader Stilgar, increasingly Dune’s twinkly answer to Anthony Quinn in Lawrence of Arabia (a key text for the Canadian’s vision – right down to their shared Wadi Rum locations).  The burgeoning romance between Paul and Zendaya’s Freman warrior Chani goes a bit Nicholas Sparks in a mid-movie lull – ‘he was a boy from the other world, she was a girl from the wrong side of the dune’, etc – but those doe-eyed scenes pay off in a final act that upends expectations and gives Zendaya a chance to cut loose.  The Harkonnen foes they engage in thrilling spice harvester ambushes are an even more vicious, visceral presence than in the first film. Stellan Skarsgård’s bloated Baron Harkokken oversees the attempted extermination of the Freman with a ruthlessness that makes his first name, Vladimir, all the more apt. They speak in the language of ethnic cleansing – the Freman are referred to as ‘rats’ – and unleash a new superbad in the Baron’s psychotic nephew Feyd-Rautha. Played by Elvis star Austin Butler with the blackened palate of a mamba and sharpened teeth, he’s an unearthly and bloodthirsty creation – a memorable sci-fi baddie. With cinematographer Greig Fraser, Villeneuve captures his violent initiation in desatured monochrome, a stark black and white aesthetic in a movie full of grey areas. Crucially, for all their parallels, Paul and Feyd-Rautha aren’t just two sides of the same coin. Paul’s quest for the soul of the Freman takes Dune: Part Two into some areas that may feel uncomfortably resonant in 2024 – even with all the trippy evangelical mysticism and peyote-like wig-outs. Messianic complexes, populism, violent jihad and ethnic cleansing aren’t the building blocks of your average Hollywood blockbuster. Then again, Villeneuve doesn’t make those.In cinemas worldwide Mar 1. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions. By entering your email address you agree to our Terms of Use and Privacy Policy and consent to receive emails from Time Out about news, events, offers and partner promotions."
"Apr 1, 2024",positive," The sci-fi epic Dune: Part Two is rich in multilayered world-building. While its dense story might leave some cold, this is a movie meant for big-screen grandeur, from the detailed costumes to the cinematography, special effects, and score. Set on a desert planet where a hallucinogenic spice sets warring factions against each other, Dune: Part Two is a sight to behold, especially in IMAX. Spice sparkles in the air above waves of sand dunes. Warriors face off in a black-and-white arena while inkblot “fireworks” dot the sky. A domed spaceship lays waste to a sacred tomb in a thunderous volley. Flames spill across a mirrored palace, and a desert people thump a rhythm into the ground, summoning giant sandworms for transportation and battle. Yet for all the filmmaking craft onscreen, your mileage with the story may vary. Fans of Frank Herbert’s Dune novels, first published in 1965, no doubt will enjoy it. Others might have trouble keeping track of who’s against whom or connecting emotionally with the narrative. Those who haven’t seen 2021’s Dune or read the books will find Dune: Part Two much like jumping into the middle seasons of Game of Thrones. That said, what returning director Denis Villeneuve and his team bring to the table is impressive. The 2021 film picked up six Oscars: sound, visual effects, production design, film editing, cinematography, and original score. Here, that artistry again is striking, with Hans Zimmer’s percussive score, Patrice Vermette’s production design, and Jacqueline West’s intricate costumes particular standouts. The script by Villeneuve and returning co-writer Jon Spaihts picks up largely where the 2021 film left off—and ends on an ambivalent note, even after two hours and 46 minutes. Thankfully, while the earlier film handled a lot of table setting, this one dives right into the action, unfurling at a brisk pace. After the slaughter of his father and most of their supporters in the previous film, Paul (Timothée Chalamet, Wonka) and his mother, Jessica (Rebecca Ferguson, Silo), have become embedded with the Fremen, the desert people of the planet Arrakis. Arrakis is the source of Spice, which the Harkonnen family (led on the ground by Dave Bautista, The Boy and the Heron) now mines, having usurped Paul’s late father as governor. “Power over Spice is power over all,” a voice intones before the film even begins, which is about as much backstory as Dune: Part Two allows. The Fremen, led by Stilgar (Javier Bardem, The Little Mermaid), distrust outsiders and want the Harkonnens gone. They’ve taken in Paul and Jessica because Paul exhibits signs of being the prophesied leader for whom they’ve waited centuries—a position that Paul initially finds uncomfortable. Much of the dramatic tension comes from Paul wanting to avenge his father’s death but being reluctant to take on the “chosen one” mantle. Chalamet plays Paul with a believable sincerity, happy to fight alongside the Fremen and telling Jessica, “They deserve to be led by one of their own. … It’s not a prophecy. It’s a story you keep telling.” As Jessica, Ferguson is formidable, her clipped tone and intense bearing more intimidating than the tattoos that adorn her face once she becomes the Fremen’s Reverend Mother, or religious leader. As other women in her religious order, the Bene Gesserit, plot to create another heir, the Emperor (Christopher Walken) and his daughter Irulan (Florence Pugh, Oppenheimer) discuss how to quash the Fremen uprising. Meanwhile, the pregnant Jessica speaks with her developing fetus who, in an otherworldly touch, responds in voiceover. Paul’s initial earnestness and scrappiness as a guerilla fighter against the Harkonnens wins him the admiration of the Fremen and the love of Chani (Zendaya, Euphoria). The two create a playful spark in early scenes, such as when Chani coaches Paul how to walk across the sand without causing tremors that summon sandworms. He contradicts her based on what he’s read, then realizes he’s mansplaining to a native and apologizes. The tug-of-war over whether he’ll embrace his fate and just what that might be gives Dune: Part Two substance, even if Paul’s decision ultimately feels abrupt. Among the other players in the all-star cast, Austin Butler (Elvis) is all forehead and no eyebrows as the sociopathic Feyd-Rautha, a Harkonnen set up as a foil for Paul. Bardem earns several laughs with his sly delivery, such as when Stilgar notes that Paul’s humility is exactly what the foretold prophet would have. The Fremen, though coded as Middle Eastern and North African, still have few MENA actors in prominent roles, although Souheila Yacoub (Making Of) is a welcome and feisty addition as Chani’s friend Shishakli. Valerie Kalfrin is an award-winning crime journalist turned freelance film writer whose work appears at RogerEbert.com, In Their Own League, Script, The Hollywood Reporter, and other outlets. Also a screenwriter and script consultant, she’s passionate about challenging stereotypes about gender and disability. Let’s tell better stories and tell stories better."
"Mar 29, 2024",positive," Fritz Lang, George Lucas, Ridley Scott; the lineage of great sci-fi directors is extensive, but Dune: Part Two serves as an incredibly strong case to make the claim that Villeneuve is the greatest of all time. Maximalist in every conceivable way, the Canadian’s latest offering is an absolute masterclass not only in space operas, but also science fiction filmmaking itself. 2021’s Dune: Part One set a rather high bar for itself, but Part Two sent it into the stratosphere, far above Arrakis. Immediately picking up from the events of its predecessor, Part Two has Paul (Timothée Chalamet) and his mother Jessica (Rebecca Ferguson) joining the ranks of Stilgar (Javier Bardem) and Chani (Zendaya), members of the Fremen, desert-dwelling Arrakis natives. Survivors of the devastating attack upon House Atreides by the brutish Harkonnens, Paul and Jessica are now exiles, largely believed to be dead. Having overcome a Harkonnen attack en route to the Fremen settlement of Sietch Tabr, mother and son are met with a mixture of suspicion and welcoming; some believe them to be spies, and others believe they are the fulfilment of a prophecy to free Arrakis and to start a holy war. Their individual paths become clear: Paul is to embrace the Fremen ways and lead them, and Jessica is to succeed the Fremen’s dying Reverend Mother. It’s here that the (particularly Islamic) influence of prophetic religion upon Herbert’s writing begins to take centre stage, though is still partially diluted from its source material. Stilgar, a native of the fundamentalist South, rapidly becomes staunch in his belief that Paul is the Lisan al Gaib, the messianic figure as prophesied to his people. Representing the more sceptical Fremen is Chani, a native of the North, who joins others in not believing the prophecy. With Jessica having consumed the Water of Life, she has inherited not only the mantle of Reverend Mother, but also the memories of all her predecessors – as she points out to Paul, this traumatic ascension includes inheriting all of their tears, pain, and suffering. Undoubtedly anticipating the discourse that has since grown concerning cultural appropriation, Villeneuve delicately but directly tackles this through Paul and Jessica’s self-insertion into Fremen culture. Jessica’s manipulation of the fundamentalists through the implanted prophecy of the Lisan al Gaib is as skilful as it is sinister, as is Paul’s militant ascent. The Bene Gesserit’s presentation as a more outwardly nefarious entity –“we don’t hope, we plan”– provides genuine chills, particularly helped along by Charlotte Rampling’s marvellous performance as the stony-faced Reverend Mother Mohiam. The display of religious fanaticism is critiqued in such a way that it isn’t parodied for the sake of belittlement, but rather approached as a product of external exploitation. Totally unforgettable are the performances of Austin Butler and Stellan Skarsgård, their chemistry creating an utterly repulsive combination that is as sickening as it is menacing. Though he has relatively little screenplay, Butler elevates the movie to a new level, his presence as the psychotic Feyd-Rautha shockingly enchanting, dominating every scene in which he appears. It seems uncontroversial to say that Butler’s Feyd-Rautha is one of the greatest villains in recent memory. With recent critical failures from the MCU having cost upwards of $250 million whilst feeling like they cost a fraction of that (a result not of untalented VFX artists, but of unsustainable and punishing working conditions and turnarounds), it makes Dune: Part Two’s budget of $190 million all the more remarkable. In every sense of the phrase, Dune: Part Two is a visual marvel and a testament to it being a true labour of love by all who worked on it. Shot entirely in IMAX, the cinematography is nothing short of breathtaking. The seemingly endless Jordanian desert truly brings Arrakis to life, the sweeping sands looking positively vibrant and magically never appearing monochromatic. With Oscar-winning cinematographer powerhouse Greig Fraser (Zero Dark Thirty, The Batman, The Creator) by his side, Villeneuve –a deeply visual filmmaker in all respects– has managed to create one of the most gorgeous films of the science fiction canon itself. With few novels having gained such a devoted fanbase or having sold nearly as many copies as Herbert’s 1965 original, nitpicky comparisons to the source material have always been inevitable, as was the case with Part One. And as testament to the sheer quality of Part Two, few complaints have been voiced from even the most protective of fans. It’s quite fair to say that the Dune universe is one of the most difficult to adapt into any medium, as has been demonstrated with previous entertaining but ultimately unsuccessful attempts – and yet it’s been adapted, and adapted well – complexities, nuances, and all. Though some minor changes were made, with the absence of Thufir Hawat being the most notable, they don’t detract from the quality as an adaptation or as a sequel in itself; at risk of incurring the wrath of my fellow book fans, I’d like to suggest that many of the minor changes improve upon the source material itself. Zendaya, for example, is refreshingly animated as Chani, a pleasant development from her stoic appearance at the climax of Part One, and of her literary counterpart. As was the case with Part One, the pacing of Part Two is noticeably uneven, making it feel slightly top-heavy, though not to its overall detriment. For much of its 167-minute runtime, the action builds itself up slowly but surely, teasingly incremental in its climb – but in its final act, Paul’s story hurtles its way towards a thunderous, earth-shattering climax. And then, at its crescendo, we finish. A coital rhythm, as its original visionary intended, deliberately uneven, but always growing. And the payoff is worth it. We hope you're enjoying BRWC. You should check us out on our social channels, subscribe to our newsletter, and tell your friends.  BRWC is short for battleroyalewithcheese."
"Mar 29, 2024",positive,A must watch! [Full review in Spanish]
"Mar 27, 2024",positive," If you strolled into Haslam’s Book Store on Central Avenue in St. Petersburg in 1965, among the new arrivals you might find on the shelves were Kurt Vonnegut’s “God Bless You, Mr. Rosewater,” Rex Stout’s “The Doorbell Rang,” Irving Stone’s “Those Who Love,” John le Carré’s “The Looking-Glass War,” and Ian Fleming’s “The Man with the Golden Gun,” the 12th and final novel in the author’s James Bond series. If you directed your attention to the science fiction section of the store, you might also find some new offerings, such as John Brunner’s “The Martian Sphinx,” Kenneth Bulmer’s “Land Beyond the Map,” Philip K. Dick’s “The Three Stigmata of Palmer Eldritch,” Avram Davidson’s “Masters of the Maze,” Andre Norton’s “Quest Crosstime,” and, of course, Frank Herbert’s epic science fiction novel “Dune.” The true first edition of “Dune,” published by Chilton Books, can fetch a pretty penny these days. A first edition, first printing copy signed and inscribed by the author sold for more than $22,000 in a recent auction. With the arrival of “Dune: Part Two” in theaters, I would expect to see some collectors with deep pockets drive that figure even higher in the coming months. Even before the Chilton Books edition, the tale had appeared in Analog magazine, divided into two separate serials. The serials — presented as “Dune World” and “Prophet of Dune” — were published in the magazine beginning in 1963. The author would go on to pen five sequels, including “Dune Messiah,” “Children of Dune,” “God Emperor of Dune,” “Heretics of Dune,” and “Chapterhouse: Dune.” Sounds like an expansive body of work for someone seeking to forge a new cinematic universe, doesn’t it? But wait — there’s more. After Frank Herbert’s death, his son Brian Herbert partnered with science fiction author Kevin J. Anderson to continue the series. Since 1999, they have written more than a dozen additional novels, including both prequels and sequels to the original books. In “Dune: Part Two,” director Denis Villeneuve continues his adaptation of Frank Herbert’s work. The film is exquisitely beautiful and immersive, breathtaking in scope, and fearless in delivering stunning action sequences that are so vivid they practically erupt from the screen. Unlike the first installment, this time Villeneuve isn’t saddled by the need to provide history lessons explaining the Corrino Imperium and the Landsraad, or focus energy on world-building and chunky exposition. The director is free to plunge headlong into the meat of the story, boldly tackling themes of corrupt power, ambiguous morality, and the use of religion to control the course of society and manipulate the masses. “Dune: Part Two” follows the mythic journey of Paul “Muad'Dib” Atreides (Timothée Chalamet) as he finds sanctuary with the Fremen who inhabit the desert planet Arrakis. Paul and his mother Lady Jessica (Rebecca Ferguson) have secretly survived the fall of House Atreides. Once they have been embraced by the Fremen, Paul seeks revenge against the conspirators who destroyed his family. In doing so, he will help liberate the Fremen — some of whom consider him to be the Lisan al Gaib, a Fremen term for off-world messiah. Initially, Paul rejects the idea of being a savior and insists that he does not seek power. Paul sees the occupying Harkonnen forces — led by Rabban (Dave Bautista) — as their shared enemy, and wishes only to fight alongside the Fremen. Because he plays down any ideas of being the messiah, he gains the trust of Chani (Zendaya), young and independent Fremen warrior who gradually falls in love with Paul. Eventually, Paul must choose between his relationship with Chani and redirecting the fate of the known universe, haunted by an apocalyptic future only he can foresee. “Dune: Part Two” also features Josh Brolin as Gurney Halleck, Javier Bardem as Stilgar, Austin Butler as Feyd-Rautha Harkonnen, Stellan Skarsgård as Baron Vladimir Harkonnen, Florence Pugh as Princess Irulan, Christopher Walken as Padishah Emperor Shaddam IV, and Charlotte Rampling as Gaius Helen Mohiam. For “Dune: Part Two,” the director wisely makes a few important changes to the original novel, eliminating some characters, downplaying others, and significantly condensing the timeline. The modifications are necessary: Cinematic adaptations of literary works require perceptive abridgement that does not compromise fidelity to the source material. The film successfully captures — and in some regards enhances — all the principal themes found in Herbert’s original work. Villeneuve imbues the film with anti-imperialist imagery, showing how colonizers plunder Arrakis for their own benefit while treating the indigenous population with contempt and brutality.  Villeneuve also attempts to rectify one aspect of Herbert’s novel by eliminating — or at least minimizing — the “white savior” trope many critics claim is integral in the source material. The focus on Paul’s reluctance to claim the power his followers desperately want to bestow upon him is a crucial element of how the audience perceives the character. Chalamet effectively displays the character’s gravitas and deep inner turmoil to the screen. Paul exhibits his disgust at Lady Jessica’s hidden agenda, and at the way the Bene Gesserit have directed and controlled bloodlines to maintain power.  In a sense, Chani is on her own mythic journey. Villeneuve’s adaptation gives Chani agency, setting her up as a clear juxtaposition to the fundamentalists’ fanatical belief in Paul as a messianic figure. Equally important is the fact that in “Dune: Part Two,” Paul could not have emerged as a leader without the support of both Chani and Stilgar. “At the beginning, Chani is suspicious but also curious about this boy coming from another world,” Villeneuve explains in the film’s production notes. “Something that deeply touches Chani is that Paul is sincere; she feels that Paul wants to learn about the Fremen ways.” Chani, like other young Fremen, doesn’t believe in the Bene Gesserit religious propaganda. She believes that the Fremen should be freed by Fremen, not wait for the arrival of some prophesied messiah.  “She thinks that those old beliefs are a way to control her people,” Villeneuve adds. “But she sees that Paul doesn’t want to act as a colonizer, he doesn’t want to impose his ways, he doesn’t want to be seen as a savior.” Whether or not Villeneuve’s revisions to the source material go far enough to expunge any controversial motifs should be left to the individual viewer to decide. The intent is certainly evident.  “Dune: Part Two” exceeds expectations. With repeated viewings, it may prove to be the cinematic masterpiece many have already claimed it is. Boasting remarkably rich and nuanced storytelling, captivating political and religious conspiracies, a brilliant score by composer Hans Zimmer, and passionate performances from a superlative cast, the film is a sweeping operatic science fiction spectacle. Lee Clark Zumpe is entertainment editor at Tampa Bay Newspapers, a Tomatometer-Approved Critic, and an author of short fiction appearing in select anthologies and magazines. Follow Lee at www.patreon.com/Haunter_of_the_Bijou."
"Mar 26, 2024",positive,"Dune Part Two is bigger in almost every way. The visual effects, sound design, and production as a whole is immaculate. Narratively, it does feel a bit too unresolved by the end for my taste but hopefully Dune: Messiah comes sooner rather than later."
"Mar 24, 2024",positive," Denis Villenueve’s  mythic sci-fi sequel “Dune: Part Two” has already grossed $500 million globally, making it the highest-grossing film of 2024 – domestic and worldwide – surpassing the first film, released back in 2021. Based on Frank Herbert’s anti-imperial, ecologically dystopian “Dune” saga, it revolves around Paul (Timothee Chalamet), heir to the House of Atreides, wiped out in Part One under the fascist aegis of grotesque, genocidal Baron Vladimir Harkonnen (Stellan Skarsgard). As with any franchise, seeing the first installment is vital to understanding the second. In the year 10191, Paul is hiding out on the vast desert planet Arrakis, where he joins forces with the rebellious, indigenous Fremen, earning the respect of their wry religious elder Stilgar (Javier Bardem) and forming an attachment to feisty Chani (Zendaya) as they defiantly wage guerilla warfare against House Harkonnen. Meanwhile, his mother, Lady Jessica (Rebecca Ferguson) with her “pre-born fetus,” gulps down the Water of Life, a clear blue liquid that looks like mouthwash that elevates her to exalted status of Reverend Mother within the Fremen’s secretive matriarchal religious group Bene Gesserit. At the center of the conflict is a rare commodity called “spice mélange,” an addictive drug known for its powerful psychotropic powers and prescience (an ability to see into the past, present & future). In smell and taste, it’s like cinnamon. (Because of their constant spice exposure, all Fremen have radiant blue eyes.) New characters include the evil Emperor (Christopher Walken), his daughter Princess Irulan (Florence Pugh), pugnacious Feyd-Rautha Harkonnen (Austin Butler) and Lady Margot (Lea Seydoux), pregnant with Feyd-Rautha’s child. Among the most memorable sequences are when Chani teaches Paul how to sandwalk, adroitly avoiding rhythmic patterns in the arid, terra-cotta colored desert that would alert sandworms, when Paul is reunited with Atreides weapon master Gurney Halleck (Josh Brolin), and when Paul and the Fremen mount those giant sandworms for a climactic battle…concluding with “The war has just begun.” Written by Villeneuve and Jon Spaihts with an emphasis on action – as opposed to exposition and character-development – this shallow, self-important sequel runs 2 hours, 46 minutes, dominated by Grieg Fraser’s spectacular cinematography and Hans Zimmer’s propulsive score. On the Granger Gauge of 1 to 10, “Dune: Part Two” is a visually stunning yet sterile 6 – teasing an inevitable Part Three in years to come."
