Dates,Scores,Reviews
"Apr 3, 2024",positive,It's a great start to the series. Plot is pretty good and implementation is great (like in most Marvels). Overall VERY solid.
"Mar 25, 2024",positive,"It is one of the best movies that Marvel has ever made and the film has it all; the jokes, action and beautiful visual effects for its time."
"Mar 20, 2024",positive,I mean what else would you expect from Marvel. The prior solo films of some of the main characters led us to this point that will kickstart a journey unlike anything in cinema since Star Wars.
"Mar 17, 2024",positive,"Una película emocionante, que supo manejar a los personajes y adaptarlos muy bien, me encantó como desarrollaban y acababan con el conflicto, definitivamente marvel estaba en sus mejores momentos."
"Mar 16, 2024",positive,Such a good movie with a classic adventures feel. i have seen this like 1000 times.
"Mar 13, 2024",positive,im el iron man tatattatttatattatattatatattatattatatyattatataytatytat
"Mar 7, 2024",positive,The fun cast and simple exciting story makes up for a poor production
"Mar 5, 2024",positive,Love it! The way they brought it all together in this movie and staged opportunities on where to go from here - enjoying MCU much more than I thought I would’ve.
"Mar 2, 2024",positive,UM DOS MELHORES FILME DA MINHA VIDA SE NÃO O MELHOR
"Mar 1, 2024",positive,"Wow...what a movie. One of the best from Marvel. Everything works in the Avengers, there is hardcore action, funny scenes, cool lines, and a lot of bang for the buck."
"Feb 28, 2024",positive,I love the dialogue and characterization to the entire plotline and storyline to this movie
"Feb 22, 2024",positive,"A great, fun film that showcases the acting talents of all shown."
"Feb 19, 2024",positive,"Muito bom! Recomendo muito este filme.
Espero muito ver os Heróis mais poderosos da Terra novamente nas telonas."
"Feb 17, 2024",positive,"Groundbreaking for its time. Audiences now days may take team ups and crossovers for granted, but ill never forget the first time i saw Captain America face off against Loki, a villain from another franchise. Nor will I forget seeing characters stand united on screen together without any legal rights interfering. AND there's also the story which is also paced and balanced perfectly. Tom Hiddleston works his evil magic on our hearts."
"Feb 16, 2024",positive,"Outstanding storyline, great action, great actors.  What a great comic book team-up should look like."
"Feb 13, 2024",positive,"The culmination of ""Phase One"" arrives to much applause! A cinematic first to show that a collection of a shared universe of movies is possible, to which, many other studios would attempt to formulate themselves with their respective IPs. 

Marvel proved that it's possible to combine many different heroes together. Ensemble movies where you have to share screen time with many protagonists can be tough within itself, giving each their own character arc, all within a 2 1/2 hour timeframe, yet, they made it work. Granted, having most characters already have at least one movie beforehand to set the groundwork up for their character helps.

This movie is a fun movie all around!"
"Feb 8, 2024",positive,"It didn't age well today in my opinion, too goofy and i have a different view on its director after Justice league"
"Feb 1, 2024",negative,The fact this has higher ratings than The Dark Knight Rises tells you that millennials that like this movie are betas and don't know anything about film
"Jan 28, 2024",positive,A fantastic Superhero movie... You'd absolute like it if you want fun and intense Superhero action! It has everything!
"Jan 10, 2024",positive,"A little cartoony, but great for its time"
"Jan 5, 2024",positive,AVANGERS VS LOKI YO WHAT?!?!?! LOWKEY LOKI FR 90-92%
"Dec 30, 2023",positive,All of Marvel’s Phase One built up to this and at the time many felt it could not be done. Several characters from their separate movies come together to form the World’s Mightiest Heroes in this landmark movie.
"Dec 28, 2023",positive,"The Avengers have been assembled and, for the most part, they fit together superbly. A joyous blend of heroism and humour that raises the stakes even as it maintains a firm grip on what makes the individual heroes tick."
"Dec 26, 2023",positive,"One of my favorite movies of all time. That's pure nostalgia, but thinking back, this movie absolutely changed everything for the MCU, the superhero genre, and ensemble films. It showed that this connected universe thing is possible. I still love re-watching this movie, I can quote it all day."
"Dec 24, 2023",positive,"I especially loved the score of this film, I did it for marching band so ++ for nostalgia"
"Dec 9, 2023",positive,"A well-made blockbuster with amazing characters, a focused storyline and great action sequences. The only issue with this movie is that it drags a little."
"Dec 5, 2023",positive,"At a time when the idea of superheroes teaming up was still an idea that many people thought would never happen in live action, this was a true event of a film. It was a lot of fun and the characters played off of each other very well. More lighthearted than some of the future Avengers movies, which both works for and against it."
"Dec 4, 2023",positive,Peak superhero film that changed history.
"Nov 29, 2023",negative,"Like all marvel films
Boring"
"Nov 27, 2023",positive,"A story fun and engaging for anyone, and full of iconic lines and scenes. Truly a gamechanger."
"Nov 26, 2023",positive,"Perfection, and nostalgic."
"Nov 25, 2023",positive,Acción increíble personajes épicos y loki es un genial villano los efectos son buenísimo y me encanta la historia y el guión un genial crossover es un 9.1 de 10
"Nov 16, 2023",positive,"The avengers is filled with great character arcs, amazing action sequences and a great film bringing the heroes together."
"Nov 14, 2023",positive,"An unprecedented coming-together of America's heroes, in a near seamless fashion that was everything the audience could hope for and more. A score to be remembered for generations, and characters that will shape the future of movies for years to come. Avengers cements its place as the cornerstone of the MCU. 9/10."
"Nov 14, 2023",positive,Avengers assemble. Great team up movie. Plot was great. Loki was great. What more needs to be said
"Nov 12, 2023",positive,One of the best movies of all time.
"Nov 12, 2023",positive,"Pretty good movie, entertaining."
"Nov 11, 2023",positive,"This is a great film! Every character gets their chance to shine and they all use their screen time well. RDJ, Tom Hiddleston and Scarlett Johansson give the best performances but the rest of the cast is still solid. The plot is great with plenty of action and comedy to keep you entertained. It's exciting seeing all the main heroes meet up for the first time. I also love how frightening/intimidating they made the Hulk out to be (I miss this version of him). Overall, this is a solid entry and definitely one of the MCU's best!"
"Nov 11, 2023",positive,Even after all this time I still remember the energy watching this in theaters. A little goofy but a nice way to show how much potential the mcu has. Everyone had stand out performances.
"Nov 10, 2023",positive,"The cast is star studded, the action is second to none, just one of Marvels greatest projects."
"Nov 10, 2023",positive,As a kid who grew up on comic; this movie is is fantastic!
"Nov 7, 2023",positive,The beginning and it was at the time the best effing thing
"Oct 30, 2023",positive,This movie was a great start of a cinematic era
"Oct 28, 2023",positive,One of the best collabs ever
