Dates,Scores,Reviews
"Oct 5, 2023",positive," The pump has been primed for a return to the Shrek universe with a lively sequel to 2011’s Puss in Boots. Are there sufficient numbers of fairy tales that haven’t already been mined for laughs in the four Shrek movies? Yes. It took over a decade for DreamWorks Animation to return to the franchise that built it. Shrek flamed out after four films, but its the spin-off Puss in Boots that spawned this latest incarnation. Bringing back stars Antonio Banderas and Salma Hayek as the titular Puss in Boots and Kitty Softpaws respectively, we learn that Puss has squandered his nine lives by living recklessly and only now that he’s on his last life does it begin to sink in just how risky his lives and attitude have been. After seeking refuge with a cat lady and meeting the overly sweet therapy dog Perrito (Harvey Guillén), he learns of a fabled fallen star that will grant one last wish to the person who gets there first. He’s not alone in his quest as Goldi (Florence Pugh) and the three bears (Olivia Colman, Ray Winstone, Samson Kayo), Kitty, and Big Jack Horner (John Mulaney) are also after the star. All deliver strong vocal performances, creating a rich aural tapestry against which the mostly strong animation can stand out. The narrative is densely packed, but easy to follow and filled with the kind of laughs that once made Shrek, Shrek 2, and Puss in Boots such highlights in their respective years of release. Guillén is the standout in this cast. The film’s biggest issues come down to the choice of animation techniques for fight sequences, which makes the events feel a little choppy and overly stylized, like we’ve shifted from a traditional computer animated film to a 2D Japanese anime picture. Those sequences are brief and the amazing animation that surrounds them offsets a lot of those concerns. It’s surprising that a character that has been shelved for so long (in spite of the Netflix series) could still prove to be so delightful after all this time. In a sea of imitators and the fading of luminaries Disney and Pixar, it’s nice to see some studios still trying to reach for the stars. Goldilocks and the Three Bears provides the characters and a few sight gags for this film alongside the nursery rhyme Little Jack Horner. All of them get fleshed-out treatments that feel more like a part of the Shrek universe than the stand alone, Zorro-inspired Puss in Boots series. Yet, it feels like a natural extension with The Last Wish and that’s enough to keep the franchise buoyant for the foreseeable future."
"Aug 16, 2023",positive,Puss N Boots 2 is a shockingly phenomenal movie tackling much deeper themes than one would expect from a kids movie. 
"Aug 9, 2023",positive," “Puss in Boots: The Last Wish” Grade B+: This film is so good that your last wish should be that “Puss in Boots” tales have at least nine more cinematic lives. Puss in Boots – as perfectly voiced by Antonio Banderas – is living the carefree life of a scallywag hero. He has brazenly faced death so many times that he has gone through eight of his nine cat lives. The only way to protect his one remaining life is to go into retirement and hiding at the home of a very zealous cat lover. The script by Paul Fisher (“The Croods: A New Age”) has all of the basic elements that make this a fun film on a very elementary level while at the same time weaving in a very smart and sensitive story about life choices. It is designed that both young and old should find the tale equally as enjoyable. Banderas was always a great selection as the voice of Puss in Boots because of the swashbuckling tone he brings. The tabby hero sounds like a defender of men and a lover of women. The voice talent is flawless and the story emotionally solid but it is the animation style that truly elevates “Puss in Boots: The Last Wish.” Director Joel Crawford (“The Croods: A New Age”) takes the solid computer generated visual style of DreamWorks Animation and gives it a jolt by blending both 3D and 2D. The overall look is the detailed 3D approach that has been used throughout the “Shrek” franchise. But, Crawford blends in the kind of 2D CGI style that has movies such as “Spider-Man: Into the Spider-Verse” so popular. After more than two decades, the “Shrek” franchise could have become very stale. Instead, “Puss in Boots: The Last Wish” proves that with a smart script, a great voice cast and a fresh approach to the animation, it is possible for a production that comes way down the line to be superior to anything that has come before it in the franchise. “Resident Alien: Season Two” Grade B+: The cable series based on the comic books created by Peter Hogan and Steve Parkhouse continues to shine because of Alan Tudyk. His work is a close encounter of the hilarious kind. He plays Harry, a crash-landed alien who takes on the identity of a small-town Colorado doctor. He slowly begins to wrestle with the moral dilemma of his secret mission on Earth. Most of the success comes through Tudyk’s work that includes the challenge of showing how an alien would react to suddenly having to deal with a human body. Then there is the alien language that would have left many tongue-tied. “Magic Mike’s Last Dance”: Mike (Channing Tatum) is recruited to stage a dance production in London. Will be released on DVD and Blu-ray on April 18. “A Man Called Otto”: Tom Hanks plays a widow who is looking for an emotional escape but must first deal with a new neighbor. Will be released on DVD and Blu-ray starting March 14. To have a successful garden, you need to know when it is the best time to plant. Here are the best plants to start in May."
"Aug 6, 2023",positive," Shrek is a film, cultural phenomenon, and bizarre internet meme that has pervaded every crevice of the modern popular zeitgeist. From bumbling toddler to cynical adult, the animation wonder has nothing but adoration (both earned and misguided) hurled at it. It not only challenged the notion of what CGI animation could accomplish but demolished the mold of what children’s movies could be— cleverly subverting classic fairy tales with bracing irreverence. The farting, utterly vulgar ogre revived the floundering DreamWorks Animation, catapulting them from the pits of oblivion overnight. Shrek 2 introduced the alluring, Zorro-Esque, and Antonio Banderas-voiced Puss in Boots. The swashbuckling, D’artagnan hat-sporting ginger tabby cat became an instant fan favourite, garnering his own spin-off movie in 2011 soon after the main Shrek quadrilogy concluded with a thud. Puss in Boots: The Last Wish is a long-awaited sequel that could have easily coasted off its recognizable property to a handsome box office return. Instead, DreamWorks, and director Joel Crawford, refused to play it safe, crafting one of the most cathartic animated experiences in recent memory. Brimming with inventive ideas and kaleidoscopic visuals, The Last Wish, not only injects vigour into the long-dormant Shrek franchise but is one of the greatest films of the year, period. The fearless Puss in Boots (Banderas, as silky-smooth as ever) is synonymous with laughing in the face of certain death, spending the better part of his nine lives performing death-defying feats— all of which are gloriously showcased in the raucously gorgeous opening. Not concerned with being on his last life, he comes paw-to-paw with a foreboding wolf (Wagner Moura), a cloaked bounty hunter with two short scythes who has meticulously waited for Puss to be on his final life. Bested for the first time, Puss flees towards retirement, settling into a cat lady’s home and languishing in the mundanity of domestication (rendered as a great homage to Apocalypse Now). He comes across the existence of a legendary wishing star that fell to earth eons ago when he’s accosted by the cockney Goldilocks (Florence Pugh) and her family of bears (Ray Winstone, Oliva Colman, and Samson Kayo). Alongside the show-stealing, impossibly naïve dog, Perrito (Harvey Guillén), and his old flame Kitty Softpaws (Salma Hayek), the three embark on a journey to find the star and reclaim a fresh batch of new lives. All the while, vying against the Wolf, Goldilocks’ bears, and the villainous, sorcery-obsessed Big Jack Horner (John Mulaney). The plot has all the makings of a familiar adventure, and in its framework, it absolutely is. However, its execution separates it from its maudlin contemporaries. Utterly dripping with style, this swashbuckling adventure enters the domain of the awe-inspiring with pure visual potency, painting its great lesson on appreciating the life we have now with an ingenious, emotionally invigorating brushstroke. The dazzling animation excels on all fronts, creating depth with both its astonishing world and multifaceted character design. From the nuanced, utterly frightening Wolf to the grizzled, huntress-like goldilocks to Puss’s visage of inner turmoil, each character is imbued with noticeable layers. The Last Wish not only continues the franchise’s jocular amalgamation of popular fairy-tale characters but underpins it with a surprising level of maturity, fearlessly provoking its young audience into heavy conversations surrounding death, fractured families, and shattered trust. The sheer assortment of fantastical personalities—all varied, eclectic, and wholly interesting—are never wasted, each satisfyingly fulfilling their own arcs in service of a greater one. Goldilocks’s reason for pursuing the wishing star is markedly unexpected, yet fits the narrative with grace, while the irredeemable and feckless Big Jack Horner transforms his famed nursery rhyme into a stark motivator. The Wolf is a vividly realized personification of death, whose piercing red eyes and ominous whistle unearth Puss’s deep-seated fear of the inevitable every time he appears from the shadows. Even characters like the scrupulous Talking Cricket make an indelible imprint, despite their brief time on screen. The ever-shifting, transmogrifying world serves as a wonderful playground for the dynamic, propulsive action set-pieces. Straying from the more realistic style of its predecessors, the storybook-like animation revels in unbridled creativity. Not satisfied with just one domain, the studio brings forth a bevy of environments that morph from perspective to perspective, colliding onto themselves and transforming into something else entirely, and even more staggering. The result is equally treacherous and resplendent, wringing everything possible out of its familiar concept. The Last Wish is a rare animation marvel that astonishes with its visual prowess while deftly delivering mature lessons to a young audience. From the complex character design to its transportive worldbuilding, the film’s stellar multitudinous quality coalesces in a wholly cathartic finale. Though the ultimate route is predictable, the numerous shifting pathways and transformations are what make it truly memorable. Come for the cute cat, stay for the deceptively deep character."
"Jul 25, 2023",positive,"FANTASTIC. Exhilarating Action, Phenomenal Animation, Perfect Voice Acting, & an argument could be made for the best animated film of 2022! "
"Jul 25, 2023",positive," Over the years Dreamworks has lost its notoriety for being an animation powerhouse. Scrapping its all-ages, edgy stories in favor of appealing to younger audiences.  The original fanbase of the animation studio is now adults, and it seems like they haven’t hit the right chord to usher in a new generation of fans. It has been 11 years since the first Puss in Boots and the Shrek franchise that ended in a flop but is still relevant in internet memes. It has taken a decade for the Dreamworks team to revisit the world of Far Far Away in a long-awaited sequel that revamps the entire Shrek franchise through Antonio Banderas’s sword-slinging cat.  Immediately jumping back into the world of Puss in Boots, the film gives the perfect reintroduction to the Spanish cat that feels like reconnecting with an old friend. The new animation style is in full effect with destruction and festivities.  Picking up a few years after the first film, Puss finds himself  at the top of life until he is hit with an existential crisis when he learns he has one life left.  For the first time in his life,  the invincible Puss is now fearful of death as it follows him around in the form of a wolf.   To keep a low profile, Puss moves into the stray cat haven of Mama Luna where he will waste the rest of his last life as an actual cat.  Hope is brought to him as he discovers there is a wishing star that will allow him to get his life back if he finds it. He is not the only one hunting down the star, a collective of characters including Goldilocks and the Three Bears and “Big” Jack Horner chase after him.  Add in Puss’s old Flame, Kitty Softpaws, to further complicate his task.  Puss, Kitty, and a scrappy dog Perro join forces to embark on a vibrant journey to get the star before their enemies do. Puss in Boots: The Last Wish is the literal wishing star Dreamworks has needed to fill the large gap created by its popular franchises ending.  Waiting over a decade to continue the story of Puss and his world was well worth the wait because this sequel delivers in every aspect. One of the most notable improvements is the animation style that is an into the spiderversification of Shrek with its changes between 24 and 12 frames to match the confidence of Puss.  The new style embodies the essence of who Puss is and allows it to take on a western style fitting the story of an aging hero facing death perfectly. Two styles of animation are combined, 2D hand-drawn and CG, that blend seamlessly together. This change makes the animation feel so exciting to watch as well as allows more creativity for the filmmakers behind the story to take the iconic character to gorgeous landscapes audiences haven’t seen before.  It is very comic book-esque that puts its audience right in the middle of the action through dynamic camera movement.   The darkness of the film makes it an outlier of Dreamworks Animation’s filmography by showing a visualization of the terror that haunts Puss.  The entire film is a gift for visual storytellers to pick up on different gags and details on multiple watches.  Animated films have been lacking recently with casting non-voice actors into leading roles. Puss in Boots: The Last Wish successfully avoids this by bringing back Antonio Banderas who has never been better.  He adds new layers to his character as he is experiencing emotions for the first time in his life. There is a sequence where Puss has a panic attack about his destined fate and it is handled with so much empathy by Banderas’s voice choices mixed with the imagery.  The new mix of characters from Florence Pugh, John Mulaney, and Olivia Colman are the perfect castings as they can bring their personalities into their roles that fit the context of the story.  For having so many characters, the script fleshes out each villain giving them their moments to shine. Whether it's Goldi and her family or the wolf and Puss, there is a lot of depth in these character decisions. Jack Horner is a traditional bad guy, but everyone else is given a chance for the audience to understand their desires or care for them.  11 years was well worth the wait for this animated masterpiece about making the most out of our lives and spending time with those we love.  This has become the blueprint for how to do an animated sequel that is not lazy but has heart and purpose. It is easily top-tier Dreamworks that will work with any age of moviegoer with its smart but not intimidating nature. "
"Jul 24, 2023",positive," “This story is a fairytale…” reads the opening title card of Puss in Boots: The Last Wish. The spectacular adventurer, Puss in Boots (Antonio Banderas), has returned to the silver screen. His life is as glamorous as one would expect for a swashbuckling feline, but all of that comes crashing down when a doctor (Anthony Mendez) tells Puss that he’s burned through eight of his nine lives. Puss hears of the famed Last Wish, a special fallen star that can grant one wish. Hot on his trail are other famed fairytale-characters-turned-villains: Goldilocks (Florence Pugh), her three bears (Olivia Colman, Ray Winstone, & Samson Kayo), and Jack Horner (John Mulaney). Luckily, Puss won’t have to go on this journey alone. Accompanying him are an old friend, Kitty Softpaws (Salma Hayek), and a new one, Perro (Harvey Guillén). The animation magically mixes the 3D style DreamWorks is known for with stunning elements of paint-like brushstrokes. By no means does this make Puss seem lifelike, but the strokes add warmth to the animation. The characters aren’t sleek, smooth, or perfect. There’s a rustic quality to the illustrations that proves Puss in Boots: The Last Wish is here to tell a different story. Something to separate itself from the rest of the DreamWorks portfolio and create a new style all its own. Like Puss’ own self-realization, the film and its titular character come into their own and stand far from the shadows of their origin.  Of course, the film is geared toward children and there’s a heartfelt message woven throughout the journey of Puss, Kitty, and Perro. The trials and tribulations of their travels are reminders of what’s important in life. It’s about friends, family, and love, and always has been. There are some throwback jokes to Puss’ signature pouty look and physical comedy that will surely delight the kids. Somewhat surprisingly, Puss in Boots: The Last Wish also has its creepy moments. Throughout the entire journey to the Last Wish, Puss is stalked by The Big Bad Wolf, aka Death, (Wagner Moura). The wolf is a looming force with bright red eyes who will not stop until he catches up to Puss. The audience’s hair will stand on end just like Puss’ in the scene that introduces The Big Bad Wolf. It’s the first time in the Shrek Cinematic Universe that this character is afforded the darkness of its fairytale origins. Puss in Boots: The Last Wish is the last-minute surprise of the year. The film has all the charm the audience has come to expect from the Shrek standout, but with a blindsiding amount of heart and humor."
"Jul 14, 2023",positive," Puss in Boots: The Last Wish (now on Netflix) was the first movie in the Shrek franchise in more than a decade, and by all means, should be nothing more than forgettable piffle for six-year-olds. But for the first time since Donkey first cracked wise and Shrek first cracked a fart, one of these movies is actually ABOUT something, and reaches a near-Pixar level of substantive achievement to boot. But unlike Pixar, this thoughtful kittycat adventure doesn’t prompt us to weep and dribble snot like mad, which frankly, has been getting a bit old. No, this Puss hits the sweet spot between thoughtful and delightful – something nobody expected in the least. The Gist: [WARNING: PENDING EXPOSITION] “This story is a fairy tale…” reads a title card, so I can lead off like so: Once upon a time, an actual star fell from the sky and created a dark, magical forest. And within that star was one wish, to be granted to whoever might find it. [END EXPOSITION] And now, to the adorable-kitten crap: The inimitable Puss in Boots (Antonio Banderas, as ever) isn’t just a hero of legend and man-cat if infamy, but a bona-fide celebrity who can walk into a room and sing jaunty tunes and just be his own gigantically egotistical self, then devour the adoration like a wolf to a pile of BBQed sheep. His latest party is interrupted by a giant made of stone and moss and antlers and malevolent whimsy, and upon besting the towering beast with his pointy cutlass and pointier wit, Puss takes a bow and gets his bell rung. By an actual bell. DONG. It fell. And now he’s dead. But don’t worry! Cats have nine lives, y’know. Puss awakens and the doctor asks him to county how many he’s spent – there was the time with the bulls in Pamplona, and the other time when he cheated while playing poker with dogs, a drunken test of whether cats always land on their feet, etc. They’re adding up. Quickly. So quickly, he’s on his last life. Cue the oh-shit moment. And therefore, Puss pauses for a moment of self-reflection, which is something he really ain’t good at. He’s drowning his sorrows in a glass of the heaviest cream when a bounty hunter approaches him. He’s always got bounty hunters on his butt – blame notoriety and a little ethical compromise for that – but this one’s different. It’s Wolf (Wagner Moura), who appears with red eyes and a hooded cloak and a pair of sickles, and it’s pretty clear who he REALLY is. You know. The Big D. And for the first time in his lives, Puss is terrified, and runs away from a fight. All this is actually kind of funny in an existential-horror kind of way, and also in a cute-cat-acting-like-a-cute-cat kind of way. I mean, he gets drunk on heavy cream. It’s a balancing act. Anyway, Puss buries his hat and boots – the legend, the whole persona – and R-U-N-N-O-F-Ts to the home of Mama Luna (Da’Vine Joy Randolph), a crazy cat lady who’ll adopt any stray puddy who knocks on her door. She puts mittens and a bell on him and names him Pickles and he’s mortified and depressed and grows a big long beard, but at least he makes a pal in a chihuahua disguised as a cat, nameless but soon to be known as Perrito (Harvey Guillen). This is about when the plot really starts losing its mind, because a crime family consisting of Goldilocks (Florence Pugh) and the Three Bears (Olivia Colman, Ray Winstone and Samson Kayo) wants the bounty for Puss. And this is when the fallen star/wish exposition makes itself relevant, because everyone here decides to quest for it, competitively, and Puss motivation is, he’ll wish for his nine lives back so he can resume being his old self. It ain’t gonna be easy, because Big Jack Horner (John Mulaney) and a bug that looks a lot like Jiminy Cricket (Kevin McCann) and Puss’ old nemesis Kitty Softpaws (Salma Hayek Pinault) join the fray, making sure this all gets very complicated, much to our delight. What Movies Will It Remind You Of?: Rango. It reminds me of Rango. And yes, that’s intended to be a compliment. One hell of a compliment. Performance Worth Watching Hearing: Far too often, celeb voice work in animated films is little more than a marketing tool hoping to lure us into the theater to hear, I dunno, Woody Allen voice an insect or whatever, with underwhelming results. But as the voice of Puss, Banderas has true spirit and character, and gives one of the more lively voiceover performances in recent memory.  Memorable Dialogue: Wolf confirms our suspicions about his identity: “I don’t mean it metaphorically or rhetorically or poetically or theoretically or in any other fancy way. I’m Death, straight up. And I’ve come for you, Puss in Boots.” Our Take: The Last Wish is ingenious in many ways: The character dynamics are richly layered, with Puss and Softpaws’ cynical me-firstisms countered by Perrito’s pure heart; Goldilocks and the Bears’ struggle to find happiness, you know, something that’s not too hot or too cold but just right; and Jack Horner’s concupiscence for power and fairy-tale artifacts, a never-ending desire for more more more that has incurably corrupted him. They all fight over a treasure map to the fallen star that offers everyone a different path through the forest, shifting its physical reality into psyche-traps for all parties – and this is where Puss stares down his mortality and wonders if he truly values who he is, what he’s done and where he’s headed. Heady stuff? Sure, but not always, and definitely not quite on the nose. Director Joel Crawford and co-director Januel Mercado take pains to make everything accessible to all audiences, a fairy tale with some classical Grimm underpinnings. The script is consistently funny, foregoing the snarky self-skewering that defined the Shrek franchise, swapping it for a more timeless sensibility consisting of whip-cracking one-liners and character-based comedy (although the references are still intact – keep your eyes peeled for nods to T2 and Sergio Leone’s spaghetti Westerns). Slapstick action is present, as ever, but not overdone, executed with crisp visual acumen and a welcome touch of experimentation (decelerated frame rates give it an almost comic-booky feel).  The film’s callow intelligence can’t be understated. Puss in Boots, infamous for his bloated sense of self-confidence, finds himself neck-deep in the quicksand of an identity crisis. We love the guy, but he needed to be taken down a peg for him to become someone of true depth and character. And so he becomes more than just a joke machine, blossoming into full, actualized personhood. Except he’s a cat. In boots. And a hat. With a little lappy tongue. And who can still do the poor-adorable-kitty thing with his eyes that’ll gooify you in seconds. But now we’re emotionally involved with his psychological well-being, something we surely never, ever thought would happen with a character in a Shrek spinoff. Who knew Puss in Boots could sink his claws in so deep?"
"Jun 28, 2023",positive,It's darn good!
"Jun 2, 2023",positive," 
	                                        
	                                    	Finally, an animated movie sequel that's worth the wait. One has come to expect little from computer animated franchise films these days – or any franchise films for that matter, but Puss in Boots: The Last Wish, a follow up to the 2011 film Puss in Boots, is both fun and thoughtful. Both Puss in Boots films have been directed by Joel Crawford with a stellar voice cast lead by Antonio Banderas as the sword-wielding showman, hero and fugitive cat. A spin-off from the ‘Shrek’ franchise, this is the story of a walking, talking cat who sings songs celebrating his own greatness. After he’s vanquished a menacing giant, a fallen bell sounds Puss’s death knell. A lifetime of shenanigans and adventures later, Puss learns that he has ploughed through eight of his nine lives. On doctor’s advice, he hangs up his hat and boots and opts for a sedentary and safe life as a pet, taking shelter with cat lady Mama Luna (Da’Vine Joy Randolph). He learns how to live as a domestic pet, eating cat food and sharing a litter with tens of other felines. “So, this is where dignity goes to die,” he mutters sardonically as he queues up for the communal litter trough. That’s until the cockney crime loving family of Goldilocks (Florence Pugh) and the Three Bears (Olivia Colman, Ray Winstone, Samson Kayo) comes looking for Puss in Boots. They need his help to steal a map to the Magical Star. Fearing death and an end to his ‘legendary’ status, an invigorated Puss embarks on a quest to find the map, the star and make his last wish. A lonely but optimistic dog (Harvey Guillén), with aspirations of becoming a therapy dog, becomes his unsolicited sidekick. As they seek out the map, they also encounter Kitty Softpaws (Salma Hayek), Puss’s competition and former love interest. Screenwriters Paul Fisher, Tommy Swerdlow and Tom Wheeler build a fairy tale/ nursery rhyme multiverse into the story. Besides Goldilocks and the Three Bears, there’s also Big Jack Horner (John Mulaney), a supersized avatar of Little Jack Horner who stuck his thumb in a pie and pulled out a plum. Big Jack Horner is malevolent, avaricious pie-maker and collector of prized artefacts from Excalibur to a flying carpet, Magic nanny bag and unicorn horns. Another dark force is the red eyed wolf (Wagner Moura) who haunts and follows Puss. On this ride-or-die adventure, Puss learns many lessons. Among them trust, kinship, and breaking down his own hubris. The banter between Puss and Kitty —Banderas and Hayek—is especially fun. As she ribs him, he responds, “Mock me quietly please.” Through the little dog, Perrito, they learn the value of stopping to smell the roses. Animal wisdom for the soul is peppered into an energetic and fast-paced narrative with colourful 3D rendering that creates an amusing family film voiced by a top-notch cast."
