Dates,Scores,Reviews
Apr 9 2024,negative,i dont make love i fuck hard   mum pick me up i am terrified seriously who can not only get through this without cringing but enjoy it as well absolutely horrendous watch and im quite frankly never watching a movie again
Mar 7 2024,negative,there wasnt any butt stuff
Feb 18 2024,negative,guys did you know she is the star of madame web 
Feb 14 2024,negative,fifty shades of grey is one of if not the most unpleasant films ive ever watched with its story and writing are cheap and lazy especially the main characters have 0 chemistry because all they do is just talk have sex and thats it this movie has a cherry on top with one of the worst endings i ever had to endre
Feb 11 2024,negative,mr grey starts off strong and temporarily convinces you hes a strong powerful se oops sorry powerful man but poor ana being the romantic she is really breaks him down and bores the audience in the meantime youre bluelipped the entire film which is a let down considering you go in expecting a lot just disappointing because miss johnson bares all for a film that turned us all off wait that all of us turned off we werent looking for existential we were looking for existouch me
Feb 6 2024,negative,there are some scenes that are downright laughable due to the emotionless acting
Dec 30 2023,negative,this is good enough on its own merit but avoid the trilogy at all costs
Nov 26 2023,negative,if the book was bad what makes you think the movie will be any better
Nov 23 2023,negative,no art in porn very weak very stupid
Nov 11 2023,positive,not as much of a porno as i thought it would be
Nov 11 2023,positive,the movie was okay  it wasnt as good as the book but it tried its best to develop these complex characters and their complex relationships  there was a lot of content in the book so they were never hitting the mark there  but overall i wasnt disappointed
Nov 9 2023,neutral,a good film that presents a sadomazochistic relationship a little exaggeration and possessiveness
Oct 28 2023,positive,i love both the main actors so much the movie was so great to me but i never read the books to compare
Oct 27 2023,neutral,love story movie with a different twist than usual  trilogy 
Oct 12 2023,positive,the chemistry between the anastasia steele and christian grey is hot and very sexy i enjoyed the trilogy
Oct 5 2023,positive,this trilogy sets a high standard for bnd intrigue fashion friendships dakota johnson is again gorgeous and the sexual dynamic between the main characters is hot convincing plot nope but thats not the point consensual bnd sexual exploration is rarely this well done
Sep 14 2023,positive,i expected it to be awful bit was pleasantly surprised romcom mills and boon style with a few whips and light spanking but actually the sex scenes were better more convincing more realistic more romantic and less embarrassing than most films and were actually part of the plot i enjoyed the romance and passion of the film
Sep 10 2023,positive,the flic trilogy is far superior to the novel dakota johnson is superb bnd is not for everyone granted but for those sexual creatives who bend social mores w agreement the visuals in this trio are unique and instructive rotten tom rating got this one wrong
Sep 8 2023,positive,reminds me of wattpad its okay
Sep 4 2023,negative,i saw a little bit of 50 shades of gray i scenes got me uncomfortable is when jamie dormen was whipping dakota johnson 6 times that got me uncomfortable   you know he lucky dakota johnson dad don johnson did not lawsuit give not take him court or el james sue her for bdsm activity don johnson did not make a scene in front mr dormen family
Aug 30 2023,negative,the only erason it gets 15 even is because the first 30 minutes is actually shot well and makes sense if it wasnt for that this would get a 0 possibly the editing and pacing go off the rails in the second half as this devolves in nothing but incoherent choices that characters make with no rhyme or reason and this becomes a porn flick effectively and the worst part is the sex scenes are so boring half the time and drag out once youve seen one sex scene with them youve seen them all and it makes the next 67 times just repetitive and because you cant show any actual penetration or real xxx rated stuff it becomes pointless to watch to a certain extent they either needed to go even more crazy and racy or make serious changes to the source material for a film they didnt do either and we get a boring incoherent porno effectively the cinemaotgraphy is well shot and framed most of the time but the problem is the characters are boirng the scenes themselves make no sense and the sex scenes which is half the film are dimly lit so you cant see most of it half the time and its boring to look at this movies plot is almost like a r rated lifetime movie the acting also is not that good because thye have no chemistry and the choices they make make no sense the contract felt completely pointless there is basically no story at all in the second half and they just have sex constantly for unclearstupid reasons the dialouge is terrible at times and comes out of nowhere and gets a good laugh uninetnetionally as well i didnt expect this to be so boring on top of so incoherent stay away from this at all costs
Aug 20 2023,negative,this movie has been out for a few years and ive just had the displeasure of watching it this movie has bad acting bad haircuts and a dumb plot there being 2 more movies after this completely baffles me i wont be watching them this movie was only popular because middleaged women unfortunately get horny not because it was good the muppet movie over this monstrosity any day
Aug 20 2023,positive,just recently watched this for the first time and im not sure why the ratings are so low i thought it was a good movie with a good soundtrack to match the only reason i didnt rate it higher was due to a cringy piece of dialogue that i couldve done without
Aug 10 2023,negative,you know those movies where you say i have nothing else to watch it cant be that bad well it is no chemistry at all with the leads its laughable to see they do acts that would require such passion like swooping in for a rapturous kiss in an elevator but youre left with the thought there is no way that would happen sorry     the dude is not my cup of tea i find it hard to watch when the cast have lines that he is so hot when hes just not i think most everyone can agree brad pitt is a nice looking man even if hes not your type cant say that for this dude his acting just didnt seem to fit the part i did not believe he was this billionaire people cave to     dakota not ravishing in my eyes shes rather plain nice eyes tho then lines from cast that she must fight guys off with a stick come on she doesnt look like shes in college i dont buy either of them being smitten by each other she might be because of his money but him for her nah    i think this could have been a lot more intriguing like they did with basic instinct that movie was captivating this was not    and a romance um if this is romance then ill stick with a table for one please
Jul 5 2023,negative,a film that is basically porn with very little story
Jun 21 2023,positive,i loved this move and the next 2 i dont know how it got such low rotten tomatoes and audience score ive even bought them and i watched them all the time its one of those movies that you can watch over and over and over and never get bored of and imagine you are anastasia steele 
