Dates,Scores,Reviews
Jul 11 2022,negative, a cheap sexual fantasy designed for mass consumption fifty shades of grey approaches the otherwise risqué subject of bdsm and neuters it rather than fully explore the dark realms of sadism or even adequately investigate an unhealthy abusive relationship this adaptation retreads clichés in a format best suited for the dullest of mainstream viewers having not read el james first or second or third book in her trilogy my view on the phenomenon and controversy may be limited but after enduring the film i can write that any fuss made about the exploitative nature of director sam taylorjohnsons adaptation hasnt considered what a tedious completely dismissible film lies before us heres a film that is offensive only in how inoffensive it proves to be it transforms what should be a complicated lurid relationship between a dominant and submissive into a laughable formula about an innocent girl and her mysterious man shes an awkward bookworm hes a wealthy control freak mix these stereotypes together with a bondage fetish and you get something akin to pride and prejudice with kinkexcept neither romantic nor erotic nor even boundarypushing with much lowerlipbiting to cornball effect dakota johnson plays the mousy anastasia steele the resident elizabeth bennet a virginal college student fond of classical romances by jane austen no less when she interviews christian grey jamie dornan for her college newspaper shes immediately taken by his steely intimidating presence erudite and formal the young billionaire runs an ambiguous communications company where he only hires women who look like robert palmer dancers and avows that he exercises control in all things in addition to a few other warning signs christian grows fascinated with ana and begins borderline stalking her and perhaps because shes inexperienced in such things shes charmed by his creepy attention then comes the moment when any sane person would walk away from his courtship he asks her to sign a nondisclosure agreement before he touches her along with allusions to his singular sexual proclivities the fact that he wants her to sign a contract and she actually considers it is part of what makes this an absurd fantasy it turns out christian likes to tie women up in his playroom and punish them though he claims to enjoy such acts only if his submissives are getting as much pleasure from the experience as he does nothing about the seemingly smart certainly reserved ana and her very normal life suggests that she would be game for a little sm so why when all of the signs point to christian having major issues does she stick around that question is never adequately answered in the film and remains glaring and because of that fifty shades of grey is nothing more than surfaces colortimed in muted grayscale shades polished up with just the right amount of nottoooutthere erotica that wont offend mainstream crowds audiences witness hands tied blindfolds on feather tickling light spanks and whipping nothing too scandalous indeed bondage has never been so boring or felt so commoditized each of these acts is filmed like a music video and set to pop music by more often than not beyoncé she contributes two titles to the soundtrack theres one sequence where each thrust is timed with a beat and each beat coincides with a cut from one shot to another and the nudity in these scenes is almost exclusively onesided with johnson baring far more and more consistently than her male costar but ultimately these scenes are no more erotic than watching monkeys mounting one another at the zoo none of this would matter if interesting characters inhabited fifty shades of grey but there are none to be found questions about anas motivations bother us until we remember shes very inexperienced in relationships to be sure any selfrespecting woman would have run far far away from christian at the first mention of an nda not to mention christians later domsub contract so what does she see in him christian is bland robotic but goodlooking enough i suppose without an interesting dimension beneath his exterior layer the irish actor plays him unemotive from behind a rigid american accent hes broody and as ana observes on multiple occasions unable to articulate his feelings when she asks why he must punish her to achieve pleasure he responds this is how i am how does such a poor communicator preside over a billiondollar company but because shes naïve she overlooks his utterly deficient personality in favor of his fancy cars posh apartments helicopter rides and glider flights or maybe she just enjoys how he showers her with gifts a firstedition copy of tess of the durbervilles a new laptop and an audi by the time ana confesses her love for christian we cannot help but wonder what shes fallen in love withtheres nothing there many have questioned the sexual politics and implications of the book and film the material brings into question female submissiveness as it relates to gender roles throughout history and you could argue that it perpetuates violent relationships against women although she leaves him in the end quite abruptly suggesting that such relationships are not condoned by the filmmakerauthor however debating these serious topics in relation to this material gives it too much credit theres nothing the least bit insightful or insulting about this product it has been tailored for the lowest common denominator demographic many of whom filled the theater during my screening the largely middleaged crowd of women whispered and giggled their low hum of chatter barely subsided for the films 125minute runtime they were no more affected or offended by what was happening onscreen than they were during twilight seven years ago had fifty shades of grey been nc17 rated and really pushed the limits of mainstream sexuality in film its doubtful that it would have been received with such widespread commercial enthusiasm if theres a dangerous sociological consequence to the film it resides in how topics that should be significant are presented in such a fluffy way that when left to its target audience they can be damaging if only for the ignorance with which its received but fifty shades of grey manages to be a nonissue and quite often boring which is surprising given the swell of passionate negative reception and controversy about the book in some circles outspoken feminists authors and news outlets grant the material far too much credit by suggesting it has any significant meaning beyond supplying sexually bored readers and viewers with a look at fringe sexuality through a clichéd lens to expend any energy getting mad about its possible but mostly nonexistent subtexts is a waste of time for bdsmbrand controversy seek out tie me up tie me down 1990 bitter moon 1992 the piano teacher 2001 secretary 2002 or even nymphomaniac 2014each of these films respects its audiences enough to at least attempt to provoke the viewer watching these other films you might find yourself offended or pushed to the limit even unable to watch others might find themselves turned on for me fifty shades of grey accomplishes almost no reaction whatsoever except for being so bland and programmed that its laughably dismissible and where bdsm in cinema is involved the film isnt doing its job if it isnt somehow stimulating
Feb 2 2021,negative, remember when valentines day was about fancy chocolates dozens of long stemmed roses and cupid targeting lovers hearts with his trusty bow and arrow with the release of the softcoreporn soontobeblockbuster fifty shades of grey this year cupids arrow isnt aimed at the heart based on the erotic thriller by e l james the movie stars irish actor jamie dornan as handsome ceo and slapandtickle enthusiast christian grey and dakota johnson the daughter of don johnson and melanie griffith as ana steele a literature student sent to interview grey only to find herself under the spell of the businessmans exotic proclivities according to the young impressionable woman he is polite smart and really intimidating showered with gifts like a first edition of tess of the durbervilles she submits to his charmshes wealthy good lookingallowing him to go all atype on her in and out of the bedroom i exercise control on all things miss steele he says a character trait he expresses through bdsm bondage discipline sadism and masochism i dont do romance my tastes are very singular ill cut to the chase there are sex scenes there is nudity and yes virginia there are whips and chains but dont expect the smutty stuff from the books director sam taylorjohnson has whipped the material into mainstream theatre shape shaving the rough edges off the novels explicit kinky sex scenes the randy pair spend more time talking about their sexual liaisons than actually getting horizontal or suspended or anything else they blabber and negotiateim not going to touch you he says not till i have your written consentyammering on about submission domination and safe words till even the marquis de sade would nod off from boredom but for all the talk we never learn anything about why grey is disposed to liberally mixing his pleasure with pain its the way i am he says he doesnt go to dinner or movies he simply wants her to earn his devotion by being his submissive this is communicated simply with a combination of sweet talk if you were mine you wouldnt be able to sit down for a weekand predatory behaviour that if not for his billions would land him in jail for stalking or worse the psychological introspection on display here makes dr phil seem like friedrich nietzsche of the two leads dakota johnson seems ripped from the pages of the book her gamine innocence and girlish giggle convey the emotional rawness necessary for the character to work she is naked emotionally and physicallyunlike her costar who for all we know is as anatomically correct as a ken dollwith a propensity for drunk dialling and permanently dewy look about her that betrays the confusion and attraction ana feels toward grey dornan has the thankless role his grimfaced christian grey is an unemotional cipher a bubbling cauldron of unexplored trauma and dornan plays him straight faced which much have been tough while delivering unintentionally hilarious linescall it a domination comedy or dom comlike roll your eyes at me again and i will take you across my knee his delivery is just as sexy as that time your cranky old grandfather said it to you when you were ten his burning passion is conveyed by his intense gaze which often looks clinical as if hes examining her naked body for irregular moles fifty shades of grey feels like an elegantly madethe cinematography and score are top notchnight time soap opera its a cliffhangerexpect the inevitable sequel to pick up exactly where this film leaves offand the kind of rrated movie that feels more like a cold shower than a hot romance richard crouse shares a toast with celebrity guests and entertainment pundits every week on ctvs exciting talk show pop lifesaturdays at 830 on ctv newschannel midnight on ctv
Dec 4 2020,negative, frumpily dressed anastasia steele dakota johnson compensating with a 40 gpa and english literature romanticism heads to seattles grey house to conduct an interview with wealthy telecommunications magnate christian grey jamie dornan shes substituting for her sick roommate kate eloise mumford who has prepared a series of hopelessly dull questions that become just the start of anastasias unpreparedness clumsiness and flustered attitude nevertheless the cool collected intense grey is fascinated by the young woman just as she exhibits an immediate infatuation herself the following day christian surprises anastasia at her hardware store clerk job setting in motion a collection of flirtations and interactions that lead to repeated visits to his luxurious apartment its there that she reveals her inexperience with men and he alludes to his own dark secrets  namely whips and chains though one of the spelledout rules of dominancesubmission is consensual participation fifty shades of grey instantly breaks its own rules with christian attempting to coerce anastasia into a role shes not comfortable with  and vice versa as she hopes to taper off his extreme sexual preferences for the more standard wooing habits of a dinner and a movie oddly their lack of chemistry seems fitting in a romance between a carnal novice and an emotionally damaged robot with all the advertising and hype its difficult to remain completely oblivious to the main attraction of fifty shades of grey which is the sadomasochistic dalliances and insinuated supercharged eroticism and what turns out to be a lot of graphic nudity bondage is certainly not something regularly explored in mainstream cinema here the dialogue makes frequent foreshadowing hints at greys unusual predilections inspiring decent laughs for those aware of the subject matter youre the complete serial killer jokes anastasia as grey purchases cable ties masking tape and rope  in fact tools for his singular playroom were it not for the publicity surrounding the picture the first act could have established a typical teen romantic comedy unfortunately the coquetries start to resemble bella and edward banter which is not surprising considering the projects origination as twilight fan fiction the similarities stop there however as the fantastical romance something of an edgier pretty woman morphs away from commonplace cinderella reveries and into the story of o or the many emmanuelle movies and their copyrightcircumventing laura gemser derivatives using the name emanuelle sans an m i dont do romance insists grey even though hes prone to rescuing steele from her own drunkenness or taking her on thrillseeking dates later the mention of genital clamps and anal fisting also drives a wedge between the juvenile origins in a particularly cheap premise the leading man is a billionaire capable of offering helicopter rides fancy cars and opulent dwellings this clouds steeles motives as audiences can never be sure of the degree that endless riches influence her choices the temptation for promiscuity transitions to one of financial possibilities grey also has plenty of time off to have sex all weekend long for equilibrium bits of unaffecting humanism are thrown in such as a prying mother and stock siblings along with a brief history of the cause of greys sexual deviance glimpsing the marginally interesting psychological metamorphoses and manifestations of abuse the whys of bdsm are likely the most engrossing aspects of the behavior the notion of freedom from responsibility and making decisions is comparably piquing but the painaspleasure idea is hard to swallow outside of the cinematic realm of hellraisers cenobites at least the film goes out of the way to show the use of condoms but regardless of the themes or the boilerplate that replaces original character designs the most unforgivable aspect is the ending since this is the first part of a trilogy fifty shades of grey isnt even a marginally complete story this entire first chapter is just the introduction  resulting in something grossly less than a competent movie designed by mike massie   20062024 gone with the twins  all movie related images  their respective owners articles on this site may not be distributed or reproduced without written consent
Sep 7 2020,negative, if you would weave together a pinch of the softcore stylings of red shoe diaries a dab of the hyperstylized playboy videos and ever so slight hints of the naughtiness meets psychosocial intrigue of secretary or maybe 9 12  weeks then you may very well have an idea of what to expect from fifty shades of grey the adaptation of british author el jamess bestselling novel of the same name already having garnered its fair share of controversy thus adding fuel to its inevitable boxoffice fire fifty shades of grey centers around anastasia steele dakota johnson 21 jump street and need for speed a sheltered english lit major on the verge of college graduation when she meets attractive young billionaire christian grey jamie dornan televisions the fall and once upon a time whose attraction to anastasia is surpassed only by his need to control absolutely everything about absolutely every human relationship hes in in case youre still wondering this means that christian is a dominant a bdsm term indicating a role of control within a sexual scene or lifestyle this also means that christian is not seeking from anastasia a traditional dating relationship after all he doesnt do romance but is instead seeking for her to be his submissive a role in which she would essentially surrender herself to his wants and needs without question there are some particularly those within the faith community who are already protesting fifty shades of grey loudly the protests grew even louder after the films hyperstylized trailer played during this years super bowl and triggered accusations that the film promotes sexual violence domestic violence and the glorification of violence against women alternately there are some who defend the film just as loudly by stressing the mutual consent within the relationship and quite simply the fact that bdsm is both widely popular and widely misunderstood there are also those who consider the film as a true depiction of bdsm or even rape fantasy the latter being an admittedly darker yet existing sexual practice amongst more experienced and extreme practitioners of bdsm the simple truth at least in my estimation is that the notion of being swept away remains an intense fantasy in fifty shades of grey being swept away by this attractive dominating and filthy rich man is completely enveloping because it touches on the desire to be protected controlled safe and financially secure  the books also at their very essence tap into that very basic idea that true love heals everything the curious thing at least to those whose minds work critically is that practically anyone would openly tell you that fifty shades of grey and its companion books are horribly written this isnt meant as a slight to james who has clearly written works of great popularity and cultural relevance but merely as an observation that a book that started out as twilight fan fiction doesnt have a particularly brilliant story and does in fact contain some of most incredibly insipid dialogue one could possibly imagine now then im not completely convinced that youre here to actually read a review of fifty shades of grey mostly because im not 100 convinced that fans of fifty shades of grey can actually read however i suppose my film criticism code of ethics demands that i at least attempt to express the experience to be had while watching fifty shades of grey  to her credit el james did not write a book that glorifies violence against women or rape or domestic violence there is a difference between these things and bdsm though certainly there would be those practitioners capable of drawing a line between the two definitely existing within the world of erotica and fantasy jamess novels more fully explore the myriad of issues present within the complex relationship that exists between anastasia and christian christian is in his own words 50 shades of fed up and incapable of anything resembling a mutually satisfying relationship within the relatively short span of a two hour film it is impossible to fully explore what created christian and as a result we are left to watch a man whose behaviors border on sociopathic easily cross the line of stalking are unfathomably controlling and exhibit more than subtle hints of domestic violence do i believe this is the filmmakers intent or the films meaning nope that doesnt matter the simple truth is that jamie dornans performance is so incredibly weak that without a full context his christian grey comes off as sociopathic rather than seductive controlling rather than dominant and frightening rather than fantasymaking there was never a moment in fifty shades of grey when i bought into this relationship nor did i ever buy into dornans grey as a man capable of creating a business empire or commanding anyones attention let alone their bodies in fact id dare say that for someone supposed to be a dominant that dornans grey is almost painfully submissive johnson on the other hand fares modestly better as anastasia oozing vulnerability and yet believably portraying a more confident and ill say disciplined young woman than is ever brought to life in the book johnson the daughter of melanie griffith and don johnson gives the film nice moments of lightness and even humor a welcome touch given that it becomes apparent early on that the hints of darkness will never become more than hints the biggest problem here however is that johnsons character shifts so quickly and plays off dornans so badly that anastasia ends up looking and feeling like a woman with a raging personality disorder whose backandforth histrionics are more erratic than empowering theres a surprising lack of sex in fifty shades of grey the films sensuality defined by a handful of scenes that are vividly brought to life by seamus mcgarveys lensing but that are surprisingly devoid of the books more intense scenes we get a few nude shots of anastasia not surprisingly coupled with a couple butt shots of christian a handful of full body scenes from behind and one hint of pube in other words its fairly typical hollywood sex with the modest addition of some whips straps etc the scene that may very well be the sexiest is actually devoid of sex a wonderful backandforth experience involving christian anastasia and a conference table the truth is that if fifty shades of grey wanted to really work then taylorjohnson and crew needed to commit to a darker edgier and more compelling film dornan whom i cant stress enough is miscast here desperately needed to tap into greys darkness or he needed to pull a charlie hunnam and just back out of the project at several points i found myself picturing the suave and sophisticated sociopathic behavior of christian bales patrick bateman a characters whose sociopathic nature certainly dominated yet a character who had that edginess that christian grey so desperately needs here the films portray of dominance and submission is flaccid at best with dornans grey being an ineffectual dominant whose techniques reveal vast inexperience despite his claim of the number of women who have been in what he calls his play room the contract has several major practical flaws and far too often chooses faux style over substance it also doesnt help that the chemistry between dornan and johnson is woefully lacking making their flirtations unconvincing and their dominance and submission border on downright creepy and disturbing the two actors whom reports have said didnt actually get along during film simply arent strong enough yet within their craft to overcome a lack of chemistry and this lacking creates an unbelievable relationship made more unbelievable given the extraordinary circumstances the great thing about a film like 50 shades of grey which seems destined to take the boxoffice crown this opening weekend is that you as the moviegoer should be pretty clear on whether its a film for you theres no disguising what it is and what to expect with the folks at universal pictures trying to sell the film as a valentines day weekend spicy alternative fifty shades of grey wont likely fulfill any of your deepest and darkest fantasies but it may actually remind you how good you already have it
Jul 16 2020,negative, now i dont claim to know anything about bdsm but from what i can gather people choose to participate through a mutual understanding and respect the submissive is getting just as much out of it as the dominant what disturbs me about anastasia and christian is that consent is never reached throughout anastasia contemplates recoils and flat out turns down christians advances about the contract while looking up the word submissive online anastasia is repulsed by the pictures she sees yet christian still ends up persuading her to go through with it theres something just wrong about that what im guessing is meant to be a womans sexual blossoming comes off more as a twisted characters obsession to control someone physically and emotionally el james novel kelly marcel screenplay and sam taylorjohnson director have crafted a disturbing story under the guise of romantic fantasy christian grey is a mysterious playboy that every girl wants to be with but in reality hides demons that make him a sociopath after their first encounter anastasia is smitten beyond belief but theres no basis for that reaction jamie dornan inhabits christian as a steelyeyed montone no nonsense character for someone whos supposed to be sexually irresistible christian simply doesnt sizzle his mannerisms push us away instead of pull us in and it only gets worse once his real desires come to the forefront for a role thats supposed to smolder like a young marlon brando christian grey has more similarity with patrick bateman in american psycho 2000 dakota johnson does her best with anastasia shes effective at being the comedic klutz tripping over things never grasping the double entendres etc she gets a few good oneliners in whether were supposed to laugh with or at her but anastasias motivations toward christian do not make sense what is it about him that attracts her it clearly isnt his charming personality is it his wealth when he brings her into his playroom why doesnt she run away in terror every time she bites her lip i wondered what the hell she was so fascinated with if she cant handle looking at pictures online what makes her think she can handle it in real life since this is a fantasy anastasia has the mindset of being that one special person who can change christian even when he tells her how many women hes had in the same arrangement because a person like him would keep count she still continues along this is a strange dynamic where anastasia  under the false belief that she has ability to influence  allows herself to be tied up beaten and controlled by christian in an effort to make him fall in love with her oh how romantic the sex which im sure everybody will be eager to see is dreadfully not sexy oddly  given that the author screenwriter director and the main protagonist are all female  its anastasia who bares it all not much is seen of mr grey except for the rare bum shot while theres a good amount of sexual encounters theyre all photographed and edited the same way with soft lighting and quick dissolves showing a body part here and there theres nothing all that sensational graphic or titillating its about even to anything youd see on red shoe diaries or late night cinemax if you have an interest in watching other people getting it on there are other cheaper ways to do it besides this this film unnerved me and not in a good way seeing a girl getting tied up whipped and sexually humiliated is not my thing and this is set to be a box office hit christians pursuit of anastasia is downright creepy this is not the same as say hitchcocks vertigo 1958 where the relationship is meant to be disturbing theres an ambivalence here that feels irresponsible it doesnt take a stand as to how christian and anastasia are meant to be perceived the things he does tells us no matter what a girl says or how unsure she is as long as you take her on a helicopter ride youll be allowed to do anything you want with her if you admit you had a bad childhood thatll give you the keys to the goods gimme a break and she wants him becausewhy again if anything fifty shades of grey can function as a barometer for societys weird fascination of all things kinky at my screening it was packed to the brim with people taking selfies to mark the occasion afterwards some waited in line to grab a poster what is it about this story that struck such a chord with popular culture is it because it started out as twilight fan fiction and is enjoying the remnants of that success is it the result of the massive ad campaign or do people just want to see trashy things on screen because in terms of story and character this film is in desperate need of a safe word
Apr 10 2020,positive,overlong too clinical in design and based on lowest common denominator entertainment or so im told fifty shades of grey still manages to be engaging funny and unexpectedly human
Nov 26 2019,positive,given that this is her second film sam taylorjohnson directs the film with taste and care by focusing on the interactions between ana and christian rather than the sexual side of the story and the film looks stunning
Nov 12 2019,negative, first of all i know im not the target audience for this movie having said that i gave fifty shades of grey like all movies i watch a fair chance with an open mind  the first half hour was the only portion of fifty shades of grey with any sort of character anastasia steele dakota johnson is a humble shy girl finishing up college who does pretty much nothing to prompt the interest let alone garner lust from an eccentric billionaire who always gets his way however christian grey jamie dornan takes a sudden interest in her when she steps in for her ill roommate and embarks on a 10minute interview with the head of grey enterprises whatever that might actually be once they get past the introduction the film dives into exactly what you would expect based on everything youve either read or heard about from the novels it completely loses any heart it had for the next hour and a half christian and anastasia play a manipulative game of nationwide hide and seek that includes lots and lots of sex the entire bout feels completely meaningless because the characters hadnt been developed at all the movie takes many liberties by assuming you know what happened in the book and leaves itself open for audience to point out plot holes why does anastasia steele have a thing for christian grey in the first place your answer is probably as good as mine i have no idea it seems like no reason other than the fact that he has a ridiculous amount of money outside of that he borders being an abusive stalker with a personality or lack there of that no one would fall for but a gold digger which ana didnt really strike me as i wonder what the trailer would have looked like if characters from the book werent so commonly wellknown the movie relied way too heavily on prior knowledge of christian grey and his unique tastes in the bedroom which werent unfathomable for a mature audience take any nicholas sparks movie remove some plot and pull out any character development and replace those elements with as many sex scenes as you can before getting an nc17 rating and you have fifty shades
Sep 19 2019,negative, playful marketing provocations heralded by the succinct tagline curious standing out beneath black and white production stills somehow manages to be the most titillating aspect of the highly anticipated film adaptation of el james erotic novel fifty shades of grey which like many of its romantically inclined counterparts only proves that watching people fuck or fall in love is generally only interesting to those involved directly thats of course discounting voyeurs and james core audience of straightlaced sexually repressed hausfraus who have never taken an opportunity to explore base tendencies it is their embrace that has resulted in this pop culture fixation in a superficial sense its enthralling to see that a studio production so clearly addresses notions of sexual pleasure but fears of censorship have reigned in director sam taylorjohnsons visual freedom and considering the subject matter this is shockingly conservative not unlike say that rihanna music video for her sm track that clearly has no idea what more alternative sexual tendencies look like whats more curious is how the film has been mostly positively received with those who havent read the source material already having a garbled telephone game grasp of expectation though were all familiar with its basic premise this is the first chapter in the sexually charged saga of one anastasia steele dakota johnson a collegiate lit studies major who meets billionaire playboy christian grey jamie dornan by chance hes attracted to her and draws her into his palatial seattle home where he draws up a contract that specifically outlines what the nature of their relationship will entail the virginal anastasia has a limited amount of time to research greys specific sexual preferences and decide if shes able to handle his potentially pleasurable lucrative offer grey belongs to the lowest common denominator of pop culture phenomenology with james texts receiving a similar critical reception as that of stephenie meyer much like twilight will forever tarnish the resume of director catherine hardwicke grey lands with the same thud on another promising female directors filmography while sam taylorjohnsons marriage to younger actor aaron taylorjohnson snagged more headlines than their work together on her 2009 film nowhere boy its a far cry from the banality presented here though there was no chance shed be able to mutate grey into her own vision the end product takes itself so insanely serious that frequent audience titters cascading throughout its screening had nothing to do with discomfort toward potentially awkward material oh the line from which the title is birthed is a stumpy bit of comedy too as the titular billionaire dornan seems entirely too slight his dialogue a series of forced utterances spoken with the prowess of a soap opera star as anastasia johnson daughter of don johnson and melanie griffith though thankfully shes sans that peculiar kitten lilt owned by griffith and grandmother tippi hedren fares a bit better and when shes not sharing screen time with dornan shes actually an engaging intelligent presence but once in the midst of her tryst with grey johnsons anastasia becomes an irritating composite of girlish silliness as if the script cant find a way to avoid treating her demeaningly johnson plays her with a believable balance of naivety at least as concerns a young persons introduction to the torrid and tawdry practices of the sexually experienced but the film becomes a maelstrom of repetitive silliness her dalliance with a man obviously looking for something different than what she has to offer marks her as another throwaway stereotype the scandalous sm subject matter is treated without due deference and youll cringe every time the words dominant and submissive are used as it seems no one involved in the making of this had any way to make this sound less contrived but it begins with lofty allusions to classic literature and greys red playroom even recalls a place of punishment for jane eyre not only is bronte mentioned but anastasia is aligned with her favorite literary heroine tess of the durbervilles from thomas hardys famed novel the reference is troubling for those familiar with the text which concerns a beautiful young ingénue caught romantically between two men ending disastrously professional award winning actresses appear as their respective mothers including marcia gay harden and jennifer ehle supposedly on hand simply to validate the films existence hardens introduction is exquisitely laughable arriving without warning at her sons immaculate home only to leave moments later with the same awkwardness one sees a matriarchal figure treated in something like tommy wisseaus the room elsewhere budgetary constraints also seem to plague the exterior shots of grey with seattle and portland existing basically in skyline for anyone who isnt the target audience ie privileged largely white middleaged heterosexual women fifty shades of grey plays like alternative pleasure practices 101 at the films dramatic crux when anastasia dares christian to release his worst punishment the result is a mere whimper of a sequence yes its great to see sexually acknowledged adult subject matter on the big screen but grey to use a demeaning term is what rough trade would refer to as a cock tease with the powers that be inexcusably pussyfooting by depending solely on the specter of titillation if lars von triers nymphomaniac is equally shackled to contrivance due to centuries of puritanical methods of sexual representation at least he wasnt afraid to get his hands and other parts dirty over a decade ago we had the playful and laudable secretary 2002 which understood that a degree of silliness goes a long way towards making an impact with taboo sexual subject matter funny that no one seemed to understand in the making of grey that watching two vaguely defined characters engage in ceaseless rounds of conservatively filmed grimaces and stifled moans that lip biting bit is eye roll worthy gets tiresome quickly decades earlier japanese auteur nagisa oshima gave us in the realm of the senses 1976 which is still effectively shocking perhaps those that gobbled up el james prose wouldnt mind reading a few subtitles and seek that out instead los angeles based nicholas bell is ioncinemacoms chief film critic and covers film festivals such as sundance berlin cannes and tiff he is part of the critic groups on rotten tomatoes the los angeles film critics association lafca the online film critics society ofcs and galeca his top 3 for 2021 france bruno dumont passing rebecca hall and nightmare alley guillermo del toro he was a jury member at the 2019 cleveland international film festival
Aug 2 2019,negative, the marketing campaign for the highly anticipated film version of el jamess erotic romance says simply curiousunfortunately the only curiosity that should drag most discerning film lovers into the theater is seeing how the filmmakers removed so much of the original steam and made it so pervasively boring regardless of whether the book was literature or smut well written or not there is no question millions around the world embraced the trilogy passionately what in the books captured the imaginations of so many who were formerly ignorant of the ins and outs of the world of bdsm and dominantsubmissive sexual relationships was the fact that sexually can take many forms while still allowing for deepening love and commitment this is a powerful message and arguably freed fans to express themselves sexually in new ways without self judgment all this is lost in the film the story of anastasia steele and christian grey how they meet and change each other their sexual exploration and their conflicts is made not only vanilla but has no fire dakota johnson as anastasia lacks the star power to explain christians fascination lip biting is not an acting style jamie dornan a perfectly fine actor in tvs the fall is slumming here but he also does us no favors by mistaking inscrutability for smolder female director sam taylorjohnson inexplicably chooses very traditional camera angles due one assumes to mpaa requirements for ratings as usual we see more breast than at a la leche league convention but only the occasional male bum cheek there is little more critical than to say a third of the film had people laughing at dialogue and the other two thirds wiggling in their seats not from discomfort or innervation but from boredom
