Dates,Scores,Reviews
Apr 5 2024,positive,why do people even hate this
Apr 5 2024,positive,its fun and action packed with an underrated monster design this movie needs more love sometimes you just need to turn off your brain off and have a good time
Mar 31 2024,positive,i kind of feel bad for this movie it is bad for a godzilla movie and the only way i can compliment it is if i pretend it is not a godzilla movie if you want to watch a monster movie then id say its pretty good however the expectations of a godzilla movie were too high for it the best part of this movie in my opinion are the opening scenes and music i do like they stayed with the original roar and honestly i dont hate the redesign
Mar 31 2024,negative,not the best how are gonna turn godzilla into a tyrannosaurus rex
Mar 31 2024,positive,i am overly bios about this movie because it was the first godzilla movie i have ever seen but i understand why people dont like it so 4 stars
Mar 30 2024,positive,this may not be the best godzilla of all but it was my very first godzilla movie in my childhood the roar is classic
Mar 29 2024,positive,my favourite i have watched it a few timesit is a good adventure with a social commentarymany of the others get too dramaticenough drama
Mar 29 2024,neutral,yeah it was pretty good just not a huge fan of the iguana design
Mar 16 2024,neutral,personally this film is a guilty pleasure of mine as i will admit there are some good stuff in this like the effects are pretty good even for 90s standards and the godzilla design while it doesnt look like the godzilla we all know and love is still a cool design and roar it makes sounds pretty intimidating and i also thought that the robert ebert cameo in the film was pretty funny
Mar 9 2024,positive,one of my favorite movies as a kid and i still believe its an amazing movie i really dont get how people think this movie was terrible obviously theyre the ones who grew up eating rotten tomatoes  still a classic and they should make more of these it would be cool to see godzilla vs this godzilla
Feb 28 2024,positive,this movie is sensational but this godzilla is nothing like the original godzilla but its still a very good godzilla movie why does this movie deserve so much hatred not a bad movie
Feb 26 2024,positive,just rewatched it for the first time in years and its still as good as i remember personally i dont understand all the negative reviews  in my opinion this is the only godzilla plot that remotely makes sense combine that with two hours of  90s action and its a solid movie
Feb 25 2024,positive,i thought it was great ive never seen so much action in a movie in a long time i dont know why people seem to think that its such a bad movie ive seen a lot of five star movies that quite honestly dont even deserve to be on the screen let alone receive that rating
Feb 24 2024,negative,its not as bad as some people say but its definitely a pretty horrible godzilla film it might be fun to people who arent too familiar with godzilla but that doesnt make up for the films horrible writing
Feb 17 2024,negative,this movie is just a mediocre jurassic park ripoff using the godzilla name
Feb 15 2024,positive,one of the best godzilla films ever i know people hate his model i love his model 10 10
Feb 11 2024,positive,i know this godzilla gets alot of hate but hey i love it not because its got a great script or superb acting but just because this is one of those feel good summertime movies that ill always tune in if i find it when im flipping thru the channels on a laid back sunday and it doesnt hurt that maria pittillo was a cutie pie in here
Feb 9 2024,negative,i dont like the look for him i dont like how he doesnt have atomic breath this movie was sad not the good kind of sad i do like the fact the godzilla had a family ready to cause trouble but they didnt make it out the bombing speaking of which how did godzilla die to basic missiles what godzilla eats missiles for lunch and nukes for dinner 210
Feb 6 2024,negative,fuck you roland emmerich you ruined godzillas image in the west
Feb 4 2024,negative,godzilla in name only    nuclear testing mutates a lizard into a giant firebreathing monster after attacking a japanese ship it makes its way to new york where it wreaks havoc the creature is dubbed godzilla by a japanese survivor    from imdbcom roland emmerich admitted that he did not like the original godzilla and only agreed to the project after being promised to be able to do what ever he wanted with the series    a director who doesnt respect a legacy a cast who are either too good for their roles or should never act again a beloved cinema icon reduced to a gimmicky cgi monster all these and more contribute to this disasterpiece skip it and watch the original    prop i want top secret vhs tape  most punchable face audrey  favorite quote youre going the wrong way man youre going the wrong way  animal
Feb 1 2024,positive,i am shocked with the vast majority of poor reviews of this movie  i find it an interesting and entertaining film  im not comparing it to any other of the large number of godzilla films   this film was a hollowed special effects offering  and the comedic timing was perfect addition  the interaction between matthew broderick and jean reno was also a huge part of the overall story
Jan 22 2024,negative,not as terrible as some people would say but still pretty mediocre with the exceptions of hank azaria and jean reno the cast seems uninspired or lost at the fact that theyre doing this movie yes its a monster film but things just dont make sense the cgi is an easy target for this film but im sure it was passable in 1998 whats something that aged well since then in a nutshell this movie is 2am sci fi channel worthy and is easily bottom of the barrel when it comes to godzilla media 
Jan 22 2024,negative,not as terrible as some people would say but still pretty mediocre with the exceptions of hank azaria and jean reno the cast seems uninspired or lost at the fact that theyre doing this movie yes its a monster film but things just dont make sense the cgi is an easy target for this film but im sure it was passable in 1998 whats something that aged well since then     in a nutshell this movie is 2am sci fi channel worthy and is easily bottom of the barrel when it comes to godzilla media
Jan 12 2024,positive,yes its dumb and in 1998 i thought it was real dumb but now 25 years later its a relief to see something that is just silly entertainment these days that aint all that bad
Jan 11 2024,positive,i love this movie i grew up with it when i was a kid in my opinion best godzilla kaiju movie ever
Jan 6 2024,positive,this is my all time favorite godzilla movie the acting was great along with the graphics have watched this movie many times over
Jan 4 2024,negative,this movie sucks dudeall the boring parts of early godzilla films is still theregodzilla looks stupid and its not even a good monster filmi like films a lotbut this film genuinely made me go to sleepits that boringit was probably a very disappointing film for every american that was looking forward watching a godzilla moviethey had so much potential but noinstead of a big indestructible fire spewing lizard we all know and lovewe got this stupid iguana that cant even take rockets to the facethankfully just 2 years later americans got a real taste of godzilla with godzilla 2000if you wanna watch this moviejust watch jurassic parkits a better monster movie in almost every regarddont even bother with this disappointment of a film
Jan 2 2024,positive,so when you watch a godzilla movie what are you expecting  great dialog  emotionally moving  a godzilla movie is a godzilla movie  its the same as a zombie movie being a zombie movie  expecting witty repertoire  i like this movie  i like it in the context that it is a godzilla movie  i have never seen a good godzilla movie  you are always starting out with an outlandish concept that usually gets more outlandish   a godzilla movie will not stimulate your intellect  with that in mind this movie is pretty standard  its what i expect in a godzilla movie  as a young mankid i watched them because they had remote controlled toys running about  story was always asinine  i would say this was a step up from those japanese flicks  i particularly enjoyed the side story of the french trying to make up for past mistakes  not a bad movie to while away 2 hours  is the acting good hmmmmm  well it is for a godzilla movie  i have very low standards for any godzilla movie  im basically watching to see what the creature does and the people play a secondary role to that  i have watched this movie several times  its my fav godzilla movie
Jan 1 2024,negative,if i could give this a zero i would  this movie is garbage
Dec 31 2023,negative,godzilla 1998 is the definition of a studiomade movie
Dec 17 2023,positive,i dont remember much from this movie other than seeing the scene of zilla chasing the people but hate on the design all you want but it my opinion it looks good
Dec 16 2023,neutral,oh goodie another roland emmerich film where characters are bland the only good thing about this movie is the special effects for the 90s john azaria and the fact that the baby godzillas are cute and more terrifying than the original other than that the nick atopolis last name is just a running gag and fails to be an american godzilla movie if you want to watch a godzilla movie with builtup characters and how a godzilla would actually act this is not it
Dec 15 2023,positive,my first godzilla film although now i see this is not really godzilla at all the dialogues are so bad and with the acting in this movie they mightve been going for a fullon comedy ebert and siskel dig was fun now that i can understand that overall its a dumb fun monster movie
Dec 15 2023,positive,610  69100   the first half is actually pretty good i like the jurassic park feeling and everything but it falls apart at the last half
Dec 5 2023,negative,a wasted opportunity
Dec 3 2023,neutral,i mean its all right
Nov 10 2023,positive,loved watching this on vhs as a kid i used to play along in the movie at the part where the baby zillas chased the people
Nov 9 2023,positive,i had little reference of godzilla when this film came out  i saw it as a child with my father at the old cheri theatre in downtown boston near back bay  i thought it was great then and on my rewatches since then i enjoyed it every time  i like roland emmerichs popcorn flick style of filmmaking  i though his last one with the moon killing earth was good too  yea the film is dumb but what were you expecting social commentary like the original  ive spoken to kaiju film lovers who just ish on the film because of the monsters size  i thought the dinosaur was cool regardless  the first is the best but i liked this one more than the new remakes except kong vs godzilla  i hope this gets more appreciation over time  its almost as good as the first independence day    rating 7510
