Dates,Scores,Reviews
Apr 14 2024,negative,omg this was just awful beyond what words can piece together whoever gave this movie the green light should seriously consider another line of work
Apr 14 2024,positive,absolutely  fantastic and just the right amount of scary  for a teenager 13 and a 10 year old great story too we all loved  it 1010
Apr 14 2024,positive,i really enjoyed it alote to me it was more r then pg13 and gave me conjuring vibes if god does get me to buy this i would definitely buy it but it was still a little unholy i just think it underrated
Apr 14 2024,negative,it was okay in the first halfish me and my friend jumped at one or two little scares but in the second half stuff got real goofy lmao the worldbuilding was ass and it was really funny when the old lady died cause the bear paw was so clearly a cheap prop and a cheap cliche death old ladys acting sucked too my friend and i and the couple in the back of the theater were laughing so hard it was so awful  two stars because sometimes a shitty horror movie can be fun to laugh at lol
Apr 14 2024,negative,the movie was horrible but in amidly hilarious way its entertainment i guess
Apr 14 2024,negative,acting was atrocious characters that were introduced that had zero impact on the story whatsoever the villain or antagonist of the story seemed to continually change was it chauncey  was it this entity that is connected to everyones imaginary  it was a bit confusing but overall mediocre at best
Apr 13 2024,negative,imaginary had a lot of potential even though that dumb bear was named chauncey imagine a movie that got scarier as it wentthats not this movie
Apr 13 2024,neutral,its decent i thought the story was pretty engaging but the ending was missing something for me didnt like how it was executed i thought it was kind of weird
Apr 12 2024,negative,i couldnt see anything during the lowlight parts of the movie so i turned it off after 20 minutes
Apr 12 2024,neutral,this might not be the bonechilling horror some critics are slamming it for but it delivers a campy creaturefeature charm that scratches a specific itch heres the thing if you go in expecting a modern annabelle or m3gan youll likely be disappointed but if you approach it with the mindset of a 90s goosebumps episode aimed at a slightly older audience then imaginary becomes a surprisingly fun ride    the plot is familiar a young girl befriends a creepycute stuffed bear named chauncey and things take a turn for the weird the scares are more jump scares and spooky atmosphere than genuine dread but theres a certain enjoyment in the cheese factor a winkwink nudgenudge to classic horror tropes    heres the comparison to goosebumps imaginary has that same blend of childish scares and genuine creepiness it wont terrify you but it might make you look twice at your own childhood toys  and isnt that part of the fun
Apr 12 2024,positive,enjoyed it not super scary but definitely family friendly my teens enjoyed it
Apr 10 2024,negative,there are plenty of movies featuring a family moving into a large home being affected by a paranormal occurrence a child is usually the affected party followed by an introduction to a psychiatrist psychic or knowledgeable 3rd party who quickly explains what ghost or demon is the culprit we then have parents who slowly learn the threat is real toss in some plot armor and end with the entity supposedly being extinguished and the house being destroyed other similar movies sinister poltergeist annabelle boogeyman etc at the end of the day you have another generic movie with a paranormal threat thats usually some ancient evil awakened to terrorize a small suburban family
Apr 10 2024,positive,the movie was ok i liked the plot twist and some of the classic practical effects some of the acting was not so good too really bad not something i would watch again
Apr 9 2024,positive,the pace was perfect and the anticipatory story kept you guessing
