Dates,Scores,Reviews
Apr 8 2024,neutral,by the time the credits roll on imaginary you will have mixed feelings there are a few good ideas here and there but the characterization needed a bit more work and the scares needed to be polished a tad more
Apr 3 2024,neutral, the imagination can be a hell of a scary place where the worst fears  about the world about others and about the self  can manifest and compound but what happens when the worst parts of ones imagination not only fester but materialize and give chase the latest blumhouse horror missterpiece attempts to explore these themes with very mixed results directed and cowritten by wadlow imaginary tells the story of jessica dewanda wise a childrens book author and illustrator who moves back into her childhood home with her husband max tom payne and two stepdaughters taylor taegen burns and alice pyper braun jessicas dreams and memories are haunted by her own creations but they subside once the family moves into her old house when alice finds a teddy bear named chauncey in the crawlspace of the house she begins talking to him developing a strong bond with her new imaginary friend chauncey starts to have an overwhelming and dangerous influence over alice and when she starts behaving erratically it becomes apparent that there is a malevolent force hidden in the guise of this cute teddy with the help of taylor alices therapist dr soto veronica falcón and neighbour and former babysitter gloria betty buckley jessica must unravel the secrets of her traumatic childhood and solve the mystery of chauncey before its too late for alice although the film wastes no time in the im gonna scare you department starting off with a nightmarish chase through jessica and maxs apartment it quickly dips in energy and takes too long to amp up and start telling an interesting story it spends too much time establishing the familial dynamics many of which are redundant and should have been excised max is especially superfluous disappearing at the start of the second act to go on tour even though we havent been given any indication that hes a musician until his unceremonious exit fortunately when the film does get interesting midway through it makes some surprisingly effective storytelling choices and its central conceit  the fate of abandoned imaginary friends and their response to this rejection  is sinister and well developed as the latest film from production powerhouse blumhouse imaginary is essentially a goreless affair relying on mood tone and atmosphere rather than body count while it uses the requisite jump scares mostly to unremarkable effect it also makes ample use of the terrors that lurk in the darkened corners of our homes and our minds the scary things that move in the shadows and go bump in the night or day although moments of bloodletting are very few and far between when they do happen they feel uninspired even obsequious appealing to the lowest common horror fan denominator its obvious when the film is trying to frighten yet when it wants to disturb and unsettle it actually succeeds thanks in no small part to pyper brauns superb performance as alice braun is a performer with enviable skills putting to shame not only other child actors but also most of her adult costars shes frightening and sympathetic cold and terrified amused and distraught and she explores these contradictions with the talent and power of someone far beyond her years or experience putting kids in peril has become de rigeur for blumhouse productions brauns tour de force turn as alice is a case where the cliché works what the film does have going for it apart from brauns performance are the practical effects which are surprisingly well done the imaginary world is chaotic and disorienting even if it does ape a bit too much from the works of m c escher while many of the creature effects are practical and have a disturbing and welcome weight to them chaunceys indifferent eyes coupled with some welltimed repositions are particularly effective as are the startling appearances of a humanoid shape throughout the house early in the film when chauncey is being cuddled by alice he turns to face her which makes for a disconcerting visual its a small almost insignificant turn but its this kind of unexpected shift by an inanimate object that helps give him both life and power  and thats actually scary these moments and manifestations force us to ask who or what chauncey is exactly which the writers gleefully withhold until the third act of course blumhouse films love exposition and imaginary is bursting with explanations and unexpected recollections theres the requisite creepy lore section where a character who has been researching andor documenting the villainous entitycreature  in this case gloria who has been chastised and called crazy for her beliefs  finally gets to explain to the other characters ie the audience the true nature of the evil theyve encountered unfortunately the film gets confused by and even lost in some of its own lore there are a number of plot holes and it introduces elements that are completely unnecessary for our understanding of chauncey simply because the writers feel its necessary for the creep factor the film also tries to explore some incredibly complex social and personal issues  mental health trauma abuse neglect  yet it often does so flippantly introducing these elements with little to no resolution its treatment of individuals suffering from mental health issues is particularly unfortunate even irresponsible the girls institutionalized mother is vilified in both of the scenes shes featured in while a sideplot with jessicas similarly institutionalized father is horribly underdeveloped adding insult to injury a cruel and entirely unnecessary twist late in the film dashes any hope for an onscreen reconciliation or vindication for her father overall imaginary offers a somewhat unique take on the blumhouse formula it relies on the production houses substandard approach to psychological horror but mixes it with a creature feature eschewing violence for something more fantastical although the film has a surprisingly effective emotional core it gets diluted by exposition and opportunistic reveals as well as its creators insistence on twists and false endings all of which feel manipulative and underwhelming tonally imaginary tries to present itself as looser and more accessible compared to some of its dour and nihilistic blumhouse siblings yet it still ends up taking itself and its premise way too seriously there are some poorly structured gotcha moments that are insincere and meanspirited the ending is beyond cynical and these make for some of the films laziest moments there are some creative scenes and setups including a frantic climactic search for a missing character through the imaginary realm but imaginary ultimately ends up feeling dull and understuffed its flimsy cheap and easily forgotten  much like an unloved stuffy decaying in the darkness of some dusty box that will never be opened again
Mar 29 2024,negative, some vague discussions about the power of imagination but nothing concrete or meaningful communication among family members proves valuable but this happens late in the movie and rather suddenly no clear role models here only people trying to survive family members a stepmom and two daughters do learn to communicate better with one another but it happens rather suddenly this is a womanled story black stepmom jessica dewanda wise and her two white stepdaughters taegen burns and pyper braun are at the center betty buckley plays a wise neighbor who knows a little about whats going on mexicanborn veronica falcón plays a child therapist in a key scene and black actor samuel salary plays jessicas father in several scenes sympathetic portrayal of relationships in a blended family children and other characters in peril jump scares and monster attacks including spiders bloody handprint monster stabbed with scissors attacks by mysterious figures a man panics and grabs a womans arm hard youre hurting me a child tries to impale her own hand on a rusty nail but is rescued at the last second she gets a small scratch on her wrist a character is viciously attacked by a monster and dragged behind a door a pool of blood oozes out from under it creepy scary images characters with no eyes etc a person stabs her own hand with scissors bloody bandages and blood on the scissors an ax smashes through a door narrowly missing a character video of a child who apparently chopped off the tip of his own finger a character falls hurts footleg person with blood on their face scars on childs arm parental abuse is suggested house burns down arguing shouting a teen boy urinates in the toilet is startled and dribbles on the floor and his shoes one teen tries to get another to take molly but the white pills turn out to be allergy medicine a teen says to himself be cool  youre just tripping he also grabs liquor bottles from a shelf then opens one and drops the other no drinking parents need to know that imaginary is a horror movie about a young girl who finds a mysterious teddy bear named chauncey and starts behaving strangely events that may be connected to her stepmother jessicas dewanda wise past violence includes jump scares children and others in peril blood characters being attacked by monsters and mysterious figures stabbing with scissors some creepygross imagery and more infrequent language includes one use of fk plus ahole and a few uses of st goddamn bitchy oh my god psycho idiot etc one teen tries to get another to try molly but the white pills are revealed to be allergy medicine the teen imagines that hes tripping a teen also tries opening bottles of liquor but winds up breaking one a married couple is shown being affectionate kissing and cuddling to stay in the loop on more movies like this you can sign up for weekly family movie night emails in imaginary childrens author jessica dewanda wise is having trouble with nightmares shes preparing to move with her new familyhusband max tom payne and his two girls from a previous marriage teen taylor taegen burns and young alice pyper brauninto her childhood house once theyre there the nightmares stop but other strange things start to happen alice finds a teddy bear called chauncey and makes it her imaginary friend she begins to play a scavenger hunt game with him that requires her to do odd things like hurt herself a child therapist veronica falcón is called in but the more they dig they more they discover that chauncey is somehow connected to jessica this mostly terrible horror movie relies on chunks of ideas recycled from older movies several predictable jump scares and monster lore that wobbles all over the place and makes little sense directed by jeff wadlow imaginary begins with a cheat of an opener a sequence involving a giant spider attack thatsguess whatonly a dream once it really gets going the movie has trouble establishing exactly what the characters are facing it could be the teddy bear or the creepylooking blurry figures that leer at people and bare their teeth in the dark backgrounds or the spider or a giant demonic version of the bear or even another monster that incorporates the collected imaginations of millions of children this movie doesnt know what it wants and in the end cant summon up much more than a handful of dumb jump scares half of them fake ones intended to make viewers jump and then laugh neither of which is likely to happen audiences will spend at least several minutes recalling earlier movies that did all of this better at least the family dynamicwith stepmom jessica trying to relate to and communicate with her new stepdaughtersfeels fairly close but imaginary is overall an opportunistic movie that didnt bother with creating a solid story before it went in front of the cameras families can talk about imaginarys violence how did it make you feel was it exciting shocking what did the movie show or not show to achieve this effect why is that important what is the relationship between the sisters and their stepmom like what are their struggles how well do they communicate how does this compare to your own relationships common sense medias unbiased ratings are created by expert reviewers and arent influenced by the products creators or by any of our funders affiliates or partners common sense is the nations leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information education and independent voice they need to thrive in the 21st century
Mar 27 2024,negative, imaginary is the latest horror movie to join the blumhouse catalogue following in the footsteps of recent scary titles like m3gan five nights at freddys and the black phone but it doesnt quite stand out from some of its predecessors the movie directed by kickass 2s jeff wadlow follows jessica dawanda wise a woman who moves back into her childhood home with her family soon after arriving her youngest stepdaughter alice pyper braun develops an eerie attachment to a stuffed bear named chauncey that she finds in the basement  from there alice starts playing games with chauncey the bear that begin playful and harmless but soon become increasingly sinister jessica intervenes and realizes that chauncey is not just a stuffed bear and it becomes a race against time to protect the family from this malevolent presence on paper this is a strong concept plenty of horror movies have tapped into the idea of creepy dolls or toys like annabelle in the conjuring series chucky in childs play and billy the puppet in saw who while isnt sentient himself does serve as a freaky disguise for his creator jigsaw so the idea of a scary teddy bear is a strong one to take something that is meant to bring comfort to children and often adults and make it horrifying is an intriguing basis for a horror movie and its a shame it didnt quite hit the heights it could have there is a disappointing lack of chauncey in a movie about a sinister teddy bear and the movie seems to focus more on the familys drama than the main antagonist while theres nothing wrong with setup and some tension building the filmmakers could have done more to utilize him a la poltergeist where things are moving when they really shouldnt be the few instances where we do see chauncey are creepy and there are some decent visuals even if some of the special effects arent great its also very repetitive once youve seen the same creepy shadow technique a few times it starts to get a little old all of this is very disappointing considering they had such a fun idea to play with despite an unnatural script with some strange dialogue choices the actors involved did their best to give their all especially dawanda wise who plays the concerned stepmother trying to figure out whats going on performancewise none could really be faulted even if it does feel like a family drama with background horror rather than the other way around aesthetically its good with decent sound design and an atmosphere that mirrors some oldschool horror movies but the style over substance approach is disappointing when the movie couldve gone a lot harder than it did the third act takes a very interesting turn and without giving too much away mirrors insidious in taking characters and viewers to a strange new place while it attempts to provide some answers about why chauncey is acting like this its a little jarring in places there are also a few questions youll never get answers to so dont go into this expecting things to be tied up in a neat little bow it leaves things frustratingly ambiguous and the ending itself is a cliffhanger doing that classic horror tactic of will there be a sequel wait and see which has certainly had mixed results over the years ultimately imaginary is fine and its not the worst horror offering out there but when its competing with recent smash hits like talk to me it doesnt bring anything new to the table but if you fancy seeing a teddy bear terrorizing a family for two hours you could do worse and it beats a chaotic visit to buildabear on a busy saturday afternoon just about lucy joined the whattowatchcom team in 2021 where she writes series guides for mustwatch programmes reviews and the latest tv news originally from northumberland she graduated from oxford brookes university with a degree in film studies and moved to london to begin a career writing about entertainment she is a rotten tomatoes approved film critic and has a huge passion for cinema she especially loves horror thriller and anything crimerelated her favourite tv programmes include inside no 9 american horror story stranger things and black mirror but she is also partial to a quiz show or a bit of say yes to the dress 
Mar 26 2024,negative,the concept couldve led to some interesting blends of fantasy and horror unfortunately what it actually led to is another lifeless quick buck effort from blumhouse its cheap its unoriginal its boring and yetit probably still made a profit
Mar 25 2024,negative, blumhouse returns to familiar stomping grounds with imaginary a story about a malevolent entity who latches onto a small child in this case pyper braun determined to snatch them away to their secret realm  the further sorry no the never ever its called this time its a formula that has worked well for the studio scoring them five insidious films plus a less wellreceived one about a haunted swimming pool in night swim and now its the turn of the imaginary friend to get scary save your bing bong jokes  imaginary is well ahead of you and makes plenty of them itself but chauncey bear is no cuddly pink elephant an unsettling stuffed toy with a lopsided face and spooky button eyes sinister shapeshifter chauncey is a great design and in the right hands we could have been looking at the next pennywise or freddy krueger sadly these are the hands of truth or dare and fantasy island director jeff wadlow and chauncey doesnt get much chance to cut loose save for a scene between cb alice braun and a therapist veronica falcón hes fairly hopeless and less intimidating than one would hope while the final act plays with chaunceys form a little including some genuinely good practical effects this supernatural horror story is disappointingly crayonbynumbers  snatching wholesale from poltergeist insidious and coraline visually and structurally its unimpressive too and features reams of dialogue which shouldnt have made it past the first draft star dewanda wise gamely gives it her all but is illserved by the writing and clumsy character work meanwhile braun and screen sister taegan burns give spirited performances but wind up on the wrong side of grating likewise a onenote betty buckley and the walking dead star tom payne whose stupid hat garnered the only reaction a derisive laugh from this theatre audience
Mar 24 2024,negative, directed by jeff wadlow imaginary follows dewanda wises jessica as she becomes increasingly convinced that her stepdaughters pyper brauns alice imaginary friend is actually real and malevolent its a stirring premise thats employed to progressively unwatchable effect by wadlow as the filmmaker armed with a script written alongside greg erb and jason oremland offers up a deliberate and often astonishingly sluggish misfire that contains little in the way of compelling attentiongrabbing attributes  with the armslength atmosphere compounded by an almost total lack of scares a distressingly low body count and several laughably inept periphery performances and while the early part of the picture contains a very small handful of engaging sequences including an effective scene wherein the teen next door is menaced by the central antagonist although the lack of a satisfying payoff diminishes the impact of this interlude imaginary which admittedly does boast a decent twist at around the halfway point builds towards an absolutely endless third act that ensures the whole thing peters out to a fairly stunning degree  with the end result a hopelessly underwhelming and uninvolving disaster that squanders its promising setup
Mar 24 2024,positive, in imaginary 2023 jessica dewanda wise an author and illustrator of childrens  books her husband burning cats guitarist max tom payne and his daughters teen taylor taegan burns and younger alice pyper braun move to jessicas childhood home in a louisiana suburb jessicas bad dreams stop once she returns to her home the real nightmare begins when alice makes an imaginary friend chauncey a worn teddy bear alice starts talking in a weird voice and goes on a scavenger hunt that becomes increasingly disturbing gloria betty buckley jessicas former babysitter and neighbor has a theory which may spark jessica into recalling her memories imaginary is mid there is a good story in there but writers greg erb jason oremland and director jeff wadlow missed it there is a central strong theme the inability to rely on or trust your loved ones or yourself ultimately the writers were unwilling to tackle the theme of family members who lose their mind the fear of this trait passing down to the children and the idea that someone could be loved but not worthy of trust the film builds up the idea that chauncey feels that jessica betrayed him the story constantly alludes to the fact that chauncey is sad not evil which is spun as a lie to lure her in but was an emotionally resonant concept which results in the most emotionally resonant scene jessica reassures and apologizes to alice but the bear is lying in the bed under the covers i wanted a bittersweet scene where chauncey is still a threat but somehow jessica remembering and addressing the situation would have resolved or ameliorated the issue somehow instead a lot of the cleverness goes out the door and chauncey just becomes the traditional monster all teeth and claws shrug the writers prioritize the story where jessica and her stepdaughters become a family here is an idea fellas if you are going to write about girls and women maybe throw one in the writers room watch tiktok or read aita would any woman in a shaky relationship with her child charges be eager to spend alone time with them or beg her husband to postpone his trip neither his older daughter nor his wife ever had a moment where they looked at him to pick a side how is he getting off scott free with a harmonious marriage also my cynical radar did the calculation max is a gold digger looking for a bang nanny he saw a hot woman with property and a successful career snagged her and leaves her with all the responsibilities while he follows his dreams he spent zero time with her and the kids except in bed what does he bring to the table except problems because the writers are not the best each girl takes turns being interesting dominating the first two acts braun steals the show with a line delivery that mixes sweetness with sarcasm she is a great little actor who nailed every scene without her performance chauncey is not even remotely frightening and her brief breakup scene was devastating and felt realistic burns dominates the final act when taylor gets invested in her sisters wellbeing and starts to work with jessica instead of just play the standard issue resentful teenager once she lightens up the chemistry between her and wise suggests that if they had subverted the tropes or decided to make the two bond over having mentally ill parents imaginary could have moved up a notch even though parentification is discouraged jessica is constantly trying to protect taylor but taylor feels a sense of ownership over jessicas wellbeing that is an unearned transformation yet works because of the performances maybe alice should have been leerier of jessica because of her moms issues which would echoed the relationship with chauncey and jessica and taylor should have appreciated jessica because she is the older kid who knows what happened when taylor got physical the threat felt more palpable instead the films foundation is the bond between alice and jessica wise is a gorgeous woman who gives me angela bassett vibes she looks like she could be a superhero and it only helps that her wardrobe makes her look like wonder woman as a civilian imaginary spent good money when they hired her because without her the movie would be less watchable i loved when she finally gets a cathartic moment and tells people about themselves the most unrealistic part of this film is the idea that anyone could disrespect a black woman in her own house and not get read to complete filth buckley commands attention every time that she is on screen wadlow was good at making scenes unsettling when shadowy figures lurk in the background hugging the edges which is how chauncey his real entity self and gloria get introduced matthew sato who plays a neighbor and taylors date prospect gets the best scenes with chauncey otherwise chauncey was a letdown as a pure monster the writers gave away too much during the opening oneiric sequence then any scene in which a character read jesssicas stories it gets so spelled out that somehow the denouement feels anticlimactic the monsters liminal space should have been populated with more people since it is a place where other kids would be the director referenced labyrinth as inspiration but failed to mention scenes that felt derivative like stephen kings it specifically pennywise and the deadlights most people complained about the mythology the mythology would have hung better if the framework of the story was strong enough to handle it but gloria was a glorified prose dumper who over explains everything to make sure that no one gets left behind in the audience dr alana soto veronica falcon was the best in her m night shyamalan role that reveals the whole twist which i did not expect but should have seen coming please do not revoke my jaded moviegoer card it is a dumb detail to get hung up on but when dr soto leaves the family instead of either calling dcf or finding a responsible adult to intervene and help it was the part of imaginary that did not work for me especially since she was otherwise so savvy it feels like a waste that the film is set in louisiana there is a supernatural explanation but the environment and history are never considered imaginary has a problematic element within this universe any parent who suffers a mental illness cannot be trusted with their wellbeing of their child but when it is a mother she is just mad whereas the man is noble and sympathetic the flick deserves kudos for having the message that real friends want the best for us and do not want to inflict any pain  if you are expecting the same eerie commercials featured in the trailers let me save you some disappointment people do not watch television in imaginary except to watch movies like warm bodies 2013 the final scene was hilarious and leaves room for a sequel which no one wants lets just put dewise in better movies
Mar 20 2024,neutral,  if youre foolish or stubborn enough or in my case both to still spend time in the contemptuous wasteland formerly known as twitter you may be aware that late night with the devil has come under fire for its use of aigenerated images for its interstitials this is a regrettable turn of events not only because the filmmakers denied actual artists work in favor of a cheap facsimile but because this one unforced error distracts from the fact that the movie is actually an effective lowbudget thriller that uses the familiarity of a retro aesthetic to deliver some potent scares our story takes us to oct 31 1977 the day fictional talk show host jack delroy david dastmalchian goes all out for his halloween special in an attempt to finally outperform his longtime rival johnny carson unfortunately jacks lineup of guests includes the sole survivor of a satanic cults mass suicide ingrid torelli who understandably still has demons to deal with writersdirectorseditors colin and cameron cairnes create slowburn dread in the first act letting the audience get comfortable with the setting before ramping up to a bonkers finale involving gruesome body horror false realities and torelli doing a killer regan macneil impression plus dastmalchian the dark knight dune doesnt miss a beat in his first starring role giving jack an affable selfdeprecating charm that slowly gives way to a profound sadness mixed with a desperate need for attention while its mistakes may haunt it late night with the devil still boasts impressive filmmaking in front of and behind the camera making it a trip to hell worth taking r morgan shaunette bridgeport cascade clackamas fox tower laurelhurst movies on tv oak grove vancouver mall  set during a heavy winter in an isolated turkish town the latest drama from director nuri bilge ceylan once upon a time in anatolia takes wild swings yet strikes brilliantly understated notes deniz celiloglu stars as samet a teacher perplexed by allegations that hes too familiar with female students his roommate and colleague kenan musab ekici faces similar accusationsand the two share a budding friendship with a female teacher nuray merve dizdar from a neighboring town complicating their unspoken resentment working with cinematographers cevahir sahinand and kürsat üresin ceylan favors long static shots putting you in the room with his characters during extended conversations but never in their heads aside from the terrence malicklike philosophical introspection by samet yet strategically sudden camera movements sometimes remind you youre watching a movieand what a movie it is is about dry grasses about a work scandal or a love triangle or is it truly about dry grasses the answer is elusive and the ideal viewer will stop asking what ceylans film is about and accept it for what it is a masterpiece nr ray gill jr living room  more than any other screen idol working today mark wahlberg has that dog in him the former poster boys presence all but guarantees an impassioned overcommitment scruffy adorability and bucketloads of nervous energy aching to be let loosereliably cinematic qualities that his best films boogie nights three kings have unleashed alas wahlbergs star vehicles too often dispense with any hint of nuance or conflict to focus on bravura stunts unfurled at breakneck pace as an end unto themselves requiring no greater justification hence the new docudrama arthur the king about a quartet of weekend warriors who risk life and limb and the titular mutt they find along the way to climb kayak and bound across hundreds of miles of mountainous oldgrowth canopy hyperfit cardiophiles may thrill at the prospect of performative selfabuse within the forest primeval but does anyone besides participants and their longsuffering loved ones even know this race exists playing our heros better half juliet rylance joins a long list of wahlberg wives with little choice but to offer tearful support for their life partners wanderlust each time he grabs hold of an intriguing scent a more humane interpretation of events the film is based on mikael lindnords nonfiction book arthur the dog who crossed the jungle to find a home wouldve at least questioned the wisdom of a career spent so ferociously chasing ones own tailthough selfprescribed incredible journeys are rarely about the destination pg13 jay horton bridgeport cedar hills city center clackamas division street eastport evergreen parkway living room lloyd center mill plain oak grove progress ridge studio one vancouver mall vancouver plaza  as a semilucid showcase for dreamworks animation empire in the late aughts the first kung fu panda engendered a near universal goodwill that has kept the eponymous bodyposi demon warrior po jack black afloat in an ipsoaked media universe casual fans might rightly question the sheer amount of material wholly dependent upon the undimmed adorability of blacks slowrolling fave phrase skadoosh but for better or worse these are childrens cartoons as opening info drops in kung fu panda 4 make clear prior installments had neither the talent nor the inclination to sow seeds for an eventual world building of this luxe wuxia pasticheand failed efforts at moralizing through pos longsuffering spiritual adviser dustin hoffman spotlight how little meat is left on this particular bone any actual philosophical tenets are clouded with panasian greetingcard mysticism that divorces martial arts from violence altogether implying that fighting is really just kinetic yoga as with that other express panda franchise hawking oversugared flavors plucked out of context a creative vision ungrounded by larger perspective and unconnected to cultural context leaves a nauseating aftertaste pg jay horton academy avalon cedar hills city center clackamas eastport evergreen parkway fox tower joy cinema lloyd center mill plain pioneer place studio one wunderland beaverton wunderland milwaukie  what if imaginary friends were not just real but you know scary thats the concept behind director jeff wadlows latest horror film a soulful dewanda wise stars as jessica a childrens book author who moves into her childhood home with her new family her young stepdaughter alice pyper braun soon finds a stuffed bear in the basement and names him chauncey creative alice but lordly monikers aside imaginary hits routine beats including predictable fakeout scares an old woman who delivers exposition and a therapist who acts nothing like a real therapist is there any other kind of movie therapist imaginary finally gains momentum in the third act once the plot gets nutty or nuttier but by then it is too little too late wadlow has certainly made worse horror films than imaginary including the hilariously bad truth or dare but his latest effort is still mostly toothless and unimaginative pg13 daniel rester bridgeport cedar hills cinema 99 clackamas division street eastport evergreen parkway hilltop movies on tv oak grove progress ridge sandy cinema stark street vancouver plaza  the best scene in problemista ends with a bullet anguished by overdraft fees alejandro julio torres begs a bank of america employee to acknowledge the injustice of his plight her response she whips out a pistol shoots him and declares i stand with bank of america savagely funny and direct that punchline is the opposite of everything else in problemista a satire of immigrant dreams that parries when it should stab written and directed by torres cocreator and star of los espookys problemista finds alejandro in new york struggling to become a highconcept toy designerhis ideas include a stairshating slinkybut hasbro keeps rebuffing him if he doesnt want to be deported home to el salvador he needs a work visa but the only person who will sponsor him is a deranged art critic tilda swinton curating an exhibition of her cryogenically frozen husbands paintings of eggs quirkiness alert torres is a delightfully nimble performer but swintons elizabeth is surprisingly staid lobbing cruel witless jokes at serviceindustry workers as if she were auditioning for a zgrade seinfeld ripoff problemista seeks to cultivate an aura of absurd wonderment but its stock characters and forced whimsy are so wearying that when alejandro is offered putatively soulkilling work as a paralegal you want to cry take the job kid creativity aint all its cracked up to be r bennett campbell ferguson bridgeport cedar hills cinema 21 hollywood laurelhurst  it would be difficult to declare the 1989 patrick swayze vehicle road house a good film but it does provide some trashy fun and has a cult following for a reasonwhich is more than can be said for director doug limans remake stepping into swayzes boots jake gyllenhaal plays dalton an exufc fighter who heads to the florida keys to become a bouncer attracting the attention of ben brandt billy magnussen a crime boss who wants to control a particularly rowdy joint while gyllenhaal is solid as dalton the supporting cast is mostly indifferent the exception is a scenerychewing conor mcgregor as a henchman named knox liman the bourne identity edge of tomorrow delivers slick imagery and welcome chuckles dalton kindly brings some of his opponents to the hospital but for the most part road house is a generic and forgettable action flick missing its predecessors lurid spirit the 1989 film is many things but bland isnt one of them r daniel rester amazon prime willamette weeks reporting has concrete impacts that change laws force action from civic leaders and drive compromised politicians from public office support wws journalism today
Mar 19 2024,neutral, if theres anything ive learned from blumhouse pictures movie imaginary its that we dont talk enough the horror genre is full of so much mystery around the evil being faced theres also a lot of denial but what if we actually talk to each other what if when that serial killer thats coming after us we sit down and try to figure out who it is or that demon that has haunted us what if we tell our loved ones what we saw things would be solved way faster and the movie would be over but what if it wasnt over what if talking to each other to solve whats going on with the big bad leads to new ways of storytelling thats what i feel with imaginary to be crystal clear i dont think that imaginary is reinventing horror its a pretty basic film that kind of reads like a book while watching i couldnt help but think that i would totally devour this kind of book after all the most powerful thing when it comes to horror is how we imagine the monsters within these books and this movie is pretty cookiecutter and predictable from start to finish keeping that all in mind it does push into uncharted territory where the people in the movie talk about what they saw confront the monster and dont end up having a sad ending where they sacrifice themselves for the rest of the family they themselves are rescued by said family and get to live happily ever after and i want to see more movies like that because im sick and tired of the plot twist where the bad thing got them now that is predictable happy endings arent besides imaginary making me realize that 100 of horror movies could be solved by talking i really enjoyed having dewanda wise as the lead i have personally never heard of this actress and now i will be thoroughly going through her imdb to see what shes up to or what she has done but just like my post the other day about breathe we are in desperate need of horror movies with black leads because if theres anything that hollywood likes to do when it comes to showcasing any minority story is by leaning into stereotypes often harmful ones and the horror genre is absolutely guilty of that if we look back to the running gag that if youre a black character in horror the chances of you dying skyrocket which if youre looking for a movie that looks at that stereotype right in the face and flips it the bird i would suggest watching the blackening imaginary went and fleshed out jessicas story in welcome and unexpected ways it made her a mom to an interracial marriage and the children that came with it we also got to see jessicas career and how art had always been such a pivotal thing in her life that it led her to a career making childrens books we also got to see her and a white picket fence kind of neighborhood that horror movies have statistically only made a residence for its white stereotypical leads jessica was just living her life everything wasnt perfect when it came to jessicas storyline though we got to see her as a child have joyous moments with her mom and the aftermath of confronting that monster when it destroyed her dad and it would have been great if there were more black characters along for the ride with jessica contrary to popular belief more than one minority can be the central focus of a story and im saying this as someone who isnt black but who is sick and tired of watching movies with latinas where there cant be more than one of us there can be i cant finish this review without talking about the special effects of this movie i think that imaginary found a really good balance between letting our imagination set the tone of how malicious chauncey was the bear was simple and something any kid would own and i like the buildup to whatever this demon was i do think though that the giant bear monster was something straight out of a nightmare so a for making that fever dream come alive but there were some things like the spider eyes and that ghostlike face that almost got jessica that just didnt work for me it was a little too cheesy and it made it seem like the demon could transform into multiple things so i wasnt sure if it was a teddy bear or a spider or maybe it was just everything because of imagination ultimately imaginary was cookiecutter with a dash of making me contemplate something fresh for the horror genre and that last bit having me think about what i love and what this genre can do better makes it more worthwhile than plenty of horror movies that ive seen lately and thats saying a lot
