Dates,Scores,Reviews
Apr 13 2024,negative,i dont usually leave reviews but i have just watched madame webb and it was one of the most awful movies i have ever seen i would leave 0 stars if i could the script is rubbish and dacota johnsons acting is so terrible that it is painfully to watch do not watch this movie if you value your time and money
Apr 13 2024,negative,absolutely a waste the whole storyline was all over the place they are trying too hard to make you hope it might be a good marvel movie but failed dismally to create one  the acting was terrible i dont thing dakota was the right actress for this roll she is better off being spanked in 50 shades  i felt my brain melting with the boring story line
Apr 13 2024,negative,i felt that the casting in this movie was questionable with the exception of sweeney and adam scott  this movie hits some very perfect notes of universe references right to ben parker being at his unborn nephews mothers baby shower    adam scott delivers nearly flawless execution of every scene and has a pervect level of relatability to a common man with influence of a super hero in the future       johnson has the acting range of liv tyler but that may be the limitation of the directors focus and capabilities   the story is disjointed and confusing    another strog point was the sheer terror that the dark spider presents when attacking and gives insight as to how an evil spiderman would be  the voice dubbbing was an insult to the actor and signs of the traditional sony comittee inteference    i feel that the spiderverse flicks were near perfection becasue these committees and executives viewed animation as unimportant and disposable    sony has a problem in that sony causes the problem and on a corporate level suffers the dunningkreuger effect and lacks the intelligence to see the lack of intelligence they have    its worth seeing but not at cinema prices
Apr 13 2024,negative,this movie wery bad madam web actors role cast its horrible
Apr 12 2024,negative,theres no connection to whatsoever events happening fast lack of sense gave one star because if dakota tl
Apr 12 2024,positive,it was a good storyline and it was action packed movie hope there will be more series to it
Apr 12 2024,positive,i dont understand why the rotten tomatoes rating was so low i think maybe whoever was responsible for that rating just didnt pay attention to the movie or didnt understand the medical things it did jump around some with the flashes of the future but it wasnt too hard to follow
Apr 11 2024,negative,this movie was so bad i genuinely would turn this on if i had plans to torture someone but even then i dont think anyone deserves that much pain
Apr 11 2024,negative,not even with the studios paid bots they could get a decent rating
Apr 11 2024,negative,just such a waste for marvel i struggled even getting through most of it couldnt finish the rest
Apr 10 2024,negative,worst superhero movie youll ever see ridiculously awful  dont waste your time 
Apr 9 2024,negative,this movie didnt make sense at all i didnt even finish it but i couldnt bare watching another second of this horrible movie i saw the other reviews going into the movie thinking that a lot of people were over exaggerating but no this movie is one of the worst movies ive ever seen i could only write bad notes about this movie          first like i get the fact that his movie is scientificfiction but this just crossed the line a spider that can paralyze you and kill you then why wasnt the baby at least a little bit disabled oh thats right instead of her being disabled she gets super powers and holds a bunch of teens hostage so she doesnt go to jail which makes no sense at all because if you hold teens hostage then you will have a grater chance of going to jail speaking of the topic there is one scene where she is being handcuffed and then when the guy comes which well talk about later when they run the handcuffs just disappear the guy is just a bad reboot of spiderman   the story telling sucks and lastly all the blood is just a bit of food coloring        do not watch
Apr 8 2024,negative,boring film without meaning or morals  sony wants to destroy the spiderman universe and it is succeeding  i think that without a doubt this is the worst superhero film in recent years and i think its impossible for anyone to take that title away from this film    horrorous
Apr 8 2024,negative,nothing special or exciting about this movie it was plane and dual all the best parts where what you saw in the trailers of this movie please dont make a sequel
Apr 8 2024,positive,i enjoyed every minute a perfect origin story
Apr 8 2024,negative,i have never hated a movie more i want my money back
Apr 8 2024,neutral,madame web    madame web emerges as the origin tale of cassie webb her quest leads her to rescue three girls from the clutches of ezekiel sims a ruthless figure intent on their demise to evade his own fate at their hands in the future    films in sonys spiderman universe have received criticism and madame web isnt exempt from that however contrary to many reviews madame web is a straightforward and enjoyable superhero film it doesnt aim for grandeur which aligns well with its storyline despite uninspiring dialogue hinted at in trailers the actual movie doesnt suffer from this though not particularly imaginative the dialogue effectively propels the story forward    the film effectively captures the nostalgia of its 2003 setting the soundtrack plays a significant role in this and the homage to beyoncés dangerously in love was a delightful touch    madame web does indeed encounter several challenges the unfolding of subplots relies too heavily on convenient occurrences which can be frustrating for viewers while the exploration of the titular characters powers is intriguing it diminishes the suspense that should accompany this genre of film as obstacles arise the predictability of their resolution removes any sense of genuine tension or dread    for a superhero movie where the principal characters are battling a villain palpably stronger and possessing no impressive powers of their own the action scenes manage to be more effective than one would expect    the performances in this film may not be stellar but they are wellsuited to their roles dakota johnson portrays just the right balance of detachment and confusion required for her character her reluctance to embrace heroism is palpable and serves as a driving force throughout the movie the rest of the cast also meet the expectations for their respective roles    numerous aspects of madame web require refinement and clarification but its notable that the runtime isnt adversely affected surprisingly the twohour duration passes smoothly without feeling prolonged or dragged out    madame web would benefit from better writing but overall its a simple and decent movie that knows what it is and doesnt try to go beyond that    5510
Apr 7 2024,negative,i was eager to watch madame web but i was disappointed by the poor writing the movie lacked depth the dialogue especially for the antagonist was particularly bad
Apr 7 2024,negative,terrible waste of time would rate it 0 stars if it were an option
Apr 7 2024,negative,so bad that no one even jokingly praises it
Apr 7 2024,negative,i dont know where to start i thought it was a parody film at least ill be ok with that but apparently this film is a million dollar production the acting is very bad the transitions make no sense and are sometimes awkward the characters seem to have their dialogues in front of their eyes the main character is supposed to be a paramedic but i dont think anyone would trust her with their life given the trolllike scenes lets not even talk about the visions she doesnt understand what theyre trying to tell us after 1 hour in the film the whole film seemed to be a perfect parody but that didnt seem to be the point save your time and money and get out
Apr 7 2024,negative,i couldnt finish it the acting was horrendous and i cant tell if the main villain had his lines dubbed over but whenever he would talk it never matched his lips
Apr 7 2024,negative,the only reason i watched this is because of the connection of it to the spider versethis movie is disappointingi want my money back
Apr 7 2024,positive,i wanted the movie to be more about her and less about three annoying teenagers they take up a lot of time and overall dont do much for the story
Apr 7 2024,negative,story was mediocre saw it in theaters i felt like there was so much money put into this but it ended up being a disappointment it was funny at some moments other jokes didnt land well if you dont want spoilers skip to the next review but why and how does the antagonist not die to the miniature bombs know as fireworks survive gunshots grenades fire but die to a falling sign it feels like the budget was running low so they had to end the movie early wouldnt say it was horrible but definitely not marvel quality
Apr 7 2024,positive,great movie we will need an additional madame web
Apr 6 2024,negative,absolutely rubbish the most ridiculous unbelievable made modern film ive ever seenthe story the acting the actual whole context of the film plotline if you could call it that is just a complete farce  how did someone not notice this during the production of this rubbish  dakota johnson must seriously have been hard up for cash to agree and then continue to do this thrash there is no other explanation because it has single handedly destroyed whatever reputation she might have had in the acting world  i usually am more forgiving when i see bad reviews of films i always feel that the reviewer didnt understand the point of the film whether it be just a no brainer action film or a serious proper epic but in this case i am the one who is 100 standing tall in saying that madame web is probably the worst modern film ive ever seenend of
Apr 6 2024,negative,worst heromovie with worst actresses
Apr 6 2024,negative,verily let me regale thee with a lamentation of cinematic proportions for madame web doth stand as a testament to the egregious misadventures of modern filmmaking with an air of anticipation akin to the unveiling of a grand tapestry i embarked upon this odyssey of moving pictures only to find myself ensnared within a maelstrom of mediocrity verily the plot unfurls like a tangled skein weaving a narrative so convoluted that even the most astute of scholars would find themselves lost amidst its labyrinthine machinations    in truth madame web doth serve as a veritable magnum opus of disappointment a cacophony of cinematic sins that assail the senses with all the subtlety of a rampaging herd of swine from its lackluster performances to its insipid dialogue every facet of this cinematic endeavor doth conspire to transform what could have been a masterpiece into naught but a hot pile of dog dudu alas if thou art tempted to partake in this illfated venture i implore thee to spare thyself the torment and seek solace in more worthy pursuits
Apr 6 2024,negative,this movie couldve been great the cannon had a great story but it was pathetically executed here another sony ruined spiderman story
Apr 6 2024,negative,madame web movie is so bad i aint like so far why didnt have spiderman on it
Apr 4 2024,negative,weak marvel comic book character who has never been popular enough to score her own comic book inexplicably is the leading character in this new superhero epic  which explains why this is the years biggest bomb you know the superhero genre is getting played out when they make a movie about a character who is simply a lady psychicnot exactly a stunning new concept brimming with exciting story ideasi mean we can just watch miss cleo for this kind of stuff or thats so raven  theyre actually much more exciting than this drivel    overall not recommended 
Apr 4 2024,neutral,its not that bad its just another meh origin story film it has some cool special effects the beautiful face of dakota and kind of a backstory for uncle ben so yeah dont take it too serious maybe some day we will have all these characters in a movie or not who cares
Apr 3 2024,negative,i went to see this movie earlier today i had hopes for this movie even after seeing the bad reviews however the acting was terrible the plot was weird and just overall a bore this movie is 100 a flop i would not recommend watching unless you like these kinds of movies the trailer was also terrible basically being a summary more than a trailer i should have listened to other reviews that told me it was bad before i watched it im not usually skeptical of movies and can sit through most movies that flopped but this movie was the last straw for me
Apr 3 2024,neutral,haha i did kind of like this movie but also yet this movie is amazingly horrible and at first when i first saw the trailer its kind of like final destination my favorite movie franchise this was kind of like that instead it was marvel made by sony the ones that also made morbius overall the concept of this is cool and its like the marvel comics but it just wasnt good and sydney sweeney is just to good of an actor to be in this like it literally got a 12 percent and is rotten like have you seen sydney on euphoria
Apr 3 2024,positive,i didnt expect this movie to be so good the story line is awesome had me in tears some parts had me excited some sorts had me routing for them as well im the beginning of the movie i was all for him defending himself against the girls but then when it started getting more into the video and i seen he was evil i wanted the girls to win i loved the movie a lot even my guy friend thinks it was a 10
Apr 3 2024,negative,i think this is the worst cinecomic in history during the duration of the entire film nothing happens with scenes where the camera moves randomly making you feel bad all the characters are flat without indepth analysis the film does not give explanations of any kind about what is happening in addition the film has a very badly done cgi i think its even worse than the morbius movie which at least in that movie had scenes that made you laugh and that became memes
Apr 3 2024,positive,loved this as someone unfamiliar with the comic i found the movie very entertaining would love to see what happens after this
Apr 3 2024,positive,82 didnt hate it i heard the worse things but for me yes some parts of the cgi was ok but i liked the lead in the movie i wish there were spiderman easter eggs its very frustrating that there isnt and the villain is stupid he gets hit by everything which has me laughing my asf in the theater i just wish sony cared about the source material bc ik they could be better and the movie should of put her in her suit definitely a complaint i had the whole movie i enjoyed the lead and the future past thing they did
Apr 2 2024,positive,when it comes to madame web ive noticed theres been a bit of a stir but honestly im a bit puzzled by all the fuss it seems like some folks went in expecting the usual marvel roller coaster but heres the thingim all for mixing it up why settle for the same old plots when we can explore something new right    personally i found madame web to be a breath of fresh air sure it had a few moments where things felt a bit offbeat but doesnt every movie these little quirks didnt spoil my fun if anything they added a unique flavor to the whole experience    the movie really shines by stepping off the beaten path and giving us something different from the marvel universe and lets be real in a world teeming with superhero tales bringing something new to the table isnt just niceits necessary    all in all madame web was a pretty enjoyable ride for me its a reminder that theres room in the superhero genre for all kinds of stories and im here for it the movie might not hit the mark for everyone but its definitely a bold step in a refreshing direction
Apr 2 2024,negative,awful just awful  terrible directing even worse writing and mediocre acting and visual effects make this film one of the worst ive ever seen
Apr 2 2024,negative,no hate towards any of the actors btw   between the dry plot  the nonsensical scenes and yall to drag my girl sydney sweeney into this after she just got a good rep from anyone but you  its giving wattpad vibes the director definitely played the game life is strange ifykyk
Apr 2 2024,negative,absolutely awful movie again making another female flop of a super hero movie marvel is going down the drain
Apr 2 2024,negative,everything about this movie seemed so lazy and low budget it made me want to shove scissors in my eyes hot garbage
Apr 1 2024,positive,since i went in without knowing anything about madame web the movie was ok however there were a lot of motions within the movie that had no depth like the teen girls in the movie felt like npcs nonplayable characters that have 23 lines that fit their age group no depths in their characters at all we had moments of their lives within the movie but they were the meat of the plot i wish they gave us more made us feel for why they had to run more desperate death in this movie had been taken lightly because i thought cassie could reverse it however thats not how her powers work and it confirms that shes not omnipotent
Apr 1 2024,positive,literally dont understand the bad reviews for this online reviews are becoming ridiculous its a good movie enjoyable
Apr 1 2024,negative,dont waste youre money
Apr 1 2024,positive,i watched this with my girls and they loved it   cant wait for the 2nd if there is one 
Apr 1 2024,positive,1010 i made an account just to counter the bad reviews because i actually enjoyed it for some off reason i related to the main character  it was tripping my whole family out lol
Apr 1 2024,positive,this movie was an ok movie if you like the movie next starring nicolas cage that came out in 2007 youd like this movie her powers work the same as his just filmed better they using shoving in are face that this was a prequel to by making everybody say ben alot and at the end madame web basically confirmed the baby was peter i get it thats ben lets move on
Apr 1 2024,negative,absolutely cringe   the acting the storyline all of it  complete garbage the last two minutes of the film show the future in that this movie is really just a stepping stone for the next movie which features three spidergirls and seems just as cringe  if you want to put this movie on for background noise go for it but if you actually want to spend your time watching a good movie then hard pass
Apr 1 2024,negative,havent watched the movie and never intend to but i had to comment on the reviews  you can absolutely tell that sony has been salting the reviews with 5 star reviews  short sentences followed by i dont understand why it was rated so low   you see this comment again and again and again gee maybe read the reviews and youll realize why sony
Apr 1 2024,negative,cant describe how shitty it was every mili second of this movie was a waste the only thing i was hyped with is the peter birth at the end in post credits also turned out to be built up from nothing and was just made to give a reason to watch the movie sucks i would watch 10hs of pure cringe rather then ever seeing that movie again
Mar 31 2024,negative,meant for ladies that are afraid of pop culture
Mar 31 2024,negative,this movie should be culled it was designed for people with 7 braincells i have never seen such a waste of money in my life if they took the money they used to make this movie had gone to an open area put it all in a big pile and set it on fire we would have gotten more joy and comfort from the heat it produced than we had from watching this pile of rubbish
Mar 31 2024,positive,i really liked the movie and would love another one
Mar 31 2024,negative,brother ughh whats that
Mar 30 2024,positive,this movie is the greatest movie ever and dropped one of the hardest oneliners the girls were never your future i was girl power
Mar 30 2024,positive,i honestly loved this movie hidden references to other movies the actresses have been in i love superhero movies and to have one with female leads is honestly so refreshing hope they do a sequel
Mar 30 2024,positive,its not the best movie about superheroes but its not as bad as everyone claims it was fun to watch and thats the most important thing the actors extracted as much as they could from the script i personally dont read comics so i cant comment on how much the movie respects or doesnt respect that world but definitely neither the movie nor the actors deserve so much hate
Mar 30 2024,negative,i dont know why sony makes their own movies they are usually terrible and this one is no exception the leading female character was made to look so stupid she just couldnt figure anything out im done watching sony movies
Mar 30 2024,negative,the actors are not bad but directing and editing is
Mar 30 2024,negative,this type of movie is not well suited for dakota johnson as well not even good chemistry for the circle of this girlhood which was obviously ridiculous all i see is a timid superhero and a bunch of diabolical trio teens in a disturbing dream which doesnt make sense at all
Mar 30 2024,neutral,i felt like this movie couldve done better if maybe something actually happened
Mar 30 2024,positive,it was a different and refreshing story and it had a thrillinghorror vibe to it not perfect but entertaining and could def use this story line in the future
Mar 29 2024,negative,worst film ive seen in a while this movie is a huge insult to the marvel films and fans dont go waisting your time on this failure of a film the acting in this movie is horrific and nothing even happens the medical actions are horrific and painfully inacurate if you want to cringe out of your own body feel free to watch this monstrosity
Mar 29 2024,negative,this movie was so bad i really regretted watching it the story is so bad and illogical villain and the heroines are so cheesy and the acting is so bad i cannot believe that they spend so much money on this movie the whole movie is just horrible
Mar 29 2024,negative,i hated the film but the acting was what made me lividmaybe im just too used to watching good actors like morgan freeman or leonardo dicaprio but throughout the film she was so unserious oh she almost drowned no emotion the annoying idgaf attitude didnt really help either along with the forced raspy voice maybe thats just me hating
Mar 29 2024,negative,another bomb by marvel why are they putting people in charge of writing or directing a comic book movie  that have never read a comic book oh yeah wait dei nonsense is why very uneventful superhero movie great job marvel keep trashing the brand
Mar 29 2024,positive,i really enjoyed this movie  hoping the negative reviews dont kill any sequels
Mar 29 2024,positive,its good more than okay less action but it as pleasant to watch
Mar 29 2024,negative,the last time i felt this amount of fascination and disgust was watching and smelling an art exhibit of a robot taking a human sht    a truly monumental car crash of hilariously bad dialogue delivered by the most low effort performances headache inducing camera work and a villain whos accent and acting was so bad they couldnt have a single scene of him talking into the camera    no amount of pepsi money could have saved this aweinducing shtfest
Mar 29 2024,negative,i watched 1 quarter of the movie and it sucked huge waste of my time already and i already knew what would happen at the end so predictable
Mar 29 2024,positive,if you dont like it its understandable but it has good lighting compared to other movies they have to improve their stories
Mar 29 2024,positive,i love marvel movies and this movie was great the plot was great it could have used more action giving the girls their powers in the movie would have been a good way to do that but all in all a good plot and movie
Mar 29 2024,negative,what kind of writing is this
Mar 29 2024,positive,maybe its a fun film for those who enjoy premonition the film definitely doesnt appear to be a superhero film and i like that
Mar 28 2024,positive,i didnt mind it is it the greatest no could theyre of been actual spidy type action yes     however it was easy to watch and follow little nods to the comics where needed worth a watch just enjoy it for what it is a filler film
Mar 28 2024,negative,personally i think the movie is cringe and only maybe worth watching if you have literally nothing else to watch but want to pass some time
Mar 28 2024,negative,ok so the movie starts okayish few interesting things knew the mother would die though ok we meet the mc she is coolish bit awkward and stuff but as the movie goes on it looses all the magic very fast with very generic lines and uninteresting dialog or just weird scenes that are not funny if it should have been the mc and the main villain start to seem very flat and the part where the girls just randomly dance on a table for the guys like i understand they are all abandoned and have issues but nerd girl played 2 different roles it did not seem like a girl having fun it felt like 2 different people playing 2 different roles most of the special effect are decent atleast some arent some scenes really dont add up like the police hunting the girls and stuff and why cant anyone else see the spider villain i might just have missed that part also how did the mc make the truck fly the maybe uncle ben reference was cool tho overall this couldve had allll the potential in the world but they missed the mark by a mile with wrong casting lacking better special effects directing choices and the script
Mar 28 2024,negative,backgroundstoryissobad very bad movie i didnt get it at all
Mar 28 2024,negative,it is just so hard to believe this is a marvel movie it seems like it is some attempt to make a movie but in the end nothing makes sense and everything is wrong the acting the storyline the dialogs the action i can imagine if i would try and attempt to make a superhero movie this is what it would look like and maybe i would do it better waste of time and you end up with a really bad taste in your mouth mind and heart no
Mar 28 2024,negative,bland corporatebaseline snoozefest lackluster dialog and a choppy plot make this film hard to enjoy
Mar 28 2024,positive,the movie has a very good story line the acting is solid not award winning that brings tears to the eyes would i be disappointed if i went to watch it on the big screen not at all would i watch a part two absolutely    great watch and would watch it again
Mar 27 2024,neutral,it has some fun fight scenes and the cinematography was nice but this potentially good film is really held back by a bland script with choppy dialogue and tons of plot holes
Mar 27 2024,negative,3 rules     1 we dont talk about fight club  2 we dont talk about bruno  3 we dont talk about this movie
Mar 27 2024,positive,this film feels like a lukewarm embrace between sony and marvel lacking the passion and depth one would hope for while some dialogues fall flat and certain acting moments could use improvement the overall visual presentation is adequate with decent visual effects the setting provides a gritty backdrop for the cast which adds a layer of authenticity to the narrative however there are unnecessary scenes that disrupt the pacing and cohesion of the story despite its shortcomings i dont outright dislike the film but it fails to evoke any strong emotions or leave a lasting impression yes the dragons may come for me but honesty in critique is paramount    guillermo alvarado  multimedia journalist  creativestudiogroupcom
Mar 27 2024,negative,absolutely garbage horrible acting and a horrible story madame web shouldve never got a stand alone movie she shouldve had an end credit scene at the end of a spiderman movie or a small part in a spiderman movie but never her own movie sony definitely screwed up on this one they should just give the rights back to marvel cause they dont know what theyre doing
Mar 27 2024,positive,i love it and want to see the future of these spider girls too long life to madame web
Mar 27 2024,negative,worst marvel installment since the 70s
Mar 27 2024,positive,really good i liked the movie
Mar 26 2024,negative,a great film to fall asleep to   did we need the table dance scene
Mar 26 2024,positive,the everything that happened in the movie was happened in 2003 from bush spying on americans to dancing on top of the table
Mar 26 2024,negative,save your money this is one of the worst movies i have ever seen  watch paint dry and you will feel that your time was better spent
Mar 26 2024,positive,this movie has a lot of mixed reviews but i actually really liked it i tend to like movies alot of people dont like but this was interesting and dakota was really good in my opinion
Mar 26 2024,neutral,i was expecting awful but i didnt mind it   but i am truly not a superhero film fan so take that as you will
Mar 25 2024,negative,this movie is like an early 2000s cw movie so basic and plain im shocked that marvel helped make this they really out here giving movies to shitty characters
Mar 25 2024,negative,these femaleforward marvel movies are garbage this and the marvels are just as horrible as catwoman
Mar 25 2024,positive,had some great scenes decent story overall its a cute movie
Mar 25 2024,positive,i think it was a good movie and makes sense its nice to see their life before its all superhero stuff
Mar 25 2024,positive,im gonna go off and be in the minority here and im not afraid to admit it i had a blast with madameweb    is it perfect no its not but i truly enjoyed myself throughout the whole thing there are a few spiderman references scattered throughout and i thought they were cool sydney sweeney isabela merced and celeste oconnor on screen together worked dakota johnson is likable adam scott was awesome as uncle ben and the villain wasnt great but he was okay     now i can definitely understand especially if youre a huge marvel fan like me if you didnt like it like i said its not perfect but i had fun with it personally    45
Mar 25 2024,negative,you know your movie is bad when velocipastor scores better rating on just about every review site
Mar 25 2024,negative,incredible my madame has been webbed
Mar 24 2024,negative,it felt like a teenager wrote a script turned in the first draft to sony and they let another teenager make it into a movie madame web is a film so bad im baffled it saw the light of day
Mar 24 2024,negative,i really didnt want this to be bad  but its worse than bad
Mar 24 2024,negative,maybe the madame was the web we made along the way cus i wanna flipping kill me
Mar 24 2024,negative,just stop with these girl boss movies already
Mar 24 2024,positive,had very low expectations because of the bad reviews but in the end it was entertaining enough to get an average score
Mar 24 2024,positive,typical and repetitive idea but still a fun movie for light viewing and entertainment
Mar 24 2024,positive,not a bad watch this movie has so much potential which wasnt fully tapped into
Mar 24 2024,negative,i liked the movie with its handful of timetravelish plot twists but the ending line about the future sth like you know the best thing about the future it hasnt happened yet seemed just so unnatural and forced to knock a few stars off if the whole movie was a spoof maybe it would fit in there maybe i missed the whole movie actually being a spoof idk solid 4 instead of 6
Mar 24 2024,positive,starts decent but weak storytelling and end with bollywood style logics hows can firewalls speared through a concrete wall
Mar 24 2024,negative,disjoined who were the side characters no development dialogue was lacking totally a waste of studio money
