Dates,Scores,Reviews
Apr 14 2024,negative,the thing thats definitely true of madame web is that it was absolutely butchered just hacked apart by a screaming maniac with a cleaver in postproduction
Apr 8 2024,negative, sonys spiderman universe a webslinging franchise already tainted by misfires has hopefully hit rock bottom with its timejumping thriller madame web you can see the yucky studio fingerprints all over this overproduced origin story from choppyashell pacing to the insistence on hitting certain formulaic mcutype beats initial trailers tease eerie premonition horrors à la final destination that are barely in the final product which has more in common with the first dr strange not even the spooky multiverse of madness sequel if madame web were final destination superhero edition this would probably be a much more enthusiastic review  but its not madame web is instead a flatashell found family remix and awful bad superhero introduction thatll test your ssu patience in record time dakota johnson projects ambivalence and boredom as cassandra cassie webb who we meet as an emotionless thirtysomething loner working as a paramedic in new york city we already know shes the daughter of deceased researcher constance webb kerry bishé betrayed by her expedition partner in perus amazonian rainforest while researching spiders cassie isnt aware of the powers bestowed upon her during birth by a lifesaving arachnid bite nor that bruce wayne wannabe ezekiel sims tahar rahim left her mother with a fatal gunshot wound cassie just wants to avoid death and watch american idol like the average american during the early 2000s not visualize the brutal killing of innocent girls who she then has to babysit thanks to the emergence of time web abilities that have her mind in a paradoxical blender at its core madame web is a comic book adaptation that fights against being a superhero movie its written into cassies personality  she doesnt ask for the burden of playing foster parent to her eventual minions cassie is a complicated protagonist written to conceal any excitement or ownership of her superpowers which lands like a thud throughout johnsons performance shes as cardboardflavored as the refrigerator drawing cassie heartlessly declines from a grateful child its hard to blame an actress when the material is so humdrum and uninspired but still what johnson translates to the screen is like administered anesthesia cassie webb is forgettably played in monotone whether fighting evil spiderman learning las arañas lore or floating through timewebspace like johnson is trying to locate a reality before she signed on to madame web enter cassies someday spiderwomen trio  who we only see as spiderwomen for like a collective two minutes if even sydney sweeney as goodgirlinglasses julia cornwall isabela merced as the fiery independent anya corazon and celeste oconnor as richkid rebel mattie franklin they are your prototype found family who dance on new jersey diner tables to impress boys and make illadvised choices because if not ezekiel cant locate his future murderers its a numbing cycle of cassie giving clear instructions for survival mattie disregarding the rules and ezekiel finding their location that falls into the same recycled staleness cemented by cassies anchoring presence or lack thereof at least johnsons young castmates are allowed a tad more personality which the film desperately needs oconnors brattiness as a skateboarding spiderpunk in training or merceds stern insistence to obey orders allows for real character development  sweeny less so more of an american girl doll for oconnors troublemaker to corrupt the films avalanche of problems ripples from here heralded morbius writers matt sazama and burk sharpless claimed scripting duties after kerem sanga took a crack claire parker also notches a screenplay credit as does director s j clarkson so we can assume revision rounds took place  to highlight how many hands were in the cookie jar four talents trying to homogenize their styles into one voice youre right to assume the blending process is a failure madame web feels like a frankenstein of spare spiderparts dissected and rebuilt by the studio machine no role represents this sentiment more than antagonist ezekiel sims who might be one of the worst supervillains in any comic book adaptation ssu mcu dcu the lot tahar rahims performance is a blank stare and inconsistent accents a millionaire  billionaire  who goes from shooting constance webb point blank and stealing her magic spider for personal use to living in new york citys finest penthouse thirty years later complete with his own nsastolen surveillance technology and tech wiz sidekick amaria zosia mamet deserves better sims isnt the lead or focus of madame web thats cassie webb but the screenplay so ineptly builds his nonexistent mythology no further than bad guy in dark spiderman suit not to mention his adr work in particular is egregiously noticeable and quite horrendous for a hollywood film with substantial budgeting and resources sims is a mad libs evildoer with an important arc about not obsessing over your future lest you doom your present but producers clearly dont care about the final cut version of sims which makes it hard for us to care in return madame web plays as insincere forces characters through obvious motions and commits the ultimate sin for any superhero origin  is always looking toward future installments i havent mentioned director s j clarkson all that much because the film lacks identity and i hope thats a byproduct of wretched studio tampering sonys inability to reconcile with the ssus past and not let the future weigh down its present anxieties is in parallel with cassies arc  and they cant even tell that substory right madame web is essentially promotional material for identities and superheroes you were sold this time around with no real guarantee that any of these spiderwomen will appear down the road given the current ssus disastrous status
Apr 4 2024,negative, late last year may december sparked a spirited online debate about the definition of stylistic camp while susan sontag purists were quick to insist that the outrageous tone of the film is to be strictly defined as comedy many others were happy to shrug off this traditional definition and evolve the scope of camp into something weaponizable and then we have madame web  one of the worst films in recent memory which doesnt spin its camp with any sense of understanding or autonomy its an outrageous sometimes entertaining mess that will hopefully supply audiences with enough disastrous creative choices and laughable nonsense to make its twohour runtime somewhat ironically enjoyable in madame web a young new york city paramedic named cassandra web played by a halfawake dakota johnson has her dormant clairvoyant and precognitive mutant abilities ignited after an almostfatal accident now able to see glimpses into the near future cassandra discovers that she can make drastic changes to help and ultimately save those around her this gift was passed on to her from her longdead mother who had been studying spiders in the amazon right before she died when another mutant tahar rahim hunts down three seemingly average teenage girls on the subway cassandra uses her newfound abilities to save their lives and the four young women find themselves on the run from a deadly ruthless foe  the story is impossibly bloated with a meaningless plot  a fate foreshadowed by the amazon spider dialogue made viral by the films outrageous campy trailer none of it makes sense and the characters often look at each other like they are unsure of whose line is coming next or which pingpong ball they need to be running from its all just one long and ongoing disaster thats occasionally fun to watch but has too much filler to avoid a painfully boring third act  part of what confused me most about this confounding cinematic experience was the quality of its performances dakota johnson has been on a tear lately with her press tour for the film from eating up journalists who clumsily pestered her about the memeification of the films trailer to a comedic earthquake survival johnson is always a fun personality to witness in realtime her nonchalant eccentricity even translates onto the screen here  but instead of laughing with the movie her performance seems to be constantly selfaware of the mess surrounding her i cant speak to her internal monologue but i couldnt help but feel like johnson as cassie was in as much awe of the films spectacular ongoing failure as the rest of us then we have the unfortunate misuse of the films young leads rising superstars sydney sweeney celeste oconnor and isabela merced play three teenage girls who will one day become mutant heroes but currently require protection from cassandra with these three performances the film goes into truly unforgivable territory we get short visions of what their future superhero alteregos look like and its fairly glorious but these are clearly promises of a cinematic tomorrow we will undoubtedly never see as the quality of madame web is so wretched that any continuation feels all but dead on arrival the wasted potential of a film led by these spiderwomen instead of a cardboard cutout of madame web was a grotesque tease  while there are more than a handful of moments so terrible that they were an ironic joy to witness the film is so long and confusing that its ironic value is slaughtered by its third act campy yes  but also terrible
Mar 21 2024,negative,madame web is a frustrating example of a film that could work if they took better care of the story and didnt try and judo it straight into franchise fuel
Mar 18 2024,negative, the gist the peruvian amazon 1973 madame webs mom kerry bishe finally finally finds the spider shes been searching for  a spider that has some truly amazing peptides the type of venomderived peptides that the script tells us can supercharge cellular structure lets hear it for peptides that supercharge cellular structure hooray for the peptides shes also pregnant but that doesnt stop ezekiel sims tahar rahim from shooting her and stealing the spider and leaving her for dead so some peruvian spiderpeople known as las aranas can rescue her and take her to a magic cave for a magic bath so she can be bitten by one of the special spiders in the hopes that those peptides can save her it doesnt work and she dies but the baby doesnt dont you hate it when that happens now we jump to 2003 where we meet that baby of destiny all growed up cassandra webb johnson surely voted best bangs on an nyc emt several years running shes a lonely sort with a cat and to show us that shes a lonely sort she talks to the cat a lot and sadly thumbs through old photos of her mom her best budslashambulance partner is a guy named  hold onto yer hats true believers  ben parker adam scott which has implications my friends major effing implications one day as she attends  put your hats back on so you can hold onto them again  mary parkers emma roberts baby shower  who could possibly be in her tumtum  and drinks an icecold can of pepsicola she and ben are summoned to a rescue scene that goes sideways and nearly ends her while shes dead for a few minutes she finds herself in an ugly and shitty special effect and after ben resuscitates her she immediately says i just wanna go home and watch idol because its 2003 yo  the ugly shitty special effect wasnt nothing of course cassie starts seeing glimpses into the future via confusing flashforwards this doesnt happen all the time only when very important things are going to happen so yes that means it happens precisely when the plot needs it at this point the plot reintroduces us to ezekiel as he beds a pretty lady has a nightmare and engages in the worst pillow talk ever its not a dream im gonna be murdered one day he says his visions are clear three spiderwomen will take him out so he goes about trying to find those women and take them out first using computer composites and advanced surveillance tech thats so complex and impossible the movie doesnt explain it because itd be way too difficult to do so convincingly so we just move on who are those spiderwomen you ask well theyre not spiderwomen yet just average teenagers julia cornwall sydney sweeney anya corazon isabela merced and mattie franklin celeste oconnor one day all three of these young women who dont know each other end up on the same train as cassie who envisumalizes whats about to happen somehow convinces them that her envisumalization isnt the ravings of a lunatic and saves them from an attack by ezekiel who wears a black spidermannish costume destiny it seems is really stinking afoot here and destiny will lead our heroines to a thoroughly inscrutable finish at an itchy and scratchy fireworks factory topped by a giant pepsicola sign as it damn well should since being a shameless advertisement is the only thing this movie successfully achieves  what movies will it remind you of deep breath youve got green lantern elektra fantastic four 2015 fantastic four 2005 suicide squad 2016 time hasnt vindicated any of these losers time to add a new one to this hallofshame list  performance worth watching johnsons really itsaliving her way through this thing shes been through it before in the 50 shadeses so by now she should be a pro at gutting it out as an unapologetic dk fanboy i just want to send her flowers and a nice card after this one i cant help but contemplate critic gene siskels famous criteria for judging a film is the movie more interesting than the same actors having lunch in this case id specifically amend that to put johnson and sweeney across from each other in a cozy diner booth having a sadeyes staring contest over a slice of pie  first one to cry loses that would be way more watchable than madame web  memorable dialogue my fave doozy in a script full of em theres not enough frictional force in the bare human foot to overcome gravity and keep him stuck to the wall much less the ceiling says anya corazon like anyone would breathlessly blurt as theyre trying to escape being killed by a spidermadman our take a few sudden bursts of unintentional hilarity dont save madame web from being unwatchable  unwatchable like a fox the screenplay is a series of exponentially escalating incomprehensible storytelling decisions resulting in a bonafide nonsense fugue theres a scene in which cassie tells her teenage proteges dont do anything dumb immediately followed by a reiteration seriously dont do dumb things has she read this screenplay it consists entirely of dumb things they have no choice one wonders if johnson read it either before hopefully being paid very well for this note she surely did read it in a recent interview she essentially said this was one of those movies that looked like one thing when she signed on and became something entirely different after she knew it was a disaster she knew the discourse was coming heres another fistful of daisies dakota our call i wanted to like this movie scratch that  i wanted to like disliking this movie just back the ftd delivery truck into dakotas driveway and skip it
Mar 18 2024,neutral,theres something almost cosmically funny about the fact that every illconceived boardroom mandate and desperate spidermilking mistake backfires in the most spectacular way imaginable 
Mar 15 2024,negative, early on in madame web  the latest superhero film to be based on a spidermanadjacent comic series  dakota johnsons cassie web rejects a thankyou gift from the child of a woman whose life she just saved from this you can probably surmise that firstly shes awkward around kids and secondly she will eventually end up having to protect some kids like many heavily telegraphed moments in this film you wont need psychic powers to figure that one out  even if cassie herself does in fact shortly develop such powers but if you did have psychic powers you might have wanted to use them to gently warn the cast away from this film which manages to be both overwritten and underwritten at the same time most of the actors here are wonderfully talented but theres only so much they can do with the material a prophets tahar rahim so often a blistering presence is left to thankless grumpy villain duties here adam scott fresh off his unimprovable turn in severance takes on a curious incarnation of spideys uncle ben sydney sweeney isabela merced and celeste oconnor as spiderwomen have very little to do here there is perhaps a bit less digital mulch sloshing around in madame web than in some recent superhero films this is the result of a smaller and more selfcontained story involving the kind of nifty timeloop dilemmas familiar from smallscreen scifi but where the dialogue needed wit and spark it has the kind of willthisdo oneliners hope the spiders were worth it mom and tired backstories you get when the characters are too flat to flesh out with rounded personalities some unconvincing adr smacks of a lastminute attempt to fix things in the edit like the last remnants of a lost civilisation poking through the wreckage of a postapocalyptic wasteland hints of classical storytelling survive the fateful legacy of a birthright inherited from a dead parent gives cassies arc a freudian motif while the villain attempting to wipe out the next generation due to a premonition that they will cause his own downfall is a more interesting and personal motivation  at least on the page  than another bad guy wanting to destroy the universe and instead of chekhovs gun we get a new twist on an old favourite in the form of chekhovs cpr its not enough to offset the creeping sense that when it comes to the franchise sometimes known as the sony pictures universe of marvel characters spumc the word marvel is synonymous less with a sense of awe than with a shrug
Mar 15 2024,negative, were starting off 2024 really weak or really strong depending on your perspective this week its madame web and all the lunacy it provided lets talk about why it flopped who is to blame and pepsi of course
Mar 11 2024,negative, geraldine viswanathan as marian and margaret qualley as jamie in a scene from driveaway dolls photo credit wilson webb  working title  focus features as film bros and joe moviegoer alike await the release of dune part two with bated breath they have largely given the cold shoulder to a spattering of other movies trying in vain to find audiences in the first two months of 2024 they run the gamut from acclaimed oscar rejects ava duvernays gripping origin to costly debacles plagued by bad press and a cloud of letsnotevenhatewatch contempt more on that below the jason stathamfronted thriller the beekeeper better than it looks and bob marley one love a new biopic about the reggae icon unseen by me as of this writing stand out as rare profitable exceptions in what is otherwise a concerning nomansland two february releases tell genredriven tales that put women in the drivers seat of narratives all too often spearheaded by male protagonists one is a buddy road movie with two lesbian friends seizing the spotlight the other is the latest attempt by sony to kickstart its own coterie of marvel  away from the greedy mouse an origin story with shades of bryan singers xmen movies did either of them deserve their grim box office fate lets find out driveaway dolls jamie and marian need a change so they hit the road naughty raunchy and kooky shenanigans ensue that in a nutshell sums up the story of two sapphic besties dealing with the violent patriarchy cops and criminals alike horny athletes an abrasive exgirlfriend and a crooked politician with a hilarious secret but it doesnt reflect the easygoing retro vibe that makes this liveaction cartoon go down like honey our protagonists living in philly circa 1999 are polar opposites that somehow complement each other jamie margaret qualley lets her libido make her decisions and her latest conquest is too much for her girlfriend sukie beanie feldstein a police officer with a chip on her shoulder to take straitlaced tightly wound marian blockers geraldine viswanathan is tired of her annoying straight male coworkers at her office job and dissatisfied with life in general so she decides to rent a car using a driveaway service in order to visit her aunt in tallahassee the freshly dumped jamie abruptly inserts herself into her solo trip cj wilson as flint colman domingo as the chief and joey slotnick as arliss in a scene from driveaway dolls photo credit wilson webb  working title  focus features away they go unaware that the rather inept owner of the rental service the ubiquitous bill camp has given them the boxy dodge aries meant for a couple of goons joey slotnick and cj wilson tasked with transporting a briefcase filled with unspecified contraband also to floridas capital its a case of mistaken identities that plays more like screwball comedy fodder than bloodsoaked mayhem through theres some of that too  jamie her confident swagger bolstered by a heavy texas drawl favors frequent detours to explore lesbian bar culture along the way against the wishes of marian whod much rather curl up with a henry james novel than socialize once they realize theyre carrying stolen goods the two team up to deal with their ballooning underworld dilemma as a suave gangster played by current oscar nominee colman domingo deals with the incompetence of his jawdroppingly stoopid henchmen driveaway dolls mixes two popular nineties subgenres that used to move bmovies off video store shelves the downanddirty crime thriller and the exuberant queer indie its in this dual playpen that writerdirector ethan coen and coscreenwriter tricia cooke his partner in art and in life jump in with gusto wielding a budget and even a handful of alisters that the movies that inspired them could only dream of cooke who identifies as queer infuses her more grounded and yes very queer sensibility into coens goofy occasionally gruesome sense of humor like the mismatched duo piloting this wild ride the blend should not work yet somehow does the results suggest what the wachowskis bound would have been like as a farce geraldine viswanathan as marian and margaret qualley as jamie in a scene from driveaway dolls photo credit wilson webb  working title  focus features coen directing his first feature without filmmaking partner and sibling joel is not afraid to dip his toe in overthetop gore that recalls sam raimi in the eighties and to a lesser extent the coens own debut feature blood simple but theres a distinct laidback appeal here its in the films playful gleefully racy sex scenes with undeniable shades of russ meyer its in the lavalamp imagery of the segueways between some scenes and its in the twinkle in the eye of a front desk employee at a tallahassee hotel who appears to have walked in from an early alexander payne movie they indicate this isnt your typical bmovie homage amidst the broad oddcouple hijinks a tender depiction of jamie and marians friendship blooms when it comes to the young womens personal lives they begin to stealthily influence each others behavior navigating their deepening bond with a nuance and sensitivity that anchors the clever genrehopping and even injects a political subtext without interrupting the bawdy fun the fact that coen and cooke milk considerable mileage from linda ronstadts blue bayou cover should tell you all you need to know well that and the films original title which had another word for dolls thats either pejorative or empowering depending on who you ask yes its exactly the d word youre thinking of and no the contents of that mysterious briefcase are decidedly not what youre thinking of driveaway dolls wallows in the muck yet always feels wholesome despite its hard r trappings matt damon and pedro pascal pop in and while its fun to see the stars in lighthearted cameos the movie doesnt need their wattage coen and cooke elevate the scuzzy appeal of their disreputable building blocks while still paying tribute to grindhouse fare of past generations clocking in at just 84 minutes theyve made a romp thats tough on the outside but squishy in the middle this is primo trash and proud of it not only great fun but a great hangout flick and a winning buddy picture it promises a rowdy time and delivers the goods before it slams on the brakes madame web do you know what movie was in dire need of some of driveaway dolls lively energy and generosity of spirit this somnanbulant excuse for a comic book adventure should i rip the bandaid im going to rip off the bandaid the story of how a sullen disenchanted new york city paramedic discovers she can foresee future events is a washout a nonstarter aggressively boring when its not being conspicuously awful the social media dust storm that this misbegotten dumpster fire kicked up has begun to settle but i fear its ripple effects will be felt for a long time to come at the center of this funnel cloud of good intentions and poor execution is a phonedin performance by dakota johnson playing the aforementioned first responder cassandra webb see studying greek mythology was good for something after all cassies mother was researching spiders in the peruvian amazon before she was doublecrossed by her handsome powerhungry research partner ezekiel sims a prophets tahar rahim picking up a paycheck circa 1973 mommie dearest kicks the bucket moments after childbirth in a scene that feels ripped off from avatar flash forward 30 years and cassie has a neardeath experience of her own while responding to a crash she gradually realizes that she can see things before they happen a neat concept and if someone with the panache of say sam raimi was the filmmaker calling the shots wed have a real humdinger that would keep audiences on their toes sadly we have to settle for sj clarkson in the directors chair and the tv vet gives cassies visions the most earthbound treatment imaginable leeching the thrill of disorientation that would have given these scenes their kick isabela merced as anya corazon dakota johnson as cassandra webb sydney sweeney as julia cornwall and celeste oconnor as mattie franklin in a scene from madame web photo courtesy of marvel  sony pictures cassie discovers shes fated to cross paths with and protect three teenage girls shy and awkward julia cornwall the radiant sydney sweeney the standoffish anya corazon isabela merced and skateboarding trust fund baby mattie franklin celeste oconnor protect from who you ask you already know the answer ezekiel older but still rather hunky and yet the sex appeal still yields a charisma void hes convinced the indigenous people of the amazon cursed him with knowledge of how hes going to die at the hands of this teen trio with abandonment issues at some unspecified future date it goes without saying that sweeney merced and oconnor are all in their twenties and as convincing as youd expect playing teens which is not very but revealing this information early in the game saps the life force out of madame web the rest of the movie unfolds as one narrow escape after another with perfunctory action scenes that fail to quicken the pulse schintzy cgi and automated dialogue replacement or adr so poorly synchronized youd swear these actors have all been dubbed by other people only composer johan söderqvist appears to have understood the assignment using herrmannesque strings to generate an aura of a falsely accused person on the run from baddies and the law think north by northwest but with bad visual effects and dialogue in the place of actual tension if the storyline gives you déjà vu thats because madame web was released a few months after the marvels which brings together three superheroes from the marvel cinematic universe captain marvel brie larson ms marvel iman vellani and monica rambeau teyonah parris web actually plays like a morose mirror image of the marvels but even though both productions were plagued with reported behindthescenes drama marvels director nia dacosta imbued her adventure with fleetfooted pacing a colorful palette and a refreshingly featherweight tone by contrast clarkson has crafted the movie that the marvels and while were at it the underappreciated wonder woman 1984 were accused of being celeste oconnor as mattie franklin dakota johnson as cassandra webb isabela merced as anya corazon and sydney sweeney as julia cornwall in a scene from madame web photo courtesy of marvel  sony pictures madame web lumbers from setpiece to setpiece with a perpetually irritated johnson acting as shed rather be anywhere but here shes an undefatigable guardian who approaches deathdefying situations with the energy of a janitor tasked with cleaning up a big mess really another spill to mop up in the face of danger you get the feeling shes about to ask for the manager but keeps getting interrupted this underachiever should have been titled super karen johnson the daughter of melanie griffith and don johnson has gotten a bad rap due to the fifty shades trilogy i was underwhelmed by the first one but rather enjoyed parts 2 and 3 shhh dont tell anyone it needs to be pointed out that shes been good in a number of films including luca guadagninos a bigger splash and suspiria as well as the indie sleeper the peanut butter falcon here alas shes checked out from the getgo and even though clarkson keeps madame web just under the twohour mark you feel like youve been robbed of more time than that much like its vexed vortex of a protagonist you come away feeling like youve had to pay to babysit a bunch of ungrateful and unruly brats this sorry spidey offshoot has already pegged as an expensive flop and you cant blame the mall crowds for staying away it drives you up the wall and not in a nifty gravitydefying way driveaway dolls and madame web are now playing in wide release across south florida including regal south beach amc aventura amc sunset place cmx brickell city centre and the silverspot cinema in downtown miami theater the actor nominated for a tony award for his portrayal as mrs doubtfire in the broadway musical comes to fort lauderdale in the national tour michelle f solomon has the review
Mar 8 2024,neutral,  the first act of driveaway dolls ethan coens prey2k lesbian screwball comedy is pure cringe its 1999 and two friends marian geraldine viswanathan and jamie margaret qualley are driving a rented sedan from philadelphia to tallahasseeand acting more like caricatures than characters marian is a bookish romantic jamie just wants to get laid dude the film is so dependent on stock characterizations that ethan initially seems to be flailing without his filmmaker brother joel like joels gorgeously austere the tragedy of macbeth driveaway dolls is a coen brother movie singular yet when marian and jamie get ensnared in a scheme involving a seething senator matt damon and a murdered dildo collector pedro pascal driveaway dolls emerges as a cleverly comedic and romantic provocation despite being set after bill clinton signed the defense of marriage act the film imagines the 90s as an age when bigoted politicians were more ridiculous than dangerous and even florida church ladies could be prevailed upon to support gay marriage kinky lovemaking abounds but the evolution of marian and jamies bondfrom friendship to far morecarries a whiff of jane austen with qualley playing a boisterous elizabeth bennet to viswanathans disdainful mr darcy is it any wonder that coen wrote this jubilant lark of a movie with his wife the film editor tricia cooke the couple that plays together stays together r bennett campbell ferguson bridgeport cedar hills century eastport city center clackamas division street evergreen parkway fox tower lake theater living room lloyd center mill plain movies on tv progress ridge vancouver mall  every dawn hirayama koji yakusho awakens without an alarm his neighbors sidewalk sweeping initiates the handsome 60yearolds daily consciousness and a routine begins mustache trim coveralls canned coffee cassette in the van stereo patti smith or lou reed as hirayama commutes into shibuya city to dutifully clean tokyos public toilets from what we can tellbecause hirayama says maybe five sentences in perfect days first halfthe dirty job is just a job to him the work remains in balance with hirayamas passion for music his voracious reading and his lunchtime nature photography its no mystery why directing legend wim wenders paris texas wings of desire would be interested in rendering such a life what 78yearold capitala artist wouldnt be this is idealistic workingclass poetry à la jim jarmuschs paterson about a man who accepts life as a series of days that can be pleasurable if porcelain scrubbing and creative ruminating are treated with equal care as the cannes jury decided when they gave him best actor in 2023 yakusho makes all this mundanity incredibly watchable the japanese stars shifting microexpressions reveal a character who can be bashful boyish or imposing when his constancy is interrupted by his coworker his niece or a fateful stranger we may wonder why hirayama chooses solitude but his ability to be present is as comforting as it is aspirational wenders taps into a precious cinematic paradox we viewers escape our lives to be mindful inside someone elses pg chance solempfeifer cinema 21  both lyrical and essayistic the latest film by ava duvernay is firstly a feat of adaptation here the selma director interprets the 2020 nonfiction bestseller caste the origins of our discontents which explores pancultural patterns of dehumanization throughout history yet origin also foregrounds the research and writing of that book by pulitzer prize winner isabel wilkerson aunjanue ellistaylor turning this story into the cultural study meets memoir it never was on the page its a bold choice with duvernay drenching the writers pursuit in historical flashbacks as wilkerson searches for the thesis of caste across germany india and the deep south where audra mcdonald playing interview subject miss hale delivers an astounding onescene performance with kris bowers orchestral score pulling the audience across borders and centuries ellistaylor embodies the quiet obsession of a writer who lives mostly in her head but is desperate to crack the code of mans inhumanity to man sociologists and historians could rightly argue that wilkersons premisethat racism is the result of deliberately constructed caste systems not inherent biasesis flawed because capitalism colonialism and genocide are expressed differently through american slavery the holocaust and the subjugation of indias dalits but that doesnt matter when origin is stretched to its full height akin to another rhetoric and editingcentric piece of creative nonfiction oliver stones jfk 1991 the ways in which theories hold water isnt origins reason for being what matters is the deluge of anecdotal and emotional truth pg13 chance solempfeifer living room  astoria becomes an extension of a young womans soul in sometimes i think about dying an exquisitely restrained drama from director rachel lambert rey skywalker herself daisy ridley plays fran a numb office worker who sits rigidly in her cubicle silently terrified of being forced to engage in pleasantries with eerie grace sometimes i think about dying peers into frans suicidal visionsshe imagines herself entombed in a tangle of driftwood on a desolate beachbut even as the film evokes the monotony of her depression it gleams in moments of connection an unexpected friendship with a hyperactive piemunching coworker dave merheje leads fran to a murder mystery party where she delights the guests by flamboyantly miming death by acid fran is never more alive than when she yanks death from the darkened crevices of her mind and plays it as farce an act that draws her more deeply into a city and its people sometimes i think about dying is unmistakably an astorian movieonly in a closeknit community could a character give directions to their home by saying its behind the purple housebut its emotional reach goes beyond the sweep of the columbia river which to fran seems both an empty void and an inviting canvas sometimes she thinks about living pg13 bennett campbell ferguson fox tower  fans of macabre teen flicks like edward scissorhands and warm bodies should find enjoyment in lisa frankenstein the latest quirky project written by oscarwinner diablo cody juno kathryn newton plays lisa swallows a misfit growing up in 1989 who feels unmoored since the death of her motherand finds her life taking a peculiar turn when a victorianera corpse cole sprouse rises from the dead and falls in love with her loaded with codys usual acidic wit and oddball detours lisa frankenstein goes heavy on neon lighting voluminous hair and malfunctioning tanning beds director zelda williams the daughter of robin williams channels early tim burton with her juxtaposition of gothic and suburban aesthetics which gives the picture plenty of knowing style some of her and codys choices fall flat the film has at least two endings too many but newton and sprouse are always there to provide spark reveling in their excellent chemistry as they tread through the weirdness lisa frankenstein wont hit for all audiences but it is easy to foresee it gaining a cult following like the 2009 codyscripted feminist horror flick jennifers body pg13 daniel rester bridgeport cedar hills city center clackamas eastport evergreen parkway fox tower living room lloyd center oak grove pioneer place studio one  sometimes rita marley lashawna lynch says to her husband bob kingsley benadir the messenger must become the message her affirmation illuminates the thesis of bob marley one love that the reggae superstar must learn to accept the consequences and dangers that come with being an activist and not let them impede his mission its a noble sentiment that makes for a compelling arc but it is undercut by the screenplays version of marley and his beliefs which are sanitized to the point of sterility the storywhich kicks off with the attempted assassination of marley in 1976 prompting an exile to london where he recovers from the trauma while writing his landmark ninth studio album exodusrarely rises above artistbiopic cliches despite occasional flashes of brilliance from director reinaldo marcus greene king richard and the compelling combo of benadir and lynch whose performance is a reminder that after supporting roles in no time to die and the woman king shes overdue for a starring vehicle of her own perhaps one loves greatest disappointment is that its so thoroughly average a man like marley deserves a mightier film devotees may find some enjoyment in hearing hits from the singers back catalog in surround sound but anyone hoping one love will do justice to an icon will find that the cinematic message lacks the conviction of the messenger pg13 morgan shaunette bridgeport cedar hills city center clackamas eastport evergreen parkway fox tower living room lloyd center mill plain oak grove pioneer place progress ridge st johns twin studio one  after an unintentionally memeworthy marketing campaign a few critics have been quick to call madame weba schlocky spiderman spinoff starring dakota johnson as clairvoyant paramedic cassie webbthe nadir of the superhero genre its certainly not that the film fails to hit the sobaditsgood lows of superman iv the quest for peace 1987 steel 1997 or batman  robin 1997 outside of a few heinous moments toward the end including a villain being vanquished by a pepsi sign thats not to say its good as cassie defends a group of teenage girls including sydney sweeney hunted by the nefarious ezekiel tahir rahim it becomes clear that director sj clarksons film is mostly just another dull attempt by sony to spotlight spideys side characters johnson and adam scott as the tellingly named ben parker breathe a bit of life into the tale as do a few clever set pieces a subway sequence comes off best but the clunky dialogue lumbering pacing and underdeveloped supporting characters reveal the desperation behind johnsons viral promotion of the film youre gonna love it pg13 daniel rester avalon bagdad cedar hills city center clackamas eastport evergreen parkway fox tower lloyd center oak grove pioneer place st johns studio one wunderland beaverton wunderland milwaukie willamette weeks reporting has concrete impacts that change laws force action from civic leaders and drive compromised politicians from public office support wws journalism today
