Dates,Scores,Reviews
Apr 14 2024,negative,getting a colonoscopy would be a better experience than watching this
Apr 14 2024,negative,bro i hated this it looks horribal this ruined  megamind look like a ripoff and i even i got rippoff i hope this get deleted from every brain on earth megamind more like nevermind make the old design back and the voice actors if some of them are dead use the best ai
Apr 13 2024,negative,yeah just watch the original movie
Apr 13 2024,negative,better not to have existed
Apr 13 2024,negative,the most god awfull piece of junk that the world has ever seen
Apr 13 2024,negative,its incredible how dreamworks has turned into a parody studio of its own works
Apr 12 2024,negative,horrible downgrade and it felt like it was one big cutscene that wasnt skippable
Apr 11 2024,negative,despite the original being over a decade older its a lot more entertaining than this garbage and imo has better animation i get that writing is hard but howd it end up this bad and howd the animation deteriorate drastically
Apr 10 2024,negative,its a hate letter to fans of the first movie
Apr 10 2024,negative,not the same actors not very exciting boring
Apr 10 2024,negative,i gave this movie about ten minutes before turning it off how dare they make such a poor sequel to one of the greatest movies of all time 
Apr 8 2024,negative,goes against everything the original movie did and stood for its been rebooted to be just a cheap attempt to attract kids and is probably one of if not the worst animated movies ever made
Apr 8 2024,negative,do i even need to bother explaining why this sucks probably not xd
Apr 7 2024,negative,i dont even think that this movie deserves half a star i sold my soul when i decided to watch this movie and had a notebook and pen in hand because i knew it was going to be bad they had only a few character models with the colour schemes swapped out and claimed to be different for example the same model is used for a police officer a bank teller a donut shop worker a donut shop customer and multiple background characters which sometimes will all be in the same shot i mean its ok to cut corners so that you can use the budget to increase the overall quality of the movie but  1 there is a difference between cutting corners and just being to lazy to use more than five models  2 they definitely did not cut corners to invest more into the rest of the movie which is obvious when shrek 2 came out 20 years ago and is still leagues ahead of this shameful cash grab    the characters are completely diluted into mere shadows of their former selves the villains are dumbed down to stretch the run time and it was so bad that not a single voice actor wanted to be correlated to this movie i will have no more dreams after this movie only terrifying visions of megaminds huge blue forehead which is obviously filled with nothing but helium since the animators made it look like a huge balloon taped to his head that haunt me when i sleep provoking me to wake up to be greeted by my sleep paralysis demon keiko i dont know how to spell her name i only know how to pronounce it and that she is a shameless self insert for the 5 year olds who arent paying attention to the movie because if they would they would probably still say this is cringe and turn it off    the writers should already file for bankruptcy because with megamind vs the doom syndicate on their resume not even mcdonalds will want them and theyre serving rat poison in big mac form
Apr 7 2024,negative,this movie was absolute garbage it ruined my childhood if i could give 0 stars i would do not recommend
Apr 7 2024,positive,i think it was a a very good movie and i would watch it again but the voices could be better i liked the plot of the story and i loved the little girl she was a very good voice actress age 10 years old
Apr 7 2024,negative,i cant believe this is a sequel of megamind this look like a movie made by fans
Apr 6 2024,negative,yeah why does this movie even exist  there is no redeeming factor of this movie the voice acting was trash the villains were horrendous and the story was utter garbage  everything you loved about the first movie is gone absolute garbage do not watch
Apr 6 2024,negative,this movie took everything the original had set up and threw it all away it was a poorly written cash grab not for the enjoyment of fans but for the sake of putting money in wallets
Apr 6 2024,negative,what the fuck is this hot garbage    the downgrade from the original megamind is astounding dont waste your time
Apr 6 2024,negative,horrible there isnt any character development megamind in this movie its like mini mind the villains are stupid and a lot of things more
Apr 5 2024,negative,what did i watch none of the original cast returns and they rename minion to chum i only chuckled once and that was due to a cut id rather slam my pinky against a door than watch this again and i cant believe these came from the same people who made shrek and puss in boots 2
Apr 5 2024,negative,i waited 14 years for a megamind sequel i am still waiting
Apr 5 2024,negative,i dont even know how in the world did i finish the movie without taking any kind of alcohol
Apr 5 2024,negative,this was an awful sequel your better off pouring bleach in your eyes
Apr 4 2024,negative,you know megamind vs the doom syndicate is actually very trash because megamind is very good and megamind vs the doom syndicate is bad and horrible 
Apr 4 2024,negative,it bad like really bad especially when compared to the first
Apr 4 2024,negative,genuinely a horrible movie i cant even put it into words
Apr 4 2024,negative,ill be honest i didnt expect much from this film but i definitely thought it would be a little better extremely simple and lazy weak script silly and shallow characters that look like a bunch of clowns but in this case not funny which was probably the intention and the animation that seems to have come straight from a mobile game a shame to receive this after the first film that was so good and creative
Apr 4 2024,negative,this movie was so disposable megamind was a phenomenal movie this part 2 was the worst there could have been  i felt i was watching paw patrol because of the graphics that distracted me so much i cant tell you much more i was so disappointed with this gross movie  i enrolled to rotten tomatoes just to rate this movie
Apr 3 2024,negative,how was this even allowed to be released
Apr 3 2024,negative,worst animated movie ever
Apr 3 2024,negative,i made an account just to make sure i contributed to lowering this movies score what the hell happened man how do we go from megamind to whatever this horrendous mess is
Apr 3 2024,negative,terrible 100 a cash grab because of original megamind success     peacock should be ashamed of themselves for allowing this on their platform
Apr 3 2024,positive,it has a somewhat good story but the dialogue just ruins it and the animation is really good just no cgi to layer it it would say that they tried their best on the animation and the story it fits well with megamind and i enjoy the teamwork that magamind has with others
Apr 3 2024,negative,horrible script compared to the first film this film is infinitely inferior and the quality of the animation is terrible its a film that shouldnt exist
Apr 3 2024,negative,this is sad all these years waiting for sequel we get this
Apr 2 2024,negative,i want that hour and a half of my life back the worst thing i have seen that was not played for shock value on the internet the fact that this was played straight like the creators really thought it was a good idea gives me a headache it has none of the charm or wit of the original film not to mention ignoring continuity
Apr 2 2024,negative,this movie makes cars 2 look like a masterpiece
Apr 2 2024,negative,nothing like the first one
Apr 2 2024,negative,absolute disgrace of a cash grab that baits adult fans of the 2010 film why was this directed at kids people who saw megamind in 2010 are now teensyoung adultsadults  this is even referenced in the opening where he literally says i see old friends followed by countless other references yet this was made for literal infants not only is it terrible but its absolutely kiddified to make the babies happy absolutely atrocious and everyone involved should be ashamed
Apr 2 2024,negative,it felt like a bullshit tv show not a movie felt rushed and not worth it
Apr 2 2024,negative,they literally took the name the doom syndicate from the tiein video game 
Apr 2 2024,negative,terrible movie 14 years of technological advancements and it looks like the sims 4 movie has no soul and is very childish
Apr 1 2024,negative,unbearably bad has nothing funny or entertaining throughout the whole film undoubtedly the worst dreamworks film there is
Apr 1 2024,negative,megamind two is a terrible sequel first of all meg have the dube syndicate as the through the original it was always just him and metro man and nobody else plus this is the first movie plus they literally changed minions name to chum plus that little girl in the movie is super annoying plus they have an end credit seen  like megamind three gonna happen get out of my face thats not even talking about the animation this looks like a dream works animated five year yearold show thats about how none of the original cast returns or the animators get out of my face
Apr 1 2024,negative,i think i lost 2 years of my life from this movie i feel sad and angry my soul does not feel the same ever this movie is the worst movie ever created
Apr 1 2024,negative,after about 15 minuets i turned to my wife and said this kinda sucks she agreed and we watched something else later i finished watching it because i dont like not finishing a movie it was so bad the dialog character story and dialog was so bad my 10 year old could have done better   schaffrillas review made me laugh something the actually movie could not do
Apr 1 2024,negative,who the fuck did they let cook at peasuck a ton ofcock  they burnt the entire building down 
Apr 1 2024,negative,whats your least favourite movie  well i guarantee its better then this
Apr 1 2024,negative,not that great a film it had so much potential and dreamworks had to ruin it because of their dreamworks television studio and how they make their shows low budget which i find stupid since they managed to actually make a hit back in 2022 and yet they still manage to make a sequel worse like pixar doesnt have their charm either 110 dont recommend
Mar 31 2024,negative,what was this piece of garbage movie this is just a terrible movie with terrible writing and terrible jokes it was bad enough when i saw the streaming service animation you know what im talking about and worst than this movie just being bad it is a follow up to the masterpiece megamind if this was just some stupid spinoff tv show no one would care but no they hyped us up and this came out as the quote long awaited sequel to megamind this is just insulting what was dreamworks even thinking with this one
Mar 31 2024,negative,aint no way somebody agreed to put this piece of garbage out to the public 
Mar 31 2024,negative,horrible the animation the story this movie ruins everything about megamind and completely destroys what was good about the first movie
Mar 31 2024,negative,oh how do i stop four villains at once shoot them with the dehydration gun
