Dates,Scores,Reviews
Apr 13 2024,negative,not good acting is awful writing is terrible and generic story you do not feel connected to the story or any of the characters the only positive thing is there are a good amount of world building shots throughout the movie
Apr 11 2024,positive,it was pretty cheesy and had some far fetched ideas however overall it was a exciting feel good movie would recommend if you dont have anything else great to watch
Apr 10 2024,positive,i dont know if we all saw the same movie sure it could have been much better but its still visually pleasing and the storymessage soul its there my only issue is that i wish everything happened in the span of three movies and a lot of things happened in between hahahhaha
Apr 9 2024,neutral,some good parts  not boring  nothing too original  kind of mad maxish
Apr 9 2024,positive,awesome movie i cant believe people give it such bad reviews
Apr 6 2024,positive,an all around great movie although the prologue doesnt give anywhere near enough context and can have viewers wondering
Apr 4 2024,negative,well at least visually it looked stunning and had an interesting worldthe rest of the movie however is so rushed that this film would have been better off as a series then a movie
Apr 4 2024,negative,it looks okay and the acting is halfway decent but the scriptdirecting is very much meh like does the girl take out her knife and look at it dramatically before shoving it into her sheath dramatically every time she uses it it tries too hard and as for the basic premise just why giant mobile cities makes zero sense but it does look pretty cool if youre really bored and watched everything else go for it
Apr 3 2024,positive,i dont know what gen tanked the tomatometer but i think if youre a millennial youll likely enjoy it
Apr 2 2024,positive,totally enjoyed this movie thank you peter jackson you have a realm of entertainment i read the good  bad reviews but i still watch this movie and found it very entertaining other places besides rotten tomatoes gives this movie much better ratings i think its one of those movies you love it or you hate it i absolutely love this movie
Mar 30 2024,positive,its a good film not that bad visual effect is so good
Mar 29 2024,positive,you need a cinemahome cinema for this the canvas is really big the pictures and sound come alive it was on regular tv and it looked really bad i watched it via one of the streamers it was brilliant brazil red dwarf frankensteinterminator studio ghibli all blended together there is subtle humour too that the may have gone over the reviewers heads its big if watched the correct way
Mar 29 2024,negative,whats even going on in this movie weird
Mar 21 2024,positive,this was absolutely fantastic a steampunk driven romp had elements of bioshock infinite elements of fallout 3 ghouls absolutely loved it great cgi great acting great characters whats not to love
Mar 19 2024,positive,i loved this movie the story line was great and the characters were interesting i really liked the action costumes and settings its very steampunk
Mar 16 2024,negative,the setting was mildly interesting but the storyline was a real hot mess and the characters were incredibly 1 dimensional it was infuriating to see some decent actors given such horrible lines and a disjointed story
Mar 7 2024,positive,dynamite flick watch it for the artistic direction and cinematography alone if you dont like the plotcharacters  thoroughly entertaining on so many levels
Mar 6 2024,positive,excellent movie cgi were perfect acting was very good from all actors i hope we have a sequel
Mar 2 2024,positive,this film will probably be a cult film or cult classic in 20 years this film was one of the biggest box office bombs of all time the acting was terrible hugo weaving seemed like he was trying the only good film about this film are the visuals and some are striking and great this film is based on a book ive never read and the film is worth a watch for the visuals its like star wars meets divergent in a bad way i wish this film was better but it wasnt but the special effects are cities are cool saw it for free on amazon prime its freevee free to watch im in the middle on this one not great not horrible just average
Mar 1 2024,neutral,real conflicts reel disappointments america vs britton unfolds in this dystopian dud oh but dont worry the terrible acting disappointing dialog wont distract you from how badly they missed the mark on such an interesting concept
Feb 25 2024,positive,i think this would have worked if it has been a tv series there are some decent cgi but overall it has a look of a mid tv budget show     i can see the initial problem is the cuts and acting direction from what i observed from many different films even with not so good actors a good director or editor can make actors look good or give them the facial expressions they need to make less cringey or campy acting it does feel like they shot it as first take instead making them work the scene the facial expressions are too close to the scene and if thats what the audience sees then thats what they will complain about
Feb 22 2024,negative,the people who made this film were all very talented because it takes talent to make anything this bad the story is bad the premise is bad the acting is bad and the script is bad
Feb 21 2024,positive,i found it to be quite awesome great cgi effects plot kept moving forward rapidly great action scenes and characters seemed real not really sure why the movie was panned so muchkept me riveted the entire time
Feb 20 2024,positive,this is one of my new favorite movies enjoyed the characters as they were fully realized and very good enjoyed the story which was a simple one of battle for resources hugo weaving knocked it out of the park on my list of greatest movies ever
Feb 16 2024,positive,i enjoyed it hugo weaving cant do a lot of wrong in my world though
Feb 11 2024,positive,better than any marvel movie
Feb 11 2024,positive,good movie its crazy movies like this get such low reviews
Feb 9 2024,negative,the acting is kinda embarrassing
Feb 3 2024,negative,phenomenal visual effects scenes settings and concept this movie had so much potential  it was let down by a rushed plot leaving no room for character development or any kind of life this movie felt completely soulless
Jan 8 2024,positive,theres way too much going on either the movie should have jettisoned a subplot or two or been a lot longer that said i still enjoyed the movie for its ambition and strange setup the image of london as a ravenous machine bent on devouring other cities is kind of ingenious
Jan 1 2024,positive,i enjoyed watching the movie fantastic setseffects actionpacked good enough story but it is far from great  my two main criticisms 1 they tried to squeeze too much worldbuilding from a book series into a single movie and 2 i never became sold on the concept of big cities roaming around gobbling up smaller cities
Dec 29 2023,positive,great movie overall great soundtrack story and acting but the best thing is the world building made me want to read the books and rewatch the movie again
Dec 10 2023,negative,it reminded of the old monte python sketch
Nov 30 2023,positive,its my messianic age at the end motion picture mortal engines
Nov 26 2023,neutral,with such an interesting premise of moving cities and a mad max steampunk kind of aesthetic there was plenty of opportunity for novel thinking character development twists and turns but instead they chose to unfold the most cliched boring plot line possible three quarters of the way through i really didnt care how it turned out or i knew exactly how it was going to turn out but i felt after investing the time i should see it through still good performances and beautiful to look at 
Nov 25 2023,positive,i liked it had some great characters with sequal potential
Nov 11 2023,negative,very very bad movie so bored so predictible very very generic dialogues and a very boring story
Nov 3 2023,positive,the movie is fine and a good popcorn movie the story is serviceable and its trying to be a fun fantasyscifi movie i love scifi but i think people dont enjoy light hearted scififantasy movies anymore everyone wants scifi to be all serious and dark now
Oct 25 2023,positive,this is definitely not as bad as people make it out to be as a big fan of steampunk i enjoyed this thoroughly it has a good storyline and an amazing concept for a world however i do agree that it could have used more of a premise in order to engage the audience better people who arent a fan of steampunk or fantasy should probably stay away from this
Sep 2 2023,positive,my whole family loves this movie give it a chance the graphics are amazing and its just really fun overall
Aug 27 2023,positive,its a decent movie  fun and interesting scifi meets fantasy movie cant understand why it was given a bad wrap huge cities become mortal engines that are able to be mobile if they use the same concept and make a series of it it will be a great success i enjoyed it not sure why many gave it a bad review its type of movie you would sit on a cold outcast day with popcorn and hot chocolate
Aug 22 2023,positive,fantastic i really liked it although i really liked the book dont know why so many critics seem to have a stick up their arse on this one
Aug 8 2023,positive,great theme great acting but simply not 100
Aug 4 2023,positive,not as bad as it seems
