Dates,Scores,Reviews
Jun 16 2021,positive,its actually a little bit more soulful than it lets on
Apr 29 2021,negative, in the genre of teenagers saving the world in postapocalyptic wastelands mortal engines is a very odd entry its conceit taken from a successful youngadult novel series from the early 2000s makes very little sense after the world was destroyed in a brief brutal nuclear war society has rebuilt itselfon wheels entire cities have been lifted somehow on to massive chassis and hurtle around the scrubby land looking for stuff how not even a suggestion of an explanation why its never really clear beyond it being a good excuse for some whizzy cg and the cg in this film is very whizzy weta digital have done a fantastic job making this odd world look real you will believe a teeming metropolis can chase a bavarian village across the desert visually its often wondrous behind the visuals though the machinery is awfully creaky the lord of the rings team of fran walsh philippa boyens and peter jackson wrote the adaptation lord of the rings showed they are brilliant at wrangling rambling story and massive worlds into understandable narrative that skill has deserted them here every plot turn in mortal engines raises more questions and provides very few answers its core character is hester hera hilmar a loner assassin fixated on killing thaddeus valentine hugo weaving who was responsible for the death of her mother valentine is a very powerful and wellrespected man in london the largest and apparently most vindictive of the wheeled cities whose inhabitants dont know hes building something sinister in st pauls cathedral when hester tries to kill valentine shes stopped by tom robert sheehan a young man who archives old relics like toasters and televisions the pair wind up stranded in the wilderness forging an unlikely alliance as they try to get back to london for very different reasons while its at heart a simple revenge story the mechanics are often deeply confusing and drearily humorous only sheehan raises any kind of adventurous energy valentine does all his scheming in secret so people wont realise hes evil but the residents of london are shown to be so bloodthirsty shouting and cheering whenever they destroy a smaller city and not remotely objecting when he reveals his grand plan that he may as well have been above board the whole time hesters backstory is baffling involving a mother who was were told vital to those resisting the wheeled cities but also in a relationship with valentine neither of which is clearly explained theres a zombie assassin that relentlessly tracks hester killing hundreds becausehe likes her the plot is a distant secondary consideration to action setpieces there are so many gaps in the storytelling and so much reliance on chance and characters guessing things that its never even remotely absorbing or satisfying its a beautifully designed world but no real life exists within it
Jan 29 2021,negative, if a bad film is lucky it will manage a handful of mediocre reviews a decent return at the box office and a steadfast retirement into netflixs catalog the problem mortal engines will face is not that it is bad per se its simply not very good and the parts that arent terrible are because you are hopefully seeing it in imax if not on a regular theater screen and the visuals are enough to keep you mildly entertained cowritten and produced by peter jackson of lord of the rings fame mortal engines is a lifeless fantasy epic that is mildly enjoyable at times but suffers from several grave afflictions that ultimately incur steep viewing consequences based on the 2001 series by philip reeve the film is a sweeping steampunk look at our postapocalyptic world after a sixty minute war ravages the earth forcing the major cities to find a set of wheels  yes cities become monster trucktype monstrosities  and scour the wastelands for resources undergoing what is coined municipal darwinism london is the principal traction city dominating and ultimately devouring smaller traction cities in order to utilize their resources following a highthrills chase sequence that opens the film london is undergoing one such feast when a local historian tom natsworthy robert sheehan meets thaddeus valentine hugo weaving a local celebrity who was once a historian as well small talk is cut short by a mysterious woman named hester shaw hera hilmar who inexplicably attacks valentine and narrowly escapes by ejecting herself off the moving city despite his wellmeaning intentions tom pursues the shadowy girl and inadvertently lifts back the veil on a decadesold secret that makes him a liability and therefore disposable stranded in the harsh tundra tom and hester must work together to reach civilization and stop valentines maniacal plan before the earth is hit with another geocatastrophic event frequently oscillating in tone and aesthetic between jim henson minus the puppets and other extreme fantasy worldbuilding films like john carter and stardust mortal engines is certainly not hard to look at director christian rivers a former storyboard artist and visual effects teammate for most of peter jacksons biggest hits understands what we want to see and more importantly how to translate that onto the screen the colors pop the world around us swirls shot on detailed sets the beauty is surely in the details hundreds of perfectly dressed extras flock through several scenes largescale scenes including the aforementioned chase sequence the set of london is surprisingly charming and intimate and it gives us the sense that we really arent in kansas anymore not kansas in the 21st century at least the inventive machines of the future pique our interest but therein also lies one issue the film struggles to address the mechanics of the beastly cities are never fully explained or shown in enough detail it therefore doesnt seem plausible that cities could be made mobile the plot is immediately built on a shifty uncertain premise and we as the audience dont feel secure in the world we are entering world building in a fantasy film is essential to its success how can you allow yourself to dream if you know that youre asleep and the characters they cant seem to escape the caricature natures written into the script hester is a onenote manic altdisney princess who hides behind a scarf because of a measly scar on her face tom is a wideeyed ingénue with only good intentions and very little selfawareness he is also supposed to be the love interest but there isnt much chemistry flickering between the leads valentine is the fiendish villain with a sparkle of menace in his eye and an evil plot that actually maybe wasnt thought through all the way sure the sets are cool the story rolls hard and fast racing towards a final battle that you see coming from across the flatlands but in the end it feels like a long road trip to nowhere with people you dont particularly like
Jul 14 2020,negative,once we dive into the players and the events that have shaped them mortal engines is undeniably derivative of countless heros journeybased stories and hopelessly lacking in creative energy
Jul 13 2020,negative, dystopian ya novel adaptations seem to be a trend that will not go away the hunger games set a precedent that most fail to live up to and as each year passes the imagination disintegrates into dust the latest that falls into that category comes from the lord of the rings peter jackson and first time director christian rivers who produce a derivative paint by numbers affair with a transparent twist set approximately 3000 years from now the world has been scorched of cities as we know them in a 60minute war the mad max type landscape is roamed by cities on tractor like bases some are tiny and insignificant whiles others are tremendously large bellowing and boisterous monstrosities that swallow the smaller ones whole for fuel and ancient parts  london is one in particular with landmarks such as st pauls cathedral dome and trafalgar square lions scattered around its compound this is the big daddy of cities and no one in their right mind would come against it the well respected thaddeus valentine hugo weaving is at the helm of this city on the surface he appears to be an honourable man but as hester shaw hera hilmar boards the city and subsequently attacks him its obvious he isnt as snow white as he would like to portray no sooner is hester on board she quickly gets kicked off with museum apprentice tom robert sheehan and we are soon on a quest to get back to london so hester can finish the job before weapons of the past can be rebuilt to destroy the world as they know it the major problem here is the fact we have all seen this before there is nothing original or imaginative to set this out and in parts can be seen as a homage to the likes of star wars throw in hesters backstory and a resistance group lead by anna fang jihae and we have that ageold dystopian battle to save the world and save the oppressed the beat of the plot steam punks its way to its predictable ending which youll easily call from the very first scene with visually exciting tenacity the attention to detail to the dark and grimy depths of the core of londons inner sanctum are beyond doubt an impressive feat but at times it confuses itself does it want to be serious or funny neither hit with any real connection the jokes fall flat and even the funniest moment when the minions are referred to as american deities raises a few titters isnt quite factually correct the performances are bog standard hilmar gives as good as she gets as an asskicking and determined heroine but sheehan doesnt really have much to work with thrown in as a sidekick that could be a love interest he really doesnt have much to do but follow hilmars hester around like an annoying little puppy these engines have had a false start and broken the fan belt thank god they are mortal because this one dies a very slow death
May 20 2020,negative,a missed opportunity
May 20 2020,negative,it wasnt fun or good or interesting
Apr 4 2020,negative, about ten minutes into mortal engines i became convinced i would never find out what a mortal engine actually is is it the giant behemoth city that is london on wheels or maybe its the centipede like vehicle that rambles across the wasteland with ease or could it be the steampunk planes that defy gravity or possibly its robot dad who has green eyes that pierce through the night if theres one thing for sure there wont be a second mortal engines film to give an explanation maybe thats what a mortal engine is the behemoth that is hollywood endlessly creating bloated cgifilled flicks that cost more than a small country makes in a year all the while theyre destined to fail at the box office eventually once the template of the producers has failed one too many times these mammoth production houses have no choice but to dissolve into nothing leaving a field of producers standing alone scratching their heads with no idea how this ever could have happened  sure this film does contain the best post credits scene of all time as in the film simply cuts to a black screen oh that wasnt a post credits scene and instead was just the sweet mercy grip that this whole thing was finally over well then but even though there are apparently three more books in the seriesthere is simply no way that there will ever be a continuation of this series apparently the books are popular young adult fare which given the content i can easily believe that  now damning this film with the faintest of praise for a brief moment i will say that mortal engines is one of those eighties films like the goonies that you fell in love with as a kid and then you rewatch it as an adult and realise it was all bunkum trash its a childish kind of good but i fear that kids nowadays are a little bit wiser than we were in the eighties and wouldnt stand for such mediocre material well even though conan obrien once said dont be cynical its bloody well hard not to approach this tepid affair with a heavy dose of cynicism theres so little to hold onto with this film  plot oh yeah you probably want to know about the plotwell theres a girl with a scarf over her face because shes got a scar fear not bfi shes the hero of the piece so yknow positive representation and all that her name is hester shaw hera hilmar if you forget this the film will remind you every thirty seconds as supporting characters are endlessly shouting out her name hester shaw even though as a main character shes surprisingly devoid of any kind of agency  instead the guy driving the plot is han solo mark 9 this time played by robert sheehan sheehan has been in films before i know this because i quite liked him in three summers but his casting here feels like it happened simply because he was in a film called the mortal instruments city of bones good on you rob alas theres little to suggest that hes going to go on to do bigger brighter better things in this flick  hugo weaving appears because new zealand isnt very far from australia and peter jackson has his phone number on speed dial hes hugo weaving the biggest crime of weavings casting is that the film never allows him to chew on the dialogue it throws at him heck when weavings villain calls someone a dinosaur and then remarks that hes the meteor the film presents this solid line with all the impact of a wet paper towel soppy and annoying  then theres stephen lang as cgi robot dad shrike hes a robot and hes hester shaws surrogate dad for reasons he is real mad at her and now stalks the world searching for her the character design is admittedly quite impressive but its impossible to shake the feeling that shrike walked out of a pirates of the caribbean film into this one by mistake no doubt the character has some kind of emotional resonance in the books but here its just another subplot that makes no sense and goes nowhere which is the best way to explain mortal engines its nonsensical pap that would have been better serviced under the title steampunk and the world of tomorrow it wants to make some kind of fun at the way were obsessed with technology but in a film fuelled by said technology well it carries no weight and on top of this for a film thats released by universal its exceptionally poor of them to include a joke about how minions are deities that we are obsessed with ho ho funny stuff there guys  look theres no reason to see mortal engines its not so bad its good theres no one set piece that is overly impressive  unless that is youre easily impressed by cgi noise then by all means giants cities on wheels eating smaller cities might be interesting enough the endless swooping camera movements the overly dramatic music the inconsequential characters and the nonsensical plot leave you with an empty feeling this is the sort of film that has people commenting about they could never ever spill a secret theyre sworn to keep and then in the same breath tell that secret to a stranger its the sort of film that has flashbacks to something that happened five minutes ago its a film that should have you asking how the heck did this get made  andrew is passionate about australian cinema australian politics australian culture and australia in general found regularly talking online about sweet country and reminding people to watch young adult excerpts and links may be used provided that full and clear credit is given to the curb with appropriate and specific direction to the original content the curb explicitly prohibits the use of published content for the development of any software program including but not limited to training a machine learning or artificial intelligence system
Feb 14 2020,negative,it borrows from many stories but doesnt have enough of its own to offer
Feb 1 2020,negative,which such promise and thrill at the start the film caves under its own weight hoping that the filmmakers would go bold or go home on this theyve gone nowhere
