Dates,Scores,Reviews
Apr 14 2024,negative,i was so disappointed it didnt move me at all it was impossible to get to know the characters no chemistry between the main characters
Apr 14 2024,negative,poorly cast and a bad script not a well told story 
Apr 13 2024,positive,entertaining but i feel it could have been deeper did napoleon really only have on facial expression and was his life really only about war and lust
Apr 12 2024,negative,only focusing in negative aspects of napoleon example 1 of the movie on victories 50 on defeats and the rest on bad life no reference on what he achieved internally and internationally   very bad aspect only good point is joaquin phoenix performance
Apr 10 2024,negative,i could not watch this movie all the way through because it got way too raunchy along with being ridiculous as far as acting and accuracy why do directors and producers have to fill their movies with filth these days i recommend that you avoid this garbage
Apr 10 2024,negative,truly awful historical inaccuracies aside and the movie is nothing but it fails to be entertaining on its own merits    i have no idea how this bloated piece of garbage was created from one of the most interesting stories of all time
Apr 9 2024,positive,this movie  is far better that the mediocre reviews it has received just enjoy it and stop critiquing while watching
Apr 9 2024,negative,the saddest  the most boring napoleon movie ive ever seen music is good napoleon is a wimp usually very good joaquin phoenix is meh  most of it is forgettable
Apr 9 2024,positive,74 joaquin was very good sometimes felt kind of jokery tho so not sure if thats just his style or theyre trying to portray napoleon as a less masculine frenchman 4 or so very good battle scenes mostly about napoleons life as he comes into power til his death and was kind of slow and not that exciting was hoping for more no need to rewatch anytime soon 25 rewatch
Apr 8 2024,positive,scotts napoleon did not know how to give us a more personal drama in which we could enjoy the true drama story of the emperor  however the special effects and battle scenes are memorable and thats the strength of the film but when we talking about the story of one of the greatest conquistadors of all time the structured script must be solid so that the story is as epic as what the books tell us
Apr 8 2024,positive,saved by joaquin phoenixs performance    disjointed film that lacked any real historical substance and spent far too much time focusing on np relationships with josephine    i felt it was yet another massive production aimed at not upsetting the minority     real opportunity missed
Apr 8 2024,positive,put off watching until i could see it for free at home and to be honest i could have just skipped it all together i did not find the film boring but i did find it to be unfortunate the dramatic interactions between napoleon and josephine are rather flat especially in the beginning the fighting seems to be rushed most of the time and we are not given enough to truly appreciate napoleons skill as a general the battle at waterloo seems too drawn out while other battles see too brief by the time i reached the end i couldnt help but feel a bit cheated as if someone had chopped out much of the good stuff
Apr 7 2024,negative,i had so much hope this would be a good movie because phoenix is an amazing actor  even the battle scenes were less than i expected  little historical fact jumps around through years and was that romance or just tripe  well ummm you decide      what a total disappointment for us
Apr 6 2024,positive,it was great i really liked it
Apr 5 2024,negative,ill always find time for ridley scott but i have no idea who this is for
Apr 3 2024,positive,interesting subject but not an interesting enough movie
Apr 3 2024,positive,i did enjoy it because i love history  it was ok but i would have set it out a bit more clearer without all the nonsense moments between napoleon and josephine  i know the long stares and poses are supposed to set the mood but i dont think people act quite like this in real life so it annoyed me a bit other than that it was ok
Apr 3 2024,positive,i watched this film with low expectations this movie is neither fun nor good i was bored i knew what would happen and surprisingly since i dont like war movies my favourite parts were the battles they looked amazing the acting performances were solid but just like in killers of the flower moon there were no relatable characters there wasnt anybody to root for and i need that in a film this movie is long boring and does not show anything new ridley scotts acting the cinematography joaquin phoenixs and vanessa kirbys acting could not save it i think this movie is really mediocre
Apr 1 2024,negative,do yourself a favour and dont bother  clearly written and directed in the eyes of the victor aka english gone is the heroic french general and in his place is a boring man beholden to his unfaithful wifes lower half  such a historic figure deserved better than a two and a half hour hit piece
Apr 1 2024,negative,poor choice of focus dull not exciting not worthy of the award noms
Apr 1 2024,positive,ridley scotts napoleon biopic is an agreeable easter day afternoon watch an engaging blend of high camp bloody spectacle and pretension puncturing humour phoenix is well cast for this take on napoleon whilst his emperor lacks a sort of predatory danger that the script hints at his performances lances pomposity and is devoid of pofaced seriousness vanessa kirby is the one who really shines as josephine however every minute shes not on screen feels a little less than it could be    the wit and the action are all welcome and enjoyable and it slips down nicely but its hard to shake the feeling that it ends up being neither one thing nor the other im tempted to think what a directors cut of this might reveal which of the constitute elements would it bring out more of suggesting what the film really could have been     its undemanding enjoyable fare that leaves you sated but with that slight sense of what could have been
Apr 1 2024,negative,it was so boring i fell asleep uninspiring and horrible storytelling
Mar 31 2024,neutral,slow not engaging expected more 
Mar 31 2024,negative,rather than repeating what so many others have said about why its a terrible movie miscasting pacing bad script with great visuals that are fictitious depictions of battles i recommend in its place a movie on the opposite end of the spectrum    the 1970 movie  waterloo  rod steiger as napoleon and christopher plummer as wellington do justice to their roles and show how a good script great directing and amazing acting can immerse the audience in a movie  dan oherlihy is great in the supporting role of marshal ney      unlike scotts debacle waterloo sticks fairly close to the historical sequence of events of the hundred days covering the battles leading up to waterloo  while some of the allied forces are missing the movie does better justice to the role that blücher and the prussians played in coordinating their movements towards the final battle    what makes waterloo all the more impressive is that it was filmed without cgi  taken as the epic that it is the battle is breathtaking and puts scotts appalling computerized and big budget effort to shame
Mar 31 2024,neutral,to much about his marriage not enough about his battles
Mar 31 2024,negative,i didnt believe all those who told me this film was dull as dishwater i do now
