Dates,Scores,Reviews
Apr 12 2024,negative, napoleon 2023 is ridley scotts latest film an epic biopic about napoleon bonaparte joaquin phoenix his rise to power and his relationship with josephine vanessa kirby it starts with the execution of marie antoinette catherine walker and ends with bonapartes death in exile the little over two and a half hour film a four hour directors cut exists takes its viewers on a sumptuous yet tedious paint by the numbers tour of the selfappointed emperors life offering little to no insight into the man the people around him or the time but prioritizes mocking the little mannot in size but in terms of insecurityand hoping to displace historical and cultural memory of him by becoming the definitive film about the man unfortunately to do so it would have to sustain a viewers interest for the entire run time i was very excited to see napoleon because i had comp time burning a hole in my pocket if a holiday falls on a saturday and you work on the friday before and monday after the holiday you get a floating day off that is good for 30 day it was my first daytime screening and first double feature screening daythe other film was eli roths thanksgiving 2023 i love ridley scott an entertaining director who has made some of my favorite movies alien 1979 and blade runner 1982 he has also made movies that i have despised such as prometheus 2012 his latest films all the money in the world 2017 and house of gucci 2021 have been about the pitfalls of famous families with money set in italy and are great prurient fun because these movies feel like you are seeing something private and exclusive it is mostly spectacle where viewers can leave feeling superior to the people on the screen and napoleon seems to be more in line with that goal and not like his deeply serious actionadventure dramas like gladiator 2000 and kingdom of heaven 2005 in which scott respects the protagonist so if you are expecting napoleon to be like one of his factbased somber films like black hawk down 2001 or american gangster 2007 keep on moving if you are looking for a film that looks as if scott has a time machine and took his equipment and crew with him then napoleon is the movie for you it is sumptuous costumes sets the three major battle sequences the coronation scene was a recreation of jacques louis davids painting coronation of napoleon the most stunning battle is the films centerpiece the battle of austerlitz if there was no audio the film would be perfect with the audio scott made some bold creative choices that did not work and provided more insight into the director than the titular historical figure that scott purported to be making a film about side note while i studied the french revolution and the period following i am not making any allegations about whether scotts film is historically accurate and do not have an educated opinion about the reallife bonaparte i do not care enough to do a historical deep dive especially since scott is very vocal about not caring either these are my impressions of scotts thoughts on the period based on his film scott is not a fan of the french revolution and is a royalist also as a british person it is not a surprise that maybe he would have a bias against bonaparte and the french feel a bit tenderhearted towards queens and prefer an established class structure instead of a more fluid approach napoleon opens with the execution of marieantoinette and it is a scene filled with pathos a mother protecting her children the cruel crowd taunting her recording marieantoinettes breath to reflect her fear and effort to keep it together he shows no such sympathy to subsequent former revolutionaries in danger and sees them as hypocrites using ideals to get wealthy and supplant the royals he sees their pain as a grand joke scott initially depicts bonaparte as above the emotional fray quietly observing focused and seems to admire bonaparte most when he is at his most humble undercover and making battle plans bonaparte gets the ragged breath treatment during the first battle the siege of toulon once josephine hits the scene he becomes a blowhard pathetic oneminute lover a bumbler who humiliates himself every minute of the day which is fine but monotonous for a long movie josephine gets straight up depicted as a whore not only a married woman who had lovers josephine had descendants and if i was scott id watch my back side note french versus americanbritish films have very different sensibilities and tone when it comes to sex and adultery i have no idea how bonaparte and josephine felt about their relationship and again do not care to read their letters to each other but my gut tells me that a british person would lose something in translation and automatically consider adultery to be a character defect and a sign of immortality whereas french films barely lift an eyebrow at couples have multiple lovers and knowing about it bonaparte was not a typical french man but considering that these lovers did not end up dead and josephine was the love of his life it feels as if any british or american director would be incapable of not projecting their own prudish judgment on this couple napoleon is one of those films where most of the actors speak with a british accent which tends to be confusing the action unfolds in britain france egypt austria and russia if everyone speaks in a british accent how is the viewer supposed to know that they are in austria it requires being riveted every second of the film and knowing that if you see people playing cards in a long opulent hall bang the scene is in austria youre welcome now you will know the film flashes brief a persons name and title appears the location is not always indicated though scott is generous with indicating the month day and year and will divulge the location but it is rapid and more inconsistent than it feels the problem with the sun never setting on the british empire including with casting of movies means that it puts more of a burden on the filmmaker to provide other clear context clues and scott kind of does not care his attitude is who is going to check me boo the box office anyone speaking a foreign language appeared during napoleons battles outside of europe including russia which shows which countries scott thinks of as other or not european if there are french people in the cast they are not playing the most prominent roles edouard philipponnat who plays tsar alexander is a finnish french actor phoenix is american and other than being a good actor if im being generous with my analysis his american accent may symbolize how bonaparte was an outsider a corsican born frenchman with italian noble heritage what does that mean on a practical empathetic level no idea scott only references how bonapartes class and birthplace makes him unlike others in the ruling class a boor but does not expand further and seems to root for his displacement so the hierarchy can be securely back in its proper place even when creating a villain the villain should be interesting but emperor commodus is not in the building it felt as if phoenix reprised his fictional alter ego version of himself from im still here 2010 and became a larper he is having a great time playing a buffoon who says the most outlandish selfcongratulatory things that even the briefest fact check would reveal as a lie but it is tiresome to hit the same joke repeatedly as if you were watching the last half hour of saturday night live if you are looking for a performance that makes you forget that you are watching a film and feels lived in you will have to wait until the denouement when the duke of wellington rupert everett finally puts a stop to bonapartes shenanigans he is the only person who reacts like a real person would after the british capture bonaparte bonaparte holds an impromptu court over breakfast lecturing a group of sailor children wellington walks in horrified and astonished that anyone allowed such foolishness and everetts exasperated tone and line read showed the right amount of astonishment at his mens incompetence it is a genuinely funny moment and made me wish that there was a way to get more everett the other jokes are about laughing at someones expense whereas the punchline is about relatability to a completely unrelatable man a war legend and political figure from another time napoleon is a gorgeous movie but you wont see it when you fall asleep between battles the combination of pitch perfect visuals with comedic outlandish dialogue does not ever gel and scott lacks the necessary pacing to let everyone enjoy the joke perhaps he should have partnered with terry gilliam
Mar 12 2024,neutral,a battleladen pilgrimage through the historical highlights of frances most prolific emperor cuts considerable corners in conveying his military machinations questionable casting jarring tonal shifts and a repetitive dependence on the battlefield
Mar 6 2024,negative, while im not a fan of the movie theres a line in 2005s charlie and the chocolate factory that has stayed with me candy doesnt have to have a point thats why its candy that quote kept popping up in my head while watching napoleon the latest from revered director ridley scott make no mistake napoleon is not candyits not enjoyable for its own sake or some sort of sweet reward that stimulates the senses but scotts new film does seem to be lacking a point to the extent that i kept searching for some greater meaning or a reason for it to exist its technically proficient but emotionally beige a sort of neutral existence that doesnt really check any boxes its not a methodical review of historic events often indulging in apocryphal stories rather than what actually happened but its not some impassioned grand tale of legend either attempting to ground itself in the world of bonaparte at the same time its also not some examination of the inner world of the wouldbe world conqueror making his motivations and processes an inconsistent and rarely definable quality of the character is that the point that the real napoleon cant be known that life is a mix of myth and mundane i genuinely have no clue and it is vexing after many years of many filmmakers attempting to take on the story napoleon arrives horrifically inert and painfully tedious where its 158minute runtime often feels like 158 days the movie centers on napoleon bonaparte joaquin phoenix and his rise through the ranks of the military and french society through his various victories for the aristocracy while he earns many wins on the battlefield almost all on the backs of enormous casualties on his own side its the infighting among the constantly shifting ruling class that presents opportunities for the successful general it culminates in his ascension to emperor before incurring multiple defeats and exile twice over spoiler alert i suppose but youve had over 200 years to know the arc of his story meanwhile during all this tumult and ambition napoleon falls for josephine vanessa kirby a former noble that fell into the prisons during the french revolution and eventually becomes bonapartes bride there are many ups and downs of the relationship much of it around affairs and a lack of josephine providing an heir for the man who would be king of the world but napoleon is utterly enchanted by this womanalbeit showing it in his own way these two trackspolitical plots and his homelifeare intertwined in various ways that reveal a complicated man who has basic drives love sex ambition jealousy pride but shows them in increasingly odd ways is that the point that this looming figure is just like us who happens to benefit from being at the right place at the right time while remaining simple if emotionally awkward i just dont know nothing in napoleon is consistent except for how lethargic everything feels the inner workings of the court should be rife with intrigue or drama or comedy or something instead its a rote rotation of characters as power transfers between various members over the decades that tumultuous marriage with its passionate romance and clashes should be brimming with emotion and reveal something about the characters or the historical figures or something but the script from writer david scarpa does very little with these moments there are some bits of comedy with napoleon making quips or being a randy husband theres some pathos as josephine struggles as she is gradually pushed aside yet still retained and fairly controlled by her eventual exhusband but all of it is just occasional and slight and never feels like a piece of a cohesive whole the fact that napoleon has a singular author is astounding because this feels like an exquisite corpse where each section is passed to another writer with a constant mixing of emotions and meanings is that the point that a persons life isnt part of some grand tableau but an inconsistent melding of the complementary and the contrary napoleon may not be profound but surely the man behind blade runner gladiator and so many other grandiose titles delivers impressive set pieces right for even with his lessthangreat entries like prometheus the counselor or exodus gods and kings ridley scott produces some incredible spectacle and impact sequences unfortunately that is not the case with napoleon with most of those big battles not feeling epic or producing much in the way of grand scope the scale is there with many extras or at least digital ones and great costuming and eraappropriate props who mostly get gruesomely slaughtered in the abattoir of war but the blockingstaging isnt interesting nor are there any particularly memorable images from any of these clashes and the lack of emotional investment in the lead or any of the nameless supporting soldiers means that nothing really has much of an impact is that the point that war isnt meant to be a visual delight or there are billions of nameless faceless who have sacrificed themselves at the altar of ambitious petty men this lack of engaging imagery extends beyond the battlefields to the courts and balls and palaces again the film delivers beautiful costuming and some cool recreations of sites but napoleon is shot so boringly with uninteresting lighting and what feels like a somewhat obscuring scrim that dials down all the interest and brilliance of each scene dp dariusz wolski is better than this the man shot 1998s dark city which is a sumptuous feast for the eyes with interesting setups lighting and camerawork and hes done a lot of great work since collaborating often with scott but one would think that thered be a focus on natural light to mimic the era and ground it in the mundaneespecially with camera technology being such that it doesnt need strong light sources to capture these moments or it would be bathed in glorious lighting to properly establish these legendary figures in these momentous times or switching back and forth somehow to say something anything about the duality or relationship between these two worlds or something is that the point that its all just awash in uninteresting hues because this is just life no matter the outsized person in the middle of it its quite possible i just didnt understand napoleon i got the plot points and followed along with the narrative and character development but whatever was the larger message that scott and crew sought to explore feels nonexistent this lavish production never feels like an incredible story nor does it ever feel particularly intimate truthfully napoleon rarely feels like anything perfunctory emotions that are adequately portrayed by talented actors adrift in a sea of tedium its a literal epic crossing time and geographies but is an utterly hollow exercise that leaves audiences with one resounding question what was the point you can find our full content archive   here with links to all old channels and   guides including movies   cars   models   celebrities   dating   interviews   sports   fitness columns   beer reviews   wine reviews   tv power rankings   vices   wagering   videos and more
Feb 12 2024,neutral, this is paul salfen with your klak movie minute in theaters now is napoleon the epic ridley scott biopic on the diminutive french leader starring the not so diminutive and americanaccented joaquin phoenix that is historically questionable but still an epic piece of cinema while a lot focuses on the wild and crazy relationship between him and his wife that made him even crazier played perfectly by vanessa kirby this two and a half hourplus battleheavy film shies away from nothing and really does give you kind of what you expect epic action in a way that we know and love scott for and a bonkers performance that we know and love phoenix for supposedly there is a 4 hour cut that probably makes more sense and would be more digestible in a twopart viewing but for now we get a big screen experience that will for sure be a divisive watch amongst critics and viewers  but likely totally hated by the french i personally found it a fascinating watch and exactly what i expected but have since found that many dont agree but if you go in knowing that its taking a lot of liberties with some questionable dialogue and some humorous and ridiculous actions by napoleon that likely didnt happen it may just serve as some good entertainment under the it is what it is cinematic category thats it for this week join me next week and every week for another movie minute right here on 975 klak amfm magazine and recrd
Feb 5 2024,positive,although i was never bored this twoandahalfhour film made me feel like i was sitting through a threeandahalfhour film 
Feb 2 2024,negative, the latest biopic of napoleon directed by 85year old ridley scott attempts to tackle the rise and fall of napoleon bonaparte the military officer who rose on the crest of the french revolution orchestrated a coup détat in 1799 and went on to crown himself emperor in 1804 napoleon was eventually defeated by the combined forces of a number of european powers at waterloo now belgium in june 1815 he died in exile on the island of saint helena in the atlantic ocean six years later bonaparte 17691821 was a complex worldhistorical figure the era of the napoleonic wars 18031815 which originated in the great revolution of 1789 and the revolutionary wars fought from 17921802 was critical in the development of modern society scott however does not indicate in his public comments or in the body of the film itself any great interest in history and historical processes his napoleon is a shallow collection of impressions psychological insight of the dimestore variety and brief battle scenes which are not even presented so as to explain napoleons military prowess napoleon opens with the following titles 1789revolution in france people are driven by misery to revolution  and brought back by revolution to misery this profound insight seems to sum up the filmmakers view that the revolutionand perhaps history in generalis rather a waste of time the revolution was a pointless event everybody ended up just as badly off as they started out all in all they should have simply stayed in bed in any event as the films action begins the viewer is rushed headlong into a sequence depicting the execution of queen marie antoinette catherine walker in october 1793 we see the bloodthirsty mob taunting the monarch as she stoically raises her head up in defiance walking to the guillotine pelted by rotten vegetables where scotts sympathies lie here are evident the young bonaparte joaquin phoenix is an aloof and cold onlooker his presence a taking of artistic liberty that has no basis in fact we then witness the jacobin revolutionary maximilien robespierre sam troughton addressing the question of the queens execution before the national convention terror is nothing more than justiceprompt severe inflexible asserts robespierre portrayed unsympathetically napoleon watches the conventions session he meets with paul barras tahar rahim a powerful politician and later a member of the ruling directory who is seeking to recapture the southern french city of toulon from the royalist forces aligned with the british capture the fort that dominates the harbor and you have the city the young artillery officer tells barras after storming the city and routing the british navy the success of napoleons victory in toulon elevates his rank and stature following the military triumph barras tells napoleon that robespierre is unfit to rule because of his lawless terror napoleon previously a supporter of robespierre who helped promote the younger man to the rank of brigadiergeneral swiftly moves to the side of reaction robespierre finds himself denounced and deposed in a turbulent gathering of the convention in the thermidorian reaction of july 1794 thermidor was the 11th month in the new french republican calendar he is sent to the guillotine with a bloodthirsty mob cheering the execution on just as it cheered the death of marie antoinette thus ends the radical phase of the french revolution and the consolidation of the new bourgeois state and society is set in motion the rest of the twoandahalf hour film jumps along from one event or episode to the next often with little dramatic or historical coherence we follow napoleons courtship of the aristocratic widow joséphine de beauharnais vanessa kirby and later his 1798 campaign in egypt a foreign escapade the directory hoped would reduce his stature and popularity at home the events in egypt are somewhat ludicrously portrayed with the french troops bombarding the pyramids an invention of the film returning to france napoleon accuses the leaders of the directory of corruption and incompetence i have returned to france to find her bankrupt he begins to conspire against the ruling group with figures such as emanuel sieyès julian rhindtutt charles maurice de talleyrand paul rhys and joseph fouché john hodgkinson the minister of police who has previously helped plot robespierres downfall the fateful coup of 18th brumaire november 9 1799 is carried out which leads to napoleons coming to power the film is relatively accurate here bonaparte apparently lost his nerve and nearly failed in the coup attempt against the council of five hundred the boisterous deputies derided napoleon as an outlaw and a powerhungry upstart and assaulted him he was only able to succeed ultimately with the help of his brother lucien and soldiers armed with bayonets in a bloodless coup napoleon becomes the first consul of france scotts napoleon proceeds to charge ahead through the rest of the principal events of its subjects life in 1804 he crowns himself emperor an act that famously enraged ludwig van beethoven whose symphony no 3 eroica was initially dedicated to napoleon over the course of the subsequent decade of war the film provides glimpses of various battles including the famed french victory over the austrians and russians at austerlitz 1805 finally there is bonapartes fateful decision to invade russia and its consequences the battle of borodino 1812 a pyrrhic victory for napoleon in which his army sustains colossal losses is followed by the occupation of moscow by french forces the russians largely abandon the city and set it ablaze depriving napoleons forces far from home of food and other supplies not surprisingly the films quasidenouement takes place at waterloo in 1815 where french troops are defeated by two armies one of them a britishled force commanded by the duke of wellington rupert everett napoleon is sent into a much more severe second exile on saint helena where he passes his final days as a whole scotts film leaves the viewer interested in history none the wiser for the experience it provides little insight aside from the most superficial into napoleon as a personality and historical figure or the french revolutionincluding its earthshaking intellectual sources in the enlightenmentand its aftermath the work devotes a good deal of its time to the relationship between napoleon and joséphine their sexual issues and jealousies and her childlessness and the couples consequent splitting up to no great effect the focus feels forced in part driven by contemporary gender politics joséphine is obliged by the latter to be a decisive force in napoleons life and career this napoleon even rather foolishly hints that bonapartes invasion of russia was driven in part by his jealousy over his former wifes flirtation with the youthful tsar alexander i edouard philipponnat the acting in general is decent although phoenix is over his head attempting to play a substantial personality the limitations of his performance are the limitations of the script and direction he treats the character largely as a desperate loner and upstart someone trying to prove himself to the european upper echelons bumbling and mumblingin unconvincing method acting stylehis way through as noted many of the events in napoleon are rushed past hardly giving the viewer the ability to register them or consider their significance the technical elements and the cinematography and spectacle are all impressive but they add little to ones knowledge scott presumably admires napoleon as a military genius which he certainly was but this was rooted in large part in the social transformations set in motion by the 1789 revolution which receives no discussion whatsoever frederick engels observed that the science of war created by the revolution and napoleon was the necessary result of the new relations brought about by the revolution the two characteristics of napoleons magnificent discoveries mass warfare and mobility presuppose the degree of civilisation of the bourgeois epoch ultimately we gather scott views the french revolution and the entire epoch as not much more than gigantic mistakes leading to millions of dead napoleon ends with a lengthy list of deaths in the various conflicts after 1789 history according to this philistine conception is just one pointless thing after the other the napoleonic era has been the subject of serious literature and art in the past some of the most remarkable novels of the 19th century represent the period including stendhals the charterhouse of parma thackerays vanity fair and hugos unabridged les misérables all of which treat the battle of waterloo and of course tolstoys monumental war and peace which recounts napoleons invasion of russia all of these works and many others attempted to make sense of the events in relation to the existing european society and its dynamics ridley scott has never demonstrated such an interest or ability alien blade runner gladiator etc and doesnt demonstrate it here one even suspects that scott may be nervous about the prospects of revolution today however justified such an event might be as a response to widespread social misery moreover scott who favors spectacle over substance in his filmmaking adopts a distinctly cavalier attitude in response to criticisms of the films inaccuracies scott commented when i have issues with historians i ask excuse me mate were you there no well shut the fk up then artistic liberties are inevitable but the latter need to correspond in an important constructive manner to the spirit and substance of the content under examination unfortunately scott is out of his depth here stanley kubrick intended to tackle the life of napoleon and carried out extensive research he was unable to make the film instead directing barry lyndon 1975 set in part during the seven years war kubricks project has apparently been taken up by steven spielberg in the form of an hbo television series sergei bondarchuks waterloo 1970 featuring rod steiger as napoleon and christopher plummer as wellington with a brief appearance by orson welles as louis xviii is also worth noting napoleon bonapartes historical role has long been subjected to marxist analysis which has unraveled its contradictions as both a figure of reaction in relation to the radical egalitarian impulses of the french revolution and as a terrifying jacobin abomination to feudal europe and the british ruling class the french revolution engels argued was the victory of the great masses of the nation working in production and in trade over the privileged idle classes the nobles and the priests but that triumph soon revealed itself as exclusively the victory of a smaller part of this estate as the conquest of political power by the socially privileged section of itie the propertied bourgeoisie bonaparte trotsky once wrote halted the revolution by means of a military dictatorship however when the french troops invaded poland napoleon signed a decree serfdom is abolished this measure was dictated not by napoleons sympathies for the peasants nor by democratic principles but rather by the fact that the bonapartist dictatorship based itself not on feudal but on bourgeois property relations on another occasion trotsky pointed out that robespierre sought his support among the artisans the directory among the middle bourgeoisie bonaparte allied himself with the banks all these shiftswhich had of course not only a political but also a social significanceoccurred however on the basis of the new bourgeois society and state these are complex but not esoteric or inaccessible analyses the artist who starts out by turning a deliberately blind eye to serious historical study and research who decides to fly by the seat of his pants when taking on epochal events is unlikely to come up with a compelling or enduring work scotts napoleon is one such result
Jan 21 2024,negative, who was it that said history was just one damn thing after another this is what sir ridley scotts epic napoleon 2023 feels like when not focused on the electrifying performance of joaquin phoenix as the diminutive great man himself and his passionate playful volatile relationship with his lover and wife and exwife josephine  beautifully portrayed by an entirely miscast vanessa kirby  for starters josephine was six years bonapartes senior phoenix is 14 years older than kirby and while that bit of information in itself maybe would not mean much now socially it would be a significant hurdle in the period of history depicted as well as in the troubles that led to the dissolution of the pairs marriage  the inability of josephine to conceive an heir to the throne and salvage napoleons lineage from oblivion she already had children from a previous marriage  the psychological mechanics of the relationship as well as the power games of the duo also would have been well informed by this particular nugget of age seniority of the empress as well as her calculating yet quite nourishing approach to handling the mesmerised lustful advances of the lovesick bonaparte she was also a downtrodden sophisticated womanoftheworld to the socially awkward victorious arriviste and more of that dynamic would have meant a better grasp of napoleons historically documented obsession then again the actor himself is perhaps too old for the role yet is perfectly cast for it he acts as if he were the younger person in the couple  and thus upholds the illusion in phoenix finally there seems to have been a significant breakthrough in the portrayal of the military genius in comparison to all the performances that preceded the ones which i have seen there is such a strategic ferocity behind the way he moves within a space a kinetic immediacy assessing all its weaknesses finding ways to resolve the problem of conquering an area in an entirely mathematical way his significant lack of consideration regarding the means necessary to achieve that end yet an efficiency and expediency of his actions all traits of someone at the pinnacle of military acumen as are the reasons why he was truly admired by his troops and even by enemy soldiers see the aftermath of waterloo  equally his overt disdain towards anyone lacking combat abilities is as palpable as anything aimed most towards whom he perceives as undeserving examples of the aristocratic class what we gauge about bonaparte from scotts napoleon is that he was perhaps a man of extreme violence but never someone that would downplay and undermine true merit even his ironic and mischievous approach to emperorship seems entirely plausible when we are presented with a closeup of pheonixs face while plotting an ingenious attack  we believe him and this brings us nearer to an understanding who napoleon was at the core of things there is nothing about the performance that is posturing and selfreferential it comes from a place of prolonged understanding almost a haunting an invocation of the doomed french emperor as if the spirit of the man had been resurrected by some form of cinematic magic for the purposes napoleonic apologia however other than the redhot focus at the character of the central figure of scotts lengthy production and his singular passions all else in it is merely an opulent display in high cinematic skill by frequent collaborator cinematographer dariusz wolski  but there is not much heart and soul put into the drama of it the battle scenes although meticulously choreographed seem too anecdotal and procedural ie one damn thing after another all except two  napoleons advance on moscow his shock at seeing the city in selfinflicted flames and the part in the battle of austerlitz where an entire army seems to disappear into the ice this is because these scenes had what the others of the ilk lacked  a depth of emotional involvement in warfare one perfect shot telling us so much else we needed to know a talent scott masterfully displayed throughout gladiator 2000 even if it was a strategic choice on scotts part  portraying a mans day job war and messianic tendencies empire as only a backdrop to the personal while spending all available dramatic energy on bonapartes character and his desire for josephine it still backfired offering the public a spectacle when in fact you are telling an intimate love story sometimes does
Jan 10 2024,negative, ridley scott movies always feel like capitale events because theyre always about big things case in point napoleon now streaming on vod outlets like prime video of course he wasnt a big thing per se the french ruler being a little you know untall on one end but big things isnt intended to be a literal description this period biopic reunites scott with his gladiator star joaquin phoenix who plays monsieur bonaparte as a deep deep weirdo who happens to be a genius military strategist  and also possibly the worst sexhaver in the history of having sex in the interest of giving some focus to the story of a notorious historical figure who did a hell of a lot of conquering and political coupdetating the film frames the napoleon saga within his relationship with his wife josephine played by vanessa kirby notably scott was criticized for taking some liberties with history pushing back with a flimsy were you actually there defense when he couldve explained to all the pedants that this is a movie made with writers and actors and cgi and artificial lighting and other things that render it fundamentally inaccurate and therefore lends itself to taking creative license in pursuit of something you might call historical fiction now if only scott was making a passionate defense of a movie that deserved it the gist well cover a couple of decades give or take a couple years of napoleons phoenix life here starting with his witnessing the public beheading of marie antoinette in 1793 then going all the way to waterloo in 1815 he starts his pretty good run of gross imperialism during the siege of toulon leading the frenchs successful assault on the british navy during which napoleons life is saved when his horse rears up and catches a cannonball that wouldve changed the living shit out of the course of history  for better or worse im not sure because this movie isnt particularly interested in making anything particularly clear whether its character motivation detailed depictions of events or any implications spinning out of those two components anyway napoleons victory earns him the title of general which leads to him playing a part in ending the reign of terror  his soldiers fire cannons directly into a batch of significantly less heavily armed civilian rebels  and therefore becoming one of the countrys key political leaders at this point we learn that napoleon is far better at commandeering troops than speaking to other human beings in a social setting he walks into a party and gives off serious nerdtrovert wallflower vibes but his reputation precedes him enough that the widow josephine kirby is compelled to approach him and ask him why hes leering at her like a creep they have a couple of dates followed by this exchange between josephine and a friend do you find him without appeal the friend asks no then perhaps that is enough sounds like love in its purest form and so the lovely josephine perhaps a social climber or maybe someone seeking security for her children or perhaps enamored by men who look like the jack of diamonds from a deck of cards that have seen a few too many fiery hands of whist marries napoleon after which they retire to the marital bed so he may unleash his randy inner beast most likely a cokedup jackrabbit or any type of ugly rodent while she rolls her eyes wrinkles her nose a little and does whatever people did with their brains before they could passively scroll through instagram from here were supposed to believe that all the wild ups and downs of their marriage are the passionate emotional framework for napoleons career as tiny emperor of france and conqueror of territories he gets in trouble for leaving the scene of his overtaking of egypt  cue the firing of cannonballs into the great pyramid of giza which the pedants will point out never really happened and to which scott essentially replied hey it looks cool though  so he can go home and chastise josephine for taking a lover on the side a fact that gets splashed across all the newspapers and yet josephine and king cuck stay together because the screenplay seems to insist upon their being forever bonded to each other like one thing superglued to another thing even though we never really understand why their loveglue is so sticky in the first place  anyway they really hit the rocks when the fruit juice of napoleons stubby loins fails to produce an heir something that was very important for 19thcentury emperors theres the possibility that josephine is unable to conceive but its more fun to ridicule his ass this starts a big marital battle which if you stretch it a little is mirrored by napoleons battle against the allied austrianrussian forces since josephine and napoleon love each other but cant make it work just like napoleon thinks he has a good thing going with the russian tsar until he doesnt and the movie goes on like this for a bit with their marriage going south as napoleon sends his troops out to massacre and be massacred and he does it all for her or maybe because of her i think sort of almost what movies will it remind you of scott has only directed a handful of this type of battle epic  exodus gods and kings kingdom of heaven robin hood maybe gladiator  but it seems like so many more because each is really really long andor have even longer directors cuts performance worth watching my longheld assertion that phoenix is worth watching in anything is put to the test with napoleon he seems either miscast or unable to find the key to the characters charisma and drive phoenix flashes with brilliance  its inevitable with an actor of his caliber  and hes fascinatingly unpredictable at times but the performance ultimately reflects the films overall lack of coherence memorable dialogue im not built like other men im not subject to petty insecurity says napoleon who later bleats to a british ambassador like a petulant boy you think youre so great because you have boats sex and skin not much skin but there are a couple of amusing sex scenes that illustrate napoleons to put it gently marked lack of bedroom savvy to reference another scott film see also matt damon in the last duel  our take napoleon is one of scotts many impressive mediocrities another expensive and ambitious endeavor that doesnt live up to the potential of its considerable talent in front of and behind the camera it feels either rushed or underwritten or overedited or all of the above its narrative crux is supposed to be the strange and beguiling mismatched romance between jospehine and napoleon  shes lovely and elegant hes uh stubby and kisses her like a chihuahua attacking a dropped ice cream cone  but it seems as if the scenes that are supposed to convince us of their eternal passion have been hastily excised in order to put greater emphasis on the battle sequences mind you theyre pretty goodlooking battle sequences expertly staged and executed although they lack dramatic consequence because the screenplay gracelessly hopscotches from one set piece to the next and never establishes any rooting stakes in the conflict on second thought we dont need rooting stakes rather scott should be cultivating our fascination and curiosity with the ethics of imperialism and what drives men to quest for power  food for thought that never finds its footing in a mushy narrative that lacks clarity and detail and has no flow tonally its flat and unengaging leaving us uncertain whether we should be taking it seriously or reading phoenixs simpering interpretation of napoleon as satire phoenix inspires some laughter at times  destiny has brought me this lamb chop is how napoleon punctuates one verbal scrap with josephine  but is it intentional should we take this guy seriously or is this characterization along the lines of a looney tunes portrayal of hitler from the 1940s we expect phoenix to give a gobigorgohome performance and he upends that expectation with an understated turn that feels flat and uninspired subtle without the depth of writing to bolster it would napoleon rather be rolling his cannons through russia or back home in jospehines arms its a mystery not to be solved here theres talk of scott releasing a fourhour directors cut that might salvage napoleon but as it stands this 158minute version is disappointingly incoherent
Jan 4 2024,positive,scott makes no apologies for napoleon and never treats him as some hero for france napoleon succeeds at presenting the insecurities of this mans life for audiences who may be unaware of french history i just wish it was narrower in its scope
Jan 1 2024,positive,joaquin phoenixs blustering performance conquers as napoleon
