Dates,Scores,Reviews
Apr 5 2024,negative,wow this was boring they took the original and made it even less exciting and driven this was not an improvement it was not scary or interesting at any point
Apr 5 2024,negative,if you havent seen the original omen its fine but if you have its a dreadful boring watch
Mar 5 2024,negative,contrived to the point of boring it is painful to see a character with so many pitfalls that they become unrelatable mess the fact the film presents its plot as a series of shocking revelations is hilarious considering the predictability
Oct 31 2023,positive,a competent retelling of the original film some scenes are very similar but the story firmly plants itself in a more modern setting fairly well done and quite enjoyable if youre a damien fan
Oct 30 2023,positive,i dont understand all the negative reviews production is well done supporting acting by thewlis postlewaite and farrow is especially good the kid playing damien is a little devil creepy flick
Oct 17 2023,negative,this is the kind of remake that makes people hate the notion of remakes boring miscast far too clean visually and lacking any kind of new or original input similar to the 1998 psycho this version does very little in the way of meriting its existence
Sep 3 2023,positive,better paced than the og stunning visuals damien wasnt as good as in the og but thats alr bc hes sillier more character depth for katy more character depth for keith the scene before his death is actually about him and we as the audience have a larger emotional reaction which helps us understand roberts sudden change of choice regarding damien
Aug 3 2023,positive,in my opinion it was quite a good film however some parts were poorly edited and looked highly unrealistic the jump scares were good plot of the movie was incredible the acting was ashtonishingly good i came to write a review because i was extremely disappointed with the ending i expected it to end so much differently than it did and it wasnt just bad because it wasnt what i expected the film finished like as though it was a discarded project and was just finished as quickly as possible super good film would definitely recommend watching however if you are experienced with horror films you will find a lot of the movie is very predictable and before an event happens you will know what is about to happen
May 18 2023,negative,absolutely terrible and unnecessary the real sacrilege here is the fac that this was remade at all at least use the original score fail
May 5 2023,negative,painful ending wasnt what i expected but the poor acting didnt help an already troubled story
Feb 25 2023,positive,one of the most chilling movies ive seen even the reboot does justice
Jan 28 2023,positive,a notefornote remake that unlike gus van zants remake of psycho absolutely blows the doors off the original every single performance schrieber and thewlis throw the wooden performances of peck and remick and warner to the curb even the kid is scarily better so much better than the original the cast toptobottom is simply head and shoulders above the original 
Sep 27 2022,neutral,wasnt terrible i found it entertaining almost a complete 11 of the original i just feel the original added a tad bit more the overall story
Sep 26 2022,positive,dont understand the negative reviews i was on the edge of my seat the entire time this movie is very dark performances by the cast were great film raises a thought provoking question would you kill a child if he was the antichrist would you kill your own child if he was the antichrist
Sep 16 2022,negative,this is a slick remake of something that didnt need to be remade it doesnt add much besides style and suffers from the same problems of the original what i wrote about that earlier film applies to this its essentially about a group of adults plotting to murder a child in the growing conviction that the child is the antichrist furthermore the wouldbe childkilling adults are the heroes of the piece these good guys are following the logic of a belief system that includes an omnipotent being who presumably approves of the proposed infanticide and could personally zap the kid out of existence with no effort but prefers to watch human minions running around like headless chickens failing to do the job on the other hand if the omnipotent being doesnt approve of the murder and the rise of the antichrist is destined to happen no matter what then the entire plot is as pointless as remaking the omen in the first place this story unintentionally has me rooting for the bad guy over the bungling fanatics trying to stop him  these holy minions who ought to tell their supernatural and allpowerful boss if you want a child murdered do it yourself and leave us out of it this kid is the son of the devil who you decided to create and who could also kill with no effort this is a mess entirely of your making so maybe youd want to lift a single finger for once and deal with the poor taste of evil kid must die movies in general and the fact that the story is one big theological plot hole undermines any technical competence this or the film on which its based may demonstrate
Aug 21 2022,positive,i love cast liev schreiber and julia styles but i wish they did not wash rinse repeat but this movie is better than the poltergeist remake and it is shot really well but overall i would give this movie a b
Aug 1 2022,negative,so not worth the 01 hour and 50 minutes ever filmed horrorstyle
Apr 28 2022,positive,it sure did scare as a boy oh wait i think that was the remake i cant keep track of what i watch anymore talk about overstuffed oreo cookies on sale only 999 buy now commercials advertising products constantly is exhausting i have consume fatigue i think im gonna live in a remote cabin in montana to get some peace and solace hey guys remember rembrandt paintings and the solar eclipse summer solstice once a millennium
Apr 8 2022,negative,what were they thinking
Oct 31 2021,negative,it was overwhelmingly mediocre the only character i actually liked was keith because he was the only one with any sense of urgency that also was willing to be proactive it was hard to see any chemistry between the main couple and the fact that the antichrist only actually killed his nanny directly was a little underwhelming when compared to the warner armageddon its hard to believe that the boy is the devil evil for sure but not the devil
Oct 15 2021,negative,the screenwriter of the original david seltzer puzzles me with his decision to keep everything the same except for a few jumpscare dream sequences that are slightly visually striking the promising cast and director are sorely wasting their talents on this slick but vapid thriller
Oct 11 2021,negative,why some filmmakers never learn that if there are no silenced you do not notice the noise where the original had a slow build to a climax this movie begins with a giant telescope in the vatican id that part of the your schriever cant act
Sep 25 2021,positive,i dont really understand the hatred of remakes that simply take an existing movie but give it the audiovisual presentation that the makers of the original only wish they had  yes it can be frustrating when the thematic elements could have been deeper than before and the remake opts out of doing this and with the omen this is certainly the case as it literally involves god and the devil as well as an atheist learning that the religion he dismissed was actually real as an atheist i actually find the whole atheist discovered that religion is real type of story when welldone to be very engaging  but this version of the omen looks and sounds quite great and for that i give it massive props  if youve ever been interested in the omen but never saw it go ahead and watch this version  its essentially the exact same movie but updated technologically and in many ways that could make it arguably superiorits just the safest of approaches  its not quite as copypaste as the psycho remake but not exactly up there with halloween or total recall either whatever one has to say about those remakes theyre just the same cannot be said  thats my point
Sep 16 2021,neutral,the remake of the original film really doesnt have much new to offer besides being set in the mid2000s
Sep 9 2021,positive,the one thing i remember about this movie when it came out is how heavily they marketed releasing the movie on june 6 2006 im sure they rushed to hit that date it feels like a movie like this is at a disadvantage from the start those who know the original will never stop comparing it and will never let it be its own work and for those with no ties to the original i dont know that this premise plays as well in the early 2000s as it did 30 years before satanic panic was no longer as rampant as it once was regardless i still think it was a good run at the story casting was decent and they modernized it in ways that still attempted to preserve the story im not sure what they could have done better
Apr 12 2021,negative,please take the time to google the word basura
Dec 1 2020,negative,terrible boring long horror movie starring liev shriver and some random girl this is another forgettable horror remake that i will never recommend what the flip hollywood make better movies
Dec 1 2020,negative,terrible boring long horror movie starring liev shriver and some random girl this is another forgettable horror remake that i will never recommend what the flip hollywood make better movies
Nov 8 2020,negative,this movie is so unbelievably bad and slow that you dont feel anything but wonders whats gonna happen next     the following 2 paragraphs contains spoiler    now we have a journalist who cant stop taking photos of a priest and that nonstop shutter likeare you in love with the priest or something in one scene the journalist washes the films showing you its a filmbased camera on the next hes examining it on his computer despite taking a photo in bright daylight the photo taken has so much noise this is abysmall whats the director thinking    then comes all the classic cliche of mysterious priest man who speaks something unclear instead of just speaking clearly whats going on then the mysterious child that the mother fears so much its as if the mother herself isnt normal in the first place why cant the writer think from a normal family view point then work on how weird the child is its almost like the child is adopted and is weird not like the parents raise him from a baby     spoiler ends    this movie is so bad that i have to really write a review on rt never done this before
Oct 22 2020,neutral, i admire this remake for its ambition but damnliev shrieber is too bland in the lead role here
May 1 2020,negative,the worst horror remake and dont even bother watched this garbage remake
Oct 28 2019,positive,dont know about everybody else but i think this movie aint too bad its creepy suspenseful and julia and leiv do a pretty good job 
Aug 9 2019,negative,forced story sometimes the visual effects are kind of cheap bad or even awful physics when father brennan runs under the rain the lightning striking on the fence makes no thunder and never affects him at all big plot holes very abundant for example they never tell us who are the ones that stole and killed roberts son or what evil cult is it in case theyre of course mrs baylock and father spiletto and other hypothetic people we never get to know that and i would have been great if they made it clear the movie bases a lot on what we call jump scares trying to scare us by sudden visual changes or scary sounds instead of keeping the suspense and scare us with some good quality idea
Jan 12 2019,negative,a poor imitation of a great original
Nov 20 2018,negative,totally unnecessary and extremely inferior remake of the scary 1976 classic this version is not scary it is badly put together and uninteresting
