Dates,Scores,Reviews
Mar 28 2024,positive,this was such a beautiful love story anne and jim were perfectly cast and their chemistry and dynamic were spot on i absolutely loved them as the leads i did not read the book but this movie will have me read it i dont understand the tepid response but often the book to screen translation can leave readers feeling shorted i personally love a nontraditional romance this one feels very real in how it developed in my opinion this movie is one of my favorites as a simple beautiful reminder of the preciousness of time but also how timing is often more powerful and incontrollable even with soulmates
Mar 10 2024,negative,i loved the series especially the short half hour episodes but it was too sad for me i wanted a happy ending for them a baby etc  left me feeling really dowwn after finishing it
Mar 1 2024,negative,i actually liked it up until the very end just doesnt make sense
Feb 11 2024,negative,its not bad but very rushed its one of those books that doesnt work as a movie but as a series
Jul 25 2023,positive,really good movie with a great story one of my all time favorites right mix of love emotion and comedy
May 16 2023,positive,the movie is entertaining but as the years go by you see that the reason they put them without being together until the last few years but it hurts more in the final part for both protagonists her in his absence and for him suffering for everything that it happened to her but remembering the best years with her but she leaves us a lesson for life that maybe they will put us like this
Feb 27 2023,positive,in my case this is one of the movies where the imdb and rotten tomatoes had the lowest rating but after watching it it was one of the best romantic movies till date i have watched
Dec 9 2022,positive,traumatic film but you will connect with this more if you are in the mood to watch a conversational drama it will feel like true pain and true love at the same time
Dec 1 2022,negative,for me one day lasted all week until there was finally some genuine conflict towards the end hathaway has a terrible accent throughout and sturgess is just kinda a whiny brat the whole time instead of growing up their friendship turned romance isnt convincing
Jul 22 2022,negative,i love watching anne hathaway but this is one of the worst romantic movies i have ever seen predictable storyline from start to finish and all the drama could easily have been avoided if one of the main characters had made a logical decision at any point in time the only reason i didnt give it one star is that anne hathaway still managed to give me a hard on
Apr 18 2022,negative,for a romantic film there was near no romance it played out more like a very mediocre drama
Apr 11 2022,positive,annual snapshots of two parallel lives how things turn out that could have turned out differently a realistic movie
Jan 4 2022,positive,i love this movie  it is one i like to rewatch
Oct 10 2021,negative,love anne hathaway but she couldnt carry this stinker
Jul 7 2021,positive,episodic and choppy but full of little surprises and a surprising real connection between the two leads anne hathaway is excellent and jim sturgess a good faux hugh grant the ending is not so credible so perhaps this should really be 35 stars but nevertheless this is definitely worth watching when you need a little escape
