Dates,Scores,Reviews
Feb 15 2024,positive, 15 years since david nicholls book became a mega hit and 13 years since the less great film version were now treated to televisual epic of an adaptation in a move closer to the book each episode focuses on one of the chapters  one day in the lives of emma ambika mod and dexter leo woodall over the course of two decades a bittersweet exploration of love loss and longing  the story of a community of women in 1980s postpunk london who met doing art music politics and sex and how they went on to change their world by becoming artists performers musicians and activists so bloody badass  theres nothing to be gained from be clanging in on the current state of mcu enough  more qualified  voices have done that all i will say is that the marvels deserved more love than it got and is one of the more accessible you dont need to have watched allany of the other films to enjoy this science fiction romp following three super women brie larson teyonah parris and iman vellani as they team up to save the universe  while caring for her brother along with her audacious mother laura linney a teenager nico parker strikes up a friendship with an eccentric activist woody harrelson who is protesting one of the most landmark medical cases of all time a really charming comingofage story made all the more heartrendering considering this is writerdirector laura chinns fictional account of her life in the early 2000s as a florida teen with a severely ill older brother arriving to prime video with a rotten tomatoes rating of 74 freshness an infuriatingly and unjustly infrequent high score for a 21st century romcom should suggest to you that this is one to check out asap when ana camila mendes is upgraded to first class on a work trip she meets handsome will archie renaux who mistakes her for her boss marisa tomei the white lie that sets off a glamorous chain of events romance and opportunity until her fib threatens to surface
Feb 14 2024,positive,lone scherfig navigates the ebb and flow of dexter and emmas relationship with a sure hand 
Oct 27 2020,negative,unfortunately the end result is a halfbaked virtually humourless romantic muddle that doesnt do the muchloved book justice
Sep 18 2020,negative,anne hathaway is uneven overwrought and frequently butchers the british accent as emma
Jan 28 2019,negative, july 15 1988  after a meet cute on the night of their college graduation emma and dexter begin a lifelong friendship spanning over two decades and different countries emma anne hathaway is a middleclass bookish with a more realistic and at times pessimistic outlook on life  dexter jim sturgess is a charmer from a wealthy family who could be anything he wants to be  every july 15 were shown snapshots of their lives  aspiration career love loss divorce death  together and apart hathaway fits the role of emma although it takes getting used to her british accent  while we get to see dexters side with his family we do not get the same benefit with emma  with booze and drugs and women the character of dexter isnt likeable it is to sturgess fine performance and boyish charm that hes very much tolerable while emmas fashion sense and inner confidence blossom its actually dexter that we see the evolution the most the weary older dexter in the later part of 2000s is a world apart from the freshfaced eager dex when he first appears there are adorable and tearjerker moments for sure  the first july 15 carries great promise of whats to come  although when part of the ending reveals the last half of their first day together its hard to believe that they would decide to remain just friends  the flirtatious french jaunt earlier in the years is fun and the later reunion an emotional one based on a novel written by david nicholls the story does not translate well onto the screen  as the years progress we see changes in emma and dexter and their surroundings but it feels like the scenes are merely events moving along through the motion in attempt to fit in as many years as possible the result is almost like being read narratives about what they do  instead of delving deeper into certain segments of their lives investing in the characters and connecting more with their relationships in the process the film inexplicably leaves pivotal milestones offscreen the execution makes it nearly devoid of what makes a story interesting the buildup character and relationship development and payoff  the last third act leading to the ending is very anticlimatic  and the ending appears to be out of nowhere aiming for a shock value  its a shame for a story that has so much potentials to be a classic like the notebook nathalia aryani is a rotten tomatoesapproved film critic rottentomatoescomcriticnathaliaaryani  she has a movie blog the moviemaven sdmoviemavenblogspotcom  twitter themoviemaven she can be reached at email protected currently you have javascript disabled in order to post comments please make sure javascript and cookies are enabled and reload the page click here for instructions on how to enable javascript in your browser
Jan 8 2019,neutral, its a common cliche of both romantic comedies and romantic dramas the one youre meant to be with might be the friend youve taken for granted all along unfortunately thats not the only wellworn trope used in one day though it is indeed a rare film one made by a talented director and clever writer with two beguiling actors that isnt particularly engaging emma anne hathaway and dexter jim sturgess spend their first day together on july 15 1988 the two brits graduated the day before from the university of edinburgh and after an evening of drinking with friends go home together a clumsy attempt at going to bed follows and the pair decide to be just friends but relations between a man and a woman are rarely that uncomplicated  especially when one begins the friendship with feelings for the other   its easy to see why emma falls in love dexter  and the man who plays him  is incredibly charming at first with an easy confidence that still allows him to poke fun at his privilege but it doesnt last as dexter succumbs to the drugs and girls that come with fame he gets more and more obnoxious by the time it appears that these two might finally get together  after a marriage a childbirth and a divorce  you cant possibly understand why shed still want to   its not the fault of sturgess or hathaway who are as appealing as ever were meant to see emma and dexter as opposites who attract yet we learn nothing about emmas family or formative years we just know from the odd joke that her people dont have as much money as dexters these characters lack depth which makes it hard to credit their transformation   screenwriter david nicholls adapting his own novel also wrote the likable comedy starter for ten director lone scherfig made the intelligent drama an education lets hope one day is just a single aberration in two capable careers 
Nov 15 2018,positive, film critics can be such heartless bastards at times ive read many assassinations of one day 2011 in the last 24hours and although i expected lots of whining and overintellectualised prose i was hoping lone scherfigs follow up to an education 2009 would have gained more favourable reviewsi have one simple rule when it comes to critiquing other peoples work if you make me cry then you have achieved something remarkable laughs are tenapenny and thoughtprovocation is no great shakes but if you can stirup someones emotions and get the tears flowing freely then your creation is worth a damn for the last 20minutes of one day i was a weeping wreck some reviewers have expressed anger and claimed they felt manipulated into caring about the protagonists but i find that perspective ridiculous all good cinema manipulates the emotions and its snobbish and pompous to slate a film  just because its not a masterpiece of acting and direction based on david nicholls bestseller one day is the tale of emma anne hathaway and dexter jim sturgess two students that spend the night together after their college graduation and become friends each year on the same date for the next twenty years we revisit dexter and emma to see where they are in their respective lives sometimes they are together on that day and sometimes they are not cue lots of heartache broken relationships life lessons and longing looks essentially one day is your standard hollywood romance for the thirtysomething generation the soundtrack of the film is the soundtrack of my youth with everything from primal scream tears for fears and tricky making a welcome appearance anne hathaways accent is somewhere between jane horrocks and the resident of an obscure irish village but shes pretty solid and once again stakes her claim to being one of the most endearing and watchable actresses around jim sturgess has never really impressed for me but he does show glimpses that he is capable of more though many will find his character to be a little too odious to care about give the man a chance and im sure he will win you round the pacing of one day is sadly not what it could be some years get more screentime than others and those that dealt with dexters fame and substance issues could have been fleshed out as for the couples chemistry i found the relationship to be totally believable but i can appreciate that there are those who wont buy it i recognised my own experiences and romantic history on screen and i have no doubt that is why i became so emotionally invested but for me that is another sign of greatness lone scherfig is doing little more than using the characters as a mirror to the audience if youve ever been in love then your mind will drift to that person which creates a powerful cocktail of real and onscreen sentiment all great love stories have that power the likes of ghost 1990 and the notebook 2004 will never be at the top of any greatest films of all time list but they will be watched and rewatched for decades to come because people like to be reminded that romance isnt yet dead one day will be playing in living rooms to the sound of sniffles and crumpled chocolate wrappers for many years to come and that for me is worth applauding
Feb 28 2013,positive, for everyone whos grown tired of the summer onslaught of superheroes savetheworld plots and explosions hollywood finally offers some decent counterprogramming in the form of the brainy romance one day based on the novel of the same name by british writer david nicholls and adapted by the author the film introduces us to two people in their early 20s who are about to spend july 15 1988  the night and day after their university graduation  together bookish emma anne hathaway possesses a caustic wit that masks a deep insecurity as well as a schoolgirl crush on rich boy dexter jim sturgess who radiates selfconfidence and the surety that hes going places in life because no ones ever told him no she wants to be a writer and he wants to be famous the two forge a connection despite their many differences and thus begins a close and often times combative friendship that flirts with true love from there on the movie looks in on emma and dexter on every subsequent july 15 from 1989 through to the present day taking us through 20 years of july 15ths  st swithins day in england offering a series of snapshot portraits of two often separate lives from young adulthood to early middle age we see emma grow in confidence just as dexs selfesteem takes a hit with the failing health of his mother the radiant patricia clarkson and his fading television career from year to year we also get to observe how their life and relationship choices both sensible and foolish leave lasting impressions on each of them and inform their bond with one another as july 15 becomes the most important day in both their lives danishborn director lone scherfig has tread these waters before namely with her spoton portrayal of keening adolescent love in 2009s oscarnominated an education with one day she continues her track record of sure and insightful direction by including accent notes in the story that quietly release the pentup power of a relationship that grows and strengthens over time without relying on typical hollywood histrionics or rainsoaked declarations of love this is a movie about a life that happens while youre busy making other plans and even despite the starcrossed lovers undertones the central relationship feels surprisingly real hathaway and sturgess have an undeniably lovely chemistry both as friends and lovers and despite the fact that hathaways accent takes a tour across the british isles they both do well with the material infusing their realistically flawed characters with charm and relatability the supporting cast is also a treat to watch clarkson plays dexs doting mother with grace and humour while romola garai atonement and rafe spall shaun of the dead take on the thankless roles of the significant others that are not meant to be and elevate the limited screen time theyre given on the downside some may find the rapid passage of time and frequent scene changes jarring and too quick to really settle in with the characters on a truly deep level checking in with emma and dex just once a year could have easily been a momentum killer and yes occasionally certain scenes will leave you wanting a just little bit more ultimately though the gimmick works because the actors sell it they will you to believe in them and in emma and dexs troubled yet transformative relationship  its a simple story that feels like a sweeping romance and thats enough to make one day well worth two hours at the cinema this weekend
Jan 14 2013,neutral, not a lot of love affairs real or cinematic can have it said of them that they end better than they begin  but one day ends with a heartfelt flourish that was sorely missing from its first 90 minutes this episodic romance works in fits and starts and captures a bittersweet faux british turn by anne hathaway plainly mismatched in being paired with reallife brit jim sturgess the conceit in novelistscreenwriter david nicholls tale  two friends drunkenly tumble into bed on the night of their graduation from college but nothing happens  so they say hes game then shes game then he isnt so they talk instead since they are both brits they note the date  july 15  saint  swithuns day  the book and film catch up with them over the years as they catch up with each other on saint swithuns day emma hathaway settles into a waitress job at a mexican restaurant resisting the overtures of the clumsy wouldbecomic ian rafe spall dex sturgess takes on the guise of the one that got away and who keeps getting away he travels he lands tv host jobs and over the course of the next 18 years they dosido around the idea that they should be together he flails about through fame then infamy shallow affairs and addictions and she settles  letting her low selfesteem hem her into a life of quiet doeeyed desperation the banter is pleasant enough but theres a funereal air hanging over the wouldbe affair her routine settles in  head home cupo tea weep hes meant to build her up save her you cant throw away your life just because you think its funny but theres just no magic in any of this for a movie seemingly designed to have this wistful romantic arc to it one day never quite reaches that opening meet cute moment she reads the popular novels of the day unbearable lightness of being at one point and he pleads with her to be spontaneous never once suggesting that hes the sort of chap shed want to be spontaneous with hathaway is an old hand at british accents and is convincingly demure uptight and english patricia clarkson playing dexs mom doesnt have to play the first two and fails at the third  a rare offkey offaccent performance for her its a frustrating film never light enough on its feet to be cute never heartfelt enough to achieve you had me at hello lone scherfig an education cant find the pulse of this story the romance its a british adult version of flipped in which the guy doesnt seem selfaware enough to realize in any decent interval of time how special the girl is and how he should stop letting her down dex and emma have their ups and downs but its never obvious why she carries a torch for this guy after shes aged out of her girlish hes so handsome attraction that results in a romance that is wistful halfhearted and melancholy a love affair without the spark that ignites such love affairs and if we cant root for the couple what is the point of the couple
Sep 28 2012,negative,  in the positives column rafe spall is a great addition as luckless comedian ian managing  the tricky task of making some who isnt funny appear funny and ken stott brings the required gravitas as dexters dad how he landed patricia clarkson as a wife is a gag that translates well from page to screen there are a number of wonderful character moments not from the book that raise a smile emmas awkward cartwheel on the beach dexters cringeworthy interview with a bunch of rappers tilly killicks karaoke but one day is largely a faithful and surprisefree adaptation of the source material  surprise free apart from that bit obviously which is just as gutwrenching and completely fucking horrible as you expect  but then im coming preloaded with 20 years worth of backstory which i shouldnt let affect my judgement hathaway and sturgess obviously enjoy an easy chemistry and the timeskipping format does at least keep the pace zippy albeit at the cost of some of the more characterbuilding moments dexters letters emmas school affair etc determined to get another point of view i texted a friend who also saw one day and asked her what she thought her response was as follows   well there you have it it wasnt just me maybe two stars is stingy add a star if you havent already read the book but then you could just read the book yeah definitely do that but dont say i didnt warn you 
