Dates,Scores,Reviews
Apr 14 2024,negative,so dumb bad acting predictable dumb like really dumb
Apr 14 2024,positive,it is an obvious seven samurai sci fi ripoff seven samurai is an be if my all time favorites  and this movie does it justice the visual effects are outstanding and the creatures are some of the best ever i am very pleased that i turned this on
Apr 13 2024,negative,characters are too dulltoo many unnecessary scenes that tried to look cool no chemistry among the rebels with all the scifi movies and series being released recently this one seems outdated in terms of themes and direction 10 year old kids would love this though
Apr 13 2024,negative,another star wars imitation gone wrong  when the girl brought the bird back to life i just had to laugh what the flip is this 
Apr 10 2024,negative,one of the worst movies ive ever wasted time watching comical how bad this was
Apr 10 2024,negative,visually its a very impressive film lots of great scifi action sequences and the slowmo fight scenes are pretty fun to watch however the overall story feels pretty generic and bland the main characters literally just go on a fetchquest for bunch of people that theyve heard of who can help them on their journey watch as they demonstrate some kind of badass ability or fight and then they join the group thats pretty much it up to the end fight against the main villain which was also pretty underwhelming while it has its fun moments overall it falls pretty flat lets hope part 2 coming up soon expands the story and makes up for the lack of substance in part 1
Apr 9 2024,positive,im impressed with the bad reviewsi loves this series i thing was amazing
Apr 8 2024,positive,everything star wars still wishes it was absolutely brilliant movie
Apr 7 2024,positive,this movie was great  not perfect but great  funny expansive world building familiar but not a duplicate  it was funremember when movies were sometimes just entertaining and fun  when everything did not have to be a shakesperean or orwellian masterpiece and it could just be loud and entertaining and scary and funny and diverting and funwell it was
Apr 7 2024,positive,i really enjoyed the show nd cant wait for part 2
Apr 5 2024,negative,it was rushed and had the most generic charachters and the big finale didnt make any sense a dreadnought that literally leveled planets a minute before gets defeated by a guy with a spear
Apr 4 2024,positive,it was nice break from reality which all this type of movie needs to be looking forward to part 2    if youre expecting cinematic greatness go watch citizen kane or ben hur
Apr 4 2024,positive,i knew nothing about this movie before i stumbled on it wow love the story love the perfectly cast characters it is a great action adventure movie not long before i hit pause to google who the director is no surprise ive watched it twice and will watch it again
Apr 3 2024,positive,rebel moon has rich visual storytelling the opening scene with the narrative of an empirical world who destroyed their planet and the tragedy that forced the loss of their monarchy teasing treachery and political intrigue and strife while introducing an indomitably cruel and sadistic minor antagonist who is but a pawn for the final villain antagonist directing things from the shadows is an ominous launching point for the story      the protragonist kora later to be revealed to be a girl in hiding by another name has an intricately complicated relationship with the final villain antagonist which only strengthens the plot surrounding her journey to gather individuals to her cause that could defeat this indomitable foe    her journey however begins on a planet as a simple farmer but we soon learn what she is and her intricate background soon reveals itself in narrative and action as well as her knowledge of how to deal with the newcomers to the planet veldt which to the imminent peril of the inhabitants of veldt is largely ignored     the history of the story at times is spoken in narratives to move the story along but this seems to be due to the time limits placed on the story which sits roughly at 2 hours and 16 minutes it could have been an 8 hour show filling with  expansive descriptive storytelling about the people the universe and the cultures    the actual narratives accompanied by flashbacks are rich with historical significance and recognizable symbolism and has all the action packed nuance of previous zack snyder works with well choreographed fight scenes that move the story in references to previous scenes and expansion of the influence of powers in the universe these action scenes also offer supplemental knowledge to the dialogue revealing strengths weaknesses and experience of characters that help you understand who they are where they came from and why they are there     this first installment is an incredible introduction into a rich and vibrant universe that has the potential to become more than just the story thats told and i look forward to future installments that continue to create a more vibrant painting of a universe its politics and its people who live within it    with incredible performances by sofia boutella star trek beyond the kingsman the secret service  djimon hounsou gladiator guardians of the galaxy a quiet place  part ii ray fisher justice league the piano lesson  anthony hopkins the silence of the lambs the father one life the mask of zorro and many more
Apr 2 2024,negative,when they walked into a bar full of weird aliens and then immediately picked a fight i told my wife that if they walked out with a guy who had a spaceship to take them to the next place then we were turning it off  so  i dont know what actually happened because i had to be true to my word
Apr 2 2024,neutral,its like it was supposed to be a short series with back stories and subplots but instead we just get little episodes of characters that have meaningless background    cool action scenes but a bit over choreographed    setting changes were jarring and haphazard    and the final scene was completely unnecessary    always good to see my boy charlie hunnam
Apr 1 2024,positive,it wasnt as bad as they say but beautiful visually and we shouldnt forget that 2nd part will also come so just wait and watch
Mar 31 2024,negative,rebel moon starts off quite well but then the actors starting acting and things go way down from there theres also the immense issue with cinematography which is all over the place not bringing the characters to lifeand many many parts of the story feel cheap and hollow    i will not be watching part 2
Mar 31 2024,positive,still enjoyed it thoroughly despite faults
Mar 30 2024,positive,action packed top notch special effects zack has done it again
Mar 30 2024,positive,plot is messy acting is okay too many slow take action scenes but its a solid movie
Mar 28 2024,positive,this was entertaining
Mar 28 2024,negative,dreadful this is why the dc universe was buried watch this then watch dune for a real contrast in film making
Mar 25 2024,negative,two hours of not caring
Mar 24 2024,negative,very predictable storyline     too many cliche characters and introductions of characters with a constant use of average fight scenes to build a connection instead of a compelling narrative     cant go 5minutes without something being in slow mo diminishing actual importantcool parts
Mar 23 2024,negative,why do they have electronic doors but do the rest by hand after this guy has this griffin ride i had enough
Mar 21 2024,positive,could be cool well see if a poor rating from most viewers kills this franchise where it started
Mar 21 2024,positive,yes the dialogue is cheesy yes weve seen all the tropes portrayed in this movie before yes the slomo was gratuitous however the story itself was relatively original most shots were beautiful and theres enough familiarity for any scififantasy fan to just lock in and be entertained for a few hours it may not be groundbreaking but its still a good time and worth a watch if you enjoy the genre dont expect to be blown away by any twists or completely original ideas instead enjoy it for what it is a fun movie with some original creature designs and a classic good vs space nazis plot
Mar 20 2024,negative,absolutely abysmal from beginning to end with laughable action scenes card board cut out characters and the plot my 11 year old self would have written
Mar 19 2024,negative,just a meh i didnt really liked the main character
Mar 19 2024,negative,why introduce man taming griffin when it wont even be of use later
Mar 19 2024,negative,honestly considering how much money and effort was obviously poured into this movie it is one of the worst things ive ever watched there are one or two okay action scenes but even those suffer from being overproduced and pointlessly self indulgent i wish theyd get rid of all the slow motion maybe then theyd have enough time for an actual story terrible dreck but if you are a fan of bad movies a la mst3k there is solid material for riffing here reminds me of battlefield earth
Mar 18 2024,negative,this was nothing more than a pretty collection of tropes
Mar 18 2024,positive,solid scifi movie with tons of emotion a good if not tried and true storyline and one that takes itself seriously in a good way
Mar 18 2024,positive,great movie of every movie iv seen so far in my lifetime this movie along with the scott ridleys alien series with prometheus are thee best i wonder why it only has a low rating do people not know what is good and bad all i can say is thank you zack and cant wait to see the 2nd part of rebel moon
Mar 17 2024,positive,i loved the movie and cast and excited for the second one
Mar 17 2024,negative,i just find it boring it just drags on and then teases a part 2 but i dont care enough about the story or the cliché characters to want to sit through a sequel
Mar 17 2024,neutral,the story is borrowed from quite a few different sources so i felt like id seen the movie several times before in some form or another the fight scenes werent very well done the slow motion theyre shot in looked to me as if they were trying to hide how bad they were but eventually made them look worse     i do give kudos to the worldbuilding visuals they were awesome
Mar 16 2024,negative,while it has some good visuals everything else was just off i found myself struggling to pay attention and the overabundance of slowmotion sequences was downright exhausting
Mar 16 2024,negative,this movie was in the same category as the perils of gwendolyn in the land of the yic yak which i saw on the recommendation of a 16 year old video store clerk 35 years ago lolso that makes it the second worst movie i have ever seen i did force myself to finish it
Mar 16 2024,negative,the movie had a good idea but it looks like they couldnt implement their idea even though its visually brilliant and a good idea the plot doesnt stick together the characters are largely flat to sum up it was a waste of time
Mar 16 2024,positive,i really dont understand the hate i agree its not totally original but i was entertained looking forward to seeing the second half and the r rated versions
Mar 16 2024,negative,yet another seven samurai retelling this time as written by an apparent 15 year old who wanted to incorporate every scifi and anime character they ever encountered
Mar 15 2024,negative,i could only manage 25 minutes of this it is so bad it was awful truly terrible pacing was incredibly slow characters were all people i wish they would all kill one another to save me the pain of watching any more i just couldnt take it anymore after 25 minutes thanks but no thanks
Mar 15 2024,neutral,i have no idea why people equate it with a star wars rip off it seemed much more like a chronicle of riddick missed with bad amime like one piece input vin diesel in the main character and boom same thing its visually good but world building was rushed and clearly made to be 3 movies not one that stands on its own
Mar 14 2024,negative,an absolute mess boring and had really bad acting
Mar 14 2024,positive,i really enjoy this film the colors tone and pace excited to see the directors cut and then part 2
Mar 13 2024,positive,seeing as all the reviews seem to be terrible i have to say i am very surprised by that i found the movie to be very good as i am not one to usually watch scifi movies my father turned it on while playing board games and i surprisingly was drawn to it instantly i think the main issue now days is people not being able to understand some movies arent for them and instead of giving feedback of proscons its a constant attack against the director and actorsactresses excited for part two
Mar 13 2024,neutral,some good materials a real potential but it would deserve more screen time to go into details a series format would have been more appropriate
Mar 9 2024,positive,way better than your stupid plastic star wars  seems to be mockery of every bit of scifi movies for the last decade or two
Mar 8 2024,positive,awesome popcorn si fi flick cant wait till next harsh critics can go fly a kite
Mar 7 2024,positive,as someone who had nothing to do with the making of the film i thought it was a fun new adventure something that wasnt already an established franchise like all the garbage that comes out of the disney franchises these days that everybody seems to want to compare everything else to as if there some kind of masterpiece that being said this movie is not immune to some hiccups   but i was entertained swept up into the universe love the cast and the special effects i was away from the worlds problems for a few hours and enjoyed it which is at its core what entertainment is supposed to do i look forward   to part 2
Mar 7 2024,negative,im just not sure why this needed to be made it felt like the plot for a video game from the early 2000s everything felt rather flat and uninspired and there were too many characters and not enough development or performance to make me care about any of them
Mar 7 2024,positive,i really enjoyed watching and am looking forward to the next movie  i like the different angles and direction the director has used
Mar 7 2024,negative,this was trash going in not knowing anything about the movie i actually paused it to see if it was not the result of some kind of high school project the acting was ordinary possibly the result of a poor script and the story was just lazy it was so bad that it inspired me to leave my first ever review
Mar 7 2024,positive,i dont pay much attention to what the critics have to say about any movie i rate my movies based on if i was entertained and i was
