Dates,Scores,Reviews
Feb 29 2024,neutral,in the end rebel moon part one  a child of fire is ridiculous unoriginal and stereotypical but also there is a lot of fun to be had especially if someone can jedi mindtrick you into forgetting you knew anything about star wars
Feb 2 2024,negative, happy february were technically still in winter in minnesota but you wouldnt know it looking at the weather forecast weve had a mild december and just a few frigid days in january but it ended with a recordbreaking temp per mpr yesterday was the warmest jan 31 in 150 years in the twin cities as temp topped out at 55 degrees on wednesday afternoon it broke the previous record of 46 degrees by 9 degrees whoa my hubby and i went out for a walk around a nearby lake in a light jacket and the weird thing was i still saw a few people icefishing in the middle of the frozen lake thats minnesotans for ya i first heard of this film when news came out that peter sarsgaard won best actor at the venice film festival last year somehow his name dropped off the radar come award season which is a shame as his performance was terrific here its a wellacted twohander starring sarsgaard and the alwayswatchable jessica chastain memory is a deeply layered and moving drama about past trauma and finding connection when you least expect it it can be slow and tough to watch at times but well worth your time just for the lead performances alone this was a really cute animated movie with adam sandler bill burr cecily strong whos so funny on snl i miss her the idea of a 74yearold lizard named leo and his turtle friend escaping their florida school terrarium is quite a hoot i was expecting a silly fishoutofwater well a lizardoutofitsterrarium in this case comedy but leo turns out to be quite a gem of a movie about unlikely friendships loyalty and aging gracefully plus there are some life lessons delivered in a fun but endearing way oh just so you know this is an animated musical but the songs are catchy and entertaining i grew up loving cars thanks to my twin brothers and my late brother used to play the gran turismo video game what i didnt realize was that this movie is based on a true story where gamers get to compete in real racing cars thanks to crazy but ingenious ideas by a nissan marketing exec orlando bloom i had just seen archie madekwe in saltburn but he gets to flex his acting chops in a leading role here the movie centers on two underdogs jann the gamer madekwe and a failed former race driver jack david harbour working together to achieve the impossible overall i find it more enjoyable than ferrari and the racing scenes including the crashes are wellstaged it uses cgi in an effective way to showcase the video game elements that enhance its storytelling i was surprised that neill blomkamp directed this i havent liked anything hes done since district 9 in 2009 mélanie laurent directs and stars in this french action comedy the tone is a bit off but manages to still be quite entertaining thanks to exhilarating highoctane action and the fun chemistry of the female cast notably adèle exarchopoulos an incredible true story of australian teenager jessica watson the youngest person ever to sail solo nonstop around the world the subject matter is so fascinating that it deserves a much more compelling movie wish they gave the talented cliff curtis something worthy to do here my goodness where do i start i was curious to see if this is as bad as the critics say well as it turns out theyre spot on this is the most inept boring pointless movie not sure why people even compliment the visuals as its visually garish  ugly apparently the project started out as zack snyders space opera concept pitch to lucasfilm that got rejected well star wars isnt the only thing snyder mined for inspiration the 135minute overlong slog is a chaotic compilation of so many better scifi fantasy franchises lord of the rings avatar magnificent seven kurosawa samurai epics and so on its such a waste of the talented cast with charlie hunnam being the only bright spot the one star is mostly for him but wish he picked a better movie this is by far the worst movie i saw of the entire month probably of the year too i managed to finish two miniseries this month love both of them ive written a review of bodies and will write about lessons in chemistry later this month i highly recommend both of them its time absolutely wellspent per women in film wif organization the basic rules of 52 films by women are simple watch 52 films directed by women within one year and share what you watched on social media using the hashtag 52filmsbywomen to spread the word and get more people talking about the women filmmakers that dont always get attention im starting the year strong with no less than seven movies directedbywomen  woot during the second week of january i watched four femaledirected movies back to back anatomy of a fall origin wingwomen and true spirit then added the other 3 nyad priscilla and silent night in the last week of the month i saw poor things much later than i would have liked but it was well worth the long wait it ends up making up my top 3 of the year beating out oppenheimer its currently my favorite of yorgos lanthimos work though i have yet to see killing of a sacred deer bravo to emma stone for her spectacular performance and for getting her first oscar nom as a producer for me the film of the month is babylon  my only interest in rebel moon is to see jena malone as a spider as that is fuckedup combination of seeing the actress that i love being the thing i fear the most i saw her name in the cast in imdb so i kept looking for her i didnt realize it was her as the big spider man shes too good to be used in that way but that movie wasted the talented cast i do know what you mean though its gotta be weird to see your fave actress playing the thing you fear most im scared of spiders too i still cant believe how warm its been this winter here but i think well get dump with a big snow storm and cold temps soon i hope im wrong but this is mn lol i got about halfway through wingwomen then i turned it off it started out well but the story didnt go anywhere and i lost interest rebel moon was one of the ugliest piece of crap movies ive ever seen i dont know how snyder is still being employed by netflix his other movie army of the dead also looked like shit the only new movie i saw last month was cloud atlas a film that came out over a decade ago i totally missed it when it first came out and realized that i have it on bluray and decided to finally watch it i thought its great but i do remember how divisive it was back in 2012 i watched mostly tv series finished the second season of reacher and the latest season of fargo yeah wingwomen is odd but i kept on watching because i like the french actresses its still waaaay better than rebel moon though that is just the dumbest and ugliest thing ive seen in a long while it ought to win all the razzies ive been watching a lot of french action films on netflix and looked forward to watching wingwomen since the trailer looked it was going to be a fun action thriller but once they arrived in that small town the story just didnt go anywhere and i got bored and turned it off i think the razzies might be even too good for rebel moon i still cant believe snyder got millions of dollars from netflix to make not just one but two rebel moon movies i thought cloud atmas was the best film of the wachowskis since the matrix they havent anything good since then and yes i remember reading your review of it over a decade ago lol yeah melanie laurent is so multitalented its kinda a weird movie but still worth a watch for the cast ohhh yes do see poor things its worth seeing on the big screen film is in my blood love movies of all genres from jane austen to james bond official blogger for the twin cities film fest tcff ive written and produced my first short film  hearts want in 2017 and currently working on developing the full story as a feature film
Feb 1 2024,negative, while rebel moon part one a child of fire  hitting netflix this week after a limited theatrical run and to be followed in april on the streaming service by rebel moon part two the scargiver  also was influenced by the lord of the rings the dirty dozen and more it shares much with the 1977 film now titled star wars episode iv  a new hope theres a malevolent galactic empire lightsaberlike swords a scoundrel pilot a polite robot a bar scuffle and most importantly a messiah figure pulled from an existence as a farmer but while watching this first rebel moon you cant help but wonder if snyders specific idea was to do star wars but without any of the fun snyder  whose credits include 2006s 300 several dc extended universe movies including the muchdiscussed zack snyders justice league in 2021 and army of the dead for netflix later that year  has crafted a grandios but soulless tale that begins with some promise but wears you out over twoplus hours with the violent slowmotion action sequences for which the director is so well known in lieu of an opening crawl snyder gives us narration from the great anthony hopkins who  in a movie boasting character names such as titus nemesis and devra bloodaxe  goes by  jimmy we learn about a king a princess and the motherworld which is using its military the imperium to try to squash a growing resistance a sort of rebel alliance if you will we then meet the good people of a village on the moon veldt who can produce a small surplus of food after harvesting grain for themselves and where a mysterious stranger named kora sofia boutella has been taken in and helps farm the land an imperium warship arrives above the planet and the villagers are visited by a force led by atticus noble ed skrein an officer giving off serious nazi vibes and demanding they produce so much food for the military that they will not have enough left to feed themselves although she initially plans to flee veldt kora quickly runs afoul of military men about to have their way with sam charlotte maggi a sweet young woman soon she and gunnar michiel huisman the flight attendant who oversees the harvest leave to recruit others willing to help them fight the imperium the first recruit is kai charlie hunnam a pilot and selfproclaimed opportunist who takes them to other parts of the galaxy where they pick up swordswoman nemesis doona bae jupiter ascending revolutionary karian bloodaxe justice league alum ray fisher brother of devra cleopatra coleman dopesick bloodaxe footsoldeer milius e duffy the onceregal tarak staz nair supergirl and former military commander titus djimon hounsou a quiet place part ii the building of this fellowship is the meat of this first rebel moon and it is almost wholly uninteresting it is joyless  an adventure that never feels remotely adventurous despite little action pieces such as nemesis fight with harmada jena malone a halfwoman halfspider who has kidnapped a human girl reportedly next year also will see an rrated and extended cut of this film said to be about an hour longer its amazing that a movie that drags as much as child of fire can also feel rushed at least in terms of its storytelling as presently constructed the movies narrative elements feel as though theyre being held together by fraying threads heres hoping that added time will allow for at least some character development as there is very little to be found in this version theres probably no saving the movie but given the screen presence of hunnam triple frontier the gentlemen kai being fleshed out to the point of serving as even a poor mans version of han solo would be something do we even dare to dream snyder could stitch together a bit of a love triangle for kora kai and gunnar probably best we dont boutella 2107s the mummy and atomic blonde is pretty stiff in the lead role but its also surely tough for any actor to shine in a snyder movie where all that stylized action  presented as slowly as possible  is the top priority the best work is turned in by skrein midway even if atticus isnt likely to prove to be a memorable villain he is sufficiently hateable all the same especially in his tensionfilled introduction he works under the littleseen regent belisarius fra fee hawkeye who has a connection to kora and who seems poised for a more significant part in scargiver that also would seem to be the case with jimmy jimmy whos mostly forgotten about after koras altercation on veldt if nothing else zack snyder please give us more anthony hopkins if theres one area where snyder succeeds with rebel moon is worldbuilding sure this universe has some things in common with a galaxy far far away but there are some inventive elements such as one character you meet in the aforementioned cantina
Jan 31 2024,negative, what its about stop us if youve heard this before in a galaxy far away from our own a band of rebels gathers to fight back against militaristic oppressors an empire bent on intergalactic conquest and subjugation these rebels include a farmer a smuggler trying to go straight a former general and various warriors theyre led by a hero with deep ties to the evil regime oh and theres a talking robot if the world of zack snyders rebel moon sounds an awful lot like a star wars castoff thats not only because the justice league filmmaker once pitched it to lucasfilm the finished product set to be unveiled in two parts the first of which subtitled part one  a child of fire is now on netflix as well as a directors cut plays like the bizarro world version of a star wars movie the hero in question named kora sofia boutella has abandoned her life as a highly trained soldier and the adopted daughter of the evil senator balisarius fra fee who now lords over the movies version of the empire called the motherworld kora has traded it all for life in a simple farming community but her idyll gets shattered when balisarius righthand man the sadistic atticus noble ed skrein lands there kills the communitys leader corey stoll and threatens the rest with a violent return unless they compensate him with most of their grain so an interplanetary recruitment trip must begin with kora joined by the farmer gunnar michael huisman on a search for the right collection of resistance fighters cast members also include djimon hounsou charlie hunnam and anthony hopkins who gives voice to the aforementioned robot my say theres nothing fundamentally wrong with pursuing a star warsadjacent project so much of modern scifi today still remains shaped and inspired by that universe but even as snyder attempts to construct a world of his own in rebel moon its so similar that it becomes hard to take seriously on its own terms throw in some of the classic western genre tropes that also inspired george lucas and are about as old as the movies themselves and youre left longing for any number of dozens upon dozens of better options were one able to get past all that theres still the endless exposition to contend with and dialogue that consists in large part of endless droning monologues that have a knack for sapping out any semblance of suspense or tension throw in a good measure of slowmotion action the same stuff snyder has been known for since he directed 300 which came out in 2007 add to it a general aura in which everything feels impossibly overdone with some of the creatures of this universe crossing the line from creative and cool to downright unsettling and you wind up with a picture that feels more like a bad episode of cosplaying than a compelling new vision
Jan 26 2024,negative,in the running for the worst movie of 2023
Jan 17 2024,positive, individuals can make a difference against an oppressive or authoritarian system or colonizer you cant negotiate with bad actors not everyone can be trusted dont judge a book by its cover a village of farmers works collectively for the common good some characters put themselves in harms way for the benefit of others even to the point of sacrificing their own lives theres much discussion of honor and what it means to act honorably characters have suffered the trauma of extreme violence and loss which they either run from or try to face and overcome others seem to want to redeem themselves from their actions in the past the film is set on a string of planets with a diversity of human and humanlike species as well as a variety of creatures and robots the lead cast is also diverse with actors hailing from algeria holland scotland england ireland benin korea australia iceland and more english is the main language spoken in a variety of accents graphic fight scenes involve onscreen deaths including by sword knife falls guns explosions broken bones and more people are killed in front of those who love them men threaten sexual violence toward a young woman creepy creatures appear to suck life out of or give life to humans another half womanhalf spider tries to avenge the destruction of her planet kids are put in peril through kidnappings invasions and battles adults recall the destruction around them as children including the murders of their families a man is shackled a soldier appears to enjoy being cruel and killing teeth fly out of a man hit in the head technology is used to bring someone back to life and its mentioned that a brain will be dissected a village leader calls for his people to go home and make love to celebrate with the thrusting of hips a person makes reference to the sounds of lovemaking a man wants to pay to have sex with another man and he grabs his groin telling him hell be left begging for more there is kissing and the suggestion of crushes and settling down characters drink ale and other concoctions at celebrations and a bar a man connects his body to an infusionlooking machine that appears to give him a druglike pleasure parents need to know that rebel moon part one  a child of fire is a scifi fantasy epic from director zack snyder featuring an international cast and graphic violence there is also some swearing including st hell ahole bitch and more fight scenes involve onscreen deaths sometimes of beloved characters in front of their loved ones including by sword knife falls guns explosions broken bones and more men threaten sexual violence toward a young woman creepy creatures appear to suck life out of or give life to humans and kids are put in peril through kidnappings invasions and battles adults recall the destruction around them as children including the murders of their families characters drink ale and other concoctions at celebrations and a bar a man connects his body to an infusionlooking machine that appears to give him a druglike pleasure a village leader calls for his people to go home and make love to celebrate with the thrusting of hips a person makes reference to the sounds of lovemaking a man wants to pay to have sex with another man and he grabs his groin telling him hell be left begging for more characters band together to serve the common good showing that individuals can make a difference against an oppressive or authoritarian system or colonizer to stay in the loop on more movies like this you can sign up for weekly family movie night emails after an insurrection leaves the benevolent royal family of the motherworld dead no corner of the universe is safe in rebel moon part one  a child of fire that includes the residents of the peaceful farming village of veldt where kora sofia boutella hides her warrior past when the cruel commander noble ed skrein and a fleet of soldiers land in veldt and make impossible demands kora opts to run  again  rather than stay and fight a single incident forces her to change her mind so she and fellow villager gunnar michiel huisman set off across planets to round up a band of rebels to try to save veldt they include gunforhire kai charlie hunnam general titus djimon hounsou swordswoman nemesis doona bae prince tarak staz nair and resistance fighters darrius bloodaxe ray fisher and milius e duffy the first of two planned entries in a new franchise for netflix makes for an accomplished visual spectacle but the characters and scenarios are more predictable than likely intended much about rebel moon part one  a child of fire feels pulled directly out of the star wars universe technical innovations have improved the way new worlds can be brought to life in scifi and fantasy forays and rebel moon packs some impressive sequences costuming effects and general visual experiences the problem comes more from the feeling that for all its technical prowess the story lacks soul youve seen it all before of course the reality of franchisedriven hollywood is that many audiences desire familiarity and predictability rather than the more mythical journeys of its obvious inspirations like the skywalkers or kurosawas seven samurai rebel moon pulls its otherworldly characters down to our level and motivates them by basic human interests like childhood traumas absentee families and sexual desire this certainly makes them easy to understand but it also feels a little humdrum and less epic than the invented worlds and megaproduction suggest theres something very outdated as well in video gameinspired fight scenes and especially the macho posturing of soldiers including attempted sexual aggressions families can talk about how rebel moon part one  a child of fire sets up a cast of characters and a story that can be carried on into future films what do you expect to happen next in this story what aspects of veldt and other locations felt like earth and which didnt what technical handiwork goes into creating new worlds and planets like in rebel moon how would you describe main character koras motivations what about the other warriors she picks up along the way why do they all agree to help defend the village of veldt common sense medias unbiased ratings are created by expert reviewers and arent influenced by the products creators or by any of our funders affiliates or partners common sense is the nations leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information education and independent voice they need to thrive in the 21st century
Jan 16 2024,negative,despite the expected dazzling sequences from a visualist like snyder the subpar story and pace end up taking us to the dark side of boredom hopefully the extended version and its sequel will eclipse these shortcomings full review in spanish
Jan 12 2024,neutral,part one fails to captivate the through its admittedly impressive visuals as the story feels like recycled ideas that never quite come together there is plenty of potential here but it cant overcome a lackluster script
Jan 11 2024,negative, theres no joy to be found in hating a directors entire body of work on a long enough timeline and with strong enough scripts any director can find their niche and produce a good film or two this hope prevails in the hearts of optimists who having seen glimmers of gold within the shitmine that is zack snyders oeuvre find themselves hoping that one day hell make something truly excellent even if its terribly dumb and full of gratuitous slowmotion largely shackled by comic book adaptations and franchises for the better part of the last 20 years besides 2011s sucker punch and 2021s army of the dead and army of thieves of course the idea of snyder doing his version of star wars felt promising perhaps with just a little bit of grace the muchmaligned filmmaker could at last take all his stylistic quirks and urges and create a universe befitting the fawning adoration granted to him by internet movie bros its cynical to say that its the hope that kills you but in the case of rebel moon part one  a child of fire its just too fitting all films reveal something about their maker and in the case of rebel moon it reveals that the issue was never that snyder was being held back by having to adapt the work of others the reality is that the best parts of 300 watchmen and dawn of the dead only exist because snyder was being kept on a leash his disciples will argue that the comparative qualities of each socalled snyder cut of any of his films show a history of executive meddling ruining his vision but really his directors cuts only serve to make lackluster films more snyderflavored without making them good  if youve seen star wars seven samurai and a bugs life you dont need to watch rebel moon snyder has been upfront about these inspirations in interviews but despite the overwhelming obviousness of their influence its hard to say whether snyder or his cowriters kurt johnstad and shay hatten whom he worked with on 300 and army of the dead and their sequels respectively understood what made those films work we watch soldiers of an authoritarian empire land on the backwater moon of veldt and do some textbookevil stuff beat an old man to death try to rape a young woman abuse their own robot helper demand the farmers of veldt give up all their crops but their actions are too onthenose to be menacing we watch our heroes kora sofia boutella of the mummy 2017 fame and gunnar michiel huisman better known as daario naharis on game of thrones slowly collect other rebels but none of them are compelling enough for us to even remember their names or anything about them once the film changes focus to another planet and another rebel this is the epitome of tell dont show scifi where every character speaks in chunks of wooden exposition every person and place thoroughly explained at other people even if those people would already know everything being said in one particularly egregious latefilm scene the villain of the film and likely the series rattles off facts about kora to her face this kind of thing happens repeatedly throughout the movie making almost every interaction feel like a tedious slog this is one of the easiest pitfalls of the space epic you end up needing characters to deliver a lot of dialogue meant for the audience not for the people in the film  essentially nothing about rebel moon works  even when the film stumbles onto something bordering on interesting character or environmental design its undercut by just looking lifeless and sterile even in natural settings the one thing that snyder should be able to do in his sleep  give us coollooking fight sequences  instead feels like a joke played on the audience a murky barrage of slowmo and bland toothless violence watching some comically evil space nazis get their brains blown out by a robot voiced by anthony hopkins wont change the fact that the snyder we find on rebel moon couldnt frame a shot to save his life which is a death sentence for action scenes and spells doom for smaller moments that happen outside our view for seemingly no reason as the first installment of an at least twopart story rebel moon feels like it devoted all its energy in setting up part two the scargiver due out in april but totally forgot that typically movies only get a sequel when enough people like the first film snyders clout and name recognition is enough that part two was essentially a foregone conclusion and its clear that snyder and his cowriters thought to themselves its fine part two will be where all the really good stuff happens once we know who everyone is the end result is a halfassed halfbaked halffinished schlockfest that leaves you struggling to imagine anybody  even the most diehard snyder apologists  finding enough value in it to want to give away another twoplus hours of their precious lives to its sequel  early water doesnt have much of an arc  after all its a rehearsal tape but it does have a surprisingly plentiful array of textures and transitions within its somewhat narrow parameters 
Jan 10 2024,negative,rebel moon has potential but borrows too many elements from the films its inspired by zack snyder fans must once again wait for a future cut to fulfill the directors true vision
