Dates,Scores,Reviews
Apr 13 2024,positive,bizarrely great tale of child mutilation 7510 very christian
Apr 13 2024,positive,a well deserved cult classic a fantasy world in which the most famous chocolate magnate of the world makes a contest to decide whos going to be his successor a fun ride following four very weird kids and one destined to win from the start predictable at times surprising at others but definitely a heart warming story about family love and chocolate a lot of chocolate 3
Apr 5 2024,negative,this movie should have been called charlie and the child molester in my humble opinion  this movie was a major insult to the original movie and did not bear any resemblance to the book either  the first is the best and the new one with timothe chamalet is a close second  tim burton should have sued for destroying a classic movie for his own perverted views of the original movie and the book
Apr 2 2024,negative,i know they were trying to match the book to this version if the movie but compared to the gene wilder version this movie falls monstrously short while i have great admiration for certain well known cast members as well as director tim burton this movie was a major disappointment where i figured they would surpass the original because of modern technology problem 1 the music was horrible 2 instead of hiring little people they took thier jobs and gave it to only 1 making the oomps loompas boring 3 the factory tour was complete garbage this looked absolutely amazing in the original and it looked like lazy garbage in this remake when considering the advancements in tech makeup etc it should have been mind blowing i havent encountered anyone personally that liked this version more only time i have encountered it was through the reviews on here im sorry i cant give a top rating just because of the amazing actors and director whos other works i love immensely this film fell short and i have to be honest about it and not give a top rating based solely on whos in it and whos directing it
Mar 31 2024,positive,great but no where near on par with the original
Mar 31 2024,negative,creepy  and not in the good way
Mar 21 2024,positive,so overwhelmingly weird  love it totally rewatchable
Mar 11 2024,positive,its a classic tim burton always makes things delightfully weird
Mar 9 2024,positive,can i just say this one thing this movie is and i repeat is not a remake of willy wonka and the chocolate factory but instead its another adaptation of the book and yes willy wonka was not the originator of this story and it is in fact just a adaptation of the original charlie and the chocolate factory book by roald dahl its like the people who say that this movie is a remake of willy wonka and the chocolate factory or its not as good as the original didnt know that it came from a book
Mar 9 2024,positive,good morning starshine the earth says hello gets me every time i know most people find this movie weird but i find it funny and enjoyable loved watching as a kid and a teenager now
Mar 3 2024,neutral,i liked the direction burton was going for but i barely remembered anything about the movie except that creepy doll show when theyre in the factory so maybe tim burton should stick to batman instead
Feb 24 2024,negative,i loved the original willy wonka movie from 1971 whiches why i wanted to watch this movie and superisingly it had so much potential in the first 30 minuets but was automatically killed by the cgi now look judging a movie by cgi isnt a thing you should do but this this is just horrendous
Jan 23 2024,positive,way better then the original songs aside because the songs on this version have nothing on the original songs
Jan 21 2024,positive,this is a good movie that i watched as a kid
Jan 19 2024,positive,so creative and intriguing love this film
Jan 19 2024,positive,an ok movie to watch but in rest nothing special
Jan 17 2024,positive,its pretty good but it is not as good as gene wilders movie
Jan 13 2024,positive,its my favorite willy wonka movie of all time
Jan 11 2024,negative,looking back this movie is the most forgettable of the three wonkas depps wonka seems alien and cold compared to the warmth of timothee chalamet and quirkiness of gene wilder
Jan 8 2024,negative,the original was better
Jan 7 2024,positive,funny and overall watchable
Jan 2 2024,positive,this movie follows the book much better then the gene wilder film
Dec 27 2023,positive,best movie ever this is so good
Dec 23 2023,positive,i was very apprehensive about this remake i am old school and hate remakes but after seeing it for the first time i found it very very enjoyable i have since seen this multiple times and thoroughly enjoy it they did a real good job with this one
Dec 18 2023,positive,loved this movie as a kid ive probably seen it close to 100 times i also prefer this to the gene wilder version it seems to resemble the book more than the original movie
