Dates,Scores,Reviews
Dec 27 2023,positive, its been decades since ive read roald dahls 1964 childrens adventure novel charlie and the chocolate factory  after seeing timothée chalamet in wonka i immediately went back to the 1971 willy wonka  the chocolate factory and then followed that with the 2005 charlie and the chocolate factory each movie employs music and has its own strengths the title says it all this is a story about willy wonka as seen through the eyes of charlie rewatching this film in 2023 i was hit by a wave of sticky sweetness i remembered my younger days when walking home meant passing first farrells ice cream parlour which had an oldfashioned style candy store and then halfway home the mall that had sears which also a candy counter where candy could be measured out by the ounce at the time of this film there were about 120 farrells nationwide the original location closed in 2006 in eugene oregon and the very last location to close was in brea 8 june 2019 like the farrells ice cream parlours this willy wonka  the chocolate factory feels dated because of the clothing technology and the film used so this film might be best for younger children who wont be critical of these aspects or adults who want to wallow in the nostalgia charlie bucket peter ostrum is from a poor family who cannot afford the luxury of stepping into a candy store on his way home and buying sweets the owner bill aubrey woods is a kindly man and hes the one who sings the candy man the small town is dominated by the willy wonka chocolate factory but no one works there a tinker peter carell explains to charlie one evening that no one enters and no one leaves the factory charlies grandparents share a single bed and its his grandpa joe jack albertson who explains that wonka was forced to close down his factory because some of his employees aided his competitors by stealing wonkas recipes after laying off his entire workforce and closing the gates of his factory wonka kept the gates closed even three years later when the production mysteriously resumed theres considerable excitement generated worldwide when wonka announces that he has hidden five golden tickets in chocolate wonka bars the finders of the tickets will get a factory tour and a lifetime supply of chocolate almost immediately a sinister figure mr slugworth günter meisner is seen slithering around in the background  although the film shows places like japan taking part of the buying pandemonium the winners are a gluttonous german boy augustus gloop michael böllner a spoiled daughter of a wealthy english father veruca salta john dawn cole and two americansa gumchewing champion violet beauregarde denise nickerson and a televisionobsessed boy mike teevee paris themmen  mr slugworth is seen whispering into the ears of each of the lucky ticket holders charlie only gets a chocolate bar on his birthday but is disappointed to find it doesnt have the golden ticket grandpa joe later takes him aside and gives him his tobacco money to use for another wonka bar but the ticket isnt in that bar either charlie gives up hope when news reports the fifth ticket was found in paraguay that fifth ticket in paraguay turns out to be a forgery walking home charlie finds money in the future and buys a wonka bar and discovers the last ticket bill tells him to run home before anyone can take it from him at home charlies good luck inspires grandpa joe to jump out of bed for the first time in two decades charlie chooses hime to be his chaperone for the tour before the tour slugworth asks charlie to get a sample of wonkas everlasting gobstopper a candy for poor people that changes color and flavors but never gets smaller or disappears from the beginning it is clear that willy wonka is a man of many surprises and not above some trickery he is also a business man and requires that people on the tour sign a contract the tour of the chocolate factory is filled with traps and mishaps and each of the children succumb to temptation including charlie and his grandfather yet unlike the others charlie and grandpa are able to complete the tour  wonka reminds them that they didnt follow the guidelines and lost their opportunity at a lifetime of chocolate although angry and disappointed charlie resists the temptation to give slugworth the gobstopper proving himself worthy of inheriting the chocolate factory director mel stuart takes us on a wondrous journey one that starts as relatable to kids growing up in a farrells ice cream parlour era and from there takes flight into a fantasy better than but not far removed from walt disneys wonderful world of color 19611969 or disneys wonderful world 19791981 wilders willy wonka is that favorite eccentric uncle who has some poignant story that he will not burden you with he will pretend to be the responsible adult while watching other bratty kids make mistakes that will lead to hard life lessons if youre a good kid hell lead you on grand adventures that youll relive as an adult even if seeing through your adult eyes he has grown more weary and less magical viewing this in 2023 the film seems a bit dated so it is best for younger children or adults who want to wallow in whimsical nostalgia gene wilder makes the mold for wonka that is more approachable than johnny depps and allows for the possibility of timothée chalamets willy wonka  the chocolate factory made its world premier 28 june 1971 in chicago the film is currently streaming on hbo max although the charlie has been put back in the title this film really does hinge on johnny depps portrayal of the candy maker as well as the sensibilities of auteur filmmaker tim burton working off of john augusts screenplay this remains a musical fantasy but none of the songs became major hits in this film charlie bucket freddie highmore has an intact family his father noah taylor had until recently worked at a toothpaste factory but was replaced by a machine his mother helena bonham carter does the best she can grandpa joe once worked at the wonka factory but it was closed due to industrial espionage when the contest is announced we meet the gluttonous augustus gloop the spoiled veruca salt julie winter the competitive violet beauregarde annasophia robb the obnoxious mike tease jordan fry as well as their parents this version stays closer to the childrens book with charlie and his grandfather finishing the tour without disobeying the rules however wonka is given a lesson to learn when charlie declines the opportunity to be wonkas heir since hed have to give up his family wonka then loses creative focuses until through charlie he is encouraged to visit his dentist father they reconcile and wonka learns that his father was secretly proud of him and had been following his career clipping out articles the entire bucket family is then invited to live on the grounds of the factory while the star of the 1971 film peter ostrum decided to leave acting and take up veterinary science this charlie bucket freddie highmore is currently the lead of the good doctor fans of burton wont be disappointed his people are always outsiders and a bit off the wall if gene wilders wonka was the eccentric uncle you who entertained and enchanted children johnny depps wonka was that weird uncle who was harmless but slightly off in a way that made conversation or ordinary situations often awkward instead of a perfume of pensiveness like bittersweet chocolate that wilders wonka had depps wonka was that weirdly white chocolate creamy and almost chocolate but not really what you have in mind when you want to eat chocolate and unpredictable in its actual sweetness wonka reminds us immediately of the golden ticket in the opening sequence giving credit to the original author before taking us through a pink haze to a small ship where up on the mast our willy wonka timothée chalamet  sings it is time to bid the seven seas farewell and the city ive pinned seven years of hopes on lies just over the horizon when we meet him hes wearing whitestriped beige pants and a white longsleeved shirt under a brown vest the purple overcoat and top hat come soon enough but they are tattered and his boots he tells us are leaky he has spent all his money on his obsession with chocolate the crew he leaved behind like him well enough wishing him good luck and the color of his vest seems to have changed he has only 12 silver sovereigns in his pocket hell soon lose them all as he pursues his hatful of dreams yet that hat is magical as mary poppins carpetbag you never know what hell be pulling out of it his destination has a famous restaurant on every corner and a galeries gourmet but he needs a place to stay and a suspicious person bleacher tom davis who takes him to the boarding house of mrs scrubitt olivia colman despite being warned by an orphan girl named noodle calah lane to read the small print wonka signs the ridiculously lengthy contract the next day willy sells the hoverchoc floating chocolates that cause a person to levitate he soon meets the leading chocolatiers arthur slugworth paterson joseph felix fickelgruber mathew baynton and gerald prodnose matt lucasall members of the chocolate cartel the police are called and all of his earnings confiscated for disrupting the trade of other businesses with only a sovereign left he believes he can cover his room but the small print charges him for everything including uses the steps and the soap he owes ten thousand sovereigns which with hard labor in the basement laundry will come to 27 years and 16 days its not that he didnt read the small print noodle quickly deduces wonka cant read sent down the dirty laundry chute willy meets with the other unfortunates which include accountant abacus crunch jim carter plumber piper benz natasha rothwell a quiet woman named lottie bell rhakee thakar and comedian larry chucklesworth rich fulcher  we soon learn that the police are under the control of the cartel because the chief of police keeganmichael key is addicted to chocolate and bribed with pricy bon tons we do meet  an orange man with green hair an oompa loompa named lofty because for his kind hes rather tall wonka stole cacao that lofty hugh grant had been watching and now by loftys calculations wonka owes a chocolate debt that must be paid first recruiting noodle and then the rest of the laundry workers wonka begins selling his chocolate on the streets trying to earn enough money to free them all but the chocolate cartel has both the police chief and the head priest father julius rowan atkinson under the thrall of their chocolates and the cartel isnt above murder this is a childrens film so there will be no murders even by chocolate the film has a steampunk sensibility and while chalet isnt a dancer the dancing numbers are still lovely enough the costumes by lindy hemming are confectionary perfection chunghoon chung the handmaiden 2016 oldboy 2003 and last night in soho 2021 casts an enchantment  the screenplay by paul king and simon farnaby is filled with whimsy and witty word turns wonka ask how to you like it dark white nutty absolutely insane he gets arrested by defying the laws of gravity as well as disrupting the trade of other businesses as director king brings the right light touch and respects both the dancing choreography and the dream timothy chalamets vocals are pleasant enough if chalamets  wonka was an uncle hed be the obsessive dreamer perhaps he wouldnt be the uncle youd ask to take your children to a dental appointment and you might not expect him to make the birthday party but hed bring a moment of magic into a childs life on the diversity score chalamet is part jewish lane keeganmichael key paterson joseph and natasha rothwell are  african american british actress rakhee thakrar is of asian indian descent if this fictional city was in europe then one would perhaps expect more north africans as for jason acuñas criticism of grants casting oompaloompas were originally depicted as black african pygmies the pygmy people are ethnic groups who are of unusually short stature but they are not people who have the medical condition of dwarfism including proportionate dwarf in the 1973 revised edition of charlie and the chocolate factory the oompaloompas were longhaired rosycheeked and white hailing from the island of loompaland in the 1971 film they became people with orange skin and green hair although dahl was british the original publication was the us edition in 1964 illustrated by joseph schindelman the first uk edition was in 1967 illustrated by faith jaques at that time there werent many british actors who were short i am 4ft 2in so six of the actors were british and they used one maltese actor another from turkey one from germany and one woman there were 10 of us in all the director mel stuart sometimes got very frustrated telling us what to do in english and then trying to explain to the maltese german and turkish actors what he wanted as well remember though chocolate was originally found in the americas and was only introduced to europe in the 16th century currently though the ivory coast leads in world production 38 percent followed by ghana and indonesia 14 percent each there are plenty of islands in indonesia but none with people who have orange skin and green hair maybe its the yeti sweat this wonderfully whimsical film gives us a world of pure imagination where a man with a magical hat takes on a chocolate cartel with new found friends take you kids or embrace your inner child and warm your cockles on this frothy fantasy wonka had its world premiere in london on 28 november 2023 it was released in the us on 8 december and in the us on 15 december 2023
Dec 12 2023,positive, weve got a golden ticket to coincide with the release of new film wonka brenna and joe dip into roald dahls problematic 1964 charlie and the chocolate factory as well as mel stuarts 1971 adaptation and tim burtons 2005 more faithful taketheres lots to discuss colonialism racism slavery the deserving poor mixed moral messages anna wintour hair michael jackson and practical fxwanna connect with the show follow us on twitter instagram and bluesky hkhspod or use the hashtag hkhspod brenna brennacgray blueskyinstagram joe bstolemyremote twitterinstagram or joelipsett blueskyhave a mail bag question email us at hkhspodgmailcom  theme music ben fox think about the lights hosted on acast see acastcomprivacy for more information weve got a golden ticket to coincide with the release of new film wonka brenna and joe dip into roald dahls problematic 1964 charlie and the chocolate factory as well as mel stuarts 1971 adaptation and tim burtons 2005 more faithful taketheres lots to discuss colonialism racism slavery the deserving poor mixed moral messages anna wintour hair michael jackson and practical fxwanna connect with the show follow us on twitter instagram and bluesky hkhspod or use the hashtag hkhspod brenna brennacgray blueskyinstagram joe bstolemyremote twitterinstagram or joelipsett blueskyhave a mail bag question email us at hkhspodgmailcom  theme music ben fox think about the lights hosted on acast see acastcomprivacy for more information
Aug 19 2023,positive, though its tagged as a remake tim burton returns to roald dahls original novel and dahls original title for charlie and the chocolate factory 2005 the second cinematic take on the offbeat fantasy burton favorite johnny depp is downright odd even for depp as the eccentric and reclusive chocolate mogul willy wonka who has built his own private candy wonderland and shares it for one day with lucky kids who have found the golden tickets hidden in his wonka bars freddie highmore depps costar in finding neverland is the plucky impoverished charlie he lives in a rickety home that looks like a melting gingerbread house who becomes the heart that wonka has lost in his isolation and christopher lee is wonkas dentist father a character created specifically for the film burton feeds his creative sweet tooth with delicious art direction and imaginative creations and composer danny elfman writes a goofy set of pop tunes to dahls original lyrics but for all of the flights of fantasy burton never quite finds the heartbeat that warmed the original classic with gene wilder partly because this willy wonka is so disconnected and distracted unable to relate to anyone and partly because the other characters who spiced the original movie are all undercooked here but it is never less than enchanting and entertaining david kelly is charlies grandpa joe helena bonham carter and noah taylor his smilingthroughthestorm parents annasophia robb julia winter jordon fry and philip wiegratz are the fellow ticket holders violet beauregarde veruca salt mike teavee and augustus gloop respectively missi pyle james fox adam godley and franziska troegner the parents and deep roy is the oompa loompa workforceevery single singinganddancing one of them dont miss a single recommendation subscribe to the stream on demand weekly newsletter your email address will not be shared and follow us on facebook and x formerly known as twitter all disc editions include the featurette becoming oompa loompa how actor deep roy became an army of oompa loompas a settop game and the trailer the bluray and twodisc dvd includes seven additional featurettes and other supplements sean axmaker is a seattle film critic and writer he writes the weekly newspaper column stream on demand and the companion website and his work appears at rogerebertcom turner classic movies online the film noir foundation and parallax view
Feb 3 2020,positive,marrying extreme set design and sublime casting burtons film showcases his usual interest in gothic effects and the original willy wonkas psychedelia
Nov 19 2019,positive, remakes can be a tricky thing but director tim burton hits a bullseye with charlie and the chocolate factory a delightful treat filled with stunning visuals and a lot of fun performances headlined by johnny depp in this retelling of the roald dahl novel depp plays the reclusive candy maker willy wonka as the film opens wonka has decided to allow five children a chance to tour his chocolate factory by putting five golden tickets in his chocolate bars one of the winners is charlie bucket freddie highmore who lives in a tilted shack with his grandparents and his mom and dad and spends most of his time dreaming about the candy his family usually is unable to afford charlie may well be the bestlooking film i have seen this year thats even more visually appealing than the superb work by robert rodriguez in sin city burtons direction is sharp and the movie is a feast for the eyes with each scene burton gives audiences another piece of a unique world from the tilted house of the buckets to the many rooms the children discover inside the chocolate factory there are still five months left in 2005 but id be surprised if i see a movie more deserving of oscars for visual effects and art direction while the look of the film is the heart of charlie depp and highmore provide the movie with its soul depp has a lot of fun as wonka some have suggested his performance mimics michael jackson but i think it is much more original than that its delightful yet creepy and a performance that may top his goofy work in pirates of the caribbean charlie is sure to draw comparisons to the 1971 original starring gene wilder as someone who only vaguely remembers seeing that film its hard for me to compare it to this remake i can compare charlie to other 2005 releases though and it is clearly one of this years most enjoyable ferrell plays phil a family man who has always been the whipping boy of his very competitive father robert duvall when phil decides to coach his sons soccer team the family competition heats up it would be easy to see this as another lady bugs the really bad soccer comedy with rodney dangerfield and jackee but there is a bit of heart in kicking and screaming with ferrell and duvall both giving nice performances ferrell is capable of getting laughs even in bad films but he gets some help here in an unlikely extended cameo by former chicago bears coach mike ditka who was a good enough sport to playfully poke fun at his toughguy image sure kicking and screaming is filled with obvious cliches but director jesse dylan keeps the film moving along at a brisk enough pace that the flaws dont really matter
Jun 5 2019,positive,a movie giddily drunk on its own sheer differentness
Apr 25 2019,positive,  home  country  before  being  withdrawn  by  the  authorities  who  objected  to  the  way  it  satirised  islamic  clergymen  the  title  character  reza  endearingly  played  by  comic  actor  parviz  parvis  parastoie  parastui  is  a  career  criminal  who  escapes  from  a  tehran  jail  oressed  as  a  mullah  arriving  at  a  border  town  hes  forced  to  pretend  to  be  he  new  leader  of  the  local  mosque  where  hes  expected  to  lead  the  prayers  and  conduct  sermons   theres  a  serial  killer  on  the  loose  in  the  woods  near  the  remote  us  woodlands  town  of  shallow  valley  as  a  sheriff  and  his  deputies  pack  up  a  discontinued  police  depot  a  strange  da7ed  boy  covered  in  blood  enters  their  station  for  no  apparent  reason  disturbed  sheriff  jack  shephard  timothy  v  murphy  thinks  this  has  something  to  do  with  his  inability  to  save  a  young  woman  from  being  killed  the  previous  year  but  the  truth  is  more  universal  and  a  lot  scarier  than  he  thinks   assault  on  precinct  73  victor  salvas  jeepers  creepers  and  scraps  of  early  craven  noticeably  the  last  house  on  the  left  so  in  essence  this  is  either  mildly  diverting  or  tedious  depending  on  your  opinion  of  those  films   following  his  ﬂawed  remake  of  franklin  j  schaffners  planet  of  the  apes  tim  burtons  announcement  that  he  was  remaking  charlie  and  the  chocolate  factory  in  a  way  which  would  appease  fans  of  both  roald  dahls  book  and  the  1971  musical  starring  gene  wilder  was  always  one  to  be  treated  with  trepidation  and  yet  somehow  everything  comes  up  smelling  of  rose  scented  chocolate   burton  quickly  introduces  us  in  his  own  quirky  manner  to  the  four  children  augustus  gloop  philip  wiegratz  veruca  salt  julia  winter  mike  teavee  jordan  fry  and  violet  beauregarde  annasophia  robb  who  will  battle  it  out  with  poor  boy  charlie  bucket  freddie  highmore  for  willy  wonkas  ultimate  grand  prize  hidden  deep  within  the  labyrinth  of  his  chocolate  factory   community  of  singing  ooompaloompas  that  scintillate  the  candy  room  that  first  greets  visitors  is  like  a  takeshi  murakami  painting  the  invention  room  is  in  the  vein  of  the  sets  ken  adam  used  to  design  for  kubrick  the  nut  room  looks  like  the  top  of  a  lollipop  and  best  of  all  is  the  tv  room  containing  references  to  2001  planet  of  the  apes  and  psycho  this  is  entertainment  for  all  ages   i  dont  miss  the  special  charity  gala  premiere  of  richard  jobsons  a  woman  in  winter  at  715pm  on  thursday  18  august  at  vue  cinema  edinburgh  a  qa  with  jobson  will  follow  the  film  tickets  cost  10  each  from    or  0871  2240  2410  all  proceeds  go  to  fsu  scotland  which  works  with  some  of  the  countrys  most  vulnerable  children  and  families  i  vue  cinemas  is  also  hosting  the  rushes  soho  shorts  festival  2005  between  saturday  30  july  and  friday  5  august  visit    for  more  information   i  see  the  clydebank  town  hall  be  transformed  into  a  19403  picturehouse  for  an  evening  of  newsreel  footage  and  war  movies  at  730pm  on  thursday  4  august  tickets  23  on  door  call  01389  608  042  for  details   m  knuckle  down  for  a  ringside  seat  with  this  lovely  new  dvd  edition  of  david  finchers  great  1999  movie  for  a  chance  of  winning  a  copy  send  an  email  marked  fight  club  to  promotionslistcouk  before  1  august  usual  list  rules  apply 
Feb 6 2018,positive,by fleshing out the backgrounds of the factorys most peculiar characters and allowing dahls unique mixture of charm and menace to guide him burton has created a film that is sharp scary and surprisingly quite heartwarming
Nov 12 2017,positive,it was once a place for pure imagination now under tim burtons care its a madhouse again
Mar 4 2015,positive, the band wagon 1953 the 1931 broadway revue the band wagon was the basis for director vincente minnellis opulent mgm musical for which the legendary writing team of betty comden and adolph green singin in the rain on the town built a plot around the stage shows howard dietzarthur schwartz songs and in the process made a film thats amusingly selfreflexive while not as perceptive  or hilarious  as 1952s singin in the rain in its skewering of backstage shenanigans among artists it offers plenty of choice observations as it centers on hasbeen movie star tony hunter fred astaire who hopes his flagging fortunes will be salvaged by appearing in a lightweight broadway musical written by his friends lily and lester marton nanette fabray and oscar levant but problems materialize when the martons select as their director jeffrey cordova jack buchanan a selfimportant blowhard who changes the martons frothy piece into a portentous reimagining of faust to further complicate matters cordova decides the leading lady should be ballet star gabrielle gerard cyd charisse whose classical training causes tony to wonder whether their different styles will allow them to be compatible dancers buchanan easily steals the show as the pompous director and key musical bits include the dreamy dancing in the dark the amusing triplets and the classic thats entertainment which was introduced in this film this earned three oscar nominations including one for comden and greens screenplay bluray extras include audio commentary by liza minnelli vincentes daughter and singermusical archivist michael feinstein a makingof featurette the 1930 musical short jack buchanan with the glee quartet and the theatrical trailer the band wagon is available individually or as part of the musicals collection a fourfilm set that also includes singin in the rain 1953s kiss me kate in 2d and 3d versions and 1953s calamity jane charlie and the chocolate factory 2005 forrest gumps mama famously declared that life is like a box of chocolates you never know what youre going to get you never know what youre going to get with charlie and the chocolate factory either given that director tim burton tends to fluctuate between enfant terrible and rank sentimentalist coming off the forced whimsy of big fish burton was back on steadier ground helming the second screen version of roald dahls beloved novel johnny depp headlines as willy wonka the eccentric candymaker who allows five children to take a tour through his gargantuan factory young charlie bucket freddie highmore is a perfect angel but the other four kids prove to be such brats that they all eventually get their comeuppance within the walls of wonkas candycoated fortress in some respects this surpasses the previous screen incarnation 1971s willy wonka and the chocolate factory its funnier and better paced but burtons maudlin streak gets the best of him via a needless back story that explains wonkas affinity for candy and this plot strand leads to a soggy finale thats easily bested by the final act of the 71 model depp whose wonka seems to be a cross between michael jackson and the cabinet of dr caligaris somnambulist cesare delivers an engaging surface performance though i far prefer the more measured madness of gene wilders interpretation the 10th anniversary edition bluray comes with a 28page photo booklet and a letter from burton extras include audio commentary by burton an immersive inmovie experience a featurette on the oompaloompas and a piece on dahl dont look now 1973 its rare when a filmmaker helms one genuine masterpiece in his lifetime let alone two and consecutively yet that was the case when nicolas roeg followed 1971s walkabout with another motion picture equally as brilliant based on a short story by daphne du maurier the wordsmith whose works also fueled the hitchcock classics rebecca and the birds this stars julie christie and donald sutherland as laura and john baxter a happily married couple who reeling from the death of their daughter christine have temporarily settled in venice so that john can assist in restoring an old church laura continues to drown in grief until she meets a pair of sisters hilary mason and clelia matania one of whom claims to be a psychic and informs her that christine is happy in the afterlife but john is in danger john believes its all nonsense even though he himself is blessedcursed with a second sight he chooses to dismiss but how to explain the strange visions he sees around him including fleeting glimpses of a child wearing the same red raincoat donned by christine when she died the exquisite visual presentation  accentuated by anthony richmonds inspired lensing and graeme cliffords astute editing  allows this artistic endeavor to function as a mood piece yet its much more than that thanks to its compelling plotline and heavy use of meaningful symbolism with water broken glass and the color red all receiving particularly vigorous workouts a hit in its native england ever since its release the picture is even more revered now separate polls by the british film institute and time out london have cited it as one of the 10 best british films ever made no argument here bluray extras include both new and older interviews with many who worked on the movie including roeg christie sutherland richmond clifford coscripter allan scott and composer pino donaggio the new piece nicolas roeg the enigma of film in which oscarwinning directors steven soderbergh traffic and danny boyle slumdog millionaire discuss roegs style and influence and a 2003 qa session with roeg eat drink man woman 1994 before he became an internationally renowned filmmaker and twotime academy award winner for best director brokeback mountain life of pi ang lee was carving out a nice career in his native taiwan two of his pictures 1993s the wedding banquet and 1994s eat drink man woman earned consecutive best foreign language film oscar nominations and both should have won against the underwhelming competition thats especially true of eat drink man woman a wise and touching piece that matches movies like babettes feast and like water for chocolate in its depiction of food as a source of spiritual nourishment sihung lung so memorable as the father in the wedding banquet here plays another parent this one a culinary wizard who relates better to his dishes than to his three daughters jen kueimei yang a schoolteacher still feeling the pain from a longago college relationship that ended badly kien chienlien wu a savvy businesswoman unable to find stability in her personal life and ning yuwen wang a perky fastfood employee who finds herself attracted to her best friends boyfriend the food on display will make mouths water but dont assume this film is merely the cinematic equivalent of a highend menu the various relationships among the characters prove to be as intricate and delectable as the dishes and the piece packs a potent emotional reach foxcatcher 2014 with a tip of the hat in the direction of langston hughes let it be noted that foxcatcher isnt so much a study of a dream deferred but of the american dream deferred at heart a film about the awkward dance between the haves and havenots  and more specifically a brutal condemnation of the barely masked disdain the onepercenters have for the other 99  this truelife tale finds steve carell cast waaay against type as john du pont scion of one of the most prominent families in the nation a meek and strange character charged with a patriotic zeal john elects to use his vast fortune to build a team of worldclass wrestlers to anchor the group he picks 1984 olympic gold medalist mark schultz channing tatum an opportunity that seems like a godsend to the struggling athlete but johns paranoidschizophrenic nature soon gets the better of him and he humiliates mark by inviting his saintly older brother dave mark ruffalo also an olympic gold medalist to take over as head of the team from there the tensions only mount leading to a shocking crime thats unexpected but perhaps also unavoidable as the rich nerd longing to be both an inspirational figure and just one of the guys and perhaps be with the guys carell is scarygood subjugating all traces of the familiar comic spark in evidence in his previous films ruffalo is effortlessly reassuring as the big brother who would be a benefit to any family while tatum reaches a new plateau as the troubled kid simply wanting life to give him a break like carell tatum is required to suppress his natural charm  its a knockout performance fully in line with a movie that feels like a body slam to the mat this earned five oscar nominations including bids for carell and ruffalo love and death 1975 if i could just see a miracle just one miracle if i could see a burning bush or the seas part or my uncle sasha pick up a check i go ie will be executed at 6 oclock tomorrow i was supposed to go at 5 oclock but i have a smart lawyer got leniency those are two of the great quips to be found in woody allens love and death but theres no use crying over spilled spoilers since the picture is packed front to back with many more cheery bon mots  to say nothing of rollicking slapstick sequences spoofy film homages and other modes of merriment guaranteed to keep viewers in perpetual guffaw using russian literature as the base ingredient woody adds pinches of ingmar bergman sergei eisenstein and bob hope to this yarn about lowly boris grushenko allen a coward who finds himself an unwilling participant in the napoleonic wars when hes not busy avoiding battlefield injury he can be found wooing his distant cousin sonja diane keaton who passes the time having affairs when asked how many lovers shes had she replies in the midtown area before she decides that she and boris should attempt to assassinate napoleon james tolkan with allen referencing everything from bergmans the seventh seal to dostoevskys the gambler love and death might seem more haphazard than most of the auteurs films but the astoundingly high hittomiss ratio deems it a keeper this would be the last of whats commonly referred to as allens early funny ones to quote stardust memories as his next picture 1977s annie hall would kick off a new chapter in his career the st valentines day massacre 1967 the great roger corman has produced 400 films and still counting over the course of 60 remarkable years and hes sat in the directors chair for 50 of those flicks the st valentines day massacre represents one of those occasions when he wore both hats more significantly it also marked the first time he worked in such lofty capacities for a major studio in true corman fashion he wasnt thrilled with the lack of control and went back to making movies his way his rattattat helming is one of the strengths of this crime flick which uses documentarystyle narration but exploitationstyle violence to relate the events leading up to the notorious 1929 gangland slaying the production values are topnotch while the script by howard browne an expert in the field who also penned 1961s portrait of a mobster with vic morrow as dutch schultz and 1975s capone starring ben gazzara as the title figure hews to reallife events to an impressive degree as for the supporting roster its peppered with familiar faces including those belonging to bruce dern poignant as a struggling mechanic joe turkel the shinings bartender or blade runners ceo take your pick and fantasyfilm stalwart john agar tarantula the mole people there are even uncredited bits by corman stableboys and the little shop of horrors stars jack nicholson dick miller and jonathan haze what damages the picture are the performances by the two topbilled stars jason robards handles the heavy lifting as al capone while george segal provides the muscle as a giggly rival gunman and he even smashes a sandwich in jane hales face aping james cagney planting that grapefruit in mae clarkes kisser in 1931s the public enemy but their hammy turns more suited to warren beattys cartoonish dick tracy than this godfather precursor strip the characters of any muchneeded menace watership down 1978 its long been a matter of public record that the british ratings board received and reportedly is still receiving complaints for bestowing a kidfriendly rating on an animated feature that is most decidedly not for the kiddies at least the very young uns based on richard adams renowned novel it centers on a group of rabbits who must find a new home after their warren is targeted for demolition by human builders these bunnies whose members include the heroic hazel voiced by john hurt the skittish fiver richard briers and the burly bigwig michael grahamcox face peril every step of the way whether its from other rabbits particularly the tyrannical woundwart played by harry andrews other animals a snarling dog a sneaky cat or various manmade instruments of pain shotguns snares like other enduring works of fiction such as george orwells animal farm and william goldings lord of the flies adams book is heavy on the allegory and the film admirably retains much of this angle but the pacing is flatly orchestrated by writerdirectorproducer martin rosen in his directorial debut and the animation style veers between poetic and prosaic despite an impressive roster of english actors handling vocal duties the rabbits are absent of personality and therefore dont provide much in the way of a rooting interest zero mostel provides the only comic relief as the bird kehaar although he tackles the role as if he were channeling the spirit of his the producers costar kenneth mars the films centerpiece song the treacly bright eyes sung by art garfunkel was a smash hit across europe but failed to crack the charts stateside bluray extras include an interview with rosen pictureinpicture storyboards for the entire film and an interview with filmmaker guillermo del toro a huge fan of the movie wild orchid 1990 while it hardly set the box office on fire writerdirector zalman kings wild orchid could be considered the fifty shades of grey of its day a wouldbe erotic romp that ultimately carries as much of a sexual charge as a chicken mcnugget mickey rourke in the lengthy flameout phase of his career stars as james wheeler a wealthy businessman living in the picaresque city of rio de janeiro through a mutual friend jacqueline bisset he makes the acquaintance of visiting lawyer emily reed carré otis and its not long before emilys under his spell and privy to his mind games and dominant behavior as scripter king also had a hand in 1986s equally risible nine 12 weeks also starring rourke but that picture at least had the benefit of an excellent central performance by kim basinger otis on the other hand is particularly dreadful displaying about as much acting talent as an avocado as for rourke his sleepyeyed performance leads one to believe that all wheeler really wants out of life is a good nights sleep the film achieved a small measure of media notoriety back in 1990 first when it had to be trimmed to garner an r rating rather than an x the more explicit version has long been available on home video but this new olive films bluray release only contains the theatrical rrated cut and later when the rumors wouldnt cease regarding the contention that the onscreen sex between thencouple rourke and otis wasnt simulated and the couple really did it to which a nation collectively shrugged and muttered who cares
