Dates,Scores,Reviews
Feb 20 2024,positive,mignonnes talks about what people are too scared to talk about it is about the dangers of social media on children and how much it can influence young children to act like adults it is supposed to make you uncomfortable it is supposed to make you think that we as a society need to do something maïmouna doucouré is an amazing director and feminist and we need more minds like hers
Feb 11 2024,positive,i want to make something perfectly clear  despite what you may be hearing on social media there is not a single solitary second of exploitation to be found in this surprisingly fantastic and incredibly moving film with a title that sounds like a bad disney kids movie i was shocked to witness the most profound sometimes unsettling and totally enthralling movie about being a young female since catherine hardwickes thirteen 2003 filmmaker doucoure treats this material with bravery and stark realism  there are moments almost impossible to watch because of how painfully honest they feel the controversy seems to surround the frank handling of preteen life particularly the suggestive dancing and clothing or lack thereof worn by the young females in this movie as well as a very brief glimpse of nudity that literally lasts one second but the filmmakers in no way shape or form use this for exploitation  quite the contrary these scenes produced feelings of sadness rather than titilation it broke my heart to see young amy an extraordinary performance by youssouf and her peers experience the mental physical and emotional confusion of becoming a young adult the movie beautifully captures how the youth of today confuse being provocative with being a grownup if youve seen a single moment of toddler and tiaras nothing that happens here should be surprising and to be quite honest im a bit pissed off right now because im afraid the controversy may dissuade many conservative viewers from actually watching and discussing this film i think anyone who was or has or had a preteen girl will find much with which they can relate and share with each other there are isolated moments here and there that feel a bit much but when viewed in the context of the film as a whole its nearly perfect theres a lot more i can say  i didnt even have a chance to discuss how amys conservative home life and religion impact a good portion of what happens here a couple scenes between amy and her mom are just wonderful please please please do not be swayed from seeing this it is a vital important movie  easily one of the best of the year  and i think youll have a lot to think about and discuss after the subtly beautiful ending
Nov 26 2023,negative,as far as its quality goes its not a poorly made movie it would have so much potential had it not been for the decision to sexualize children i marveled the cinematography and directing at times but would squirm in my seat and look away once the dancing scenes popped up
Nov 25 2023,negative,do i really need to explain why
Nov 24 2023,negative,the fact that this piece of trash movie got a 87 is absolutely disgusting
Nov 3 2023,negative,the film is so bad that it is very well executed for this sole purpose to be unbelievably bad the reviews from critics and the public are so controversial about this film that i think there is certainly a money laundering scheme involved
Nov 3 2023,negative,how does this have a higher procent than the fnaf movie
Nov 1 2023,negative,this movie is terrible
Oct 26 2023,negative,0100 wtf were the critics thinking
Oct 20 2023,negative,sexualization of children
Oct 12 2023,negative,did someone really believe that sexualizing children will appease critics
Sep 27 2023,negative,i dont know what to think of the critic giving such a high score to this garbage there should be money involved for sure
Sep 14 2023,negative,a totally crapphole movie the critics that give a 5 star rating are useless
