Dates,Scores,Reviews
Mar 13 2023,positive, growing up is messy and alienating the confusing process of finding your own identity and the best crowd can be overwhelming at any age but especially in a moment when selfesteem is so precarious and the biggest concern you have is to be liked by others in addition todays environment is not a friendly one the internet social media and the expectations of society make it too hard to grow up unscathed this reflection is at the center of cuties the movie portrays the complicated path of maturity and finding yourself nevertheless unsatisfied with this scenario director maïmouna doucouré focuses this coming of age story in a black senegalese girl trying to adapt in a foreign country and a liberal society completely different from her conservative background cuties follows the story of amy fathia youssouf with a wideeyed face and a nervous smile an 11yearold girl that must deal with too much at once she has arrived in paris with her mother and two baby brothers and her father will join them soon after her position as the oldest sister means that she must take care of her siblings  including an adorable demba diaw  while embracing her communitys old traditions in addition her relationship with her mother is complicated who is struggling with her own grief after discovering that her polygamous husband will arrive in france with a new wife once amy arrives in her new school her sight is caught by a group of young girls that seem to own the place the typical mean girls that destabilize your whole world and make you want to be part of theirs even if their attitudes and actions go against your own in this aspect amys new conundrum is too real and identifiable every girl has been there these girls are confident extroverts and dressed in too provocative attires for 11yearolds they also have a dancing group called cuties copying their moves from mature and yet accessible music videos amy will do everything in her power to be part of this gang even when they treat her wrongly and call her names in a matter of days amy changes her appearance adopts new attitudes towards her family and starts making questionable decisions soon enough she is an entirely different person even going further than her new friends had ever gone before and adopting attitudes that are too complex and sexual for her to even understand it is easy to understand that this movie reflects the complications of growing up in a lonesome way these girls are lost and afraid with no figure guiding them through these confusing times the feeling of aloneness is at the heart of the movie cuties has inadvertently become the target of conservative critics in an overwhelming discrediting campaign what would have been a success story of a frenchsenegalese director selling her first movie to netflix after positive reactions in sundance became a nightmarish experience because of a careless marketing strategy by the streaming giant which was obscenely exploited by conservative trolls however reducing this movie only to its evident critique of the oversexualization of girls would be too easy and narrowminded as a matter of fact amys thoughts regarding her fathers decisions combined with her apprehension towards the changes in her household and body are the most interesting things of the movie her rebelliousness even feels revolutionary the movie does not shy away from uncomfortable topics that are present in real life and that shape our process of maturity and attainment of selfesteem cuties reflects the reallife emotional abuse that young girls suffer through examples of slut and fatshaming oversexualization of girls the inappropriate content in the media and how easy it is for children to get access to it although hard to watch at times  precisely when the director makes it evident that the girls are acting foolishly  the movie accurately portrays the complications and conflicts of growing up now regardless of its quality it seems that cuties has been judged and condemned this is the real tragedy considering that the movie is directly criticizing the things that it is being attacked for furthermore many of the themes and emotions that are part of our protagonists story are recognizable more so if the audiences are formed by black women and foreigners trying to adapt to a new social paradigm as such it is impossible not to feel protective of the movie sometimes uncomfortable and others too radical cuties is an eyeopener with an inspired ending despite the troublesome scenes we witnessed seconds earlier people should be concerned not at the movie itself but at the realities that it clearly reflects
May 10 2021,positive, cuties has already been condemned by hundreds of thousands of people who will never even watch it when it premiered at the sundance film festival in january this deliberately discomfiting french comingofage drama won largely though not unequivocally positive reviews it only became a cause célèbre a few weeks ago when netflix shared a promotional poster showing four preteen girls  each around 11 years old  imitating very adult poses familiar from countless recent music videos more than 300000 people signed a petition accusing the film of sexualising an 11yearold for the viewing pleasure of paedophiles prompting netflix to apologise for the artwork which was inappropriate and not representative of the film director maïmouna doucouré has since received death threats and said last week that netflixs coceo ted sarandos called her personally to apologise that apology was definitely warranted because doucouré is clearly trying to hold up a mirror here her film is a powerful exploration of the way young girls are subconsciously encouraged to perform for the male gaze she lifts the lid through the heartbreaking growing pains of 11yearold amy fathia youssouf a young girl living in a humble paris apartment with her mother mariam maïmouna gueye and two younger siblings amys father is still in senegal where the family hail from but will soon be joining them in paris with his second wife in tow mariam is devastated to have to share her husband but is urged by her stoic oldschool aunt mbissine therese diop to put on a brave face in front of the community the aunt also wields a significant influence on amy telling her a grandiose wedding to a suitable man should be her ultimate goal in life doucouré who is also of senegalese heritage neatly illustrates how amy finds herself caught between the traditional values of her muslim family and the imageconscious western ideals of her peers in an early scene we see her trying to straighten her natural afro hair with a regular household iron after she sees stylish classmate angelica médina el aidiazouni doing the same thing desperate to fit in amy begins to dress like a teenager instead of a child and joins angelica in an allgirl dance troupe called the cuties copying the provocative twerkheavy routines they see in contemporary music videos the cuties are determined to qualify for a big dance contest in central paris their practice sessions and performances are difficult to watch  if they werent doucourés film wouldnt be such a damning indictment of the premature sexualisation of young girls elsewhere though the directors lack of subtlety can slightly undercut her message one scene features a vague and lazy suggestion that kim kardashian might be partly to blame for the cuties misguided aspirations and doucouré relies on a few contrived plot developments to bring her film to its ripe climax still theres no denying she makes her overall point effectively this is a vivid and very alarming portrait of a young girl struggling to live up to two competing forms of deeply ingrained patriarchy
Mar 31 2021,positive, film critics william bibbiani and witney seibold review three new netflix releases  cuties the social dilemma and alive  and the new hbo max comedy unpregnant also this week on the critically acclaimed streaming club bibbs and witney revisit one of don bluths classic animated films all dogs go to heaven subscribe on patreon at  for exclusive content and exciting rewards like bonus episodes commentary tracks and much much more and visit our teepublic page to buy shirts mugs and other exciting merchandise  follow us on twitter at criticacclaim join the official fan club on facebook follow bibbs at williambibbiani and follow witney at witneyseibold and head on over to  for all their podcasts reviews and more email us at letterscriticallyacclaimednet and follow your hosts on twitter at williambibbiani and witneyseibold and subscribe to the critically acclaimed patreon for more exclusive podcasts
Mar 19 2021,positive, maïmouna doucourés first feature drawing on her own experiences as a child cuties caused tremendous controversy when it first reached screens it has since won a césar for its star fathia youssouf who was named best newcomer theres no doubt that the subject matter is difficult dealing with issues around preteen sexuality but the very fact that we struggle to have necessary conversations around this topic is one of the concerns it addresses and any danger that it might titillate some adult viewers has to be considered in light of that fact that similar material is available in considerable quantities online  usually without any such challenging demand for empathy with the youngsters it depicts youssouf stars as amy an 11yearold girl from a senegalese community whose strict religious upbringing clashes with the values of mainstream french society like any kid that age shes trying to find her niche in the world and establish ways of expressing herself kids at school mock her plain clothing whilst cooing over the cuties mignonnes in the original french a term which doesnt carry quite the same history of association with pornography a group of girls into fashion and dance so naturally she wants to be like them shes not cool enough however so she follows them around eventually earning a place as a videographer for their routines and subsequently replacing one of their number after a fallingout her relationship with the group is troubled and inconsistent as is often case with female friendships at that age it is also intense the idea that they might win a competition together becomes allconsuming amy needs a distraction from hr home life where her mother is struggling to cope with her fathers plans to take a second wife her grandmother is trying to force her into a traditional role and punishing her for the smallest infractions but she can see quite clearly that theres no guarantee of such a role making her happy other members of the community are more sympathetic but nobody really has time to give her the attention she needs and the message handed down from female elders is that girls should be kept away from sin by sheltering them from all discussion all concept of sexual expression or desire caught between two differently confusing worlds amy pursues her own desires aggressively as if trying to force the mixed messages she receives into some form that makes sense at no point does she or any of the other girls evince desire for another person the flirtatious moves they make and they way they dress are a form of play a means of exploring their potential as they begin to grow up only amy herself shows any awareness of how older men might perceive them dancing in front of different men on two occasions in an attempt to take control of difficult situations the film does not depict any abuse of the girls though  through the reactions of one of these men and later of men in a crowd watching the troupe perform at an events  it clearly signals the danger they face theres a blackly comic aspect to the latter scene with the girls completely unaware of how horrified most of the people in their audience are with all this in mind this could actually be quite a useful film for parents to watch with daughters of a similar age so that they can highlight the dangers which kids all too often fail to recognise without such prompting there is a call here to recognise uncomfortable realities and to make girls part of the conversation around their own safety rather than simply trying to separate them from the world or deny the fact that they are growing up with the exception of one of the girls crush on a boy at school they live their lives quite separately from their male counterparts they expect similar freedoms and are all too easily turned into scapegoats for a cultural problem blamed for causing discomfort when all of the actual danger stems from the behaviour of adults doucouré has stressed that the young actresses approached their scenes very much as play and were not somehow sexually corrupted by the dance routines which simply didnt have the same associations for them as they might for adults these seems consistent with the naturalness of the performances throughout youssouf shines but she is far from the only talent on display here the complex interactions between the girls are beautifully captured with a recognition of how cruel they can be which is usually missing from such depictions we see their youth not just in their naivety about sexual matters but also in  their selfcentredness and shortsightedness about life in general made manifest in a onsexual shocking incident near the end in which amy briefly fears she may have gone too far we see them very much as people complicated and difficult without the soulless innocence that adults find it convenient to imagine a potent coming of age story with particular relevance to minority ethnic experiences cuties is a fresh look at girlhood which deserves to be commended for its bravery if for some its difficult to watch its worth reflecting that its often difficult to be a girl that age doucouré has captured something raw presenting a reality which ought not to be ignored
Jan 9 2021,positive, in march of 2020 the pandemic lowered the boom on the movie industry scuttling the release schedule for the remainder of the year with only a few studio movies released with a few exceptions the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry in march of 2020 the pandemic lowered the boom on the movie industry scuttling the release schedule for the remainder of the year with only a few studio movies released with a few exceptions the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry in march of 2020 the pandemic lowered the boom on the movie industry scuttling the release schedule for the remainder of the year with only a few studio movies released with a few exceptions the major releases got postponed to 2021 in anticipation of fully vaccinated moviegoers reviving the industry but to paraphrase jeff goldblum in jurassic park movies  um find a way in 2020 this was mostly due to streaming services although christopher nolan did manage to get a theatrical release for his temporal extravaganza tenet earning us362 million worldwide it turned out some of the movies released on studio streaming services werent worthy of the theatre anyway artemis fowl wonder woman 1984 still where theres a will  or a netflix account  theres a way with that free press movie writers alison gillmor randall king and jill wilson offer up a few of the best of a bad year in this quiet unhurried drama set in a 19thcentury fur trading post in the pacific northwest indie director kelly reichardt patiently dismantles the ideology of the hollywood western a gentle jewish cook john magaro an enterprising chinese traveller orion lee and that titular bovine come together for a minimalist humanist story that touches on labour and capital history and national myth all the while remaining a lovely lowkey buddy picture from danish dogme director thomas vinterberg this deliriously drunken but ultimately sobering comedydrama tracks a group of middleaged friends teachers at a copenhagen high school who decide to maintain a consistent blood alcohol level of 05 per cent  in the interests of science of course anchored by the monumentally craggy face of mads mikkelsen this daydrinking comic premise becomes a serious nordic examination  look out for those kierkegaard references  of midlife melancholy fallibility friendship and the need for joy both passionate and delicate celine sciammas breathstoppingly beautiful period film set in 18thcentury brittany centres on a painter noemie merlant whos come to make a marriage portrait and her reluctant subject adele haenel as the two women fall in love the film becomes a rapturous exploration of the female gaze  behind the camera on the screen and in the audience former winnipegger matthew rankins surreal stylized antibiopic  named best canadian feature film at last years tiff  is a fabulist take on our countrys 10th prime minister william lyon mackenzie king dan bierne with hallucinatory visuals and deadpan comic timing rankin turns history into a fevered freudian national dream this madeinbrazil gem jumps through a few genre possibilities  science fiction social drama starcrossed romance  before landing on a largescale action movie about what happens when foreign hunters come to a brazilian backwater with evil intent written and directed by juliano dornelles and kleber mendonça filho its simply a ridiculously entertaining film and its appeal lies in the richness of the village setting aaron sorkins dramatization of the titular trialcircus draws a straight line between current events  police brutality racism judicialpolitical corruption  with the 1969 story of how richard nixons attorney general decided to railroad seven political radicals with charges of conspiracy in vengeful response to the riots at the democratic national convention in chicago in 1968 the defendants are hardly a united front with two in particular  yippies jerry rubin jeremy strong and abbie hoffman sacha baron cohen  treating the trial as political theatre they set the stage for sorkins urgent message about seeking unity in these divisive times a few locally shot films were released in 2020 many in the horror genre including the backwoods horror movie hunter hunter the urban horror anthology tales from the hood 3 and the studioproduced reboot the grudge not to mention the percy schmeiser biopic percy starring christopher walken the best of the local films however was sean garritys i propose mainly because of garritys insistence on giving a fresh take to that most exhausted of genres the romantic comedy putting together a very contemporary relationship movie garrity ups the ante by putting the cinematicallyneglected filipinocanadian community into the mix via heroine iris delacruz hera nalam who finds herself smitten with troubled mennonite lad simon kristian jordan nalam is the main reason to see the film no manic pixie dream girl she keeps iriss emotions grounded making her entirely relatable especially in her battles with her disapproving mom but nalam has bigtime bigscreen charm tonight only the film will screen free of charge for manitoba audiences commencing at 630 pm by logging onto januarysecondcom sponsored by safeathomembca the screening is part of an effort to keep manitobans at home during the covid19 crisis much as we may love martin scorsese you have to appreciate italianmade films about the mafia such as the 2008 film gomorrah or marco bellocchios the traitor these films brings an immediacy to the mob movie a sense that the mob is a clear and present danger to those it touches the innocent and the corrupt the traitor is the true story of mobsterturnedinformer tommaso buscetta pierfrancesco favino once a soldier for the sicilian mob brutally convinced to testify against his former confederates he engages with antimafia judge giovanni falcone fausto russo alesi and ultimately spills on just about everyone as we come to understand what drove the fatal wedge between him and his fellow mobsters in the first place bellocchio uses the facts of the case to gleefully puncture the myth of mafiosi dignity as buscetta favino is a terrific presence charismatic as past italian tough guys such as lino ventura if we can thank pearlclutching reactionaries for anything its for bringing this beautifully wrought comingofage film to wider attention the provocative netflix pr for mignonnes the french title ignited a firestorm of controversy  including claims of child pornography  over a thoughtful foreignlanguage art film that would otherwise have been on few viewers radar starring the wonderfully expressive fathia youssouf abdillahi as a somalifrench preteen who struggles to reconcile her muslim upbringing with the broad sexuality she sees among her peers and via social media cuties is a powerful statement about letting kids be kids it might be cheating to lump all five of steve mcqueens fulllength films into one yearend choice but the thematically linked works which are oddly designated as a miniseries on prime video really are of a piece as the british director hunger 12 years a slave explores the world of west indian immigrants in london from the late 60s to the 80s one of the standouts of the quintet is lovers rock an outlier in that it isnt based on a true story instead it lovingly documents a house party luxuriating in the details of food music and romance of a specifically black experience with a tremendous sense of joy
Nov 22 2020,positive, the tricky line between marketing and exploitation caused a ruckus in the case of cuties a wild feature debut from frenchsenegalese maïmouna doucouré it won the directing award at sundance before being snapped up by netflix then a poster happened to it this was an image cribbed from the films most openly provocative sequence  the finale  which out of context made everyone see red it showed four preteen girls striking sexy poses on a dance stage wearing shiny crop tops knee pads and booty shorts netflix soon apologised for the poster and switched to a different image of this quartet pouting to camera but the damage was done doucouré received death threats on social media and a petition to have the film banned has amassed over 340000 signatures on changeorg sight unseen  one can only presume  the originator of the latter marywhitehouseesque screed calls the film disgusting dangerous and made for the viewing pleasure of paedophiles the turkish broadcasting watchdog rtük seems to have agreed ordering the films removal from netflix in that country but enough of the moral panic no one involved in demonising this film has paused at any stage  or watched it  to consider that its very subject is the disturbing premature sexualisation of young girls in french society doucouré is hardly sly with her theme by the end she goes all out to make us squirm  elevenyearold amy fathia youssouf a senegalese muslim has recently moved to a parisian housing estate with her mother superb maïmouna gueye and two younger brothers her father who we never see is about to take a second wife and preparations for the dreaded wedding are underway at school a troupe of wannabe dancers called the mignonnes cuties catch amys attention but she feels too square and shy to fit in  at least until she pilfers a mobile phone from her uncle and begins using it to take selfies beautify herself and get tips from hiphop twerking videos doucouré is blatantly pushing buttons here  never more so than in the evermoreeyewidening dance sequences where amy quickly graduates from the rookie in this crew to the one schooling them in risqué fingerbiting choreography if the pageant finale of little miss sunshine often springs to mind she functions in the story as alan arkin to her own abigail breslin  the other girls want to pass as 14 to attract boyfriends and with amys phone they have worrying access to everything the internet can show their licentiousness starts to float free of strict plausibility amy borrows skimpy tshirts from her brother swipes cash and takes them all on shopping sprees their makeup budget starts to look enormous essentially theyre aping the gang from céline sciammas girlhood who were 16 going on 25 in letting this play out doucouré is underlining an obvious fantasy of prepubescence to fastforward towards being treated as desirable the film is more an experiment in chutzpah than a slice of social realism as the girls mess about recklessly and rehearse their moves their lack of any supervision is odd if semiexplained by the distracted chaos of amys household but they also know how their immaturity gives them a treacherous power as we see when a security guard tries to hustle them out for trespassing and they brand him as a child molester these certainly arent your neighbourhoods average polite children theyre twerking terrors of the pavement following some wellreceived shorts doucouré made this from a very personal place the keenest parts explore the pushpull of her muslim upbringing amy is acting out because of her fathers betrayal and unwilling to follow her mother  whos secretly devastated  down the path of demure submission to the patriarchy her rebellion is defiantly flaunting herself and thanks to some brazen invites from the films camerawork the routines she masterminds tend to make the male gaze curl up in horror  this is powderkeg provocation in an age so terrified of child sexuality thanks to the furore it has blown up just as much in doucourés face but the films first hour is topnotch for a debut the child performances are electric the range of emotion she gets from youssouf  not just the jawdropping cosmetic transformations  mark her out as a magician with actors gang leader angelica  quite the failure for nominative determinism there  is played with almost larry clarkesque attitude by médina el aidiazouni another brilliant find how doucouré achieved her joyous last shot i dont quite know imperfect as it is this film deserves to launch a career not end one
Oct 23 2020,positive, here director maïmouna doucouré beautifully captures the mercurial cruel and confusing terrain of 11yearold girl groups determined to show her mettle amy teaches herself how to dance by mimicking the sexuality adult women display in provocative music videos and then piques the girls interest by teaching them to twerk and pout one of the more effective ways to raise awareness about a problematic cultural norm like pornification is to baldly show it and this is the tactic doucouré takes in many cringeinducing scenes of amy and the girls practicing for and performing in a dance competition they wear booty shorts and crop tops twerk finger their lips and mimic provocative dance moves popularized in videos like the recently released single by cardi b wap this is the material that critics of cuties denounce many of whom revile the film without actually having watched it it is after all an easy sell few want to find themselves on the side of arguing for the sexualization of girls i encourage readers to reject the false dichotomy of pornification v purity and see them as one and the same pornification makes compulsory sexual selfdisplay while purity culture overvalues virginity and counsels modesty in girls and womens dress to protect men from sexual sin we can instead carve a new path like amy does in cuties the story ends with amy choosing not to attend her fathers wedding with her mothers permission and walking out of the dance competition in the middle of their oversexualized routine in the final scene we see amy dressed in jeans joining in a game of jump rope we need more feminist stories like cuties that illuminate the constraints girls and women face and help us chart a path to full gender equality  bernadette barton is professor of sociology and gender studies at morehead state university and author of the book the pornification of america how raunch culture is ruining our society and stripped more stories from exotic dancers copyright  2024 saloncom llc reproduction of material from any salon pages without written permission is strictly prohibited salon  is registered in the us patent and trademark office as a trademark of saloncom llc associated press articles copyright  2016 the associated press all rights reserved this material may not be published broadcast rewritten or redistributed
Oct 10 2020,positive,cuties is serious and raises useful questions if it makes you uncomfortable its supposed to
Oct 8 2020,positive, kittens for this weeks podcast we said to hell with it and jumped into controversy feet first first we ease you into things by explaining just why ryan murphys been getting on our last gay nerve lately from feud bette and joan to scream queens to the politician to hollywood and now with the execrable ratched dropping our overtly bitchy review is here we just cant keep our gay mouths shut on the matter said matter being his genx gay obsessions and how badly he tends to explore them what can we say we appreciate the guy but he bugs then its off to the controversy races as we review the muchdiscussed french film mignonnes which dropped on netflix with the english title cuties the controversy surrounding this film exploded in the past few weeks fueled in part by netflixs poor decision to market the film with a shot of its young actors in skimpy dance costumes we review the film discuss its controversial aspects from a social political and artistic perspective outline some of the things said about it by its detractors and some of the things said in its defense by its director maïmouna doucouré before coming to a conclusion about its worth and its methods believe it or not we have things to say in agreement with both sides of the controversy and come to some conclusions about the film and where it wound up that might surprise you
Oct 8 2020,positive,cuties is not a great film but it is a sensitive and thoughtprovoking portrait
