Dates,Scores,Reviews
Apr 6 2024,positive,the best kong film the story cast and visuals are amazing this movie is a must watch
Apr 5 2024,positive,really great but too long
Apr 3 2024,positive,the v rex  is cool dinosaur
Apr 2 2024,positive,the human characters are boring but king kong looks better than ever in this 2005 remake
Apr 2 2024,positive,too long but still a good movie
Mar 31 2024,positive,50 audience score is mad i loved this movie although it has a very long runtime and has a slow beginning  it makes up for it with lots of fun action scenes and big monke
Mar 30 2024,positive,watch the extended 3 hour version for all the wonderful touches but definitely a labor of love from peter jackson loved it
Mar 28 2024,positive,very amazing movie maybe a little slow but i truly loved
Mar 14 2024,positive,ok so maybe not perfect  and most of you younguns probably wont know what im talking about but i still had a really bad taste in my mouth from that jeff bridges version way back when and this rinsed that out nicely
Mar 3 2024,positive,beautiful cgi for the time it was made there is a scene for about 3040 minutes in the middle where your on the edge of your seat the entire time naomi watts is a show stopper was a bit long but it worked
Mar 1 2024,positive,0ne of the greatest movies ever created
Feb 25 2024,negative,why wound you make an overlong inferior version of a 1933 classic film
Jan 27 2024,positive,truly one of the greatest remakes ever peter jackson made the classic ape story a grand scale adventure with so much heart and outstanding visual effects naomi watts shines as the beauty that tames the beast and was a worthy successor to fay wray
Jan 22 2024,positive,a classic in its own right dont listen to the low reviewers they wouldnt know a good film if it smacked them in the face
Jan 16 2024,positive,this is one of my favorite kong and peter jackson films without a doubt what is wrong with some of you people who hate this masterpiece
Jan 5 2024,positive,peter jacksons king kong to this day is the best kong related film to be released this film captures the beauty and thrill of the original and goes above and beyond exceeding it this is a beautiful story of unexpected love with an underlying theme of man vs nature every character is beautiful written and the cgi of kong still holds up to this day despite it being made in 2005 this will forever be my favorite movie
Jan 2 2024,positive,this movie isnt stupid people youre stupid
Dec 19 2023,positive,an awsome reboot of the classic giant ape on monster island it brings the drama and horror perfectly
Dec 13 2023,positive,there are certain things here that absolutely do not work from the screenplay to the performances and even the special effects but within those elements enough greatness still exists so i am willing to forgive the flaws naomi watts might be the key here as she sells the more overtly tragic retelling of the story also  the whole section on the island remains one of the most thrilling series of sequences of the 21st century
Dec 2 2023,positive,pretty good     
Dec 1 2023,negative,this is not a good movie i have no idea how this flick gets 84 besides some nice cgi effects it must be the most illogical and flawed movie ever when it comes to action scenes and stuff that should physically be right
Nov 17 2023,positive,i dont understand why they hated this film but its good the cgi has aged very well since 2005 the protagonist isnt great id even say shes bad but that doesnt affect the film that much because the direction is sensational when kong leaves the theater its so good theres some tearjerking photography things like the tribe and the culture of feeding kong i dont think is so good because its just very slow and drags the film i give it 710
Sep 27 2023,positive,awesome film peter jackson is great at his job saw this when i was little but it was too scary at the time decided to revist it one of the best decisions i made in a month
Sep 24 2023,positive,i was surprised to see the amount of negative feedback on this movie from audiences reviewing this movie so recent some as recent as 2023 and complaining about cgi effects of course cgi has gotten much better since 2005 thats not rocket science nobody complains about the effects in jurassic park an amazing film by the way because its easy to remember when the film was made and how it had an incredible impact on future film making even though it looks poor compared to effects now i believe the cgi in jacksons king kong was amazing for its time and we should be rating movies based on when they were made when its comes to effects its easy to go from watching the newest marvel movie then to king kong and complaining about the difference in cgi effects but its very obvious that time has had a lot to do with the improvement between one film and the other     second the film is long but its incredibly action packed and fun to watch its not a deep film but its enjoyable nonetheless some scenes could have been cut shorter that i felt dragged on but this wasnt a deal breaker by any means character development with the people could have been a little better but the action makes up for that however i felt they did a great job at making king kong believable as a giant gorilla his small mannerisms were done well he has a lot of emotion and personality throughout the film one which resembles a real gorilla obviously some of these expressions are exaggerated as he is supposed to be this monster and king of skull island but they still did a great job of giving kong a true personality with more character development than some other monsters in other films you can see some amount of thought process with his character in certain moments which was nice character development for the monster of the film a nice change from the cliche chase kill eat in every single situation     third i felt the film did give a lot of screen time to the monsters often in movies similar to this one the monsters dinosaurs etc get very little screen time where they are full body and long enough to actually see this movie gives plenty of time to get a good look at these strange creatures living on skull island     overall the movie is pretty good for its time and for monster movie lovers its one of the better ones out there i would recommend
Sep 17 2023,negative,this movie was a boring overtly long dark and violent a waste of time
Aug 24 2023,positive,king kong is too long but still a good story its the classic version of the giant gorilla made as dramatic as possible the drama mostly pays off but sometimes it feels like overkill
Aug 8 2023,positive,how is the audience score for this so low it isnt dumb fun enough no patience to watch a 3 hour movie
Aug 2 2023,positive,i actually enjoyed this movie its great cgi but its 3 hours long thats little to long for me but its still very good
Jul 17 2023,positive,one of the best movies ever
Jul 13 2023,positive,great movie that is very under rated it may be a bit long but is very fun
Jul 12 2023,negative,this overlong mess is a completely unnecessary addition to the kong mythos with dull onenote characters and a runtime too long for the story and for an apt attention span the only redeeming feature is jack black and andy serkis it takes all the magic and flair of the original and stretches it to its absolute limit removing all the charm from the story for a boring slog that takes too long to get going and then too long to finish it doesnt know when to stop loving its special effects providing an experience that feels as uninteresting as it is long    the three hour runtime does it no favours
Jun 29 2023,positive,its sad but still has 
Jun 20 2023,positive,a thoroughly entertaining remake of a classic story the cgi is brilliant but naomi watts is the real star here  it is a long movie and could of been a bit shorter
May 15 2023,positive,a great reimagining of the classic film king kong is the perfect monster movie besides godzilla 2014
May 14 2023,positive,i love the film with trex
May 7 2023,positive,monkey
May 4 2023,positive,the greatest 03 hours and 07 minutes ever
Apr 21 2023,positive,i dont get at all why people hate this i personally think its of the greatest movies i have ever seen  and ive seen godfather parts i  ii apocalypse now my favorite film shawshank dark knight fight club and it lives up all of them  like the lotr trilogy jackson clearly put his heart and soul into this film and final result was breathtaking only id be one of the few to the big ape was the better film
Apr 14 2023,positive,this movie i have always loved and always willit has everything i love  dinosaurscreauturesamazing cgi and morethe dinosaur battle was just iconic and one of my alltime favorite movie scenes ever
Apr 13 2023,positive,i had a lot of fun with this one
Mar 22 2023,positive,watched it in theaters and thought it was pretty good but upon rewatch its actually kinda weird
Mar 9 2023,positive,let me start by saying that this film is a true spectacle of special effects and action sequences the cgi is outstanding with king kong himself being brought to life in a stunning and believable manner the battles between kong and the various creatures on skull island are nothing short of epic and the final showdown in new york city is a sight to behold    the plot follows filmmaker carl denham played by jack black who sets out on an expedition to the mysterious skull island to shoot his latest movie along the way he meets ann darrow played by naomi watts who becomes the object of kongs affection the relationship between ann and kong is one of the films strongest points with their bond being both touching and tragic the performances of the cast are also noteworthy jack black delivers a solid performance as the ambitious and selfish carl denham while naomi watts shines as the vulnerable and compassionate ann darrow the supporting cast which includes adrien brody and colin hanks also delivers strong performances    one criticism that could be leveled at the film is its length at over three hours it does feel a bit bloated at times with some scenes feeling unnecessary or drawnout however this is a minor complaint in the grand scheme of things    overall king kong is a thrilling and emotionallycharged adventure that is sure to entertain the special effects are topnotch the performances are strong and the story is engaging if youre a fan of actionadventure movies then this one is definitely worth watching
Mar 6 2023,positive,i do like this movie this is a loving tribute to the original king kong and it is an entertaining  kong film but not as good as the original king kong
Feb 27 2023,positive,awesome loved it all from start to finish
Feb 26 2023,positive,excellent movie great storyline and characters one of the alltime greats
Feb 24 2023,positive,king kong 2005 is beautiful to watch naomi watts and andy serkis deliver some of their career best performances while it can be slow and drawn out in parts with maybe some choppy dialogue here and there james newtonhowards original score the visuals and the emotional punch delivered beautifully at the end by the two leads will leave you crying regardless
Feb 24 2023,positive,decent but personally i preferred skull island more
Feb 7 2023,positive,great film with a lot of respect for the original the acting was very good overall especially with watts being the highlight the cinematography is good as well with lots of creative shts that have great action and epic scope to them the only problem is the cgi at times especially during the stampede looks awful though kong himself is amazing to look at great music but not exactly catchy or memorable the editing and pacing are good but this shouldnt have been 3 hours things do drag in the middle hunting for ann as this doesnt have the frantic pacing of the original and takes its time setting up the next encounter which has mixed results though the trex fight was awesome this film does a better job in the first half building characters and going into more detail from start to getting to skull island the finale is good also especially the stampede which is well done despite oversaturation of cg at times definitely give this a watch if your a fan of jackson any of the actors in this adventure or monster films its a great time and worth the 3 hour watch at least once
Jan 31 2023,neutral,it was okay not a big fan
Jan 30 2023,positive,i think is a great film full of challenges adrenaline surprises and thrilling
Jan 29 2023,positive,it hard to believe the audience response to this movie usually these days its the critics who cant be taken seriously perhaps most people cant stay focussed for 3 hours or theyve seen some many bad movies they dont know what an excellent movie looks like either way i weep for the future
Jan 28 2023,positive,peter jacksons epic remake of the classic monster movie is a grand display of filmmaking wizardry and fantasy craftsmanship after tlotr trilogy jackson delivered yet another masterpiece of massive scope heart action scares perfection
Jan 17 2023,positive,honestly i think it was a pretty good movie king kong looked amazing the casting was pretty spot on the cgi was a lot more realistic than i thought it would be overall not bad at all
Jan 17 2023,positive,this remake is very good  the acting is well done with special effects out the wazoo  the movie is still a tearjerker despite being a bit too long
Jan 11 2023,positive,very entertaining and thrilling movie not sure why the low audience score
Jan 5 2023,positive,its a shame this only has a 50 audiences score because its really great especially for 2005 810
Jan 4 2023,positive,this movie was amazing i love the actions and challenges they went through it really shows the hardship of love
Dec 27 2022,positive,featuring stateoftheart special effects terrific performances and a majestic sense of spectacle peter jacksons remake of king kong is a potent epic thats faithful to the spirit of the 1933 original
Dec 14 2022,positive,the overall story wasnt that great with a ton of action but the final act was amazing
Dec 11 2022,positive,my favorite version of the classic great action and effects
Nov 30 2022,positive,beautiful  i wrote this opening day and now would like to include it here at imdb    king kong a remake action drama thriller comedy epic 3 hour film only peter jackson could hold an audiences attention for 3 whole hours the communication between kong and ann is very cool and funny naomi watts is great in this but the real star is king kong his realistic movement and expression is amazing the effects are great best ive seen ever you can surely tell that peter jackson was the director just by the way he films and shows the landscape he gives us an amazing visual experience that only he could accomplish    i saw the advanced screening of this and it wore me out the first part has jack blacks character carl denham naomi watts as ann darow and adrien brody as jack driscoll they are all hurried by carl to skull island on a ship they eventually arrive at skull island in a storm literally they crash into some rocks in arrival and there are wave effects which blew my mind    the make up of the islanders is hideous but very neat and gets the audiences attention ann is taken captive by the natives in a very dark and exciting way but not so much memorable since it is outdone by the next 2 hours she is lowered to the ground in a way that will amaze you kong shows up and is attracted to ann this relationship between human and creature has never been done on such a levelthe part where kong fights the crew on the large log is classic the capture of king kong is incredibly better than i expected and my expectations are always high in movies there are some emotional moments for ann here as she is in love with both guys who saved her life    rampaging around new york lifting cars buses and women who look like naomi watts but never finding her pure movie magic this is the kind of film that comes only once every few years the finale scene atop the empire state building is just grand    overall king kong is for sure the best movie this year each action scene out does the one prior the characters are emotionally convincing the ending is sad even though it has been done time and time again the action has never been done on this level the lord of the rings is just as great a movie but isnt at all like king kong they are entirely different compared to the 1933 version king kong is faithful in plot many of the lines stay the same also king kong will be adored by audiences there will be applause best movie must see i laughed cried stunned    also cant wait for the extended version maybe there will be a few parts included that were in the 1933 original
Nov 26 2022,positive,the best production design ever made in a movie with the best sound mixing ever done in a movie plus the best sound editing ever done in a movie and the best visual effects ever made in a movie
Nov 1 2022,positive, a more depressing version even if it is one of the best they make you like kong in this version just for the same ending its also longer and epic just to get the same ending as any king kong film
Oct 29 2022,neutral,on skull island kong is not the monster there there is a lot worst
Sep 29 2022,negative,i really did not like this filmthe effects were over the top and it just felt off i guesswhile i get that the relationship is suppose to be fake between kong and ann i really dont like how theyre obsessed with one anothernot for me410
Sep 19 2022,positive,best of moviestv series collection
Sep 18 2022,positive,loved this movie since i was a little kid one of the greatest
Sep 4 2022,positive,incredible special effects and powerful performances jacksons remake of king kong stays loyal to the 1930s kong but bringing it alive into the modern generation of people
Jul 31 2022,positive,how do you honor a legendary story like king kong well you create a 3 hour 10 minute movie that is full of emotion full of suspense and full of heart
Jul 13 2022,positive,perfect story great casting and the vfx is so amazing
Jul 8 2022,positive,what is that audience score critics easily correct on this one
