Dates,Scores,Reviews
Sep 27 2023,positive, peter jackson draws on the original 1933 classic in his 2005 remake of king kong and the film is every bit the epic that one would expect the 1933 classic is iconic for its pioneering use of stopmotion technology it would also go onto inspire peter jackson to go into special effects lo and behold the oscarwinning filmmaker would tackle a remake after finishing up the lord of the rings trilogy after all the filmmaker knew he was going to make a remake when he was 12 years old the road got bumpy throughout the years but in 1995 universal pictures gave jackson an opportunity to remake the film as with any filmmaker he said no at first before coming around to it king kong was in the public domain at this point anyway the plan to film in 1997 is what would become a roadblock due to other remakes coming out production was delayed and jackson focused on the middleearth trilogy things would resume in 2003 jacksons films contain the same or similar set pieces but with modern technology allowing the filmmaker to do so much more instead of stopmotion technology andy serkis utilizes motion performance capture to depict the giant gorilla ill touch on the visual effects in a moment but i cannot say enough good things about them despite the modern technology this is a period film through and through jackson goes as far as paying homage to the vaudeville performances of the era ann darrow naomi watts a struggling vaudeville performer is hired by carl denham jack black for his new movie shes all set to decline before learning that jack driscoll adrien brody is the screenwriter denham is filming on ss venture which is captained captain englehorn thomas kretschmann what denham doesnt mention is that theyre really going to skull island not singapore its a recipe for disaster but not even a warrant for carls arrest is going to stop them before you know it the crew finds itself on skull island this goes as anyone would expectthe natives take ann as an offering to kong and they both flee into the jungle this was my first rewatch since seeing the epic film in theaters when it was released upon its release i felt that they could have cut out a half hour but that it would probably win an oscar for best visual effects lo and behold they won oscars for sound editing sound mixing and yes visual effects its only other nomination was for art direction which we now refer to as production design the thing with peter jackson movies is that there is a lot of care and attention that goes into the technical categories king kong missed out on a best picture nomination in an era before the category expansion i do not know if the film would get a best picture nomination under with the expanded field it just might but back to the films visual effects you cannot say enough good things about them when a filmmaker of peter jacksons caliber is directing a film you know that the visual effects are going to be topnotch there are a few scenes that draw back to the very iconic scenes that inspired them hell the work that went into building cgi new york is just astounding the first sequence in question is the fight between kong and the three t rexes the second sequence is the climactic ending with the empire state building of course both scenes go above and beyond what we see in the 1933 classic it helps that animators had the ability to work off of the previz animatics in designing the sequence for the big screen recreating the eighth wonder the making of king kong is a documentary that offers a substantial amount of insight into the film for instance peter jackson took naomi watts up to the 86th and 102nd observatories and even went up into the cone of the empire state building there were a number of years where the 102nd observatory had been closed but it more or less looks like it did in 1933 regardless their 2004 tour would inspire the interior design in the film watts and jackson also met fay wray in early march danielle solzman is native of louisville ky and holds a ba in public relations from northern kentucky university and a ma in media communications from webster university she roots for her beloved kentucky wildcats st louis cardinals indianapolis colts and boston celtics living less than a mile away from wrigley field in chicago she is an active reader sportsentertainmenthistorybiographiesselect fiction and involved with the chicago improv scene she also sees many movies and reviews them she has previously written for redbird rants wildcat blue nation and hidden remoteflicksided from april 2016 through may 2017 her film reviews can be found on creators
May 7 2023,positive,the visual effects are glorious  a circus of cliffhanging suspense sequences that go on and on and on but rather than just padding the story with gummy exposition and silly action jackson delves deeply into the psychology of the characters
Jan 7 2023,positive, king kong 2005 is an oldfashioned monster moviejungle thriller pushed to the limits with new technology by a filmmaker with both the skill and the heart to recapture the thrills of his adolescent moviehouse dreams its a remake of a 1930s classic via the wondrous creatures and primeval world of jurassic park and the devilmaycare cliffhanger spirit of raiders of the lost ark jackson sets it in the same era as the original 1933 filmthe depths of the depression in the early 1930swith naomi watts as aspiring actress ann darrow a young woman so desperate that she takes a job on a mysterious movie safari for director and adventurer carl denham jack black where denham was a reckless visionary in the original film jackson recasts him as a morally ambivalent entrepreneur who lies manipulates kidnaps and risks the lives of everyone around him first to get his picture and then to capture the mighty ape and get his prize discovery back to america in fact its a little too much of a good thing running almost twice as long as the original and filled with unnecessary side characters and spectacular scenes of man versus monster and ape versus everyone that go on long past the moment youd think he could sustain them jackson makes it all work with his showman instinct and his unconditional love of movies he fills all of those extraneous scenes and charactersespecially those involving the cabin boy jamie bell and the african american first mate evan parke his big brotherfather figurewith a love and respect that gives the film an emotional grounding and when jackson is at his best as an action craftsman you overlook the cgi overkill to marvel at the scenes especially the signature scene where kong takes on not one but three trex beasties while juggling lady love from hand to foot its astounding and fierce and as impressive as any spectacle of its era and of course there is the performance of pioneering motion capture actor andy serkis whose superb body language performance brings the completely animated kong to life he gives the creature an astounding personality a playful spirit and a sense of humor the interlude on the frozen lake in central park is joyous as he explores the ice and slides across it like a little kid and the chemistry between serkis beast and watts beauty much of it communicated through their eyes gives the adventure its love story adrien brody is our human hero jack driscoll andy serkis gets a flesh and blood role as the crotchety cook lumpy and in the process lands both of the films best death scenes and thomas kretschmann colin hanks and kyle chandler costar dont miss a single recommendation subscribe to the stream on demand weekly newsletter your email address will not be shared and follow us on facebook and twitter sean axmaker is a seattle film critic and writer he writes the weekly newspaper column stream on demand and the companion website and his work appears at rogerebertcom turner classic movies online the film noir foundation and parallax view
Mar 26 2021,positive, back in 2017 the heavily hyped kong skull island wasnt the first time that year that movie audiences saw king kong thundering across the screen after all a more diminutive  and blockier  version of the character made a cameo appearance in the lego batman movie and now the great ape is returning yet again roaring into theaters and onto hbo max march 31 in godzilla vs kong clearly a constant presence on the popculture scene is expected with a figure as iconic as this one since king kong first appeared in 1933 theres been no small measure of greatape movies seeking to either honor or pillage his legacy from a pair of longlost japanese films from the 1930s to a bangladeshi musical in 2010 numerous filmmakers have sought to usurp the kings throne through usually unauthorized versions there have been animated television series straighttovideo features and even movies starring a professional wrestler named king kong then there are the following 16 theatrical releases all of which were either officially licensed kong productions or imitators hoping to snag a share of the box office pie here then is every giant ape movie ranked from worst to first it might seem unfair placing 1986s king kong lives at the bottom of this list considering that  unlike several other greatape movies  it at least boasts of a decentsized budget slick production values and linda hamilton but the hint of talent is actually what drives home its utter worthlessness  theres simply no reason for this movie to be this abysmal producer dino de laurentiis 1976 king kong may have received a mixed reception from critics but it proved to be a hit with audiences clearly not understanding the adage of striking while the iron is hot de laurentiis waited an entire decade before getting around to making the sequel that delay plays into the plot as the film reveals that kong survived his plunge off the empire state building and has since been in a coma to revive kong on the 10th anniversary of his fall the attendant doctor hamilton states that he needs both a heart transplant and a blood transfusion the former comes courtesy of a gigantic artificial heart installed during a sequence that stands among the most risible in all kong flicks the latter comes courtesy of an oversized female gorilla that conveniently has just been discovered by an adventurer brian kerwin more ratso rizzo than indiana jones in borneo kong is revived the great apes fall in love and once baby makes three ms kong finally gets to put to use the most unconvincing animal boobs since the ones showcased earlier that same year in howard the duck the crosseyed gorilla isnt the worst element of 1969s unspeakably awful the mighty gorga admittedly its a distraction wondering why no one took a couple of minutes to fix the wayward peepers on the unfortunate ape costume borrowed for this picture but even this seemingly simpleminded simian looks genuine when compared to the dinosaur that eventually pops up apparently made out of discarded popsicle sticks and chunks of cheap plastic this just might be the most laughable prehistoric puppet to ever appear in a movie then again thats right in line with the rest of this amateurish slop which finds a circus owner anthony eisley journeying to africa to locate the giant gorilla that can save his business its hard to ascertain whats more ludicrous the spectacle of actors constantly flubbing or heck even remembering their lines or the parade of california beach bums hired to play african natives best worst of all is the witch doctor gleefully sacrificing virgins to kong  as played by bruce kimball he possesses the countenance of a disreputable lodges grand poobah while delivering his lines like a bad borscht belt comedian incidentally another creature appears later in the movie and its far superior to the dinosaur spotted earlier lest anyone think the filmmakers were suddenly infused with a modicum of minute talent be aware that this monster was actually borrowed via stock footage wholesale from another film  1960s goliath and the dragon for those keeping score an inept italian production that appears to have been made for a buck fifty the film was known as eve the wild woman in its homeland thats certainly a more fitting moniker since the plot does involve a woman named eve and she is indeed wild played by esmeralda barros she comes along late in the game to help hunky mercenary burt dawson brad harris exact his revenge against albert muller marc lawrence a fellow merc who once betrayed him muller is now spending his days toiling as a mad scientist  hidden away in his jungle lair hes busy planting tiny radio receivers inside the heads of gorillas thus enabling him to control all their actions its up to eve a female version of tarzan to help dawson locate mullers hideaway and save his damsel in distress ursula davis obviously theres no king and no kong in king of kong island  heck theres not even an island the story unfolds in kenya but american audiences werent the only ones to get konged  excuse me conned  by false advertising in west germany the film played under the title king kong and the tan goddess while in greece the picture was known as the runaways of king kong the opening credits for 1976s ape signal the level of quality that defines this korean production as the word transportation as in transportation provided by  is misspelled as transporation following this alphabetchallenged intro the action begins with a dangerous 36foot ape being sent to disneyland for a promotional tour the creature breaks free from the ships cargo hold and proceeds to destroy the vessel which actually looks like a toy boat bobbing around in presumably the producers swimming pool the primate then battles a rubber shark or as the spielbergattentive ads plugged see ape defy the jaws of giant shark before heading to terra firma to watch kids frolic on a playground demolish several buildings and  because every kongsize contract requires it  halfheartedly make off with a blonde the heroine in this case is an actress joanna devarona later joanna kerns of growing pains fame who terrifyingly shrieks like one of the victims in the last house on the left before inexplicably turning into mae west and purring at the great ape be gentle big fella rarely in the annals of cinema have so much plywood and lighter fluid been expended in the service of visual effects magic  be sure to also check out the falling rocks that flake off styrofoam pieces as they hit the ground ape incidentally stands for attacking primate monster although the movie also made the rounds under the great counterattack of kong kong hideous mutant and attack of the giant horny gorilla like ape 1976s queen kong was a king kong ripoff produced to profit off the hype surrounding the dino de laurentiis version making its way into theaters unlike the korean flick this british spoof barely saw the inside of theaters as a lawsuit hurled by de laurentiis successfully blocked its release in most of the world and certainly in the us and england as the title suggests the film is basically a genderswitch king kong with a giant female gorilla mixing it up with a slacker named ray fay robin askwith drowning in kitschy excess queen kong strains hard for laughs that simply dont materialize  the opening song sets the tacky tone with such lyrics as  shes a genie who aint teeny shes the queenie queenie for my weenie when im feeling mighty spunky i wanna do it with my hunky monkey yet whats interesting about the movie is how it predates pictures like airplane and the kentucky fried movie as a spoof of all trades with timely zingers aimed at such hits as jaws the exorcist and airport 1975 even more intriguingly queen kong positions itself as a feminist flick with ray fay delivering a climactic speech about how the oppressed ape represents all women attempting to assert their independence in a patriarchal society everybody loves the monkey producer dino de laurentiis would frequently chirp explaining why he decided to remake a classic that had long been hailed as one of cinemas finest achievements but 1976s king kong turned out to be a hamfisted version of the venerable yarn replacing the excitement and gravitas of the 1933 original with a jokey attitude that bordered on camp the only area in which it improved upon its predecessor was in delineating the relationship between the ape and the woman he loves and even this was subsequently handled better in peter jacksons 2005 update jeff bridges appearing almost as hirsute as kong gamely tries to lift the proceedings as a paleontologist with charles grodin doing his part as a greedy oil company executive but in the central role of dwan newcomer jessica lange fights a losing battle against a script that transforms her into a new age ninny when first encountering kong she inquires about his zodiac sign  her performance led to withering reviews that kept her off the screen for three years incredulously king kong earned an oscar for its visual effects sharing that years honor with the far more accomplished logans run considering the shoddiness of the visuals  especially in the closeup shots when kong unconvincingly leers at dwan as if he were auditioning for a benny hill skit  there might be some truth to the longstanding rumor that some academy members resigned in disgust after their colleagues voted for this unearned distinction today rankinbass is best known for such animated tv specials as 1964s rudolph the rednosed reindeer and 1970s santa claus is comin to town but among the companys prolific output during its heyday was 1966s the king kong show which aired as part of abcs saturday morning lineup for a couple of seasons the 1967 feature film king kong escapes a liveaction collaboration between rankinbass and japans toho studios was directly inspired by the series which explains why it seems mainly geared toward children its certainly perky enough to maintain adolescent interest as kong squares off against mechanikong a robotic replicant created by the nefarious dr who  no not that dr who though he does bear a passing resemblance to dr no in fact much of king kong escapes plays like a romper room version of a james bond adventure even borrowing mie hama kissy suzuki in the 007 outing you only live twice to portray the slinky villainess madame x as for kong his dance card is filled with battles against mechanikong the dinosaur gorosaurus a sizable sea serpent and a rather raggedy monkey costume it almost feels as if 1962s king kong vs godzilla deserves two spots on this list considering the vast differences between the original japanese cut and the radically reworked american version the genesis of the film began with appropriately enough willis obrien the visual effects genius behind the original 1933 king kong obrien had long envisioned making king kong vs frankenstein but when no american studio jumped at the opportunity to finance such an awesomesounding movie other hands got involved and king kong eventually ended up much to obriens displeasure at toho the outfit behind the godzilla flicks king kong vs godzilla was a smash in its homeland but for us consumption many of the more satiric moments were axed and replaced with tedious scenes of a united nations broadcaster michael keith and a stuffy scientist harry holcombe alternately providing deadening exposition still the most colossal conflict the screen has ever known per the posters was the sole reason global audiences packed theaters and viewers of either version got their moneys worth while the kong costume itself was particularly woeful the thrill of seeing these mighty monsters rumble kept customers content  and convinced toho to fully throw its muscle behind godzilla via countless movies merchandise and more herman cohen met with success by producing and under pseudonyms writing the 1957 features i was a teenage werewolf and i was a teenage frankenstein so why not go for the hattrick by unleashing i was a teenage gorilla onto an unsuspecting world alas a rash of similarly titled cheapies from other filmmakers teenage caveman teenage zombies teenagers from outer space etc led to understandable audience burnout  by the time cohen was ready to release his monkey movie in 1961 he opted instead to go with konga set in england the titular gorilla only grows to kongsize proportions at films end  before that he begins life as a harmless chimpanzee brought back from africa by dr charles decker michael gough a scientist whos obsessed with perfecting his growth serum testing the formula on the chimp he quickly learns that it turns the little fellow into a hulking gorilla ready to carry out his murderous bidding a standard entry in the mad scientist genre konga is elevated by the suitably intense turn by longtime horror veteran gough perhaps best known for playing alfred to michael keatons bruce waynebatman but once the monkey gets supersized the terrible visual effects take over with the climactic sequences centered around a guy in an ape suit standing listlessly next to a big ben model while the brits blast away disneys 1998 mighty joe young a remake of the popular 1949 version is at its best when it  pardon the pun  apes its predecessor and falters when it attempts to strike out on its own as before the movie details the loving relationship between a young woman charlize theron growing up in africa and the oversized gorilla she hopes to protect from civilization theron brings enormous warmth to her role and effects guru rick baker uses animatronics and a dash of cgi to fashion a central creature that looks absolutely believable from first frame to last unfortunately the majority of the film proves to be even more hokey than its forebear thanks chiefly to the addition of onedimensional villains poachers and black marketeers seeking to make life miserable for our hirsute hero still its hard to resist a film in which bill paxton as an affable conservationist addresses mighty joe as ya big palooka the 1933 king kong was such a smashing success that the studio excitedly demanded that a followup hit theaters in the same calendar year nine months later son of kong was released but despite reassembling most of the key personnel from the previous picture it was merely a pale  if likable  shadow of its predecessor filmed on a much smaller budget it brings back king kong costar robert armstrong as carl denham here returning to skull island to search for treasure and running across kongs cuddly albino kid little kong is almost incidental to the story and doesnt even show up until well past the halfway point  primarily this is about denhams crisis of conscience regarding his treatment of kong in the first film in that respect its an interesting piece but its far too short at 70 minutes and it ends with an alltooconvenient earthquake making short work of the various storylines originally released in the us as goliathon 1977s the mighty peking man is arguably the best of the countless kong ripoffs that have glutted the marketplace its easy to see why both roger ebert and quentin tarantino were enthusiastic fans the plot borrows from both king kong and mighty joe young as an explorer named johnny danny lee later of john woos the killer stumbles across not only an oversized apeman known as utam but also the lovely blonde whos been his companion over the years shes samantha evelyne kraft who survived the plane crash that killed her parents and has since been running around the jungle clad only in skimpy tarzanapproved duds she and johnny fall in love and together with utam they head to hong kong where all hell breaks loose the mighty peking man doesnt flow as much as lurch forward and cheesy interludes such as samantha frolicking with leopards in slow motion are the norm during the films first half but because the project was generously financed by the shaw brothers those purveyors of classic kung fu flicks over the decades the model work is far more polished if still not always convincing than that seen in other similar efforts yet whats most notable about the mighty peking man is the utter nihilism that rears its head during the final act the king kong template is one that naturally lends itself to tragedy but the consequences here are downright startling the second film in the upandrunning monsterverse 2017s kong skull island is a definite improvement over 2014s godzilla  its also frequently clever occasionally inane and always exciting certainly the human players matter less than ever with all but one character painted in the broadest strokes possible the glorious exception is hank marlow played with the right mix of cheer and fear by john c reilly a fighter pilot whos been stranded on skull island since world war ii the film itself is set in 1973 marlow proves to be the most sympathetic character in the film the goto figure for audience involvement the others are the usual stock assemblage of hunky adventurer tom hiddleston feisty pacifist brie larson gungho military man samuel l jackson government wonk john goodman whiny company suit john ortiz and various expendables in the form of scientists and soldiers all are part of an expedition that arrives on skull island and proceeds to get ambushed not only by kong but by other oversized inhabitants the script cobbled together by several sets of hands isnt nearly as impressive as the direction by jordan vogtroberts  love the visual shoutouts to apocalypse now  although its as a creature feature that kong skull island works best the visual effects are truly dazzling particularly when employed to bring the movies towering star to roaring rattling life presented by no less than the legendary john ford 1949s delightful mighty joe young reunited the key players from 1933s king kong  director ernest b schoedsack writerproducer merian c cooper coscripter ruth rose and special effects wizard willis obrien  for another story about an ape run amok comparatively more benign than kong but still a dangerous oversized animal joe lives in africa with his human companion jill young terry moore who has raised the gorilla since infancy jill gets talked into bringing joe to america by garrulous showman max ohara who wants to use him as the main attraction in his junglethemed nightclub to play max the filmmakers once again turned to robert armstrong whos basically asked to essay the same type of role he tackled in king kong and son of kong mighty joe young climaxes with a devastating fire at an orphanage interestingly this lengthy segment was filmed in sepia tone rather than blackandwhite in creating the pictures stopmotion effects obrien was assisted by a young ray harryhausen  the film earned the best special effects oscar but its lackluster box office performance led to the cancellation of a proposed sequel joe meets tarzan whereas the 1976 version of king kong was made by profiteers the 2005 remake was handled by a filmmaker with a genuine affinity for the 1933 original fresh from his success with the tolkien trilogy peter jackson turned his attention toward honoring one of his favorite films with an expensive homage jacksons king kong was a box office hit earned a trio of oscars for its sound and visual effects and showcased a superb turn by naomi watts as ann darrow its chief drawback is its length since jackson took the template of the 103minute original and stretched it to 190 minutes this hefty running time aids the first act with filmmaker carl denham jack black preparing to head out into uncharted waters to make his epic and the third act which places the action back in new york in time for kongs fateful encounter with the empire state building but the middle section set on skull island is where the film lags due to jacksons insistence on steering the story away from kong and focusing on the territorys dinosaurs and other beastly inhabitants its as if jackson wanted to make his own jurassic park  a waste of time since steven spielberg had already done it perfectly still kong himself is a visual marvel with an expressive range of emotions sweeping across his face as usual andy serkis handles motioncapture duties and fans of jacksons dead alive will chuckle at the sign in the ships cargo hold that reads sumatra rat monkey a gargantuan hit upon its original release and subsequent reissues 1933s king kong goes beyond being a mere staple of film history in much the same manner as the wizard of oz and its a wonderful life this masterpiece about the eighth wonder of the world long ago entered into the national consciousness as an enduring part of our heritage as ann darrow the beauty who captures the beasts oversized heart fay wray became an overnight star although equally memorable is robert armstrong as carl denham the boisterous filmmaker who sets the story in motion with his plan to shoot his next exotic picture on the uncharted skull island under the auspices of producerdirectors merian c cooper and ernest b schoedsack willis obrien with a major assist from marcel delgado contributed extraordinary stopmotion effects that brought to life many classic sequences including kongs destruction of a native village his battles with prehistoric beasts and his tragic last stand atop the empire state building obriens effects were both innovative and influential  the same goes for max steiners excellent music credited not only as the first featurelength movie score but also one of the earliest to employ a full symphony
Oct 9 2020,positive, audeville performer ann darrow naomi watts suffers alongside everyone else during the great depression struggling to earn enough to eat  particularly after her revue is shuttered shes nevertheless hopeful that if she can just get an audition with legendary playwright jack driscoll adrien brody shell find her way to stardom but the competition is dishearteningly tough and the easiest fix is to resort to a disreputable burlesque show meanwhile hotheaded producerdirector carl denham jack black is in the middle of getting his latest picture shut down when he decides to flee to the waiting ship that hes paid to sail to a shoot at a mysterious destination hes obtained a map to a most exotic virtually undiscovered locale and hes intent on going  before the studio bigwigs can put a stop to the departure of the vessel the ss venture when his leading lady drops out carl is forced to snag the first size4 dame he can find  preferably one with a pretty face as luck would have it he crosses paths with ann in time to sucker her into joining the expedition carl is also silvertongued enough to trick driscoll who happens to be in a cabin aboard the venture to hand over the first 15 pages of a script  and to then get shanghaied for the journey from here the venture stumbles upon a craggy seemingly deserted landmass with a sizable wall that was surely designed to keep something very large out as the captain thomas krestschmann hustles to repair his ship carl and a few of his filmmaking crew wander onto the island where theyre attacked by natives in an eerie deviation from the former tone for the first time momentary horror movie notes creep into the picture which starts to resemble the chills of cannibal movies though the poor editing once again ensures that its a temporary ghoulishness in another pointless subplot first mate hayes evan parke and his young protege jimmy jamie bell trade observations about heart of darkness  made more insincere via histrionic voiceover moments these two are  by far  the worst pieces of the project with a ceaseless flair for the overdramatic director peter jackson does everything with largerthanlife characters exaggerated wideeyed enactments and intense stares swelling music rousing or ominous speeches in closeup and plenty of intricate details his details however are so overwrought and exhaustive that the end result is a whopping threehour production in jacksons world there are no bitparts the overabundance of players all receive so much screentime that the pacing suffers considerably the actors and actress are amusing but even when audiences get to know them all intimately it doesnt much alter the impact or emotions as they succumb to the horrors of skull island here the editing is correspondingly overthetop using visual gimmickry to generate false thrills  excessive manipulations that absolutely didnt need to be utilized jackson sticks with the great depressionera setting for this third major theatrical adaptation but he goes to much greater lengths to set the stage than in the 1933 version the introduction spends many minutes building up its characters and locations and financial hardships as if the roles needed some added sympathy to humanize them for their inevitable confrontation with the monstrously inhuman curiously the sexual undertones  or overtones  of the previous two iterations has all but vanished as a film enthusiast jackson does incorporate numerous nods to the blackandwhite classic borrowing exact lines or mimicking specific scenes but on a few occasions he duplicates a couple of the faults from the 1976 take which is one of the worst choices  or accidents  he could possibly make the love story between ann and jack is one such problem as its built upon an unconvincing montage that is as fleeting and insignificant as the running time is long monsters belong in bmovies to its credit jacksons update finally gives its title role the hitech cg makeover for which fans have been waiting some sequences are less convincing than others but the technology has improved to such a degree that its undeniably impressive to see kong during his most famous routines a bit of this is ruined as well however as the animators have attempted to duplicate primate movements so authentically that kong has lost some of his beastly identity mostly hes just a gargantuan gorilla  a rather predictable animal even if significantly overgrown in the end the adventure is ambitious to match the graphics but it isnt always effective in its extremeness especially during an unintentionally comical brontosaurus stampede in which the lumbering dinosaurs manage to sidestep all the tiny humans scampering beneath their enormous feet a later trex fight is far better as well as the aerial finale atop the empire state building though the choreography still favors explicit fantasy over muchneeded realism wherever it could get believable imagery it definitely should have gone for it yet this notion is sadly infrequent for all of its polish and spectacle and grandiosity the faults still drastically counteract the accomplishments designed by mike massie   20062024 gone with the twins  all movie related images  their respective owners articles on this site may not be distributed or reproduced without written consent
Jan 8 2020,positive,in an era of reduced expectations king kong is one movie where everyone studio and audience gets their moneys worth
Nov 19 2019,positive, with the success of 8220the lord of the rings trilogy clearly peter jackson had a tough act to follow yet jacksons followup another remake of the epic adventure 8220king kong proves to be the right project for a director who clearly understands the art of the action genre 8220kong does trudge along at times with a threehour running time but it still works thanks to the final twothirds in which each action sequence trumps the previous one 8220king kong follows a film crew to a remote island in the 1930s the films director carl denham jack black is desperate to finish his work and convinced that shooting on location in this remote land will be just what he needs to secure the pictures shaky financial backing among the people joining denham on this journey are ann darrow naomi watts a downonherluck actress and jack driscoll adrien brody a writer and friend of denhams once the group gets to the island they get more than they bargained for with a land full of prehistoric creatures and a 25foot ape which happens to develop an affection for darrow jackson takes a slow and methodical approach to the story with kong not appearing until over an hour into the film but like that first climb on a rollercoaster once the action picks up steam it is nonstop jackson fills the screen with one fabulous chase after another its like watching 8220jurassic park on amphetamines there are dinosaurs bats mansized insects  enough danger to fill three action movies but 8220king kong has more going for it than the action sequences at its core the film is a love story between woman and beast their love has a sense of credibility that gives 8220kong a touch of tenderness and jackson and especially watts deserve praise for making that relationship work this remake is sure to be compared to its two predecessors its been a while since ive seen the original and honestly my only memory of the 1976 version centers around me sneaking into a theater to watch the last half of the film a long story best saved for another day with that in mind i dont think im the one who can accurately compare the three films but i do know one thing  i enjoy a good action film just like the next person and this isnt just a good action film 8220kong is a very good one  sportswritermovie reviewer micheal compton now has reviews available on the web just go to  and click on the comptons critiques link for a quick hit of movies now playing in the area micheal can also be reached via email at mcomptonbgdailynewscom
Nov 6 2019,positive, once upon a time there was a 9 year old boy with an amazing imagination and on one fine day he saw a movie that would impact him forever  king kong directed by merion c cooper and ernest shoedsack shot in black and white and released by universal studios in 1933 king kong was such a success on its release that it saved the studio from going under years later when this little boy saw the mighty kong he was so taken with the movie and the concept of movie making that he fashioned himself his own cardboard king kong model used his mothers furcollar coat cutting the collar into fine threads and gluing strands of fur one by one on his model and then grabbed a movie camera to make his own version of king kong okay so that version wasnt a huge commercial success beyond his own living room but fast forward to the present what that 1933 king kong did do was create a love and desire in a young peter jackson that inspired him to become one of the consummate filmmakers of our time having helmed one of the true epics in movie history the lord of the rings trilogy jackson now had the means to do the film he had always held close to his heart  a big screen version of king kong and let me tell you right now  this is no remake or reinvention of a classic this film is a loving recreation of a timeless tale clearly a labor of love the memories held all these years by that 9 year old leap from the screen with every shot every effect every nuance every word every creature creation every beat of kongs heart true to the original film and story but with the added polish that is offered by todays technology peter jacksons king kong is a visual masterpiece the time is 1933 america faces the great depression ann darrow is a struggling vaudeville actress without income and without wanting to lower herself to performing burlesque ann has little in the way of prospects  that is until she steals an apple from a street vendor and finds herself rescued by carl denham a man with a slightly nutso streak in him denham can relate to anns little theft  especially since he just heisted his unfinished adventuretravelogue from the studio after execs threatened to pull the plug and funds some things never change rushing to get his cast and crew aboard a singapore bound steamer denham has another little problem his star has pulled out of the picture second problem  shes a size 4 and all costumes have been made luckily for him he met ann not only is she desperate for work shes a size 4 convincing her to sign on to the project is a bit tougher though like she has many options that is until she finds out that up and coming playwright jack driscoll has written the screenplay and is going along for the ride with all on board the ss venture sets sail from new york harbor but what no one realizes is that denahm doesnt plan on going to singapore always with an eye on his ego denhams true plan is to head for skull island and a mythical beast of mighty proportion with a slow build to the arrival on skull island jackson uses the time wisely to establish time place motive and characters but the fun really starts once man steps into this lost world paying great homage to the original film but with a cgi twist we are met with prehistoric dinosaurs carnivorous sea slugs a lost race of man that are more savage than anything ever depicted in a national geographic a brontosaurus stampede and tyrannosaurus triplets and of course king kong  all of which are used to establish the love story between kong and ann notable is jacksons use of the spiderpit sequence which was cut from the original but given new life here with some of the creepiest and crawliest arachnids ever seen despite the grandeur of the special effects it is the story of kong and ann that still touches the heart and is the essence of the movie be it ann using her song and dance talents to sooth the savage breast so as not to be eaten or crushed or waggling a finger at a tantrum throwing kong or kong tearing up trees tossing boulders and beating his chest in a huff over his frustration with ann be it man or ape the male species just dont get us females the story of true life is timeless and endearing and let me tell you kong is more a gentleman more gallant and more loveable than almost any man on the planet but leave it to the call of fame and fortune and ones man ego though to spoil everything and here that falls to carl denham seeing gold at the end of the rainbow denham has kong and his sweetie broadway bound with what we all know have terrifying results although the human performances are not as compelling as that of kong they are nevertheless not to be overlooked  and especially when it comes to jack black with his portrayal of carl denham black can finally be described as a movie star stepping out of type yet so in type blacks denham is an overthetop egomaniac that only adds to the underlying social commentary of the story dont be surprised to hear blacks name called out on january 31 2006 for a best supporting actor nomination oscar winner adrien brody takes on the role of jack driscoll with a performance that is weak wimpy and weepy one can easily see why ann would prefer to be with a great protectorate like kong and as for ann darrow this is one of the finest examples of perfect casting i have seen in many a day naomi watts is enchanting idyllic and golden clearly born to play in period pieces her range of emotion and adaptability in either a green jungle or concrete one is exciting to watch but it is her heart that radiates with her performance here simply magical  but the real star here is not the human actors nope that honor goes to the mighty kong himself great pains were taken to develop kong with such exacting detail so as to create a great ape that has weathered the ages but who really is an old softie inside complete with battle scars a droopy eye from a prior battle and even a broken jaw not to mention some pretty bad cavities kongs humanness is both touching and enlightening much of the success of kong goes to andy serkis himself filmed and then digitized with konglike fur who provides the fluidity and personality that create the most layered and emotionally fulfilling character of the film from the blink of an eye to a raucous laugh to a gentle touch of his finger to a darwinian ferocity it is serkis work that brings believability to the forefront for the first time in kong history we see kong moving on all fours  leaping jumping running it is kongs actions that set the pace for the film once on skull island and serkis is the one behind it  and of course what about those cgi guys calling on a good portion of his team from lotr they all outdo themselves here  and never more so than a pivotal battle sequence involving kong trying to save ann while suspended over a gorge battling the tyrannasaurus three and falling from tree to tree threatening to plummet all the way down before our very eyes mesmerizing dizzying heartstopping but just when you think youve seen it all they break out the climactic ending with airplanes kong kong and the empire state building whew  from set design to costuming of 1933 manhattan to the imaginative artisans responsible for skull island there is not a deficiency anywhere in this film even jackson and his cowriters fran walsh and phillipa boyens give the story a social conscience without becoming preachy or detracting from the original tale or the love at its very core  under the guiding and loving hand of peter jackson king kong proves to be mightier than any that have gone before and surely any that will come after from start to finish this is an extravaganza a classic and a love story that you will long hold in the palm of your hand as kong holds us in his
Jun 5 2019,positive,who would have thought a remake of one of the greatest films ever could rival if not surpass the original in jacksons capable hands thats just what king kong does
Feb 4 2019,positive,from dinosaur stampedes to toothandclaw fights with tyrannosaurs to the titular apes inevitable doomed climb up the empire state building kong version 30 is the very definition of spectacle cinema
