Dates,Scores,Reviews
Apr 13 2024,negative,i hate mulan 2020 according to the video the video said that there is a chinese police and its very unacceptable and its bad and they removed mushu
Mar 22 2024,neutral,disneys liveaction reboot serves as decent entertainment on its own but falls short in terms of charisma and fun  compared to the 1998 animated tale  but also as an action flick its a long distance behind the best in its genre
Feb 21 2024,negative,decent live action though not so faithful to its orig source
Feb 11 2024,negative,if i could give less i would i would be ashamed to have my name associated with this the girl did fine but they completely took out some characters and opted out of the songs im sure they did it all in the name of  creativity how can you have mulan with our mushu but nooooo lets have a phoenix you can be creative with the back ground and outfits dont try mess with something good you only make it worse none of the original humor lifeless dull if anything this is geared to the brainless and the left have fun with your brainwashing cinema
Feb 4 2024,positive,a very visually stunning movie liu yifei is a beauty and a sight to behold i loved the costumes dont listen to the shallow people who say its bad because of no songs or mushu it is better than the animated
Jan 13 2024,negative,i really hate this why did they made an liveaction to the original one
Jan 13 2024,negative,the worst disney movie ever
Jan 11 2024,negative,so much of the original is missing not only the humor but also any character development has fallen by the wayside in the production overall the movie is boring and gives the impression that it was only produced to cash in on nostalgia a complete disappointment better watch the original movie
Dec 11 2023,negative,ive tried to like this movie but it completely lacks any of the charm that made the animated feature stand the test of time
Nov 28 2023,negative,someone should tell disney that mulan is not a superhero
Nov 28 2023,positive,its wonderful so impressive
Nov 24 2023,positive,first of all i found this movie visually stunning and it stayed true to the original chinese fable and the soundtrack hits the hardest 
Nov 21 2023,negative,started regretting watching it the moment my nephew put it on  doesnt feel like a live adaption of the original at all
Nov 21 2023,negative,mindnumbing cash grab save your timethis is several hours of your life you will never get back
