Dates,Scores,Reviews
Jul 26 2023,positive,at its core caros mulan is quietly revolutionary as it revels in the exhilarating sight of a young woman fighting for and earning her place in the world
Jul 24 2023,neutral, synopsis when the emperor of china issues a decree that one man per family must serve in the imperial army to defend the country from northern invaders hua mulan liu yifei the eldest daughter of an honored warrior steps in to take the place of her ailing father masquerading as a man hua jun she is tested every step of the way and must harness her innerstrength and embrace her true potential it is an epic journey that will transform her into an honored warrior and earn her the respect of a grateful nation and a proud father as you might now this remake is one of my most anticipated movies of 2020 list here ive at least liked almost every remake disney has delivered so far so i was incredibly excited that 1998s mulan was getting the same treatment niki caro made it clear this would be an entirely different version of the story we all know and love a more realistic take on the chinese tale one that removes all songs and fanfavorite characters like mushu which instantly impacted expectations varying tremendously from person to person people who would love a remake quite similar to the original will enter the film already slightly discouraged however to everyone who complained about disney copying their original ip mulan might be their best chance to like a remake from the studio i cant deny it i feel extremely disappointed in my review of the original movie i mention how epic and cinematic it feels it was one of the aspects i looked forward to the most in this new version despite the beautiful set design and some paintinglike shots this is the first time a disneys liveaction remake loses to its original regarding its visuals the 2d animation from more than twenty years ago feels superior in every single aspect theres only one shot in the entire remake that i would put in the original and i bet it would look and feel a lot more emotionally significant the action sequences are unimaginative and incredibly disjointed except for a few great war moments most action scenes are packed with excessive cgi a badly employed hfr high frame rate and overediting  in fact the editing david coulson is weirdly overworked throughout the entire runtime cutting too much and omitting sequences that were supposed to significantly impact the narrative from characterdefining moments to simple connections between scenes it feels like the film is hiding something i constantly needed to rely on my knowledge of the original to remember why certain moments are meaningful to a character or to the story itself because this remake straightup removes these moments without replacing them with something else even in chronological terms its clumsily put together jumping from location to location without actually showing the characters moving from one place to another finally as my last remark on the technical aspects harry gregsonwilliams score is partially also a letdown like the rest of the movie there are some nice touches and lovely homages to the songs everyone cherishes especially reflection i had already mentalized myself to ignore the absence of songs because i believed harry would find a way to replace them with a similarly grand score that i would definitely enjoy however mulans score fails not only to elevate a single battle sequence but also to deliver that cinematic atmosphere that i was looking forward to so much i didnt get chills during the entire film it didnt transform any big character moments maybe watching it on imax instead of at home might improve my opinion but i doubt that storywise its a mixed bag for me niki caro promised a more realistic take totally different from the original and she undoubtedly accomplished that this is the furthest from the original any disney remake has been by far from the replacement of characters to an overall change to the main narrative mulan is more faithful to the original chinese tale than the 1998s flick but that doesnt mean its better much on the contrary the essence and message are there but told through a distinct perspective which some people will find hard to accept especially hardcore fans of the original movie however i do believe that hua mulan still carries the characteristics that made me care about her her courage and bravery to go to war in order to save her father from certain death her love and devotion to her family who she wants to honor hua mulan doesnt want to just be the wife of some random man nor be imprisoned by dated stereotypes this is all in the remake but told through the lenses of a protagonist who already has everything she needs to lead a nation this is the main difference characterwise but one that doesnt affect the nature of the original however it impacts the remake itself while all of this sounds amazing mulan sort of contradicts itself by making her main character feel unique and different from everyone else distancing her more from people than actually embracing her like i already mentioned above this is an entirely altered version of the story everyone knows i do welcome every change made including the removal of mushu crikee and all of the singing however if somethings removed something else has to replace it in some shape or form once again i have mixed feelings some additions like the introduction of chi and the witch xian lang gong li are refreshing but poorly developed throughout the runtime the vital energy force is connected to my issue with the be yourself message while the character not only follows a predictable arc but it diminishes bori khans jason scott lee menacing presence the ending feels remarkably underwhelming as well not only the climactic fight between hua mulan and bori khan fails to live up to expectations but its executed in a visually disheartening fashion i expected this remake to feel grand magnificent epic and cinematic just like its original or even better its far from that the acting could also be better liu yifei is fantastic as hua mulan yoson an offers a subtle yet efficient interpretation of chen honghui and the actors who portray yao chen tang ling jimmy wong and chienpo doua moua are also amusing however donnie yeng as commander tung and jet li as the emperor are embarrassingly bland while jason scott lee is visually perfect casting as the main villain but hes not able to shine
Jul 20 2023,negative, the new mulans predecessor is one of the most beloved animated movies during the disney renaissance era the musical numbers and the fun and charming characters are just two of the many reasons why mulan 1998 is a fan favorite while disneys new liveaction remake directed by niki caro follows the same basic plot there are a few changes made to the plot and the character arcs namely the titular character herself disneys mulan 2020 follows the story of a young chinese woman who disguises herself as a man to join the war and become a warrior she is outspoken and wants to challenge the traditional roles set for women from an early age in this remake the writers introduce a concept for a lifeforce chi that makes mulan special and extraordinary compared to the other girls in her village her father advises her that it is best to hide her powers so that it would be easier for the matchmaker to find a suitable husband and bear children the new liveaction remake takes a big risk in eliminating some of the incredible elements of the original animated feature the remake does not have any of the memorable musical numbers but instead uses instrumental scores to bring nostalgic feelings instead of the beloved mushu we are introduced to a phoenix that shows mulan the way throughout the entire film that character seems very unnecessary and serves no purpose to the plot instead of shan yu the main villain in mulan 1998 the liveaction remake has two villains bori khan and xianniang a massive difference in the animated feature and the liveaction remake is the character arc of mulan this is not the first time that disney has made a few changes to the plot and character in the previous disney liveaction remakes but what makes this a massive mistake is that mulan is written as a character that displays her strength through her braveness cleverness and determination this version of mulan tends to stray away from the core values of the predecessor introducing the concept of a lifeforce does not enable her to learn with the other characters her main conflict is not her hidden identity but not using her powers she is a natural fighter a woman with godgiven gifts these gifts make her more capable than the other men in her training camp in the animated feature mulans journey is what makes her character unique her inability to accept femininity nor masculinity is an aspect that is explored in her arc mulans quickthinking and bravery show that she stands out from the rest of the group she does not need to engage in hypermasculinity to solve her problems she finds solutions to them by using her cleverness not violence this is where her core value and strength lies in the training camp mulan does not engage with hypermasculinity she does not engage with masculinity and femininity she knows that through using her strength which is her determination and cleverness she can achieve her goals and she does mulan learns that there is a higher value outside of the hypermasculine way of thinking mulans core values are what drives her character arc while learning to accept her true strength empower femininity and reject hypermasculinity she teaches her friends to engage in her good characteristics as well unlike her liveaction version mulan does not use a lifeforce to harness power and strength those values are traditionally considered by men but mulan accomplishes it regardless of her gender expression for the plot to move forward the character must learn new lessons from the supporting characters without that element the characters journey has no purpose in the animated feature mulan meets three friends who engage in hypermasculinity they are not problemsolvers like mulan but use their brute strength to try and achieve their goals when mulan and her friends reach the imperial city to save the emperor her male friends who at the beginning of the film engaged in hypermasculinity later demonstrate femininity by dressing up as concubines to save the emperor they learn that there is value in femininity the characters are learning from each other the statement here is that by embracing both femininity and masculinity it works in their favor the characters learn that there are no limitations to gender expression the disney remake does not follow any of the core values that are set in the animated feature one of them is mulans internal conflict of whether or not embracing her lifeforce would bring dishonour to her family her true identity is not challenged in this movie her power makes her as capable as and perhaps even stronger than the others in the training camp what makes her strong is her lifeforce and not her gender expression this is where the movie gets it wrong mulan does not learn to reject hypermasculinity or learn from her friends her lifeforce is what stands in the way of the characters growth introducing the character as someone who is naturally gifted and knows everything makes mulan bland and uninteresting in the animated feature mulan is not naturally gifted with a lifeforce mulan is clumsy tomboyish and funny using her cleverness and determination as a character she learns to improvise when she is in front of dangerous situations she does not use hypermasculine traits to win a fight the new mulan has a very different personality and character traits the liveaction version of mulan starts as a superhero her journey is not about empowering femininity or rejecting hypermasculinity because her internal conflict is about her lifeforce her struggle to accept her new identity overpowers everything else about mulans core values it holds her back from reaching out to her other characters disneys remake of mulan misses on a lot of the traits from the animated feature introducing a lifeforce completely avoids character growth and does not discuss the value of gender expression when her real identity is revealed she is expelled from the army and returns home again the problem here is that mulan was more focused on her powers and not her true identity it fails to recapture mulans essential character traits and instead diverges away from them entirely there is no emotional growth between mulan and her father or between any of the characters in the film it tries to follow a more conventional story of mulan while rejecting the core values from the animated feature it is safe to say that disney made a huge risk by making this movie the critical differences in the movie change a lot of mulans character traits and it is evident that the writers missed the opportunity to make her special
May 27 2023,negative, as disney brings back the little mermaid for a new audience via a liveaction remake its worth going back and looking at the films that came before it in 2010 disney kicked off a new era of regular liveaction adaptations films that either reimagine or completely trace over the timeless animated classics from where they come from while we only deal with films that have come out postalice in wonderland all apologies to the 1990s 101 dalmatians and dont include sequels or spinoffs 2021s cruella wont count we do have 13 films to take a look at that hem pretty close to the films that theyre adapted from there are a lot of things you can say about the 2019 lion king but its just not worth much analysis past the point of saying that its one of the worst studio films of the 2010s its the film on this list most guilty for pointlessness it does just about everything wrong from its lifeless character renderings to its absolute refusal to do anything even remotely different from its predecessor its a twohour shrug created purely to pad disneys bank account a film that has absolutely no respect for the audience because they knew folks would just show up to watch this no matter how bad it was the lion king 2019 is disney at its worst a soulless carbon copy of a vastly superior film that exists only to pander to nostalgia and reap financial benefit jon favreau is just a much better filmmaker than however this turned out this ghastly adaptation of the 1990s landmark original feels like it deflates anything grand or witty out of some of the most impressive animated filmmaking of all time its not to say emma watson does anything wrong as belle but shes trapped in a movie that feels more like cheap imitation than it ever should the remake completely renders itself useless with its shotty visual effects and its complete lack of thematic style the be our guest sequence zaps all the goosebumps you get from the original and the films complete and utter lack of understanding about how the gaston character functions undercuts the originals most stunning music number the aptly named gaston this film is a careless exercise in capital gain it mines a true cinema classic for commercial value and leaves nothing artistic in its wake its an overwrought hodgepodge of tonal inconsistency and weighed down by whatever in the world burton is having johnny depp do as the mad hatter its not the worst film on this list by any stretch but it does feel like a product of its time its a disney film so obsessed with the 3d boom that it forgot to make anything meaningful out of its exaggerated visuals disney had to send this mulan adaptation home during the pandemic and it certainly was not worth the outrageous price it wouldve cost folks to watch it the film zaps the fun out of the 1990s smash hit including those catchy songs making this the rare liveaction remake that actually couldve benefitted from leaning heavier on the nostalgia while there is commendable production design within the film feels joyless for much of its runtime and concludes with an incredibly weak third act that lacks the visual splendor of the 90s films fireworksdriven finale its not bad enough to make you want to head for the aisles but its not good enough to not have robin williams voice in your ears for the entire runtime telling you to just go home and watch the original will smith tries his best for his genie to be its own thing but the williams performance is towering for a reason this film packs in far too many extraneous details but its not quite as aimless as it couldve been with a lessor filmmaker than guy ritchie it plays like the most expensive disney channel original movie of all time its not as cinematic as it is ready to stream some of the films higher up on this list deserved a theater slot much more than this one angelina jolies impressively spiteful performance as maleficent keeps this film from veering into pointless territory as disney respun sleeping beauty into a more sympathetic telling for its villain while the film can fall victim to an overuse of cgi and isnt nearly as strong when jolie isnt on the screen it is a film on this list that aggressively tries to stand apart from what came before it the film cant replicate the original films gorgeous animation and crushing baby mine sequence but it does add to the story and still capture the same yearning that the titular elephant feels as an outcast removed from his mother burton finds plenty to work with in the circus themes even if the film can stretch itself a bit too thin with the expanded plot however a talented director like burton can find bring some real theatrics that some of these other films sorely lack while this dumbo only flies so high it never feels like it lacks for imagination its not to say this film eclipses the 1955 classic but its far more tolerable in its reimagining than most of the titles on this list its a simpler story to adapt and movies about dogs are scientifically designed to make dog people get all in their feelings and such tessa thompson does some endearing voice work as lady and the talking animal sections are thankfully a step above your average air buddies movie even if theyre still a bit silly and awkward to watch its hard for these films to justify their existences but this one is perfectly fine for what it is its sweet enough to work and dogs are great so thats always a plus while no pinocchio film will ever top the original disney classic this one has some genuinely inspired bits that diverge from the 1940s film in some visually inventive ways it also has a cuckoo clock inspired by who framed roger rabbit you cant say that about the lion king the problem with some of the movies on this list is that they feel like boring carbon copies of what came before them for what you can critique about zemeckis wacky vision you cant accuse him of laziness this film has a weird streak to it and its heightened by tom hanks being very willing to just do whatever with his geppetto its not a bad time the voice cast carries this one and child actor neel sethi makes for a great mowgli like most of the films on this list this one is always held back by a movie thats much better than it existing in the ether however its hard to find a disney liveaction remake thats this agreeable to watch favreau finds enough of a buffer between the original and his film to provide some new sparks of adventure and impressive visuals the flying to neverland sequence the lowery signature touch of visual inventiveness its just a major step in the right direction if these films start to feel like theyre actively made by filmmakers instead of crafted in a lab designed for audience comfort and nostalgia even if this film cant fully escape its streaming budget lowery still manages to make a story thats been told plenty of times feel fresh cinderella is the rare film on this list that might improve some aspects of the original film if only because cate blanchetts wicked stepmother is such a scene stealer lily james is also fantastic as cinderella and this film has much less mice antics the original film is a stunner but some of the tom and jerry aspects of it havent quite aged as well branagh sticks a bit more with the regality of it all and hes just too competent behind the camera to ever make this feel perfunctory nobody is going to say that this film tops the original but you can at least feel like youre getting as fresh of an experience as you can with a wellworn tale david lowery taking on a remake of petes dragon at the height of his creative achievement was always a curious choice but he just nailed this delightful adaptation that transcends the 1970s original lowery has two films ranked high on this list and its fascinating that hes chosen two disney projects such as this while also making prolific a24 art films like a ghost story and the green knight it also helps to have an alltime presence like robert redford floating in and out of frame to melt your heart and the cg on the titular dragon is more impressive than any of the animals in the lion king petes dragon is the standard for any liveaction disney remake because its one of the only films on this list that actually feels like it absolutely should exist
Nov 8 2022,negative,navigates through different terrains and attempts to cross a few borders sometimes it does so successfully and sometimes it doesnt full review in spanish
Aug 24 2022,positive, if youre wondering how the new mulan stacks up against its animated predecessor or even the more recent disney liveaction remakes this might not be the review youre looking for full disclosure ive never seen the original 1998 animated feature and i havent watched any of the latest notsowarmly received liveaction reheats but i have seen disneys new 200 million mulan you know the 30 stream at home version and guess what  its not bad is it worth the high price tag to watch right now ill let you decide mulan comes from director niki caro and the writing team of rick jaffa amanda silver elizabeth martin and lauren hynek their retelling of this inspirational tale aims at capturing the spirit of the original animated film while also making meaningful choices that set their version apart the way it sounds the more recent liveaction remakes went to great lengths to follow their originals mulan 2020 attempts to carve its own identity with a more realistic vision no songs and no celebrityvoiced comic sidekick the results arent perfect but theyre pretty darned impressive liu yifei plays mulan the spirited eldest daughter of honored war veteran hua zhou tzi ma the two have a loving bond with the father aware that there is something special about his daughter but his deep devotion to archaic traditions leaves mulan bound by the expectations of her family village and culture a daughter brings honor through marriage hua zhou lectures your job is to bring honor to the family yet in this world of honor through marriage she cant even choose her own husband meanwhile on the outskirts of the empire a warlord with a grudge named böri khan jason scott lee begins attacking imperial garrisons lee is a striking presence with the look and the snarl of a menacing villain unfortunately hes the victim of an alltoofamiliar problem in modern blockbusters  bad guys with hardly any depth and the barest motivations basically böri khan sets out to quench his thirst for revenge by killing the emperor and becoming the new ruler of the kingdom not the most original crusade but he and his soldiers sure look cool carrying it out with the attacks intensifying the emperor played with stoic distinction by jet li calls for one male member of every family to join the fight to quell the enemy invasion hua zhou the lone male in their family prepares to join the war effort despite his failing health knowing her fathers chances of survival are slim mulan takes his sword and armor and sneaks away posing as his son and joining the fifth battalion led by esteemed commander tung played by chinese screen legend donnie yen its her first venture into the maledominated world and if her ruse is discovered shell have more to worry about than shame and dishonor the bulk of the films second act concentrates on the training of the young soldiers mulan is easily the most skilled warrior in her regiment but showing her abilities would draw too much attention and risk exposing her secret therefore much of this segment is spent with mulan concealing her identity from the other recruits especially the curious and charismatic chen yoson an whats missing is the emotional toil there is certainly an interesting thematic conflict between loyalty to duty and embracing ones true self but we rarely see mulan wrestling with it on an emotional level we get a few of those scenes and they work really well we just get too few of them from there the film moves to an actionfilled final third surprisingly mulan never quite reaches the scale i was expecting this could be due to misguided expectations on my part but the film isnt a huge sprawling epic it has all the dressings but when it comes to the action the films snappy pace never keeps it in one place for too long for that reason some of the action scenes are unexpectedly short and tame perhaps the result of being a disney property but that doesnt mean there arent stunning images throughout mulan caro and her dp mandy walker shoot some exquisite shots both when filming the diverse landscapes or capturing the gravitydefying fight sequences one showdown set inside a tight hallway is shot with incredible style and energy another fight through some bamboo scaffolding features several ingenious camera tricks and wonderful framing at the same time oscar winner grant majors production design and bina daigelers costumes add something interesting to every composition castwise liu yifei shows nice range moving from a rambunctious rebel by nature to a battleready warrior exemplifying courage and leadership she does good with what emotional material shes given and her physicality is unquestioned donnie yen and jet li are great presences but get little opportunity to show the martial arts prowess what made them such stars perhaps the most compelling character is an exiled sorceress named xianniang li gong shes a servant and weapon of böri khan who doesnt take kindly to being called a witch there are hints of a rich and thoughtful backstory but sadly all we get are crumbs  fleeting references to a pained past that i would love to have known more about i can see mulan pulling people in a variety of directions lovers of the animated original may take issue with some of its creative choices those looking forward to its more realistic spin may find it too restrained and safe for me the films strengths definitely outweigh its shortcomings mulan pulls us into a vibrant and fascinating world while telling a story full of inspiration and relevance at the same time i found myself constantly wanting it to go further did being a disney property hold it back were my expectations out of whack im not sure so i end up still unable to tell you if the movie is worth the 30 price tag once again ill let you decide mulan is now available exclusively on disney one of the biggest complaints about this film ive been hearing is about mulans magical chi powers which apparently give her far less obstacles to conquer in the story particularly when shes first starting out in the warrior camp therefore stripping her of any relatability or real character progression any thoughts on that i didnt really have an issue with that mainly because the chi powers were so vaguely discussed i felt hers was deeply tied to her character who was energetic outgoing even rebellious so she nurtured her chi powers where someone more reserved or traditional wouldnt not sure if that makes sense but thats kinda how i perceived it whoops i meant one of the biggest complaints ive been hearing about this film not one of the biggest complaints about this film ive been hearing lol sorry about that by the way when are you going to see im thinking of ending things the new charlie kaufman movie and a muchdiscussed one too and feels good man an excellent documentary about of all things pepe the frog theyre both pretty fresh on peoples minds at the moment and i think theyre wellworth checking out actually i never got the notification about your question actually been working on my review for ending things tough movie to talk about without spoiling still havent seen feels good man hope to before the end of the week i would really like to see this havent seen the cartoon version but not subscribing to disney nor paying on top too one day it will be on bluray so that will have to do  im not comfortable recommending to anyone that they absolutely should pay 30 to watch it now i liked it but its not without its flaws while i cant say that i flat out hated the movie i felt that it was a missed opportunity  dont get me wrong the cinematography is fantastic and some of the action is okay but this new mulan felt like much weaker version of crouching tiger hidden dragon  to me a lot of the characters felt flat and i dont think that yifei liu was the right person for the role  donnie yen was great but i hated what they did with jet li  for 30 bucks this movies not worth it  it really isnt especially since youre not getting the full theatrical experience which is one of the reasons why i didnt care for it  i would recommend 2009s mulan rise of a warrior instead  i think that film is a much better interpretation of the original 6th century poem i can see where youre coming from many of our issues come from the same places more attention could have been given to several characters and their storylines i actually liked liu but wish they would have given her more to emotionally wrestle with my only interest in seeing this film is gong li  i just love watching her in films and to see in a big project like this is cool though im aware that shes not given much to do  id probably check it out when it is available for disney members who already pay the monthly fee  besides i was watching moana as its my nephews favorite film nope no eddie murphy voiced dragons in this one but i would be really interested to hear your take on it as a big fan of the animated film i thought that this was a fine adaptation they do a nice job making it more serious than the animated one  the cinematography is amazing but the characters just arent developed well enough and things feel too glossed over
Aug 17 2022,positive, it wasnt by choice  my day job finally pulled the plug on my weekly indulgence and it wasnt unexpected but it did happen quickly  i received word literally as i was writing my review of birds of prey and the fantabulous emancipation of one harley quinn my last review it turns out the move didnt put me out of work and i had a bunch of travel planned so rather than immediately put out feelers to editors and outlets id freelanced for before i decided to take a break and think about what i wanted to write about and how i wanted to contribute to the larger film conversation no one wants or needs to read my take on bad boys iii for example then the coronavirus happened and the economic recession that came with it and i wasnt the only film critic out of a gig plus all those trips got canceled in the meantime inspired by the 52filmsbywomen and femalefilmmakerfriday pledgeshashtags i came up with a concept for a monthly column focused on films directed by women the idea is to anchor a roundup of reviews with a major new release such this months mulan directed by niki caro plus additional titles both recent and classic documentary and international feature and short with an eye toward diversity  one for each friday so four or five per month then a year from now therell be a list of sorts of fiftytwo films directed by women  im a sucker for a good list but also whos counting this is the structure im going to play with for now  im not sure how well it will work with movie release dates and embargos with no deadlines or editors im going to give myself permission to experiment i also didnt plan on writing this intro  i didnt want to make any promises i may not end up keeping  but then i thought itd help to explain what the heck im trying to do here still the ambition and scale of mulan sing through in this nonmusical adaptation that adheres to the animated movies version of the chinese folklore the ballad of mulan in both broad plot and fine detail  with a couple of key changes to the aesthetic and spirit of the story hua mulan liu yifei is a lively child with strong chi theres just one problem shes a girl and in the patriarchal society of ancient china girls bring honor to their families by marrying like frozens elsa shes advised to hide her gift but when the emperor orders one male from each family to join the imperial army to defend against northern invaders mulan ties up her hair and binds her breasts and slips away with her injured fathers armor and sword to enroll so he doesnt have to along the way shes guided not by mushu the beloved diminutive dragon of the cartoon but a technicolor kitelike phoenix that may or may not be visible only to her but the most significant diversion of this mulan is with this chi business  our warrioress proves her mettle on the battlefield not only by being clever but by wielding magic too which undermines the everywoman quality of the animated mulan she cant unleash her full power however until she fulfills all three qualities inscribed on her blade loyal brave and true another woman with chi the witch xian lang gong li in fabulous makeup and regalia on the other side of the fight teaches her this and its not until mulans mane is freed like hair in a shampoo commercial that she realizes her full potential if it werent for mulans chi however we wouldnt get the preternatural stunts that recall though dont match crouching tiger hidden dragon captured with dynamic choreography and camerawork meanwhile all of this unspools against stunning backdrops of otherworldly landscapes and richly ornate production design from mulans villageintheround to the grand imperial palace the very first note i scribbled while watching mulan was about whale rider the similarities to director niki caros first film are immediately evident and persistent and not just because mulan wields a fighting stick in that films opening scene a girl in a patriarchal society demonstrates a proclivity for her societys warrior culture but is prohibited from expressing it because of her gender she secretly pursues it anyway ultimately emerging the hero in the case of whale rider that heroine is paikea keisha castlehughes at the time the youngestever nominee for a best actress oscar the firstborn child of the firstborn son of a māori village leader with no male heirs in sight pais grandfather koro rawiri paratene opens a school to find a candidate among the local boys  a motley bunch who pale in comparison to pais innate talent dedication and reverence for their culture a sweet sensitive girl still pai cannot help herself and seeks to train on the sly with her slacker uncle rawiri grant roa with the support of her grandmother vicky haughton when koro fails to find a suitable successor he wallows in his failure echoed by his discovery of a pod of beached whales its only pai who can coax them back to sea earning her place at the head of the tribe caro had about 157th the budget for whale rider as for her latest film so logistics such as how for example pai gets a leviathan turned around in the sand get glossed over a white new zealander caro does not share a culture with the characters in either film but with whale rider she did build the framework as the goto director for feminist comingofagers google best films by women and youll find a couple of lists with claire deniss beau travail near the top yet the film has been unavailable on physical media or online  at least as far as i could find  until this month janus films has released a stunning 4k digital restoration of the tone poem loosely based on herman melvilles billy budd featuring music from benjamin brittens opera also based on the novella denis has set her examination of masculinity among a small troop of french legionnaires stationed in djibouti our narrator is galoup denis lavant a sergeant with a napoleon complex who is reflecting on the events that it turns out ended his career what there is of a story unfolds in a haze of memory and boredom as the men perform domestic chores like laundry and miserable labor such as roadbuilding and repetitive ritualistic training thats reminiscent of leni riefenstahls olympia in its celebration of the human form though definitely not its politics into this hotbed of male bonding and repressed desire arrives gilles sentain grégoire colin a handsome popular legionnaire whom galoup vows to destroy out of irrational jealousy and perhaps attraction tapping also into the theme of african colonialism that is characteristic of her oeuvre denis has crafted a psychological portrait as exquisite and harsh as the east african landscape so gorgeously captured by cinematographer agnès godard dawn porter is having a busy year the documentarian behind trapped and gideons army has two new films coming out this year john lewis good trouble which premiered in july just a couple of weeks before the civil rights icons death and the way i see it about obama white house photographer pete souza later this month i cant talk about the latter film yet embargos  gah but good trouble hits digitaldvd as well as cnn this month with an intimate portrait of the politician and activist rip the documentary covers a lot of the same territory as lewiss graphic novels march though the story about how he developed his oratory skills by preaching to his chickens always plays and the film struggles with pacing  spending too much time on a freedom singers performance and too little on lewiss wife but its arresting to watch some of the rare archival footage  even more so to watch lewis watch it for the first time himself  of how he and his fellow protestors prepared for the lunchcounter sitins and then how they unfolded as well as his triumphant though censored appearance at the march on washington and the awful events that took place on the edmund pettus bridge in selma alabama its even more affecting to watch him interact with the public today  never too busy to take a selfie or accept a heartfelt thank you in i think the only clip from an interview with his son hes asked whats it like walking through an airport with john tedious
Feb 18 2022,positive, the disney liveaction adaptations have been a mixed back since the initial streak of releases began in 2010 despite three releases in the 90s including the jungle book 101 dalmatians and 102 dalmatians it was not until the 2010s that disneys adaptations of their animated classics became a focal point of the studios annual releases  after the soulless shotforshot liveaction adaptation of the 2019s the lion king it was hard to imagine the studio attempting an original look at their animated film library mulan is a fresh take on prior beloved releases growing up while disney purists will likely scream and complain on social media about the 1998 animated film changes i enjoyed this new take of the story  rather than doing a carbon copy similar to the lion king which failed miserably mulan is a fresh reimagining that retains the essence of mulans character from the animated film while making sure that the liveaction adaptation adds a layer of originality missing from other adaptations mulans premise follows most of the animated films main plot with hua mulan yifei liu someone who doesnt quite fit in the expectations of women at the time and of her village leading to her mother hua li rosalind chao becoming embarrassed continuously by her daughters behavior simultaneously her decorated war veteran father hua zhou tzi ma seems to take pride in mulans lively spirit as war is imminent and chinas fate is on the line the emperor decrees one man from every family must join the imperial army and defend the empire from the northern invaders despite his ailing health zhou steps forward to offer to fight for the emperor ultimately leading to mulan secretly taking her fathers sword and armor and disguising herself as a man named jun to take zhous place in the imperial army for fans of the muchloved 1998 animated film disappointment will be on full display as the original elements have been removed this concept is one of my favorite aspects of the film rather than a carbon copy of the animated film director niki caro created a war epic where there was little room for mushu voiced by eddie murphy mulans love interest li shang and musical numbers this allowed caro and the company to focus on mulans character development rather than being tied down to a homage to its animated predecessor mulan strived to be more than a ripoff but present a narrative more rooted in the mythology of both its titular star and imperial china while striving and succeeding in creating a new take on the story caro does sprinkle references to connect this remake to its animated counterpart including harry gregsonwilliams musical ques in his score paying homage to the classic matthew wilder and david zippel song reflection outside of removing certain characters and music caros most significant change is mulans connection to qi or chi this force has been linked to the strongest warriors by chinese philosophers the inclusion of this connection adds another layer of authenticity to chinese culture that caro and disney were looking for with this release mulans production design is breathtaking and had me longing for a theatrical experience to watch the film as every cent of the 200 million budget was used the film offers some bigtime war action set pieces that are a marvel with dazzling effects that are sure to be in cinephiles favorite set pieces of the year while there is a lot to rave about regarding the film there is one aspect of mulan that did not work for me the film strives to be an authentic tribute to chinese culture yet every person speaks perfect english and there is no chinese dialogue while i am well aware that this film is set to be a kids film it would have been nice to see some subtitles on the screen in a year where parasite won best picture a more authentic representation regarding language would have been welcomed in its attempt to be different and original mulan cements its place as one of the finest disney liveadaptions released thus far while it does not remove 2016s the jungle book as the best of the bunch it certainly should be in the discussion as the formula for upcoming liveaction adaptations
Feb 16 2022,positive,as remake of a beloved animated film from disney there are things that are both admirable and disappointing from it
Jan 7 2022,positive, fans of the 1998 animated film mulan know the story of the young woman who masquerades as a man to take her ailing fathers place in the chinese imperial army ultimately saving china and bringing honor to her family in  the new liveaction version mulan follows the same guidelines but takes some creative turns by adding some fantasy elements as well as some new characters unfortunately it all doesnt seem necessary there are several remnants of the beloved animated classic from the hilarious matchmaker scene to mulans yifei liu strong bond with her father to her rigorous camp training yet it fails to deliver on the relationship between mulan and her fellow soldiers including hunky love interest honghui yoson an although we do get a rather sexy bath scene with honghui joining mulan who is  disguised as jun in the lake their relationship seems a bit awkward the film really focuses on mulans qi the chinese philosophy surrounding life force energy and her strange connection with gong lis xianniang a witch who works for the villain böri khan jason scott lee these new additions present more character development for mulan especially her relationships with women xiu xana tang is mulans sister and confidante but really serves no purpose in the plot xianniang acts as a warning for mulan if she cant harness her qi the right way she could end up alone treated like a witch but the entire situation makes no sense the original story of mulan was important to many because it was about a regular girl who became a legend but adding a qi element giving mulan a sort of superpower takes away the idea that a nobody could become somebody now there is this added element that one has to harness appropriately in order to truly become a warrior it is hard to gauge who the target audience is for this film the movie tries both to cater to westernized audiences as well as chinese audiences the latter with the added elements especially with the addition of gong li donnie yen and jet li all obviously dubbed knowing this allows you to understand the films choices regarding the one dimensionality of the darkskinned villains the rourans the added martial arts presentation by yens character and the lack of the memorable crossdressing scene from the animated film with the focus on the new and unnecessary characters the film fails to highlight the other important characters in mulans story these include her colleagues yao ling chienpo and cricket which is really a loss for the audience throughout the film mulan has moments interacting with her fellow soldiers but never more than exchanging occasional vocal jabs the camaraderie never feels earned the film does try to introduce eastern philosophy and virtues to the western audience but it feels a little too forced this is especially true with the idea of qi and the symbolism behind the phoenix the film depicts the phoenix as a symbol of rebirth which would make sense if they were following greek mythology but for the chinese the phoenix symbolizes harmony the yin to the chinese dragons yang this may cause some confusion between the two philosophies and audiences still the film is entertaining and visually stunning the fight choreography and cinematography are absolutely beautiful and it is remarkable to see an allasian cast on the big screen in a disney feature film liu is perfectly cast as mulan there were many scenes that felt empowering watching her in battle as both hua jun and hua mulan she nails the tormented soldier with a secret and still maintains her femininity while also kicking ass another standout performance from the film came from mulans father played by tzi ma the relationship between mulan and her father is key in every interpretation of the ballad of mulan liu and ma did not disappoint their fatherdaughter chemistry was so strong and emotional i began thinking of my own dear father mulan is important for many chinese and westernized asians although the film may have its faults it does introduce the story of mulan to new audiences that would like to see an asian woman hero while liu may not be my mulan she will definitely be another asian kids mulan and  thats what really matters
