Dates,Scores,Reviews
Apr 10 2024,negative,sucks i love star wars how could disney do this george lucas gave them tons of ideas about the sequel trilogy and they just threw it away worst of the sequel trilogy ruined luke skywalker and destroyed the sequel trilogy just dont watch this watch the last jedi pitch meeting instead it will tell you the plot and is funny
Apr 6 2024,negative,a sequel to a movie that wasnt needed in the first place undoes all the character development of the original trilogy and of the force awakens a confusing plot that serves to do nothing but expedite reys lacklustre character from that of scavenger to saviour worst of all it makes luke skywalker look like an absolutely piece of shit for no reason whatsoever
Apr 4 2024,negative,this movie took everything you loved about starwars your childhood heroes and warped it into unrecognizable nightmare fuel i never watched a movie where it felt soo detached from everything i loved its like they never even bothered to learn about the characters or story they were writing about took the names made it whatever they wanted to and pushed it out on us as star wars we had an opportunity to tell an awesome story about a stormtrooper rising up to the level of hero and instead we decided to take luke skywalker and make him a fool his optimism that made his character gone a character that never gave up on anyone even his evil father suddenly gave up on everything this was soo far from the skywalker saga it was a joke and i dont think i ever will forgive disney for ruining my heroes like that
Apr 4 2024,negative,this film butchered the entire set up of the force awakens
Mar 30 2024,negative,while not nearly as bad as rise of skywalker it still was pretty bad 410
Mar 27 2024,positive,hated force awakens loved this one
Mar 25 2024,negative,absolutely awful terrible plot threw away finns potential as a great character and ruined luke skywalker i would honestly rather run barefoot across broken glass then watch this movie again
Mar 24 2024,negative,after the disappointment of the previous film in the franchise i had low expectations for the last jedi and it failed to meet them    the characterisation is poor the plot is illogical and the film fails to capture the mystique of the force that lucas built up in the first six films    most of the film felt like the director was grandstanding rather than telling the story resulting in a product that felt more like an undergraduate videography project on a hollywood budget than a star wars film so bad is the attention to the story and its details that climactic moments in the film were simply nonsensical logical absurdities delivered with an artistic triumphant flourish that left me thinking wut rather than wow jarring as they were in the disconnect between plausibility and depiction    not only did the films writers fail to capture the magic and mystique of lucas creations the force and the jedi but the production failed to capture the artistic style of the originals as well instead of the franchises signature expansive standoff epic videography employed in the first six films the audience is subjected to a weird assault of flashy motioncamera shots that seemed designed to impress rather than immerse choreography for fight scenes was likewise awful with scant attention given to the quality    overall a film that was memorable for its disappointing awfulness and not much else
Mar 15 2024,negative,the movie was good but missed some action compared to the other movies
Mar 14 2024,positive,star wars episode viii the last jedi is a bold and exhilarating addition to the iconic franchise director rian johnson took some risks and pushed boundaries with longtime fans which created a divisive conversation regarding episode viii personally i felt that the last jedi expertly balanced nods to the original star wars trilogy while expanding upon the force awakens some character interactions or plot choices such as poe and rey only meeting at the very end of this second sequel could have been approached differently stylistically it feels exactly like the star wars we all know and love some characterization elements with luke feel off though i can forgive rian johnson given the overall positive experience that the film offers
Mar 13 2024,negative,it is ponderous pointless and uninspiring worst of all it treated a beloved character like garbage and gave him a disappointing ending i blame this movie for driving the trilogy off a cliff rise of skywalker sealed its fate
Mar 9 2024,negative,weak unbelievable characters nonsensical plot and character development
Mar 5 2024,negative,the only thing about this movie that was ok was the visuals the rest was just not good at all i dont recommend it
Mar 4 2024,negative,this is one of the worst star wars movie ever first of all rey is a horrible character and just ruined and killed the franchise and what the hell are those fights why is it so slow its like their swinging baseball bats in air and they ruined luke as a character disney just killed the star wars franchise
Mar 4 2024,negative,what a waste of nearly 40 years to see luke skywalker againonly to be let down  the gambling planet ships running out of fuel leia floating in space the whole movie is mixed up and garbled  all the jedi stuff is no big deal now anyone can be a jedi this movie diluted 40 years of canon  disney should sell the property back to lucas or only let jon favreau approve whatever is coming out
Feb 29 2024,negative,does not even feel like a star wars film the big bad guy snoke was an awful unmenacing mess of cgi ray continues to be a flat boring character with no arch the treatment of luke is appalling it is like the writersdirectors and people in charge dont care about how they got here and step forget the shoulders they are standing on i cant imagine that if this trilogy was the first in the universe star wars would cease to be the international ip that it is
Feb 21 2024,positive,extremely overhated i think it does a good job with its action sequences
Feb 21 2024,positive,i enjoyed the heck out of this movie unexpected and delivered on so much emotion i honestly believe that with time it will stand as one of the best as there will be a new audience who arent so married to preconceived notions of older beloved characters
Feb 21 2024,negative,dumb plot terrible character development and left trilogy with nowhere to go could not have portrayed luke any worse and rey is a mary sue its like they tried to make it bad special effects are good
Feb 19 2024,positive,the very best of the sequels it wasnt afraid to take risks and not follow them he typical star wars pattern and the risks paid off this movie was action packed and gave us more character development with rey and the others fantastic wonderful exciting and best of all fun
Feb 7 2024,negative,the most painful disappointment it was frustrating watching the characters constantly make totally irrational decisions the pacing was snail slow with a b plot that goes no where all the characters that had chemistry in the force awakens were split up the action wasnt even good enough to make this a good date flick the only compliment i have is to the cgi its subversive without being clever or deep
Jan 26 2024,positive,poor movie but nice star wars that adds more to the world building and respects the lore
Jan 24 2024,positive,spoiler  lots of folks are disappointed with the depiction of luke skywalker because his flaws are a departure from the luke we see in the original trilogy  its a fair concern and perhaps rian johnson could have given us a little more of the peppier luke but overall luke skywalker is portrayed as a complex and multidimensional character and his greatness in the movie lies in his evolution and the challenges he faces mark hamills performance adds depth to luke as a character who has grappled with failure and personal demons his internal conflict dealing with the guilt of his perceived failure in training kylo ren adds a layer of realism to the iconic hero the film also showcases lukes growth and ultimate redemption highlighting his willingness to learn from mistakes and confront his own flaws additionally his selfsacrifice demonstrates the enduring heroism that defines luke contributing to his greatness and solidifying his legacy in the star wars saga
Jan 18 2024,neutral,while i think ix and ii are worse moviesyes i still stand firm in by 2002 feelings tlj still does some baffling things  folks who really like the film brush off rjs decision to redact viis story threads  not like that was a great film but it did offer some possibilities for the rest of the trilogy  knights of ren hux poe and finn  i think switching gears hard in the middle of a trilogy doesnt always work and it didnt work for me here    i actually didnt mind lukes nihilism per se but his reasons for it and his actions through the film dont jive with me  sure not wanting to restart the jedi order during peacetime might make sense but with the ridiculous first order  not like the jedi order was known for corruption or anything  or not training a few folks was gonna stop any other force sensitive folks in abusing it  i didnt mind snoke dying but the way it was done without seeing anything from him left a hole that would have helped if rey contemplated becoming a sith  not just to be evil but decide that the jedis usual gandhism wasnt gonna work in their current situation and maybe the sith philosophy had some things that could work for her to help the galaxy  i didnt mind reys parents being nobodies but that then begged the question couldnt anyone else out there also have strong force powers that might add some complexity to this story    the holdo maneuver was cool but that then begged the question why wasnt this used for more in the star wars universe previously  ive heard all sorts of justifications for it and trust me none of them worked on me  i liked almost nothing about the finnrose sidequest and i feel like the potential to have seen finn maybe go after more storm trooper defections instead was lost  phasma was wasted  hux was wasted  poe was wasted  the praetorian guards were wasted a bit imo    i felt like rj wasted the few thing jj was actually good at and continued what he was bad at  the entire concept of the first order was terrible and i would have loved to have seen it as the fo being severely outnumbered in this film and being creative in getting around that fact instead of them just automatically being the empire vs a handful of rebels    i dont hate this film or anyone involved in it with a passion  but for me while tfa was a meh maybe this film started digging the grave that ended with ros putting a nail in the coffin  i was so pumped for star wars after a 6510 tfa and an 810 rogue one  but now in 2024 with only a decent first season of mandalorian and andor not including the animated series in my recent memory i dont have much hope or excitement for at least the next few years with this ip when we should have had a golden age era like marvel 2008  2019
Jan 14 2024,negative,it was okay as a generic action movie but had no right calling itself star wars i cant imagine why the critics have given it such a high rating probably due to pressure fearing for their careers disney is a behemoth that could sink any critic quick  the fight choreography is amateurish at best the worst part is that they take 30 solid minutes away from the plot for a pointless side quest that should have been deleted   laura derns character exists solely to complicate the plot with her poor leadership skills but for some reason is portrayed as heroic they never really justify that portrayal her costume is ridiculous shes supposed to be an admiral but dresses like a preschool teacher at an art fair
Jan 12 2024,negative,trash breaks the preestablished lore set by the previous movies which ruins immersion  also the story is just bad
Jan 12 2024,positive,star wars episode viii the last jedi is awesome this movie still killed it with kylo ren  rey princess leia also killed it the new characters are really really really good really luke skywalker in this movie was fine but also got a really good character ark overall star wars the last jedi is i think kind of a really good star wars movie it had a good plotline this movie had a lot of sacrifices good scenes and finally good shots its another win for me
Jan 11 2024,negative,to say this film is a disgrace is an understatement  it is an abhorrent atrocity essentially heresy to the star wars universe
