Dates,Scores,Reviews
Jul 24 2023,positive, synopsis luke skywalkers mark hamill peaceful and solitary existence gets upended when he encounters rey daisy ridley a young woman who shows strong signs of the force her desire to learn the ways of the jedi forces luke to make a decision that changes their lives forever meanwhile kylo ren adam driver and general hux domhnall gleeson lead the first order in an allout assault against leia carrie fisher and the resistance for supremacy of the galaxy i am an authentic fanboy of the star wars saga and i loved its return two years ago when the force awakens was released everything looked better sounded better and the story certainly didnt disappoint me so obviously i was extremely looking forward to the last jedi apparently critics love episode viii but fans not so much me well i dont love it but i do enjoy it very much i do think it is a bit below the previous films overall quality since it definitely has some issues the first one did not i am also confident that i know why the fans are not loving this movie and i will explain that after a few paragraphs this time i am going to start at the other side of the spectrum i will begin my review with the films problems because i do need to get them out of my mind especially this one the subplot involving finn john boyega rose kelly marie tran and dj benicio del toro some of the few new characters added to the franchise completely ruins the movies pacing and its narrative is such a tremendous deviation from the main story it is by far the worst issue i have with the screenplay because it does not work as one single problem it creates a whole other set of them the first acts pacing is really fast since it starts with tons of action sequences however the second act decreases the rhythm and it is more storydriven full of mysteryunlocking and characterdevelopment scenes finn and roses nonsensical adventure just turns everything slower and even strange it ends up needlessly extending the runtime the film could have easily been 15min shorter and worse possibly creating a love triangle with rey i am not even going to discuss this apart from this major issues i have some minor problems general hux is a strong candidate to become the most annoying character in this newgeneration trilogy gleeson is fine he actually achieves a good overthetop performance but his character is just tumbling off the rails also on a more technical aspect the writing does not flow as well as it did on jj abrams screenplay there are a lot more exposition scenes which also does not help the pacing at all i wrote earlier about the fans reasons for them to be disappointed and well the marketing for the movie did not lie they do take a lot of chances with this one  rian johnson delivers a lot of twists and shocks throughout the whole runtime and it is impossible to assume that every single one of them is going to be mindblowing and unanimously accepted i do not want to give anything away from the plot so i am just going to write that most of the choices and paths they choose for each character i either simply accept them or i truly love them as for the rest i am at most underwhelmed yet i trust and understand the decisions they went with people need to learn how to deal with their own expectations if you expect something utterly absurd and nonsensical to occur and then it does not you cant blame the film for not following your crazy idea so please dont start blabbing any movie is bad or disappointing because it didnt fulfill your ridiculously high expectations even if they are grounded and thoughtful you have to embrace the productions approach to the characterstory if it makes sense then it is as valid as any other theory it might be underwhelming if you have high expectations but it is still a serious take on whatever you are thinking  this is why i think fans are not loving the last jedi the production takes a lot of risks and some of them dont work with everyone mostly due to fans radical theories that dont have a place in the film i think most people might change their initial opinion after a second viewing myself included some things just need more time to process or even a whole rewatch since i do not have time to do it before the years end i am going with what i have switching to the light side i do enjoy this movie a lot every cast member that was great in episode vii transcends themselves in this one daisy ridley is superb as rey she has such a massive range of expressions and i am sure her successful future as an actress is surely guaranteed from the most emotional and somber moments to the most epic action scenes she is awesome her characters mysterious backstory reaches a whole new extent and her interactions with kylo ren and luke skywalker inflict chills all over my body mark hamills comeback cant be any more amazing than it is he delivers a fantastic emotionfull and very compelling performance it is even more unbelievable knowing that hamill had strong personal arguments against the directors interpretation of what was better for luke if he is this astounding working against his own idea of who his character really is then i must praise his exemplary working principles luke and rey spend a big chunk of the runtime training on an unknown island and i love every single second filmed on that piece of land i have to admit that i am a bit frustrated because i think the film should have more time with these two but due to the issues mentioned at the beginning of my review the runtime cant be much more stretched i love what they did with luke even if some fans are going to go insane with his journey adam driver as kylo ren the undoubtful star of the whole show driver is becoming a menace to every actor working today because he is flawless he has a powerful dark mysterious compelling and commanding display as one of the most complex and multilayered characters of the star wars saga rens conflict inside his mind and heart is the most captivating feature of his story and his interactions with rey are so jawdropping spectacular that i cant even describe them properly john boyega is once again great as finn even though he is part of that horrible subplot boyega delivers a convincing performance and finn shines through some awesome action set pieces kelly marie tran is actually good as rose it is just a pity that her character suffers from the narrative even though her backstory is pretty touching chewbacca joonas suotamo and the porgs the new cute animals implemented in the star wars universe have all the funny scenes plus some action here and there oscar isaac is quite lucky because poe dameron unquestionably has the best subplot of the movie isaac offers a very passionate display as poe goes through some significant character development his impulsive instincts to attack the bad guys always have consequences and he is put in check by leia during the whole time it is a very interesting and twistful story that elevates the films main plot carrie fisher is elegant and beautiful as leia a character that has a lot more screentime than what i expected i always love seeing fisher on the screen and she makes everything a bit more realistic to me andy serkis is remarkable as supreme leader snoke but his character is yet another plots detail that fans are not going to appreciate so much i still feel underwhelmed by snoke in this movie for several reasons but after some thinking i do understand his role in the film and his moments are indeed intimidating and dominant rian johnsons work as the director is better than his as the writer the visuals effects continue to be wonderful and the practical settings are beautiful once again there is a lot less cgi than you probably think excellent cinematography and john williams score induces enormous levels of nostalgia and excitement the action sequences are mindblowing the stunt work is phenomenal and there are tons of pure epic and awesome scenes the main plot includes a very dark and mysterious side to it that i thoroughly love a lot of unexpected twists and turns make the last jedi more original than the force awakens even if one or two plot points might be underwhelming and it also has a very wellbalanced tone finally a thrilling breathtaking actionheavy third act ends the film with magnificent glory and with many heartfelt moments all in all star wars the last jedi delivers something that i can be proud of experiencing terrific performances from the cast but a flawlessly powerful display from adam driver as kylo ren steals the spotlight rian johnson takes a lot of risks with decisions that will make the fanbase debate for years and while i find most of them truly jawdropping a few left me underwhelmed the main story keeps its obscure mystery while packing some jawdropping epic action sequences and excellent characterdevelopment scenes nevertheless it departs from jjs visual storytelling delivering a more expositionheavy screenplay and some pacing issues bring the movie down largely due to the unnecessary detour of the subplot involving finn and rose in the end it still belongs to my top half of the saga fighting for the 4th spot with return of the jedi and rogue one
Jan 9 2023,positive, rian johnsons star wars the last jedi is an emotionallydriven culmination of all that came before it and an adoring love letter to george lucas  in 2015 after a decade of lying dormant the star wars franchise came roaring back to the cinema screens with star wars the force awakens it was a massive success upon release breaking numerous box office records and getting met with nigh universal acclaim from fans and critics alike and with that under their belt lucasfilm creatives turned their attention to its sequel rian johnsons star wars the last jedi a bolder and infinitely more unique film that capitalized on the solid groundwork laid in the previous movie in massive ways johnsons the last jedi is a genuine masterpiece   if the force awakens was the result of abrams professed love for 1977s a new hope then the last jedi is the result of johnsons professed love for george lucas as a filmmaker the force awakens made a concentrated effort to keep the memories of lucas controversially received prequels at bay deliberately harkening back to the aesthetic and narrative sensibilities of the original trilogy conversely the last jedi embraces the entirety of lucas saga prequels very much included as well as the films that inspired lucas in the first place films like akira kurosawas rashomon orson welles citizen kane and michael curtizs casablanca are just as much a part of the movies visual grammar as flash gordon or buck rogers are with johnson finding the meaningful ties to these stories present in lucas work and elevating them to the forefront   that is very much a recurring theme in johnsons work despite what some particularly rabid corners of the internet might have viewers believe the last jedi is actually a sublime sequel to the force awakens it takes every development of the force awakens story from the introduction of new characters to the establishment of core beats like lukes exile in earnest and builds organically upon them characters like hux and snoke who were little more than abrams surrogate tarkin or palpatine respectively are fleshed out into fully formed characters of their own the previously plotdriving factor of lukes exile on ahchto is also authentically interrogated and given character motivation and emotional resonance none of this is johnson rewriting or trampling over developments from the force awakens but rather the opposite with the last jedi elevating these elements with startling clarity and retroactively strengthening abrams film   and it is with this same adoration and articulate eye johnson approaches the story of the star wars saga at large the last jedi builds beautifully upon threads from previous films in a deeply affecting fashion as lucas famously said of star wars storytelling its like poetry it rhymes and johnson demonstrates a profound understanding of this rhyming stanza lukes exile on ahchto is deliberately reminiscent of yodas exile on dagobah with both characters disappearing from the fight entirely in the aftermath of their own perceived failures in revenge of the sith one of yodas final lines is into exile i must go failed i have after he lost his duel with palpatine yoda feels his own hubris led to this destructive result with nearly all of his students dying and the jedi order he oversaw crumbling before him lukes arc in the last jedi is a rhyme of all of this down to blaming the death of his students on his own hubris   but wonderfully johnson doesnt stop there the stanza culminates with yoda and lukes conversation in which yoda says the greatest teacher failure is and we are what they grow beyond that moment brings 40yearsworth of storytelling to a head  bringing yodas story from the prequels full circle providing an emotional epitaph to luke and yodas relationship in the original trilogy and serving as a resolution of lukes internal conflict across force awakens and last jedi all in pure lucas cinematic storytelling fashion   the last jedi is full of meticulously constructed thematic threads like this that are immensely emotionally satisfying rey and kylo rens relationship is a rhyme of anakin and padmés with johnson and editor bob ducsay cutting their force connection scenes to invoke both anakin and padmés connection in revenge of the sith and luke and vaders force connections at the end of the empire strikes back finn rose and dj donning first order garb to infiltrate the supremacy is also a rhyme of the original trios infiltration of the death star in a new hope used to emotional effect in pointedly challenging finns beliefs by reimmersing him into the system of corrupt power even kylo ren revealing reys parentage to her is a rhyme of vader doing the same to luke in the empire strikes back and the reveal itself directly taps into the core thesis of the joseph campbellpenned works which so heavily inspired lucas   one of the most impactful instances of this thematic rhyming scheme comes with lukes final stand at the battle of crait the entire theme of lucas a new hope is that of technology versus spirituality luke is put squarely in the middle of this theological conflict with obiwan on one shoulder preaching the spirituality of the force and han solo on the other telling him that hokey religions and ancient weapons are no match for a good blaster it culminates with the death star trench run as luke lets go of his conscious self and embraces spirituality turning off the targeting computer and saving the rebellion   in the last jedi the battle of crait comes down to the first orders latest technological terror  a siege cannon  and the literal spirituality of luke skywalker by force projecting himself to crait lukes spirituality saves the resistance in an entirely pacifistic fashion that not only sees johnson bringing lukes franchiselong arc full circle in an unexpected way but it also sees luke laying down his life to become an embodiment of the very ideology that the jedi have sought across the entire saga a true guardian of peace and justice   rian johnsons the last jedi is a miracle its a bigbudget franchise movie that feels like a profoundly personal passion project lucas mentor francis ford coppola often spoke of making his one for them films be one for you by imbuing them with immense personal stakes and that is a lesson johnson has taken to heart the last jedi is a deeply personal love letter to not just star wars but to george lucas as a filmmaker which internalizes the thematic works of all that came before it in the name of delivering an immensely satisfying culmination that builds upon all of it  the biggest jingle all the way fan you know will jones came onboard with cbr in 2022 after having previously worked at sites such as whatculture and bigshinyrobot parasyte the grey season 1 has a warridden ending that focuses on heidi suin and kangwoo trying to fend off aliens and chois pack of hunters
Aug 25 2022,positive, the mammoth success of 2015s the force awakens shouldnt have surprised anyone star wars fans had ten years of anticipation built up since the last movie and when disney purchased the property from george lucas they immediately began touting a new installment now just two years later not counting last years standalone film an incredible 450 million for the latest episodes opening weekend indicates the fire hasnt died down one bit the last jedi is the eighth film in the series proper the ninth star wars film overall and while it has been intensely popular and profitable the reactions have been all over the map some have heralded it the best star wars film since empire while others are petitioning disney to have it removed from canon regardless of where you land everyone has to agree that the last jedi continues the franchise trend of epitomizing the space opera concept jj abrams hands over the reins to rian johnson who both writes and directs episode viii johnson has shown himself to be an intriguing filmmaker as evident by his movies brick and the scifi mindbender looper but a star wars film is an entirely different animal heavy with high expectations and an extremely passionate and vocal fanbase johnsons story offers franchise fans plenty to smile at and just as much to chew on several scenes call back to the original trilogy and the inspiration is undeniable the force awakens not so subtly but effectively followed the blueprint of 1977s a new hope you could say johnsons film is a melding of the empire strikes back and the return of the jedi the structure of some scenes are so similar you cant help but recognize it but fear not this is no copy and paste rehash johnson has numerous fresh strokes and narrative angles that makes the last jedi feel completely of its own some of johnsons decisions have stoked the ire of certain fans but hes clearly trying to develop his own take on the universe because of this a couple of characters handed off by abrams dont quite get the attention is it because they dont completely fit within johnsons vision im not sure the force awakens ends with rey daisy ridley finding luke skywalker mark hamill on a remote island johnson drops his anchor and spends a lot of time on the island with rey trying to convince luke the rebel alliance needs him she also seeks his help in understanding the force and the powers she has discovered but luke has become a disillusioned hermit conflicted about his own legend and convinced the time of the jedi has passed hamills performance may be his best yet and ridley is such an asset the two share several good scenes  some funny and some emotional elsewhere in the galaxy the young rebellion led by general leia carrie fisher is forced to evacuate their base after kylo ren adam driver and the menacing first order arrive the pursuit that follows takes a big chunk of the film and includes the return of impetuous hotshot pilot poe dameron oscar isaac former stormtrooper turned resistance superstar finn john boyega and droidofalltrades bb8 fisher brings out a whole new layer of humanity to leia thats hinted at in the previous film but truly realized in this performance sadly her last following her recent passing speaking of new layers kylo ren has several of them and johnson has made him into the most intriguing character of the new series the last jedi is the longest star wars film by a good 15 minutes and unfortunately you can tell the first half has some big moments but its also a bit slow getting its footing johnson spends a tad too much time on the island only giving us baby steps of progression with luke and rey until finally getting in gear in the second half the pursuit segment also has some stumbles particularly involving a side mission with finn and a new character rose kelly marie tran aside from some pretty obvious logistical issues their mission lacks energy and only exists because of a pointless story angle involving another new face admiral holdo laura dern she is without question the most poorly conceived character of the new trilogy this mission also features a pretty bad cgiheavy chase sequence that felt completely out of sync with the rest of the movie at the same time there are many more things johnson gets right especially in the second half where the intensity really amps up i especially love the stress on characters and the personal bonds many of them share and there is also the connections between the old and the new ill be intentionally vague but this can be tricky ground for a filmmaker johnson nails it and none of these moments feel contrived or meaningless some had me wanting to cheer others brought tears to my eyes the film also ends with an exhilarating final sequence that leaves the story in an interesting place ready to be picked up in episode ix i can certainly understand fans having a lot of questions i do myself but thats a big part of the fun when it comes to a star wars movie  wondering and speculating the last jedi has some early pacing issues and a few things that simply dont make sense but its still a fantastic star wars experience filled with excitement emotion and nostalgia it also features a few of those truly great moments that franchise fans will forever link with this film i know i wont forget them and my inner fanboy is getting a bit giddy just thinking about them this one will keep people talking for two years until the next episode  im pretty sure not all the talk will be supportive  obviously the crazies will be out en masse  with resentment and ridiculous demands  i thought almost everything with luke rey and kilo ren worked everything else was hit or miss ill need a to see it again to help me process i am a diehard star wars fan but dont agree with a lot of the outrage lots of the anger seems to be centered around the handling of luke i actually liked it and thought it added an interesting dynamic to that character almost tragic in a sense and mark hamill really dives into it my only gripes deal more with holes in logic and some early pacing issues otherwise its a fun installment seeing it again tonight this time with the family interesting take on it i never found any of the heroes to be cowards i think the film does a good job relating genuine conflict within them thanks brittani seeing it again in a few hours really anxious to see if my handful of gripes hold up because like you i like it more just thinking about it im in the camp that really liked it as i dont understand why people complain about the length  i found it a bit refreshing as it wanted to take some risks in exploring themes and having characters embark on different adventures to see that there is so much about the galaxy that is complicated  especially as theres an air of cynicism about war  the casino sequence is excessive but i think thats the point because it is this decadent world full of people who dont really care about who wins or loses just as long as they make money out of this conflict  i think this will be the most polarizing film for now as im sure the third will get fans more riled up  at least its not the fucking prequels which insults you with a lot of heavyhanded ideas about politics and other kinds of bullshit i have no issue with it being long my issue was that i could tell it was for me luke and rey spend too much time on the island several of their interactions in the first half do little to move their story forward and i dont mind stories branching out i kinda like that but aside from some logical gaps i felt the whole casino world mission was the weakest part of the film and it did no favors to the finn character and the excess of the haves is a nice touch but the glaringly obvious cgi space horses were too much for me  nice review keith  i really enjoyed the last jedi  i liked the force awakens but that film was essentially a remake of the original  although last jedi does cobble some parts from both empire and return of the jedi its plot feels more original than tfa and its ending more deserved  im eagerly looking forward to the next installment just got back from seeing it a second time i still by my criticisms but i found them to be less of an issue there are a couple of story questions i simply cant reconcile plotholes perhaps but overall it is even better a second time through i dont hate it but i was a bit disappointed  i was not completely on board with the story of luke at all  having said that  hamill acts with relish and saves it for me  i was frustrated with the snoke story and the mystery we were led to believe from awakens and then just tossed aside  then reys parents were just a bunch of addicts more or less  ok  i can live with that but once again  i think there is clear continuity issues from awakens  but it also appears that there really was no mapping out a basic 3 stage story arc and its flying by the seat of its pants  then the introduction of rose was like why  i didnt find her compelling at all and the whole casino scene seemed pointless and was cringeworthy during the stupid chase scene  i also was not pleased with the new admiral justing showing up and i found her annoying her sacrifice meant nothing to me  it should have been admiral ackbar and would have given fans a hero we knew and felt something for  instead of just killing him off screen  another scene i was like what  was mary poppins in space with leia  where i was sitting there were a few other fans that chuckled as well  then that general hux  was he like comic relief or what it was too long  some of the humor was dumb and poor finn and poe  poe came across as an idiot and finn was underused plus another irritant could we not have had at least a memorial of some kind for hans  i would have preferred that instead of the casino scene  what saved the movie for me was hamill  driver and ridley  all stellar performances so my score runs like this 6 for the movie 9 for the performances mentioned with an average of 75  thanks for the thoughts tlj definitely has a lot to unpack just a few things i liked the luke angle simply because it showed a deep scarred humanity to him i like how it subverted expectations of him as legendary the jedi master the snoke story is a puzzling one im not sure if snoke simply doesnt fit into johnsons vision i do like how it propelled kylo who i think is the most compelling character in the new series also i really like that rey isnt linked to han luke or leia i think having her parents who they are could have some serious impact i liked rose better the second time i saw the film not an exciting character though and i absolutely agree about the casino world chase scene ugh also agree about laura derns character just popping up and suddenly given command it seemed completely out of the blue i did appreciate her sacrifice but 100 agree about akhbar hasnt he done enough to deserve command and how about this why didnt the admiral tell poe about their plan she kept it hidden from him which led to a mutiny think about it if she had told poe when he repeatedly asked about a plan finn and rose wouldnt have sought a codebreaker wouldnt have met dj and wouldnt have been betrayed the transport ships could have made it to the planet also the mutiny slowed down the transport launch enabling the first order to get the information and blow several transports out of the air anywayi actually like hux i find him a punching bag but also a bit maniacal i like the struggle between his militaristic vision and the siths also as a han guy i would have loved to see a little more of a tribute the dice were a nice touch though i think at the end of the day  this movie will leave many hardcore fans very unsatisfied  my problem with hux is he felt like almost a different character than compared to awakens   the dice were a nice subtle touch but man  one of most iconics star wars and scifi characters and no a proper salute still gnaws at me  i really wanted to love  this movie but i really think johnson could have introduced some new twist without deconstructing much of the mythology of star wars i think this movie will end up tied with revenge of the sith in my star wars list   the best of the prequels  i will say my excitement for  the next one has been dampened but wait and see jj correct some of what i think were misfires by johnson  its definitely been interesting watching the range of opinions i did think about something wasnt akhbar killed in the incident that incapacitated leia that would explain why he wasnt given command it was a bummer that he was basically killed offscreen i definitely agree that the movie was slow getting its footing the a b and c plots were totally obvious and the c plot finn  rose at the casino was kindof pointless although i did think the film was remarkably shot and i truly appreciated the story i enjoyed tfa more but i think tlj is a better film for its originality among other things great review thanks for the comments i watched it a second time last night and found myself more impressed with what johnson does it does look incredible and those big moments are just fantastic i still have the same frustrations after a second viewing but they arent quite as pronounced as before really like this installment oh thats great i need to watch it a second time before i write my review youre right about those big moments the opening sequence was remarkable i cant wait to see what abrams does for the last one  ohh i didnt notice that but that makes a lot of sense why that would be ill look out for that in my second viewing  awesome review keith i feel you pretty much nail the head on the last jedi  im supportive of some of the creative risks johnson took and thats certainly needed in any longrunning franchise but part of me does feel that the force awakens was stronger overall there were some incredible visual treats but im with you on the pacing it felt like there at times momentum was gathering only to be lost in the next moment  the finnrose side mission didnt help glad someone else thought the cgi chase was a bit off  also some of the humour felt forced and unnecessary could this be the disney effect the same thing seems to bother me with the marvel films in the original trilogy those moments were actually funny and never felt out of place but not so much here thanks chris definitely some pacing issues and some logic problems that i just couldnt reconcile still a good installment and ill give it credit i did seem to enjoy it even more during my second viewing ive heard that quite a lot i likely wont catch it again until the bluray release but its always encouraging to hear that a movie improves with subsequent viewings what were your thoughts on the luke treatment it seems many people were upset at how he was written personally i liked it it showed the humanity of luke and since jedi are taught to suppress emotion it makes sense for him to cut himself off from the force considering the deep emotional impact of what he faced i too was fine with it keith wed already had lukes journey as a hero in the original trilogy and i felt it was right to do something surprising and unexpected with him  as you point out the way he was depicted in tlj made him more human and relatableeven a jedi can be fallible and have regrets much has been written concerning lukes journey in this movie but the only thing that saves this whole thing for me was the force of hamills performance he comes across as coward selfish and woe is me at the beginning by cutting himself off from his sister  friends etc more or less by running from the mess he made  now johnson has every right to take him there  its his story but for me it doesnt fit right with the luke of the past  i have zero issue with him being conflicted  guilt ridden etc but that whole story felt off  hamill even felt so  although he has back tracked  but i will attempt going forward to stop thinking about it because the more i do sit around with other star wars fans  the more we begin to really pick it apart lol  but that is the passion of fans concerning anything i guess  thats interesting i never saw him as a coward or selfish i saw as broken and disillusioned i saw him as someone who was overwhelmed by the emotions of the situation he endured and since the archaic jedi system he had been taught in failed him he cuts himself off from the force i really liked the mental and emotional complexity hes fighting  i noticed one or two possible issues with the story when thinking about it later one of which  finns and roses mission turning out to be pointless  i actually thought rather clever  and i didnt get why admiral holdo looked like someone out of the hunger games  on the whole though i had very few issues with the film for me the the entire finn and rose mission was completely pointless it didnt need to even happen one reason it did happen and another major issue i had was holdo her character made no sense to me whatsoever of all the times to suddenly feel you needed to teach poe a lesson why on earth wouldnt she tell him of their plan i also wasnt crazy about leia pulling a mary poppins in space something about that didnt click the mary poppins bit didnt entirely click with me either although i didnt really mind it too much i loved the lukekylo ren confrontation mark hamill really threw himself into his role and the direct the film shifts the franchise in
Mar 16 2022,positive, star wars episode viii  the last jedi arrives with a measure of freedom being disencumbered from the responsibility to restart the franchise that beset and some would argue hampered its breezy predecessor director jj abrams the force awakens rather than dwelling on nostalgia or trying to recreate our fond memories of the original trilogy with blatant parallels to george lucas 1977 original the new film carves out its own identity in fact that very notion finds a thematic strain in the narrative as several of the films characters place a distance between themselves and their earlier counterparts in a key scene the temperamental kylo ren adam driver destroys his helmet which he crafted to echo that of darth vader vowing to uncouple from the lingering associations between himself and those who came before him a similar act of symbolic detachment is carried out by rey daisy ridley after finally learning the truth about luke skywalker mark hamill indeed while the last jedi is brimming with adventure and the spectacle of its swashbucklerinspace roots more importantly its a sweeping melodrama that contains no end of deconstructionist ideas about what makes a hero the force and the jedi religion for all of its revisionist thinking inevitable comparisons will be made between the last jedi and the empire strikes back since this second entry in disneys new trilogy contains many of the same story elements that defined the second chapter of lucas original trilogy it expands on the mythology of the series in theatrical ways the story breaks up the main characters for smaller individual missions the central hero trains on a faraway planet under the tutelage of an old master the young trainee sees herself in a quite literal dream secondary characters engage in a more militaristic mission a few shocking turns and doublecrosses occur and some familial revelations will surprise viewers perhaps it goes without saying at this point but many of the films most significant developments will be discussed in detail throughout this review consider yourself warned regardless of the last jedis structural similarities to the empire strikes back rian johnsonthe first solitary writerdirector to tackle a star wars film since lucas was credited as the originals sole writerdirectordelivers a different kind of star wars film on purely formal and narrative terms having tested his hand in emotional complex sciencefiction with 2012s superb timetravel mindbender looper johnson has gradually developed from a lowbudget filmmaker his breakthrough brick an inventive highschool noir from 2005 began a career that has continued to advance with every project into a key player in disneys future star wars films he has been commissioned to start an entirely new trilogy in this universe independent from the tales involving luke leia rey and kylo teaming with his longtime cinematographer steve yedlin the last jedi looks like one of johnsons films but it also looks like a star wars film and perhaps that says something about his passion for the franchise the film opens just after the events of the force awakens as the resistance led by general leia the late carrie fisher attempts to escape the clutches of the evil first order during the escape hotheaded pilot poe dameron oscar isaac goes against his orders by launching a smallscale attack that when backed by the few remaining resistance bombers gets a lot of rebel scum killed the last jedi alternates between the first orders pursuit of the resistance and rey training with luke skywalker rey has flown the millennium falcon to find luke in seclusion on the most unfindable place in the galaxy and johnson makes excellent use of that stirring last shot of the force awakens where rey hands luke his lightsaber by turning the moment on its head luke has lost faith in the force and he proves a reluctant teacher meanwhile the resistance tries to evade capture in a protracted chase as general hux domhnall gleeson has somehow found a way to track their convoy even after a hyperspace flight much of the second act drags and meanders proving unnecessary to the plot low on fuel and locked in a highspeed chase the resistance convoy keeps the first order at a relatively safe distance but leia is injured during the ongoing pursuit and replaced with the purplecoiffed vice admiral holdo laura dern with just a few desperate hours before theyre overtaken poe unwilling to follow holdos uncertain plans concocts a ridiculous scheme to send finn john boyega and rose kelly marie tran an impassioned rebel to a casino planet to find a codebreaker once they secure the codebreaker they can sneak onto the first orders ship and briefly disengage their ability to track through hyperspace this curious detour to a galactic french riviera halts the films forward momentum its as though one of the passengers in john fords stagecoach took a horse from the coach and went on a separate mission worse it ends up utterly pointless when their plan falls through and their stuttering codebreaker benicio del toro doublecrosses them the last jedis midsection may feel bogged down by a needless deviation but the rousing finale contains several impressive scenes of action and lightsaber dueling after learning about the force from her disenchanted instructorspecifically how the jedi are hubrisridden hypocrites to think theyre the only people entitled to wield a power that surrounds everyone and everythingrey believes she can turn kylo toward the light on her own a psychic rapport has somehow formed between them across an expanse of light years and they now have a conspicuous bond through telepathic conversations she resolves to confront kylo and with his help they destroy this films resident emperor supreme leader snoke andy serkis under a rubbery cgi motioncapture performance during a breathless sequence but this only emboldens and does not quell the monster inside of kylo realizing shes failed rey joins the resistance for the final battle on a nearby planet coated with salt which has a red soil underneath a striking image reminiscent of crimson peak kylo leads the first order against the last remaining resistance fighters and he faces luke in a tense duel that recalls the last living moments of obiwan kenobi in a new hope johnsons screenplay results in a mindwandering 152minute runtime that sags in the middle as suggested everything involving the casino planet and del toros character proves inconsequential to the plot nonetheless the writerdirector incorporates revisionist ideas about the jedi and star wars that go against what fans often celebrate about this franchise his characters observe how the past and its traditions do not matter despite the franchises ingrained mythology snoke remarks more than once that kylo has failed to become the next darth vader and perhaps out of his failure perhaps after killing his father kylo resolves to let the past die and become his own man elsewhere rey hopes to find a living legend in the jedi warrior luke skywalker but instead she finds a broken monk that has lost faith in his order finn and rose learn that anyone can become a hero no matter how insignifcantand several characters learn this same lesson when rey discovers her decidedly modest lineage combined with lukes skepticism toward jedi precepts it becomes evident that bloodlines do not make heroes a persons willingness to do what is good does johnson touches on themes that resonate in our present culture war infusing the last jedi with an overt ideological perspective although hardly intentional given that johnsons script was finished before the 2017 election the film opens in an age where controversial politics and nepotism go handinhand and associations cannot help be made between the trump family takeover of washington and the first orders leadership thus making the nazi parallels even more frightening johnson questions the authority of heritage suggesting that the force is something not exclusive to a noble few throughout multiple story threads he remains critical of the superrich and how they acquire their means as well as those who jealously hold onto their power johnsons film also calls for animal rights in a subplot on the casino planet where finn and rose liberate large racing dogs he condemns the eating of meat in a comical sequence wherein chewbacca thinks twice before chowing on a birdlike porg a resignedly cute trifle and he censures both slavery and childlabor as well to be sure this is the most political and socially reflective of all star wars films johnsons formal approach is also revisionist but fans may balk at alternative flourishes that threaten to betray the formal toolkit commonly used by filmmakers in this series and feel dissimilar from the standard formal model of a star wars film though the usual swipes and transitions remain intact take how during the initial resistance escape roses sister paige veronica ngo must release several bombs at the right moment johnson drops all diegetic sound and engages in slowmotion to heighten the tension a familiar device in many other action films but the tactic seems out of place in a star wars film johnson also plays with sound when he drops all audio except the dialogue in psychic conversations between kylo and rey similiar formal oddities appear throughout making the last jedi feel less connected to other episodes in terms of its technique consider when johnson interrupts the usual forward thrust of star wars films with a rare flashback or later cinephiles may note that the last jedi is the first episode to make direct reference to another nonstar wars film while other episodes draw inspiration from established films the most obvious being akira kurosawas the hidden fortress 1958 none has been so bold as to borrow exact lines from terry gilliams brazil in a nod to the dreaded form the 27b6 the last jedi alternates between material that either inspires celebration or feels strangely out of place if not inconsistent or overly cutesy fortunately theres more of the former category in the failing camp the inclusion of admittedly awwinspiring porgs to sell stuffed animals and videogames the slowmotion used throughout the film toadlike nuns used for comic relief the sudden disappearance of han solos charms in a universe where people but not inanimate objects fade into nothingness upon death leias return from the vacuum of space by way of her neveragainreferenced use of the force and the frustrating reality that snoke and his horrible facial scars will remain a villain devoid of any backstory obviously most of these observations are mere quibbles more triumphant are driver ridley and hamills impassioned performances the final lightsaber battle with kylo and rey the continued energy of boyega and johnsons investment in his films thematic and political integrity whatever issues this review may have explored or nitpicked the last jedi both honors and expands upon the mythology of star wars while also providing the necessary popcornmunching escapism the film even boasts some laughoutloud moments of wit and humorthe openers radio prank was hilarious even if it seemed illsuited for a star wars film the misplaced metahumor is a trend throughout the film but johnsons film supplies the requisite spectacle that casual fans expect while devoted enthusiasts have new complex ideas to consider for the franchises future the last jedi gives audiences much to think about unfortunately some of that thinking is done during the film instead of after it even so johnsons desire to push forward and alter the star wars universe in substantial ways remains brave and bold making the films uneven pacing and few missteps negligible next to the sheer scope acting prowess and thematic ambitiousness of the episode
