Dates,Scores,Reviews
Mar 24 2024,positive,love all roberts films this one is no different
Mar 23 2024,neutral,pretty good photography not much of a story liked the trippy norse mythology stuff could have made a bit more of it
Mar 17 2024,positive,if the northman isnt robert eggers best movie its at least his boldest its finetuned and pinpoint beyond what youd expect from an already exacting director and the stunning ensemble cast is entirely dedicated to their profound roles  all led by alexander skarsgård and anya taylorjoy    
Mar 12 2024,positive,beautiful story of revenge very raw emotion and an all around great viking movie alexander skarsgård absolutely delivers in this and put so much into this and the supporting cast also holds up this captivating tale a must see for anyone who is into viking lore or a fan of alexander skarsgård
Mar 5 2024,positive,almost like a classic sword and sorcerer film but with no regard for the genres conventions which makes this film standout and stand above
Feb 29 2024,negative,mediocre pretty basic story nothing really surprising or departure from what youd expect forgettable
Feb 28 2024,positive,what a great surprise immersed in the beautiful and creative shoots i really loved this movie this movie made me remember why i love movies this much and inspired me in my cinematography
Feb 27 2024,negative,i do not  see what the critics see in this even with great cinematography it was not good
Feb 21 2024,positive,eggers finally fulfills the promise he showed in his earlier work a gorgeous and bold epic that both feels old fashioned possibly ancient even and excitingly new
Feb 14 2024,positive,because of its length lack of character development or even story depth it might not be everyones cup of tea but if you look at it from a different perspective than you usually look at movies you appreciate it for what it is a brutal revenge tale with great cinematography
Feb 9 2024,positive,in a landscape thats been very fond of vikings in recent years its nice to see a departure from the often poorly realised historical and instead venture into the mythical the fantastical    based on the story of amleth the original inspiration for shakespears hamlet this film is unapologetically cryptic and mysterious while telling a cohesive and thrilling tale    the wealth of historical accuracies to the time period are worth 5 stars in themselves seriously look it up but going into this film expect to see a work of fantasy and let yourself get lost in it you wont be disappointed
Feb 4 2024,negative,this movie was absolutely dreadful from start to finish the writing was completely incoherent and nonsensical none of the plot threads made any sense whatsoever the attempts at symbolism fell completely flat the tone shifted abruptly and inconsistently between scenes it honestly felt like the writer was just making things up as they went along with no planning or forethought    even setting aside the abysmal writing every other aspect of this movie was equally incompetent the acting was laughably bad the cinematography was amateurish the pacing was horrible the runtime was absurdly long considering there was no actual story being told the whole production comes across as some film students first attempt at an artistic movie that tries way too hard to be profound but ends up revealing only its own pretension    the northman has earned its place among the worst movies i have ever seen the writing is the most glaring weakness but every single component is flawed do not waste your time or money on this total disaster of a film easily one of the biggest cinematic misfires in recent memory
Feb 4 2024,negative,apparently some reviewers think a pretty movie must be a good movie  this one is visually sumptuous but plagued by long boring stretches the worst choreographed medieval fight scenes since movies in the 50s moderate acting nicole kidman barely shows up too long some goofiness that is hard to take seriously in a movie that wants oh so bad to be serious   never mind that the writers only read the cliff notes about vikings  i give it two stars because i am a sucker for a viking movie
Jan 29 2024,positive,like all of eggers films if you dont fully understand the lore youll likely be stuck at times although mostly good i think it may be eggers weakest film yet 
Jan 22 2024,positive,cinematography is crispy epic combined with crafty engaging storytelling now this is a fůcking viking movie folks skål
Jan 20 2024,positive,after being blown away by the vvitch and then seeing the masterpiece that is the lighthouse i knew that eggers had something special with the northman a fantastical epic about revenge and death this film is a visual marvel that hooked me instantly amazing performances interesting story and brutal fight scenes have me rating this one a 45 stars brilliant film
Jan 18 2024,negative,probably the worst movie i have seen in a long time weak plot and horrible acting even the special effects lame  dont waste your time on this disaster fooled by the high rotten tomatos rating dont believe it
Jan 16 2024,positive,prepare for a tale of vikings vengeance and the road to vallhalla when prince amleths father is murdered by his uncle he embarks on a quest of vengeance against the traitor who killed his father beautiful in its aesthetic and brutal in its violence eggars brings the world of norse mythology to life
Jan 13 2024,positive,absolutely gorgeous stunning on every way
Jan 12 2024,negative,i was thoroughly unimpressed
Jan 7 2024,negative,unbelievably bad dont waste your time 
Jan 3 2024,positive,movie was awesome if you liked conan the barbarian from the 80s with arnold then you will enjoy this the action is great and the mythos is excellent alexander is good in this movie along with the supporting cast it really made me feel like i was watching arnolds conan from the 80s worth watch for sure
Jan 2 2024,negative,great cast   movie  meh x 10
Jan 1 2024,positive,very likely the greatest viking movie that will ever be made exciting emotional authentic i am entertained with every repeat viewing
Dec 31 2023,negative,very long and mostly boring the northman tribal scene way too long and stretched out a lot of unnecessary filler and repeated dream scenes then the final fight on top of an active volcano where the sulfurous fumes and heat would kill any living thing but it these two they kill each other story line runs along most viking movies but movie did have hope of the didnt stretch it out so long 
Dec 30 2023,negative,i have no idea why this movie has high ratings  it is 95 generic filler from any generic vikings movie and the remaining 5 is a script that a 12 year old could have written  is it that anyone will watch  and fear to criticize  a movie with the massive clan of skarsgårds in it  any single episode of the vikings series is better than this waste of time
Dec 26 2023,negative,viking slasher kits how are vikings portrayed in this movie every second someone gets butchered by a brutal viking after 30 minutes we were laughing about the stupidity of it all the artificial kits acting and the butchering was getting really annoying and we were laughing because everything was so overdone
Dec 25 2023,negative,one of the worst movies i have watched bad story and bad acting
