Dates,Scores,Reviews
Mar 18 2024,positive,war of the worlds initially had a cool reception which is very unfair its a cracking thriller delivered with spielbergs practised panache echoes of past spielbergian works like close encounters jurassic park even empire of the sun but with a darker post 911 tone cruise for the most part reins in his tendency to overact tim robbins is oddly cast as a paranoid survivalist but the best performance is dakota fannings the conscience of the threatened family special fx are of course excellent even if the martians are designed to be a bit cutiepie
Mar 6 2024,positive,movie is great and definitely worth seeing everything from sound effects cgi and action was amazing not to mention the actors
Feb 26 2024,negative,too slow for this genre
Feb 14 2024,positive,some of the characters just get on your nerves overall it is satisfying
Jan 31 2024,positive,i love this film till just passed the ferry scene  it begins to degrade after that a little but its still worth a watch to the end  one of the films i like to watch every year
Jan 16 2024,positive,this was a terrific modern reinterpretation of a classic film and book tons of character coupled with solid action i have seen it at least four times and enjoy it every time
Jan 15 2024,negative,wish humanity would have gotten annihilated in this movie stupid how people crown around alien ships and dont think to maybe hide
Jan 13 2024,neutral,any 2 hr movie that i can make it through is a good movie that said this is not a great movie the kid characters were annoying af the dumb scene of robbie trying to run off and fight with the military and refusing to go back to his dad and sister the sister maggie good lord basically she just screams randomly and looks bug eyed throughout the movie its unclear where she wanders off to when they finally leave the basement and why she cant hear ray calling for her the ending and explanation of what was happening to the aliens was rushed and lazy all of that said it was still mostly entertaining and the alien scenes where the tripods were just blasting everyone was fun my son and i enjoyed it
Jan 7 2024,neutral,much like minority report this movie works in spite of spielbergs direction  once you get past the first 15 minutes it turns into a total roller coaster ride with barely any dialog to carry the next hour and a half despite the thrill ride along the way the ending is a bit of a let down but that is keeping in tradition of the source material  my biggest complaint is the over reliance on cgi  sure technology has come a long way since jurassic park but it still doesnt look as good as the practical effects of raiders of the lost ark
Jan 5 2024,negative,i liked dakota fanning in it  she was the only good actor in this movie  otherwise it was pretty much a tom cruise fail
Jan 4 2024,positive,it was goodidk why ppl gave it bad reviews
Jan 4 2024,positive,this movie has amazing visuals for its day the cinematography was good and it has some fun elements what i wouldve done is not show the creatures and keep them as hidden and as unknown figures but still a great movie to watch on a friday night
Jan 2 2024,positive,great movie underrated
Dec 11 2023,negative,dumb remake especially the scene where cruises son insists he needs to see what is going on while his sister rachel is being pulled away with some strangers and she who has been screaming many time prior just struggles and says nothing cruise in the meantime is more concerned with his teenage son than he is about his 10 year old daughter
Dec 10 2023,positive,ill never understand why people dont like this movie to me it hits every mark on the checklist of a great film not only myself but my kids loved watching this every scene with the tripods is incredibly tense and thrilling  i could understand why maybe some dont like the major twist at the end but i think its quite brilliant  regardless the psychological aspect of this film is what makes its so good you truly feel the fear of these extraterrestrial beings transcend through the movie as a viewer  which you cant ask for more  if youre thinking about this movie give it a shot
