Dates,Scores,Reviews
Apr 12 2024,positive, scifi thriller based on hg wellss novel directed by steven spielberg and starring tom cruise when aliens invade earth divorced dock worker ray ferrier attempts to save his estranged family from the rampaging extraterrestrials steven spielbergs adaptation of the hg wells classic previously filmed in 1953 is a spectacular disaster epic of two halves the first and much the superior hour is a masterclass in escalating tension with grandiose and brilliantly executed sequences following in rapid succession  the bizarre lightning storm that prefigures the eruption of the alien tripod war machines from beneath the earth is an astonishing opening salvo unusually for a specialeffects blockbuster the human drama is transfixing as divorced dock worker tom cruise flees the invasion with his two estranged children played by justin chatwin and dakota fanning its in the second hour that the story begins to wilt most crucially when the suspenseevaporating cgi aliens are revealed the imaginative details a blazing train hurtling out of control the river of dead bodies also begin to peter out until a rather abrupt ending in which hollywood schmaltz wins the day
Aug 5 2022,positive, in steven spielbergs science fiction war of the worlds remains something of an oddity its outlook on the prospect of humanalien interaction is bleak and stands as an antithesis to the directors optimistic aliens in close encounters of the third kind et the extraterrestrial and even those alienlike robots at the end of ai artificial intelligence and while it contains similar misgivings about technology as spielbergs jurassic park and minority report it holds none of their purist fascination with the science of the story aliens heatrays and subterranean tripods are all very deadly as a translation of hg wells seminal alien invasion tale the film moves the action from england to the united states and while modernizing the source material allows spielberg to deliver a spectacle of alien destruction that on the surface sets aside his familyfriendly label but the adaptation maintains many of the original texts most controvertible arguably convenient flourishes so that in spite of the films global cataclysm incited by worldconquering aliens its epic scope remains centralized on a single familys experiences during the takeover and therefore its every bit as intimate as one would expect from steven spielberg spielbergs film follows the long tradition of wells seminal book and its many adaptations by standing as a reflection of scientific social or political events germane to its place in history with his book wells had anticipated the end of the victorian era and the worst potential dangers in the coming century where science and technology would rule supreme later adaptations only solidified that notion in 1938 as radio listeners tunedin to hear the usual rumblings of war in europe with hitlers rise orson welles sent half of new englands listeners running for the hills with his legendarily realistic radio broadcast later producer george pal and director byron haskin made an effectsladen spectacular in their 1953 adaptation the war of the worlds a film that played on the red scare and hoped for divine intervention and spielbergs 2005 film written by david koepp and josh friedman channeled 911 and consciously incorporated parallels to the thencurrent iraq war still fresh in viewers minds when one of the characters sees destruction all around her aliens dont enter her mind she immediately asks is it the terrorists skies fill with clouds as robotic machines topple entire cities but spielberg finds poignant moments of humanity in familiar imagessuch as a father running with his daughter in his arms both covered in ashimages not unfamiliar for those versed in 911 or any catastrophes news footage its release was accompanied by a marketing campaign to match the largerthanlife collaboration between hollywoods most bankable director and its most popular star tom cruise the two had already worked together on minority report in 2002 but the global scale here was far more enormous millions were spent to produce and market the picture and the posters showcased colossal letters that recalled the fonts from such past epics as benhur 1959 and king of kings 1961 six months before the films release analysts predicted it would be the years biggest hit it was fourth and perhaps spielbergs largest earnerits certainly among his largest budgets but just a few weeks before its independence day weekend opening on june 29 2005 cruise appeared on the oprah winfrey show jumped for love on oprahs couch and became something of a laughing stock in the public eye his erratic behavior was vaguely attributed to his association with the unpopular church of scientology cruises promotional interviews centered on his newfound love with future exwife katie holmes and the film itself was lost in the discussions some would argue that the public had grown weary of cruise and despite war of the worlds stateside boxoffice take of 200 million the film would have done better without the increasingly skewed perception of its star at any rate critical responses were equally circumscribed and seldom passionate their assessments lost in the special fx visceral nature and sheer size of the experience over the characters and their emotional underpinnings which is oddly enough what makes war of the worlds far more lasting than any version before it andrew sarris argued overall the film is too lacking in feeling to provide a recognizably human experience on the flipside other critics expected a film of broader worldly scope as the title implies and felt the spectacle was lost in the entrenched humanity referring to the way the film avoids a typical blockbuster formula and does not require its heroes to save the day the critic in the new york post wrote this disappointing war of the worlds limps to a conclusion that mercifully ensures there will not be a sequel indeed the films scifi logic and largescale exhibition were less spielbergs concern next to his desire to create a familiar iconographic atmosphere that the audience could not ignore on an emotional level after all roland emmerich had already made a worldwide alien invasion movie with independence day 1996 a film about blowing up monuments the world over spielbergs film reminds us that amid the global horrors are personal stories about individuals perhaps morgan freemans offscreen bookend narration feels somewhat misplaced here then his voice of authority suggests something big is on the horizon it opens the film and tells us aliens have watched our planet with envy and made plans and at the end explains how the invading race is wiped out by ordinary microscopic earth organisms to which humans are immune in between freemans grand observations new jersey divorcé ray ferrier tom cruise in his most natural of performances takes his rebellious son robbie justin chatwin and anxious daughter rachel dakota fanning excellent from his exwife miranda otto for the weekend and his rocky parentchild interactions continue even after an unearthly storm looms overhead near his disheveled bachelor pad lightning strikes the same spot again and again and suddenly all electricity from batteries to city power goes out killed by an electromagnetic pulse all at once theres a rumbling from under the city street surface at the lightnings point of impact and then the ground caves in and from inside emerges a tripoda threelegged robotic machine armed with heatrays that reduce its victims to ash rattled unequipped as a parent and unsure what to do ray gathers his children who take no comfort from their unnervedbuttrying father ray finds the last working automobile in his neighborhood and with children in tow sets out to find his ex but crossing a displaced countryside wrought with tripod attacks an airliner crash gearedup military forces and panicky masses primes ray into a protective father mode along with cruises damaged public profile in 2005 the films minor plot holes led to an underestimation of war of the worlds even today those searching for scifi logic in a film about a familys survival question why a bystander is spotted recording the tripod on his digital camcorder after the aliens electromagnetic pulse zapped all electronics but then as viewers we only assume the electromagnetic pulse there is no scientist or resident expert in the film to explain whats going onwe have to feel our way through it other debatably inconsequential plot holes occur making it so the film may not stand up to microscopically close inspection but such analyses overlook the sheer energy with which spielberg has assembled his productionanother driving force behind war of the worlds in that regard the film has much in common with jurassic park whereby captivating human characters run from a towering deathly force all delivered with great cinematic bravado and within this nonstop scenario spielberg orchestrates moments of pure filmmaking that remain spectacular upon repeated viewings consider the deceptively simple sequence where ray and his children navigate through stalled traffic in a minivan cinematographer janusz kaminskis camera movements bob and weave passed stopped cars and hordes of stranded drivers the frame whooshing in and out of the van thanks to cgi circulating around what in another filmmakers hands mightve been a dull sequence filmed entirely inside a car beyond moments where spielberg echoes 911 imagery he also makes incredible use of the tripods imposing stature they tower over crowds or move through cities with vast slow steps that implant them in the viewers memory as iconographic cinemashots best described as epic and ambitious but war of the worlds is at its best when spielberg breaks the massive scope to explore themes of family amid the frightened mob mentality prevalent throughout the film theres a microcosmic sequence where tim robbins appears as a paranoid survivalist named harlan who makes deranged plans for a rebellion in the cellar of an old farmhouse the scene serving as a metaphor for the entire picture harlans behavior incites ray to blossom into a fullfledged protector after they narrowly avoid the alien equivalent to a fiberscope and then an alien survey team ray is forced to fight and kill harlan in fear that his loud ranting will alert the aliens cruise is excellent in these scenes and delivers a complete growth of character in his performance emphasizing the films overarching theme of human bonding during and after a massive catastrophe reflecting post911 patriotism moreover cruises role is uncommon in spielbergs filmography in that the directors films usually concern families or children with absent father figures here as in minority report cruise represents a deeply flawed father who through the course of the film restores some shattered levels of balance to his family even after robbie seemingly dies in a wave of fire when he abandons ray and rachel to fight aliens with the us army the film reunites robbie in what some consider an alltooconvenient conclusion then again this plot detail is drawn directly from wells who reunited the books narratorprotagonist with his presumeddead wife by the last pages american audiences accustomed to blockbusters of mass destruction in 2005 felt war of the worlds was a letdown and wasnt the crowdpleasing popcornmunching nobrainer that independence day was then again its worth noting that the critics at frances cahiers du cinéma usually ahead of the curve put the film on their top ten list for the yeara curious choice for any film thats just another blockbuster of course no spielberg film operates on one level alone and this film is certainly no exception had the films marketing campaign not suggested another kind of film of roland emmerich ilk and focused instead on the deeply human struggle at its center war of the worlds may have been perceived differently but spielberg avoids grotesque cutaways to paris burning rio de janeiros christ the redeemer toppling over or the white house exploding his imagery is more affecting and invariably human and his focus on a single family amid a worldwide conflict would inspire the narrative structures of later blockbusters such as world war z and 2014s godzilla highly influential ever innovative and full of emotion and slick formal trickery the film lives up to the precise definition of what steven spielbergs war of the worlds should be
Jul 29 2022,positive,cruise is in fine dramatic form and spielbergs journey to the dark side is superbly realised 
Jul 9 2022,positive, steven spielberg takes on the granddaddy of all alien invasion stories with war of the worlds 2005 his contemporary adaptation of the hg wells novel fifty years after the first big screen version thrilled audiences tom cruise is the screwup of a divorced dad emotionally cutoff from his kids who connects with his paternal instincts to protect his children dakota fanning and justin chatwin when his new jersey neighborhood is assaulted by alien creatures that burst from the concrete streets and destroy everythingand everyonewithin their reach spielberg is a master at staging both epic scenes of disaster and intimate moments of terror and triumph the imagery is epic and the effects thrilling the storms above the bridge by rays new jersey home the cracking pavement as alien tripods rise from the ground and march through civilization like an invading army of spidery giants the death rays that sweep the streets and leave dust where people once stood the survival odyssey keeps is grounded in the family trying to survive the onslaught giving us everything from their limited perspective in the midst of a nightmare cruise takes direction amazingly well and delivers an impressive physical performance as his failed father rises to the occasion and risks everything to protect his children from the invasion but he still cant manage to emote and he doesnt allow the audience to connect to spielbergs strongest impulses family devotion sacrifice for a loved one for that the film relies on young dakota fanning whose wide eyes and little girl shrieks really express the sense of the world unraveling tim robbins is memorable as a survivalist who saves cruise and fanning only to fall prey to his own shockinduced obsession miranda otto costars and gene barry and ann robinson stars of the original 1953 film makes cameos as the grandparents morgan freeman chimes in as narrator in the opening and closing moments dont miss a single recommendation subscribe to the stream on demand weekly newsletter your email address will not be shared and follow us on facebook and x formerly known as twitter sean axmaker is a seattle film critic and writer he writes the weekly newspaper column stream on demand and the companion website and his work appears at rogerebertcom turner classic movies online the film noir foundation and parallax view
Jul 5 2022,positive,this superior popcorn flick revels in the unabashed joy of blowing stuff into oblivion
Oct 16 2021,positive,  from hg wells to philip k dick the titans of scifi literature have been keeping filmmakers busy for decades as denis villeneuve becomes the latest director to grapple with frank herberts epic dune we remember 10 times they struck gold with its immense worldbuilding vast ensemble of characters and complicated mix of politics and religion frank herberts 1965 novel dune is almost a textbook study in the challenges of adaptation approached in the early 1970s no doubt for his desert work on lawrence of arabia 1962 david lean declined to head a film adaptation as relayed in frank pavichs documentary jodorowskys dune 2013 chilean cult director alejandro jodorowsky spent much time and 2 million developing a film version in the mid1970s only to run aground on his own improbable ambitions hollywood proved terminally resistant to his proposed running time of 10 to 14 hours after ridley scott eventually abandoned another lengthy attempt to develop dune into two films dino de laurentiis hired david lynch in what would be his first  and last  studio film and his most compromised work without final cut lynch disowned the finished product 1984 which bombed critically and financially yet the results remain a mesmerising folly merging the very different sensibilities of herbert and lynch into something rich and strange john harrison adapted the novel into a faithful if somewhat flat and prosaic miniseries for scifi channel that misses jodorowskys and lynchs unworldly eccentricity and now fresh from the scifi of arrival 2016 and blade runner 2049 2017 denis villeneuve brings the first of his own twopart adaptation of dune with a possible third to cover subsequent novels as we draw closer to the longawaited uk release of villeneuves dune here are 10 further sciencefiction adaptations charting a course through their transformation from text to screen james whales precode scifi horror is adapted from two sources mary shelleys 1818 novel whose author the opening credits demeaningly reduce to mrs percy b shelley and peggy weblings 1927 stage adaptation of the same both these sources  one literary one theatrical  are acknowledged in a work which is introduced by an onstage narrator but also shows frankensteins fiancée elizabeth reading from a letter a nod to the epistolary form of shelleys novel the adaptation is very free the novels victor frankenstein is now called henry colin clive although confusingly there is another unrelated character here called victor frankenstein now has a hunchbacked servant named fritz renamed igor in later sequels while the monster boris karloff is an inarticulate brute the climax takes place atop a blazing bavarian windmill rather than the arctic ice floes yet the films iconography would itself come to influence much subsequent horror aladdins lamp in a physics laboratory comments doc ostrow warren stevens having just witnessed dr edward morbius walter pidgeon use an alien mindreading device to project an animated 3d image of his daughter altaira anne francis its a line that exposes not only the proximity of sciences cutting edge to sorcery but more particularly the influence of fantastical literature like the 17thcentury syrian storyteller hanna diyabs aladdin on science fiction fred m wilcoxs futureset feature in fact owes its greatest debt to a rather different tale of wizardry for in their shared exile on a distant planet morbius and his daughter resemble the similarly isolated prospero and miranda from william shakespeares stage play the tempest while robby the robot and the monster from the id evoke prosperos enchanted servants ariel and caliban only the arrival of an allmale space crew can break morbiuss magical grip over the planet in 1948 arthur c clarke wrote his short story the sentinel  concerning an alien artefact discovered on the moon  for a bbc competition where it failed to place he first published it in 1951 as sentinel of eternity in 1964 director stanley kubrick started collaborating with clarke on a new sciencefiction film inspired by the sentinel and several other short stories by clarke initially they planned to cowrite a new novel followed by an adapted screenplay but in fact both would end up being written concurrently with the novel published in clarkes name only shortly after the films 1968 release  one year before the first actual manned lunar landing this is an unusual case of book and movie codeveloping and coexisting there are many minor differences in their plot details but most significantly of all kubrick translates clarkes verbal work into a near wordless abstraction for the eyes john w campbell jrs 1938 novella who goes there published under the pen name don a stuart will forever be associated with both christian nybys loose adaptation the thing from another world 1951 and john carpenters much more faithful rendering the thing 1982  but barreling between these two scifi horrors was eugenio martíns loco motion picture unfolding not on a contemporary antarctic base but on the transsiberian express in 1906 this hammeresque eurohorror pits two rival scientists christoper lee peter cushing against an alien entity unearthed from an icy manchurian cave which leaps from one living host to another including humans campbell jrs short story though never featured polish nobility an international spy a cigarchomping whipwielding cossack officer telly savalas or a rasputinlike mad monk alberto de mendoza all too eager to shift his holy allegiances to an extraterrestrial satan robert a heinleins hugo awardwinning 1959 novel starship troopers is a comingofage interplanetary war story whose future militarist earth is either federal utopia or fascist dystopia according to the readers own ideological perspective  an ambiguity that has earned the work considerable controversy over the decades the eversubversive paul verhoeven unsurprisingly embraces this aspect in his adaptation presenting his story as absurdly cheery recruitment propaganda while simultaneously exposing in bold bloody detail the abject horror of the humans cause playing like a parody of both tony scotts top gun 1986 and televisions beverly hills 90210 19902000 verhoevens film places chiselled hormonal teens in the thick of a vicious battle fought on multiple fronts and slyly suggests close parallels between the human characters and their insectoid enemy who are made to seem as much victims as aggressors here the bestial brutality of us imperialism is shown from the inside first serialised in 1897 hg wells alien invasion novel the war of the worlds has been famously adapted into orson welles 1938 radio broadcast jeff waynes bestselling 1978 musical double album a threepart edwardianera miniseries 2019 for the bbc and various film versions including producer george pals 1953 feature steven spielbergs version coming in the shadow of attacks on american soil on 11 september 2001 shows just how adaptable this myth is to contemporary preoccupations that wells himself for all his futurist concerns could never have predicted showing an assault on the us from the ground up the film strikes what for its time was a deeply subversive note by having its human hero strap explosive devices to his body in a campaign of guerrilla warfare and suicide bombing against an overwhelming force  all tactics of precisely the othered terror on which america had recently declared war philip k dick has proven to be one of scifis most lucratively adaptable authors with his works the source for among others ridley scotts blade runner 1982 paul verhoevens total recall 1990 and steven spielbergs minority report 2002 yet these were all rather loose reimaginings whereas richard linklaters 2006 feature cleaves very closely to dicks original 1977 novel using genre and a barely futuristic setting as a scramble suit to disguise its status as a semiautobiographical elegy for the toll taken by drug addiction on dicks friends and himself in the early 1970s with the same rotoscoping technique that he had used in his waking life 2001 linklater transforms the faces of familiar stars into cartoons its the perfect visual analogue for all the disorientation and dissociation of dicks novel whose brainaltered burnouts have become alienated from the world around them and their own sense of self stanislaw lems 1986 short story one human minute presents itself as a review of a miraculous impossible book that reduces all human activities from a 60second period to an exhaustive set of statistics both literary and metaliterary lems tale defines unfilmable  and indeed a voiceover at the beginning of pater sparrows adaptation suggests paradoxically that the only consolation for the books existence is that no one could make it into a film sparrow sets his film in a despotic dystopia and has the book suddenly appear overnight on the shelves of a closed secondhand book dealership the increasingly alarmed authorities scrambling to understand the origins meaning and implications of the books destabilising content detain all the stores staff in a sanatorium repurposed for interrogation the result is a mystery all at once of the lockedroom political and theological varieties and an adaptation in no way merely by numbers born a century ago stanislaw lem saw his 1961 novel solaris adapted into three features by boris nirenburg in 1968 andrei tarkovsky in 1972 and steven soderbergh in 2002 before his 2006 death ari folman took the hallucinatory mindscapes of another lem novel 1971s the futurological congress and updated them to a new future where movie stars have been digitised by studios as ageless icons and where everyone lives their dreams in a solipsistic virtual world of instant gratification lems male protagonist is replaced by robin wright the actual wright playing a fictionalised version of herself and her entry into the futures layered lysergic fantasia is marked by a switch from live action to cinemas most plastic form animation  here as in folmans previous film 2008s waltz with bashir used as much to conceal as to reveal reality its a melancholic metacinematic satire set in an online world both within and beyond lems imagination an epic scifi odyssey without the homecoming nobel laureate harry martinsons 103canto poem aniara published in 1956 has inspired several operas a swedish telefilm 1960 musical albums and this feature from directors pella kågerman and hugo lilja whose adaptation chimes with anxieties about the current course of our species expressed in the same year by kim kiduks human space time and human and claire denis high life as earths ecosystem collapses the vast cruiser aniara taking affluent emigrants on a threeweek voyage to the martian colony is accidentally sent off course and drifts into deep space now trapped in a second degrading ecosystem the passengers and crew reorganise and form a new regressive society traversing the edge of infinity placing the human condition in a floating petri dish this ode to entropy emptiness and oblivion is in keeping with its source richly abstract and poetic
Feb 15 2021,negative, whatever commentary it may be on the present state of american studio filmmaking steven spielberg remains one of its more skilled practitioners he is one of the few capable of organizing script actors camera and effects in such a fashion that his concerns are communicated in an entertaining fashion to large numbers of people unfortunately he is not burdened with great or important ideas so that while the undertaking is often successful in the more immediate sense it generally fails to perform the larger tasks confronting art and filmmaking one knows more or less what to expect if there has been a darkening in spielbergs films recently with artificial intelligence minority report and now war of the worlds this must be attributed to growing concerns within certain social layers about the state and direction of american society all is clearly not well again however the gloomier vein has not yet yielded extraordinary insights the filmmaker always seems in the end too complacent and too canny to make the kind of effort it takes to get to the bottom of things spielbergs war of the worlds is loosely based on the 1898 science fiction novel by hg wells 18661946 about a remorseless attack by martian invaders on the earths population wells author of the time machine 1895 the island of dr moreau 1896 the invisible man 1897 and the first men in the moon 1901 apparently had several perhaps conflicting concerns in mind with his the war of the worlds on the one hand the author an evolutionary socialist identifies the english victims of the alien invasion with animal species such as the bison and the dodo upon which the human race has wrought ruthless and utter destruction as well as the inferior races such as the tasmanian aboriginals entirely swept out of existence in a war of extermination waged by european immigrants in the space of fifty years this ambiguityare the invaders a monstrous them or are they in fact a no less monstrous ushardly finds a place in orson welless notorious 1938 radio version which resonated with the rise of nazism or the byron haskinsgeorge pal 1953 film featuring gene barry and ann robinson who have cameo roles in spielbergs work the latter quite spectacular and entertaining in its own way has cold war and religious overtones in the newest rendition of wellss story in my view the degree to which that ambiguity is treated or neglected largely determines the success or failure of the work screenwriter david koepp and spielberg have transposed the drama to contemporary america ray ferrier tom cruise is a new jersey dockworker divorced with two children in a rather clichéd fashion the filmmakers portray ferrier as an irresponsible soul perhaps more attached to his automobile than his offspring predictably events will put him to the test and family values will triumph alien fighting machines newly activated come out of the ground where they have been stored for eons they immediately wreak devastating havoc with one of the few working automobiles ferrier heads for his exwifes house in the suburbs and when she proves to have left for her parents home eventually for boston several hundred miles away en route ferrier his young daughter dakota fanning and recalcitrant teenage son justin chatwin encounter along with the general population more than their share of terrors and horrors the intruders from another planet are intent on exterminating earths population or breeding them for feeding purposes the vampirish element is present in wellss original book in the end the aliens succumb as they do in the previous versions of the story to a surprising nemesis the initial scenes of ferrier and his family fleeing incomprehensible death and destruction are affecting the attempt to recreate something of the impact of the september 11 attacks on the lives of ordinary people is a legitimate one spielberg is someone who can do this sort of thing the sight of the bayonne bridge collapsing in the background or bits of clothes and body parts floating through the air is disturbing and frightening effective as well are the sequences of refugees trudging down roads and highways desperately seizing ferriers car fighting for a place on a doomed ferry at the same time as the americans are victims along with the unseen rest of the worlds population there are hints of other realities ferriers son is writing a paper on the french in algeria a sinister survivalist tim robbins tells ferrier occupations never work history has taught us that a thousand times the disproportion between the military might of the invaders and that of the humans suggests nothing so much as the present situation in iraq or afghanistan with cruise attempting at one point to become a suicide bomber these hints are clearly intentional spielberg told a press conference but i just felt that this movie is a reflection and there are all sorts of metaphors that you can certainly divine from this storythis movie i was hoping would be more like a prism everybody could see in a facet of the prism what they choose to take from the experience of seeing war of the worlds so i tried to make it as open for interpretation as possible without having anybody coming out with a huge political polemic in the second act of the movie as opposed to roland emmerichs independence day which borrows much of the structure of wellss novel but transforms it into a rousing tribute to american militarism and chauvinism spielberg and koepp have kept the jingoism to a relative minimum the latter told a reporter people might use this version of war of the worlds as a mirror to reflect what they already believe some people will look at it and say its clearly about post911 american paranoia terrorism and our fear of terrorism sleeper cells waiting to be activated some people will feel that because americans already feel victimized and threatened people elsewhere in the world who also feel victimized and threatened might say its about iraq and their fear of an american invasion the notion that americans can be both victims and victimizers is perhaps not the alpha and omega of political understanding but it might be the starting point for critical thought the films ambiguities are enough to have earned the wrath of the extreme right a leftwing propaganda piece against the war on terror is what one hostile commentator terms it and these ambiguities could not slip past the evervigilant edward rothstein culture criticatlarge for the new york times who can generally be counted upon to contribute his rather filthy two cents rothstein compares spielbergs effort unfavorably with wellss remarking that there is a strange ambivalence in the film as if the issues surrounding responses to such terrorist attacks made mr spielberg uneasy the movie also keeps trying to ward off the spirit of militarism the situation elsewhere requires mr robbinss character is a twisted militant hapless disturbed and dangerous tom cruises advice against attacking a martian in a basement is just common sense but when near the movies end he urges a soldier not to shoot it seems as if some other message were being italicized rothstein goes on to register other perhaps more burning concerns some of this may be related to the movie mr spielberg interrupted to make war of the worlds it is said to begin with the murders of israeli olympic athletes by palestinian terrorists in 1972an attack martianlike in its ambitions but the analogy mr spielbergs comments suggest will be undermined injustices suffered by the attackers will need to be understood and their victims tactics questioned the times columnist adds perhaps that idea of terrorists with a cause and defenders with doubts influenced the discomfort felt in the current film as well spielbergs strange ambivalence uneasiness and discomfort to which rothstein refers contemptuously with implications that the filmmaker is soft on terrorism make up the strongest element of war of the worlds the most human element that rothstein praises the spirit of militarism and disdains the protagonists urging of a soldier not to shoot is a commentary on the generally brutalized mentality of the erstwhile american liberal intelligentsia contrary to rothstein the great weakness ultimately of the film is that its ambivalence unease and discomfort about american realities in general and the war on terror in particular are not placed in the forefront developed or worked through to the end in fact the artistic and dramatic failings of the work are to a certain extent perhaps largely traceable to spielbergs and presumably koepps tentativeness and timidity in regard to these critical questions having established in a relatively artistic and potentially rewarding manner a connection a resonance between the reimagined episodes of wellss novel and contemporary events americans under attack refugees in their own country the filmmakers largely fail to follow up on their accomplishment admittedly the task was somewhat challenging how to remain faithful at least in spirit to the original story while continuing to hint at parallels between the science fiction narrative and our reality well something could have been done as it is the film largely stops in its tracks or goes off in an entirely wrong direction oddly enough adherence to the original more or less proves to be the means by which the filmmakers manifest their inability or unwillingness to treat concretely the more controversial and complex aspects of the present situationin other words precisely to advance their own ambivalence uneasiness and discomfort in this case such adherence proves to be the line of least resistance fidelity to wellss tale which in any event is not such an imperishable classic would seem to be a secondary matter as a consequence the characters plight becomes entirely abstract more and more divorced from any presentday reverberations and the film turns into a rather conventional if exceptionally macabre horrorscience fiction film the promising hints and ambiguities are largely abandoned as happens far too often these days having reached an artistic or intellectual impasse spielberg and koepp rely on the monstrous the morbid the grotesque or special effects latter portions of the film are simply distasteful without adding any particular insight one is left disturbed by the film with a bad taste in ones mouth but not necessarily for the right reasons or about the right things and that was not inevitable
Nov 9 2020,positive, o one in the 21st century would have believed that earth was being watched by intelligences greater than their own for potentially millions of years humanity as it reached its peak was always too caught up in their infinite complacency confident of supremacy over the planet but in the cold dark reaches of space aliens have been plotting to take the valuable resources of this planet  by force with a war of the worlds looming ray ferrier tom cruise is the perspective of commonplace sensibility hes a crane operator at a shipyard dependable above and beyond his coworkers but still observant of union rules and he struggles to provide for his two children rachel dakota fanning playing the perfectly precocious voice of reason and robbie justin chatwin donning the role of angsty rebellious teen while also hoping to bond with them and appear as a role model but both are problems considering that hes divorced sharing custody of the kids with his exwife mary ann miranda otto and competing with their wealthy stepdad tim david alan basche youve got nothing to worry about when mary ann drops the siblings off with their father for the weekend ray plans for an uneventful couple of days after all hes a working man and he needs his sleep but before the day is through a storm mysteriously materializes overhead lashing out with freakishly antagonistic lightning bolts forcing ray and rachel back into the house when curiosity gets the better of ray he races into the center of town to investigate the commotion and the pinpoint target of all the electrical strikes the initial alien appearance is unmistakably reminiscent of independence day as furious clouds swirl above hinting at an extraterrestrial invasion but when the invaders do arrive they come from beneath the ground springing up on thin nimble legs like mechanical octopi or tripodal automatons the level of destruction also matches that aforementioned scifi thriller with buildings rupturing and cars getting tossed about as infrastructure crumbles its also quite sudden the action and adventure is quite significant especially as panic takes hold and the attackers begin razing everything in sight its here that some of the most memorable sets are designed with a massive plane resting in sections across a lawn as the best of the bunch though the wreckage conveniently leaves their parked van untouched and when images of chaos and catastrophe are most potent including a stream full of drifting bodies or articles of clothing raining from the sky as if predicting the rise of the modern zombie craze director steven spielbergs vision of an alien takeover includes understandable paranoia uncontrollable crowds of confused and violent survivors and sprawling fleers and the very worst qualities of humanity emerging triumphant even for the protagonist who is forced to make tough moral decisions concerning his familys survival as with most of his ventures the film also puts children directly in the path of the annihilation imparting a sense of innocence and greater unpreparedness with parenting efforts a key point of contention and drama expectedly adults are just as impulsive incompetent and ineffective as the screaming youths unfortunately this somewhat realistic portrayal results in plenty of annoying moments as characters behave contrarily to largerthanlife heroes and leads to an ending that cant match the riveting start but the carnage is more colossal than in most disaster movies the sound effects are chilling the sets are spectacularly ominous the cg is impressive and the desperation is more psychologically trying though the pg13 rating creates obvious limitations for the visualized atrocities it may not be a masterpiece but its a fitting adaptation of a seminal hg wells scifi epic designed by mike massie   20062024 gone with the twins  all movie related images  their respective owners articles on this site may not be distributed or reproduced without written consent
Sep 11 2020,positive,war of the worlds pulses with excitement danger and palpable nervous energy that generates a legitimate and lasting awe
May 17 2020,positive, in 1898 hg wells wrote a novel called the war of the worlds   it told the fictitious story of an alien invasion taking over the earth  in 1938 orson welles infamously narrated a radio broadcast of the invasion but since many listeners tuned in later they missed the announcement at the beginning of the shows stating the news broadcast wasnt real  mass hysteria ensued as the public really believed the earth was being invaded  since then there have been numerous adaptations including television series video games comic books and seven films in 2005 steven spielberg raiders of the lost ark helmed one of war of the worlds films starring tom cruise top gun  on may 19th for the 15th anniversary of the movie paramount pictures is releasing it on 4k ray ferrier cruise is a bluecollar worker and a divorced father of two rachel dakota fanning man on fire and robbie justin chatwin taking lives  when his exwife miranda otto the lord of the rings the two towers drops them off for a typical weekend visit it is an average yet tensionfilled exchange  however when a massive storm filled with lightning strikes disrupts power it is only the beginning of a terror crammed a few days  those strikes unbeknownst to the citizens of the world were really alien transports to deliver the hostiles to their killing machines that were buried underground long ago  suddenly cities all over the world are under attack against forces they cant possibly defeat  these machines at first they are vaporizing people then suddenly they start capturing them sucking out their blood from giant looking straws and then painting the countryside with the blood to use as fertilizer for their vegetation  ray must find a way to keep his kids safe as they travel to meet up with his exwife at her parents home in boston cruise unlike many of his characters plays somewhat of a jerk in this film but also portrays a quickthinking individual who genuinely cares about his kids though he doesnt always show it  even at a young age fanning showed great potential as an actress here as we watch while she is practically forced to grow up almost overnight  chatwin plays a typical brooding teenage boy who challenges his father at every turn  tim robbins the shawshank redemption plays harlan ogilvy a deranged man who initially offers ray and rachel shelter but then goes crazy once he sees what the aliens are doing the suspense keeps your heart pounding while the visuals are appealing to the eye  if you are a fan of the genre this is one movie you should add to your collection for more information about war of the worlds visit the flickdirect movie database this release has been provided to flickdirect for review purposes                  for more reviews by allison rose please click here allison rose a senior correspondent and critic at flickdirect is a dynamic presence in the entertainment industry with a communications degree from hofstra university she brings her film expertise to krms newstalk 975 fm and broadcast television and is recognized as a tomatometerapproved critic her role as an adept event moderator in various entertainment industry forums underscores her versatility her affiliations with sefca the florida film critics circle and the online film critics society highlight her as an influential figure in film criticism and media
