Dates,Scores,Reviews
Apr 9 2024,negative,studios dont even seem to try with comics movies anymore terrible in every respectinsipid script bad casting bad direction fully as bad as the marvels if not worse i like comics but give this garbage a pass
Apr 8 2024,neutral,while the sequel to aquaman feels awfully safe and unoriginal jason momoa proves an excellent protagonist for superhero entertainment  even if you can predict the ending before it happens
Apr 7 2024,positive,loved this movie not quite as much as the first one but this was good jason momoa ang gal gadot are definitely the highlight of this dceu underwater scenes are really good great special effects to bad this is the last of the series highly recommend
Apr 7 2024,negative,one of the worst movies ive ever seen in my life
Apr 6 2024,negative,i never rate anything but i felt like there should be at least 1 real review this movie was horrible people keep saying cgi was good no it was giving spy kids cgi the acting was horrible the story was horrible i found myself constantly fast forwarding and my face was in utter disgust and horror through the entire bits of scene i allowed to play do not waste your time on this movie and im more than sure that alot of these 5 star reviews are bought
Apr 6 2024,negative,one of the worst 2023 movies ive seen
Apr 4 2024,negative,it was okay the cgi was terrible still mad about them bringing her back i lost interest in the first 10 minutes but still watched it cause i hate starting a movie and not finishing it needless to say dont waste your time
Apr 4 2024,negative,predictable and only driven by the spectacle
Apr 4 2024,positive,this aquaman movie makes my toes shake   in the most deeelishus sweaty ways 
Apr 3 2024,negative,a comic book film with a very simple and ineffective plot horrible cgi but with some good fight scenes the characters seem much dumber than in the first film
Apr 3 2024,positive,90 surprisingly good for me i dont expect a lot sad we wont be seeing aquaman again i dont get the hate but hey it was very fun movie
Apr 2 2024,negative,oh dear what a mess felt bad for jason m and nichole kidman having their names attached to this just tacky all round i suppose its a fine way to pass the time but if you miss it dont worry
Apr 2 2024,negative,just plain bad rushed no surprises that werent telegraphed nothing special
Apr 1 2024,negative,i mean it was the same exact movie as the first one expect it wasnt as good and the first wasnt that good
Mar 31 2024,negative,stupid soun effects stupid cgi stupid goofy acting not a great story very goofy and stupid in every second every detailthe monsters how they move and sound so overused so repeated its like they mashed 5 to 6 stupid movies together its soooooo disgusting 
Mar 31 2024,negative,glad this dc era is over
