Dates,Scores,Reviews
Apr 14 2024,negative,it was fun in the sense that a perpetual ferris wheel would be fun yeah the lights and view is great but when does this cyclical journey end
Apr 14 2024,positive,matthew vaughn created another fun and exciting spy movie that has you on the edge of seat dont go into this thinking that this is a james bond serious spy movie or you will end out being disappointed the silliness is what makes this movie great and enjoyable this was definitely a fun movie to watch and sets itself up for other sequels going in different directions
Apr 14 2024,negative,i thought it would be a fun silly movie but it was just silly i think it was an attempt on a satire of spy movies but it failed in all levels i love some of the actors but even that didnt save this movie
Apr 14 2024,negative,what a waste this movie is an exercise on who not to cast as a spy writer or anything as a matter of fact maybe as a suburb helicopter mom she messed up every scene she was in  bad writing very baddd cinematography and the catastrophe dallas stop casting her she is not good
Apr 14 2024,negative,wow i created an account just to say how horrible did they even have people test watch it how did this get released the plot could have been good if the writers knew how to write dont waste your life watching this
Apr 14 2024,positive,sometimes we just need to not take movies so seriously this is one of them total campy fun almost innocently absurd at times havent laughed this much in awhile fun time
Apr 14 2024,positive,i absolute loved it  sorry to say but none of the critics listed here are reliable so go by the audience meter  the plot is crystal clear and very inventive the jokes are great  the stilted book dialogue is that way on purpose ahem light hearted and silly but dark at the same time  so good you wont regret watching
Apr 14 2024,positive,a bit long but a fun time its a campy take on the bond genre not a serious movie by any stretch of the imagination and i would bet it wasnt created to be people need to stop taking movie so damn seriously
Apr 14 2024,positive,there is a similarity between this style of movie and mr right sam rockwells 2015 movie enjoyed it after i changed my expectation
Apr 14 2024,positive,this movie is full of delightful twists and turns that kept me on the edge of my seat the comedy pushes a little over the top towards the end but i was constantly laughing or had my jaw on the floor ran long
Apr 14 2024,negative,one of the worst movies ive seen in a long time decades actually  the writing was basic at best using words like good and bad to express emotion  i assume they were trying to spoof spy films but they missed terribly  not funny or original just absurd and cheesy  i feel terrible for the real actors who signed on to this one  if you want to laugh at how painfully tragic a movie can be  then this is the one for you  enjoy
Apr 14 2024,negative,a room full of people thought that this was a good idea that should be unleashed upon the world that group of people should find new jobs
Apr 14 2024,negative,dont bother full of cliches character development nonexistent a colossal waste of time money and talent
Apr 14 2024,negative,absolutely terrible an attempt at action and comedy and it failed miserably at both two hour and 22 minutes of my life ill never get back brutal
Apr 14 2024,positive,great entertainment i love the story and performances cant wait for the sequels
