Dates,Scores,Reviews
Apr 12 2024,negative,a steaming pile of terrible cgi and bland cliches but how could it be otherwise dc at its core sucks
Apr 10 2024,positive,extremely underrated film we live in a weird age where people trash sht for no reason
Apr 3 2024,neutral,its good enough to be intrigued but it lacks depth and therefore leads to a shallow experience but i do hope to see black adam again his potential is just too great to be left alone
Apr 3 2024,negative,simple film that manages to entertain you the film has a simple plot and has fairly decent cgi the secondary characters manage to steal the show quite a bit the problem lies in the rock who appears to be playing himself
Apr 3 2024,positive,i think the film had some great elements and some bad black adam is somewhat a fairly decent film with the action visuals and fight scenes just the story is pretty lacking i do believe could of been better but having said that i enjoyed the film
Mar 31 2024,positive,i loved it so much i really enjoyed it im still waiting for the sequel
Mar 28 2024,positive,good film from dc better than justice league good mix of humor and serious dc stuff
Mar 27 2024,neutral,kind of boring  b list action heroes
Mar 27 2024,positive,i wish the protagonists were all on the same page from start to finish but it is integral to the plot that they not be  i appreciated the strengths of each of the characters and that the main character was not one dimensional  loved that i did not foresee the plot twist  fun action great story and great characters
Mar 26 2024,positive,amazing effects amazing acting amazing action perfect for passing the time
Mar 24 2024,negative,bad acting stupid story line  even by action movie standards and cheesy cgi
Mar 23 2024,positive,i have two problems the annoying kid and not having shazam in this movie that is my only cons would have been more suitable as an r rated movie
Mar 22 2024,positive,oh what could have been had dc continued building instead of falling  with getting rid of their actors james gunn wrecker of dc
Mar 19 2024,positive,i found the storyline to be captivating the special effects were spectacular and the costars also delivered an excellent performance
Mar 19 2024,negative,wooden acting  wait until you see how they find the secret crown they stride in through a fissure easy peasy the stupidest setups for scenes cliched throughout skip it
Mar 19 2024,positive,a nice action movie
Mar 16 2024,negative,man this was such a waste of time dont do it to ur self
Mar 16 2024,positive,its nice to see a superhero movie thats different some real cheezy moments fir comic relief but definitely an excellent movie not watchmen good  but still deserving of a 5 stars
Mar 15 2024,positive,was definitely watchable but needed a better script and characters
Feb 29 2024,positive,i disliked the fact a dad who  lost a son would feel hatred and arrogance knowing his son wouldnt want him like that also at the end spoiler alert why have superman instead of the one who is supposed to be the arch enemy shazam show up other than these issues it was a decent movie
Feb 29 2024,positive,enjoyed this movie and thought it deserves better ratings is comical and has a good story line typically im not a fan of longer movies but the movie was interesting enough to make it go quick
Feb 26 2024,negative,this was the first movie that i actively rooted against the hero the freaking hawkeagle was so annoying and the whole story just feels like it was written while taking a 
Feb 23 2024,negative,another movie where dwayne johnson gets paid to play the same character hes played for 20 years
Feb 20 2024,positive,very entertaining good piece of cinema 
Feb 20 2024,negative,i dont even know where to begin i honestly didnt like anything about this movie
Feb 17 2024,negative,oh boy how do i explain this a film that has heart but doesnt have soul the action looks good on paper but when it all comes together i just couldnt care humor missed 100 of the time for me only good for people who have to complete the whole dc story or for rock fans the end credit scene was wellintended but since this movie universe has ended it just hurts seeing the wasted potential
