Dates,Scores,Reviews
Oct 5 2023,negative, its probably for the best that warner bros is partially rebooting its dc extended universe and taking it in a more broadly appealing direction black adam is the perfect example of how all their prior efforts have been for naught the plain simple truth of the dceu is that its dark and gritty styles arent broadly appealing such designs might make the efforts feel realistic but they are gloomy and that will sell to a certain demographic but not to others warner bros has been trying to back off the darkness and grime that zack snyder has infused into the franchise for a few years now but their inability to find a formula that works is more obvious in a film like black adam than it ever has been before played by dwayne johnson black adam is an antihero locked away for centuries in an effort to thwart the theft of a demonic crown he is awakened and his thirst for vengeance isnt easily slaked meanwhile a group known as the justice society is hired by amanda waller viola davis to bring this dangerous threat in and lock him away in her supervillain prison while the theme of the film is to question what the definition of superhero should be if they arent going to thwart all villainy in the world the producers have shoved the film so full of visual effects and oneliners that its noble intentions are largely crushed beneath the weight of pomp and circumstance one of the most notable issues with johnson as an actor is his constant mugging for the camera when hes not sufficiently counterbalanced by better actors such as in the jumanji films his performances tend to topple over the edge of tastefulness thats largely true of his performance here which is notably lacking in charm and gravitas part of this is the writing but much of it is his looming presence hes a movie star and the director isnt able to rein that in sufficiently even with strong actors like aldis hodge and pierce brosnan in place theres little that they are able to do yet they still come off as more conscionable and appealing heroes even if their concept of heroism is tempered by a need for propriety and societal balance what the exact fate of each dc character will be is not fully known though based on the mediocrity of this film one might hazard a guess that black adam will be the end of johnsons dceu line
Oct 4 2023,positive, though slow to get into its stride once it does black adam is fun  not omg eyeballsearing movie magic but jolly good nonetheless the 11th film in the dc extended universe dceu this shazam spin off begins 5000 years ago in somewhereistan this time going by the name of kahndaq among the sand and soaring cliffs of kahndaq is a rare and precious metal eternium what is with these fauxlatin sounding fantastical metals remember unobtainium and vibranium anyway that is a story for another time back to the jaume colletserra jungle cruise led black adam where the despotic king anhkot intends to use eternium to create the crown of sabbac to get unlimited power and rule the world you get the drift a slave boy leads a revolt and just at the moment of his execution becomes allpowerful and challenges sneery king anhkot five thousand years later kahndaqs miseries are not over as the country is being ruled by a gang of mercenaries a university professor who is also a resistance fighter adrianna sarah shahi is looking for the crown of sabbacc to ensure it does not fall into the wrong hands the wrong hands led by ishmael marwan kenzari have watched enough movies to know that they just have to follow the good professor turn one of her team against her and the crown is in your pocket or on your head however before that happens adrianna wakes up the slumbering superhero tethadam dwayne johnson and all hell breaks loose the justice society of america jsa is called in to neutralise adam much to the dismay of adriannas superheromad son amon bodhi sabongui the jsa led by hawkman aldis hodge with doctor fate pierce brosnan providing irritatinglyvague predictions in hindsight atom smasher noah centineo eager to fill his uncles shoes and cyclone quintessa swindell head to kahndaq only to realise the ground reality is rather different all naturally comes right in the end in a storm of cgi with that midcredit sequence showing the deliciously dimpled metahuman promising much joy to come brosnan lends gravitas while centineo and swindell have a cool chemistry  comments have to be in english and in full sentences they cannot be abusive or personal please abide by our community guidelines  for posting your comments  we have migrated to a new commenting platform if you are already a registered user of the hindu and logged in you may continue to engage with our articles if you do not have an account please register and login to post comments users can access their older comments by logging into their accounts on vuukle
Aug 17 2023,negative, some five thousand years ago teth adam dwayne johnson was endowed with the gifts of the gods and arose as the saviour of the middle eastern country of kahndaq freeing the country from its oppressors and slavers cut to modernday kahndaq and the country is once again under oppressive occupation  this time by the international crime syndicate known as intergang but when a group of treasure hunters stumble on teth adams tomb and accidentally bring him back to life the future of khandaq is irrevocably changed whether its for the better or worse remains to be seen but teth adams ruthless approach quickly draws the attention of amanda waller viola davis who sends the legendary superhero group the justice society to khandaq to take him down much of the hype surrounding black adam has been that its the film that will change the dc extended universe forever so its ironic that though there is certainly a lot to enjoy about dcs latest superhero film its remarkable how much it plays out like a very bythenumbers origin story but then the whole idea of changing the dceu in the first place is rather suspect what with warner brothers attempt to match marvel studios success with their roster of dc comics characters having been a chaotic mess right from the off that chaos has given rise to superior superhero flicks like wonder woman shazam the emphasis the suicide squad and birds of prey but the reason those films worked really was because they were largely selfcontained with warners having been bought out once again  this time by discovery not that one  plans seem to be afoot to take another swing at trying to match the cohesiveness of the marvel cinematic universe and much of the admittedly unofficial hype around the film was that black adam would be the turning point for the dceu apparently no one told screenwriters adam sztykiel rory haines and sohrab noshirvani however because though it is clearly supposed to be in the shared dc universe i think we can pretty safely say by this point that viola davis is fulfilling much the same role at dc as samuel l jackson did at marvel the film is weirdly disconnected from what came before for example why does waller send the justice society to go after black adam when this is a world where the justice league already exists and for that matter didnt waller create task force x the official name for the suicide squad to deal with supermanlevel threats like this the film doesnt even bother to explain who the justice society are  and for that matter why this society has only four members for the record the justice society of america was the firstever superhero team that debuted way back in 1940 and included the likes of hawkman and dr fate as seen here but also the original versions of the flash green lantern the sandman and others theyre kind of a big deal even more baffling though is the complete and utter absence of shazam not only was black adam originally a shazam aka captain marvel villain but he transforms from an ordinary man into his super self by uttering the magic word that is both an acronym for a group of gods and the name of the wizard that gave him his powers shazam djimon hounsou returns as the wizard shazam in a brief cameo but the character is not mentioned by name and there is not even the slightest hint that shazam has a new modern champion who is imbued with the same gifts a character that has already been played by zachary levi and asher angel and whose sequel is literally the very next film to be released by dc warners early next year  once again this feels like a dc film with a whole bunch of cuts made to it  add to all of the above a credit to jack kirbys fourth world which doesnt appear in black adam at all  but unlike say suicide squad or batman v superman it remains a reasonably cohesive and relatively straightforward anti hero origin story for both good and ill on the bad side director jaume colletserra who is something of a veteran at midbudget thrillers and horror flicks and who just recently teamed up with dwayne johnson for jungle cruise seems completely lost in putting together decent action scenes here the cgi is perfectly decent but it is relied on far too heavily to give the film any weight for some unknown reason he or the films producers decided to bring back the dreaded abuse of slowmotion to punctuate every single action scene apparently not having learned anything at all from zack snyders ridiculous excesses more than anything though theres just a sense of tedium to these weakly choreographed bythenumbers action scenes that may certainly have some very cool moments but become quite numbing very quickly never is this more true than during the climactic battle which is just a badly conceived trudge of messy action a totally crap villain and not so well cgirendered in this case and a weird case of amnesia when it comes to just who the main star is here hawkman aldis hodge and dr fate pierce brosnan steal the emotional core of the film away from black adam himself though for the latter at least thats not exactly surprising the man formally sometimes known as the rock certainly looks the part of black adam and he is more than convincing as a truly unstoppable force of nature but considering just how stoic and severe a character black adam is he never gets the chance to bring the sense of selfknowing fun that we all love him for to the role in comparison pierce brosnan is a total blast as dr fate even during his more melancholy moments and the rest of the justice society including rookies atom smasher noah centineo and cyclone quintessa swindell bring a lightness of touch to the proceedings even if they are woefully underdeveloped  black adam is clearly a major passion project for the rock and he clearly wanted to go for something of a more dramatic role but it doesnt always feel like the film is making the best use of his talents though for what its worth he still does a very fine job as this more morally ambiguous superhero and handles the more dramatic moments really rather well dwayne johnson is not exactly known for subtlety in his acting but hes actually very good here at balancing teth adams coldness and arrogance  another thing that the film gets very much right is in centring the entire film around this fictional middle eastern country called khandaq it gives as much space to some of the ordinary people of the country not least sarah shahi as adrianna tomaz the woman who brought teth adam back to life and her son amon played with real charm by bodhi sabongui the film also i suppose takes a swing at dealing with colonialism but the only thing new offered to this particular conversation is that khandaq isnt occupied by a country but by a criminal organisation intergang who are usually more closely linked with superman than with the shazam side of dc but whatever its an interesting wrinkle  whats rather less effective though is the way that the film tries to present black adam as a new kind of superhero in the dceu  a superantihero that will gladly kill his enemies thats presumably why the film turned to the justice society rather than the other super teams running around but the whole thing rings just a little false  and that i suppose is the thing about the film in general between its strong cast and strippedback story for most of the film anyway theres plenty to enjoy about black adam  no this is not another morbius situation or anything like that  but its a superhero film that resolutely fails to take off like too many superhero origin films it does feel like this is setting things up for a superior sequel and hopefully a justice society or at least a dr fate spinoff but as beginnings go its not half bad
Aug 16 2023,positive, film ahead is a weekly column highlighting special events and repertory programming for the discerning camberville filmgoer it also includes capsule reviews of films that are not feature reviewed  the independent film festival bostons fall focus sets up thursday for a fast and furious fourday 11film stint at the brattle theatre the focus has an international and feminine gaze to it openingnight film women talking by sara polley the sweet hereafter as implied follows an indie alist of those women including rooney mara claire foy jessie buckley men im thinking of ending things and frances mcdormand nomadland one fine morning stars léa seydoux no time to die blue is the warmest color as a widowed young mother broker the minifests centerpiece film marks the latest from hirokazu koreeda shoplifters hunt is a korean spy thriller by lee jung jae the closingnight film is the inspection about a gay black man jeremy pope who joins the marines in the age of dont ask dont tell his mother is played by gabrielle union another film to look for is armageddon time starring anthony hopkins and anne hathaway and directed by james gray ad astra the lost city of z a comingofage tale set in reaganera new york other oscar winners on the docket in addition to hopkins and mcdormand are olivia colman the favourite the lost daughter and colin firth the kings speech in empire of light directed by sam mendes american beauty 1917 and causeway starring jennifer lawrence joy if beale street could talk in a tale about a soldier returning home to new orleans brian tyree henry costars the latest from korean director park chanwook oldboy the handmaiden is a dark crime drama in which the lives of a police detective and murder suspect intersect and fold in on each other its a psychological thriller that has haejun park haeil looking into the curious death of a skilled rock climber who fell despite safety measures gathering the mountainside evidence makes for an interesting process with a second detective strapped to haejuns back as they rope walk up the sheer surface suspicion falls on the wife seorae tang wei a chinese immigrant whos not quite fluent in korean  did i mention that her departed husband was an immigration official haejun is a handson profiler sort and in scenes when observing seorae hes suddenly in the room a ghost to her observing her its a neat device park throws at us that blurs the lines between reality and projection its also a reflection of haejuns detached demeanor hes an insomniac and has a strangely dysfunctional sex life with his wife natch haejun and seorae have an attraction to each other that hangs dank and ripe in every scene theyre in in the second part of the hypnotic slow burn both have relocated to the same new city where seorae is married to a fund manager and works as a caregiver to the old its here that the film moves into darker territory as seorae is visited by a disgruntled client of her husband who slaps her around the character is actually named slappy and theres another death that cannot be misconstrued an accident or suicide of course haejun is the one assigned the case how park lays down the cards does have reveals but its mostly a deeply internal reckoning by haejun the film feels a bit like a truecrime noir and would make a perfect double bill with countryman bong jin hos memories of murder 2003 about koreas first true documented serial killer tom meek at landmark kendall square cinema 355 binney st starting in kahndaq a fictional middle eastern country 5000 years ago the same wizards as in shazam 2019 bestow godlike powers to an enslaved person known as tethadam dwayne johnson to defeat a powerhungry tyrant forging a demonic crown in the present resistance fighter adrianna sarah shahi hides the omnipotent crown from an evil enterprise oppressing her people and stealing their natural resources tethadam dormant all those years in between answers adriannas cry for help and annihilates kahndaqs enemies which alarms the justice society of america with encouragement from viola davis cia heavy amanda waller from the suicide squad 2021 and peacemaker hawkman aldis hodge reunites with old friend doctor fate pierce brosnan and enlists new recruits  the graceful genius cyclone quintessa swindell and atom smasher noah centineo  to battle johnsons newly minted black adam but they prove inert against kahndaqs champion and garner jeers from kahndaqians for their intervention director jaume colletserra bythenumbers here relies too much on zack snyderstyle slomo which at times is insipidly tedious the casts chemistry and running jokes help rescue an otherwise formulaic action film brosnans elegant performance stands out and the postcredits scene will leave moviegoers begging for a sequel the release date is serendipitous coinciding with iranian women protesting their governments oppressive tyranny it elevates the story of a merciless metahuman accepting a womans call for him to wreak havoc on their enemies and rejects the ethical generalization that killing is never the answer coupled with the suicide squad the dc universe seems to be taking a provocative stand on international politics and advocating for violent revolt sarah vincent at apple cinemas cambridge 168 alewife brook parkway cambridge highlands near alewife and fresh pond and amc assembly row 12 395 artisan way assembly square somerville
Jul 25 2023,neutral, synopsis nearly 5000 years after he was bestowed with the almighty powers of the ancient gods  and imprisoned just as quickly  black adam dwayne johnson is freed from his earthly tomb ready to unleash his unique form of justice on the modern world like most viewers i dont know anything about the original comics of most superheroes that occupy our theaters nowadays whether its dc marvel or another studio the respective genre is without a doubt the one that brings the largest audiences to the big screen and its not hard to understand why as a fan of this type of film im always more excited when it comes to meeting a new protagonist who im unfamiliar with the marketing campaign surrounding black adam promised a movie that would forever change the dceu power hierarchy as well as leave a lasting impact on the genre itself did it yes and no black adam indeed introduces a superhero who is perfectly capable of fighting anyone presented in this cinematic universe so far however the film cannot overcome the formulaic barriers surrounding its screenplay from the narrative structure to the story itself none of the three screenwriters brings enough originality or imagination to escape the genres conventionalisms in addition to being predictable and simply generic all the essential information is conveyed through expositionheavy scenes during the entire runtime  be it flashbacks narration or forced dialogue no matter how obvious or important black adam delivers revelations so monotonously that it takes away any impact associated with them the protagonist black adam isnt a traditional hero dwayne johnson embodies his characters terrifying ragedriven persona adding the movies central most interesting theme to the narrative the moral and ethical rules of a modern superhero dont fit with the more aggressive assertive behavior of adam resulting in genuinely fascinating conversations with hawkman aldis hodge and doctor fate pierce brosnan too bad jaume colletserra finds himself torn between two different types of film on one hand black adam is a dark movie focused on an intense debate between good and evil between being merciful or unforgiving between justice and fate on the other hand moments of humor break the darker tone of the general film and of the protagonist who presents himself as someone fearsome and to be taken seriously comedy à la marvel doesnt really work in the atmosphere built for this movie and dc seems to have problems understanding which films actually work with this type of humor honestly the explanation isnt very complicated despite being someone who starts getting increasingly tired of marvelesque comedy most of the mcus installments are predisposed to receive that lighter environment from the bright color palette to the fun personalities of the heroes without forgetting the lighthearted tone with which they approach more sensitive topics marvel built its universe that way black adam shouldnt even try to be witty because its protagonist isnt joking around its almost cringy to observe a character trying to throw jokes out of nowhere when adam finds himself processing his moral dilemmas this creates a jarring sensation where the viewer doesnt know how to react to black adams discordant tone however the cast manages to salvage a good part of the clumsy script as noted above hodge brosnan and johnsons characters have interesting conversations about how each uses his powers and how the bad guys should be treated johnson is an absolute badass  his physical presence is a significant factor  hodge is an excellent counterpart but its brosnan who surprises and steals the spotlight with an incredibly absorbing performance quintessa swindell stands out from the rest with striking charisma when it comes to popcorn entertainment the movie delivers several action scenes packed with energy and powerful sound design the combat itself isnt amazing  excessive use of cgi and slowmotion  but when all aspects seem to be in sync  choreography visual effects score camera work editing  black adam shines and delivers a couple of memorable sequences lorne balfes music completely transforms the most impactful moments being the only technical element i can genuinely define as epic and chillinducing one last word for the marketing department black adam is one of the most publicized films in recent years  johnson also played his part  but it becomes dangerous to sell such generic content as something never seen before high expectations more easily lead to misleading disappointments that is perfectly decent works suffer with public opinion more than they deserve precisely because of the intense marketing that raised too much the levels of anticipation for the movie adding a trailer that spoils the sole  and quite effective  narrative twist only creates even more conditions to disappoint countless viewers black adam is far from impressive being somewhat disappointing due to its formulaic predictable screenplay when something different was anticipated lorne balfes epic score and a magnificent cast  dwayne johnson aldis hodge and most remarkably pierce brosnan are phenomenal  try to elevate the decent action and visuals but the moderate entertainment levels dont make up for the dated narrative structure tiresomely heavy exposition story with little to no creativity and inconsistent humor make it impossible for the dceu to take the next step in a truly impactful manner
Jul 25 2023,positive,a misunderstood epic kick off to the next era of the dc universe visceral  intense action scenes create such a kinetic time that i loved therock completely became black adam  added much needed mythology to the word shazam
Jul 21 2023,negative, one of the most iconic and memeworthy quotes from dwayne the rock johnson in the press buildup for his almost 10year passion project is that black adam will change the hierarchy of power in the dc universe indeed a ballsy claim no less coming from one of hollywoods biggest movie stars some saw it as a dig at superman the golden boy of dc who would now apparently play secondfiddle in terms of superstrength levels compared to the shazam antihero  then johnson came out again and said his film would mark a new era of the dc universe he later clarified in an interview that he along with the entire cast and crew would usher in this change by listening to the fansand doing our best to give the fans what they want in many ways black adam does listen to the fans and because of that simple reason it feels like the most disruptive dc film in decades disruptive not because of its disorderly and incongruent parts but for its sheer dedication to producing an entertaining actiondriven film that leaves little room for extreme divisiveness its a safe film for better and worse dc fans deserve this kind of fan service after everything theyve been through and because the marriage between fandom and comic book movies is almost always a rocky one this should be considered some sort of a minor miracle  the film nevertheless leaves much to be desired regarding pacing tonal consistency and scriptwriting perhaps because of the constant pandering to fans black adam ultimately succeeds at doing what most sustainable franchises have always done creating a passable movie that does not vehemently anger most people me included  does that make it a better film hell no though youd be hardpressed to find a better representation of the equivalent of action figures being clashed by a child who knows only of the pure exuberance derived from seeing superpowered individuals face off against each other  the story starts with an exposition dump about the history and world of kahndaq the ancient city that the enslaved teth adam considers his home after gaining the powers of the gods and being hailed as the champion of the people he uses his powers for vengeance and is subsequently imprisoned for it nearly 5000 years later hes freed from his entombment and wreaks havoc in his own twisted way now seen as a threat to the world the justice society of america or jsa consisting of doctor fate pierce brosnan hawkman aldis hodge atom smasher noah centineo and cyclone quintessa swindell join together to subdue him as it turns out the city of kahndaq embraces him once more as their champion as he administers the cruel sentence of death on the military occupiers of the nation using his unparalleled superhuman strength strangely black adams persona has the air of an authoritarian leader from a thirdworld country his whole mythology is built around a lie and yet he is cheered for his displays of machismo and extrajudicial killings coincidentally the jsa is seen as an unpopular foreign invader who has never shown much aid or attention to kahndaq throughout history much like colonial forces and international peacekeeping forces  this intermingling of interventionist rhetoric and the shaky politics of savior narratives could have been a solid foundation that fits the theme of black adam being a central figure in blurring the line between good and evil unfortunately theres just too much going on in this film that even its most interesting commentaries get lost in the fold  whenever theres a moment where youd think the film begins to tap into its vaguely middle easternbased politics it pulls back and then never says anything about it later on a nation embracing an antihero is a fruitful conceit that can draw from multiple vantage points in reallife just take one look at brazil and even the philippines and other films have been geopolitically conscious in the past as well black panther so i see no reason why black adam couldnt have pushed its parallelisms further never once does the film follow through in questioning the privilege of heroes such as atom smasher a literal nepotism baby who is probably more concerned with flirting or even cyclone a teenager sent to a thirdworld country as a weapon the previous dc film earlier this year the batman was able to interrogate hypocrisies embedded in its world  why not here too and then theres the character of adrianna sarah shahi and her son bodhi sabongui who are supposed to be the surrogate audience standin throughout the film the film goes to a screeching halt whenever it cuts back to their storyline the opening half is painful and a chore to get through shahi is undoubtedly a great actor but feels so generic here and sabongui is illsuited to narrate and give plenty of the supposed heartwarming moments the film is also incredibly fastpaced primarily because it knows what the audience wants to see the bombastic action setpieces black adam packs some of the strongest action in dc thus far and some of the visual effects especially one involving doctor fate are astounding to behold i just wish there were scenes interspersed between some of the action to release the tension or give a breather director jaume colletserra orphan jungle cruise wanted to make the dirty harry of the superhero genre most likely referencing the clint eastwood antiheros rogue personality lucky for him dwayne johnson is in the lead and shines with a deadpan and renegade tone its surprising since johnson is most known for his smoldering and excessive charisma but hes more restrained here and its a good thing in the end dc eventually needs to snap from its obsession with antiheroes like come on joker harley quinn suicide squad peacemaker how hard is it to make a good superhero film not about a villain in the meantime johnson fulfills his passion project of disrupting the dc universe by introducing a character that could very well be the focal point of the franchise moving forward 
Jul 20 2023,positive, its safe to say that the whole superhero subgenre that was once filled with awe and excitement has become bloated generic and safe every other property looks washedout devoid of any genuine passion and filled to the brim with a certain kind of humor that really needs a laugh track to let the viewer know that the poorly written characters are cracking a joke and even though the bar for such movies and shows is pretty much undergroundapart from a handful of criticsyou wont see a lot of people complaining about it and demanding the bare minimum instead youll see them pitting critics against fans and defending these billiondollar companies as if they were indie productions on the brink of bankruptcy amidst all this nonsense much like the last dc project the batman black adam feels like a tangible film and not something that has been made in a parking lot and later polished by overworked vfx artists directed by jaume colletserra and written by adam sztykiel rory haines and sohrab noshirvani black adam opens with a long expository sequence about the ruler of kahndaq king ahkton marwan kenzari he wanted to forge a crown made of a mineral called eternium and summon the power of the devils one day a kid revolted against him and almost motivated the people of the country to do the same but he was arrested by the kings guards and sent for execution just when he was about to be killed he was gifted with the power of shazam which he used to destroy king ahkton it has been 5000 years since that day and in the present archaeologist adrianna tomaz sarah shah along with her brother karim mohammed amer and colleagues rami patrick sabongui and ishmael kenzari is trying to locate the tomb in which the crown of sabbac is hidden thats where they awaken the champion preserved in that tomb tethadamblack adam dwayne johnson and as adam begins to wreak havoc the justice society  which is made up of dr fate pierce brosnan hawkman aldis hodge atom smasher noah centineo and cyclone quintessa swindell  drops in to say hello the most surprising thing about black adam is that it is openly political in nature its customary to expect superhero shows to address reallife issues on the level that the boys or watchmen have done but when it comes to movies they either appear surfacelevel or extremely problematic colletserra along with his team of writers establishes the two kinds of tyranny kahndaq has faced one is that of king ahkton who turned his own people into slaves the second is that of the intergang a neoimperialist american organization that is oppressing the people of that country while robbing it of its resources and like many superhero movies they pose the justice society as the token white saviors of this narrative however adam and the people of kahndaq eventually prove that they dont need heroes who arent even from their continent they are much more willing to champion one of their own even if said champions history is a little dicey because hes willing to change for good coming to the overall characterization of black adam in shazam he was painted as a villain the justice society particularly hawkman treats him as a villain and to be fair adams brutality does make him look like a villain but the false laurels on his shoulders amon bodhi sabongui gushing over his awesomeness which serves as a great commentary on the commodification of superheroes in general and the need to liberate the people of kahndaq even though the place is radically different from the kahndaq from adams time force him to change his ways that is some pretty layered stuff thereby making black adam a very interesting character that said it gets buried under the heaping amounts of exposition regarding the possession of the crown of sabbac periodic reminders about how the plot is going to progress and the repetitive exchanges between hawkman and black adam yes all of it is necessary however since its presented in the same way every time sometimes with the same set of words the viewing experience becomes tiring as mentioned in the title black adam compensates for the copious amounts of expository dialogue with copious amounts of action and spectacle dwayne johnsons entry as the titular character is fantastic theres visual comedy it is quite barbaric and most importantly it looks great the yellow tint is a bit much but since its consistent throughout the film and makes the production design costume design set design and the displays of power especially in slow motion pop on the screen i didnt mind it at all overall the cgiheavy fight sequences fare better than the handtohand noncgi battles i am assuming thats the case because the bigger set pieces were heavily previsualized preplanned and werent tinkered with too much as for the rest i think there are two issues the actors relied way too much on their stunt doubles and the fight choreography and action direction didnt take that into consideration thereby leading to the choppy editing the frenetic cuts also plague some of the conversational scenes probably to give them a sense of urgency but that doesnt work and just makes those scenes jarring lorne balfes score is addictive pulpy and gives adam a sense of oomph you know i used to be a huge fan of dwayne johnsons work i have watched and rewatched the scorpion king the rundown walking tall gridiron gang tooth fairy fast five snitch and pain  gain then something happened post san andreas and in an attempt to charm everyone he stopped taking risks a 2019 gq article on how the actor doesnt want to lose a fight onscreen essentially proved the theory that johnson wont accept anything thatll portray him in a negative light so when he took on black adam it seemed like the perfect opportunity for him to look powerful and stray away from the path of blandness he had been on and ill say its a success for the most part johnson plays adam like the t800 arnold schwarzenegger from judgment day complete with a kid sidekick who is teaching him about the ways of the world his hulking body contrasts the hollowness his character feels pretty aptly his chemistry with hodge and brosnanwho are oozing with so much charismais great as for the rest of the cast centineo sarah quintessa bodhi and amer are very endearing and lovable kenzari has no option but to be onenote but since i didnt go in expecting a complex villain i didnt mind it too much all in all black adam is a movie worth watching on the big screen go watch it with your friends and family or on your own just ensure that the projector is working well and the sound is dialed up to eleven and im sure youll have a great time with that out of the way i want to talk about jaume colletserra who has made genredefining horror films like house of wax and orphan although the film flopped and was panned critically ive watched goal ii living the dream at least a dozen times his collaboration with liam neeson has given us unknown the commuter nonstop and run all night the shallows is one of the greatest shark films of all time and it looks like he has entered a phase where hell be collaborating with dwayne johnson but the troubling part of this collaboration is that it isnt allowing my man jaume to truly shine so i genuinely hope that changes and he returns to the kind of movies he does best lowbudget tense cold and actionpacked while taking dwayne along with him
Feb 23 2023,negative, the turbulence that has recently shaken up the success of warner bros discovery has threatened to watch their entertainment empire fall after troubles stack upon one another between the massive changes made with the streaming service hbo max the batgirl cancelation followed by the dc extended universe redirection and the number of controversies that keep the leading cast in warner bros discovery projects has remained to be unfavorable for the studios reputation  the dc extended universe has yet to secure a consistent cinematic universe despite attempts to reapproach the model through different creative perspectives headlined with the comic book publishers most famous names 15 years after its initial announcement black adam reiterates that it isnt time that has taken a toll on the dc extended universe but the lack of consistent quality  black adam knows somewhat what it wants from dwayne johnson as the titular antihero though it feels like its filling its pictureperrate deals with remaining cast members theres a distinct lack of chemistry between the freshlyassembled justice society of america who introduce themselves on a flimsy script theyre deprived of any meaningful substance spitting out oneliners that fail to land  the balance between an effortless sense of cool while yearning for a sense of humor falls completely flat leaving the film to be simply unfunny  the humorless hollow screenplay doesnt exactly know how to handle itself as it wants to grasp the intensity of more dramatic superhero pieces that have proceeded it while tackling the comedic beats that made shazam so successful the overall aimlessness of black adam   feeling lost in its narrative guided by misdirection  warns warner bros discovery and their dc film team that cgied mass destruction is not enough to save an effort to rebuild a brand  accusations against the dc extended universe for misusing its characters have been given a new victim as the superficiality of black adam contradicts any signs of progression for the studio foundationally its a showcase of wonderless ancestral superhero storytelling without much of a story to support itself on it strips itself down to the bareboned and uninspired good vs bad while marketed as an elaborate forthcoming of the dc extended universes next phase black adam primarily displays how dc has built its mainline liveaction universe from the outside in depending on highvolume talent to attach themselves to projects before taking the steps to craft a comprehensive work of fiction theres a great disregard for audience expectations needs or desires by instead offering an expensivelooking excuse for an origin story a villain or primary antagonist has the fluidity to take any form emotional physical mental or metaphorical black adams sabbac barely makes his way into the film whose takedown mirrors a highrendered video game cutscene sabbacs latestage introduction in black adam does not justify the ill timing of his arrival it only strains an alreadythin plot perhaps black adams greatest strength is its postcredits scene which features a thrilling cameo that promises to delight dc fans the grand reveal is credited to johnsons doing and might be his greatest contribution to the dc extended universe yet 410 
Feb 19 2023,positive, comic book movie fans unfortunately soak every big budget adaptation release in a cloak of greatness before they are even released and black adam is no different led by dwayne the rock johnson this unique antihero in the dceu universe is meant to make a quick imprint on the world of superhumans if the legions of comic book mega nerds can allow it to breathe a movie that has been many years in the making takes a big swing with its launch this past weekend and im here to tell you if director jaume colletserra and his largerthanlife star were successful or is this another warner brothersbuilt tower of eyerolling boredom born out of rage johnsons teth adam grew up a slave in kahndaq a fictional country embedded with tyrant rulemaking mercenaries cue the chunky rushed backstory retelling the film begins the film with in this very early setting the mercs ruled over the poor slaves and enlist them in the mines searching for an ancient yet powerful resource called eternium this gives rulers of kahndaq unchecked power and abilities which is where young adam comes into play in a desperate attempt to help his people young adam makes a bold attempt to capture the attention of the gods making a wish of sorts that takes him from feeble young teen to fierce god with the saying of a single word shazam but bigger muscles and unlimited powers can still yield dangerous results for heroes villains and the ones stuck in between like adam sound familiar suffice to say adam has a monstrous grudge brewing beneath the layers of concrete many decades later when a group of locals go looking for a magical crown the search lands them in a dark cave where nothing good happens and what you were looking for becomes something else the locals run into mercs and they all eventually awaken a pissed off adam chaos ensues black adam gets a lot more fun when the backstory finishes and the big fella breaks out to play the justice society well get to them later gets called into play and every bad guy in kahndaq and anywhere close is dispatched to either find the crown or take out adam the interesting thing here is adam isnt playing for the good guys or the bad folks hes a highly dangerous man apart at the outset this unusual dynamic allows audiences to see a different side of johnson who gets to play something other than a pure hero for the first time in a good while this isnt your san andreas and walking tall good hearted dude colletserra aggressively flips the charisma pancake on its side with this iteration of johnson who he has worked with a lot over their respective careers seeing the rock roast a merc all the way down to the bone and mush is exactly what i wanted to see him do in his role break bad go for it and dont halfass the role of a guy who spends the entire movie ruminating on whether or not to save the universe or burn it all down its easily his most complete performance because he has to dip his feet in antagonistic waters while giving off the notion that his antihero hasnt been swallowed full by the dark side you still see johnson doing his thing and making magic out of a oneliner but its a different angle for fans seeing all the hard work he put in and the challenge of taking up a role in a much ridiculed world i tip my cap to him for the effort he has some good support its an equal thrill to see pierce brosnan and aldis hodge step into the world of superheroes as kent dr fate nelson and carter hawkman hall respectively as two of the four opposing forces of the justice society of america tasked with taking down a reckless adam the pair give solid performances that heighten the material and nothing more quintessa swindell and noah centineo put in good work as cyclone and atom smasher the younger members of the team that is easily way cooler than the egoinfested justice league the story may seem like standard procedure but the screenplay does have a few jewels packed within one of them is a riff on gunslingers and spaghetti westerns as adam employs an eastwood trick he watched on television with a band of goons the soundtrack and lorne balfes score keep the energy flowing amid adventures and showdowns but the unkempt pacing keeps the two hour film from feeling too long johnson wanted to reshape the hierarchy in the dceu universe but he really just helped make a highly entertaining and fun movie instead one that doesnt ask too much of its audience delivers the needed hits with aplomb and leaves you wanting more in the end its not a masterpiece but it really didnt have to be if comic book fans can check their ambitions for black adam at the door they can enjoy this rousing flick that doesnt take itself too seriously black adam is not all doom and gloom thankfully its not a dark dread of hollowed stoicism it has a tongue placed firmly in its cheek and a sly sense of humor never allowing the movie to get too light or dark just the right amount of entertainment and humor one thing it does produce is unexpected emotion with its characters which is not always a slam dunk in a comic book take like last years rollicking suicide squad black adam has its own brand of action and fun one that worked very well for mea fella with high expectations due to the rock at the center
