Dates,Scores,Reviews
Apr 13 2024,negative,honestly as far as watching the third entry of the godzilla monsterverse movies this might as well be the weakest of the franchise  i have seen worse movies but in all honesty most of the human acting are just all over the place and doesnt have much of a pace to work with alongside the monsters that even i look back and see the godzilla movies back in 2014 being a fair use while kong skull island was much better  if it focused on the family and used the loss of a child and working alongside the scientists from the first movie instead of some of the rushed addons like the one guy holding the mother and daughter hostage it wouldve raised my rating higher  sadly this felt like a step backward with it  i still enjoy the cgi design of the monsters along with the fights  it was fine at its best but not the best as these movies goes  610
Apr 12 2024,positive,this was the perfect balance of an og godzilla film closes american version to a japanese version you keep getting more of the story and of the big guy
Apr 10 2024,positive,critics need to learn how to have fun not one of the best godzilla movies but one of my favourites its easy to rewatch and very enjoyable i know that the 1954 style godzilla movies tend to be thought of more highly than ones like this and i agree but its so much fun i can happily place it at 5 on my rankings its stupid but i love it
Apr 10 2024,positive,godzila go ra great effect and interesting story
Apr 10 2024,negative,it features some decent moments cool end shot but overall i was feeling rather indifferent throughout godzilla king of the monsters    a bad movie this is not necessarily though it is not one id file under good either the run time ought to have been shorter and the human characters couldve been more interestingly portrayed the big fight sequences didnt really do anything for me either which is kinda reminiscent of 2014s godzilla in truth i do like the titular character but these sole two experiences of it have been underwhelming    vera farmiga is alright as one of those onscreen im a fan since seeing 2011s source code so have been wanting to see her act further the cast including farmiga to be honest are all quite forgettable in this not helped by issues that i alluded to with their characters above  so much so im unable to pick a standout bradley whitfords rick stanton conversely is somewhat irritating    heres hoping i will actually enjoy what godzilla vs kong has to offer
Apr 7 2024,positive,l love the godzilla movies
Apr 6 2024,neutral,it failed to portray godzilla as the real king of the monsters it was good in parts but massively failed when humans took most of the stage for nearly 90 of the film
Apr 5 2024,negative,very intresting but it has the worst character in creation
Apr 4 2024,positive,this film certainly improves from the first film in some aspects but the character development is just really dumb compared to most other films however what they lack in character development makes up for pure dumb monster action everyone flocks to the theatre for
Apr 3 2024,positive,lot of action but was a little cringe
Apr 3 2024,positive,godzilla king of the monsters at first i was very excited for this movie but this movie is very disappointing the characters are really bad the decisions making of these characters horrible a character wants to portray everything than doesnt just annoying the action i really like but i was so confused where godzilla was hell be there and disappear so idk the effects are amazing like usual but everything else was not that great 76
Apr 2 2024,positive,100000010 its perfect 
Apr 2 2024,positive,very good movie the scene i liked the most was when rodan flies through mexico and when godzilla plays with one of ghidoras heads and melts it
Apr 2 2024,positive,i dont have any complaints for this movie the pacing and storyline seemed to flow very rather nicely the visuals were spectacular loved getting to see all of my favorite kaijus in action
Apr 2 2024,positive,i dont understand how people hate this movie i see absolutly nothing wrong with this film everything looks perfect rodan looks almost exactly the way i imagined it to what it would look like in the american godzilla movies its like the director put his hand through my thoughts and grabbed my ideas for the designs of the characters i also love how they brought back the old sounds from the older movies
Apr 2 2024,positive,not a bad cgi remake   decent popcorn flick
Apr 1 2024,positive,now this was the ultimate godzilla movie  the critics have no taste and i never listen to them  this is probably the best godzilla movie to me  king gidhora menaces the world to be the alpha monster  the human story was ok but you know why people watch these movies is for the monsters not for the humans i loved this movie
Apr 1 2024,positive,still my all time fave godzillamonsterverse film from the moment i saw this in theaters back in 2019 i didnt gave a damn about the mcu star wars or all the popular movies during the time the heart knows what it wants even if others are attractive in the end this is my love since i was a kid who doesnt love godzilla when they were young ill defend this movie always this is my favorite monsterverse film it gave me tears of joy hearing goji and feeling the vibration of his presence it just overwhelmed me     the good stuff    amazing bgm   amazing kaijus  amazing fight scenes  serizawas scene  godzilla  mothra  king ghidorah  rodan    lets not detail the bad stuff for this cause in the end you paid a ticket to watch these iconic kaijus not the human characters     amazing movie  king of the monsters supremacy  long live the king
Apr 1 2024,positive,every monsters are good at playing their character nothing better than telling a story on their own
Apr 1 2024,positive,long live the king
Apr 1 2024,positive,this movie feels like a throwback to the earlier eras of godzilla bringing back original toho kaijus with an all new design although the humans were flawed in ways the spiritually is still represented well and does not take away from the spectacle of this movie
Apr 1 2024,positive,a letter full of emotions addressed to godzilla fans everything we godzilla fans wanted in a movie epicness in each encounter perfect villain excellent soundtrack
Apr 1 2024,positive,its out of the other world team godzilla
Mar 31 2024,positive,the godzilla movie ive always wanted growing up its perfect for a guy like me
Mar 31 2024,positive,my favorite monsterverse film a loving tribute to all things godzilla from beginning to end love the characters love the music love the cinematography  i love everything about this movie
Mar 31 2024,positive,i loved this movie they introduced so many fan favorites from the classic godzilla series the only issue was the human drama overriding the monster fighting but the music visuals lore and creatures were amazing i highly recommend this for godzilla fans
Mar 31 2024,positive,dont like the human characters and its to saturated
Mar 31 2024,positive,this film was super interesting definitely the best godzilla film to date
Mar 31 2024,positive,awesome movie i would like to see rodan more becoming the fire rodan that breathes fire athout if he lives in volcano why wouldnt he breath lava but ok  cimenatography bgm main themes  cgi vfx sound story ok plot awesome  the movie is about godzilla becoming the alpha titan but someone else opposes him and some human organizacion fights monarc because they want zo rstore the order king gidhoradh is on their side menwille godzilla on monarchs  overall little bad story but awesome plot cgi acting cimenatography  sound  it should get oscar nomimations for  best sound  best visuals  best cimenatography  best original score
Mar 31 2024,positive,this movie is amazing i gave it a 10 out of 10 i love mothra rodan godzilla and ghidorah i also love the new titans in the film i love the story and the characters
Mar 31 2024,positive,lots of your favourite titans in one place whats not to enjoy
Mar 30 2024,positive,perfectghidorah is really cool
Mar 30 2024,positive,way better than latest adaptaitons in the monsterverse last time we actually felt that its a monster movie in the monsterverse godzilla was really the godzilla in this movie and we missed it
Mar 30 2024,positive,ive seen this movie back in 5 years ago and what ive love from this is that godzilla and the military and mothra teaming up together against king ghidorah
Mar 30 2024,positive,the critics lie i say lie this movie is an excellent masterpiece filled with returning faces from the godzilla franchise but also some new faces the story could use some work but the monsters looked really good
Mar 30 2024,positive,best film in the monsterverse so far and you feel the toho era of godzilla being present yet again i dont care for the humans however the movie is saved by the blue yellow cyan  red setting mothra king ghidorah rodan  godzilla that atomic breath scene
Mar 30 2024,positive,best movie of the franchise regardless of human plot its the most traditional godzilla modern day movie ever made
Mar 30 2024,positive,truly nice with many spectacles but bad writing was problem that stood as the biggest flaw
Mar 30 2024,positive,now this is p e a k godzilla everything you could ever want in a godzilla movie except the human drama the unenjoyable family issue throughout the movie doesnt fit well and pulls the movie down for me   but overlooking that this is godzilla
Mar 30 2024,positive,after rewatching its a good movie but theres way to much human story then monster story and it kinda makes it hard to watch it and king ghidorah was introduced way to early into the monster verse ghidorah should have been introduced in the 3rd movie but its still a great movie the action was fun to watch overall its a great movie for diehard fans of godzilla
Mar 30 2024,positive,this is my favorite film from the monsterverse and just everything about it is so good
Mar 29 2024,negative,everything is math    tudo é matemática    alles und mathematik    omnia et mathematica    τα πάντα και τα μαθηματικά    一切與數學    tout et les mathématiques
Mar 29 2024,positive,this was an epic thrill ride start to finish music hit hard and the visuals were amazing
Mar 29 2024,positive,amazing that we got more screen time of godzilla  enjoyed the movie a lot i loved mothra and rodan especially king ghidorah   great movie 90100
Mar 29 2024,positive,great movie i liked the fun movie it was a good one
Mar 29 2024,positive,king ghidorah was such a cool titan villain its funny when one of the heads was silly
Mar 29 2024,positive,this is in my top 5 favourite movies ever i love this movie and everything in it the thing that gets it for me thought isnt any of the humans most of them were rubbish not all but most it is ghidorah and godzilla fighting that really catches it for me that final 2530 minuets of the film is just a masterpiece a must watch
Mar 29 2024,positive,the main problem here is the fact that the humans takes the center of the movie and the monsters although they are there its not the main attraction and that makes the movie uninteresting and its a pity because theres a lot of monsters but were seeing another family drama yes the humans are important but they shouldnt be the main attraction in this kind of movies
Mar 29 2024,positive,this is a masterpiece awesome visuals rodan entrance scene was magical godzilla all the way
Mar 29 2024,positive,only atomic godzilla seemed cheesy  otherwise enjoyable  much better than godzilla x kong
Mar 29 2024,positive,one of the best movies everthe action and battles were next levelyes sometimes they lacked with no titans but still one of the best movies
Mar 29 2024,positive,this godzilla movie looks awesome
Mar 28 2024,neutral,not really a bad movie but a great time to see toho monsters back and legendarymade monsters created
Mar 28 2024,negative,ambitious mostly beautiful to look at but it fumbles many of its promising aspects most importantly the monsters
Mar 28 2024,positive,kotm is a really perfect film especially the fact that bringing elements from old films to current cinemas makes it more nostalgic i dont just praise it for the nostalgia but for the cgi which is impeccable
Mar 28 2024,positive,great monsters  great humans  it is the textbook definition of a good godzilla movie
Mar 28 2024,positive,the best movie of monsterverse
Mar 28 2024,positive,where  in my opinion  the movie fails is its attempt to shoehorn in human elements into the film for some reason theres an environmental message threaded into the movie that is then kinda ignored till the credits many of the humans are reduced to weird expository characters and the greatest shame is how ken watanabe is reduced from being the expert on all things muto to a guy who turns to kyle chandler and asks him for advice on everything its like they forgot the first film and kens epic let them fight    the family part of the movie is also shoehorned but at least vera farmiga millie bobby brown and kyle chandler handle it decently well and the movie is chockfull of cliches  the angry turn away and look back the general who wants to destroy everything the wise chinese scientist who understands mythology it can be a bit much when watching this show and charles dance is wasted in this show  they didnt need him    where the movie gloriously succeeds is in creating a real sense of foreboding about the titans ghidorah is especially beautifully rendered and is one of the real stars of the film its arrival is epic its presence is epic and is a worthy adversary of godzilla theres always a real sense of danger in the chase scenes including with rodan and the sound and visual engineers did a damn fine job bradley whitford is also an unexpected highlight in the movie    theres also an unexpectedly poignant sacrifice in the movie and the moment didnt feel too forced so kudos its not a perfect movie but its a kaiju movie and it is visually amazing and does a lot more to advance the monsterverse
Mar 28 2024,positive,godzilla king of the monsters is a kaiju loveletter at most with much kaiju fights and great visuals with a mediocre story but its all the kaijus that make this movie enjoyable and sell you into this fantasy with mostly straight action but amazing and beautiful cgi and visual effects mixed with practical leads to an amazing and good movie
