Dates,Scores,Reviews
Mar 28 2024,positive,works on its own and as a chapter in a larger movie universe that pays off quite well
Mar 28 2024,positive, the monsterverse has turned into one of the more consistently enjoyable franchises in all of movies as godzilla king kong and all of the fellow monsters rampage against each other for global supremacy  well yknow there are also lots of human subplots but were never really there for the people on the ground no were there to see a clash of the titans for the ages and the four films weve gotten so far have all been decently fun at worst and stunning spectacles at best  ahead of this weeks latest installment godzilla x kong the new empire lets rank the movies in the monsterverse and see how these movies stack up against each other in the grand scheme of the kaiju universe  a riff on 1970s vietnam films kong skull island gave the monsterverses proper introduction to king kong and sent its human subjects on a terror ride through the jungles of a mysterious island with lots of monsters to battle the monster action was actually pretty thrilling but the film doesnt do some of its main characters a lot of favors with the script however john c reilly nearly steals the whole movie as a stranded world war ii soldier who helps the main cast navigate the terrain  godzilla and kong finally got a chance to battle each other in 2021s godzilla vs kong a psychedelic brouhaha for the ages across cosmic landscapes and unsuspecting cities sure the human elements can detract from the mayhem but the kaiju battles are so inspired and genuinely eyepopping that its hard to complain this one might be the most pure fun of all four  while the film just could not live up to that absolutely sensational first trailer its still a very compelling monster film with some of the better human characters in the series godzilla taking on so many notable villains from the toho history of the character was so cool in a modern landscape and finally getting mothra in the series to help the big lizard out was an added treat the scope and melodramatics of this one meshed really well with the unfiltered desire to let these beasts go at it  gareth edwards is one of the best filmmakers of his generation to understand scale and his godzilla film is one of the better monster films of the last decade it feels like something bigger than you one that pits pitiful humans against dueling forces of nature beyond comprehension bryan cranston delivers the best human performance in any of these films by a mile and edwards big battle scenes feel ripped out of an apocalyptic nightmare its a stunner in every sense of the word 
Mar 23 2024,neutral, its too bad that godzilla king of the monsters features far sludgier cgi than the two previous monsterverse installments2014s godzilla and kong skull islandbecause the muddy imagery fails to capture the grandeur of the movies ambitious lineup of classic creatures mothra rodan and king ghidorah bathed in murky blues and bleary rain none of them register with the awesomeness they deserve to say nothing of the title hero this time defending his turf against the new titans the human storyinvolving a tug of war between two divorced scientists vera farmiga and kyle chandler over their teen daughter millie bobby brownis uninvolving to say the least though i did appreciate how the various expeditions theyre on treat godzilla and company like specimens analyzing acoustics measuring vitals tracking locations there are moments when godzilla king of the monsters resembles a fantasy version of a national geographic documentaryexcept those tend to deliver far more stunning visuals without any special effects whatsoever
Jul 24 2023,neutral, synopsis the new story follows the heroic efforts of the cryptozoological agency monarch as its members face off against a battery of godsized monsters including the mighty godzilla who collides with mothra rodan and his ultimate nemesis the threeheaded king ghidorah when these ancient superspecies  thought to be mere myths  rise again they all vie for supremacy leaving humanitys very existence hanging in the balance king of the monsters is the sequel to 2014s godzilla and the third movie in legendarys monsterverse which also includes kong skull island in 2021 godzilla vs kong is scheduled to be released as some of you might know godzilla king of the monsters is one of my most anticipated movies of 2019 not because i expected it to be a beautifully written heartfelt story with fullydeveloped characters who i would immensely care about i was incredibly excited because its freaking godzilla and from the few images that i had seen it looked absolutely stunning i didnt need an oscarworthy screenplay or amazing performances i just wanted a decent and logical this last word is important narrative with reasonable characters and tons of monsters fighting to the death against each other so my expectations were neither complex nor as high as some other people might have unfortunately i left the theater extremely disappointed i cant deny the impeccable vfx and the infinite amount of wallpaperworthy images spread across the entire film some scenes are filled with jawdropping cinematography astonishingly gorgeous monsters and the fights feel so real that the sound design alone takes you to the edge of your seat however when the two pillars of any movie story and characters are so far away from even remotely working there are no technically perfect aspects that can save the film from a disaster i wrote this exact last sentence a few weeks ago regarding game of thrones and i will stand by it im always the first guy to praise exceptional filmmaking skills but if i have to choose between a technically seamless movie and a film with a fantastic story and fullydeveloped characters i have no doubts that the latter is the indisputably right choice ultimately thats the huge problem here the screenplay is loaded with some of the laziest exposition scenes ive seen in the last few years characters continuously have some sort of presentation to explain something in a completely unpredictable conversation randomly generally a movie like this always has some kind of cliche secondary characters who are either a nerdy scientist a comicrelief guy a duo of bantering personalities or a military general who always wants to attack something even though everyone knows its not the most intelligent decision king of the monsters has all of these types and more more seriously michael dougherty and zach shields overstuff the narrative with so many unnecessary useless stereotypical characters who stretch the overall runtime and extend the periods between the massive fights turning them into minutes of complete boredom i yawned during a godzilla blockbuster yawned how sad is that i really enjoyed gareth edwards 2014s godzilla at the time the most common complaint was that there wasnt enough godzilla in it most of the characters were wellwritten despite that some could have been more fleshed out king of the monsters is kind of the other way around there are dozens of monsters and bonecrushing titanic fights but they literally forgot to write a captivating story with compelling characters in the first installment even though i also wanted more godzilla when he actually shows up i was so freaking excited since i had to wait for the third act to watch the titans fight the buildup that was generated and its payoff actually made the time spent with the human characters worthy this sequel was doomed from the moment the characters were written there are a lot of fight sequences and i wrote above that unnecessary characters extend the periods between these scenes the dilemma is that those periods need to exist making the whole thing look like a doubleedged sword that the director is trying to avoid on one hand you cant have an action set piece after another action set piece consecutively otherwise these will lose impact over time and become monotonous so you need to spend time with the horriblywritten human characters on the other hand you cant have dumb characters with unclear motivations onscreen for long periods otherwise the audience will fall asleep of tediousness or get annoyed so you have to insert a massive fight sequence again hence making the audience gradually lose interest in those scenes king of the monsters continuously repeats this cycle of going from one situation to the other no one wants to have backtoback fights because theyll lose the impactful energy but no one wants to waste their precious time listening to expositionheavy powerpoint presentations from characters no one is going to remember their name i cant even remember the main characters names and i watched the movie yesterday i cant blame the cast everyone gives good performances millie bobby brown madison russell continues her path to become one of hollywoods biggest stars in less than 10 years shell have an oscar in her hands i guarantee you that kyle chandler mark russell does more than what was expected of him with such a lousy script and ken watanabe dr ishiro serizawa is the only one who delivered a solid performance and had a suitable character fruit of the previous film vera farmiga dr emma russell is connected to the worst character of the movie atrociously irrational decisions made by emma and everyone else is pretty much one of the vast cliche secondary characters
Mar 8 2023,neutral, synopsis the cryptozoological agency monarch faces off against a battery of godsized monsters including the mighty godzilla who collides with mothra rodan and his ultimate nemesis the threeheaded king ghidorah if youre a fan of the japanese godzilla movies from 50s 60s 70s and beyond then godzilla king of the monsters is the film for you if you want oscarworthy acting and a complex story then you may want to skip this one i love monster movies and have been obsessing over this trailer since the first teaser was released while this film is far from perfect it definitely delivered the titanfighting action that was missing from the 2014 godzilla movie godzilla king of the monsters has a plot contrary to popular belief it focuses on russell family vera farmiga kyle chandler millie bobby brown and the monster tracking secret organization monarch giant monsters dubbed titans each with their own cool nickname pulled from legends or history are waking up and wreaking havoc monarch scientist and godzilla fanboy dr serizawa ken watanabe is convinced godzilla will come to the rescue and restore balance if you have not seen kong skull island or the first godzilla i recommend seeing at least kong for a better explanation of monarch their mission and history but they are not necessary viewing to understand this film there are a few returning characters from the first godzilla movie and many things mentioned from both godzilla and kong skull island my favorite thing about this film was the plethora of titans they introduced and the way they set the stage for future monsterverse movies there were also so many nods to the classic movies it was obvious the people that made this movie were fans of the old ones other than the ridiculous amount of monster fighting action theres also a ton of cool planes and other gadgets thanks to the extended look at monarch operations we get in this film i loved the scale they set how massive this operation has become and how hugely impactful godzilla and the other monsters are something cool i noticed in this film is that its filled with women in powerful places military command running senate hearings pilots scientists and they dont make a big deal about it or make it a gimmick it was nice to see it as just a normal thing instead of a selling point of the movie ken watanabe is fabulous as always and one of the better acted characters in the film millie bobby brown also does a decent job in her first big screen appearance another positive is the designs of the titans themselves i loved that ghidorah rodan mothra and others were easily identifiable and basically just big budget versions of their former selves now on to my list of things i didnt like the acting was kind of cringeworthy except millie bobby brown shes perfect but the thing that really bothered me about it was every line of dialogue sounded like a quip or cheesy oneliner especially kyle chandler the dad and bradley whitford monarchs nerd character much of the cg was good there were moments where it looked like they forgot to finish it but i was too distracted by the big monsters fighting to care the thing i didnt like was ghidorah and rodans eyes they were too human or something and it was weird on close up shots i also felt like this movie fell into the category of fantastic trailer  okay movie which was disappointing the trailer with somewhere over the rainbow playing in the background is one of my favorite trailers of all time so i had high expectations and unfortunately they werent entirely met the biggest issue i had with this film was the sound mixing and score i dont know if ive just been spoiled by epic action movies with equally epic scores lately but godzilla king of the monsters was severely lacking in that department there were so many perfect moments that just screamed for a big musical moment like godzilla getting back up after getting beat up and we got nothing even when the score was doing something interesting we could barely hear it over the guns and monster noises it was such a letdown to wrap up godzilla king of the monsters delivered the epic monster action it promised in the trailers it was a big budget homage to the classic japanese films many of us grew up watching i am really torn on how to rate this film i feel like it needs two grades one for monster movie quality and another for general film quality though it has many flaws i think godzilla king of the monsters is a solid b  a monster movie i highly recommend it to any godzilla fan and suggest seeing it on the biggest screen possible as for my actual general film grade im going to have to deduct some points for the score sound and script issues that being said i cant wait to see whats next for the monsterverse and godzilla vs kong 2020 if you do see this film the credits are filled with interesting tidbits and there is a post credits scene at the very end so stick around for that
Aug 21 2022,positive, in 2014 director gareth edwards brought godzilla back to the big screen his monster reboot was the 30th film in the near 70yearold godzilla franchise and the first film in warner brothers interconnected monsterverse i loved the movie and its slowburning oldschool creaturefeature vibe relatively new director michael dougherty krampus takes the reins of the sequel godzilla king of the monsters and delivers a movie quite different from its predecessor the slowburn is gone and the largescaled kaiju action is front and center and where the edwards film could also be sold as a standalone movie this one feels very much a part of something bigger and broader i wouldnt call this a spoiler but the last film ended with godzilla sinking back into the ocean after leveling san francisco in a fight with an earththreatening monster jump ahead five years paleobiologists mark russell kyle chandler and his wife emma vera farmiga lost their young son during the destruction of san francisco they have since divorced under the stress of loss leaving their 12yearold daughter madison millie bobby brown caught in the middle while mark has been off the radar emma has been working with the supersecret shadow organization called monarch theyve been monitoring not just the movements of godzilla but the locations of numerous other monsters called titans scattered across the globe in various forms of hibernation even more emma has constructed a device called orca that emits a sonar pulse which can either calm or rile the titans this catches the attention of a devious ecoterrorist group mark is drawn into the chaos and a lot of big monsters rise up the human dynamic is interesting in a variety of ways the russell family drama is easily the most intimate but its the broader human story thats most compelling as dougherty himself describes it to entertainment weekly the world is reacting to godzilla in the same way we would react to any other terrifying incident in that we are overreacting we see mankind responding to the monsters impulsively  out of fear and uncertainty and the question becomes how far can humanitys intelligence and ingenuity take them in the face of such mighty threats all of this is explored through a fine ensemble  ken watanabe sally hawkins charles dance thomas middleditch bradley whitford david strathairn zhang ziyi among others they all fall in nicely with a script that hearkens back in a measured way to the classic toho studio films we get countless reaction shots stunned utterances and quick quips some may not like what theyre going for but i got a kick out of it and i appreciate how the film steers clear of drawn out exposition and loads of scientific mumbojumbo a handful of characters do get pushed to the side but thats okay because they do exactly what they need to do  service the story and keep it moving towards what we really are there to see  the monsters and the titans really are the showcases in addition to godzilla we get classic toho creations mothra rodan and king ghidorah the creature designs are stunning and their epicscaled clashes are breathtaking spectacles the special effects lawrence shers crafty cinematography and topnotch sound design makes for some truly satisfying and immersive kaiju mayhem i can already hear the pushback from those wanting more human drama in a movie about massive earthmoving monsters i actually like the way they unpack the human story amid a breathless array of action and i appreciate how they add layers of intriguing mythology without drowning us in babble and i can also hear those wanting more of godzilla on the screen there are indeed huge segments where we dont see him but i was fine with it because his presence never leaves our mind while things were playing out in front of me i kept thinking but godzilla so it makes sense to me that many have dismissed godzilla king of the monsters the way they have but at the same time it saddens me michael dougherty has delivered a godzilla movie that is unquestionably actionheavy probably too much for those with no affection for the classic creaturefeatures but while the film is tipping its hat to its roots its also subtly holding a mirror to modern society i feel many have missed that element which is unfortunate but when that human detail is combined with some of the best big monster action ever put on screen all i can say is long live the king its a ton of fun unfortunately it didnt get the best reception which i obviously disagree with but hopefully itll do good enough to keep the series going  cant wait to read your take on it im with you the mediocre reception has really surprised me it was a great time at the theater and exactly what i like about big summer movies i also love how it doesnt shy away from its roots i was really surprised that this movie was given such a rough ride really  for me it was amazing epic monster bash  the human element was there enough to connect all the dots and the fight scenes were off the wall good the kid in me that relished seeing all theses iconic giants brought to life and although there was much going on i never thought it lost its narrative nor the human element   plus i liked the fact that didnt over use godzilla  it made his appearance more epic after rewatching the first one before seeing this one  i also have come to enjoy that one even more i always liked it but have rethought a few of my concerns with it after recent viewings   i was a a bit disappointed in hows this one has been received  perhaps it was too long after last one but since they are knee deep in godzilla vs kong  we are assured of at least one more  solid 9 out of 10 from me and one hearty roar for the king of monsters  yes you absolutely nail it im really wondering what peoples expectations were for this i found there to be more story depth and satisfying mythology building than i ever expected and then the monster action the film packs some truly epic sequences that my son and i absolutely loved i cant wait to see it again hate to be a naysayer but i could not stand this movie for me the problem was a huge technical one i couldnt see it it was all too dark and creatures were far too obscured i just couldnt make heads or tails of what was on the screen you say the creature designs are stunning but i simply couldnt tell this made it way too frustrating for me to enjoy my full review should be up tomorrow but thats the gist of it oh bummer hate to hear that if that were the case for me i would certainly feel the same way for me it was often breathtaking thankfully the screen i saw it on was great which definitely provided a better visual experience i might check it out on tv though i missed the last film version though i really want to see the rest of the entire japanese series the first movie really got this particular version off on the right foot it was too slow for some but i thought the slowboil was just right for that film this movie is probably too actionpacked for some me i loved the big action and it felt in line with the story this one was telling hope to see it again before it leaves theaters love your positive take on a movie thats just gotten slammed ugh mind you i still havent seen it but youve reconfirmed that this will be a great time for me i am literally baffled by the bad press i dont know maybe dismissive is a better word i found it to be an absolute blast full of oldschool and nostalgic monster action i think it dodges so many of the potholes that can often make a movie like this a real drag for me it almost felt yanked out of a time capsule but with a stunning new coat of visual effects paint i was lukewarm on 2014s godzilla but everyone ive talked to about king of the monsters say this one straight up rocked admittedly there are few movies im excited for postendgame loved endgame but its a lot of movie and a lot of hype to come down from this one however seems right up my alley i really enjoyed godzilla 2014 but king of the monsters is a much different movie the monster action is simply fantastic and i would definitely recommend seeing it on the big screen it was even more fun watching it with my son hope you get a chance to check it out hahai know same here i saw it in theaters on its opening night with the dbox seating the seat moves and vibrates which was awesome especially with the movies action scenes yeah pity  i enjoyed the higher stakes action  premise  and the discovery of atlantis  even if they had to destroy it to save the world
Mar 2 2022,negative, sometimes when watching an actionpacked finale in a hollywood spectacle the oversaturation of cgi causes your eyes to glass over and your mind to numb into a sleepy state somehow the filmmakers have spent hundreds of millions on special effects animating impossible creatures superhero battles alien invasions and untold destruction but none of it has the necessary emotion and energy to counteract our visual exhaustion or keep our attention certain blockbusters have this quality where the third act descends into digital white noise and the viewer cannot help but lose interest entirely competent hollywood filmmakers know how to use cgi to enhance the material and impress their audience whereas others resolve to throw endless computerized stimuli at the screen in the final battle and hope for the best for that reason godzilla king of the monsters is exceptional its an entire movie that functions as a relentless cgi assault on the viewers eyeballs sustaining a heightened level of fireworks that would usually be reserved for the denouement it carries on like this for the morethantwohour duration and although initially diverting it gradually wears the viewer down into a trancelike state of disinterest call it digital blindness in the same way that snow blindness results from severe overexposure  godzilla king of the monsters is director michael doughertys bigger louder and more tiresome sequel to the 2014 reboot godzilla a movie that served its purpose blandly enough to earn some admiration for its technical competence and impressive cast even though juliette binoche and bryan cranston played characters who died too soon however after a recent rewatch my already lukewarm feelings about godzilla have cooled not that it matters most of the characters from the first movie have not returned for the followupsave for sally hawkins in a thankless and throwaway appearance and ken watanabe who is forced to deliver fortune cookie jokes the sequel also boasts a roster of recognizable names and faces not that any of them have anything interesting to do each actor has been typecast in a familiar way making it easy on screenwriters dougherty and zach shields who concentrate less on the human fodder than the enormous zoological specimens on display  the action starts when in the destruction caused by godzilla in 2014 parents vera farmiga and kyle chandler lose a child leaving their marriage in shambles and their teenage daughter millie bobby brown in the middle five years later farmigas character dr emma russell works with monarch the secret agency that monitors humongous animals like godzilla known as titans secretly dr russell also works with an ecoterrorist played by the evervillainous charles dance and they plan to awaken the hibernating titans to wipe out most of humanity and bring about ecological balance its a standard the earth is dying and humanity is the disease argument popular among hollywood villains these days see kingsman the secret service inferno or avengers infinity war meantime monarch and the us military try to stop russells plan hawkins watanabe zhang ziyi and bradley whitford are the scientists david strathairn and oshea jackson jr represent the soldiers chandler is the concerned titanwhisperer who just wants his daughter back and thomas middleditch provides the comic relief  dougherty approaches digital blindness in the opener with mothra a tenstory moth that spits sticky webbing and he continues punishing us with cgi for the duration every major sequencefrom the first appearance of godzilla to the antarctic emergence of the movies main baddie ghidorah a threeheaded dragon from spacetakes place in some manner of visually muddy inclement weather conditions battles between the titans such as the first clash between godzilla and ghidorah amid an oppressive snowstorm are a struggle to watch because theyre so murky and obscured these colossal monsters tangle underwater in a hurricane in a burning city in the rain or atop an exploded volcano along with the shaky camerawork its almost as though the filmmakers dont want us to make out whats happening moreover in each location the image looks as though its been run through color filters mostly blue gray or orange giving everything a digital flatness and hued sameness that is monotonous to behold for any length of time and while the global plot leaps around several locations the world over somehow as the grand finale unfolds it does so underwhelmingly on the ruins of fenway park godzilla king of the monsters also desperately wants to establish an expansive franchise wherein 2014s godzilla takes place in the same cinematic universe as 2017s kong skull islandall to create enthusiasm for the upcoming sequel godzilla vs kong in 2020 conspicuous references to kong and skull island are meant to titillate fans and build anticipation for the inevitable meeting between the giant iguanagod and the gargantuan ape but since godzilla fights several titans throughout this largescale sequel the notion of godzilla coming to blows with just king kong seems rather underwhelming in any case godzilla king of the monsters has done an effective job of making largerthanlife creatures completely inert and any popcornmunching fun that mightve come from such a show has been reduced to a dismissive shrug the viewer watches in a perpetual state of numbness consuming but not processing oblivious to any attempt at story or theme because the movies primary concern is delivering a sensory explosionbut we experience only the drowsy effects of digital blindness
Sep 29 2021,negative,strong action weak dialogue unfortunately
Mar 6 2021,negative, directed by michael dougherty godzilla king of the monsters follows an assortment of onedimensional characters including millie bobby browns madison kyle chandlers mark and vera farmigas emma as they race to prevent a series of buildingsized monsters from destroying the planet filmmaker dougherty working from a script written with zach shields delivers a predominantly tedious disaster that strikes all the wrong notes right from the getgo as the movie boasts or suffers from an exceedingly distractingly slick sensibility thats reflected in its myriad of lessthansubstantive elements  with this especially true of the pictures uniformly underwhelming and incoherent action sequences such moments rendered entirely with computers are about as convincing and compelling as a thirdrate video game cutscene and although the movie is fleetingly tolerable when focused on the exploits of its impressively eclectic human cast which includes david strathairn bradley whitford sally hawkins and charles dance godzilla king of the monsters is increasingly dominated by dimlylit setpieces that perhaps inevitably pave the way for an interminable second half thats capped off with an astonishingly tedious final battle  with the end result a very expensivelooking flop that seems unlikely to please even the most indiscriminate of viewers
Feb 18 2021,negative,  godzilla is one of those movie creatures who will never truly die first dreamed up in japan in 1954 at the height of the atomic age the nuclearpowered monster has unleashed destruction in more than 30 japanese productions and three american productions including the new godzilla king of the monsters  taking place five years after the events in 2014s godzilla the basic gist of the film is that a group named monarch is tasked with studying and keeping at bay the group of 17 monsters that have been found around the globe a rival group believes the monsters should be released letting nature take its course however it may ill give you one guess as to which group wins that battle  as a result monsters like the threeheaded dragon king ghidorah giant moth mothra and pterodactylesque rodan proceed to wreak havoc as only giant monsters can its up to the movies plucky group of humans to bring an end to the havoc and this time theyll need the help of godzilla in order to do so  no one goes into a godzilla movie expecting high art but its still stunning how incoherent the movie truly is the plot such as it is devolves into a rambling mess almost from minute one that leaves the epic clashes between the monsters to carry the day but even those are just a mishmash of special effects where its next to impossible to tell whats going on until the battle is over  one of the only things keeping the film afloat is the general watchability of its laundry list of movie stars the cast which has five oscar nominations among them includes kyle chandler vera farmiga millie bobby brown ken watanabe ziyi zhang bradley whitford sally hawkins charles dance thomas middleditch aisha hinds oshea jackson jr anthony ramos and david straithairn all of them deserve better than the material theyre performing but each of them also elevates it in one way or another  points do go to the filmmakers led by writerdirector michael dougherty and cowriter zach shields for keeping the visible human death toll to a minimum action films too often wantonly destroy cities with seemingly no regard for the thousands of deaths that destruction would cause in this film two of the biggest scenes take place in antarctica and in the middle of the ocean taking humans mostly out of the equation  fun could also be had in watching the film by playing a spot the reference game only four monsters are truly showcased but godzilla superfans will no doubt relish either the appearances or allusions to other monsters from the franchises history there are also a handful of references to skull island which harkens back to 2017s kong skull island and also hints at whats to come in the alreadyforthcoming sequel 2020s godzilla vs kong  its difficult to know what could make godzilla king of the monsters a truly enjoyable film but a start would be to focus on what everyone wants to see  the monsters  and leave the tricky plot mechanics for pretty much any other movie if you go by the movies life in small towns can either be quaint and neighborly or drudgery where even the smallest change to the daily routine can be cause for excitement the latter is certainly the case in laroy texas where a case of mistaken identity leads to the small texas town having more crime than its seen in its entire existence ray john magaro is a sadsack character seen as a pushover by the most important people in his life his former beauty queen wife stacylynn megan stevenson and his brother junior matthew del negro who manages the hardware store where they both work early in the film ray is shown evidence that stacylynn might be cheating on him by wannabe private detective skip steve zahn bringing even more misery into his life while sitting in a parking lot lamenting his horrible life one night ray is approached by a man with an envelope full of money and a request to kill a man although initially taken aback ray decides to take the job if only to bring something different and exciting into his life the real hitman dylan baker doesnt take kindly to someone stealing work from him and ray soon finds himself in several situations that upend his world completely written and directed by shane atkinson the film is a lightweight but still enjoyable take on a fargoesque story the fact that ray has three separate elements with which to deal  his cheating wife the seemingly everpresent skip and his inadvertent entry into the world of crime  gives atkinson different avenues into which to channel the story which keeps the film from becoming repetitive he also upends expectations at multiple points in the film from the excellent opening scene to the climactic sequence while some of the characters adhere to storytelling conventions several take detours that keep the film from relying too much on texas stereotypes ray especially keeps viewers on their toes as just when it seems hes becoming predictable he makes an unanticipated choice the film does get bogged down a bit in the middle section after an initial jolt of energy that comes with the setup of the story stacylynn and junior are both mostly onenote characters whose importance to the plot doesnt help them much the real hitman after making a great first impression recedes into the background too often the few times he does pop up make you wish his role called for him to be in more scenes magaro is good casting for this role as  much like he did in past lives  he plays the wellmeaning guy who is overshadowed by others in a way that makes you root for him and hate him at the same time zahn has the type of face that allows him to easily play the comic relief but hes also good in more earnest moments baker makes the most of his relatively limited screentime if only had had more laroy texas doesnt do enough to be a completely absorbing crime thriller but with a few good performances and a story thats familiar but still surprising it has more highs than lows with a deadly crime spree the most interesting thing to happen in this small town it might be worth visiting again laroy texas is now playing at galaxy grandscape in the colony it is also available on demand at home it will screen as part of the usa film festival on april 19
