Dates,Scores,Reviews
Apr 14 2024,positive,this movie is part of the reason why i love watching and even moreso making films go with ur friends alone even if u have to or ur god damn uncle this movie is a straight up blast and fun time i cant wait for the next and many more to come
Apr 14 2024,positive,great movie good cgi and storyline entertaining
Apr 14 2024,positive,good movie definately recommend
Apr 14 2024,positive,you know exactly what youre getting with these monarch kaiju movies  big monsters hapless humans a few laughs and solid entertainment
Apr 14 2024,positive,the beginning was a little slownfor my liking but i really did enjoy it
Apr 14 2024,positive,excellent movie and addition to the monsterverse
Apr 14 2024,positive,best action for the summer
Apr 14 2024,positive,exciting and feel good
Apr 14 2024,positive,i really like it a lot of action
Apr 14 2024,positive,it was very good and interesting i loved it
Apr 14 2024,positive,fun movie that leaves you feeling good  probably the best in this run of godzilla movies  not every movie needs to be oscarworthy to be enjoyable
Apr 14 2024,positive,loved this movie i dont care what the profesional critics say this movie was awesome
Apr 14 2024,positive,it was the amount of monster smashing i wanted to see
Apr 14 2024,positive,i thought the movie was great story line was interesting and i love king kong and it felt like they showed more into his life
Apr 14 2024,positive,3d has gotten so much better from the last time i seen a movie in 3d 1990s  action was great
Apr 14 2024,positive,it was a awesome movie my son  i had a great time
Apr 13 2024,positive,i think it was a great movie its just i dont understand how people are pronouncing the title some people say it as godzilla kong and forget the x in it and some people use the x but you know what im gonna pronounce it as godzilla times kong    9910
Apr 13 2024,positive,everything was great it was our first time visiting this theater it was clean and staff was very nice we will definitely be back soon
Apr 13 2024,positive,fun monster movie lots of good fights needed more godzilla though
Apr 13 2024,positive,loved the 3d  fun movie  best part was kong and godzilla and another of their monster buddies fighting together
Apr 13 2024,positive,predictable but very entertaining  liked the fact movie was shown on screenx ie wraparound screen  excellent way to spend a saturday afternoon with the family
Apr 13 2024,positive,my family loved this movie
Apr 13 2024,negative,this movie unfortunately is one of the dumbest and most boring movies i have ever seen its not often i feel like walking out of a cinema i love godzilla movies after seeing the cinematic masterpiece of godzilla minus one i was looking forward to seeing this movie but its just so dumb the acting was really bad the script was really bad and the pacing of this movie is bad godzilla doesnt even do anything this is more of a kong movie featuring godzilla the human characters were extremely cringy stereotypical and very forgettable in godzilla minus one you care about the human characters and you care about the cities being destroyed toho put a lot of effort into their worlds in this its the complete opposite after seeing this movie tonight i couldnt even tell you the name of one of the human characters the slapstick comedy is just embarrassing and the acting is below par now the difficult part as a moviegoer is i want good entertainment good acting good script good movies and im all for people with disabilities being in movies but when you use sign language in a movie so much its awkward when its dead silent i understand its for the plot of the movie even though its a really bad plot the cgi is meh the pacing of godzilla in toho movies is great godzilla is slow in these legendary movies a 160000ton monster jumps off mountains and is way too fast and it just feels very off in the future legendary pictures and warner bros instead of making a poorly made poorly acted poorly scripted forgettable cash grab please leave godzilla movies to those who actually care about what they make and actually know what they are doing and let toho pictures make godzilla movies
Apr 13 2024,positive,fun and entertaining 
Apr 13 2024,positive,before i start i love the monsterverse i love godzilla thats why there are bonus points despite everything for me this film is the worst of the series there is no seriousness anymore even in gvk i had the feeling that it wasnt monsters but action figures fighting against each other i dont like the new direction since gvk i turn off my head and try to enjoy it and i can do that to some extent but i liked the first films up to godzilla kotm better they were threatening the monsters were scary in peoples eyes now they do wrestling tricks  despite everything im looking forward to the next adventures but i wish there was something darker again
Apr 13 2024,positive,that movie was great  aww man we need more 
Apr 13 2024,positive,awesome watch was pretty goofy at times but very entertaining action and fight scenes were sweet
Apr 13 2024,positive,it was a really enthralling and very breathtaking liveactioncgi hybrid monster movie sequel it had really impressive special effects really amazing cast really wonderful characters really awesome action really thrilling adventure really amusing humor really extraordinary music really tremendous costumes really captivating cinematography and a very interesting plot in my opinion i think its going to be my favorite godzilla and king kong movie of the year ive ever seen in theaters in my whole life i extremely recommend this movie to everybody who are the fans of godzilla and king kong
Apr 13 2024,positive,watched this in theaters had no idea there was a monster universe like mcu but for these 2 legendary giants to me it was very well done legendary usually doesnt miss and this film wasnt an exception    my only 2 gripes with it are 1 the movie is very packed with information i wish they had made another one in 2 years because its obvious they could have 2 the marketing doesnt lead you to believe its another episode in some bigger universe if i had known this i totally wouldve been more bought in    dont get me wrong its very well done i just felt like i needed more details but its a good watch
Apr 13 2024,positive,greatest film of all time putting the kaiju canter stage like a giant monster film should king kong is the lead kaiju but adam wingard said if film does well we will get godzilla in lead role next film very excited to see godzilla in lead so please support gxk humans in this film are the greatest and film paces well with lots of action and excellent special effects burny is funny and relatable and jia helps convince godzilla to chill out only thing off was our hero godzilla attacked god tiamat for no reason just to steal her power like a villain if he wanted the power of the ultimate dragon god all he had to do was be cool and ask a godzilla vs tiamat film would not result in a winner not more disrespectful than the original legend i guess but disappointing that this film has not evolved past the pro human themed dd formula where the dragon must be slain in the name of greed and envy when the dragons are truly invincible and the true soul of godzilla
Apr 13 2024,positive,great movie from start to finish
Apr 13 2024,negative,terrible and disjointed story 1 star for a couple of good monster fights
Apr 13 2024,positive,good old monster wrestling movie redux
Apr 13 2024,positive,epic fights and higher stakes
Apr 13 2024,positive,liked the fight scenes special effects was great story line was interesting  hated the villain got what he deserved
Apr 13 2024,positive,i enjoyed the movie for what it was a high action and fast pace godzilla vs kong kong movie
Apr 13 2024,positive,good cinematography good character development minus 1 star for icky man in hawaiian shirt
Apr 13 2024,positive,its simply an amazing movie its a must watch especially when watching it on the big screen while sitting on the front most seats at the cinema    1010  would watch it again
Apr 13 2024,negative,very messy acting and story
Apr 13 2024,positive,my grandson loved it told everyone he knew how cool it was
Apr 13 2024,positive,awesome movie cant wait to watch it again
Apr 13 2024,positive,it was most awesome monsters fights and it needs some in depth story and major monsters fights    but ill give it 10000000000000000 out of 100
Apr 13 2024,positive,godzilla and kong are the best monsters ever plus mothra join in the fight their scenes are amazing and epic showdown between two kings and two evil monsters    ill give 100000000000 out of 1000
Apr 13 2024,positive,i knew i was going to love godzilla x kong the new empire since the first trailer was released there is a lot of fun goofy kaiju action to experience and king and suko are the hearts of the film my main gripe is the human subplot but its only a minor complaint
Apr 13 2024,positive,its literally the best movie i have ever watched in my life olly 12
Apr 13 2024,positive,i cant believe i was hit by clickbait movie titles should have replaced it with kong and new friends but i dont mind the storyline here i enjoy the cgi and audio of the film and in my opinion its not bad for a film made with an expensive budget just enjoy it
Apr 13 2024,negative,to chessy to much sci fi  looks like the monsterverse of batman  robin
Apr 13 2024,positive,humans were a tad bit better still needed to see more godzilla though
Apr 13 2024,positive,only thing it was missing was more monster fights
Apr 13 2024,positive,perfect everything was amazing
Apr 13 2024,positive,even better than godzilla vs kong in my opinion this movie was amazing and entertaining and more creatures that they show just really makes this movie even better i definitely recommend watching this i loved it and enjoyed every moment of watching
Apr 13 2024,positive,this would actually be a really good silent film about kong going on his own little planet of the apesinspired journey were it not for the stinky humans getting in the way i dont really hate them and they do have plot relevance but lets face it i dont think the audience is coming to a film like this for that young deaf girl angsting over not belonging and rebecca halls dealing with parenthood and for a complaint unrelated to the humans for a movie called godzilla x kong the balance is far too skewed towards the latter whilst the former is out of focus in fact the way the movie ends suggests that this was intentional as while the giant gorilla goes has his own character arc this films conflict is treated by the reptilian kaiju as just another day in the proverbial office probably for the best given the critical acclaim of that minus one film since while i havent seen it im pretty sure comparisons would be unfair given the contrasting tones and anyway godzillas minimal presence is still handled much better than the glorified window dressing that was the dinosaurs in jurassic world 3 but otherwise while unsurprisingly not as insanely fun as gvk i had a good time with the new empire the visual effects and animation are topnotch the action sequences are stellar and as ive pointed out earlier kongs arc is very compelling bereft of dialogue it may be but you can still tell exactly whats going on from their expressions and body language one of the best parts of the film was him being a father figure of sorts to the little baby orange kong because after the mandalorian everything is inspired by lone wolf and cub i guess all that was left was to have kong played by pedro pascal in a really expensive halloween costume and things wouldve been perfect also come on guys how can you not consider this film pure cinema when one scene has kong decking a complaining ape to shut him up and its accompanied by a stock sound effect and he didnt have to drop a joss whedontype quip as if he was embarrassed that they did that smack sound dont let the critics get to you adam wingard as the monsterverses first returning director gxk tne you did a bangup job with what you had to work with and hey if this film was a glorified sales pitch for you to be given the opportunity one day to direct a film thats animated andor silent your handling of king kongs new origin story certainly makes that idea enticing to me d
Apr 13 2024,positive,love godzilla and king kong reminds me of my childhood horror films when monsters were not of the human kind
Apr 13 2024,positive,i loved this movie its a love letter to the showa era with its cartoony feel and i like it as long as its not taking itself way too seriously and it doesnt i enjoyed the action scenes with the monsters and the characters were the best in the monsterverse movies as of writing this review i would recommend it to people who would want to watch a movie with monsters as the main characters that said this movie and the movie before it godzilla vs kong are mainly focused on kong rather than godzilla and as a godzilla fan i wouldve liked it if his fight scenes lasted a little longer    the things i liked about this movie out weighs the things i didnt like but i would like to say it    i dont like the fact that scylla and tiamat were killed very quickly but at the very least have tiamat live godzilla is very similar to finalgoji where he just goes on a tour of killing other monsters the villain skar king is threatening but i didnt get the same king of world ending from him like ghidorah did in kotm i also wouldve liked an explanation on how skar king was able to capture and control shimo using a crystal that looks like one of the spikes on her back    all in all i think that is a good cheesy but fun movie
Apr 13 2024,negative,weak plot lack of imagination waste of time
