Dates,Scores,Reviews
Apr 12 2024,neutral, as if godzilla and kong werent enough director adam wingard unleashes a host of others in godzilla x kong the new empire and lets the skyscrapers fall where they may kong you may remember is dwelling in hollow earth godzilla is napping at the colosseum as long as theyre in separate corners everything is ok godzilla however gets up from his nap stomps around europe making even more ruins in italy and france and senses theres a kongfrontation just waiting to happen kong meanwhile has an infected tooth and needs help we know this because dr ilene andrews rebecca hall has a daughter kaylee hottle who can communicate with him via sign language to set things straight andrews assembles a crew including a conspiracy theorist and a gonzo veterinarian and zips to hollow earth sure enough kong has a bad bite and another set of monster adversaries when a battle hurts his arm the vet played by dan stevens cooks up a kongsized infinity gauntlet glove trademark pending and gets the big ape moving all sorts of creatures prehistoric and otherwise start checking in the goal is to settle them and get to godzilla but who first and when all of the creatures including one youve heard plenty about but didnt realize was so literal cause trouble sending all parts of the world into turmoil after they do their urgent care bit the humans are fairly expendable still they stick around to see what happens and give the girl plenty to translate while godzilla makes his way to kong we start calculating the insurance loss in addition to ruining ruins in europe he levels pyramids in egypt kong isnt as destructive he just hangs from buildings but he does have some nasty adversaries if its wingards goal to spin them off into other features were in trouble there are so many villains in godzilla x kong its impossible for anyone to divide and conquer interestingly the effects in this film arent as good as the ones in the lowbudget godzilla minus one the monsters look a bit halting when in doubt wingard and company turn up the light movie critic bruce miller says snack shack is profane constantly in motion and very retro its the vacation you didnt think you needed but sure were glad you took
Apr 12 2024,negative, i cant say ive ever had to review a film and i didnt know how to pronounce its title im of course talking about the sequel to 2021s godzilla vs kong which is confusingly titled godzilla x kong the new empire  are we saying godzilla ex kong godzilla times kong godzilla and kong just godzilla kong or are we just awkwardly trying to avoid saying the name of the film vaguely speaking of the new godzilla film and waiting for someone else to make a mistake with the title  thankfully the film itself is much more straightforward than its title adam wingard has returned to helm the sequel to his box office success godzilla vs kong which saw the titular monsters make peace with each other and team up against an unlikely threat at the end  we return to hollow earth  thats the subterranean ecosystem thats underneath our surface  where kong rules however a new threat rises from an even deeper level of the earths core and this time kong isnt strong enough to defeat it on his own  enter godzilla whos been peacefully snoozing in the ruins of the colosseum and who only awakens to fight more titans as they threaten humanity can kong and godzilla put their differences aside once more to defeat this new threat  without giving anything away godzilla x kong the new empire would make a strangely good doublebill with ghostbusters frozen empire both being about empires and icy threats  mileage will inevitably vary when it comes to godzilla x kong your opinion on the film probably depends on what youre expecting from a film about two ginormous cgi creatures wreaking havoc while puny humans run around like headless chickens delivering exposition where needed  once again the humans are the weakest part of the film theres admirable effort from writers terry rossio simon barrett and jeremy slater to improve the mandatory human subplots by having jia the last member of the iwi tribe and irene andrews adopted daughter question her place in the world but lets be real were not paying to watch the humans grapple with their identities or family ties we pay to watch kong and godzilla wreak havoc  there is some mayhem in godzilla x kong but not nearly enough the very beginning in which kong is established as an unstoppable force and the true king of hollow earth suggests that we may be in for a satisfyingly gloopy gooey film in which many a monster is ripped in half this promise is never fulfilled godzilla x kong disappointingly proves to be a onetrick pony albeit a very big pony  if the film was released a year ago i may have enjoyed it a whole lot more the final nail in godzilla x kongs coffin is the fact that weve had an incredible godzilla film just a few months ago godzilla minus one proved that you can make a great kaiju movie with a balanced human element and great not to mention oscarwinning visual effects if anything godzilla x kong seems to lean more heavily towards the emotive kong and perhaps it would have worked better as a sequel to kong skull island  its not all bad though the cgi is surprisingly good and dan stevens playing the worlds weirdest vet and occasional ape dentist is having the time of his life brian tyree henry reprising his role as conspiracy theorist bernie hayes also adds a lot of levity in a film that seems to think its funnier than it really is with godzilla x kong wingard is aiming for a lighter more entertaining film than its predecessor but the film is ultimately brought down by cringey dialogue and unnecessary human baggage  warner bros is said to be examining its 2024 slate  which includes beetlejuice 2  and considering delays as the actors strike continues   a ray of hope appeared yesterday that perhaps the actors strike might be coming to an end sooner rather than later after a contentious couple of weeks in which negotiations broke down   david zaslav wont be deleting films at paramount pictures as well as warner bros after all it seems it seems increasingly likely that paramount pictures will have a new owner within the next year or two chairperson shari redstone who effectively decides the companys fate is all but certain to be selling her interests but whos   mission impossible star tom cruise joins forces with warner bros in a partnership that will see him develop big budget films for the studio tom cruise already has projects underway with paramount and universal but you can now add warner bros to the list of studios that have cemented a working relationship with the top  warner bros has released the first trailer for the penguin the batman spinoff series set to premiere later this year we just dont know when  to provide the best experiences we and our partners use technologies like cookies to store andor access device information consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique ids on this site and show non personalized ads not consenting or withdrawing consent may adversely affect certain features and functions click below to consent to the above or make granular choices your choices will be applied to this site only you can change your settings at any time including withdrawing your consent by using the toggles on the cookie policy or by clicking on the manage consent button at the bottom of the screen
Apr 12 2024,positive,this is a massive saturday morning cartoon featuring big monster battles exciting teamups and plenty of epic moments that being said the plot lacks cohesion and most of the main human subplot is messy 
Apr 11 2024,positive, on this episode kevin lee from awardswatch joins jd and brendan to discuss the latest in the monsterverse franchise with godzilla x kong the new empire all of these films are varying forms of diverting thrill while being narratively very messy and this one doesnt do much to sway away from that formula however we do have a lot of fun talking about what makes it different even if much of it is the same
Apr 11 2024,positive,while the story hides the crux of the plot for more than half the story theres still enough carnage to maintain excitement even if we dont know the point
Apr 10 2024,negative, last time we encountered king kong and godzilla or hollywoods lesser version of him anyway in the selfexplanatory godzilla vs kong they ended up putting aside their differences to defeat mechagodzilla in a brawl that laid waste to half of hong kong in godzilla x kong the new empire  which somehow skips over godzilla 4 kong the honeymoon years  their relationship has evolved into a precarious détente the great ape has made a home for himself monkeying around in hollow earth the mythical fantasy world beneath the planets crust while the radioactive reptile remains on the surface helping ward off beastly threats to an otherwise ungrateful humanity to be fair he is accidentally stomping their major tourist destinations as always poor godzilla is just misunderstood when he curls up like a kitten for a nap in the colosseum after a hard days fight he has our hearts in his clammy little claws the same cant be said for the movies returning human characters who are once again tasked with delivering thankless exposition and feeble stabs at comedy rebecca hall is back sporting a chic new do and grim new expression as kong expert dr ilene andrews as is kaylee hottle as the doctors adopted daughter jia a hearingimpaired skull island native with a psychic connection to the big gorilla also collecting another pay cheque is brian tyree henry whos saddled with the movies most impossible task making a podcaster funny responding to a distress signal from deep within hollow earth the team are joined by dan stevenss trapper a monster vet in a douchey hawaiian shirt who the movie introduces like hes the second coming of snake plissken back beneath the earths crust kong clashes with a hostile army of apes led by the villainous skar king an aggrieved simian with questionable grooming habits a whip made of dinosaur bones and an ancient vendetta against godzilla he also keeps a pet radioactive kaiju  thatd be shimu if youre playing titan bingo  chained up and ready to rumble kong wont be alone for long godzilla has soon picked up the scent of a skirmish and the intrepid humans discover an ancient civilisation of oldtimey tribal tropes  led by fala chens iwi queen  who worship the series most iconic diva mothra alas nobody shouts mothra is mothering which seems like a missed opportunity godzilla vs kong was something of a surprise smash during a respite from lockdown in 2021 when the prospect of seeing epic monsters square off on the big screen seemed like the perfect balm after months of house arrest but the sequel arrives after years of the usual mirthless hollywood spectacles which promise mindless fun but lack the imagination to fire up the senses it doesnt help that the great oscarwinning godzilla minus one while obviously very different in tone is so fresh in our memories directed like its predecessor by american genre filmmaker adam wingard youre next the guest godzilla x kong is a blur of noise and colour that does have its moments of charm kongs grunting and growling smackdown with the skar king set against a smouldering subterranean landscape feels like a wrestling match waged between ancient gods and his table manners or lack thereof  snacking on a serpents neck as though it were a sushi roll  continue to be a nice running gag as in the previous movie the netherworld of hollow earth casts a shimmering multicoloured spell giving the impression of being trapped inside a magic crystal or a stoners panel van circa 1977 less impressive is wingards reliance on an aesthetic schtick that felt played out five years ago oodles of lazy neon a synth score and the sort of fm radio needle drops that even the guardians of the galaxy or thor might think twice about using nobody needs to be exposed to kiss in 2024 godzilla x kong shouts fun  splashes it across the screen with every tool in its digital paintbox still for a movie that features kong and godzilla going up against a superape riding a radioactive dinosaur its surprisingly dull devoid of much in the way of wonder soul or the genuinely strange by the time the monster tag teams are soaring toward each other in embarrassing slow motion even two giants of the cinema have been reduced to something as common  as lacking in invention  as marvel superhero spectacle with all respect to the talented visual effects team who are only operating according to their brief i spent most of the movie wondering how easy it may soon be to recreate all this generic commotion in open ai generative video with a few text prompts and a general knowledge of monster lore at what point will it merely be easier and cheaper for studios to farm out this kind of product to anonymous ai servers  or even let audiences create their own versions when bigscreen spectacle becomes lacklustre can viewers be blamed for not knowing the difference between ai and the real deal godzilla x kong isnt exactly the death knell of the blockbuster  and its unfair to ask that a simple story of friendship between a nuclear lizard and a 50foot ape bear the brunt of cinemas woes but it might be a sign that hollywood needs to watch out lest it become the next extinct species this service may include material from agence francepresse afp aptn reuters aap cnn and the bbc world service which is copyright and cannot be reproduced
Apr 10 2024,negative, godzilla x kong the new empire is the fifth film in warner bros monsterverse the inexplicably popular franchise involving cinemas two biggest beasts this latest episode has already been a hit but like its predecessors its mostly forgettable  returning to hollow earth the underground dimension from the last film kong and godzilla must team up to stop a new tribe of giant apes and a titan from wreaking havoc on the surface world  thats about as much plot as the script allows spending the first act shovelling exposition until they are allowed to give the screen over to a colourful monster mash the action is entertaining and the effects are impressive but thats all the film has to offer the beleaguered human cast are wasted looking up at their cgi castmates with rebecca halls titan expert explaining every step while a returning brian tyree henry cracks jokes along with newbie dan stevens  in some ways would be ridiculous to expect anything more the american takes on godzilla have always traded on action over subtext and previous film godzilla vs kong was a crowd pleaser that overcame a shallow plot with huge beasts tearing it up in a neon city theres nothing wrong with mindless spectacle but after five movies its beginning to repeat itself director adam wingard who broke through with 2014 thriller the guest delivers a trailer friendly product that makes a lot of noise but leaves no impression  it doesnt help that godzilla x kong arrives just a few months after godzilla minus one the latest japanese godzilla that reminded audiences of just how powerful these movies can be by comparison these low iq american cousins offer little more than hollywood spectacle 
Apr 10 2024,negative, there will be many comparisons in the next day or three between godzilla minus one takashi yamazakis shockingly beautiful and elegiac epic about a giant lizard triggering nationwide trauma for a country in ruins and godzilla x kong the new empire the newest monster smash up between the big g and the ape from skull island but right at the top every reader should recognize this is a fruitless exercise a contrast as meaningful as pondering the differences between a genuine oscar winner and a saturday morning cartoon for make no mistake godzilla x kong is a cartoon im told the film technically qualifies as live action too because rebecca hall brian tyree henry and dan stevens appear in front of some blue screens and presumably to pick up hefty paychecks for their troubles but i still dont entirely believe it flesh and blood actors might float by to spout exposition but the space they occupy is as real as bob hoskins foray into toontown and a fraction as interesting of course the cartoon label could apply to almost every monsterverse film weve had to date yet the new empire holds the unenviable distinction of being the first where for large swaths of the running time the monsters are as dull as the humans they step over chief among those timefilling ants is rebecca halls dr irene andrews who returns from 2021s equally dumb but much more kinetic godzilla vs kong if you dont recall she is the kong expert who has also become the adoptive mother of jia kaylee hottle the tween girl who is the lone survivor of the iwi tribe from the now desolated skull island and because jia is starting to have nightmarish visions our doublecredentialed and world renowned monarch scientist is turning for help to a conspiracy theory podcaster yeah even the movie doesnt really know how to explain it but it at least gets brian tyree henry back for another goround which is never a bad thing together irene and henrys bernie convince monarch to send a team of scientists down into the hollow earth where kong lives as king alas though its a lonely rule since his only friends wear lab coats the heroes also take along a veterinarian dan stevens so the proper banter quota can be met yet as they look down there for answers to jias visionsand around the same time that kong discovers a new race of giant apes living beneath the surface of the earthgodzilla is forced to shoehorn his sizable frame into the movie by causing a ruckus topside first he inexplicably starts curling up like a kitten inside the roman colosseum and then he wakes up cranky and in need of a nuclear power plant pickmeup it seems the big g also senses something bad is coming and wants to get juiced for the rumble the monsterverse movies have always been a mixed bag while the aforementioned saturday morning cartoon aesthetic has frequently tickled this reviewers nostalgia buttons it is impossible to ignore the intentional simplicity to use a diplomatic term in movies like kong skull island or godzilla king of the monsters when director adam wingard took over the reins in 2021s godzilla vs kong he removed all pretense the human characters scenes were cut to the bone and relied on stereotypes of stereotypes but the monsters they rarely appeared giddier with wingard replicating the crashyouractionfigurestogether glee of late shōwa era kaiju movies from the toho studios of the 1970sonly with a 21st century hollywood budget watching godzilla and king kong throw fisticuffs at each other about every 30 minutes was a 12yearolds dream but now with the flair of a visual stylist who bathed the spectacle in chic neon pinks or yellows and clean shots that took advantage of zero gravity environments in the hollow earth godzilla x kong the new empire attempts to replicate all those flourishes and tricks right down to godzilla even providing the hot neon pink in rustic settings like the pyramids of giza his fins get a barbieland glow up the problem however is that we have to wait a long time for that godzilla and kong action despite the film being a fleet 115 minutes godzilla x kong drags where godzilla vs kong skipped into its happy haymakers the earlier film was a glorified fight night spectacle which saw the title characters get into a donnybrook at least once per act by contrast godzilla x kong keeps them apart and instead focuses far too much on limp comedy beats delivered by actors working from the worst script in the monsterverse saga which is saying something and kong also befriending a proverbial son of kong as he battles another giant ape called the scar king while we appreciate the allusions to both the mostly forgotten merian c cooper 1933 quickie sequel to king kong as well as tohos own son of godzilla 1967 the tsunamis worth of cgi in godzilla x kong lacks the charm of willis obriens 1930s stopmotion or the goofiness of a kid in a rubber suit when used right digital effects can awe and overwhelm but they rarely ever endear or beguile and all the money spent on godzilla x kongs hollow earth giant apes sequences prove as inert and lifeless as the drama between hall and stevens doing their damndest with nothing one of the only thrilling sequences in godzilla x kong is the row by the nile where godzilla kong and a mysterious third party we cannot spoil get in a tussle with the great pyramid of khufu as their squared circle its daffy devastating to world history and a return to the jejune appeal of godzilla vs kong and many toho classics it is also literally godzilla vs kong redux similarly there is then an immediate followup final battle royale at the center of the earth with more creatures duking it out than a super smash bros online free for all after 90 minutes of being lulled into a stupor the climax makes for an extremely expensive alarm buzzer for those looking purely for that monster mash high this overcaffeinated climax might scratch an itch but when you need just as much caffeine to stay awake up until that point it feels like the fight is already lost whether its godzilla kong the scar king or mystery monster x there are no winners hereand certainly not in the audience
Apr 9 2024,negative,the script there is a plot but its preposterous tosh and it makes no sense and it doesnt even try to make sense stuff stuff stuff roar 
Apr 9 2024,positive, in honor of godzilla x kong the new empire the two titans of riotus are teaming together like the big fellas at the center of the movie for a jointreview of the new monsterverse entry julian lytle after a banner 70th anniversary year for the king of monsters godzilla with the apple tv series monarch and then the academy awardwinning godzilla minus one its a great time to be into godzilla were also at the tenyear mark for the legendary monsterverse films with adam wingard returning after the successful godzilla vs kong we now have them in a teamup movie i guess the most surprising thing about going to see godzilla x kong the new empire is did you really expect the monsterverse to make it this far and do you feel like this is a good entry into this franchise william goodman its kind of funny to me that the dceu and the monsterverse launched within a year of one another yet the latter is a far more successful and coherent extended universe sometimes it pays to keep it simple this new installment is a good entry into the kaiju genre mostly because wingard has a good sense of what people want to see giant monsters fighting one another thats not to say there arent things to quibble about in terms of pacing or structure but godzilla minus one and these monsterverse films are not i think its wonderful that this film can exist alongside that one and that you can have a bit of a choice of your own adventure when it comes to tales of the king of the monsters should we explain the plot of this one a little bit jl so after the events of godzilla vs kong we have a split in how the territory of the world is split up by the two godzilla runs the surface or else and kong is now exploring the hollow earth set up in the last film as he tries to look for other giant apes something is causing trouble leading to more titan attacks that godzilla must deal with as well as some weird readings monarch is noticing along with jia kaylee hottle the iwe tribe girl who was introduced in the last movie as kongs friend her adopted mother dr ilene andrews rebecca hall and monarch scientist in charge of kong decided to go down to hollow earth bringing back titan conspiracy theorist podcaster bernie hayes brian tyree henry from the last movie as well this leads to three different journeys to dealing with a new secret threat from the past of the planet the titans and godzillas place in all of it for me all of this was pretty easy to follow but i do know that for many the plot lines about the human characters are a drag do you feel that the plot of jia and ilene and in turn all of monarch hurts or helps the film wg i do think the weakest portion of the monsterverse movies are the human characters wingard hit on something in the last film though rebecca hall i think hall is one of our most underappreciated performers and she always brings believability to reach role she takes while also elevating the material accordingly shes saddled with whole scenes that are nothing but expository dialogue and makes them feel effortless while also selling the paternal relationship with jia  the human element gets a boost this time around though thanks to trapper dan stevens reuniting with wingard from the guest a walltowall banger stevens is having an absolute blast here playing  and i shit you not  kongs veterinarian hes introduced by flying in on a giant orbital platform to yank a rotten tooth from the ape  while i still think the human characters often feel like set dressing or a secondary thought wingard is doing his best to provide them with as much engaging material as possible it also helps that stevens hall henry and hottle are the only human leads streamlining the cast down from the last film does give these plots a bit more weight that other monsterverse films havent quite had  while it is all easy to follow it is all a little nonsensical at times i did feel the setup to get kong and godzilla was a little more forced this time around what about you how do you feel the big guns fare this time jl while im a big supporter of the human parts of these movies because of my lifelong fandom of godzilla films and seeing them all multiple times its how they handle the titans which while i enjoy is showing cracks in the monsterverse overall narrative these folks want to make another kong movie but kong or as he continues in this film from the last  kong mcclane will never be as big of a draw as godzilla kong has the heroic journey and arc and for most of it you can see the influence of the modern planet of the apes film on this version of kong his life in the hollow earth is explored from his making of traps to deal with threats his daily life of taking showers and even having to go to the dentist  kongs journey with jias story as a companion piece to push along the story is a lot of fun to watch yet then we get to godzilla whos used like how batman and wolverine were in the 90s crossover superhero comics hes seasoning at best godzilla knows everything and he knows whats going on even as others dont and it doesnt change how he operates in the world his little segments are more or less getting his power up to destroy the final threat that actually to godzilla isnt a threat at all its tuesday a lateday meeting at work its just an annoyance yet godzilla looked amazing in this movie after the film we chatted briefly about the effects and animation of this movie and just how consistent they are with this franchise what stood out to you on how it looks cinematically wg wingards style is pretty dynamic by nature so the camera is fluid with its movements our screening was in imax and the film definitely takes advantage of the format in a satisfying way i think some of the visual effects lose their luster when rendered against the human characters but kong and godzilla look the best they ever have shoutout to the motion capture performers behind them especially kong who do such an incredible job of making each monster feel lifelike your point about kong mcclane is so fitting hes a grizzled old vet at this point and the performance conveys that accordingly  the film is also awash in plenty of vibrant hues from hollow earths interiors to godzillas magenta glow once he goes super syain rose we rightfully knock some modernday blockbusters for looking bland or boring but thats hardly the case here  any other closing thoughts here i think were big fans of how fun this feels even with some issues with the plot im a big fan of the genre for its simplicity what you want is what you get and new empire absolutely delivers in this regard  jl godzilla x kong the new empire is a movie made for me it was enjoyable and worked well as a bigscale movie theater experience it works on cartoonstyle levels of powerups and mech armor and tag team battles all over the world yet i feel its great that we have these different choices and styles for tokusatsu filmmaking you can have a deeply emotional realworld eventresponding film like minus one and you can have the showa and millennium eras influenced godzilla movie that also does right by the history of king kong i hope others just give themselves a chance to enjoy themselves and accept it for what its trying to be we have cool air vehicles and a giant orangutan doing ape capoeira while using a whip made from a spine it feels like godzilla fights something new every 20 minutes we are living in good toku times william and im just basking in it
