Dates,Scores,Reviews
Apr 12 2024,positive,love the story amazing the acting is great too i fell in love with claire forlani in this movie
Mar 12 2024,positive,despite all the negatives anthony brad and claire and so many good points in the show make this a movie i love yes the flaws are there but the positives keep it sooo good
Feb 18 2024,positive,brilliant story and fantastic acting
Feb 17 2024,positive,i love this movie so much the story is amazing the music is beautiful and well i just love everything about it
Feb 12 2024,positive,people say its long and yeah i guess it is but i kinda like its pace parts of it remind me of a happier kinder version of succession but with good people rather than evil self centered people i liked brad pitts performance because there are times when hes super weird and awkward and aloof which makes sense for his character and times where he really dials into some intense moments of competence and i like the range of that character in general anthony is great the story is romantic but also kind of a refreshing and non depressing take on death     critics hated it but whatever if its too long for you watch it in hour slots like episodes of whatever hour long show youre used to binge watching
Feb 10 2024,positive,one of the best films ive ever watched   sooooo lovely marvelous  fucking hell best story best romance best quotes best writing best actors fun and funny sad and tragically beautiful love and happiness tax and death super lovely and beautiful compare to everyone i didnt want the film to end my heart couldnt it was super fun to watch    1010  peak writing and perfect time to produce such film   just wonderfully awesome    its going to seat on the top with interstellar as my all time favorites
Feb 8 2024,negative,without the superb once again hopkins it would have been 0 stars
Feb 7 2024,positive,three straight hours of an autistic man edging five stars
Jan 22 2024,positive,wonderful movie so sad that its take 24 years to know this movie its healing my soul alot
Jan 22 2024,negative,too long too noisy background music too soppy nice photography  never again
Jan 9 2024,positive,setting aside for a moment the runtime for this motion picture which clocked in at around three hours i can dismiss that if i liked the subject matter the acting the plot and all of those things that would make for an interesting review    sue instead of wasting any additional time as was already spent on the movies length as mentioned let me cut to the if you had a very large bag of popcorn at home when you rented this thing there really was a lot to enjoy if time simply wasnt an issue anthony hopkins acting was topnotch as usual so wonderful was it that he singlehandedly held this film up and a large thumb up for claire forlani who is gestures are an absolute delight i completely fell in love with her eye movements and her performance seemed genuine to me a number of others that should also be mentioned in the positive column are the contributions of jake weber in the role of drew a sniffling sneaky individual doing the dirty deed of destroying the company for which he worked and which anthony hopkins ran as ceo in the role of a weasel you really cant ask for anything better then there is the contribution of jeffrey tambor in the role of quince who does a lovely job as a soninlaw to anthony hopkins and a contributing member of hopkins company in which he in advertently creates a situation that helps bring the company down something that he owns up to towards the end of the film an incredibly likable character who is just wonderful to watch i have to say at this point although its a very small detail how do you get to be a topnotch actor and have a missing tooth on the upper right hand hand side thats clearly visible i mean the guy doesnt make enough money to get a crown or an implant  that really is important because its very annoying because you cant stop looking at it every time he smiles ffs    and now for the elephant in the room i havent said anything about brad pitt when wouldve thought that along with hopkins i shouldve mentioned him immediately but i cant  i can only label that performance says grim brad pitt himself even tore his roller apart saying that he tanked it and that someone else couldve done it much better agreed but here unlike many critics who would seek to tear them completely to shreds i disagree with their assessments to a certain degree he plays the role of death so tell me how death is supposed to be played he has entered the body of brad pitt a character who earlier in this motion picture was killed in a terrible car accident so he can spend a little time on earth getting to know a bit more about it and habitants which eventually leads in the fall in love with susan aka claire forlani i thought the role well not dramatic certainly is very interesting in that he is attempting to adjust himself as a human being apparently quite difficult to do and understandably so as he seems to have never  placed himself in this kind of situation so theres a lot of bumbling and stumbling in a development for peanut butter that adds a bit of lightness and humor to this otherwise fairly dramatic film after all hopkins is going to die we know this very early on theres no escaping it but how does death interact with hopkins final days and how does he deal being in love for the first time i thought pitt actually handled i thought it was a brilliant movie that very well its clearly a difficult world to play and i thought this understated admittedly grossly so performance is justified i can only say that the few moments of drama that he had at his disposal he clearly couldve done more in those scenes otherwise i have no complaints his acting simply wasnt bad enough to distract from a very enjoyable movie a movie i might have that has some very interesting things to say about life the philosophy of life and living and how we deal with the end time very difficult subjects handled appropriately with a fair degree of lightness thats something also difficult to pull off i thought the screen writing was fairly brilliant    i should point out that the movie score for this film by thomas newman is among his best works and did in fact receive critical acclaim    i just cant hammer this movie like so many other critics have and ive stated my reasons and im sticking to them there are flaws and pitt couldve done more with the role but im going to take it easy on him for reasons ive mentioned critics have been too hard on him for that role and he was too hard on himself    as to whether anyone should rent this film thats 100 for me just be prepared to stake out some significant time but if youre relaxing youve got nothing else to do and as i said youve got your popcorn and maybe some wine and you perhaps have a loved one to be with there are worse things you could do with that three hours a lot of worse kick   back and enjoy
Dec 22 2023,positive,perfect casting for all the main characters fascinating story  and unusually the film takes its time to let the story unfold  a classic
Dec 14 2023,positive,while everyone spends their holidays watching love actually and home alone and the holiday i spend december watching this movie every year its my favourite romantic movie i also feel this is one of brad pitts most underrated films if you want to know what love truly is this should be the film you should watch happy holidays
Dec 11 2023,positive,amazing movie if all rich people understood about doing right things like bill we would not have terrible moral like we have now
Nov 16 2023,positive,outstanding listen carefully and you will hear many great lines that you can keep with you always
Oct 21 2023,positive,just an all round great film it has enough pathos and storyline to keep going super cast plenty of fun
Oct 14 2023,negative,too slow too dreamy
Sep 13 2023,positive,one of my fav fav fav movies ever its so romantic and beautiful  brad pit looks like an actual angel  thank you for loving me 
Sep 9 2023,positive,i watched this movie for the first time in 2011 i found it to be enjoyable and sad upon a rewatch the movie is so much better than i remembered it being the acting is great on all parts which is what could make or break this film yes it is a long movie but worth it
Aug 14 2023,positive,can be a little boring at times but overall pretty good movie
Jul 26 2023,positive,i love this movie anthony hopkins is perfect
Jul 11 2023,negative,the ending was such a disappointment its like they resolved to end it in the most bland limp way they could great premise ruined by a blah ending
Jul 2 2023,positive,a perfect movie perfectly acted the script is pure poetry for the heart 
Jun 2 2023,positive,this is possibly my favorite movie of all time
May 25 2023,positive,must see beautiful heartfelt and make you ask what if claire forlani playing her character beautifully the the music will make you cry i guarantee you
May 22 2023,positive,absolutely fabulous brad is amazing as well as anthony snd the whole cast kept my attention the whole way through seen it many times love it more every time
May 17 2023,positive,what a surprise i had low expectations when i started meet joe black perhaps it was because of the 3hour runtime but i was expecting a convoluted and boring mess of a film the exact opposite was true for me i was continually transfixed by the story and glued to the screen for the full duration the concept of having death learn about the subtle wonders of life was beautiful and compelling    the script was wellwritten though slightly melodramatic at times the performances were excellent and i finally saw the brilliance of anthony hopkins he brought a quiet confidence and sense of acceptance to the role his relationship with the other characters especially susan had an emotional pull that brought me in on top of it all this score is one of my favorites in recent memory other than a few quirky moments in the first act the music was a powerful reminder of the depth of the story    one of my favorite elements of this film was the use of silence the runtime allowed the audience to experience stillness usually brushed past in the average film nothing felt rushed everything was calculated and you leave remembering that nothing is as certain as death and taxes
May 16 2023,negative,its terrible very slow and boring dont wast your time
May 8 2023,positive,if you would indulge me  evie and i watched this film 12 years ago a few months after we met we loved it funny poignant and the way one should feel about finding the one you love and how you should treat each other that was us at the beginning joe black came to visit her last september 5th she went with him with dignity and grace she was at her very best at the worst time for her i loved her every minute after i told her and she loved me watching it again by myself just cemented the fact that we did it right   its hard to let go isnt it yes it is well thats life   to the ones who found it hard to sit the running length i say maybe you havent loved like that   thanks for sticking it out with me until here enjoy the film
Feb 28 2023,positive,fucking masterpiece both movie and music
Feb 14 2023,positive,the 3 hours just flew by love it
Jan 12 2023,positive,could easily be an 810 if it was a 2 hours long movie cut out the big amount of scenes that we really dont need and you got one of the best scripts i ever saw its too slow sometimes scenes take too much to end that ending it could end after the walk that joe and bill had and it would have been much better but then the guy from the cafe came back from life and bla bla bla the writing is beautiful except when it isnt great casting great score but overall a good movie gonna eat some peanut butter now goodbye 610
Jan 11 2023,positive,yes it may be too long for todays film audience yes its a lots of what the rt critics have too say but theres something about it that is very moving powerful  fulfilling that even a 60 year old skinhead punk cries at the end
Jan 1 2023,positive,an interesting personification of death curious how even death struggles with desires as a human biggest takeaway is that death is what makes the people we love and the moments we experience that much more special and precious because time is fleeting also claire forlani is hot
Dec 22 2022,positive,personally i think this was some very pleasant acting facial closeups were very good i dont care how long it is it was fun
Dec 21 2022,positive,okay the whole thing is preposterous but it is a romantic fantasy with some fine acting and a lead actress so watchable she doesnt need to say anything
Dec 21 2022,positive,excellent and enjoyable movie the plot is intriguing twisting and characterful most scenes are expertly executed however the occasional performance prevents the movie from obtaining a higher score
Nov 6 2022,negative,i absolutely could not stand susans strange facial expressions through the entire show as if she was trying to emulate a very shy 8yearold girl it was bizarre and i guess the writers had no clue how to end a movie made no sense whatsoever the only saving grace of course was the brad pitt eye candy
Nov 5 2022,positive,how dare the professional critics give this film a 44 approval rating this is one of the finest films ive ever seen  on many different levels and believe me  ive seen many thousands of films all actors here offer brilliant portrayals  with pitt showing what a class talent he is as he deftly portrays three different characters including the obeah hospital scene where he conjures up an excellent jamaican accent and attitude the film is long  but its also long in beauty and content kudos especially to claire forlani for her wonderful characterization as susan  joes love interest    just watching it leaves the viewer with a beautiful and warm inner contentment
Oct 4 2022,negative,this sucked from the script to the overacting by anthony hopkins the lack of chemistry the horrible plot line  this was so bad i hate that i wasted these hours of my life watching this crap and what the hell was the thought that brad pitt doing a horrendous imitation of a jamaican patois even the black  actors couldnt pull it off  why couldnt he just speak to them in his regular voice so racist  the female lead is so unforgettable and just overall terrible acting why did they want anthony hopkins to scream so much in this
Oct 1 2022,negative,oh gosh easily in the top ten of terrible movies with established actors  long and tedious surprising only in that it just gets worse as it stumbles along  and i had to wear sunglasses to shield my eyes from mr pitts hair color  hard to believe its the same mr pitt in once upon a timein hollywood  an excellent movie  as with everything i suppose one gets better with experience  the director mr brest has done some very good work before and after meet joe black  makes one wonder how good people come together to make such a bad movie  writing  editing  undue influence from the people holding the money
