Dates,Scores,Reviews
Jan 17 2024,negative, some messages on not settling when searching for true love even if said true love happens to be the grim reaper reflections on mortality on trying to live a good and honest life bill refuses to sell his media company to a greedy corporation even if it would make him even richer as he extols the virtues of honest and straightforward news reporting theres a subplot concerning an elderly jamaican woman dying in a hospital who recognizes joe black as the grim reaper leading to discussions in which he breaks into a terrible jamaican accent no racial or ethnic diversity otherwise parents need to know that meet joe black is a 1998 romantic fantasy movie in which brad pitt plays death a man is struck and killed by a bus and a car while standing in the middle of an intersection in new york city some language including fk st ahole ass son of a bitch goddamn damn and hell a sex scene contains no nudity some talk about sex cocktail and wine drinking theres a subplot concerning an elderly jamaican woman dying in a hospital who recognizes joe black as the grim reaper leading to discussions in which he breaks into a terrible jamaican accent to stay in the loop on more movies like this you can sign up for weekly family movie night emails in meet joe black bill parrish anthony hopkins is a successful media mogul who is about to celebrate his 65th birthday in grand style meanwhile his daughter susan claire forlani is a med student who has seemingly met mr right brad pitt in a coffee shop while on her way to work but after they part ways it seems that they will never see each other again little does susan know that the man she just met is about to be hit and killed while standing in an intersection but that night he appears as a dinner guest of her fathers this guest had first appeared to bill as a voice in his head but it doesnt take long for bill to realize that this voice and this man is none other than death who has taken on the body of the man who was struck and killed in traffic and death has come to take bill away meanwhile susan thinks its the guy she met at the coffee shop and death decides that he wants to go by joe black and hang around for a while and learn about life from bill love from susan and the joys of eating peanut butter from a spoon from bills hired help as bills time for departure looms ever closer he must fend off a hostile takeover of his company from susans former fiancé as joedeath begins to feel an increasing attraction to susan a gimmicky premise is made even worse by iffy acting hilariously bad dialogue and a slow pace not even the acting chops of anthony hopkins can rescue meet joe black a movie that lumbers along back and forth between some sort of romantic dramedy and reflections on life and death and what does it all mean anyway brad pitts performance is a real headscratcher why is death such a spacedout wideeyed goof who develops a fondness for peanut butter and there were many layers of bad decisions that led to pitt engaging in a cringey irie mon accent when death meets a dying elderly jamaican woman in the hospital where his love interest works its three hours long at least one hour too long for this kind of schlock families can talk about how death is portrayed in meet joe black how is it considered to be ironic to have an actor like brad pitt playing this role common sense medias unbiased ratings are created by expert reviewers and arent influenced by the products creators or by any of our funders affiliates or partners common sense is the nations leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information education and independent voice they need to thrive in the 21st century
Mar 28 2023,positive,a glossy but overlong update of mitchell leisens 1934 comedy death takes a holiday 
Dec 20 2022,positive, nothing like a movie with a good lore behind it like the stories behind the story of the room i finally succumbed to watching meet joe black  director martin brests 3 hour dramafantasyromance from 1998 browsing through twitter i came across the absolutely bizarre car accident scene with a 30something brad bitt and claire forlani rather than lean on cgi crew molded a dummy from pitts body that in one take  actually crashed through the windshield inches from a stunt drivers head  like a lunar eclipse the wild scene makes the rounds every now and then to be discovered by a new generation from those images you cant help but be seduced into watching the whole marathon melodrama the film itself was a flop with a 90 million production budget that grossed only 44 million in the states but thanks to brad pitt pingponging off two cars on a manhattan street meet joe black has become something of a cult classic in recent years it currently has a 72 rating on imdb the film plods along from the very first shots inside media mogul bill parrishs anthony hopkins gilded ageseeming bedroom is he rockefeller charles foster kane on the cusp of a milestone birthday bill is slowly dying but its not enough to show him waking up in the dead of night clasping his heart once we come back to it a second time and then a third and a fourth as he lies wide awake hes sick by golly and this is the note the film must strike bill is a wealthy man but also a decent family man he has two daughters allison marcia gay harden who often manages her fathers affairs in the hopes that she will be loved in the same way her younger sister susan claire forlani is bill and susan fly into manhattan together where she works as a doctor in another plodding scene bill gives a monologue about how susan shouldnt settle for a guy who only kind of makes her excited that poor middling guy just so happens to be a parrish communications board member drew jake weber who comes to regular family dinner to be with susan and also wants more power within the company  before work susan hangs out in a cafe where she meets a man brad pitt new to the big city who immediately sweeps her off her feet  so much so that when they part ways they still keep looking back always missing each others glance the moment is mined for every morsel of drama even though were at a point in the story when were not much invested in characters we barely know its a bad choice cinematically you could say but then theres the twist of seemingly killing off prime brad pitt 20 minutes into movie in almost comedic fashion only for him to be resurrected as deathjoe black  but rather than a spoof of your typical predictable rom com id argue that meet joe black considers itself a more refined version of the romantic genre i havent watched a movie with subtitles all the way through in a long time but when death arrives at the parrish mansion and starts haunting bill in his library i could barely make out most of those lines the basic premise is that death is here to take sickly bill but for some reason wants to experience life on earth for a little so as long as a wellconnected bill can show him around the billionaire will be granted a few more days on earth soon death or joe black as hes called is following bill around to family dinners and company boardrooms alike susan recognizes his image but also feels that something is off with this guy after all instead of eating a 5 course meal like a normal creature he prefers even finer dining  a jar of peanut butter and a spoon eventually susan starts to take a liking to joe and in a wild scene takes his virginity by the pool that was like making love with someone making love for the first time she swoons but just like the car accident scene its not anyone who is being portrayed as a neophyte but brad pitt another viral moment involves a subplot at susans hospital with an elderly jamaican woman she rolls into the hospital with her daughter and immediately is chilled by joe to the worlds surprise pitt puts on his best jamaican patois accent and starts to develop a friendship with this woman eventually ending her suffering it is here where the films thematic messages shine brightest though i cant help but wonder if this entire scenario is yet another magical negro trope with a twist as a titan of industry bill is also trying to get his affairs in order and protect his company and legacy from being swallowed up by a conglomerate here bill is hoping to avoid another kind of death and in the final hour joe tries to figure out a way to be with susan while bill resigned to his death wants to protect his daughters and his legacy  this movie should probably be funnier than it is but for some reason has a habit of taking itself far too seriously in spots  leading to a lot of unintended comedy a la that tommy wiseau masterpiece still the story of social media rediscovery starts to make you wonder if the very way viewers first come across a film influences our perception and experience of it or if a conventional movie trailer still sells a movie better than a patchwork collection of clips on twitter or tiktok curated by popular demand fittingly a film once left dead in the streets lives on 
Oct 26 2020,positive, why you can trust gamesradar    our experts review games movies and tech over countless hours so you can choose the best for you find out more about our reviews policy director martin brest took his inspiration for meet joe black from the 1934 film death takes a holiday that was a comedy but brest needed a story that touched on something deeper hence what was originally touted as a romcom unfolds as a much more sincere drama before its release meet joe black had already been condemned as the most expensive romance ever made costing over 100 million and thats for a movie with few special effects death may well be a very ordinary character with no obvious special powers but parrish on the other hand is a millionaire with a millionaires lifestyle wardrobe and lavish birthday party to attend every detail of his life is perfectly realised on screen specially designed furniture ornaments clothes etc and to create a millionaires lifestyle you evidently have to spend a millionaires budget the money however isnt the issue no one minds how much is spent if the end product is fantastic the issue here is the running time meet joe black is not bad its superbly acted by the three leads while the relationship between anthony hopkins struggling to deal with the knowledge of his death and claire forlani who gradually begins to suspect the strangers motive is particularly well handled it looks sumptuous too bathed in autumn colours as light and life creep into deaths existence and to top it off this morbid love story also has a compelling central storyline as well as a subplot about the fate of parrishs media empire but what it has more than anything else is a bumnumbing threehour running time with its epic nature titanic got away with it meet joe black does not at the beginning parrish delivers a long speech about the nature of life and love his distracted daughter looks at him and says give it to me again but the short version someone should have said that to brest he could have cut a few speeches he could have lost a very uncomfortable sex scene between joe black and susan would they make death babies he should certainly have sliced out some uneven playing from the support who seem to think theyre in a different kind of movie to the central protagonists these elements wouldnt have been missed we could also have gone without pitts astonishing jamaican accent used for dramatic effect when a caribbean woman recognises joe black for what he is not to mention the very unconvincing explanation of how although hes in one place he can still kill people all over the world the audience would have survived the best bits of meet joe black are contained in the first halfhour and the last and are worthwhile the beginning is intriguing the end tearful especially as susan wordlessly begins to realise the fate of her father to those who have lost a relative recently these scenes in particular are teary and painful but they would have had so much more impact without a thumbtwiddling seatshifting middlesection not bad just not as good as it could have been had the editor been allowed to hack an hour or so off the running time thankfully however the classy performances from pitt forlani and hopkins make meet joe black worthwhile but only just the total film team are made up of the finest minds in all of film journalism they are editor jane crowther deputy editor matt maytum reviews ed matthew leyland news editor jordan farley and online editor emily murray expect exclusive news reviews features and more from the team behind the smarter movie magazine 
Oct 26 2020,positive, a businessman is visited by an otherworldly presence who has the nerve to fall in love with his daughter in this savory extralong feature 1998 whose obvious plotlines unfold with an almost painful slowness that somehow makes them deeper the potentially doomed romance between susan claire forlani and joe brad pitt achieving the unimaginable with a convincing portrayal of a sexually naive character is set in a deliberately ironic materialists dreamscapethe estate of susans fabulously wealthy father anthony hopkins who learns to appreciate whats truly important even as he decides which theatrically decadent dessert to serve at what may be his last birthday party martin brest directed a screenplay by ron osborn jeff reno kevin wade and bo goldman inspired by the 1934 movie death takes a holiday
Oct 26 2020,negative, to call the threehourlong meet joe black leaden would do an injustice to lead to call it phlegmatic is to dishonor phlegm to describe it as turgid does a disservice to honest turges everywhere only the hardestcore brad pitt fans will want to brave this static deflated entry into the screen angels sweepstakes if they insist on disregarding the best advice  dont go  then they should at least heed the following bring adequate lumbar support and gallons of coffee not to mention a box of kleenex because rest assured tears will be jerked meet joe black which is loosely suggested by the play death takes a holiday later turned into the 1934 movie starring fredric march revolves not around pitts character but a business tycoon named bill parrish anthony hopkins parrish spills more money in a day than most people will earn in a lifetime but hes just not happy about to turn 65 hes nagged by a mysterious pain in his left arm the onset of which is accompanied by a mysterious voice heart attack stroke worse bill doesnt know because he doesnt bother to see a doctor to find out which is strange because one of this daughters the beautiful susan claire forlani is a medical resident whos constantly hanging around his manhattan penthouse taking dips in the pool and wafting around the artstrewn corridors she isnt exactly the hardestworking doctor in show business after endless scenes of helicopter rides and dinners and people talking to each other the mysterious voice finally makes its identity known and its presence seen enter the aggressively blonded pitt as death who arrives not to speed things up but to take a break from all that reaping a deal is made as long as bill can keep him entertained death will spare his life an arrangement that could add entire weeks to the older mans life he installs himself at bills side living at the penthouse going to the office sitting in on board meetings and oh yes falling in love with the comely susan who is a tad confused by this handsome strangers behavior you can imagine the cosmo quiz your boyfriend is moody and disappears for unexplained periods of time hes a on crack b married c the angel of death brad pitt who really should listen when his mother tells him to get that hair out of his eyes may well be a very fine actor but not in meet joe black in which the shaggy heartthrob seems to have researched his role  an odd semaphore of stilted speech robotic movement and bobbing head  by observing street mimes and dashboard dolls still pitt cannot be faulted for meet joe black this interminable exercise in noncinema should be laid at the door of director martin brest who has inexplicably orchestrated the movie as a series of long dull scenes we get lots of board meetings and corporate backstabbing and literate speeches the words suborn imprimatur machinations and machiavellian popped up in a single scene indeed the most visceral moment of meet joe black is the shocking sight of a muchloved character being hit by a car and tossed into the air a scene that should be approached by pitts younger fans with extreme caution only an actor of hopkins caliber could wrest a modicum of human feeling from the blurry character hes been handed and against all odds he does lending meet joe black an acuity and verve that the movie doesnt deserve marcia gay harden as his other daughter has some touching moments too
Oct 26 2020,negative,ive never encountered such dramatic flatulence never heard so many pregnant silences that dont deliver never watched so many closeups that graze on actors faces until every last trace of expression has been devoured
Oct 26 2020,negative,martin brests weepie is nicely played but overlong  especially considering the original zipped by in under 80 minutes
Oct 26 2020,negative,   when the true identity of peter cushing is revealed in dr terrors house of horrors this ordinarylooking passenger in the corner seat of a train compartment is suddenly transformed into the grim reaper of popular imagination the one truly memorable personification of death in a modern setting is the alluring princess played by maria casares in cocteaus orpheé  so the opulent meet joe black in which brad pitt impersonates death is something of a rarity its very loosely based on an italian play of the twenties that became a hollywood film in 1934 as death takes a holiday in that film fredric march as death disguises himself as a russian aristocrat and spends three days experiencing life on an italian noblemans estate and finding out why he incites such fear during his absence from duty no one in the world dies the movie lasted a mere 78 minutes less than half the length of the remake which might well have been called death takes a lengthy sabbatical   in meet joe black the emphasis shifts from the guest to the host from death to the multimillionaire business tycoon bill parrish anthony hopkins who on the eve of his sixtyfifth birthday has intimations of mortality in the form of internal voices and severe chest pains  on the way from his hudson river mansion to his manhattan office by helicopter the widowed bill warns his beloved daughter susan claire forlani that she should only marry his righthand man drew jake weber if she really loves him that morning in a coffee shop near the hospital where she is a doctor susan falls in love at first sight with a handsome young man played by brad pitt hes killed in an accident shortly after they part and his body is taken over by death who thereupon moves into the parrish household under the name joe black joe gives bill a reprieve until the mammoth sixtyfifth birthday bash his other daughter marcia gay harden is organising but he prevents anyone knowing his true identity  films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order kurosawas living is the classic instance but astonishingly for a rich man involved in the media bill has conducted himself impeccably there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   so the opulent meet joe black in which brad pitt impersonates death is something of a rarity its very loosely based on an italian play of the twenties that became a hollywood film in 1934 as death takes a holiday in that film fredric march as death disguises himself as a russian aristocrat and spends three days experiencing life on an italian noblemans estate and finding out why he incites such fear during his absence from duty no one in the world dies the movie lasted a mere 78 minutes less than half the length of the remake which might well have been called death takes a lengthy sabbatical   in meet joe black the emphasis shifts from the guest to the host from death to the multimillionaire business tycoon bill parrish anthony hopkins who on the eve of his sixtyfifth birthday has intimations of mortality in the form of internal voices and severe chest pains  on the way from his hudson river mansion to his manhattan office by helicopter the widowed bill warns his beloved daughter susan claire forlani that she should only marry his righthand man drew jake weber if she really loves him that morning in a coffee shop near the hospital where she is a doctor susan falls in love at first sight with a handsome young man played by brad pitt hes killed in an accident shortly after they part and his body is taken over by death who thereupon moves into the parrish household under the name joe black joe gives bill a reprieve until the mammoth sixtyfifth birthday bash his other daughter marcia gay harden is organising but he prevents anyone knowing his true identity  films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order kurosawas living is the classic instance but astonishingly for a rich man involved in the media bill has conducted himself impeccably there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   in meet joe black the emphasis shifts from the guest to the host from death to the multimillionaire business tycoon bill parrish anthony hopkins who on the eve of his sixtyfifth birthday has intimations of mortality in the form of internal voices and severe chest pains  on the way from his hudson river mansion to his manhattan office by helicopter the widowed bill warns his beloved daughter susan claire forlani that she should only marry his righthand man drew jake weber if she really loves him that morning in a coffee shop near the hospital where she is a doctor susan falls in love at first sight with a handsome young man played by brad pitt hes killed in an accident shortly after they part and his body is taken over by death who thereupon moves into the parrish household under the name joe black joe gives bill a reprieve until the mammoth sixtyfifth birthday bash his other daughter marcia gay harden is organising but he prevents anyone knowing his true identity  films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order kurosawas living is the classic instance but astonishingly for a rich man involved in the media bill has conducted himself impeccably there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   on the way from his hudson river mansion to his manhattan office by helicopter the widowed bill warns his beloved daughter susan claire forlani that she should only marry his righthand man drew jake weber if she really loves him that morning in a coffee shop near the hospital where she is a doctor susan falls in love at first sight with a handsome young man played by brad pitt hes killed in an accident shortly after they part and his body is taken over by death who thereupon moves into the parrish household under the name joe black joe gives bill a reprieve until the mammoth sixtyfifth birthday bash his other daughter marcia gay harden is organising but he prevents anyone knowing his true identity  films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order kurosawas living is the classic instance but astonishingly for a rich man involved in the media bill has conducted himself impeccably there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   films in which people become aware of their impending death normally involve remorse over past sins and attempts to put lives in order kurosawas living is the classic instance but astonishingly for a rich man involved in the media bill has conducted himself impeccably there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death there is not a stain on his private or professional life in fact his only remaining task is to preserve the integrity of the communications empire hes created by preventing the duplicitous drew from merging it with the corporation of an unprincipled rival death in fact could hardly have found someone better prepared to go into that good night he thus has more quality time to spend with susan who loves him not as death but as a mysterious stranger  in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   in the seventh seal the knight holds death off by beating him at chess anthony hopkins gains his victory over brad pitt by sheer screen presence this isnt entirely pitts fault because the movies four screenwriters clearly dont know what to make of death and havent agreed on what precisely he is or what hes been doing with his time  from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   from his appearance and behaviour hes a narcissist fascinated by his own experiences but little interested in others apart from susan and bill hes never heard of peanut butter or cookies yet he can get around manhattan without a map he can pass himself off as an internal revenue investigator but has never heard the saying nothing is certain except death and taxes he knows he isnt gay but has to be taught the fundamentals of sex which suggests he wasnt on duty when nelson rockefeller or john garfield died  none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   none of this would matter if the director martin brest hadnt provided so many longueurs in which we might contemplate the films hollowness and contradictions one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death one tedious sentimental drawn out scene gives way to another and death does seem to be having dominion over us the flaccid climactic birthday party for instance is nearly as long as the ball sequence in viscontis the leopard and is the sort of thing that gives hubris a bad name  the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death   the result is that a potentially charming fantasy becomes a grave funereal work though i suppose that grave and funereal are the qualities traditionally associated with death
Oct 26 2020,negative,pitt who is not asked to do much more here than behave alternately like a robot a bashful boy and a moron fulfills his modest tasks with aplomb when he has to act though he fares less well
