Dates,Scores,Reviews
Apr 14 2024,positive,the animation voice acting and everything else despite its mixed reception i regard it as one of my top favorites of my 2023 movies all of the voice actors including charles martinet should be what 21st century animation voice actors be like 
Apr 11 2024,positive,absoutley wonderfull movie the animation is cool the models are great and this movie is a total movie of 5 stars
Apr 10 2024,positive,this movie was pretty good in fact they add the mario kart stuff and it was amazing it dropped points because the pasting was so fast
Apr 9 2024,positive,this movie is 100 5 stars let me explain first off u have to be a mario fan to enjoy this movie for the most part but maybe some of u who dont even know what mario is will enjoy it but there are many references to the games which i love and will now talk about     this mario movie is probably one of the best movies to ever exist my family and i watched the movie yesterday as a family movie night and let me tell u boy we were blown away but how much from the games are included in this movie we loved the rainbow roads and lunas star how they are plumbers and how they got to customise there cars and the obstacles and how real they are to the game i wont keep going so i dont spoil too much but there are many more things we loved how there was a part from almost every game and the character traits onnn point and how close mario and luigi are in the movie is adorable     the song that was included about bowser songpeaches kind of ruined bowsers personality but it definitely made the audience laugh including myself and my family    one of the best things as well in this movie issssssss the animation omg it is so good now we watched it off a bad quality website but even so it was so good i wonder how good it would be in the theatres the colours as well we loved how bright the mushroom kingdom was and the quality of the colours was perfect    now for the plot the plot was kind of weak and a little boring but as a huge mario loverthat wouldnt really matter in a way because even though it was weak it still related to the game and is still coming of of the games plot which is amazing i cant describe how good this movie really is     my favourites though are the toads they are so fricking cute    anyways that is all i would definitely recommend this movie and for every person on this earth to go watch it i loved it in many ways that i cant describe 810 for sure   i am really looking forward for another movie with or without bowser but please the cast if there is going to be a second plz make sure it doesnt change the games and it would still have all the references to the games     thank you love the movie ever so much
Apr 8 2024,positive,i hate these stupid critics who cannot be watching the same film as everybody else like bro the literal blue shell was in the film also it is visually stunning and the best lineup of voice actors ever
Apr 8 2024,positive,kids loved it very thin plot but plenty of laughs and the excitement of seeing mario on the big screen saves it
Apr 7 2024,positive,as far as video game movies go this is one best it looks great acting is pretty good and it actually feels like mario game my only complaint is that luigi doesnt get that much screen time but at least he does something i the end
Apr 7 2024,positive,loved it took me right back to my first nintendo days i honestly think i loved it more than my kids characters were played perfectly but i wish yoshi was included more cant wait for the next one
Apr 6 2024,positive,a wonderful film i recommend it people
Apr 6 2024,positive,wow it was so cute it was sooooo nostalgic i love it
Apr 3 2024,positive,good movie improves on the 1900s movie a lot enjoyed looking for easter eggs for nintendo 455
Apr 2 2024,positive,it  is the best movie
Apr 2 2024,positive,the greatest video games movie ever made including all actor
Apr 1 2024,positive,i was very pleased with this version as mario fan any person who played games will be pleased with this version and jokes hidden stuff they have in movie fun to look for really like mario training at castle takes me back to nes game and donkey kong fight to game on nes as well good for mario fans i recommend this
Apr 1 2024,positive,i am a massive mario fan so thats already one thing thats gonna make me love this movie but oh my god this movie was so funny and awesome and the voice acting while questionable in some parts was incredible 8510
