Dates,Scores,Reviews
Dec 22 2023,neutral, ever since the success of lara croft tomb raider making 275 million at the box office back in 2001 it has felt that hollywood has realised that the gamers buck is one worth chasing the only issue during that time is that good movies based on video games have been incredibly difficult to make while some  like resident evil and unchartered seem to have one people over  there have been a myriad of lovers that have been universally caned for either not capturing the game properly or even just being a bad film with that in mind you have to consider that nintendos move to make the super mario bros movie is a pretty brave one on one hand you have one of the most popular video game franchises which should ensure an audience for the film but the other hand that means there are a lot of gamers out there expecting perfection from this film and they already had one false start with the woeful 1993 film adaption of the games which only manage to save face because it has slowly become a cult favourite over the years directed by the team that brought us the brilliant teen titans go to the movies  aaron horvath and michael jelenic  the super mario bros movie begins in new york with mario voiced by chris pratt  the guardians of the galaxy and luigi charlie day  the lego movie trying to set up their own plumbing business  despite everybody including their parents telling them they should give up on the dream when a major sewer emergency suddenly occurs mario leaps into action deciding that this is the moment where the brothers can prove their worth however instead they find themselves sucked down a supernatural pipe and find themselves in a strange new land however while mario finds himself in the beautiful kingdom ruled by princess peach anya taylorjoy  the witch luigi finds himself in the badlands and soon a prisoner of the evil bowser jack black  school of rock who is planning on world domination even if that means crushing everyone in his way there is a lot to like about the super mario bros movie it is bright it is flashy and it has some pretty decent action sequences mixed in with humour but the film does have an obvious weakness  it feels like it is aimed at a younger market which might make some of the older games who have grown up playing the mario bros games feel a little awkward in the cinema to be honest there is a lot more to like about this film than what there is to dislike the story although thin does hold up and the screenplay written by matthew fogel minions the rise of gru brings in some really important lessons for the younger audience members plots revolving around things like never giving up on your dreams and always being their for your friends are never a bad thing to have in a movie there are also plenty of laughs to be had throughout the movie especially once mario meets up with donkey kong seth rogen  superbad and to be honest it is the relationship between those two that holds the audiences interest once the action pieces begin to become a little mundane one of the things that matthew fogel does need to be congratulated about though is the fact that he turns the story around a little this could have easily have become the stereotypical mario and luigi are sent to rescue the damsel in distress plot but instead fogel reimagines that with luigi being the character in danger princess peach becoming a kickass heroine determined to not only rescue him but to save her kingdom  it is a nice touch that works well by now you have probably heard the buzz online about the voice cast attached to the film while chris pratt and charlie day may not have been the ideal choices to voice mario and luigi they do an okay job with what they have been given to work with the big winners though in that department are seth rogen and jack black rogen takes the character of donkey kong and runs with it  not only does he have fun with it but it feels like he totally becomes the muchloved character likewise it seems that jack black was given free reign with the character of bowser and the result is something kind of special  with some songs thrown in to make use of blacks musical talents as well  is the super mario bros movie a great film no is it worth going to see yes while it is obvious that the movie is aimed for the younger gamers out there those older members of the audience that have grown up playing the games all their lives will find enough easter eggs throughout the film to keep them happy but they may find themselves wishing there was a little more to the plot at times one hot tip though  make sure you stick around to after the credits because one of those easter eggs hints at something pretty special for the sequel
Dec 19 2023,negative,scientifically designed in a lab for the broadest possible appeal and the least offense that could possibly be made
Dec 8 2023,positive, there were a lot of animated films this year while that seems to be the case every year this past decade 2023 has a lot of bigname titles and despite having caught up with most of the nonhollywood titles nimona suzume etc i needed to catch those others elemental last week mario tmnt and wish this week and theres still the boy and the heron robot dreams the monkey king and chicken run dawn of the nugget to go add the liveaction screeners to that list and it really is impossible to see them all were less than two weeks from the gwnyfca vote so ill be focusing on englishlanguage most since the group doesnt generally watch many foreign films then ill pivot to the international oscar submission before the ofcs voting window that starts 1124 theres always a strategy the order of watching does matter i only hope that searchlight hits my inbox with poor things and a24 hits my mailbox with the iron claw soon both open buffalo on 1221  two days after the nominations cutoff it really is wild that a major hollywood studio and multibilliondollar toy company allowed something like barbie to be made the selfawareness and selfparodying on display is of the sort that would normally be quashed via legal jargon in whatever contract director greta gerwig had to sign before starting to write the script with noah baumbach if that doesnt show you the power of sitting at the table whether it comes to box office take or oscar nominations i dont know what will gerwig took her clout and turned it into that rare productplacement tiein that actually has something valuable to say dont call the result a message movie though it never stands on a soapbox or demeans one side in order to champion another id honestly argue it could have done a lot more to skewer mattel executives with purpose rather than merely jokes it simply allows its characters to naturally evolve by way of providing necessary conflict because none of these dolls have ever faced that sort of existential crisis before theyve all maintained their pristine utopian forms in barbieland as they were passed from child to child so their innocence could become a personality trait so throwing a curveball like depression or fallibility proves to be a monumental adjustment youre going from zero a record loop of routine complacency to sixty questioning the very fabric of your reality in an instant no wonder it throws barbie margot robbie off enough that her body chemistry shifts give a perfect imaginary ideal a whiff of the cesspool that is human biology and everything falls apart because it also falls apart that fast for us one setback can spiral into years of torment that yoyoing ruins lives because we crave normalcy to start over to realize weve never actually begun thats too daunting to even consider whats ingenious about gerwig and baumbachs story say what you will about the whole but you cannot deny the best part of barbie outside its immaculate production design is its script is that they kill two birds with one stone via their conceit not only is the idea of barbieland being a literal manifestation of a childs imagination allow them to dig into a barbies potential to empower connecting each doll to the many youngsters who have indelible memories of them but it lets them comment on the ways in which the toys reductive nature in a patriarchal capitalistic world is problematic for those gains too barbie awakens to the fear and anxieties of being a woman in a mans world just as ken ryan gosling opens his eyes to the possibilities of having autonomy after a lifetime of always being relegated as the plusone we begin to see that neither end of the spectrum is perfect although we should all be able to agree that barbieland is much closer and that the real lesson is realizing empathy and originality is key and that its not always external forces that delude us into thinking conformity is better oftentimes our worst enemy in that regard is ourselves can dolls made real who bring back what they learned to their fictional existence teach that lesson alone no they get halfway with some wonderfully witty humor capped off by memorable turns from michael cera as allan and kate mckinnon as weird barbie but we need someone on the other side to complement and bolster that journey enter sasha ariana greenblatt and her mother gloria america ferreratwo women fighting for their place in a world that treats them like second class citizens two women who can educate the barbies about reality and reclaim a bit of magic by remembering what it means to dream the result is inspiring its also heartbreaking yes ferreras monologue is that good and hopefully turns her into a dark horse oscar pick for all the great things robbie and gosling are doing on a comedic level of committing to the bit their brilliance lies in the ability to also bring pathos to a narrative that never shies away from the complicated nature of listening to understanding and ultimately accepting anothers lived experience and desires because we all deserve to exist as our own person outside the shadows of utility ownership or conditions we all deserve the opportunity to love ourselves and have that be enough for those who dont understand that the walking dead is about the living monsters rather than the undead ones director taehwa eom and cowriter lee shinjis concrete utopia might be able to drive the point home why because the living monsters are the only ones available in their webtoon adaptation kim soongnyungs pleasant bullying the horde of murderous outsiders looking to take over apartment complex delegate yeongtaks lee byunghun home arent zombies theyre desperate men and women just like those inside the walls they simply werent lucky enough to reside within the only building spared from an apocalyptic earthquake so is it really a utopia or a fortress under siege are the inhabitants worthy of the comfort and security fate let them retain while the rest of the city freezes amidst the rubble or are they tyrants monopolizing their fortune and using delusions of grandeur as the chosen to steal and kill with impunity it truly is the same central question behind robert kirkman tony moore and charlie adlards comic books is rick grimes really any different than the governor or negan or whomever else his band of survivors happen across or is he merely benefiting from his position as our protagonist eom and lee deliver the end of days for these koreans and let us watch whether compassion or greed rules the day the residents coexist with the outsiders soon to devolve into the label cockroaches at first not necessarily by choice since they storm the doors out of necessity for shelter but well enough to be civil until a food shortage starts turning everyone feral suddenly its us vs them a residentonly meeting is called to vote on what to do and yeongtak becomes their unanimous leader after selflessly running into a fire to protect them all cue the inevitable evictions what follows is the usual chaos this archetype produces it didnt quite mark me as effectively as highrise or aniara but its slow descent into hell as tensions and betrayals mount is effective credit the de facto leads in minsung park seojoon and myunghwa park boyoung as a young couple that isnt quite as easily swayed to the side of cutthroat tyranny as most shes a nurse who wants to help from the beginning he doesnt but his conscience stays intact to ensure his many mistakes supply sufficient guilt will they be able to stop this outofcontrol locomotive once it gets going i wont spoil things by answering that question just know concrete utopia doesnt shy from the dark depravity we know the actions of ordinary people in such extraordinary circumstances will reach not that this choice isnt without complexity though eom and lee dont have a season or more to play with the duality of violent good and violent evil via separate factions with character development so they portray it through one man yeongtak lee byunghun is up to the task hes a very determined and very impassioned leader with a strong personality hiding his secrets hes hero and destroyer both how the film plays that conflict out isnt surprising in its overall arc or demand that we question whether loyalty and protection negates the opportunism and deceit that allows it to flourish the specific things that occur however can be quite shocking theres one moment towards the end that made me gasp as loudly as myunghwa despite being totally in character and believable in the moment you dont want to accept it you still want to give these people the benefit of the doubt because youd hope others would give it to you in the same situation sadly it doesnt take a long time looking outside the window onto our own turbulent reality to admit that these days the benefit of the doubt is a luxury few if any deserve despite the very sharp turn towards dissent that caused me to forget to even put gareth edwards the creator on my watchlist i found the film to be both exciting and affecting my favorite science fiction works are those that mine down from their high concept conceit to provide characterbased drama instead so where you might think this is a story about war between humans and ai its actually a potential redemption arc for a man who lost everything as a result of his fealty to a government wielding fear as a means to control its citizenry joshua john david washington had a choice though while the events of the prologue quick hits of humanity creating ai ai evolving into humanlike simulants and the inevitable rubicon crossing that was a nuclear blast in los angeles inspire him to fight for his species years undercover gave him an out tasked to follow maya gemma chan daughter of the socalled nirmata or creator of new asias free race of simulants joshua falls in love the two marry maya becomes pregnant and it seems all is well until an unprovoked attack reveals hes been playing both sides cue tragedy pain regret edwards and cowriter chris weitz flashforward five years to find joshua broken and alone when the real plot begins the us army led by allison janneys howell and ralph inesons andrews still wants to find the nirmatanow more than ever since intel says hes created a weapon that will give simulants an unequivocal victory so they recruit joshua to lead the mission back to his old stomping grounds they promise him he might even be able to reclaim what he lost what none of them could guess however is that hell actually get the opportunity to find even more how via a young simulant girl madeleine yuna voyless alphie the us calls her a weapon his old new asian allies including ken watanabes harun call her their savior joshua simply sees a means to an enda way to find maya again whether or not its just because shes a child his old rhetoric about simulants being programming gradually fades he feels something for her maybe its pity at first but it blossoms into respect and perhaps even acceptance because her innocence somehow renders her real in his eyes and watching humans try to kill her renders them into the monsters theyve always been the result is thus less about the dangers of artificial intelligence and more about americas growing lack of empathy for those it deems foreigners abroad and domestic alike its about our ease at projecting our own violence and aggression onto our victims in order to justify our increased vitriol towards them as if it was us who was harmed by their very existence the messaging and themes become closer to colonizers versus colonized its americans going to distant lands under the auspices of protecting home murdering with impunity and bloodlust in response to a tragedy they refuse to acknowledge their own complicity in igniting sound familiar so much talk tried to connect the creator to the hollywood strikes and the risks of ai displacing artists when its narrative more closely aligns with the current palestinian plight against the globallybacked zionist state of israel when do we finally recognize whats happening when the body in the crosshairs is no longer an adult we can imagine as the enemy the same happens here joshua has extenuating circumstances as far as not putting a bullet in alphies head straight away but her being a child quickly becomes as much a deterrent as the possibility that she might take him to maya ill leave why that duality means more in the context of the whole to the film itself since elaborating would create spoilers all ill say is that it hit me exactly how edwards and company hoped despite what i had read about it being a cold emotionless affair i will even disagree with comments about washington being an unfeeling protagonist too since this might be his most threedimensional and human performance yet add the gorgeous production design breathtaking special effects on a relatively tiny budget compared to its ilk and a pitchperfect ending and this thing is firing on all cylinders heres hoping more people watch it sans expectations to discover just how good it really is its a new beginning for mom jodie comer and dad joel fry their home is set in the heart of london and they have a baby on the way unfortunately this chapter starts for them just as another ends for the entire world relentless storms and flash floods become so destructive that i thought the beginning of mahalia belos the end we start from was a metaphoric hallucination about childbirth for its main character only after young zebs birth is crosscut with water crashing through a window do we realize its really happening london is gone adapted by alice birch from megan hunters novel the narrative moves to its logical next step a parents house luckily dads parents mark strong and nina sosanya are borderline survivalists living high above sealevel with a stronghold of provisions but even those must deplete at some point eventually those who were privileged enough to ride out the early chaos become the ones unprepared for what the world has become in the meantime the story shifts to one of protection delusion nightmare and fantasy some can push through others cannot belos film is slowmoving as a result what began with a rousing couple of scenes with some real electric drama settles into a series of ordeals that want to be more confrontational than they are actually shown to be more than once mom and dad get into a disagreement that ends with a jump cut to her having to fend for herself eventually she meets an ally in o katherine waterston another mother with a toddler and we follow them as they move between shelters and chase the pipe dream that is an island commune seeking to forget the past while building a future comer is very good in the lead its easy to underestimate the performance since the whole turns into a onewoman survivalist show for long stretches so while it feels like were just watching the same thing in different forms over again there is nuance if youre willing to look even so its the supporting characters that stick to your memory since their impact is more explosive waterston is fantasticespecially in her final scene strong too even benedict cumberbatch steals a moment via a brief cameo they each shape moms decisions to move forward by either allowing herself to look back or rejecting the urge those who can take something more from the themes of motherhood and separation will surely come away with a lot more to say and like about the overall film i personally found myself appreciating the journey more than taking anything away from what ultimately proves to be familiar tropes within the postapocalyptic genrealbeit much quieter and more introspective than usual its a solid story that looks and sounds great but i wouldnt be surprised to discover it works better on the page insofar as digging further to unearth the weight of emotion thats ravaging moms heart you cant really blame the filmmakers for going full fan service with the super mario bros movie i would have liked a story but loosely connected action setpieces within nintendos sprawling marioadjacent universe is still fun and thats what the young kids in its target pgrated demo want anyway because this isnt for nostalgic millennials and genxers this is an advertisement for new generations to board the bandwagon so we get a mushroom kingdom obstacle course complete with every powerup imaginable a battle royale with donkey kong mario kart race on the rainbow road dungeons water boards and even brooklyn with varying camera shifts to make the screen look like a sidescrolling platformer add a decent classic rock soundtrack some interesting remixes of the original score and a mostly passable voice cast and this low stakes romp excels at superficial entertainment does it also disappoint you bet especially on the level of being a real movie rather than episodic introduction with more loose ends is peach human then concrete mythology the whole multiverse angle has been played out too but  whatever thats the easiest way to juggle multiple stages the real headscratcher though is an end stinger that epitomizes this mixed results weirdness by teasing a character yoshi whose world they literally showed an hour beforehand two things love a reboot of a known property that doesnt default to origin story even if mutant mayhem is the origin story of the teenage mutant ninja turtles coexistence with humans it keeps their first fifteen years postooze a fun flashback montage and love that director jeff rowe producers seth rogen and evan goldberg and that trios other cowriters let the heroesinahalfshell be teens what a great young voiceacting cast to make it believable too the story itself is a nice entry point into this new tmnt world very reminiscent of the grunge animation popularized by the spiderverse films it introduces the idea of ooze throws a bunch of mutants that havent been in previous films onscreen and gives the leads a trial by fire confidence boost to prepare themselves for the fights ahead watch the credits for a shredder tease the action is slapsticky and kinetic with great choreography and the tone never falters in large part due to making april oneil ayo edebiri a teen too jackie chan as splinter and ice cube as the big bad superfly are both inspired choices and the needle drops are memorable give four non blondes their royalty check but i will say that the joke construction gets very grating rogen and company went heavy on the name dropping and pop culture references that seem to scream hey were hip in the kind of way aging dudes who arent hip anymore would i kept waiting for one of the turtles to actually turn to the camera and wink thats how cringey it became hopefully they can shore that up with the inevitable sequel a people duped into believing their once benevolent king still has their interests in mind despite falling prey to ego and avarice must rise to defeat him by following the one person able to see through the deception because of her selfless heart directors chris buck and fawn veerasunthorn along with screenwriters jennifer lee and allison moore pretty much deliver everything youd want from an old school disney filmcomplete with overthetop villain chris pine is having lots of fun as magnifico and talking animals and objects alan tudyk is great as valentino the goat but nothing beats the mushrooms its big on emotion and message yet very short on plot ariana deboses asha leads a rebellion of the soul to take back the wishes her neighbors volunteered to magnifico under the auspices that he was protecting them and not just hoarding them for loyalty once he loses himself to fear neither is necessarily a bad thing i would have liked better songs though since they range from catchy knowing what i know now to obvious this wish to mostly forgettable this is the thanks i get the real draw is the animation its like wish took 2d cell paintings and modeled them in 3d the backgrounds are simultaneously flat watercolors and 3drendered rooms with perspective depending on the cameras angle same with the clothing hair and faces the duality can be jarring at first but quite beautiful the more you sit with it moshfegh and oldroyd reach a point with the climax where the curtain must be lifted to show the scars this world has etched upon the bodies of those wed like to believe still maintain a semblance of innocence  full thoughts at hhys coon and kozak show that the star wars holiday special truly exists on an island alone as an unwitting cautionary tale never to be repeated again  full thoughts at the film stage scorsese understands he cant truly tell the osages story as a white man in a way that gives them the voice they deserve so he tells the tale of their oppressors instead and he does so with zero sympathy for even their most sympathetic members  full thoughts at hhys the result is entertaining and not without its dramatic reveals but while a good time was had i cant shake the sense that there was potential for so much more  full thoughts at hhys some of what results can be confusing but all of it is dramatically potent and its mostly due to a wonderful performance from zalopany  full thoughts at hhys
Sep 20 2023,positive,the super mario bros movie is a dream come true for lifelong nintendo fans and perfect down to the last pixel with gorgeous animation and unforgettable music nintendo and illumination have made a delightful family film filled with heart
Aug 23 2023,positive, its the summer of 1983 and i am on my bicycle in the seminole high school parking lot having been summoned by fellow students for a business proposal they soon arrive at the prearranged rendezvous point and i follow them down 86th avenue to a singlefamily home on a culdesac in the bay harbor estates neighborhood i am taken to an upstairs bedroom  the walls of which are completely obscured by countless rush posters  where three computer whiz kids unveil their handiwork they have created a series of video games remember this is 1983 these games are barebones at best by todays standards they are hopelessly low tech visually crude and thematically derivative but for a bunch of high school kids in the early 1980s they are an absolute triumph that afternoon i became part of their ambitious cooperative they needed someone to create artwork for them so they could package the games and sell them in local computer stores over the next few weeks i delivered cover art for games such as popcorn and dim sammath the whiz kids found a business willing to add the games to their inventory on a trial basis we were on our way to entrepreneurial success even though i did contract work for an independent video game company it would be another five years before i finally bowed to peer pressure and started playing video games regularly sure i spent time watching friends play various games at aladdins castle  the preeminent shoppingmall arcade chain of the era  across from the movie theater at tyrone square mall i even joined in an occasional kings quest marathon at the home of another high school friend who owned an amiga and who coincidentally bore a striking resemblance to the kid on rushs power windows album my first video game addiction was super mario bros for the nintendo entertainment system except i quickly realized i wasnt any good at it so i moved on to other games such as the legend of zelda and metroid in terms of commercial success in the mid1980s super mario bros reigned supreme the classic 8bit sidescrolling platform game pitting mario and luigi against king koopa  later renamed bowser  sold more than 58 million copies worldwide it resurrected the flagging video game industry at the time and spawned a multimedia franchise that is still going strong almost 40 years later the most recent manifestation of that franchise is the new computeranimated feature film the super mario bros movie released in theaters april 5 by universal pictures directed by aaron horvath and michael jelenic the film is a partnership between nintendo and illumination the computer animation studio behind films such as despicable me the secret life of pets and sing the super mario bros movie is exceptionally unexceptional for a film based upon a classic video game it delivers exactly what fans of the franchise expect without pushing any genre boundaries and without any serious attempt at innovation or improvement the target audience is twofold its action color and silliness will appeal to kids while adult fans of the franchise will enjoy all the nostalgic connotations it manages to tell a coherent albeit forgettable story with ample charm thrills and humor it is undeniably entertaining but it doesnt feel like it is likely to become a cherished component of a beloved media empire then again it is infinitely better than 1993s abysmal super mario bros not even dennis hopper could save the 1993 liveaction feature film based upon the nintendo game from insipid mediocrity the new adaptation is lighter more faithful to the source material and refreshingly familyfriendly the super mario bros movie follows brooklyn plumbers mario chris pratt and luigi charlie day when they find themselves mysteriously transported into a magical world separated mario meets toad keeganmichael key who warns him that his brother luigi is in the dark lands ruled by the evil koopa king bowser jack black mario seeks the help of princess peach anya taylorjoy ruler of the mushroom kingdom who is preparing for war with bowsers forces by seeking an alliance with kongs led by king cranky kong fred armisen and his son donkey kong seth rogen while most of the films voice actors dissolve into their characters with little eloquence or distinction blacks bowser and taylorjoys princess peach both stand out as solid examples of adding layers of complexity through outstanding performances blacks bowser may be a tyrannical bully but he is also a hopeless romantic taylorjoy delivers a princess who is the antithesis of the damsel in distress no need to overthink a pgrated playful predictable immersive adaptation of the muchloved video game the super mario bros movie is brimming with delicious eyecandy and evocative nostalgia yes it is formulaic but it doesnt really need to take many risks to charm audiences no pratt doesnt seem like the best choice to voice the protagonist but other members of the films cast more than make up for that weakness its fun its faithful to the franchise and it makes me want to break out my nes classic edition console and play the classic game
Aug 16 2023,positive,simple but effective for anyone who grew up with mario in their lives
Aug 8 2023,neutral, bakersfield calif kget  ten minutes into the super mario bros movie there will be an overwhelming desire to pull the plug on seeing the production there really is no reason to stick around and keep watching a  movie that only exists to promote nintendo games and toys after dungeons  dragons honor among thieves showed how cleverly a game could be adapted to the big screen there was hope for the efforts to do that with mario bros any chance of that happening fades quickly as directors aaron horvath and michael jelenic have opted to merely take sections of the video games and bind them together with a plot so thin you could read the instructions on a cereal box through it heres what to expect the majority of the movie is made up of sequences of mario or princess peach jumping from blocks to girders to floating items and then back to blocks and girders when this isnt happening the group speeds across the rainbow road on carts both are key elements of the video games and should be part of the movie there are just too many of the lifted moments in the film devoted to these scenes making a movie that is nothing but a bigscreen version of the game takes away the major element of what has made the mario bros games so popular  interactivity it is a lot more exciting to be guiding the colorful heroes through multiple gaming adventures than to be sitting back and passively watching the tales unfold the film opens with a television commercial featuring mario voiced by chris pratt and luigi charlie day pitching their new plumbing business they are speaking with very stereotypical italian accents this section exists to explain why the characters dont have an accent throughout the rest of the film and why plumbers wear white gloves the action picks up while they are trying to fix a water main break that threatens to wipe out brooklyn it seems like it would have been a better joke if they were trying to save flushing a neighborhood in queens mario and luigi are sucked into a magic pipe under the city that takes them to two different video game worlds luigi ends up in the dark lands and gets taken prisoner by power hungry  and lovesick  bowser jack black mario lands in the world ruled by princess peach anya taylorjoy where he tries to enlist her to help him save luigi she has her own problems as bowser plans to wipe out her kingdom that is as complicated as the script by matthew fogel the lego movie 2 the second part ever gets there is an obligation by the production team to keep in mind that there will be young audience members seeing the film it is the fact that they went to such a simplistic level with the story that it ended up with only a marginal amount of entertainment value efforts to appease older audience members include a soundtrack that along with a variety of versions of the mario bros theme music includes songs by acdc thunderstruck aha take on me and bonnie tyler holding out for a hero those are great songs but just dont fit the vibe of this production thats also the problem when it comes to the voice casting there was an explosion of negativity online when it was announced pratt was the voice of mario they were justified in their concerns as he doesnt have a distinct enough voice for the role day is much stronger as luigi taylorjoy is a topnotch performer but her voice is not her strength the star of the queens gambit and the menu has an expressive face that should always be seen in her work it is obvious that in an effort to appeal to a wide demographic the movie fails on all counts because of a weak script an over dependence on elements lifted directly from the video game and several voice casting mistakes it is game over very quickly with the super mario bros movie to have a successful garden you need to know when it is the best time to plant here are the best plants to start in may
Jul 25 2023,positive, illumination entertainment isnt exactly an animation studio i appreciate that much from their animation style to their various movies made before this year i was never really convinced by the company especially when it comes to being able to make some of the best animated flicks of the year that said my expectations for the super mario bros movie remained incredibly high during all of these months of anticipation leading up to its release neither the divisive critics reception nor the permanent doubt surrounding the voice cast reduced the enormous excitement i had for this film and i was right to stay true to my feelings for those who have been following my writing for some time already you know that i always begin by trying to place any readers in my own shoes regardless of the type of film i argue that any critic should make this effort otherwise they risk losing the readers understanding its impossible to write something about the super mario bros movie without first explaining my connection to the source material in the case of this adaptation its not just a mario game but countless nintendo games characters and worlds ive noticed a more repetitive use of the expression remove the nostalgia glasses especially to bring down movies and in many cases invalidate and diminish more positive opinions the truth is that nostalgia is a term associated with the past but in my particular situation mario and nintendo are still in my present every year without exception my brothers and i pull the nintendo 64 out of our parents basement blow the dust off and spend hilariously unforgettable hours playing super smash bros mario kart and more in addition to this experience new games featuring mario and his friends continue to be developed and released for modern video game consoles therefore criticizing the super mario bros movie for being a film that heavily relies on the nostalgia factor is such a predictable cheap negative argument that for many viewers just wont make any sense another issue commonly associated with this type of adaptation is related to misleading expectations in my 29 years of life ive never played a mario game for its story not me not anyone because it was never a series with that purpose the super mario bros movie contains a generic formulaic story that brings absolutely nothing new to the world of animation the messages for kids are simple and fairly straightforward none of which will change anyones life the narrative structure follows the most obvious path without major surprises focusing on the typical adventure of an unexpected hero against a cliched villain with worlddomination motivations all of these are more than valid reasons for someone to not enjoy the movie my question is what did you expect directors aaron horvath and michael jelenic and screenwriter matthew fogel didnt deceive anyone delivering precisely what was asked of them an entertaining flick with characters and worlds that marked and continue to mark multiple generations bashing a movie as vehemently as ive seen critics doing when it accomplishes all that it promises is to say the least strange obviously no one expected a masterpiece and the super mario bros movie is far from being one but that was never its purpose the main mission was to please the target audience which as the box office numbers prove was more than successful claiming the super mario bros movie is generic is something that could be written even before watching the film like many other superficial easy criticisms thrown at an adaptation that at no time planned to be more than pure entertainment for children of all ages and families of all sizes as well as for all those who consider mario and nintendo important parts of their lives personally removing the nostalgia glasses means erasing a large part of my life past and present as well as my personality its simply not possible illuminations animation style turns out to be one of the highlights initial concerns are quickly forgotten due to the visual quality that surrounds the entire movie the worldbuilding is phenomenal with reference after reference to so many nintendo games worked into every frame but anyone who thinks these are forcibly thrown in the viewers faces is entirely wrong its all part of the narrative and the way they insert the various elements from the games is to be commended the super mario bros movie is undoubtedly a love letter to all of nintendos immersive playful worlds from action set pieces to leave viewers grinning from ear to ear  the donkey kong fight scene mario kart racing sequence blocksobstacles training montage  to the iconic music that brian tyler mixes brilliantly into his wonderful score the super mario bros movie left me astonished and sent chills all over my body during several moments especially in the more energetic second half this kind of humor is precisely what makes me laugh the most with marios classic expressions being used in quite a hilarious manner the cast was another aspect that resulted in division at the time of its announcement which is yet another thing ill never understand complaining about an actors casting before even knowing how they will play the character it doesnt make any sense and the truth is that the cast is even better than i expected personal favorites are charlie day as luigi and jack black as bowser but everyone delivers excellent performances anya taylorjoy has a lot of screen time as peach and proves to be up to the challenge and i dont understand why there was so much buzz around chris pratt the actor is perfectly decent as mario ignoring people who dont want the actors success for external reasons i understand those who might be disappointed that mario doesnt have that original recognizable voice from all four corners of the planet however one must be aware that mario was never a dialogueheavy character in the games mario rarely speaks expressing himself only through his overlystereotypical italian reactions i imagine that having to listen to this voice for an entire movie wouldnt be that pleasant as it could easily become insufferable therefore i believe the super mario bros movie made the right decision in the end to choose actors with normal voices to play all of the characters marios classic expressions are taken directly from the games so these moments wont be ruined in any way as mentioned before the story isnt a problem for me at all in fact i believe it has a lot more heart than many people have been conveying what did affect me were some pop music choices that left me baffled  i dont think they belong in the nintendo universe  and the first half has some pacing issues wasting too much time to get to where it needs to go by this time the super mario bros movie has already broken dozens of box office records and will become one of the most successful animation flicks ever made personally i couldnt be happier as the chances of watching other nintendo stories in the big screen have increased exponentially  ill be the first in line to see an adaptation of the legend of zelda may they continue to conquer audiences all over the world the super mario bros movie delivers everything i wanted packed with fantastic references that will warm the hearts of those who lived and still live with nintendo and mario up close along with energetic action dazzling animation and worldbuilding and iconic music  brian tylers score goes straight into my spotify playlist mario and co marked my childhood and still today continue to offer me wonderful memories for life as a viewer clearly belonging to the target audience i couldnt have left the cinema more joyful yahoo
Jul 25 2023,positive, maine usa  editors note this article is a critical analysis of a film and does not represent the views of news center maine but that of the author nintendo teamed up with illumination the animation studio behind despicable me to bring the popular video game franchise to life in theaters chris pratt stars as the titular character in the super mario bros movie much like the video games that started this massive franchise and helped put nintendo on the map the super mario bros movie starts off with mario chris pratt and luigi charlie day beginning their plumbing business in brooklyn  theyre optimistic and energetic but things dont seem to be going their way after a sewer pipe breaks while theyre trying to help repair a massive leak the brothers find themselves sucked into the world fans recognize as the mushroom kingdom  well mario ends up in the mushroom kingdom luigi appears in bowsers kingdom and is soon imprisoned by the giant evil turtle bowser jack black is moving across worlds destroying everything in his path on the way to the mushroom kingdom ruled by princess peach anya taylorjoy  mario meets toad keeganmichael key who introduces him to peach in hopes she can help him find luigi of course peach has her own crisis with bowser on his way so after giving mario a quick rundown on how powerups and platforms work in this strange world peach leaves with him and toad to find help  for decades this series has made its fortune and fame off a repeat formula bowser abducts peach and then mario and luigi rescue her  and the story here doesnt get any more creative than that  the pacing is a little awkward until donkey kong shows up injecting more fun and humor into the film of course with donkey kong comes the most enjoyable moments of the movie the kart racing previewed in the trailer along with all the chaos of the mario kart games from there the super mario bros movie becomes more entertaining the characters find their rhythm and the film transforms into a love letter sent directly to fans of the games  by far the best performance in the super mario bros movie comes from black who was the perfect casting for bowser fans worried about pratts mario impression can relax knowing he certainly does a serviceable job  illumination brought the movie to life with shiny and colorful worlds lifted straight from the games the animation is where this film excels along with a wonderful score and sound design thatll feel instantly familiar toagainfans of the games  and thats really what will determine how much viewers enjoy the super mario bros movie if folks grew up playing the games or still do and already treasure everything mario this is a mustsee movie for everyone else the mileage in their kart will vary 
