Dates,Scores,Reviews
Apr 12 2024,positive,well it was awesome 1010
Apr 10 2024,negative,tom hardy and venoms relationship where the best part and tom hardy himself everything else was pretty bang average and empty doesnt hold up as enjoyed my 1st viewing much more
Apr 7 2024,negative,while venom is much better than he was in spiderman 3 this movie is overall worse
Apr 6 2024,neutral,its overhated its not a terrible film but its not something that can be taken too seriously
Mar 30 2024,positive,its a good movie to watch  sound effects are stunning
Mar 29 2024,positive,i very much like this movie and seeing a big budget movie about venom the cgi is revolutionary and i think it holds up to the cgi of the transformers tom hardys acting is top notch and i love how crazy this movie can get venom eating literal soldiers firing like ak47s and smgs at him riot is an absolute perfect villain even though it isnt carnage and the fight in the end is perfect in total i think a movie about venom was well deserved and the payoff is amazing
Mar 29 2024,positive,tom hardy delivers a funny eddie brock and venom buddycop with stunning fights and a perfect story plus a great emenem song
Mar 28 2024,positive,i like how they made the designs this movie is pretty good and even if they do make a bad movie i can understand that venom is kind of hard to make a plot about
Mar 27 2024,positive,75100  a good film love tom hardys acting better fight scenes in the first film than the sequel
Mar 22 2024,positive,this masterpiece is one of my favorite movies of all time
Mar 16 2024,positive,fun movie i like the idea of the lethal protector type of venom
Mar 16 2024,negative,this has to be the most mediocre film that is spiderman related its just bad could of been better
Mar 10 2024,negative,i was so excited to watch the movie until i actually watched it the acting is quite mediocre and the funny scenes are tacky i dont know whether they rushed to meet deadlines but the film wasnt thoroughly planned the venom in spiderman 3 was far more convincing and entertaining in my opinion i think they should have tried a series instead of a movie and with a bigger budget to get grade a actors they should have made something similar to the tv series the strain where this simbiote keeps on infecting high profile figures and causing them to wreck all havoc
Feb 27 2024,negative,venom is a disappointing film it is about a failed reporter is bonded to an alien entity tom hardy and michelle williams give horrible performances the screenplay is badly written ruben fleischer did a terrible job directing this movie i was not impressed with this motion picture
Feb 20 2024,positive,i am not a real marvel movie kindbut i liked this one a whole lotwell acted some parts are iffy but i think it deserves 4 stars dont judge it on one watchi like it the more i saw it
Feb 19 2024,positive,exactly what is needed for a first venom film
Feb 17 2024,positive,its great to see a beloved character have some fun but the pacing is very stretched out as the film struggles to make due with a lack of action budget compared to the mcudisney hardy can be charming but often comes off as cartoonish the other actors are worse the villain is forgetable
Feb 15 2024,positive,the critics are wrong about this one im not sure what they think makes a good movie but sometimes breaking the rules isnt a bad thing
Feb 14 2024,positive,well that was one great start for a fresh franchise just wish they would have continued on that way with the second movie
Feb 14 2024,positive,rotten tomatoes critics are crazy as fu3k just being honest when you saw spectacular movie 30 wtf are you crazy
Feb 14 2024,positive,great movie good twist on the origins of a character funny as well as lots of action
Feb 14 2024,positive,words can not describe how much i love this movie so much venom is a great character action is amazing
Feb 13 2024,positive,really fun and enjoyable and tom hardys acting was outstanding i loved michelle williams in this and the voice actor for venom and riot was really good cgi is amazing and this is so overhated cant wait for carnage
Feb 8 2024,negative,pretty terrible actually the only reason people like it is because of venom and tom hardy if any other character had a movie with a similar script it would fail miserably
Feb 4 2024,positive,this was a fairly standard movie tom hardy was fantastic as both eddie brock and venom the action sequences were great and a fairly standard story i just wish it was rated r
Jan 31 2024,negative,very bland and just dumb this movie has one of the worst villains created venom needs to have spiderman in his origin even if they went the ultimate spiderman route it would have been better
Jan 27 2024,positive,though very flawed venom is a wildly fun and entertaining film filled with violence and plenty of funny antics between eddie and venom as well as other characters  while still being a pg13 film venom is a great experience to watch if you just want to shut your brain off and enjoy the show but if your looking for something deep i would suggest looking elsewhere
Jan 25 2024,positive,a messy goofy and extremely entertaining ride
Jan 17 2024,positive,loved it when it was still in theaters and still love it now
Jan 16 2024,positive,we dont actually see venom until nearly an hour into the movie that first act is loooooong
Jan 15 2024,positive,will watch anything with tom hardy in it  not keen on comic book movies nor monster movies but this is entertaining because of tom and because the movie does not take it too seriously some very cute comedy comes through to relieve the basic stupidness of the story line  good for a wet afternoons entertainment  without tom it would be unwatchable  so give it a go have fun
Jan 6 2024,positive,venom was an oddball mess of a movie and origin story but at the same time oddly captivating to watch what was supposed to be another runofthemill origin story wound up being an odd couple comedy flick with a romance not between a guy and a girl but a guy and his symbiote venom might not be your prototypical superhero and this might not be your average origin story but i still find myself attracted to a movie that wound up being something oddly wholesome
Jan 5 2024,negative,the movie cant decide what the arcs of the any of the characters are supposed to be but thats probably the result of making cuts to appease a more box office friendly pg13 rating ultimately the movies greatest sin is how boring it is
Jan 5 2024,negative,honestly i thought this movie was pretty solid at first but after thinking about it this movie is pretty ass although morbuis is worse overall i would give it a 410
Dec 19 2023,positive,venom amid the wave of superhero films doesnt bring anything particularly new or gamechanging to the table some argue this film may not need to exist but it does due to corporate reasons resulting in a good yet average movie tom hardys acting is a highlight making the main protagonist enjoyable although fans of the comic book character might not fully appreciate this rendition the dynamic between the main character and the symbiote inside him creates a fun duo on screen throughout the runtime michelle williams is notably lackluster possibly due to script limitations rather than her acting ability riz ahmed plays a generic superhero villain meeting expectations the story takes a while to get going but once it does it delivers the actionpacked superhero experience promised overall as a success for sonys objectives it hits the mark but comic book enthusiasts may find this unnecessary film less appealing
Dec 7 2023,positive,action filled and enjoyable and entertaining what a dc film should be 
Dec 4 2023,positive,tom hardy is awesome
Dec 3 2023,negative,eating ants or sleeping naked outside is better
Nov 23 2023,positive,this movie is really funny its got great humor great action great acting great everything the swear words are timed perfectly and venom sounds amazing you will love this film
Nov 13 2023,negative,terrible pointless and a futile experience  a venom store which has nothing to do with spiderman is proof sony has no concept about what they are doing     why cant they just get overthemsevles and write this kind of story with characters that matter in the mcu instead of doing some like making joker with no batman       the characters primary motivation doesnt exist so its not actually the character
Nov 11 2023,positive,cant believe critics did this movie so dirty so much better than the modern corny marvel movies we see nowadays this movie was exiting quirkyfunny and kept me in it the whole time so great to see this representation of venom as a more  multidimensional character and how he coexhausts with eddie we need to find the critics who shunned this movie and make them pay venom style i literally only signed up to give this movie 5 stars
Nov 3 2023,positive,look i know that many people say that venom from 2018 is bad and i have to respect that i saw it in the cinema and i loved it and it was not just me but also friends and family i just want them to know that the movie is not bad at all
Oct 31 2023,positive,very cool movie i was worried it wasnt going to be any good but it was worth the watch
Oct 30 2023,positive,one of the funniest movies ive ever seen it is dark in places but at its heart it is just a buddy comedy about a boy and his alien
Oct 30 2023,negative,it was doable but thats just about it
Oct 22 2023,positive,not bad for an attempt on shedding some light on the character after sam raimis spiderman 3
Oct 22 2023,neutral,if not for tom hardy this movie would be blah  michelle getting cast as his partner was the biggest mistake they did not seem comfortable being a couple because of her and i dont think shes a good actress or else she couldve did a better job pretending i mean could you not even fake being attracted to tom hardy i just couldnt get past them being a couple in the film whoever played jack should never work as an actor again i mean he just sucked where did they find him
Oct 20 2023,positive,first off the big bad con here is the messy dumb plot but tom hardys eddie and venoms chemistry the action and the hilarious silliness make it a much more fun ride than its plot deserves
Oct 19 2023,positive,great movie highly recommended a 
Oct 15 2023,positive,the dumb absurdity of the movie is too fun to ignore everyone is aware its stupid but its too fun it causes me to resist the critical factor not every superhero movie is spiderverse bust not every movie is howard the duck this simply refuses to be either
