Dates,Scores,Reviews
Jul 24 2023,neutral, synopsis journalist eddie brock tom hardy is trying to take down carlton drake riz ahmed the notorious and brilliant founder of the life foundation while investigating one of drakes experiments eddies body merges with the alien venom  leaving him with superhuman strength and power twisted dark and fueled by rage venom tries to control the new and dangerous abilities that eddie finds so intoxicating unfortunately in todays world a film isnt good or bad because its truly good or bad there must be an excuse for each of these cases especially if were discussing a big franchiserelated flick being venom a superhero movie obviously theres no middle ground either you love it or hate it usually if you think its just okay youre the anomaly this time that didnt bother me as much as the next thing since every fanboy must defend their favorite studio the reasons for venoms poor reviews were apparently due to lady gaga fans blindly trashing this film since a star is born also premieres this week its not even a dc x marvel dispute fans reluctance in accepting that a movie from their favorite cinematic universe can be disappointing reaches unbelievable levels even more when it is in fact a complete boredom of a story with a generic plot paperthin characters who only serve as plot devices and extremely terrible editing maryann brandon alan baumgarten there is some good stuff to write about so ill start with the absolute standout tom hardy dunkirk when you have such a remarkable actor saying they cut off my favorite scenes you cant possibly have high expectations for the respective film hardy fantastically incorporates the character of eddie brock delivering tons of scenes where the actor simply shines his versatile ability to interpret such an expressive character makes hardy himself the best thing about venom the interactions between eddie and the symbiote are the most fascinating aspect of the movie from the funny banter to the unusual method of character development their relationship is by far the strongest in the entire film which ends up becoming a negative point as well  unfortunately the screenplay written by jeff pinkner the dark tower scott rosenberg jumanji welcome to the jungle and kelly marcel fifty shades of grey is packed with numerous useless subplots and secondary characters who dont add anything to the main narrative or the protagonists arc the first half of the movie has no venom whatsoever which wouldnt be an issue if the story and characters were compelling while eddie has indeed an engaging personality literally every other character in the film is either a cliche stereotype or an onthenose plot device  michelle williams the greatest showman blandly portrays eddies lover anne someone i dont even have words to describe based on her development riz ahmed rogue one an actor i adore tries his best as carlton drake a forgettable villain who holds the generic villain hunger for power finally there are a bunch of scientists who only serve as exposition devices to explicitly explain to the audience everything thats happening dealing with these characters becomes astonishingly dull and tiresome most of the comedic scenes dont really work without venoms voice to provide a different take on them so hardy finds himself carrying the whole thing by himself however the worst aspect of the movie is undoubtedly the editing it doesnt matter if its an action scene or a simple dialogue in a diner the editing is a total mess exceptionally frustrating to be honest ruben fleischer zombieland is a talented filmmaker but i cant defend cutting a simple dialogue on every single line while weirdly switching the positions of each actor despite a couple of riveting action sequences the vast majority is filled with quick cuts and blurred camera movement due to an abusive employment of shakycam matthew libatique the final battle is extraordinarily underwhelming since its impossible to understand most of whats happening when an occasional fight between venom and some random bad guys is better than the supposed climax of the film you know somethings not right the pg13 rating clearly affected the movie some scenes were cut because there was no way of toning them down and the lack of blood or heavy language is definitely a setback the score is actually pretty great ludwig göransson and it helps revitalize some slow moments tonally the film is wellbalanced overall even if fleischer irregularly loses control here and there i dont consider it one of the worst movies of the year but i wont ever feel the need for a rewatch unless a sequel is made venom is yet another missed opportunity to deliver a great movie about the symbiote antihero this time the character of eddie brock is beautifully handled with tom hardy offering an impressive performance the actor carries the entire film which finds its entertainment peak in the interactions between eddie and venom unfortunately the movie is drastically brought down by a generic narrative with an incredibly dull first half an unnecessary focus on uninteresting subplots and a disappointing amount of paperthin characters the shockingly terrible editing basically ruins any sort of excitement that could be found during the action sequences the production issues condemned this film to be a letdown lets just hope the next one isnt worse
Jan 19 2023,positive, find more battle simulation entertainment with the other shows on the dynamic podcast network whether its video game brawls on konsole kombat actionmovie mayhem on max destruction or anime showdowns on senjōh world theres a show to settle fandom debates once and for all listen to the dynamic podcast network at  join our community at   00000  introduction  00352  noprize time  00537  fantastic four casts julia garner as the silver surfer  join our patreon  spoiler review  00000  introduction  00207  noprize time  00729  julius onah to direct captain america 4  00936  question of the week  01010  thor love and
Nov 16 2022,negative,ironically the film lacks a bit of bite 
Aug 21 2022,neutral, venom had two encouraging things going for it since its initial announcement first it stars tom hardy an actor ive really liked since his 2001 debut in ridley scotts black hawk down second it features a truly great marvel comic book villain and eventual antihero with a compelling backstory and formidable superpowers those are two big steps in the right direction does sony pictures make the most of hardy and the titular title character it seems critics would say no as most have panned the film moviegoers seem to have had a different reaction not being nearly as harsh and having helped the film rake in 205 million globally on its opening weekend lets say i fall somewhere in the middle versions of venom have been in the works since 1997 but this particular iteration had its own set of challenges fans of the character will immediately notice how far the movie strays from his comic book origins the filmmakers arent entirely to blame sonys deal with marvel studios to allow spiderman into their carefully guarded mcu handcuffed the writers forcing them to create a webslingerfree origin interestingly they did shelf the idea of an rrating leaving the door open for a potential crossover hardy plays eddie brock a bay area investigative reporter with a knack for uncovering deepseated corruption he sets his sights on the life foundation and its ceo carlton drake riz ahmed turns out drake has discovered and captured samples of splotchy alien lifeforms he calls symbiotes eddie gets a whiff of potential human testing and confronts drake during an onair interview it goes bad for eddie who loses his job and even his fiancé michelle williams who works as a life foundation attorney six months pass and a downonhisluck eddie is contacted by a life foundation scientist begging him to blow the lid off drakes experiments while secretly infiltrating the labs eddie is exposed to the symbiote which instantly gives him superpowers and a gruesome appetite for violence and human heads check that it isnt eddie who has those appetites they belong to his new parasitic alterego venom from there the movie becomes a weird blend of horror and humor set within the framework of a superhero movie i kind of like what its going for even if its tone can be wildly uneven eddies backandforths with the menacing venom voice in his head can be amusing there is also the intriguing duality of two distinct characters warring within one man the film flirts with the idea more than exploring it which seems like a missed opportunity this is also where the action amps up but not in a particularly thrilling or impressive way most of it is encapsulated in the trailer  a big chase sequence in downtown san francisco and several fight scenes featuring a reluctant eddie and the more violent venoms stretchy tentacles it all culminates in a cgisoaked finale that doesnt do the movie any favors tom hardy does his best to bring energy and nuance to his character its a good performance with several interesting layers director ruben fleischer clearly wanted to make an atypical superhero movie with a distinct edge to it i applaud that aim and see glimpses of what hes going for but ultimately its the script and some pretty uninspired action that left me feeling a bit deflated sadly a good tom hardy fleishers edgy ambition or even a killer end credits scene cant quite keep venom from disappointing ahmed really is getting some great roles i loved him in nightcrawler films in production for such a long time do tend to get negative reviews ahmedis a really good actor but did you feel he was a bit shortchanged here that is the thought that kept ringing in my head for the entire movie as for the movie i really felt going in that the changes that have been made over the years sounded like good ones and i truly believe there are ingredients here for a much better movie i feel the same ill eventually get my thoughts up kinda excited for the 2nd but they may really be handcuffing themselves with a refusal to consider a r rating you may be right but i dont really think an rrating is essential this one felt darker and edgier to me i felt it really came down to the script and some pretty mediocre special effects true that maybe an r isnt needed and im far from one of those ratings hounds but im intrigued to see how they do the sequel with one of the more violent characters in marvels lore  if it wasnt for tom hardys performance and the character of venom the film would have been just another generic origin story with a generic villain  weve had way too many of those  the problem here is sony  theyve never been able to really get their marvel movies right in any fashion  even sam raimis spiderman movies werent that great  the only reason spiderman homecoming was any good was because marvel had a direct hand in it more so than sony  i did enjoy venom but it feels like there was a lot of stuff cut out that needed to be in there so im hoping for an extended cut on bluray its funny i was t nearly as high on homecoming as most were dont remember the exact score i gave it but there were several things about it that pushed me away i will say that i liked raimis spiderman and loved spiderman 2 the third movie thoughugh i love tom hardy but i think ill wait for it on tv  i just hope its not as bad as the amazing spiderman 2 i dont think its a bad movie  its just not the movie it could have been  its definitely worth watching at least  if you can catch it on 5 dollar tuesday at your local theater then do so but dont expect anything revolutionary its not terrible youre right for me its a case of a movie trying new things but falling short in some pretty key areas i felt it ended up being a very okay movie good move just wait for it on dvd its definitely not as bad as amazing 2 in fact i almost gave this 3 stars just too many disappointing elements though it does get credit for trying new things amazing 2 was just plain bad which is why im curious if theres going to be an extended cut of the movie for home video  i want to see what was cut out and see if it wouldve improved anything  it might not but it would still be interesting to see  for me venom wasnt the disaster that the predator was great review keith i went into this one expecting the worst so i was quite pleasantly surprised it definitely has its faults but all in all im quite looking forward to a sequel thanks i felt it was better than the drumming it took by critics still i felt it left so much potential on the table i do think there is enough there for a good sequel id sure watch it i was disappointed here the best thing about this move was the after credits scene hardy was great but your right the writing and direction made this film hard to watch nice write up im among the vocal bunch who never wanted this film in the first place whether that makes me a monster or not i cannot judge but the fact this film succeeded in the face of such opposition is frankly surprising one wonders whether its mediocrity will generate interest in a sequel and although i suspect the law of diminishing returns wont work in sonys favour theres an argument to be had that the boxoffice return is enough to warrant such an investment what im keen to examine is whether or not this was just a fluke or whether there are enough people keen to see a villainverse so to speak from this studio without the core heroes they sprang from im still in denial about that but if it works ill shut up and enjoy i dont think the idea of movies centered around villains is a bad idea  the problem is that in order for them to work properly you need strong writing in terms of script and character development  you also need to have filmmakers and a movie studio that truly understand the character theyre making the movie for  venom didnt really have any of that  the only real reason that a lot of people enjoyed certain parts of the movie were because of tom hardys performance but even one persons performance cannot carry a movie that is hindered by substandard writing  ill be honest  im very curious to see if they can correct the mistakes made in the first movie with a sequel  you never know  some sequels have ended up being much better than the original film i really wanted this to be good and there are some promising things here i feel if they could get a better script things could work we shall see i think sony had a choice  either copy marvel or jump on the deadpool bandwagon  but by choosing to satisfy both it somehow completely misses the mark  thats an interesting way of looking at it and it makes sense they do seem to be straddling that line which ultimately hurts the movie it would have been better for sony to jump on the deadpool bandwagon  the film would still have been successful and not divided the audience as much  deadpool and logan proved that there is a market for hard rrated marvel movies  that being said considering the weak script that the movie had i seriously doubt that an rrating would have helped  venom reminds me a lot of alien vs predator  an enjoyable romp that ultimately didnt live up to the hype and was sabotaged by a studio that was trying to appeal to everyone  but by doing that it ultimately ended up pissing everyone off  i keep seeing it happen and nobody seems to learn from it 100 agree the rrating not curing the films script woes i dont mind the ratings but im not a fan of writing towards an rrating that said this did looked like an example of a movie that would have benefitted by having more of an edge  certainly agree here  hardys performance would have been far more enjoyable if it hadnt been for the fact that everyone else in the film were going in the completely opposite direction better than some of sonys other spiderman related movies granted that hardy saved it from being below average the sequel could be cool if it has a stronger script and better action i hate to bring up the rating again but while the first movie managed to get away with a pg13 rating the sequel must be rated r  if they plan on bringing carnage into the fray then you cant have it pg13  if youve read the comics carnage and kasidy are two of the most violent villains in comic book history  if you really want carnage you need to be able to let him off the leash  you cant do that with a pg13 rating  again writing is very important but they have to take the character and violence of carnage into consideration  if they screw up carnage you can kiss any more venom movies goodbye
Apr 6 2022,negative, so basically sony went a bit mad and the first result was the 2018 comic book adaptation venom it has taken me a long time to watch it so long in fact that its sequel has already come and gone i am in addition to being a film enthusiast a big comic book fan its been mostly wonderful watching marvel studios and warner bros bring a host of childhood favourites into liveaction cinema of course before setting up their own production studio marvel comics bought its way out of bankruptcy by farming its suite of characters out to the highest hollywood bidder 20th century fox scored the rights to the xmen and the fantastic four new line cinema made good bank on secondstringer blade universal pictures grabbed the incredible hulk and submariner  although they never did wind up making anything out of the latter sony through their subsidiary columbia pictures bought the film rights to spiderman  one of the most popular superheroes there is  and as long as they continue making films with the character they never have to give it back this worked well at first with sam raimi directing three immensely successful films starring tobey maguire in the lead then feeling that the third film didnt wow audiences the way they wanted it to sony rebooted the franchise with andrew garfield in the lead at the same time marvel studios surprised everybody with their box officesmashing interconnected universe of superhero movies rather than make a third film with garfield sony elected to reboot spiderman a second time  only this time the films would be produced by marvel studios on sonys behalf and the character was allowed to also appear in marvels own avengers pictures it was a canny method to cash in on marvels success clearly at least one executive at sony felt particularly canny because of course the rights to spiderman also came with the rights to all manner of supporting and subsidiary characters if spiderman allowed sony to profit from marvels achievements then surely sony could exploit those extra characters for a shared universe of their own of course in practice this is a terrible idea why make a film about a spiderman villain if they have no spiderman to fight it is a bit like watching a princess without a ball to go to or a ping pong match with only one player sony are fixated on the idea of a shared spidervillain universe and have already produced two venoms and a morbius towards that goal kraven the hunter is already in production madame web shoots soon thus far i see no indication that this continuing franchise is sustainable venom made a lot of money it is clear morbius will not i am generally not one to place a bet but if you are i suggest kraven is much more likely to be a morbius than a venom commercially speaking in venom investigative journalist eddie brock tom hardy is infected with an oily black alien symbiote and uses his newfound powers to strike back against a diabolical genius billionaire who is murdering people for scientific research purposes it would be the best superhero released in 1998 were it not released in 2018 two decades out of date in terms of script plot character tone and content it is a bizarrely oldfashioned film tom hardy is actually rather enjoyable as brock and manages to lift the first half of the movie into something broadly entertaining it is in the second half that the film wobbles and then flounders a need to actually drive a plot results in some terribly underwhelming choices and action sequences culminating in my least favourite hollywood tradition the climax where two visual effects punch each other decent supporting actors like michelle williams and riz ahmed get very little to do and seem to run through the motions both are definitely worthy of much better fare than this as is hardy to be honest  but he at least likely scored a bigger pay cheque ruben fleischer directs this first instalment although sadly brings little of the humour that made his zombieland films so delightful theres a line in the opening scene of aaron sorkins failed tv drama studio 60 on the sunset strip that has always resonated with me i goes like this theres always been a struggle between art and commerce and now im telling you art is getting its ass kicked all hollywood blockbusters are commercial exercises but the best ones  even the mediocre ones  make room for the art venom feels like 100 per cent commerce it is there to create a shared universe via blunt force it is there to make a lot of money and it did  grossing more than 800 million in cinemas alone there is no room for art though not in sonys liveaction spiderverse venom blandly wants you to shut up and consume it really is worth pondering whether or not you should im also not a fan of cgi pixel stoushes as the climactic boss battle of a superhero movie particularly when theyre filmed at night to make the sfx easier to render
Mar 11 2022,negative, tom hardy stars as spidermans professionalrivalturnedarchnemesis in venom an antisuperhero movie that neither features new yorks friendly neighborhood arachnidperson nor exists in the same cinematic universe as tom hollands current iteration for the marvel cinematic universe topher grace appeared as venom however briefly and frustratingly in sam raimis second sequel to the tobey maguirestarring spiderman series and fans have been clamoring for a proper deployment of the character ever since hardy gives a spirited alwayswatchable occasionally mumbling performance as eddie brock the reporter who becomes the host to a braineating alien organism the actors commitment to his jekyll and hyde routine is admirable if comically absurd as opposed to the terrifying quality usually associated with the character but not even hardys presence can distract from the scripts tired use of wisecracks bombastic action sequences and a complete disregard for the characteristics that made venom a memorable character in the comics a standalone feature about venom is a desperate move on sonys part although they own the rights to marvels webslinging hero their last three attempts to make a spidey movie that connected with audiencesspiderman 3 2007 the amazing spiderman 2012 the amazing spiderman 2 2014failed quite miserably despite making hundreds of millions at the boxoffice seemingly incapable of making a movie that pleases comic book fans or anyone else sony has since loaned spiderman out to the mcu along with a select few of his associated villains meantime theyve made a desperate attempt to produce a number of spinoff movies in a cartbeforethehorse move reminiscent of universals dark universe that began and ended with the mummy 2017 the studio has given a lofty name to their planned movie continuum the sony universe of marvel characters venom is the first of them and it plays as though some sony executive whos been locked in his office since 2003 finally emerged and dictated the movies banal kitschy tone and cheaplooking cgi the result looks and feels like its from the same era as the punisher 2004 and fantastic four 2005 the traditionally new yorkcentric eddie brock arc has been resituated to san francisco a move explained in a throwaway line about brocks renegade brand of investigative journalism getting him ostracized from the east coast but really its a choice meant to rationalize why spiderman isnt swooping in and saving the day now with some celebrity from his news show the eddie brock report brock lives a comfortable life with his fiancée anne weying michelle williams a highpowered attorney when brock is tasked with interviewing tech mogul carlton drake riz ahmed as part of a puff piece he cant resist asking the tough questions about drakes shady deals and rumors of human experimentation as a result the vindictive drake arranges it so that brock loses his job anne leaves him too as her firm represents drake and they fired her over brocks confrontation and so brock hits rock bottom nevermind that in the comics he was an unhinged lowlife and bully here hes a strangely incongruous mixture of activism and motorcycleriding rebel that feels like an excuse by the manycredited writers to make him a hero at the same time a space shuttle owned by drake crash lands on earth carrying several alien symbiotesgoopy slime creatures that need a host to survive drake hopes to achieve humansymbiote integration to allow people to explore space and in his dastardly elon musk way hes willing to sacrifice a few homeless test subjects to achieve his vision meanwhile a whistleblower jenny slate approaches brock to expose drakes plan and the downonhisluck reporters snooping exposes him to venoma black symbiote that speaks to brock in a monstrous voice and grants him among other advantages super strength and a greasy organic suit with stretchy tendrils drake orders a group of mercenaries to capture brockvenom and a series of chases goonbashing and infrequent headeating ensues its all delivered with a light pg13 quality that robs the venom character of its potential for an alternative kind of superhero movie that splices together sciencefiction and horror director ruben fleischer zombieland concentrates on comic book action first characters second eventually drake finds himself bonded with a symbiote of his own a baddie named riot who intends to bring millions of symbiotes to our planet the battles between venom and riot look like two cgi blobs of gack smashed against each other in an indecipherable mess the climactic showdown has a mindnumbing quality that causes the viewers eyes to gloss over from an overdose of computergenerated nonsense unfortunately the scenes with brock as a human arent much better regardless of how much effort hardy puts into every gesture or exaggerated vocal inflection moreover the character itself is poorly articulated although venom should be augmenting and twisting brocks inner darkness the writers of venom suggest that brocks goodness turns venom into a hero its a dull trajectory for the character and a particularly gutless approach by the studio commanding this intellectual property worse its all capped by a lousy eminem song over the end credits featuring the cornball lyric venom they aint gonna know what hit em venom spends most of its runtime with hardy giving little screentime or development to the characters played by williams ahmed or slate not even brock or venom have more than two dimensions aside from both being losers of their respective species who then become heroes as a result of their newfound partnership given its disregard for the integrity and nature of the comic book property one has to question why this movie exists those unfamiliar with venom probably wont care about the movie anyway while casual spiderman fans the target audience are bound to feel disappointed by its treatmentdoubly so after sony messed up venom once before who was sony trying to appease besides their investors because venom looks and feels like a slapdash attempt to exploit the rights to a sony property in the wake of the mcu the movie apparently exists as a commercial enterprise and not much more at least mcu titles mask their commercialism in their devotion to characters and telling a good story by contrast venom seems like a knockoff or perhaps a throwback to the early2000s era of superhero movies that is best left forgotten
Feb 11 2022,negative, by the time eddie brock tom hardy and his snarky symbiote venom also tom hardy intertwine director ruben fleischers excursion into the spiderman villain er antihero in this edition finally starts to link with what its capable of the latest in well we want in on the marvel money too studio excursions venom a film about the bigteethed gooey black space alien shapeshifter with a taste for tater tots and people crawls around in confusion for about an hour before it really starts to figure out what it wants to be as many have noted the film straps its audience back into a premarvel cinematic universe mode where heroes and villains fought through angst pulp danny elfman scores lagerthanlife performances and altrock soundtracks to entertain audiences the pinnacle example would be sam raimis first two spiderman movies artpop masterpieces of dazzling style and emotion venom feels like a dorky fast food spinoff of the raimi films with mounds of barry sonnenfelds first men in black movie thrown in for good measure how dated does this movie play it shouldve ended in a sum 41 theme song hardy one of or most prolific gifted actors working only gets so much to do before he nearly gets too much to do as the titular character for about 3045 minutes hes walking around with a weird tmz reporter accent until a jaunt into sketchy life foundation run by a sorely misused riz ahmed to do some investigative reporting gets him in contact with the venom symbiote which apparently is not a real word go figure the stretch where everything is established just struggles to take root youre practically begging an alreadyrushed into to go even faster to get to the reason were here from here on the film gets weird and chunky and shamefully fun hardy goes into overdrive to play the body humor of being infected with a talking parasite that can transform him into a manmunching alien monster at the drop of a hat its grand comedy to watch him power through venoms bizarre instincts one moment sees a ghoulish hardy hop into a lobster tank at a fancy restaurant and eat one live in front of flummoxed patrons venoms not really a bad symbiote trust us those come later as the films obvious plot churns on and his and brocks backandforth can be quite charming in a fresh burger from mcdonalds sort of way their banter is corny and contrived but hardys skittish overacting and the creepy venom cgi combine for one of 2018s oddest cinema pleasures everything outside of our antihero lacks bite ahmeds carlton drake a tech guru and business maven who tests the symbiotes that come to earth on unwitting humans needed more pop to sizzle as he is hes just a monologue in a suitandtie michelle williams also gets the shaft as brocks exfiancé who he wrongs earlier in the film shes too talented an actress to make this role completely a stock role but the script tries its darndest fleischer of zombieland fame uses need bluetinted lighting in select action scenes though only an assault in the lobby of a building really meets the typical bar for a superhero brouhaha everything else is just kind of static thats where venom lives and dies in the margin between how goofy and trashy fun it is and how boring its structure stands its too endearing to write off just as its too basic to really make a mark its a film youll connect with just as youll withdraw from it for a movie that was seemingly shot for a certain rating and edited down to meet another thats not a bad spot to be in
Oct 6 2021,positive,its really silly its still a lot of fun
Oct 2 2021,positive,this is the one with the most teeth and most tater tots
Sep 1 2021,neutral, this week on the podcast we discuss first impressions of her smell  cold war as well as the feature films a room with a view colette crazy heart a star is born 2018 hold the dark venom a prayer before dawn and wrap up the limited series maniac followed by consensus ratings and whats on tap for next week a room with a view colette crazy heart a star is born 2018 and a prayer before dawn are all available to rent from multiple sources wow fantastic weblog layout how long have you ever been blogging for you made blogging glance easy the overall glance of your web site is great as smartly as the content material hello ive been following your website for a while now and finally got the bravery to go ahead and give you a shout out from  kingwood tx just wanted to mention keep up the excellent work
