Dates,Scores,Reviews
Apr 14 2024,negative,bad animation weird and meaningless script
Apr 14 2024,positive,fun cute thoughtful nostalgic and timely
Apr 14 2024,negative,my best friend and i both 19yearold avid writers watched this movie together we both collectively agreed that the story and animation were horrible  starting with the story its bland and hard to follow we had trouble understanding it as adults there were too many unnecessary characters to keep track of and the main character asha is your average disney princess character from circa 2015 she was shallow with no personality traits that really differentiates her from any of the other princesses  the story really did feel ai generated and while it did have potential it was executed badly  even the songs were nothing to write home about  lastly the animation felt unfinished it seemed as if they were going for something similar to the style of the spiderverse movies yet failed miserably my best friend who makes a living as an artist was not impressed with it in the slightest and neither was i     tldr this film is unoriginal and yawn inducing we need something new from disney
Apr 13 2024,negative,movies animation was wacky but the plot was rushed they tried to cram too much in with too little time villain goes from 1 to 200 in five seconds plot jumps from one point to the next if possible i would like to bleach my eyeballs
Apr 13 2024,negative,magnifico is the hero of the film magnifico built the kingdom gave people homes and granted his people magic wishes to their safe wishes not all people are good and some have bad intentions therefore magnifico filters out the bad peoples wishes this movie demands the audience to be ungrateful for leadership and the help people give you and it reminds us all to always stay ungrateful it is only a matter of time before asha is put in the same situation and everyone dislikes her for having all the power
Apr 13 2024,negative,incredibly bland broken and offensive as a celebration of the art of disney the real negative highlight at show are the unintelligible and insipid songs that add absolutely nothing to the story and are just begging to be used out of context for some ambiguous reason look at the worst offenders youre a star at all costs this wish and this is the thanks i get thats nearly all of the songs the main character is extremely unlikeable the villain flipflops between misunderstood and comically douchey and the storypacing are broken beyond repair seeing the behindthescenes promotional material to this film hurts
Apr 13 2024,positive,i avoided watching this because i heard it was bad but found myself loving it when i finally did watch it no the music isnt what you hear in traditional disney movies but that doesnt make it bad  just different people need to also keep in mind that this is a kids movie your nostalgia for old disney is because you watched it as a kid youre not going to have those same feelings for kids movies youre seeing for the first time as an adult i enjoyed all the disney easter eggs and think that overall it was a creative and thoughtful way to honor the 100year disney legacy
Apr 13 2024,negative,amazing animation the story was not written by humans the songs suck and the moral is if anyone holds you down kill them including government officials everyone must be equal and all be happy down with capitalism up with communism this movie teaches kids the good morals of starting a rebellion and replacing a monarchy with communism in the end the conflict isnt resolved one person still decides what wishes get granted stay clear
Apr 13 2024,negative,the movie from the beginning was too rushed to show whos the bad guy this movie lacks originality it seemed to me like a mix of many different old disney movies combined into one
Apr 13 2024,neutral,i thought it was decent there were some slightly cheesy parts and it wasnt anything that stood out to me but it was entertaining enough for me to want to watch it in its entirety
Apr 12 2024,negative,this movie is genuinely so arse i dont think ive ever seen such garbage in my entire life and i work for a garbage disposal company if this movie was a fire id have a never ending bucket of water i honestly would rather put myself through saw movie traps than watch this absolute dog water movie i had to make an account just to post this review thats how terrible this dang movie is i think chess has a more interesting storyline than wish id rather watch a presidential debate which has better plot twists unforgivable
Apr 12 2024,positive,this movie remember the best face of disney its a clear face of modern films great job for all the family
Apr 12 2024,negative,the writting is so bad that the writters dont even know who the villain should be    the king is not wrong in the movie giving everyone always what they want is a bad thing  he keeps giving and giving without getting and that pushed his limits
Apr 12 2024,positive,like frozen but villain stealing everyones spirt 
Apr 12 2024,negative,watchable and decently entertaining although the story and songwriting are terrible its ok for kids i think
Apr 12 2024,negative,it seemed interesting but once the kid walked out we turned it off this one didnt land with the kiddos and hasnt been view since total letdown
Apr 11 2024,negative,the star is cute the goat is funny the songs arent great or memorable neither are the characters which suffered greatly from a lack of development lots of plot holes forced dialog awkward song lyrics lack of backstory and too much of a focus on cramming in easter eggs frozen 12 and encanto get regular replays in our house and their soundtracks are on repeat in the car cant say the same for wish
Apr 11 2024,negative,animation acting and singing isnt bad and it might be fin for very young kids but the story it self and characters failed very hard for me    it was very fast pace and it felt like things just happened out of nowhere some of the many issues is the main characters reasons to go against the king it seemed more like a teenager being upset that she didnt get her way because these issues seems to be centered around how this effects her not anymore else also she seems to flip back and fourth from wanting to save her grandfathers wish to wanting to save everyones wishes then back to just her grandfathers then back again    we also get very little reason to think the king is evil or doing anything wrong until he just decides to be evil just because people were asking questions   it felt very out of nowhere especially since none of their questions were negative at all if anything it just seem like similar to the main character he threw a tantrum    we are also given so little information on his back story even though it was very vaguely hinted through bits of the film felt like they build it up for no pay off in the end    for the songs they were also pretty forgettable to me and some didnt seem to fit the scene or context of the moment    overall the film is a mess it felt very incomplete sadly not something i expected to see for disneys 100 anniversary
Apr 11 2024,neutral,i loved the visuals animation references and music but i think the story writing isnt great i would like a disney movie that isnt afraid to have the princessmain character fall in love with a prince as well as a more thought out and memorable characters  im not good at words but i am just feeling disappointed i loved movies like rapunzel princess and the frog and mulan as a kid even though love wasnt the main part of the story and the disney princesses didnt even consider the princes to begin with it did make the character growth shine in these movies and make me want to watch them over and over again love really does shine  wish feels just lackluster compared to these movies
Apr 10 2024,negative,if youre looking for the definition of boring well this is it i wanted to give this movie a chance because of how awfully people rated and thought id like but i played this movie at least 4 times and couldnt finish it because i fell asleep on it plot is bland music is plain wish is just straight up garbage
Apr 10 2024,negative,terrible story visually pleasing but empty headed nonsense trash of a storyline with mediocre music promotes ideals of theft over communication and disloyalty over compromise and understanding good stories teach you valuable lessons about the world and humanity at least thats what disney used to stand for once upon a time
Apr 10 2024,positive,nothing exceptional but wish remains completely watchable the little star is adorable the villain is a little bit more nuanced than what you usually see he gets corrupted and is not dangerous since the beginning otherwise its pretty average but better than what the critics said of it a pretty good moment to spend although you wont keep an undying memory of it
Apr 9 2024,negative,i usually yell at my family to shut up when a movie is on but sorry disney i really didnt care when this movie was on and disapointed that alan tudyk was in this he was on so much better stuff that was worth watching
Apr 9 2024,positive,fantastic soundtrack and animation thats let down by a story thats just a bit too busy and fails to adequately address the complications of the themes that it brings up
Apr 9 2024,positive,disneys wish was refreshing humans have relied on some type of organized religion for eons this movie gives us a chance to think about selfreliance and not banking on an individual to save us it speaks of how we are all connected and how there is a power to working together the animation is gorgeous the characters are believable and the songs are lovely
Apr 9 2024,negative,what a weird confusing movie with exceptionally good graphics and exceptionally bad pacing and horrible song lyrics who the hell writes and throw caution to every warning sign and thinks thats a good lyric the songs have the same amount of soul as ai generated things do none of the songs were actually about anything it was amazing
Apr 9 2024,positive,this is an incredible movie fantastic music with a traditional plot and great characters that tell a traditional feeling story a great way to celebrate 100 years of wonder
Apr 9 2024,neutral,wish was a wasted opportunity for disney more notable as an example the slump that the house of mouse is trapped in than as a celebration of its centennial   the movie seemed more interested in fan service and callbacks than telling a compelling story or creating interesting characters and the movie felt flat lifeless and largely forgettable
Apr 9 2024,negative,very sad that disney characters only represent the villains journey im correct righteous smarter and know more than others i simply need to convince them that i am right so that i can step into my power the main character felt like the reap villain of the story
