Dates,Scores,Reviews
Apr 10 2024,negative, its the end of the year and everyone is exhausted and ready for rest  except for the kids who are hyped up on candy cane sugar and the prospect of the long days of summer stretching out before them  fear not there are a host of kidfriendly films coming out which you can plonk the kids in front of while you sit in silence and which you might actually enjoy yourself  a grab bag of storytelling tropes generic characters and musical styles from the wellthumbed disney playbook wish unfolds in a onesizefitsall fairytale land ruled by the sorcerer king magnifico a comedically underutilised chris pine  magnificos benevolent dream of nurturing and granting the wishes of his constituency has curdled into selfish tyranny hes keeping all the wishes in the kingdoms mystical vault to be handed out whenever he deems one of his citizens worthwhile  but when plucky teenager asha ariana debose doing the thing wishes upon a star  which looks like a miyazaki sprite reconfigured as a corporate emoji  she sets in motion a challenge to the sorcerers supremacy championing a humanist utopia where the dreams are reclaimed for the people no points for guessing that this analogy for the dangers of monopolising dreams is drenched in irony coming from the corporation with a stranglehold on the childhood fantasies of generationsthats just business as usual for the mouse house when it comes to the universe were all shareholders is an actual lyric in one of the new songs here set that aside and there are sprinklings of the old disney magic to be found  including an amusing chorus of chickens a talking goat who might have sprung from pinocchios pleasure island and a forest full of animals that even features a cameo from bambi the showtunes  primarily penned by singer julia michaels and songwriter benjamin rice  are a little forgettable though on occasion this wish im a star they generate sparks plus its hard to resist when the refrain from when you wish upon a star is threaded into parts of the score wish isnt about to challenge frozen for kids repeatviewing supremacy but you could do worse for a preteen movie diversion this summer holidays the impulse to account for how some fictional freak complimentary got to be the way they are  especially tempting when wading into that most cashgrabby of genres the origin story  is one usually best avoided as with a magic trick to explain this is to reduce a character to less than the sum of their parts  to sub out a tantalising mystery for a game of connect the dots its rather a relief to be introduced to a young wonka who as incarnated by timothée chalamet is already a fully formed chocolate wizard slash magician slash inventor hes just arrived in a new city after seven years at sea ready to launch his confectionary career  even if the moneygrubbing members of the local chocolate cartel paterson joseph matt lucas and mathew baynton are less than welcoming deep roy played 165 oompa loompas including an entire glam rock band in tim burtons 2005 film adaptation of charlie and the chocolate factory will hugh grant in 2023s wonka ever measure up director paul king paddington paddington 2 applies a fairly light touch when it comes to psychoanalysing his protagonists obsession  unlike tim burtons 2005 charlie and the chocolate factory with its flashback to willys childhood under the thumb of a sugarhating dentist  king preserves and in fact amplifies wonkas magic what does gets muted in the translation however is the unnerving weirdness of roald dahls character  his darkness his offputting humour the misadventures of the bratty golden ticket winners in the wonka factory as recounted in dahls 1964 book reveal a candy man with a truly warped sense of just desserts chalamets wonka meanwhile is willing to abandon his calling for the sake of new pal noodle calah lane  the dune star gamely gives willy his all and proves endearing in the role convincing even but he hasnt got a madcap bone in his body he looks like he belongs in a preraphaelite painting not a zany sweet shop if the film isnt quite up to the preternaturally scrumdiddlyumptious standard of its namesake then it would certainly still pass muster at any of wonkas rival chocolate companies its ducks amuck in this animated adventure from familyfriendly hitmakers illumination studios minions sing the super mario bros movie as a flock of new england mallards find their feathers ruffled on an unexpected trip to the frightening big pond of new york city convinced by his wife voiced by elizabeth banks and ducklings caspar jennings and tresi gazal to take a break from the winter doldrums a beleaguered drake kumail nanjiani gathers up the family  and a tagalong deadbeat uncle danny devito  and heads south for the warmer climes of jamaica  best laid eggs soon go awry when a cloud of fog sends them off course and tumbling into manhattan  where the mallardjusted skein run afowl of a deranged but resourceful pigeon awkwafina channelling natasha lyonne and fall into the clutches of a dastardly restaurant with duck à lorange on the menu much like their minions and sing series illuminations latest feature is bright and bouncy and largely pitched to audiences whove only recently learned to waddle with plenty of sight gags that will quack up undemanding audiences  screenwriter mike white the white lotus lands a few serviceable jokes amid the standardissue story beats while french director benjamin renner who was oscarnominated for 2012s ernest  celestine garnishes the farce with the occasional visual grace note theres a shot of the ducks cruising across the new york skyline that really is quite poetic  keeganmichael key meanwhile does an amusingly overthetop accent as a caged jamaican parrot who longs for his tropical homeland and  proving its been a banner year for heron representation  the legendary carol kane lends her voice to a trickster bird that gives robert pattinson a run for his squawking money despite being a sequel to the biggest hit in dcs extended universe aquaman and the lost kingdom arrives as the ignominious end of the line for warner bros troubled superhero franchise with new bosses james gunn and peter safran having officially announced the end for jason momoas underwater beefcake having ascended to the throne of atlantis aquaman momoa is dividing his time between regal duties and raising his new baby with queen mera a barely present amber heard not exactly dispelling those wild behindthescenes rumours that is until david kane candymans yahya abdulmateen ii  hellbent on avenging the death of his father in the first movie  happens upon an ancient allpowerful trident and summons the dark magic of a fabled lost kingdom to wreak havoc upon atlantis to protect his people aquaman must team up on a quest with his exiled brother orm patrick wilson make a whole bunch of lazily written wisecracks and pound a few sixpacks of guinness with his dad temuera morrison lets just try and ignore the fact that theyre drinking them straight outta the can theres also a plot about global warming and an impending climate catastrophe which has something to do with the villain burning chunks of a mythical substance called orichalcum stop sniggering its a thing in theory any movie teeming with fantastical ocean creatures neonstreaked underwater metropolises and nicole kidman riding a freakin cybernetic shark should be a nobrainer blast of escapism the film borrows liberally from the lord of the rings jules verne avatar and star wars martin short voices a jabba the huttlike gangster fish bless among others yet cant summon much in the way of its own personality this service may include material from agence francepresse afp aptn reuters aap cnn and the bbc world service which is copyright and cannot be reproduced
Apr 10 2024,negative, founding the island kingdom of rosas the sorcerer magnifico chris pine collects the fondest wishes from everyone willing to offer them each hoping theyll one day be granted unfortunately those who part with them forget what their wishes were waiting ceremony after ceremony for their special day to arrive enter asha ariana debose an idealistic but scrappy girl about to turn eighteen and seeking to apprentice with the sorcerer king she believes in until she learns most of the collected wishes will never be granted after losing any chance of getting the job by confronting magnifico about his policies asha is inexplicably allowed to depart with this dangerous knowledge later wishing upon a star to fix the problem no one can remember to her and the audiences surprise a star named wait for it star actually shows up to do something or another and it just gets weirder from there not in a good way last years elemental by disneypixar looked like it had the chops to be the next bigcool thing from the mouse house while it chugged along to some success the magic seemed to be missing even more so than the lackluster encanto about a magical house owned by a vindictive grandma you know its true with a century of disney works and animation in the hollywood history books the search was on for some kind of cinematic celebration but instead of a fantasia sequel or other introspective idea moviegoers instead got wish whether this began as an original idea coopted for the anniversary or a creation designed around a bulletpointed checklist deliberate choices were made magic check kingdom check awkward yet spunky heroine either in or involving herself with the royal court and causing disruptions to the status quo check an irredeemable yet worthy villain to be defeated at all costs well lets look a little bit closer at what codirectors chris buck frozen and frozen ii and fawn veerasunthorn raya and the last dragon have put their names on here from the moment we meet magnifico hints of his paranoia are obvious handsome smiles and charismatic facade be damned from seeking his own power to putting down any threat to what hes created read exclusively his were never given a real reason why just a shredded tapestry something about never again and a mysterious book of forbidden magic no one should ever use  plus more than a few clues hes kind of a jerk on the flipside asha has no power other than hope and spunk but everything goes her way as long as she keeps trying she never makes an unpopular decision or ever actually evolves because obviously she was perfect just as she was in the meantime there are a ridiculous number of songs  each as mediocre as the next  in addition to a barrage of easter eggs hinting at better disney fare every decision seems to stop at the first idea anyone had and is never plussed in any way or given any complexity does anyone there still pixar anymore maybe it would have been a better idea to model this 100year celebratory film after the emperors new groove and make fun of everything rather than peddle a lifeless husk dressed up like a feature film wish teases a hardship backstory which could have introduced sympathy for the villain instead of altevil captain kirk from the kelvin timeline but in retrospect the shredded tapestry may have only been a nod to the princes clawed portrait in beauty and the beast in other words how is anyone supposed to notice the real story clues from all the winking and nodding why do the seven members of the kitchen staff seem oddly familiar why do so many of the wishes look lifted from the plots of older disney films never mind when the light bad guy goes extra bad youll guess exactly how that happens and suddenly all the magic is wicked disney green theres nothing to solve or really look forward to because even the surprises feel unexceptional  obligation rather than revelation  reminding fans of better disney animated films and tropes in fact the end credit sequence does exactly the same thing instead of celebrating how awesome what they just watched was characters from previous animated classics are shown as though made of stardust yeah sure okay the little mermaid in 1989 was credited for the start of disneys renaissance animation period one that ended with tarzan ten years later fast forward another decade and the studios traditional animation gave in to full cgi but the storytelling was still there until now with barely enough material to make it over ninety minutes once you add in the credits its clear wish exists merely because the studio demanded it
Apr 10 2024,neutral, the problem with wish walt disneys official 100th anniversary production is not that it is a bad film it is that is crushingly ordinary while undoubtedly there are many younger viewers  and young at heart of course  will be entertained in the long term this is not going to be remembered as one of the greats directors chris buck tarzan frozen and fawn veerasunthorn head of story on raya and the last dragon have both made better films on the mediterranean island of rosas 17 yearold asha ariana debose auditions to become apprentice to king and sorcerer magnifico chris pine magnifico is loved by the people for granting random wishes out of dreams given to him by his subjects when asha learns that magnificos actions are not so benevolent and she is visited by the very star that she wished on asha resolves to free magnificos captured wishes and return them to their owners there is a superficial resemblance here to neil gaimans novella stardust but really the origins of the story are fairly obvious the events are initiated by a character wishing on a star this is not the only reference to disneys animated history to be found in wish the production runs awash with visual and characterbased cues from mickey mouse to snow white and the seven dwarfs peter pan the little mermaid and many others according to one internet source i read these nods run to at least 40 it turns the film into something of an easter egg hunt distracting from and weakening the main storyline one or two might have been rather cute 40 is definitely some way beyond overkill asha is a reasonable protagonist and magnifico a semidecent villain but the films supporting cast runs far too broad and numerous asides from ashas mother grandfather and pet goat voiced by disney stalwart alan tudyk she also has seven close friends  each one resembling one of snow whites seven dwarfs while viewers might remember royal baker dalhia jennifer kumiyama and the irascible gabo harvey guillén by the end of the movie it seems unlikely they will also be able to name and identify hal simon bazeema safi and dario the film becomes overburdened with characters all to make a film reference aesthetically there is a bold attempt to blend computergenerated animation with a flat painterly look intended to resemble handdrawn traditional art as an experiment it is interesting but as an overall presentation the look backfires the loss of detail makes the animation look weaker more than once i was reminded of a cut scene in a videogame the songs by julia michaels and benjamin rice seem to hit all of the expected beats without generating a specific knockout musical number the same goes for dave metzgers orchestral score which feels suited to the events onscreen yet never inspires much enthusiasm these drawbacks represent wish in a nutshell it is competent but boring typically disneyesque yet unenthused and forgettable the quality of the walt disney animation studios goes up and down with time like any longrunning enterprise wish seems to catch the studio in a fallow period 2022s strange world was uncharacteristically poor and looking forward there is nothing announced but sequels it is slightly unfortunate that wishs closing credits are decorated with images of disneys long legacy of animated features although notably the rescuers the black cauldron and a handful of 1940s films fail to get a look in they are there to be celebratory but simply remind us how much better walt disney can be
Apr 5 2024,negative, you know the star that streaks above cinderellas castle in the intro to every disney movie well in wish now streaming on disney the star is an actual character apt for an animated musical released in acknowledgment of disney 100 the brand title assigned to the entitys celebration of a century in business and so we get a classicstyle disney tale of magic and castles and anthropomorphic animals led by a plucky princesstype voiced by ariana debose who won an oscar for 2021s west side story mediocre word of mouth led to reluctance to venture to theaters led to disappointing box office returns about 250 million worldwide a miniflop by big disney movie standards  and perhaps growing ennui for disney product that feels so calculatedly onbrand suffice to say where you land on the spectrum of disney fandom is likely to dictate how much you enjoy an overly familiar story with all the usual genre trappings albeit with one new element bountiful references to disney animated musicals past some of you just read that sentence and wrinkled your nose i did too but maybe it wont be too annoying right  the gist the kingdom of rosas was a perfect utopia  and then growing resentment for the ruler who only wants to control his subjects hit king magnifico chris pine founded rosas as a safe place for all who wish to live there but that security doesnt come without a cost once residents settle down in rosas they have to give magnifico a wish those wishes manifest as floating bubbles that the king keeps safe in his castle and once a month using benevolent sorcery thats about to become not so benevolent he uses his magic powers to grant one person their wish this doesnt make much sense if you think about it even a little bit but we should just try to enjoy the song that explains it all and move on our protagonist is asha debose a 17yearold rosasite rosasanian who works as a tour guide for prospective residents she has a 100yearold grandfather and a mother who has near zero defining characteristics and a kind father who used to sit in a tree with her and wish upon stars before he died thats sad you may cry now here have a tissue go ahead and blow asha is so dedicated to her beloved homeland she scored a plum job interview to be magnificos apprentice  but during that interview she learns that the king is a vain jhole who probably loves smelling his own farts and a control freak who will never grant her 100yearold grandfathers wish why magnifico thinks a simple wish to inspire other people might prompt things like independent thought peasant revolt or even  gasp  the ability to poke holes in the convoluted premise of this movie and therefore see through his scheme to maintain rule over the land asha isnt a fan of this she pushes back a little she doesnt get the job crestfallen asha and her pet goat valentino who wears what i can only describe as a custom goat onesie venture out to wish upon a star and when she wishes upon a star does everything her heart desires come to her no gotcha there you werent expecting that answer were you rather what happens is the star comes down to her the physics of this occurrence are of course affected by disney magic surely this isnt a movie in which a massive ball of broiling unfathomably hot gas obliterates the planet with the nighincomprehensible force of its gravity no the star is alive and about the size of a baseball and it has a little emoji face she names it not harold or jane or carmichael but star it can hear and respond to her and even perform feats of magic eg rendering anthropomorphic all animals within magicshot which means valentino now has the voice of alan tudyk and that bunny over there and that deer over there now very much resemble beloved disney characters from other movies drink ashas first order of business is to bust into magnificos castle and steal her grandpas wish back but magnifico saw the star fall and is enraged by the thought of a magical occurrence happening that he didnt perpetrate himself so ashas staring down the barrel of a tricky endeavor meanwhile the queen amaya angelique cabral exists and becomes a plot device asha wonders if star can help her enact real change around this joint magnifico senses the growing unrest so he descends into his secret plummet hole to become superextraevil and everyone involved in this plot eventually stumbles over halfhearted references to peter pan pinocchio fantasia snow white and all your alltime favorite disney films hooray for disney happy birthday if your wish was for this movie to make a billion dollars im sorry better luck next time what movies will it remind you of wish is subencanto actually encanto was pretty good so wish is more subtangled that one isnt as good its fine though where wish is aggressively ok and nothing more performance worth watching normally with an animated feature i get cute and rejigger this to be performance worth hearing but deboses spirited singing aside i remained uninspired and so this acknowledgment goes to star himself being a purely visual being who communicates with action over words a boon to those of us who think too many characters in animated movies gibber on and on and on and on also star is symbolic of disney wonder and greatness and therefore deserves all the praise hooray for star hooray for disney can i be acclimated into the disney borg now our take anyone else grasp the irony that wish is essentially a cautionary tale about the danger of belonging to a cult led by someone who appears benevolent but is actually quite sinister bob igers ears might be feeling warm right now or maybe walt himself just rolled over in his cryogenic deathbox now speaking as someone who absolutely enjoyed a recent incredibly expensive trip to disney world and who appreciates many of the entitys films as both art and entertainment and might marry donald duck if given the chance and doesnt believe in disney magic but sometimes finds it very persuasive but doesnt go home to bask in a shrine full of disney paraphernalia star wars doesnt count  i collected mostly all that crap before the big buyout i can say that wish is a bit much but also not enough  allow me to clarify a collection of references does not a movie make and this one comes rather close to being that its a bit much and the story is a twothirds realized conglomeration of familiarities that could use more narrative beef and less barely disguised selfcongratulation its not enough the only way wish departs from formula is by backend feeding itself to itself where some disney films are objectively derivative this one is the narrative equivalent of exiting the seven dwarfs mine train through the gift shop and loading up on obscenely overpriced souvenirs  now the animation is firstrate the star is cute the goat is almost funny deboses performance is notable i chuckled two maybe three times at a little over 90 minutes it moves quickly the number knowing what i know now roused a little bit of passion i wasnt necessarily bored nor was i enthralled i was vaguely engaged in the story is that good enough to commemorate an entire century of multimedia domination most definitely not wish looks back when it should push forward maybe disney 101 will give us something more vital instead of something merely watchable our call disney 100 turns up a catch22 those who have seen many disney movies are the target audience of wish but those who have seen many disney movies have already seen everything in this movie skip it 
Mar 12 2024,positive, the lyrics when you wish upon a star are rather synonymous with a large mouse house and its parent company the walt disney company  therefore it should come as a shock to no one that disney studios put out an animated film during its 100th anniversary called wish released just before thanksgiving 2023 the movie was seen as a love letter to the first 100 years of the iconic mouse and the empire that surrounds him filled with easter eggs wish embodies the ideals walt disney imagined a century ago now it can be enjoyed from the comfort of your own home with the bluray combo pack being released for sale at your local retailer and in a special walmart exclusive 4k steelbook living in the kingdom of rosas 17yearold asha ariana debose west side story interviews with king magnifico chris pine star trek to become his new apprentice  the king holds onto all rosas citizens greatest dreams and once a month grants someone back their wish  in becoming his assistant asha hopes the king will grant her grandfathers victor garbor alias wish in honor of his 100th disney anyone birthday when the king refuses asha and her friends learn that there is more to the king and his kingdom than meets the eye however she makes her wish on a star and suddenly she sees a way to set every citizens wish free debose has moved up the ranks from the ensemble in hamilton to leading roles in a few short years and the accolades are well deserved  she has an incredible singing voice and she is solid in any role she takes on  pine while not the most talented singer manages to get through his songs while infusing the king with a deeply resonant and commanding voice alan tudyk resident alien is a master at voices and this time lends his vocal talent to one very cute goat named valentino the rest of the ensemble is good as well and helps to round out the vocals nicely the 2160p video quality is excellent which helps the audience to pick out some of the more subtle easter eggs  and show intense detail on the clothing worn by the characters  the colors look great and have subtle highlights and the bright yellowishgold color of the star helps to make it jump out of the screen at the viewer dolby atmos soundtrack is most noticeable in the orchestration of the songs with layers upon layers of instruments topped by the smooth vocals  the dialogue utilizes the front speakers while the ambient sounds invade the ears from all directions besides play movie and sing along with the movie options there are almost two hours of extras including once upon a studio 100 years in the making the story of wish wish dclassified outtakes deleted song a wish worth making and deleted scenes  the 100 years in the making extra is a very comprehensive multipart hourlong documentarystyle piece that pays homage to what came before it is worth the combo pack purchase price all on its own while disney had its heart in the right place wish needed more time and work to make it worthy of celebrating 100 years of the most recognizable animated character on the planet for more information about wish visit the flickdirect movie database this release has been provided to flickdirect for review purposes                  for more reviews by allison rose please click here allison rose a senior correspondent and critic at flickdirect is a dynamic presence in the entertainment industry with a communications degree from hofstra university she brings her film expertise to krms newstalk 975 fm and broadcast television and is recognized as a tomatometerapproved critic her role as an adept event moderator in various entertainment industry forums underscores her versatility her affiliations with sefca the florida film critics circle and the online film critics society highlight her as an influential figure in film criticism and media
Jan 1 2024,positive, wish feels soulless at times but the film is a step in the right direction for disney animation studios as the company acknowledges they have fresh characters not merely sequels even if the characters retread classic storylines wish also comes across as studio acknowledgment that 2d animation has a place at the table which is significant considering theyre celebrating 100 years the film doesnt break molds like spiderverse and it doesnt bring a revitalizing freshness like mutant mayhem but there are some feels created and the story of asha is original enough to warrant a viewing  asha ariana debose is a citizen of rosas a mediterranean kingdom protected by a magic sorcerer named magnifico chris pine who provides safety for all of his citizens in exchange for their biggest dream every month he grants a wish while everyone else continues to not remember theirs asha desperately wants a family wish to be granted specifically her grandfather sabinos victor garber but she also hopes to become the new apprentice of magnifico after a disagreement with magnifico asha finds out that theres more to his keeping track of wishes than she originally realized so she enlists her goat valentino alan tudyk her dwarflike friends and even a wishedupon star to free the dreams of her people and give them back their biggest wishes historically disney uses a few different approaches for the voice cast in musicals dibose and pine do some really good work in the voice acting department whether singing or not their story mainly focuses on their battle of wits and strength no other character is either a distraction or a bright spot so i think the key is that its important to find actors and actresses that can do sing and voiceover unless youre going to craft their character around the inability or put in some serious training speaking to music and characterization more specifically the songs are functional they are carefully crafted potentially too much and bring joy and goosebumps but they arent quite as memorable as some of disneys recent turns basically theyre just cheesy enough this is where the easter eggs and references are strongest and while theyre momentarily cute the film just needs more than that pines magnifico performs well on his own and in the famous duocombative style that all disney films use but his songs fall into a familiar category they merely exist most of wishs weight comes from the references to various disney properties but since the new material doesnt really resonate the references and callbacks receive more focus than they probably should the characters and songs dont leave much of a mark aside from asha star and this wish the film makes it clear that disney shouldnt abandon 2d for another 12 years nor should 3d cgi and pixar animation studio be their only storytelling lens liveaction remakes arent the answer either and this is why wish is so important it should stand as a reminder that whether animated or liveaction story must come first disney has already shared early photos of inside out 2 we also know elio is coming out and theres an official announcement for toy story 5 theres also confirmation of moanas liveaction along with a few other liveaction films already in postproduction disney animation inspired generations and now those artists are creating stories such as klaus the lego movie and even the classic the iron giant so if disney intends to remain competitive or at the very least inspirational they should take notes from wish and continue to push the bar the film is good but its also very safe disneys percy jackson and the olympians takes bold risks in reimagining the iconic series for a new audience as the heart of the show lies in its young heroes
Jan 1 2024,neutral,when you remind audiences of classic movies they grew up with even as an easter egg it takes away from whats being played in front of them youd rather watch the reference and thats the biggest problem the film has no identity of its own 
Dec 29 2023,negative, when you wish upon a star it makes no difference who you are runs the famous theme song of the 1940 disney version of pinocchio it would be nice to believe that were true although depending on the nature of the wish living in a rich country probably helps in any case when you entrust your wish to a powerhungry sorcerer its a different story as we discover in the convoluted wish its billed as the first ever wholly original disney fairytale though its hard to see more than a tenuous link between hans christian andersens the snow queen and the massively successful frozen films which several key members of the wish brains trust worked on including codirectors chris buck and fawn veerasunthorn intended to mark the 100th anniversary of disney as a company the film takes place in the imaginary medieval kingdom of rosas brought to life through a lush but slightly ungainly blend of traditional 2d animation and the modern digital kind the outwardly benign ruler magnifico voiced by chris pine maintains his hold over the population through the insistence that he alone has the power to grant wishes but just one wish is granted a month meaning you can wait around your whole life to no avail and while in theory everyone has a chance in practice the lucky winner is usually if not always a member of his clique pitted against this tyranny are the downtrodden yet spirited teenage heroine asha ariana debose and her allies among them an incongruously deepvoiced baby goat alan tudyk a fallen star who resembles a glowing airborne pokemon and a gaggle of human friends who parallel the seven dwarfs clearly this is supposed to be some sort of allegory one of the laboured song lyrics includes the word allegory in case of any doubt less clear is the intended significance is it antisocialist a skit on organised religion a belated mea culpa from disney for its centurylong effort to corner the market on magic and wonder if the story had a persuasive inner logic the multiple layers of potential meaning would be a blessing rather than a curse however the script credited to jennifer lee and allison moore feels like a corporate product in the absolute worst sense  as if it had been concocted during a teambuilding retreat by a group of executives who had heard of the existence of humour and poetry but had never seen any concrete instances on one level the total artistic failure of wish is reassuring because it shows there are occasions when vast amounts of money and supposed expertise really dont make a difference  or at least arent enough to save you from falling flat on your face when it comes to the universe were all shareholders maintains one wouldbe inspirational number performed by a troupe of woodland critters modelled after those in bambi one thing we can all count on is that nobody will be humming that in another 80 years an earlier version of this story stated that the character asha is voiced by ariana grande this was incorrect asha is voiced by ariana debose 
Dec 29 2023,positive, where were you when walt and roy o disney founded the enterprise that would become walt disney animation studios unless youre a centenarian you werent around the company was launched in october 1923 as the disney brothers cartoon studio by 1926 it had become walt disney studio and a few years later it was incorporated as walt disney productions for the first decade of its existence the studio focused on short films such as steamboat willie released in 1928 then in 1934 work began on what would be the studios first featurelength production snow white and the seven dwarfs released in 1937 was a critical and commercial success the american film institute ranked it among the 100 greatest american films and named the film as the greatest american animated film of all time in 2008 even though snow white and the seven dwarfs occupies a special place in cinematic history for pioneering a new entertainment form ill bet you cant name a single member of the voice cast  unless youre a disney superfan adriana caselotti voiced snow white while lucille la verne an accomplished stage actress with many broadway credits was tapped to provide the voice of the evil queen the new animated musical fantasy film was directed by chris buck and fawn veerasunthorn from a screenplay by jennifer lee and allison moore buck previously worked on several disney projects including codirecting tarzan frozen and frozen ii wish is veerasunthorns directorial debut she previously served as several disney films as a storyboard artist and as head of story on raya and the last dragon the story is set in the kingdom of rosas where 17yearold asha ariana debose a steadfast idealist uncovers a shocking secret about king magnifico chris pine it seems that the citizens of rosas voluntarily give up their fondest wish  and even the memory of that wish  to magnifico who promises to keep them safe the king is a powerful sorcerer and claims he can grant anyones wishes  but in truth he only grants a few that he deems innocuous magnificos motivation is his role as protector of the kingdom he refuses to permit any aspiration among his subjects that might somehow bring unrest asha learns that most peoples wishes will never be granted  including the wish of her grandfather sabino victor garber who simply wants to inspire others through music because she questions the king during her interview for an apprenticeship magnifico dismisses her and tells her none of her familys wishes will be granted unable to convince her family of magnificos deceitfulness she runs out into the night where she eventually makes her own wish beneath the twilight sky that wish is answered by a cosmic force in the form of star asha and star join forces and they  along with valentino alan tudyk ashas goat who can now talk thanks to star  recruit some of ashas friends to recover all the wishes king magnifico has been stockpiling in his castle this is liable to fluster the antiwoke crowd because it sounds suspiciously like a girl is about to challenge the patriarchy  oh no circle the wagons and prepare to post incoherent rants filled with misspelled words on social media modern politics aside wish is a perfectly enjoyable entertaining fairy tale it is an expressive nod to the past paying tribute to disneys extensive legacy in animation the film is filled with narrative and visual allusions both overt and subtle adult viewers will perceive its selfawareness there are so many references to previous films its as if the writers are sitting in the theater nudging and winking at each viewer the songs in wish arent among disneys best there may have been an effort to replicate musical styles from 100 years of films which made the overall effect inconsistent sometimes the feel of the music doesnt quite synchronize with the tone of the scene visually the film is gorgeous though theres no effort at leaping forward in terms of animation technique thats not a criticism wish doesnt require that kind of innovation disney literally established the artform and for 100 years has continued to transform and modernize it without forgetting its roots the viewers understanding of magnificos disposition might have been strengthened by more backstory but i am inclined to think that it wouldnt matter much to younger viewers a villain is a villain after all kids usually recognize the bad guy with or without a detailed biography pine hits all the right notes in voicing the character as he gradually becomes more corrupted by dark magic one might be tempted to draw parallels between the kingdom of rosas  where your dreams and your reality can collide according to the song welcome to rosas  and some modern régime that seeks to sacrifice freedom for security the concept of hoarding wishes sounds a lot like restricting peoples freedoms if star embodies hope light optimism creativity and imagination it is a potential source of both transformation and revolution  which is why magnifico becomes obsessed with controlling it in another hundred years wish may not rank among disneys top 10 films but i think it will become a treasured classic for some to revisit from time to time its potential appeal spans generations entrancing older viewers with nostalgic cues while delighting a new generation of disney fans with solid storytelling colorful animation and a talking goat with any luck some of those younger viewers may absorb the films forwardlooking social commentary
Dec 26 2023,neutral, theres been a lot of chatter around wish and the fact that its release celebrates disneys centennial where the major theme across a heft of the studios films  that of wishes being granted  would be tied together  its a sweet notion without question but it would appear that the creatives behind the film seem far too obsessed with referencing past glories that they forgot to build a compelling story of their own youll spot such cute easter eggs throughout that reference past titles as peter pan and zootopia but wishs own personality is compromised in the process and its truly a shame as chris buck and fawn veerasunthorns musical tale isnt without its charm  and a lot of that charm stems from the lead vocal work of ariana debose and chris pine the heroine and villain of the piece who sing and swan their way through the films thankfully brisk 95 minute run time debose voices the sweetly asha a 17yearold girl who lives in rosas an island in the mediterranean sea and as we gather from her opening jingle welcome to rosas is a champion of her little village  gearing up for an interview to be the apprentice for rosas king magnifico pine divine asha is hoping that in snaring such a position she can grant the wish of her 100yearold grandfather sabino victor garber you see magnifico having studied sorcery is able to grant the greatest desires of his subjects each of them give up the memory of their wishes to be sealed and protected by the king until he can grant them once a month at a ceremonial event magnifico chooses one wish to be granted  its a little convoluted but it works we all know nothing is exactly going to go to plan and when ashas quizzical nature gets the better of her she angers magnifico who reveals that sweet sabinos wish is just too dangerous to grant  asha pleads in its actuality of inspiring the next generation or to simply return sabinos wish to him theres another plot point about the subject forgetting their own wish once they speak it into the universe but its to no avail and the young lass loses any chance of an apprenticeship and returns home defeated given magnificos enhanced thirst for power wish feels quite telegraphed in its narrative footing and unsurprisingly a little rogue magic comes into play ashas wish upon a star manifests into a physical form granting the forest creatures the ability to talk and sing which extends itself to her trusty goat sidekick valentino a scenestealing alan tudyk  from hereon its standard disney fare and whilst many other house of mouse products have resigned to the same structure wish never manages to elevate itself beyond such with its musical arrangements failing to leave much of an impression despite the best efforts of its cast it must be said that debose truly has such a wonderful tone despite reuniting the frozen duo of director buck and screenwriter jennifer lee the emotional resonance and rapid wit that so often pepper disney outings is lacking across wish and as much fun as there is to be had in finding the ghosts of disneys past throughout the gimmick can only hide so much by no means is wish a complete misfire more that its decidedly average  its harmless and light and asha makes for a fine additive into the annals of disney princessdom even though shes not really a princess in the traditional sense but in knowing what the studio is capable of and in banking so much on this films relation to the centennial we cant help but wish for something a little more impactful film critic with a penchant for dwayne johnson jason momoa michelle pfeiffer and horror movies harbouring the desire to be a face of entertainment news
