Dates,Scores,Reviews
Apr 14 2024,negative,this movie is horrendous wasted an hour of my time and my wifes time there is literally nothing good about this film unless you enjoy wasting your life i want that hour of my life back and all the comments saying wow the picture is so great i love this who cares if the movie looks good i want a movie with actual good content and plot not something that puts me to sleep after the first hour lets talk about the audio why do i have to turn my surround sound to the max volume to hear the characters speak then when a ship takes off my whole house starts shaking and i have to mute my tv before i blow my home off the foundation top 10 worst movies ive ever seen
Apr 13 2024,negative,not original at allthe movie takes from the ideas of other great scifi adventures that i grew up with
Apr 13 2024,positive,must see loved both movies
Apr 13 2024,positive,denis is a master     if they had of kicked off star wars with him at the helm it would have been better than anything lucas did
Apr 12 2024,negative,unwatchable go watch tremors instead
Apr 12 2024,positive,this movie and dune 2 are some of the best films to come out in a very long time a mustsee
Apr 9 2024,negative,i watch a lot of good scifi all the terminators predators aliens avps stargate startrek etc the original dune was horrible in everyway possible this dune was even worse and more boring than the original the second dune is just as bad probably the worse movies of any genre ive ever seen
Apr 9 2024,positive,its just the start for this whole new world so wouldnt want to hate it until seeing part two however i loved it the characters are building up to theyre potential form
Apr 8 2024,negative,slow kinda inconsistent hoping part 2 and others will be better
Apr 8 2024,positive,amazing movie amazing actors writing plot and action i highly recommened watching it
Apr 7 2024,negative,my first attempt at watching this failed due to it being very slow and just plain boring the good reviews did not match up saw the reviews for part 2 so decided to suffer through hope it was worth it
Apr 7 2024,positive,pretty good adaptation of the book 
Apr 7 2024,positive,great special effects acting action and overall execution of many of the ideas of frank herberts dune 9210
Apr 6 2024,positive,pacing is a bit slow at certain scenes but the exploration of the lore and the characterization of the main characters were excellent soundtrack was spot on with the tense atmosphere
Apr 5 2024,positive,great movie great cast great special effects great story love the movie
Apr 5 2024,positive,the 1984 movie was the best even compared to this paul is so much more in the original movie the new paul is just a pampered aristocrat and the actor cant emote he is lacking and dead faced modern actors are all dead pan looks and no emotion just graphically airbrushed standins i love the story so much i have watched the new movie about 3 times the original i have watched at least 50 times
Apr 5 2024,positive,this film was absolutely excellent and finally adapted a difficult story into a sensical film unlike the previous hollywood attempts exactly the refreshing movie that jaded theater goers needed when it came out im very excited for the sequel
Apr 4 2024,positive,2nd one makes this better
Apr 3 2024,positive,lets hope its building for something great in part 2
Apr 3 2024,positive,until this film people thought dune was unadaptable to the big screen but denis villeneuve proved them wrong
Apr 3 2024,negative,dune is overrated for me personally the story is nothing special the acting is lukewarm and the explanation of what is happening is rather weak the only good thing about dune is the effectsproduction
Apr 3 2024,positive,i loved it its beautiful slow but not boring
Apr 3 2024,positive,i dont find the movie to be great i felt it was too slow it was hard to get into these characters the main character did like nothing whole movie which bugged me but when dune part 2 it should be better but this movie just was fine i like the cinematography and the score but everything else was ok 76
Apr 2 2024,positive,not bad much better than the original for once
Apr 2 2024,positive,the best sci fi epic of the last 30 years there isnt a negative aspect to this film denis villenueve does it once again just like with blade runner 2049 creates an immersful deep  rich world one i cant wait to go deeper into
Apr 2 2024,positive,a little boring it cant stand on its own at all because its just worldbuilding for the second part and doesnt really have any payoff but really good acting and cinematography prop this movie up
Mar 31 2024,positive,a little slow yes a little plain yes a magnificent technical achievement absolutely an awesome cinematic experience of course many people tend to forget that this is just an introduction the first part of something bigger the preparation of the table for the big banquet
Mar 31 2024,positive,dune 2021 garners praise for its cinematic scale visual and auditory magnificence though some critics find its pacing and tone challenging the performances especially timothée chalamets are lauded but the films seriousness and lack of humor have drawn mixed reactions its narrative feels like a prologue leaving audiences eager yet unsatisfied awaiting a sequel for closure
Mar 31 2024,neutral,overrated i dont get the fuss about the movie beside the esthetics
Mar 30 2024,positive, 7010      2h 35m long loreal paris commercial grade b
Mar 30 2024,positive,the story line and the acting are very good however it does not need to be that long it could be half the time if all the scenes of staring into the distance and panning the scenery was cut down significantly it made the story drag needlessly
Mar 30 2024,positive,hands down one of the best films ive seen since my mother took me to see fellowship of the ring in 2001 in the cinema
Mar 30 2024,positive,caveat in order to fully appreciate the plot and not be lost initially it helps greatly to have read the book or have seen the 1984 david lynch version first if you already understand the dune universe youre in for a stunning visuals and epic updated version
Mar 30 2024,positive,epic in every aspect just epic
Mar 29 2024,negative,that was a huge waste of 2 hours of my life nothing about this movie called my attention besides the good actors that it had it was slow and boring and we had to pause it 3 times to take a break so that we didnt fall asleep out of boredom i dont really understand how this got so many great reviews
Mar 29 2024,negative,could barely stay awake
Mar 29 2024,negative,i liked it until i realized it was to be a multiplepart series  adapting a book to the big screen takes time and obviously requires a longer movie runtime but waiting years between releases is a major turnoff  havent seen part 2 and likely wont
Mar 29 2024,positive,this movie is amazing in every way except for the fact the movie had an unsatisfactory ending
Mar 29 2024,positive,dune part 1 is a film that i pay of respect towards rather than i enjoy watching it this is because it is extremely difficult to follow if you havent read the books
Mar 29 2024,positive,a bit slow but still built on the characters and loved it overall
Mar 29 2024,positive,extremely well done  the music and cinematography in particular are outstanding
Mar 29 2024,positive,havent finished watching it yet  just over halfway throughsometimes its a bit slow going and i lose interest but i have to say the worst part of this movie is rebecca fergusons actingomg her constant whispering and forced dramatic faces is the main reason i cant focus on this movie how the heck did she ever get this part she needs to go back to acting school or find another career
Mar 25 2024,positive,great movie watched 4 times already
Mar 25 2024,positive,excellent movie only thing holding it back from a 55 is the slower pacing
Mar 25 2024,positive,beautiful movie just gorgeous would watch again
Mar 25 2024,positive,solid film a little too slow in the beginning
Mar 24 2024,positive,great start it sets the story for something bigger
Mar 24 2024,negative,boring  25 hours of my life ill never get back
Mar 24 2024,negative,this movie was dogsht clearly noone read the book so much was altered andor left out some acting was atrocious  some actors shouldnt have even gotten their roles chani wasnt an annoying little b dogsht
Mar 24 2024,positive,55 hits all the marks and does so with great casting and exceptional visuals and sound was it faithful to the books no but realistically since he stated from the beginning he intended to only do the book in two movies that wasnt realistic i think it hit the marks it needed to tell the story if you want a more faithful telling id suggest the scifi channels miniseries because while lacking in visuals and sound did a much better job on that end
Mar 23 2024,positive,an immersive and impressive portrayal of the novel letting the viewer bask in the stunning imagery and worldbuilding  puts every other adaptation of this work to absolute shame
Mar 23 2024,positive,amazing best scifi movie in literal years
Mar 23 2024,positive,never read the book but i loved the movie both one and two beautiful cinematography interesting characters and really cool costume design my favorite part about it was the world building super unique and creative
Mar 23 2024,positive,great a saga is born
Mar 22 2024,positive,i literally made an account so i could rate this movie i think about this movie daily  its my roman empire
Mar 22 2024,negative,1984s dune is so full of david lynchs somber atmosphere so intriguing villeneuves watered down version is some kind of star wars but boring
Mar 22 2024,positive,i love that i watched it about four times now
Mar 22 2024,positive,i think they put way to much money and time in that movie for it to turn out like it did i was very very disappointed with part 1 and now disappointed with pt 2 esp the fact that it seems ti imply a pt 3 i hope not  the 1984 version was so much better and the actors did a far better job with alot less money i stretched to give it a 3
Mar 21 2024,positive,one of the best movies ive seen it doesnt compare to anythingsuch great actors and all praise to denis
Mar 21 2024,positive,it was a pretty good movie
Mar 21 2024,negative,nothing about it is good skipped through the entire thing the story isnt any good the acting is wooden the dialog is atrocious just not for me
Mar 21 2024,positive,movie started out very slow but got better as it went on plot was confusing at times overs well done movie just needed to be shorter
Mar 20 2024,positive,i have no words this is cinema at its greatest the acting is great it is the perfect mix of action and dialogue and the plot is amazing the only scifi thing i can think is better is the original star wars or the book version of dune so much for no words
Mar 20 2024,positive,i love to kick back and relax to a threehour transhumanist space opera with elements of social science fiction helps me unwind in the evening
Mar 19 2024,positive,best movie i have seen in a long time ive watched it 3 times i usually do not rewatch movies
Mar 19 2024,positive,slow but beautifully shot with interesting world building the movie takes time to take off but the overall experience is quite spectacular acting cinematography direction all top notch a worthy adaptation that even non book readers can follow and enjoy
Mar 19 2024,negative,it was a long drawn out boring film
Mar 19 2024,positive,a film that was at once wonderful and mediocre    when it comes to the technical and visual aspects its hard to find a better technical execution and special effects in recent years a film whose sound was in wonderful synergy with what was on screen in this respect at least hans zimmer was at the top of his game the visuals were also very spectacular and evoked powerful emotions i believe that emotions might have been even more powerful in the cinema in 2021 than they are now on tv    however as for the story itself as someone who has not read the books it was too drawn out and slow to watch the most exciting part of the over twohour film was the last 15 minutes it does however give hope that the second part will be more interesting and with more action perhaps after watching the second part i will understand why the first part was portrayed rather slowly    nothing bad can be said about the acting stellan skarsgård as baron vladimir harkonnen was an extremely believable and interesting character he conveyed the serious side that skarsgård has managed to do in the chernobyl series for example but in addition there was a deeper mystery to this film that made you believe that this was an individual with maniacal tendencies
Mar 19 2024,positive,a fantastic rendition on the first half of the dune book and beautifully shot and acted too
Mar 19 2024,positive,one of my favorite movies of all time a great movie with a great cast
Mar 18 2024,negative,very nice story but very slow and boring to watch
Mar 18 2024,positive,interesting story if you look into it a little beforehand very nice pictures and good characters even if a little sterile in places
Mar 18 2024,positive,the force armor and welding way was off see the original instead
Mar 17 2024,positive,watched first 20 minutes when it came out and stopped because i thought it was terrible i couldnt be more wrong about this movie its starts slow but wow did the end get way better great movie 
Mar 17 2024,positive,the intricate worldbuilding stunning visuals and gripping storyline left me in awe
Mar 17 2024,positive,this movie was a masterpiece i loved the cgi and scifi it was so awesome experiencing it at home tim did so good i havent seen number 2 but i will totally watch it soon
Mar 17 2024,negative,audio mixing was truly awful why must we crank speakers to 100 to hear speech and then have our ears blown out when a ship flies in
Mar 17 2024,negative,a lot of flair but no heart    male lead is mediocre
Mar 17 2024,positive,great movie timotheee chalamet was great and the effects were amazing
Mar 17 2024,positive,first the good things about the movie i really love the worldbuilding and the atmosphiere it really acompilshed it but whit this movie there are some flaws first of all the main character it looks like it happend nothing whit this character no learn from mistakes or any development of it it was compleatly blank and secondly the movie quiet missed the goals for the story well at the middle and the end just finaly found what the goal is going to be and even soo it havent reached it soo i have some hopes that the goal will be more specific and i guesss it will reach it
Mar 17 2024,positive,dune is phenomenal it is a visual and audible treat that demands a full movie experience of imax or at least an impressive screen and surround sound in the home     villeneuve teaches a masterclass in visual storytelling  letting the images on the screen tell the story leaving heavy exposition to the side for something as lore heavy as the dune universe its a bold choice yet it works brilliantly the story being played out beautifully with all of its intricacies    other adaptations could take notes books have to use words films do not     one final note  this film ends on a cliffhanger but even then villeneuve has managed to make it an end that would have stood should he not have got a sequel there is much to learn from this adaptation  one can only hope the media giants learn the right lessons
