Dates,Scores,Reviews
Mar 24 2024,positive, dune or dune part one 2021 is the second film adaptation of frank herberts 1965 novel series in the future year of 10191 an emperor governs the universe and this universes most valuable resource is spice which aids in interstellar travel but it is only found on arrakis a desert planet the emperor determines which house thank you game of thrones for making these concepts more comprehensible will occupy arrakis and insure that spice can be harvested without interference from the indigenous people the fremen who never consented to the emperors rule the brutal house of harkonnen have occupied the land and grown wealthy as a result of their position but the emperor orders them to withdraw and gives the job to the house of atreides whose head is duke leto atreides oscar isaac and whose home planet is caladan his consort lady jessica rebecca ferguson is training their young inexperienced son paul timothee chamalet in the ways of the bene gesserit a group of women who possess physical and mental abilities even though men do not exhibit these traits however paul is different he dreams of fragments of the future is learning how to control minds and shows physical prowess that other men do not exhibit moving to arrakis challenges the house of atreides to the point of possible extinction but also makes pauls dreams come true why would i a person who had zero interest in herberts novels and did not enjoy david lynchs version through no fault of kyle maclachlan commit to watching not one but two or more dune movies denis villeneuve i found most of his films prior to blade runner 2049 2017 which is gorgeous to be riveting and arresting visuals accompany surprising stories apparently villeneuves lifelong dream was to adapt herberts universe for the big screen so while i am happy that he like paul is finally able to bring his fantasies to life it is not always a good thing for him or everyone else no slander on villeneuves adaptation which i prefer over lynchs take but dune is broad in its characters and narrative it feels predictable and there is zero investment or tension over wellknown characters development villeneuves dune is the cinematic equivalent of a meditation garden gorgeous to watch with its characters polished skin smooth stonelike spaceships sand enveloped landscapes sunlight and shadows playing portentously on golden bronzed metallic surfaces or verdant landscapes contrasting its arid sister planet it is important for visuals to tell the story but the people feel like the supporting actors not the driving force as they float elegantly with their gravity defying suits or trembling shields the more that a persons face is covered the less than the audience can relate to them or should be suspicious of them it is like a tasteful star wars with superb production values but lacking in the raw untidy energy of lucas epic while timothee chalamet may be the headliner dune is an ensemble affair however chalamet sets the dour tone as a brooding wan paul at least cowriters villeneuve jon spaihts who penned prometheus doctor strange and the mummy and eric roth wolfen forrest gump the insider the insider ali munich a star is born killers of the flower moon acknowledge that the man boy does not look like he can hold his own in a stiff wind forget a physical confrontation in one scene paul dodges and catches a minute assassination drone a hunterseeker at the time it seems plausible and deft but as the film unfolds and more impressive warriors cannot withstand such an attack it becomes retroactively impressive pauls slight frame makes sense because if he displays feminine mental abilities he should also possess feminine physical attributes pauls sullen countenance is not chronic and breaks when he spends time with his weapons teachers and fathers faithful aides duncan idaho jason momoa who is still gorgeous but mostly cleanshaven an adventurous cheerful bro type and gurney halleck josh brolin a man determined to teach paul how to fight because the memory of war haunts him paul reverts to his original settings countenance when he is with his parents the weight of his parents expectations his predicament and his visions suppress his youthful buoyancy in retrospect duke leto atreides the scrumptious oscar issac sporting a lush perfectly trimmed beard feels like an inspiration for ned stark and the only person on the chessboard who wakes up too late to the stakes of the pageantfilled game that he is playing and begins panicking long after it is too late to turn things around the duke is the kind of guy that others may not need to go to the trouble of assassinating since he engages in enough activities that could get him killed he fancies himself above the harkonnen because he is respectful of the fremen and treats them like people but he still wants to harvest the spice and make the emperor proud so the only difference is a lack of selfpreservation gene and good manners his disembodied hand on jessicas neck a gesture of love gets framed as a feeble attempt at possession and control his identity is irrelevant in the sequence and he almost does not exist long before he arrives at arrakis the real star of dune feels like jessica ferguson is born to play supernaturally dubious women and jessica in part one may edge out her performance as rose the hat in doctor sleep 2019 because of the range of her characters journey through the course of the film jessica appears to be a privileged mother and significant other but she gets the best lines during the reverend mother and imperial truthsayer gaius helen mohiam charlotte rampling who is incapable of delivering a less than excellent performance despite the heavy veil implementation of a test fear is the mind killer it is like someone else delivering hamlets to be or not to be speech the creative choice suggests that she is being tested as much as paul by refusing to save him there is an interesting power struggle between jessica and the rest of the bene gesserit regarding how to produce the kwisatz haderach through a breeding program if any part of dune feels reminiscent of villeneuves previous films it is the breeding program it reprises themes from enemy 2013 and blade runner 2049 all women in this universe except for fremen women are double agents with their own agenda by belonging to this breeding cult which entwined itself into the framework of this problematic structure while pauls existence and survival would be impossible without them especially his mother at some point everyone views the women with more suspicious than declared enemies by the end of part one jessica bears no resemblance to the woman having breakfast with her son in the opening she is a fierce driven and focused person intent on her mission and survival even though the plot points may be intentional sardonic takes on such tropes as the noble savage and the white savior they simultaneously validate such tropes in the overt storyline it is kind of like the think pieces on saturday night live where a problematic political figure goes on the show and makes fun of themselves showing that you know something is problematic is not the same as not being a problem dune is not doing the same work as bong joonhos snowpiercer 2013 or parasite 2019 where he takes a storyline where the audience expects one welltrod turn of events then subverts it by obliterating all expectations because the narrative is inherently flawed and needs to be flipped narratives like dune understand what is wrong but cannot imagine how to obliterate it or what being right would look like the storys structure is kind of like paul he is aggrieved that his mom and her fellowship are treating him and others like puppets but he rather likes being center stage whether as a dukes son or the fremens champion it is hard to give up benefits of something that works for you it also unironically purveys in tropes like the evil albino evil albino in chief is baron vladimir harkonnen whom stellan skarsgard plays and proves why he thrives in lars von trier films he relishes being unrecognizable under mounds of practical effects and makeup in gender bending casting sharon duncanbrewster plays dr liet kynes a character with ambiguous allegiances who gets an eleventhhour trite backstory but on the way to that moment is mysterious and intriguing as arrakis guardian javier bardem plays stilgar a fremen and largely provides comedic relief dune is a stunning realization of a beloved scifi series but i felt nothing jargon heavy and remote villeneuves proudest achievement feels like a step back in terms of being more than the equivalent of a purveyor of beautiful gowns once the occasion is over it can be forgotten without any sense of lessons that can be extracted to preserve the heart and soul on harsh realistic days of drudgery side note loved villeneuves allusion to famous paintings such as casper david friedrichs wanderer above the sea of fog or jacqueslouis davids the death of marat
Mar 1 2024,positive, synopsis the feature adaptation of frank herberts science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy when it comes to blockbuster spectacles this past year has been filled with them due to several lockdowns worldwide preventing them from releasing in 2020 it seems like many companies from disney to universal are trying to make their voices the loudest in this competition and yet it has been warner bros who have created the most buzz throughout this past year whether their strategy to trying to be the first with tenet or having a dayanddate release plan with hbo max worked or not their blockbusters become staples for the film community denis villeneuves dune is certainly no exception to that rule it may be intimidating thinking of entering the fictional world of arrakis in the form of a featurelength film but villeneuve takes steps to make sure that the film is accessible to any film fan it does not matter whether you have read the source material or not the information given in this adaptation is easy to process and engaging to follow along with part of that comes to the choice of splitting the book up with this film being part one of what will hopefully be a series to come this choice gives the film plenty of time to breathe and digest the world around us villeneuve is known for his incredible sense of worldbuilding and dune is no exception not only are the visuals stunning but the set of characters all help establish the landscape and political state of this time following paul atreides played by timothée chalamet the son of a duke and someone who at a young age is coming to terms with the power his family holds and the religious and political stance his mother follows the audience is eased into the exposition alongside paul as we see him go on an epic journey the visions that paul has throughout seeing his meeting with chani played by zendaya and a ritual duel he must face the audience is immersed into this world and the stakes that are at play throughout even though this is available to watch on hbo max in the us there is no better way to see this film than on the biggest screen you can when the camera pans over the mass amount of desert the vibrant colors light up the screen as the scope of the landscape becomes clear it is not just the huge showcase scenes that are impressive though as cinematographer greig fraser is able to capture the more intimate moments particularly with paul and his mother lady jessica played by rebecca ferguson beautifully and showcase the more vulnerable moments on screen it would be enough of a cinematic experience with just the visuals but the technical elements within the sound are awardworthy the sound design is balanced incredibly well something that most major blockbusters struggle to do the dialogue is clear and easy to understand and yet it does not take away from the roaring of the aircrafts and the action that takes place not only that but this film is accompanied by the best score of the year of course done by the one and only hans zimmer the blend of orchestral music and the vocal choir creates a range of tones that helps accentuate any moment on the screen leaving shocks going through your body in particular the track ripples in the sand used as one of the leading songs in the promotional material for the film highlights just how good this score really is for some people this film may feel anticlimactic and unfulfilling as of this moment due to it being the first part there is no clear resolution as the journey has only just begun but the structure of the film does help answer a lot of questions and the choice of where to cut the film does feel perfect in its own way villeneuve has managed to create a cinematic masterpiece that makes 155 minutes fly right by whilst also begging for another three hours to complete the rest of the story it has been a long time since i have been this excited about a cinematic experience and i hope everyone else goes out to support it as well
Mar 1 2024,positive, approaching a monumental project like dune has destroyed many great filmmakers while david lynchs 1984 adaptation continues to grow a cult following its far from wellregarded alejandro jodorowsky never saw his depiction come to life despite some wild and ambitious plans yet the choice to serialize and break the story into two parts helps denis villeneuves dune shine as a science fiction epic few movies showcase this scale and once again villeneuve proves himself one of the best filmmakers alive however some early pacing issues and the twopart nature make dune feel somewhat incomplete past the year 10000 two rival families come to blows the harkonnens ruled arrakis with an iron fist the planet home to the indigenous freman possesses large reserves of spice however the emperor of the known universe strips the harkonnens of their rights to the planet worse the stewardship of the planet passes to house atreides  fierce rivals of house harkonnen the battle for control of arrakis begins a deadly game one that leaves paul atreides timothée chalamet and lady jessica rebecca ferguson on a collision course with destiny  herberts dune often received criticism for its depiction of colonialism and white savoir tropes unfortunately these issues cannot be wholly corrected with the castings but villeneuve adds more nuance than most directors would his version does not mix words and lays the track for the idea of propaganda working its way into religious sects  villeneuves depiction of the bene gesserit  a group of mystical women who serve as concubines and partners to the heads of houses  is perhaps the most alluring aspect of dune fergusons performance as a woman with incredible power yet few resources makes for an impeccable performance i personally pushed for ferguson in the awards race primarily based on her ability to craft an emotionally affecting performance while still assisting the worldbuilding while there are other performances that stand out ferguson remains the films mvp  the largest issue facing dune part one undeniably revolves around the table setting it must perform by splitting the story into two halves villeneuve sets up an epic second half of the story however it also means that long sequences serve merely as exposition and world building this is not always exciting cinematically and simply repeating desert power does not further explain why the fremon would be so valuable as allies  one sequence when stilgar javier bardem meets leto  works wonderfully other moments become too repetitive such as seeing fremon near paul refer to him as their mesiah across several scenes surprisingly this becomes an issue of tell instead of show a rare moment for villeneuve to overembrace dialogue while dune part one mostly avoids the pitfall the scenes where it does not stick out like a sore thumb  as dune part two  gets ready for release its worth revisiting our introduction to arrakis while the first part feels like table setting it succeeds because of its brilliant visuals villeneuve continues to build an impressive blockbuster resume and has become a master of scifi in the last decade while dune part one may only be the beginning its a culmination of villeneuves journay as a filmmaker and visionary 
Feb 26 2024,positive, ive always been interested in dune but attempts to get into the beefy novel in the past have failed and while i enjoyed the 80s cheesefest adaptation it didnt really feel like id experienced the alltime classic so when this film came along and was said to be only half the book due to how accurate they aimed it to be i was excited but also weary of potentially the second film not being made so put it in the back of my mind until part two was official then i sort of forgot about it until now so with part two about to hit cinemas lets take a look at the first half of the original dune story shall we in the far flung future the planet arrakis is among the most valuable as its the only planet in the known galaxy that produces a substance called spice that allows interstellar travel for many years the rich and now superwealthy due to owning the spice trade house harkonnen have ruled over the planet but suddenly a call comes from the emperor that theyre to leave as their rival house house atreides are the new owners of the fiefdom this is the general set up that and on arrakis there are native people known as the fremen who have fought against the harkonnen for decades the focus soon narrows on our lead protagonist paul atreides timothée chalamet who is not only the son of atreides leader duke leto atriedes oscar isaac but also the son of lady jessica rebecca freguson a member of the bene gesserit a cult of sorts that have the ability to influence and even command people by the use of their voice and despite the gesserit being exclusively female jessica has been teaching paul in their ways paul has been having visions recently about arrakis more specifically a girl played by zendaya and due to this is increasingly invested in his dads plan of siding with the fremen to create a large army to fight off the inevitable attack by the harkonnen as the atreides get settled on arrakis we find out that the harkonnen leader baron vladimir harkonnen stellan skarsgard has made a deal with the emperor to wipe out house atreides and thanks to this not only does he have his own army led by his nephew glossu rabban dave bautista but also a couple of regiments of the emperors guard to do the deed after a scene where leto and his son explore the local climate which includes large spice mining craft that has to deal with a colossal sand worm that sees paul nearly killed when he accidentally inhales some spice in the air and has another vision it becomes night and the attack begins while leto falls though he does nearly kill vladimir in his final moments paul and jessica manage to escape thanks to the efforts of atreides swordmaster duncan idaho jason momoa and the local ecologist and judge of the change liet kynes sharon duncanbrewster but end up having to travel the dangerous sands of arrakis when they use their commanding voice to down the harkonnen ship they were on it goes without saying given the cast but the acting is top notch and thankfully the visuals match it especially the deserty world of arrakis itself which is handy given the majority of the film takes place there plus the soundtrack is mesmerising and played just right you could argue a slow pace across its two and a half hours though to me that was perfect as it really did need everything to be set up and for you to care about these people before it comes crumbling down and id understand annoyance if you went into the film not knowing this was a part one of two but i can only say that i really enjoyed my night in with the film and im frankly glad i waited this long because having to wait years for part two wouldve been a killer dunes first half lived up to the hype as a mix of political intrigue scifi storytelling and a large selection of really interesting characters all with great visuals and sound design to match the two and a half hours flew by and left me really looking forward to more which is something very few films that length can claim roll on part two as paul and his mother survive a night on the sands the new duke of atreides has another spiceinduced vision this time of himself and the mysterious girl starting something of a war across the known galaxy and deposing the emperor as they watch the bodies pile up in their name a vision that scares the boy and has him lash out at his mother for giving him these gifts the two decide to cross the desert to find the fremen for assistance to get offworld in jessicas mind but for paul its all about fulfilling his fathers dream of uniting them so he can get revenge on the harkonnen and reclaim arrakis on the way they narrowly avoid being devoured by a massive sand worm in a great scene you saw in all the trailers
Feb 24 2024,positive, 2021 is a year unlike any other but also a year like every other year  yes theaters reopened kind of yes cinema was saved by three young men in spider suits kind of and yet living in an area not catered to by independent film many of my best films of the year happened right at the end which always makes context difficult on top of that there are films that as of this posting are not available to be seen im looking at you the tragedy of macbeth and the worst person in the world  but i digress as there were still great films to be seen in 2021  here are my top 10 this year minus some movies that i wish made my list i solemnly swear that films like copshop no time to die in the heights and tick tickboom were on my top 10 for most of the year  alas ridley scott provided maybe the biggest surprise of the year not sure that there was a movie with worse press leading up to its release a rashomonlike story about a sexual assault directed by a man yikes  and yet it all works ben affleck gave us one of my favorite characters of the year and jodie comer is a top 5 female performance for sure her subtle and unsubtle acting choices differentiating the three versions of the story take us on a serious journey not only into the events but her characters psyche throughout plus the titular duel absolutely lives up to the hype  the brutality of the time is encapsulated perfectly in ridleys vision this is one of the many late comers to my list but mass was worth the wait yes it is stagey it is basically in one location  but the screenplay and simple camerawork draw you in and brings you into horrific pain looking away never feels like an option and that is due to four near pitchperfect performances picking a favorite seems trite as they all build on each other but it was wonderful to see jason isaacs being given a chance to bite into a serious role again he along with all three leads deserves both serious awards consideration and a chance to play these types of characters again welcome to the year of the musical as a fan i am here for it i actually have three musicals in my top 20 but this is the best of them yes there is one gaping hole of charisma in a lead but the other lead and supports make up for it ariana debose lives up to rita moreno rachel zegler passed sondheims test and mike faist absolutely owns riff but still the most important pieces are behind the camera from the audacious opening shot to the decision to stage america off of a rooftop spielberg cinematographer janusz kaminski and a fabulous adaptation from tony kushner enable west side story to make all the right choices for a 2021 update the first of three foreign language films may be the most difficult film on my list not too expected given that it is adapted from a short story from haruki murukami short story the film dares to truly take its time not every journey is worth three hours but the performances of hidetoshi nishijima and tôko miura carry the film even in moments of silence drive my car will not be for everyone but for those willing your patience will be rewarded in the purest form of empathy available for cinephiles this year possibly the most beautiful and near inscrutable film this year is david lowerys epic arthurian tale in a film world full of obvious explanations the green knight provides precious few dev patel proves once again that you can use a diverse cast of phenomenal actors and it doesnt make one bit of difference he defies your sense of supposed believability and completely inhabits the character of gawain patel exhibits sensuality insecurity and honor all in one beautiful two hour stretch lowery proves once again that he is a do everything filmmaker that love him or hate him has a singular vision worth watching look let me get this out of the way  im a fan of the book and i was completely sure that no one could do this but by god mr villenueve found a way part art film part big budget science fiction dune really hit all the marks there are even moments that surpass the novel especially the relationship between leto and paul mainly due to a heartfelt speech from oscar isaac stunning cinematography paired with a perfectly cast film especially jason momoa of all people ends up with a truly rewarding big screen saga for the ages just give me part 2 already this was definitely the movie i looked forward to most this year i mean its paul thomas anderson the man hasnt made a bad movie yet its weird to find a movie underwhelming at number four but i firmly expected this to be my favorite of the year but it is still obviously fantastic most of the complaints about the film are wildly overblown but it is a challenge alana haim and cooper hoffman shine and it is especially lovely to see normal looking people in major film roles licorice pizza also provides maybe the most fun low speed vehicle chase in film history it is a grand fun romantic ride that i guess will provide even more greatness on rewatch much has already been said about jane campions western masterpiece and for good reason it is indeed truly great benedict cumberbatch gives a career best performance american accent and all his switch from terrifying monster to tough love mentor and back again is truly one for the ages campion in a change from previous work zeroes in on toxic masculinity with a laser focus that is wildly uncomfortable to watch the power of the dog proves beyond the shadow of a doubt that you do not need pure good character to root for to make your movie not just watchable but engrossing  yes yes the movie where she has sex with a car  its real and it is phenomenal i did not think that i could be more impressed with julia ducournau after raw but this is somehow even better her lack of concern with being accepted or understood by mainstream audiences is infectious titane plays with gender parental relationships and sexuality in equal measure it is a near impossible film to describe or recommend but here i am doing both if you actually want to be pushed as a film viewer ducournau is the director you should be watching she managed to make a movie weirder after making a film about cannibalism some of the most stunning imagery of the year wrapped in a film that sticks with you for months ugly and beautiful pedro almodóvar and penélope cruz are obviously a match made in cinephile heaven it seems like no one gets her skill set quite like pedro parallel mothers is a rare movie one that completely subverts expectations just with the final scene it feels like melodrama surrounded by political moments that will be forgotten but have faith it all comes together with a perfection that is unnerving the final shot colors the journey we have been on in a way that will haunt you as long as you are paying attention not only am i sure that it will become even better on rewatch but it has actually gained in my esteem the more i think about it this is almodóvar at his most political and romantic an absolute treat for all of the senses 
Oct 11 2023,positive, hearst television participates in various affiliate marketing programs which means we may get paid commissions on editorially chosen products purchased through our links to retailer sites
Aug 10 2023,positive, bakersfield calif kget  one new version of an old story that works while another one that fails are among this weeks new entertainment options dune 3 ½ stars director denis villeneuve faced a major challenge in creating dune an epic science fiction production based on the classic 1965 frank herbert novel of the same name herberts writing is so rich and complicated that past efforts to adapt the book have either failed to happen or in the case of the 1984 film from director david lynch could not live up to the power and grandeur of the original writing villeneuve blade runner 2049 has succeeded where others have failed by showing a deep respect for the novel but also being equally aware that the very essence of the production is that it must be entertaining his dune is a visually stunning tale of greed power hope and love that finds sharp contrasts in a monochromatic environment telling the tale in a proper way is complicated by the futuristic world that herbert created as the setting for his story unlike the picturesque beauty of the lord of the rings setting or the intergalactic backdrop of the star wars franchise dune unfolds in a world almost void of color despite the harshness of the location villeneuve has created a film that embraces what should be dismissed as visually bland and shows how beauty can be found in even the most subtle of differences he got great help from twotime oscarnominated production designer patrice vermette twotime oscarnominated editor joe walker twotime oscarwinning visual effects supervisor paul lambert and oscarwinning special effects supervisor gerd nefzer in creating the stunning visuals in the film halloween kills grade ½ star the film picks up moments after babysitterturnedvigilant laurie strode jamie lee curtis her daughter karen judy greer and granddaughter allyson andi matichak have killed myers in the 2018 film halloween they have left him caged in lauries basement that has been set on fire of course myers doesnt die and sets off on a killing spree where the deaths range from grossly bloody to super silly no one should ever have to die by having a car door hit the gun they are firing and accidentally shooting themselves david gordon green danny mcbride scott teems  writers of halloween kills  try to pass off what is shorter than a fortune cookie message as a full movie script the entire story is michael myers kills stupid people who chase him the trio has taken the pathetic horror film trope of having the victims of the killer hopelessly running away until they can be slaughtered and turned it into everyone running toward the killer until they can be slaughtered they were going to get killed anyway but the stupidity level of this movie will make your head hurt cobra kai iii series takes place more than 30 years after the events of the 1984 all valley karate tournament with the conflict between daniel larusso ralph macchio and johnny lawrence william zabka mass two sets of parents reed birney and ann dowd jason isaacs and martha plimpton agree to talk privately in an attempt to move forward years after an unspeakable tragedy tore their lives apart to have a successful garden you need to know when it is the best time to plant here are the best plants to start in may
Aug 8 2023,positive, initially scheduled to be released in 2020 and postponed many times due to the pandemic dune 2021 has been on everyones radar for over a year and with good reason ever since the release of david lynchs 1984 misfire and an ambitious but flawed 2000 television miniseries as well as the failed release of jodorowskys promising adaptation fans of frank herberts acclaimed novels have been waiting a long time for someone to bring dune to the big screen while preserving the scale and scope of what continues to be one of the most beloved and influential sagas in scifi history  and with master storyteller denis villeneuve arrival blade runner 2049 at the helm a stellar cast and a team of creatives of the likes of composer hans zimmer inception director of photography greig fraser zero dark thirty production designer patrice vermette arrival sicario editor joe walker blade runner 2049 and oscarwinning visual effects supervisors paul lambert first man and gerd nefzer blade runner 2049 it wont come as a surprise that dune is just as enthralling epic and stunning as we hoped it would be though villeneuves latest film isnt at times entirely satisfying narratively speaking its certainly the best adaptation of the novel to date as well as a technically flawless incredibly immersive experience whose impressive worldbuilding requires you to watch it on the biggest screen possible set thousands of years in the future dune is a story that touches upon many themes and takes place in an interstellar society where different civilizations are fighting to gain control of the most valuable substance in the universe   a rare and highly valued natural resource they call the spice which can influence anything from space travel to commerce knowledge and even human existence itself but dunes universe is as complex as it is full of planets whose inhabitants come with different sets of motives and purposes theres the desert planet of arrakis where the spice can be harvested but that is made inhospitable by elements that vary from unbearable heat and frequent sandstorms to terrifying deadly sandworms that tend to show up at the worst possible time living on arrakis are an indigenous spiritual human civilization called the fremen as well as many wealthy oppressors that take turns colonising it sent by the emperor to harvest the spice  when dune begins an imperial decree has just made duke leto of the house of atreides oscar isaac of the star wars franchise and the card counter from planet caladan the new governor of arrakis and that causes friction with the previous residents of the planet the harkonnens rivals of the atreides led by baron harkonnen stellan skarsgård of chernobyl and mamma mia and eager to regain control of the planet the former colonisers start plotting to defeat duke leto and his family  the dukes concubine lady jessica rebecca ferguson of mission impossible  fallout whos part of the bene gesserit an ancient religious order of women with superhuman mental and physical abilities and their son paul atreides timothée chalamet of call me by your name and little women who shares her mothers powers and who also happens to be destined to save the universe and ensure the future of humanity  just like the book the film begins with duke leto jessica and paul embarking on a trip to arrakis with swordmaster duncan idaho jason momoa of aquaman and game of thrones and follows them on a journey where nothing and no one are quite what they seem as the atreides attempt to forge alliances and fight for their own survival paul tries to decode a series of visions that mainly involve a mysterious fremen girl whom well later come to know as chani zendaya of malcolm  marie and hbos euphoria and to master the voice the power of the bene gesserit in the attempt to become the mind powerful enough to breach space and time past and future that many believe to be coming to save the world this brief introduction doesnt even begin to describe the complexities of dunes universe a world made of a myriad of characters and exploring many themes from religion and politics to environmental change all while following a young mans journey of discovery of his own identity and a quest to fulfill his destiny that sees him battling against powerful unknown forces in fact dunes world is so intricate and full of characters locations and unknown terminology that one of the issues with past adaptations of the novels was that the uninitiated struggled to understand the universes dynamics and rules that was the case with david lynchs film where the initial lack of explanations on the nature of the sand and the characters role within the narrative made it hard for people who hadnt read the novel to follow our heros quest  but whats really impressive about dune 2021 is that its surprisingly easy to follow cowriters denis villeneuve jon spaihts prometheus and eric roth forrest gump cleverly weave information into the narrative in a way that ensures were immediately able to grasp the essential facts we need to know about a world that never fails to be absorbing and intriguing as theres just as much mystery and action to keep us entertained throughout in fact its easy not to notice that dune is nearly three hours long as its so effortless to get drawn into an utterly fascinating world we cant wait to explore made all the more compelling by the films sound design and cinematography as well as a series of memorable performances that will have your eyes glued to the screen as a fan of the novels it has been a lifelong dream of composer hans zimmer inception to score a dune adaptation and when the opportunity came along he rose to the occasion by crafting an unforgettable instantly iconic score that highly contributes to giving the film a more defined identity as well as making it more immersive and affecting on an emotional level dark ominous cues make the tension rise and the action become more urgent while percussions draw us into the films mysteries the use of certain notes often gives the film an otherworldly quality and a feeling of suspension of time while a chorus of female voices makes everything more solemn and mystical reflecting the power of the films female characters  and if dunes score and sound design give the movie more depth and meaning its the films stunning worldbuilding that gives us a world that youll instantly recognise if youve read the book and that youll be immediately drawn to even if you havent while the scifi components of the film such as the suits worn by the fremen the sandstorm and a series of buildings ships and props are somewhat reminiscent of arrival the gorgeous desaturated palette that defines arrakis gives us plenty of meditative quiet moments while the mystical quality of pauls visions reflect his mental state as well as the journey thats ahead of him needless to say paul couldnt have been played by anyone else but timothée chalamet who inhabits the role with incredible confidence showing us a character in constant evolution who does what he can to control the forces and voices inside him without losing his own self all while having to unexpectedly take on a new role thats bigger than himself if the films screenplay gives paul plenty of epic memorable lines its chalamet who brings his character to life by letting raw emotion through at exactly the right times showing us a lost boy hiding in a hole in the ground who inevitably becomes the leader he was meant to be  which makes for highly rewarding meaningful storytelling sharing many scenes together chalamet and rebecca ferguson complement each other perfectly and the chemistry between them is undeniable  ferguson excels at playing one of the most complex characters in the film showing us a woman whos constantly conflicted between her duties as a sorceress and as a mother and giving us more than one goosebumpworthy scene while also conveying the wisdom of someone whos seen and experienced a great deal during her lifetime chalamet and ferguson are the films standouts but every single cast member gives us incredibly committed performances that help give depth to their characters oscar isaac moves us more than once as duke leto one of the films most likeable characters while javier bardem no country for old men imbues enigmatic fremen leader stilgar with passion gravity and raw power with facial expressions alone  zendayas body acting draws us to her character even if she hardly ever speaks stellan skarsgård never fails to terrify us as baron harkonnen and dave bautista the guardians of the galaxy films and avengers endgame and josh brolin milk and avengers infinity war are just as fearsome as harkonnens nephew and war master among the supporting characters the standout is sharon duncanbrewster sex education who plays ecologist lietkynes who has been genderswapped from the novels one of dunes most fascinating and intriguing characters made unforgettable by the intensity with which duncanbrewster delivers her lines when i left todays screening of dune at the venice film festival i was mesmerised by the craft on display from the films achievements on a technical level to a series of highly believable committed performances that alone make the film so very compelling and absorbing yet i found that something was missing and that something has to do with the films narrative while its no secret that the director would like there to be a part 2 to the film its also hard not to notice that dune would feel absolutely incomplete if it were to stand on its own as not only does the entire film revolve around a conflict that isnt resolved by the time it ends but the ending itself feels like it should be a beginning and it can be very frustrating to get invested in a story that ultimately leaves you with no answers and no real resolution only time will tell what dune will turn out to be as a final product and whether or not it will be developed into something more than a standalone film for now we can enjoy watching an incredibly wellcrafted adaptation thats faithful to the source material while also breathing new life into it and an immersive epic cinematic journey that will absolutely leave you aching for more
Jul 28 2023,positive, the many media attempts at adapting frank herberts epic space fantasy dune speak to its lasting appeal and its potent impact david lynchs 1984 movie defended by the filmmakers most ardent supporters but excoriated by a larger chorus disappointed in the heavy hand applied by house de laurentiis marked the end of a lengthy journey to the screen that defeated the likes of alejandro jodorowsky and ridley scott along the way dreams of what might have been  orson welles as baron harkonnen moebius and h r giger design  gave way to the realities of any faithful adaptation at its best herberts book presents a stunning vision of political power ecologicalenvironmental awareness rulingclass genealogy military conflict thrilling mysticism and religious mythmaking filtered through a messianic heros journey at its weakest dune has too many scenes of people standing around and talking denis villeneuves dune part one is a worthy addition to the collection besting the lynch film in certain ways but still flummoxed and frustrated by the source materials conversationheavy downside villeneuve is clearly a fan a bene gesseritlevel adherent to the weirding way and a desert mouse who respects the shaihulud the directors impressive track record with dazzling ideas andor imagery in settings both smaller prisoners enemy and grander arrival blade runner 2049 raised expectations higher than a guild navigator on uncut spice in dune the filmmaker delivers at least 450 meters of worldbuilding eye candy to remind everyone of herberts farreaching influence villeneuve juggles a huge cast filled with famous and shouldbe famous performers wellsuited to flesh out their occasionally flat literary antecedents some great faces made up lynchs roster including many favorites in the filmmakers stock company and villeneuve could not ask for more capable portrayers in nearly all the principal and supporting roles rebecca ferguson as jessica and oscar isaac as duke leto atreides despite sharing few oneonone scenes walk off with the movie while lynchs screenplay diminished and truncated jurgen prochnows leto villeneuve concentrates the time and attention required to both express the shakespearean tragedy of the red duke and articulate the emotional connection between leto and his son perhaps jodorowsky was on to something when he argued for a 10 to 14hour running time if all goes according to plan dune part two will remedy the insufficient almost fleeting presence of zendayas chani javier bardems stilgar and even dave bautistas beast rabban theres no question that villeneuves decision to divide the book leaves both newcomers and the dune faithful with lots of questions and the empty feelings that go along with unfinished business as many viewers have already noted the second section should have been filmed at the same time and prepared for a 2022 release villeneuves  dune  takes itself so seriously that plenty of observers have dipped their gom jabbar needles into poisoned inkwells david ehrlichs vicious takedown at indiewire is entertainingly arch slightly cruel and not entirely fair peter opaskars wild tongueincheek defense of lynchs version as the greatest film ever made  one of several recent reassessments of the 1984 movie  was posted at arts technica before the critic watched the new one i am glad to live in a world where we already have two big screen interpretations and frank pavitchs fantastic documentary if we dont destroy ourselves there will surely be enough dune by the year 10191 to please everybody greg carlson gcarlson1972 is an associate professor of communication studies and the director of the interdisciplinary film studies minor program at concordia college in moorhead minnesota he is also the film editor of the high plains reader where his writing has appeared since 1997
