Dates,Scores,Reviews
Apr 14 2024,positive,the best movie of the 2020s
Apr 14 2024,neutral,i have to say the best part of the whole movie was austin butlers performance as feydhe was amazing and deserves 5 stars for surehe definitely left me wanting to see more of him in this movie and beyond  while i enjoyed the rest of the movie it was just too long and some parts really draggedwould have liked it better if it was 2 hours or less
Apr 14 2024,positive,denis villeneuve knew how to transcribe exactly what is in the books  spectacular photography impeccable visual effects and a magnificent story 10 of 10
Apr 14 2024,positive,epic great sound reverberation to amplify experience magestic scenery and entertaining storyline
Apr 14 2024,positive,love all things dune  liked this movie a lot watched it twice in the theaters liked the previous one a bit more watched that one four times in the theater
Apr 14 2024,neutral,this wellmade movie doesnt engage in an oversaturated scifi saga blockbuster era if only it came out fifty years ago
Apr 13 2024,negative,ridiculous long boring and a waste of time unless  you bring a pillow blanket and nap during the movie it seems like it was made using deleted scenes from other movies my legs hurt and im writing this review while watching it help i want my money back
Apr 13 2024,negative,long and boring plus i dont get it
Apr 13 2024,positive,incredible film wow wanted to first give a hats off to the whole cast every single one of them absolutely killed there role cinematography was perfection story had my attention the whole movie  if u have not seen it please go watch it
Apr 13 2024,positive,810 timothee chalamet was great 
Apr 13 2024,positive,i enjoyed it   good story picking upfrom the last
Apr 13 2024,negative,way overrated movie boring as hell me and my wife have watched for the first 20 minutes and almost fell sleep so we have watched for another 20 minutes and left
Apr 13 2024,positive,not bad and quite good in some places but the pacing editing and continuity of the story is rather messy
Apr 13 2024,positive,must see loved both movies
Apr 13 2024,positive,doesnt disappoint worth the sit
Apr 13 2024,positive,this movie is like anthropology with adrenaline picture the story of the hobbit mixed with star wars blended with got some in my group got a little confused but i found it totally fascinating  followable watched part 1 only 4 months ago hoping theyre working on a part lll
Apr 13 2024,positive,not herberts dune stick with syfy miniseries for authors vision villeneuve made good scifi but sacrificed herberts complex mystical aspects and elegance instead we get highly edited modern attitudes and sensibilities herberts chani was the strong and loyal fremen who was the center of pauls life villeneuve has her mock southern fremen fundamentalism and abandons paul its good space opera but lacks the substance of herberts dune misses its rewarding complexity read the book for something wonderful while lynchs 1984 dune was a strange mélange at least it retained some of herberts vision villeneuve is just dunelite
Apr 13 2024,positive,one of the best series ive seen in a long time cinematography and music score are fabulous very original story line and u love to hate some of the characters would highly recommend
Apr 13 2024,positive,way over rated like part one long and laborious at times but if you have invested your time in part 1 like me youll be watching this and part 3 anyway 
Apr 13 2024,positive,its such a great and unusual story  its a must see on the big screen
Apr 13 2024,negative,it is visually thrilling but a bit lagging
