Dates,Scores,Reviews
Apr 11 2024,positive, making a big studio film is always a risk and intentionally splitting the central narrative across two or more movies amplifies that risk in every possible way sometimes it pays off as with the star wars franchises nearly halfcentury run and sometimes it shits the bed  studios spent 400 million making three divergent films only to cancel the fourth one leaving the whole series without an ending dune hit theaters and hbo max in 2021 with the sequels production dependent on its success and happily that success came both on the big screen and small nearly three years later that sequel has arrived and dune part two is a magnificent followup that blows open the action themes and relationships of the first in fantastically thrilling ways dune ends with the annihilation of the house atreides empire leaving only paul timothée chalamet and his mother lady jessica rebecca ferguson alive the pair are taken in by cautious members of the fremen as paul proclaims his intentions to help the people secure freedom from oppression and the new film picks up mere hours later fremen leader stilgar javier bardem believes paul to be the much prophesied messiah come to save the fremen people others suspect he may be a spy and desert warrior and frequent guest in pauls dreams chani zendaya finds her own convictions about the whole thing conflicting with intense romantic feelings meanwhile space wipe elsewhere in the universe baron harkonnen stellan skarsgård is growing tired of losing very profitable spice harvests to fremen raids on arrakis he dispatches his sadistic nephew feydrautha austin butler to squash the rebellion and kill the mysterious muaddib its paul leading the charge seems like a simple enough clash between good and evil but what if pauls own visions of a holy war  with him at the helm  takes priority theres a lot going on in dune part two far more than a reviews plot synopsis can handle and all of it sings with drama tension thrills and incredibly rich character beats director denis villeneuve shows once again that science fiction is his home as he builds on the first films setup to deliver a true epic enormous setpieces visually stunning effects costume design as eclectic as it is mad and exciting action share the screen with charisma torrents of emotion courtesy of a terrific zendaya and a shifting darkness worthy of an empire strikes back comparison zendayas chani was present in the first film but she appeared mostly as a silent vision before finally arriving late in the third act but shes every bit the heart and soul of dune part two you immediately buy into the fierceness with which she fights and stands for her people and while theres the tease of ya romance early on she quickly finds her footing as an independent voice leery of pauls status as savior to the fremen her love is tangible but its at odds with legitimate concern leading to an emotionally torn performance chalamet shines too and hasnt felt this allin and tangible since call me by your name 2017 and ferguson doubles down as a human monster prone to twisted heinous and devious moves in the shadows other returning performers including josh brolin dave bautista charlotte rampling and bardem all do good work but newcomers quickly make their mark christopher walken plays the emperor of the known universe florence pugh is his daughter and léa seydoux joins lady jessica as another member of the secretive and powerful bene gesserit its butler who steals his every scene though as a brutally intense harkonnen with his own cruel plans for the future while the bulk of the films hefty but never really felt running time unfolds on the golden red sands of arrakis villeneuve wisely shifts our attention elsewhere at times the script cowritten by villeneuve and jon spaihts uses that time to introduce new characters and story threads while cinematographer greig fraser and production designer patrice vermette take the opportunity to cut loose on the visual front scenes on the harkonnen home planet feel almost monochrome in the starkness and their milky alienlike skin and it works to maximize the oppressive nature of their rule its tempting to read some connection to todays very specific real world conflicts into the films depiction of the fremen and their oppressors but that would be a mistake the tragedy and oppression have very real counterparts but the same could be said of the 80s when david lynchs adaptation was released of the 60s when herberts novels first hit shelves and nearly any other time in human history its just what we do as a species every time all the time and herberts fiction just added sand worms all fictions borrow liberally from reality and to get hung up on correlation is to derail the experience that is villeneuves dune part two the film can be enjoyed merely as a big surfacelevel thrill ride delivering memorable sequences like pauls first attempts at riding a giant sand worm and characters worth rooting for or despising the textures and themes are there though for viewers who like their blockbuster entertainment woven through dense worldbuilding critical commentaries on theocracies colonization and the ease with which people succumb to religious delusion come for the spectacle stay for the heart and heroism the delicious villainy and the emotionally epic finale no matter your tastes dune part two has you covered
Apr 7 2024,positive, full disclosure i am a dune neophyte however i resolved before diving into denis villeneuves newest release dune part two to finally remedy that this week ive been basking in dune through all its cinematic forms 1984 2021 theres so much to see and even more to try and understand dune part two hits theaters this week facing massive expectations critics are calling it one of the greatest scifi films of all time does the film live up to the cosmic hype or are there spicy takes in its future  dune part two jumps back into the continuing story of paul atreides timothée chalamet as he lands on arrakis he resolves to settle in with the local population rain vengeance down on those who wronged his family and then theres that whole thing about being the chosen one the film features a supersized allstar cast including zendaya rebecca ferguson javier bardem josh brolin austin butler florence pugh and dave bautista denis villeneuve directs dune part two from a script he cowrote with jon spaihts the film comes from frank herberts novel  after what can only be described as a spicy dune week kids yours truly was prepared to come in with some skepticism how can anything live up to the personality and lynchian wackiness of dune 1984 well it turns out denis villeneuve can  sometimes we have to admit when were wrong the proverbial hat must be eaten the hype is in fact real and at this point denis villeneuve is just showing off this film is a giant hans zimmerscored cinematic work of art the creative team does not put a foot wrong in telling this supersized and ambitious story and even more impressive they not only push but also shove the creative standard forward few franchises show the flawless visual mastery on display here villeneuve depicts a world that feels real the graphics and the effects never falter the characters move freely through the climate never limited by technology this world is vivid beautiful and fully realized in a way we dont often see  meanwhile the movie pulls together a packed cast of not only seasoned veterans but also some of the industrys best young talent there isnt a bad performance in the bunch of course wed be shirking our responsibilities if we didnt give special mention to timothée chalamet as paul the young actor has been lighting up the screen since his mainstream debut in 2017s call me by your name this time out however hes broken fully from the juvenile roles that have previously been his bread and butter chalamet is fully immersed in pauls dynamic and complicated intricacies theres a heartbreaking emotion here and a power and authority he hasnt often worked with in previous roles at the same time actor and director are fully united in the exploration of pauls ambiguity this is seen most strikingly in the third act one particular wordless scene shows this in terrifying clarity as chalamet not only dominates the frame but shows everything he can do with a single look so much is said without leaning on a single line of dialogue this silent power is in truth a commonality in dune part two as a filmmaker villeneuve is very much a practitioner of show dont tell this script is scant and leans heavily into these vivid worlds or equally striking performances to convey its message in the wrong hands this dense quiet beast of a movie could prove an insurmountable hurdle the film is pushing two hours and 40 minutes after all yet while this movie cant be called a breeze it never feels long and it never drags dune part two is allconsuming  this is one of those works where seeing this on as big a screen as possible is necessary dune part two loudly proclaims this in its marketing unfortunately theyre right this is a movie made for an imax screen its a big brash imax film when you factor in the hans zimmer score kids i could feel my bones vibrating thats power  when all is said and done this can only be described as an unapologetic rave this dune neophyte came into dune part two and was thrown for a loop in the best possible way director denis villeneuve jumps into what could easily be a bythebooks franchise sequel and creates a cinematic feast for the senses dune fans scifi fans and cinephiles alike should certainly have this one on their lists  a film nerd from my earliest years watching abbott and costello that eventually translated to a masters degree in film history i spend my time working on my fiction projects in all their forms as well as covering film and television
Apr 2 2024,positive,dune part two is a mustwatch epic scifi visually stunning adventure that could already be considered the best movie of the year
Apr 1 2024,positive, by entering your email address you agree to our terms of use and privacy policy and consent to receive emails from time out about news events offers and partner promotions our newsletter handdelivers the best bits to your inbox sign up to unlock our digital magazines and also receive the latest news events offers and partner promotions by entering your email address you agree to our terms of use and privacy policy and consent to receive emails from time out about news events offers and partner promotions by entering your email address you agree to our terms of use and privacy policy and consent to receive emails from time out about news events offers and partner promotions beyond its breathtaking battles and galactic machinations all soundtracked by a hans zimmer score in which the german composer seems to have set all the nobs turned to loudest possible whats most impressive about this seriouslyimpressive blockbuster sequel takes place beneath the surface and its not the colossal sandworms no its the subtle character shifts that make dune part two cerebral as well as cacophonous the plates are always moving in frank herberts seminal scifi novels todays heroes are tomorrows pile of corpses denis villeneuve a writerdirector whos been keen to get his teeth into the tough stuff since his early work like polytechnique 2009 and incendies 2010 gets all this and his screenplay again cowritten with prometheuss jon spaihts gives us a heros journey with real devil in it as a sequel it works for the same reasons that make the empire strikes back so many peoples favourite star wars film theres a darkness a bleakness that makes the fistpumping moments feel allthemore earned theres a sense too that the good guys may not win out if theyre even good  it opens with just that stark vision of piled corpses the vanquished atreides clan lies smoldering on the inhospitable landscape of arrakis while the treacherous harkonnen spearheaded by dave bautistas thuggish beast set about harvesting the place for its spice reserves only timothée chalamets paul atreides and his mystical bene gesserit mum jessica rebecca ferguson a standout have escaped the carnage and begun the dangerous business of assimilating with the desert freman people on the checklist guerilla warfare sandworm wrangling and something worryingly referred to as holy poison villeneuves films can be selfserious but javier bardem punctures the solemnity as freman leader stilgar increasingly dunes twinkly answer to anthony quinn in lawrence of arabia a key text for the canadians vision  right down to their shared wadi rum locations  the burgeoning romance between paul and zendayas freman warrior chani goes a bit nicholas sparks in a midmovie lull  he was a boy from the other world she was a girl from the wrong side of the dune etc  but those doeeyed scenes pay off in a final act that upends expectations and gives zendaya a chance to cut loose  the harkonnen foes they engage in thrilling spice harvester ambushes are an even more vicious visceral presence than in the first film stellan skarsgårds bloated baron harkokken oversees the attempted extermination of the freman with a ruthlessness that makes his first name vladimir all the more apt they speak in the language of ethnic cleansing  the freman are referred to as rats  and unleash a new superbad in the barons psychotic nephew feydrautha played by elvis star austin butler with the blackened palate of a mamba and sharpened teeth hes an unearthly and bloodthirsty creation  a memorable scifi baddie with cinematographer greig fraser villeneuve captures his violent initiation in desatured monochrome a stark black and white aesthetic in a movie full of grey areas crucially for all their parallels paul and feydrautha arent just two sides of the same coin pauls quest for the soul of the freman takes dune part two into some areas that may feel uncomfortably resonant in 2024  even with all the trippy evangelical mysticism and peyotelike wigouts messianic complexes populism violent jihad and ethnic cleansing arent the building blocks of your average hollywood blockbuster then again villeneuve doesnt make thosein cinemas worldwide mar 1 by entering your email address you agree to our terms of use and privacy policy and consent to receive emails from time out about news events offers and partner promotions by entering your email address you agree to our terms of use and privacy policy and consent to receive emails from time out about news events offers and partner promotions
Apr 1 2024,positive, the scifi epic dune part two is rich in multilayered worldbuilding while its dense story might leave some cold this is a movie meant for bigscreen grandeur from the detailed costumes to the cinematography special effects and score set on a desert planet where a hallucinogenic spice sets warring factions against each other dune part two is a sight to behold especially in imax spice sparkles in the air above waves of sand dunes warriors face off in a blackandwhite arena while inkblot fireworks dot the sky a domed spaceship lays waste to a sacred tomb in a thunderous volley flames spill across a mirrored palace and a desert people thump a rhythm into the ground summoning giant sandworms for transportation and battle yet for all the filmmaking craft onscreen your mileage with the story may vary fans of frank herberts dune novels first published in 1965 no doubt will enjoy it others might have trouble keeping track of whos against whom or connecting emotionally with the narrative those who havent seen 2021s dune or read the books will find dune part two much like jumping into the middle seasons of game of thrones that said what returning director denis villeneuve and his team bring to the table is impressive the 2021 film picked up six oscars sound visual effects production design film editing cinematography and original score here that artistry again is striking with hans zimmers percussive score patrice vermettes production design and jacqueline wests intricate costumes particular standouts the script by villeneuve and returning cowriter jon spaihts picks up largely where the 2021 film left offand ends on an ambivalent note even after two hours and 46 minutes thankfully while the earlier film handled a lot of table setting this one dives right into the action unfurling at a brisk pace after the slaughter of his father and most of their supporters in the previous film paul timothée chalamet wonka and his mother jessica rebecca ferguson silo have become embedded with the fremen the desert people of the planet arrakis arrakis is the source of spice which the harkonnen family led on the ground by dave bautista the boy and the heron now mines having usurped pauls late father as governor power over spice is power over all a voice intones before the film even begins which is about as much backstory as dune part two allows the fremen led by stilgar javier bardem the little mermaid distrust outsiders and want the harkonnens gone theyve taken in paul and jessica because paul exhibits signs of being the prophesied leader for whom theyve waited centuriesa position that paul initially finds uncomfortable much of the dramatic tension comes from paul wanting to avenge his fathers death but being reluctant to take on the chosen one mantle chalamet plays paul with a believable sincerity happy to fight alongside the fremen and telling jessica they deserve to be led by one of their own  its not a prophecy its a story you keep telling as jessica ferguson is formidable her clipped tone and intense bearing more intimidating than the tattoos that adorn her face once she becomes the fremens reverend mother or religious leader as other women in her religious order the bene gesserit plot to create another heir the emperor christopher walken and his daughter irulan florence pugh oppenheimer discuss how to quash the fremen uprising meanwhile the pregnant jessica speaks with her developing fetus who in an otherworldly touch responds in voiceover pauls initial earnestness and scrappiness as a guerilla fighter against the harkonnens wins him the admiration of the fremen and the love of chani zendaya euphoria the two create a playful spark in early scenes such as when chani coaches paul how to walk across the sand without causing tremors that summon sandworms he contradicts her based on what hes read then realizes hes mansplaining to a native and apologizes the tugofwar over whether hell embrace his fate and just what that might be gives dune part two substance even if pauls decision ultimately feels abrupt among the other players in the allstar cast austin butler elvis is all forehead and no eyebrows as the sociopathic feydrautha a harkonnen set up as a foil for paul bardem earns several laughs with his sly delivery such as when stilgar notes that pauls humility is exactly what the foretold prophet would have the fremen though coded as middle eastern and north african still have few mena actors in prominent roles although souheila yacoub making of is a welcome and feisty addition as chanis friend shishakli valerie kalfrin is an awardwinning crime journalist turned freelance film writer whose work appears at rogerebertcom in their own league script the hollywood reporter and other outlets also a screenwriter and script consultant shes passionate about challenging stereotypes about gender and disability lets tell better stories and tell stories better
Mar 29 2024,positive, fritz lang george lucas ridley scott the lineage of great scifi directors is extensive but dune part two serves as an incredibly strong case to make the claim that villeneuve is the greatest of all time maximalist in every conceivable way the canadians latest offering is an absolute masterclass not only in space operas but also science fiction filmmaking itself 2021s dune part one set a rather high bar for itself but part two sent it into the stratosphere far above arrakis immediately picking up from the events of its predecessor part two has paul timothée chalamet and his mother jessica rebecca ferguson joining the ranks of stilgar javier bardem and chani zendaya members of the fremen desertdwelling arrakis natives survivors of the devastating attack upon house atreides by the brutish harkonnens paul and jessica are now exiles largely believed to be dead having overcome a harkonnen attack en route to the fremen settlement of sietch tabr mother and son are met with a mixture of suspicion and welcoming some believe them to be spies and others believe they are the fulfilment of a prophecy to free arrakis and to start a holy war their individual paths become clear paul is to embrace the fremen ways and lead them and jessica is to succeed the fremens dying reverend mother its here that the particularly islamic influence of prophetic religion upon herberts writing begins to take centre stage though is still partially diluted from its source material stilgar a native of the fundamentalist south rapidly becomes staunch in his belief that paul is the lisan al gaib the messianic figure as prophesied to his people representing the more sceptical fremen is chani a native of the north who joins others in not believing the prophecy with jessica having consumed the water of life she has inherited not only the mantle of reverend mother but also the memories of all her predecessors  as she points out to paul this traumatic ascension includes inheriting all of their tears pain and suffering undoubtedly anticipating the discourse that has since grown concerning cultural appropriation villeneuve delicately but directly tackles this through paul and jessicas selfinsertion into fremen culture jessicas manipulation of the fundamentalists through the implanted prophecy of the lisan al gaib is as skilful as it is sinister as is pauls militant ascent the bene gesserits presentation as a more outwardly nefarious entity we dont hope we plan provides genuine chills particularly helped along by charlotte ramplings marvellous performance as the stonyfaced reverend mother mohiam the display of religious fanaticism is critiqued in such a way that it isnt parodied for the sake of belittlement but rather approached as a product of external exploitation totally unforgettable are the performances of austin butler and stellan skarsgård their chemistry creating an utterly repulsive combination that is as sickening as it is menacing though he has relatively little screenplay butler elevates the movie to a new level his presence as the psychotic feydrautha shockingly enchanting dominating every scene in which he appears it seems uncontroversial to say that butlers feydrautha is one of the greatest villains in recent memory with recent critical failures from the mcu having cost upwards of 250 million whilst feeling like they cost a fraction of that a result not of untalented vfx artists but of unsustainable and punishing working conditions and turnarounds it makes dune part twos budget of 190 million all the more remarkable in every sense of the phrase dune part two is a visual marvel and a testament to it being a true labour of love by all who worked on it shot entirely in imax the cinematography is nothing short of breathtaking the seemingly endless jordanian desert truly brings arrakis to life the sweeping sands looking positively vibrant and magically never appearing monochromatic with oscarwinning cinematographer powerhouse greig fraser zero dark thirty the batman the creator by his side villeneuve a deeply visual filmmaker in all respects has managed to create one of the most gorgeous films of the science fiction canon itself with few novels having gained such a devoted fanbase or having sold nearly as many copies as herberts 1965 original nitpicky comparisons to the source material have always been inevitable as was the case with part one and as testament to the sheer quality of part two few complaints have been voiced from even the most protective of fans its quite fair to say that the dune universe is one of the most difficult to adapt into any medium as has been demonstrated with previous entertaining but ultimately unsuccessful attempts  and yet its been adapted and adapted well  complexities nuances and all though some minor changes were made with the absence of thufir hawat being the most notable they dont detract from the quality as an adaptation or as a sequel in itself at risk of incurring the wrath of my fellow book fans id like to suggest that many of the minor changes improve upon the source material itself zendaya for example is refreshingly animated as chani a pleasant development from her stoic appearance at the climax of part one and of her literary counterpart as was the case with part one the pacing of part two is noticeably uneven making it feel slightly topheavy though not to its overall detriment for much of its 167minute runtime the action builds itself up slowly but surely teasingly incremental in its climb  but in its final act pauls story hurtles its way towards a thunderous earthshattering climax and then at its crescendo we finish a coital rhythm as its original visionary intended deliberately uneven but always growing and the payoff is worth it we hope youre enjoying brwc you should check us out on our social channels subscribe to our newsletter and tell your friends  brwc is short for battleroyalewithcheese
Mar 29 2024,positive,a must watch full review in spanish
Mar 27 2024,positive, if you strolled into haslams book store on central avenue in st petersburg in 1965 among the new arrivals you might find on the shelves were kurt vonneguts god bless you mr rosewater rex stouts the doorbell rang irving stones those who love john le carrés the lookingglass war and ian flemings the man with the golden gun the 12th and final novel in the authors james bond series if you directed your attention to the science fiction section of the store you might also find some new offerings such as john brunners the martian sphinx kenneth bulmers land beyond the map philip k dicks the three stigmata of palmer eldritch avram davidsons masters of the maze andre nortons quest crosstime and of course frank herberts epic science fiction novel dune the true first edition of dune published by chilton books can fetch a pretty penny these days a first edition first printing copy signed and inscribed by the author sold for more than 22000 in a recent auction with the arrival of dune part two in theaters i would expect to see some collectors with deep pockets drive that figure even higher in the coming months even before the chilton books edition the tale had appeared in analog magazine divided into two separate serials the serials  presented as dune world and prophet of dune  were published in the magazine beginning in 1963 the author would go on to pen five sequels including dune messiah children of dune god emperor of dune heretics of dune and chapterhouse dune sounds like an expansive body of work for someone seeking to forge a new cinematic universe doesnt it but wait  theres more after frank herberts death his son brian herbert partnered with science fiction author kevin j anderson to continue the series since 1999 they have written more than a dozen additional novels including both prequels and sequels to the original books in dune part two director denis villeneuve continues his adaptation of frank herberts work the film is exquisitely beautiful and immersive breathtaking in scope and fearless in delivering stunning action sequences that are so vivid they practically erupt from the screen unlike the first installment this time villeneuve isnt saddled by the need to provide history lessons explaining the corrino imperium and the landsraad or focus energy on worldbuilding and chunky exposition the director is free to plunge headlong into the meat of the story boldly tackling themes of corrupt power ambiguous morality and the use of religion to control the course of society and manipulate the masses dune part two follows the mythic journey of paul muaddib atreides timothée chalamet as he finds sanctuary with the fremen who inhabit the desert planet arrakis paul and his mother lady jessica rebecca ferguson have secretly survived the fall of house atreides once they have been embraced by the fremen paul seeks revenge against the conspirators who destroyed his family in doing so he will help liberate the fremen  some of whom consider him to be the lisan al gaib a fremen term for offworld messiah initially paul rejects the idea of being a savior and insists that he does not seek power paul sees the occupying harkonnen forces  led by rabban dave bautista  as their shared enemy and wishes only to fight alongside the fremen because he plays down any ideas of being the messiah he gains the trust of chani zendaya young and independent fremen warrior who gradually falls in love with paul eventually paul must choose between his relationship with chani and redirecting the fate of the known universe haunted by an apocalyptic future only he can foresee dune part two also features josh brolin as gurney halleck javier bardem as stilgar austin butler as feydrautha harkonnen stellan skarsgård as baron vladimir harkonnen florence pugh as princess irulan christopher walken as padishah emperor shaddam iv and charlotte rampling as gaius helen mohiam for dune part two the director wisely makes a few important changes to the original novel eliminating some characters downplaying others and significantly condensing the timeline the modifications are necessary cinematic adaptations of literary works require perceptive abridgement that does not compromise fidelity to the source material the film successfully captures  and in some regards enhances  all the principal themes found in herberts original work villeneuve imbues the film with antiimperialist imagery showing how colonizers plunder arrakis for their own benefit while treating the indigenous population with contempt and brutality  villeneuve also attempts to rectify one aspect of herberts novel by eliminating  or at least minimizing  the white savior trope many critics claim is integral in the source material the focus on pauls reluctance to claim the power his followers desperately want to bestow upon him is a crucial element of how the audience perceives the character chalamet effectively displays the characters gravitas and deep inner turmoil to the screen paul exhibits his disgust at lady jessicas hidden agenda and at the way the bene gesserit have directed and controlled bloodlines to maintain power  in a sense chani is on her own mythic journey villeneuves adaptation gives chani agency setting her up as a clear juxtaposition to the fundamentalists fanatical belief in paul as a messianic figure equally important is the fact that in dune part two paul could not have emerged as a leader without the support of both chani and stilgar at the beginning chani is suspicious but also curious about this boy coming from another world villeneuve explains in the films production notes something that deeply touches chani is that paul is sincere she feels that paul wants to learn about the fremen ways chani like other young fremen doesnt believe in the bene gesserit religious propaganda she believes that the fremen should be freed by fremen not wait for the arrival of some prophesied messiah  she thinks that those old beliefs are a way to control her people villeneuve adds but she sees that paul doesnt want to act as a colonizer he doesnt want to impose his ways he doesnt want to be seen as a savior whether or not villeneuves revisions to the source material go far enough to expunge any controversial motifs should be left to the individual viewer to decide the intent is certainly evident  dune part two exceeds expectations with repeated viewings it may prove to be the cinematic masterpiece many have already claimed it is boasting remarkably rich and nuanced storytelling captivating political and religious conspiracies a brilliant score by composer hans zimmer and passionate performances from a superlative cast the film is a sweeping operatic science fiction spectacle lee clark zumpe is entertainment editor at tampa bay newspapers a tomatometerapproved critic and an author of short fiction appearing in select anthologies and magazines follow lee at 
Mar 26 2024,positive,dune part two is bigger in almost every way the visual effects sound design and production as a whole is immaculate narratively it does feel a bit too unresolved by the end for my taste but hopefully dune messiah comes sooner rather than later
Mar 24 2024,positive, denis villenueves  mythic scifi sequel dune part two has already grossed 500 million globally making it the highestgrossing film of 2024  domestic and worldwide  surpassing the first film released back in 2021 based on frank herberts antiimperial ecologically dystopian dune saga it revolves around paul timothee chalamet heir to the house of atreides wiped out in part one under the fascist aegis of grotesque genocidal baron vladimir harkonnen stellan skarsgard as with any franchise seeing the first installment is vital to understanding the second in the year 10191 paul is hiding out on the vast desert planet arrakis where he joins forces with the rebellious indigenous fremen earning the respect of their wry religious elder stilgar javier bardem and forming an attachment to feisty chani zendaya as they defiantly wage guerilla warfare against house harkonnen meanwhile his mother lady jessica rebecca ferguson with her preborn fetus gulps down the water of life a clear blue liquid that looks like mouthwash that elevates her to exalted status of reverend mother within the fremens secretive matriarchal religious group bene gesserit at the center of the conflict is a rare commodity called spice mélange an addictive drug known for its powerful psychotropic powers and prescience an ability to see into the past present  future in smell and taste its like cinnamon because of their constant spice exposure all fremen have radiant blue eyes new characters include the evil emperor christopher walken his daughter princess irulan florence pugh pugnacious feydrautha harkonnen austin butler and lady margot lea seydoux pregnant with feydrauthas child among the most memorable sequences are when chani teaches paul how to sandwalk adroitly avoiding rhythmic patterns in the arid terracotta colored desert that would alert sandworms when paul is reunited with atreides weapon master gurney halleck josh brolin and when paul and the fremen mount those giant sandworms for a climactic battleconcluding with the war has just begun written by villeneuve and jon spaihts with an emphasis on action  as opposed to exposition and characterdevelopment  this shallow selfimportant sequel runs 2 hours 46 minutes dominated by grieg frasers spectacular cinematography and hans zimmers propulsive score on the granger gauge of 1 to 10 dune part two is a visually stunning yet sterile 6  teasing an inevitable part three in years to come
