Dates,Scores,Reviews
Apr 12 2024,positive,this movie is great from start to finish
Apr 12 2024,positive,i think this godzilla movie is fantastic but one of the worst theater experience ever from amc but the rest of the movie was amazing and terrifying and sad but i am excited for the dvd and bluray
Apr 12 2024,positive,this was the best movie ever  one of the first times when human action was awesome  such an emotional and awe inspiring journey  loved it would recommend  1010
Apr 12 2024,positive,this is how a godzilla movie should be driven by by japanesestyle human drama instead of mindless hollywood destruction and special effects the best godzilla movie ever
Apr 12 2024,positive,why is it so good everything down to the soundtrack characters and story are absolutely flawless even the 10 million dollar budget cgi although flawed was amazing i cant believe i cried for the half of the movies runtime i also hate and love godzilla so much
Apr 11 2024,positive,this is what hollywood should aim for this was a beautiful movie with a very well written cast of characters and godzilla maintained his charm without loosing it from the human characters and was used quite well  im glad that this movie has been extremely successful and that toho continues to make more well written and thought out stories with godzilla
Apr 11 2024,positive,it was great its waaaay better than the garbage hollywood has been churning out hollywood is only producing leftist trash i loved how godzilla minus one showed that people dont need to rely on government it also focuses on family its an absolute must watch
Apr 10 2024,positive,setting aside my love of godzilla this may have been the best movie of the year as an oifoef vet much of what he went though and several different themes rang true even without big g this was just a great drama i hope they dont make another one how could it be better than minus one
Apr 7 2024,negative,this movie was trash human characters are stupid plot is same as others movies that have the same plot vfx effects are actually good and godzilla was only good part is a waste of time 110
Apr 7 2024,positive,amazing film definitely top 3 in the godzilla universe
Apr 7 2024,positive,low key masterpiece
Apr 6 2024,positive,man oh man what a ride this one was i chanced the trip to tucson in my van that is edging ever closer to 300000 miles and that is about the payoff i got     the plot is masterful the creature spfx are enormous and rightly deserved the oscar it won and the best part there are no oxygen destroyers no fantasy fictitious scientific weapons nothing but real life applications such as ship cabling and explosive laden aircraft to employ in their frantic effort to take the monster down and the cliffhanger of the dorsal fin shaped radiation burn spreading across the female protagonists neck was the best part  i sincerely hope that there will either be a direct sequel or that yamazaki is tapped to do another kaiju film i know i will be watching
Apr 5 2024,positive,i wanted to wait a bit to make sure it wasnt recency bias but im confident in calling godzilla minus one the best godzilla movie in the franchises 35 catalog with a gripping story of confronting and dealing with grief and guilt the film utilizes godzilla as a perfect representation of the internal and external chaos we encounter in life only by learning to value and cherish his own life does kōichi find true purpose in living every human character is incredible in their writing and acting godzilla is a terrifying presence that capitalizes on every element that makes him a great antagonist the low budget is often brought up as part of the mindblowing realization that this movie fits right in with hollywoods best effects and for good reason with oscarwinning visuals godzilla minus one is able to deliver one of the best stories of 2023 with a beautiful canvas in its presentation always thrilled to see the kaiju genre be used so masterfully
Apr 4 2024,positive,the best movie of 2023 is all i can see when i watched the movie it was perfect every single bit of the movie the atomic breath scene with the dorsal fins look very clean i thought for a second when i watched the trailer that the city behind godzilla really was destroyed turns out i was wrong it was just the best cgi i have ever seen this movie shouldnt just deserve only 1 oscar for just best action movie it deserves best movie of the year
Apr 4 2024,positive,this is an absolute masterpiece highly recommend
Apr 3 2024,negative,this is a boring and and quite lacking film this doesnt even come close to godzilla x king kong
Apr 3 2024,positive,this movie is perfection i have no complaints its absolutely amazing godzilla having meaning again and being a metaphor for the horrors of humanities creation is tragically beautiful definitely the best human plot ive seen in any film of the daikaiju genre
Apr 2 2024,positive,a little too talky but the monster stuff is way good
Apr 1 2024,positive,this is the first and only godzilla movie that made me care about humans in movie all other godzilla movies america and japan i never like boring except for one and two nothing more godzilla actually looks terrifying to me any other godzilla movies he never look scary to me this is better than shin godzilla human parts are not as boring compared to shin godzilla and more likable and godzilla fights as should not like transformer in shin godzilla shooting lasers from tail and back fins
Apr 1 2024,positive,this movie was perfectly executed from the storyline and acting to the visual effects and cinematography my expectations were far exceeded i found zero faults with this film
Apr 1 2024,positive,the greatest solo kaiju feature of all time a beautiful story mixed with beautiful effects and amazing acting from everyone involved  i had to wipe my tears away in time for the next scenes constantly
Apr 1 2024,positive,i never expected even to watch another godzilla movie but luckily i read some rave reviews and went this is one of the strongest recent movies from any country and it may be the greatest giant monster movie ever made in part because of the stellar special effects cinematography editing etc but mainly because you care deeply about the human charactersall of them including the nameless city dwellers who have to face destruction theres a strong sense of tragedy that is right up front and really makes you love the characters even the ones who seem at first to have been crushed by the war they recover in moving ways theres a moment early on when an embittered neighbor lady who has lost everyone in her family suddenly makes a decision to help an orphaned baby and the young mother who has taken her in it sounds cheesy but the actors make it work really well at that point i realized this might be something special and it keeps getting better and more gripping from there theres another moment where a major character gets swept away as if she were nothing that made me sob loudly  in a theater for the first time in years great psychological depth throughout and politically interesting in that its disillusioned heroes are striving toward a different form of heroism than the fascist wartime version of heroism as selfdestruction  if you want to see a convincing movie about the power of hope watch this plus its got the best little crying girl in movie history
Mar 31 2024,positive,i cant add anything more than what has been said except that the hype is real  this is an exceptional film that just happens to be a kaiju movie
Mar 31 2024,positive,simply moving and brilliant on a human scale and the brutal terrifying force that is godzilla takes the whole movie to 11 best godzilla movie next to the original 1954 film
Mar 31 2024,positive,easily the best and scariest godzilla movie so far the time spent with the human drama could stand to be a little shorter but still a great movie
Mar 31 2024,positive,expected to enjoy the movie but surprisingly loved it top 5 movies i ever seen cant wait to see it again
Mar 31 2024,positive,this is the one i wanted to meet after all the longawaited godzillas overwhelming presence is the best
Mar 31 2024,positive,i love this movie and the story and godzilla this is definitely the best godzilla movie ive seen 10 out of 10
Mar 30 2024,negative,ehhhhh  its whatever  i fell asleep
Mar 30 2024,positive,this film is beyond your average monster movie it has a thrilling story deep and fleshed out human characters and gorgeous visual effects  godzilla in this film although smaller than his monsterverse counterpart is pure terror and an unstoppable force of nature deserved oscar winner the atomic breath scene gives me chills every time
Mar 30 2024,positive,truly amazing to see the human side done so well
Mar 30 2024,positive,truly an amazing and beautiful piece to have the pleasure of viewing cant wait for the digital release
Mar 29 2024,positive,one of the best movies i have ever seen didnt really know what to expect as it was the first japanese style godzilla film i had seen in a very long time and it blew me away enjoyed it alot
Mar 29 2024,positive,the amount of emotions you go through in this movie is crazy for a monster movie  but it isnt just that it has heart character and the humans in this you actually care for  i never expected to be emotional over a kaiju movie  a well deserved oscar too
Mar 29 2024,positive,this movie is a cinema masterpiecewith a small budget and a lot of heartthis movie blows away every other godzilla movie made by milescentering around an actual story about the ppl was a long needed approachwe learn to care for these ppl in their fight with godzillafresh off ww2i really cant say enough good things about this moviesimply a masterpiece
Mar 29 2024,positive,if you like godzilla this is a must see  i was blown away by how much i enjoyed godzilla minus one  my favorite to date for sure
Mar 28 2024,positive,godzilla minus one is unequivocally and truly a cinematic triumph  with a 15 million dollar budget we received a film with emotional depth meandering characterization beautiful visuals and a masterpiece addressing significant themes of survivors guilt ptsd shame and the human condition      i am blown away simply by how this can be one of the best action films of the year perhaps the best godzilla film ever put to screen yet have me invested emotionally in so many of the characters in typical fashion this is not normally the case    after reading and hearing all the hype for this film i did want it to be in my top 10 of 2023 but i dont think by no fault of the filmmakers that this is necessarily a movie that resonates with me  and full transparency perhaps my viewing experience and personal feelings towards the film may have been elevated if id watched it in a theatre with an audience     nevertheless this is hopefully a wake up call for hollywood great films can be made with amazing visuals and an encompassing narrative without the 200 million dollar price tag attached
Mar 28 2024,positive,it was amazingyou actually feel for the characters and godzilla is portrayed as a actual character
Mar 28 2024,positive,simply fantastic a perfect showcase of the franchises original roots
Mar 28 2024,positive,the perfect godzilla movie  terrifying  the human drama was intense yet natural  godzilla is an absolute menace
Mar 28 2024,positive,i love that we have more godzilla movies and this one was good but i am looking for monster mayhem and not a sad story about war when i go to watch these movies
Mar 28 2024,positive,great human characters good story an amazing vfk
Mar 27 2024,positive,the movie is good but the end was mediocre with feeling rushed but a serious and dark story with amazing storytelling and visuals that really sell you to the story
Mar 27 2024,positive,amazing it has emotion scary and cool 100 to watch if you can
Mar 27 2024,positive,the best godzilla movie ever made
